validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,teto,cobertura,tt,po,qnh,ur,chuvisco,vnt_rajada,nevoa_seca,pancada,nevoeiro
"['11:00', '14/04']",14/04 11:00,350,7,,9999,,,NIL,,,8000,5,15,15,1015,100,,,,,
"['12:00', '14/04']",14/04 12:00,310,5,,9999,,,NIL,,,8000,8,16,16,1015,100,,,,,
"['13:00', '14/04']",14/04 13:00,320,7,,9999,,,NIL,,,7000,5,17,14,1014,83,,,,,
"['14:00', '14/04']",14/04 14:00,310,10,,9999,,,NIL,,,NIL,3,19,14,1014,73,,,,,
"['15:00', '14/04']",14/04 15:00,300,11,,9999,,,NIL,,,NIL,3,20,14,1013,68,,,,,
"['16:00', '14/04']",14/04 16:00,310,13,,9999,,,NIL,,,NIL,3,21,14,1012,64,,,,,
"['17:00', '14/04']",14/04 17:00,300,13,,9999,,,NIL,,,2300,5,22,15,1011,65,,,,,
"['18:00', '14/04']",14/04 18:00,280,12,,9999,,,NIL,,,3000,5,22,14,1010,60,,,,,
"['19:00', '14/04']",14/04 19:00,290,15,,9999,,,NIL,,,3000,5,22,14,1010,60,,,,,
"['20:00', '14/04']",14/04 20:00,300,11,,9999,,,NIL,,,NIL,3,22,14,1010,60,,,,,
"['21:00', '14/04']",14/04 21:00,310,9,,9999,,,NIL,,,NIL,3,20,15,1010,73,,,,,
"['22:00', '14/04']",14/04 22:00,310,7,,9999,,,NIL,,,NIL,3,19,15,1011,78,,,,,
"['23:00', '14/04']",14/04 23:00,280,9,,9999,,,NIL,,,NIL,NIL,19,14,1012,73,,,,,
"['00:00', '15/04']",15/04 00:00,270,10,,9999,,,NIL,,,NIL,NIL,18,11,1013,64,,,,,
"['01:00', '15/04']",15/04 01:00,270,10,NIL,9999,,,,,,,,17,07,1013,52,,,,,
"['02:00', '15/04']",15/04 02:00,270,7,NIL,9999,,,,,,,,16,06,1013,51,,,,,
"['03:00', '15/04']",15/04 03:00,270,5,NIL,9999,,,,,,,,14,07,1013,63,,,,,
"['04:00', '15/04']",15/04 04:00,270,5,NIL,9999,,,,,,,,14,08,1014,67,,,,,
"['05:00', '15/04']",15/04 05:00,260,6,NIL,9999,,,,,,,,13,08,1013,72,,,,,
"['06:00', '15/04']",15/04 06:00,250,9,NIL,9999,,,,,,,,12,07,1014,71,,,,,
"['07:00', '15/04']",15/04 07:00,240,9,NIL,9999,,,,,,,,11,07,1014,76,,,,,
"['08:00', '15/04']",15/04 08:00,260,5,NIL,9999,,,,,,,,10,07,1014,82,,,,,
"['09:00', '15/04']",15/04 09:00,250,8,NIL,9999,,,,,,,,09,07,1015,87,,,,,
"['10:00', '15/04']",15/04 10:00,260,5,NIL,9999,,,,,,,,09,06,1016,81,,,,,
"['11:00', '15/04']",15/04 11:00,250,7,NIL,9999,,,,,,,,11,06,1017,71,,,,,
"['12:00', '15/04']",15/04 12:00,250,7,250,9999,,,,,,,,12,06,1018,67,,,,,
"['13:00', '15/04']",15/04 13:00,270,9,NIL,9999,,,,,,,,14,05,1018,55,,,,,
"['14:00', '15/04']",15/04 14:00,270,7,260,9999,,,,,,,,16,04,1018,45,,,,,
"['15:00', '15/04']",15/04 15:00,260,9,260,9999,,,,,,,,17,03,1018,39,,,,,
"['16:00', '15/04']",15/04 16:00,270,9,275,9999,,,,,,,,18,03,1017,37,,,,,
"['17:00', '15/04']",15/04 17:00,260,11,NIL,9999,,,,,,,,20,02,1016,30,,,,,
"['18:00', '15/04']",15/04 18:00,260,10,NIL,9999,,,,,,,,21,03,1016,30,,,,,
"['19:00', '15/04']",15/04 19:00,260,10,NIL,9999,,,,,,,,20,03,1016,32,,,,,
"['20:00', '15/04']",15/04 20:00,260,11,NIL,9999,,,,,,,,19,02,1017,32,,,,,
"['21:00', '15/04']",15/04 21:00,250,7,250,9999,,,,,,,,17,03,1017,39,,,,,
"['22:00', '15/04']",15/04 22:00,260,4,NIL,9999,,,,,,,,16,03,1018,42,,,,,
"['23:00', '15/04']",15/04 23:00,280,3,NIL,9999,,,,,,,,16,03,1019,42,,,,,
"['00:00', '16/04']",16/04 00:00,240,8,NIL,9999,,,,,,,,14,04,1019,51,,,,,
"['01:00', '16/04']",16/04 01:00,150,2,NIL,9999,,,,,,,,12,04,1019,58,,,,,
"['02:00', '16/04']",16/04 02:00,30,4,NIL,9999,,,,,,,,12,05,1020,62,,,,,
"['03:00', '16/04']",16/04 03:00,70,2,NIL,9999,,,,,,,,10,05,1020,71,,,,,
"['04:00', '16/04']",16/04 04:00,210,3,NIL,9999,,,,,,,,10,05,1020,71,,,,,
"['05:00', '16/04']",16/04 05:00,210,5,NIL,9999,,,,,,,,10,04,1020,66,,,,,
"['06:00', '16/04']",16/04 06:00,240,3,NIL,9999,,,,,,,,09,04,1020,71,,,,,
"['07:00', '16/04']",16/04 07:00,260,3,NIL,9999,,,,,,,,09,04,1020,71,,,,,
"['08:00', '16/04']",16/04 08:00,320,2,NIL,9999,,,,,,,,08,03,1020,71,,,,,
"['09:00', '16/04']",16/04 09:00,20,2,NIL,9999,,,,,,,,06,04,1021,87,,,,,
"['10:00', '16/04']",16/04 10:00,290,3,NIL,9999,,,,,,,,06,05,1021,93,,,,,
"['11:00', '16/04']",16/04 11:00,VRB,2,NIL,9999,,,,,,,,11,06,1022,71,,,,,
"['12:00', '16/04']",16/04 12:00,230,3,235,9999,,,,,,,,13,03,1023,51,,,,,
"['13:00', '16/04']",16/04 13:00,210,3,215,9999,,,,,,,,15,02,1023,41,,,,,
"['14:00', '16/04']",16/04 14:00,VRB,5,NIL,9999,,,,,,,,18,04,1023,39,,,,,
"['15:00', '16/04']",16/04 15:00,270,4,265,9999,,,,,,,,19,03,1023,34,,,,,
"['16:00', '16/04']",16/04 16:00,270,7,280,9999,,,,,,,,22,03,1022,29,,,,,
"['17:00', '16/04']",16/04 17:00,260,7,275,9999,,,,,,,,22,01,1021,25,,,,,
"['18:00', '16/04']",16/04 18:00,270,7,275,9999,,,,,,,,23,00,1021,22,,,,,
"['19:00', '16/04']",16/04 19:00,210,6,200,9999,,,,,,,,22,02,1021,27,,,,,
"['20:00', '16/04']",16/04 20:00,210,7,215,9999,,,,,,,,22,-01,1021,21,,,,,
"['21:00', '16/04']",16/04 21:00,210,6,NIL,9999,,,,,,,,20,01,1022,28,,,,,
"['22:00', '16/04']",16/04 22:00,120,6,NIL,9999,,,,,,,,14,08,1023,67,,,,,
"['23:00', '16/04']",16/04 23:00,120,6,NIL,9999,,,,,,,,13,09,1023,77,,,,,
"['00:00', '17/04']",17/04 00:00,130,8,NIL,9999,,,,,,,,12,09,1024,82,,,,,
"['01:00', '17/04']",17/04 01:00,110,6,,9999,,,,,,,NIL,11,09,1024,87,,,,,
"['02:00', '17/04']",17/04 02:00,120,4,,9999,,,,,,,NIL,11,09,1025,87,,,,,
"['03:00', '17/04']",17/04 03:00,140,4,,9999,,,,,,,NIL,10,10,1025,100,,,,,
"['04:00', '17/04']",17/04 04:00,100,4,,9999,,,,,,,NIL,10,09,1024,93,,,,,
"['05:00', '17/04']",17/04 05:00,90,3,,9999,,,,,,,NIL,09,09,1024,100,,,,,
"['06:00', '17/04']",17/04 06:00,110,4,,9999,,,,,,,NIL,08,08,1024,100,,,,,
"['07:00', '17/04']",17/04 07:00,130,6,,9999,,,,,,,NIL,09,09,1024,100,,,,,
"['08:00', '17/04']",17/04 08:00,120,6,,9999,,,,,,,NIL,08,08,1024,100,,,,,
"['09:00', '17/04']",17/04 09:00,140,6,,9999,,,,,,,NIL,08,08,1025,100,,,,,
"['10:00', '17/04']",17/04 10:00,110,3,,9999,,,,,,,NIL,09,09,1025,100,,,,,
"['11:00', '17/04']",17/04 11:00,120,4,,9999,,,,,,,2,12,12,1025,100,,,,,
"['12:00', '17/04']",17/04 12:00,120,6,,9999,,,,,,,2,15,10,1026,72,,,,,
"['13:00', '17/04']",17/04 13:00,70,7,,9999,,,,,,,2,17,09,1026,59,,,,,
"['14:00', '17/04']",17/04 14:00,90,8,,9999,,,,,,,3,19,11,1026,60,,,,,
"['15:00', '17/04']",17/04 15:00,90,7,,9999,,,,,,,3,20,09,1026,49,,,,,
"['16:00', '17/04']",17/04 16:00,90,6,,9999,,,,,,,2,20,08,1025,46,,,,,
"['17:00', '17/04']",17/04 17:00,110,7,,9999,,,,,,,3,21,08,1024,43,,,,,
"['18:00', '17/04']",17/04 18:00,70,8,,9999,,,,,,,3,20,10,1024,53,,,,,
"['19:00', '17/04']",17/04 19:00,110,8,,9999,,,,,,,2,19,09,1024,52,,,,,
"['20:00', '17/04']",17/04 20:00,110,9,,9999,,,,,,,2,18,09,1024,56,,,,,
"['21:00', '17/04']",17/04 21:00,110,7,,9999,,,,,,,2,15,10,1025,72,,,,,
"['22:00', '17/04']",17/04 22:00,110,6,,9999,,,,,,,NIL,14,11,1025,82,,,,,
"['23:00', '17/04']",17/04 23:00,100,7,,9999,,,,,,,NIL,13,12,1025,94,,,,,
"['00:00', '18/04']",18/04 00:00,100,5,,9999,,,,,,,2,12,12,1026,100,,,,,
"['01:00', '18/04']",18/04 01:00,120,5,NIL,9999,,,,,NIL,NIL,NIL,11,11,1026,100,NIL,,,,
"['02:00', '18/04']",18/04 02:00,80,4,NIL,9999,,,,,NIL,NIL,NIL,11,11,1026,100,NIL,,,,
"['03:00', '18/04']",18/04 03:00,130,5,NIL,9999,,,,,NIL,1700,5,11,11,1026,100,NIL,,,,
"['04:00', '18/04']",18/04 04:00,120,4,NIL,9999,,,,,NIL,1700,5,11,11,1025,100,NIL,,,,
"['05:00', '18/04']",18/04 05:00,90,4,NIL,9999,,,,,NIL,NIL,2,11,11,1026,100,NIL,,,,
"['06:00', '18/04']",18/04 06:00,120,4,NIL,9999,,,,,NIL,NIL,2,11,11,1025,100,NIL,,,,
"['07:00', '18/04']",18/04 07:00,120,5,NIL,9999,,,,,NIL,1500,5,12,12,1024,100,NIL,,,,
"['08:00', '18/04']",18/04 08:00,120,3,NIL,9999,,,,,NIL,1500,5,13,13,1024,100,NIL,,,,
"['09:00', '18/04']",18/04 09:00,110,3,NIL,9999,,,,,NIL,700,5,12,12,1024,100,NIL,,,,
"['10:00', '18/04']",18/04 10:00,120,4,NIL,9999,,,,,NIL,700,8,14,14,1025,100,NIL,,,,
"['11:00', '18/04']",18/04 11:00,100,4,NIL,5000,,,,,1,500,8,14,14,1026,100,1,,,,
"['12:00', '18/04']",18/04 12:00,120,8,NIL,8000,,,,,NIL,900,5,15,15,1026,100,NIL,,,,
"['13:00', '18/04']",18/04 13:00,110,7,NIL,9000,,,,,NIL,1000,5,15,14,1027,94,NIL,,,,
"['14:00', '18/04']",18/04 14:00,140,11,NIL,9999,,,,,NIL,1300,5,16,13,1027,82,NIL,,,,
"['15:00', '18/04']",18/04 15:00,130,9,NIL,9999,,,,,NIL,1300,8,17,12,1026,72,NIL,,,,
"['16:00', '18/04']",18/04 16:00,100,6,100,9999,,,,,NIL,1600,8,17,12,1026,72,NIL,,,,
"['17:00', '18/04']",18/04 17:00,130,10,120,9999,,,,,NIL,1700,5,17,13,1025,77,NIL,,,,
"['18:00', '18/04']",18/04 18:00,100,4,105,9999,,,,,NIL,2000,5,17,13,1025,77,NIL,,,,
"['19:00', '18/04']",18/04 19:00,120,6,NIL,8000,,,,,NIL,1500,8,16,14,1025,88,NIL,,,,
"['20:00', '18/04']",18/04 20:00,120,7,NIL,9999,,,,,NIL,1300,5,16,15,1025,94,NIL,,,,
"['21:00', '18/04']",18/04 21:00,100,6,NIL,9999,,,,,NIL,1000,5,15,15,1025,100,NIL,,,,
"['22:00', '18/04']",18/04 22:00,120,7,NIL,9999,,,,,NIL,900,5,15,19,1025,100,NIL,,,,
"['23:00', '18/04']",18/04 23:00,120,6,NIL,9999,,,,,NIL,NIL,3,14,14,1026,100,NIL,,,,
"['23:48', '18/04']",18/04 23:48,110,6,NIL,9999,,,,,NIL,NIL,3,13,13,1026,100,NIL,,,,
"['00:00', '19/04']",19/04 00:00,110,6,NIL,9999,,,,,NIL,NIL,3,13,13,1026,100,NIL,,,,
"['01:00', '19/04']",19/04 01:00,100,6,,9999,,,,,NIL,4000,5,13,13,1026,100,NIL,,,,
"['02:00', '19/04']",19/04 02:00,120,5,,9999,,,,,NIL,1500,5,14,14,1026,100,NIL,,,,
"['03:00', '19/04']",19/04 03:00,130,4,,9999,,,,,NIL,1400,5,14,14,1026,100,NIL,,,,
"['04:00', '19/04']",19/04 04:00,110,6,,9999,,,,,NIL,1000,8,14,14,1025,100,NIL,,,,
"['05:00', '19/04']",19/04 05:00,120,6,,9999,,,,,NIL,700,5,14,14,1025,100,NIL,,,,
"['06:00', '19/04']",19/04 06:00,130,5,,9999,,,,,NIL,700,5,13,13,1024,100,NIL,,,,
