validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,trovoada,chuvisco,nevoa_umida,nevoa_seca,nevoeiro,vis_setor,vis_setor_dir
"['16:00', '16/03']",16/03 16:00,140,8,,150,8000,1100,8,21,21,1015,100,1,,,,,,,,
"['17:00', '16/03']",16/03 17:00,160,8,,160,9999,1100,8,21,20,1015,94,NIL,,,,,,,,
"['18:00', '16/03']",16/03 18:00,150,5,,135,9000,1100,8,22,20,1015,88,NIL,,,,,,,,
"['19:00', '16/03']",16/03 19:00,120,7,,120,9000,1100,8,21,20,1015,94,NIL,,,,,,,,
"['20:00', '16/03']",16/03 20:00,120,5,,NIL,9000,1100,8,21,21,1015,100,1,,,,,,,,
"['21:00', '16/03']",16/03 21:00,100,6,,NIL,9000,1000,8,21,21,1015,100,NIL,,,,,,,,
"['22:00', '16/03']",16/03 22:00,90,8,,NIL,9000,900,8,21,21,1015,100,NIL,,,,,,,,
"['23:00', '16/03']",16/03 23:00,110,7,,110,9000,1100,8,21,20,1015,94,NIL,,,,,,,,
"['23:23', '16/03']",16/03 23:23,100,7,,NIL,9999,3000,5,21,20,1015,94,NIL,,,,,,,,
"['00:00', '17/03']",17/03 00:00,110,4,,NIL,9999,3500,5,21,21,1016,100,NIL,,,,,,,,
"['01:00', '17/03']",17/03 01:00,120,5,,NIL,9999,3500,8,21,21,1016,100,,,,,,,,,
"['02:00', '17/03']",17/03 02:00,120,6,,NIL,9999,7000,5,21,21,1016,100,,,,,,,,,
"['03:00', '17/03']",17/03 03:00,80,6,,NIL,9999,NIL,3,20,20,1016,100,,,,,,,,,
"['04:00', '17/03']",17/03 04:00,90,5,,NIL,9999,NIL,NIL,20,20,1015,100,,,,,,,,,
"['05:00', '17/03']",17/03 05:00,90,4,,NIL,9999,NIL,NIL,19,19,1015,100,,,,,,,,,
"['06:00', '17/03']",17/03 06:00,80,5,,NIL,9999,NIL,NIL,19,19,1014,100,,,,,,,,,
"['07:00', '17/03']",17/03 07:00,80,4,,NIL,9999,NIL,NIL,19,19,1014,100,,,,,,,,,
"['08:00', '17/03']",17/03 08:00,110,3,,NIL,9999,NIL,NIL,19,19,1014,100,,,,,,,,,
"['09:00', '17/03']",17/03 09:00,110,5,,NIL,9999,NIL,NIL,19,19,1014,100,,,,,,,,,
"['10:00', '17/03']",17/03 10:00,60,4,,NIL,9999,NIL,NIL,20,20,1015,100,,,,,,,,,
"['11:00', '17/03']",17/03 11:00,110,7,,NIL,9999,7000,5,21,20,1016,94,,,,,,,,,
"['12:00', '17/03']",17/03 12:00,120,10,,NIL,9999,7000,5,23,20,1016,83,,,,,,,,,
"['13:00', '17/03']",17/03 13:00,120,10,,NIL,9999,4500,5,24,21,1015,83,,,,,,,,,
"['14:00', '17/03']",17/03 14:00,110,10,,115,9999,4500,5,25,20,1016,74,,,,,,,,,
"['15:00', '17/03']",17/03 15:00,120,10,,NIL,9999,4500,5,27,21,1015,70,,,,,,,,,
"['16:00', '17/03']",17/03 16:00,120,11,,115,9999,4500,5,27,20,1014,66,,,,,,,,,
"['17:00', '17/03']",17/03 17:00,130,12,,NIL,9999,NIL,3,28,20,1013,62,,,,,,,,,
"['18:00', '17/03']",17/03 18:00,110,14,,NIL,9999,NIL,3,28,21,1012,66,,,,,,,,,
"['19:00', '17/03']",17/03 19:00,110,13,,NIL,9999,3000,5,27,20,1012,66,,,,,,,,,
