validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuvisco,nevoa_umida,pancada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro
"['01:00', '01/01']",01/01 01:00,80,4,85,9999,NIL,NIL,NIL,NIL,24,19,1014,74,,,,,,,,
"['02:00', '01/01']",01/01 02:00,60,5,75,9999,NIL,NIL,NIL,NIL,24,19,1014,74,,,,,,,,
"['02:01', '01/01']",01/01 02:01,60,5,60,9999,NIL,NIL,NIL,NIL,24,19,1014,74,,,,,,,,
"['03:00', '01/01']",01/01 03:00,40,3,220,9999,NIL,NIL,NIL,NIL,24,18,1013,69,,,,,,,,
"['04:00', '01/01']",01/01 04:00,50,3,NIL,9999,NIL,NIL,NIL,NIL,24,18,1013,69,,,,,,,,
"['05:00', '01/01']",01/01 05:00,30,5,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,
"['06:00', '01/01']",01/01 06:00,40,4,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,
"['07:00', '01/01']",01/01 07:00,50,5,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,
"['08:00', '01/01']",01/01 08:00,40,4,NIL,9999,NIL,NIL,NIL,NIL,22,18,1012,78,,,,,,,,
"['09:00', '01/01']",01/01 09:00,10,4,190,9000,NIL,NIL,NIL,NIL,23,18,1013,73,,,,,,,,
"['10:00', '01/01']",01/01 10:00,360,12,190,9999,NIL,NIL,NIL,NIL,24,17,1013,65,,,,,,,,
"['11:00', '01/01']",01/01 11:00,360,11,180,9999,NIL,NIL,NIL,NIL,25,18,1013,65,,,,,,,,
"['12:00', '01/01']",01/01 12:00,340,11,165,9999,NIL,NIL,NIL,NIL,26,18,1013,61,,,,,,,,
"['13:00', '01/01']",01/01 13:00,320,13,NIL,9999,NIL,NIL,NIL,NIL,27,18,1013,58,,,,,,,,
"['14:00', '01/01']",01/01 14:00,330,12,155,9999,NIL,NIL,NIL,2,29,19,1013,55,,,,,,,,
"['15:00', '01/01']",01/01 15:00,320,12,310,9999,NIL,NIL,NIL,3,31,19,1012,49,,,,,,,,
"['16:00', '01/01']",01/01 16:00,330,10,310,9999,NIL,NIL,NIL,NIL,31,16,1012,40,,,,,,,,
"['17:00', '01/01']",01/01 17:00,360,10,NIL,9999,NIL,NIL,NIL,NIL,32,15,1011,36,,,,,,,,
"['18:00', '01/01']",01/01 18:00,350,10,NIL,9999,NIL,NIL,NIL,NIL,32,15,1009,36,,,,,,,,
"['19:00', '01/01']",01/01 19:00,310,7,NIL,9999,NIL,NIL,NIL,2,32,15,1009,36,,,,,,,,
"['20:00', '01/01']",01/01 20:00,160,7,NIL,9999,NIL,NIL,NIL,2,28,19,1009,58,,,,,,,,
"['21:00', '01/01']",01/01 21:00,170,4,NIL,9999,NIL,NIL,5000,5,28,18,1009,55,,,,,,,,
"['22:00', '01/01']",01/01 22:00,200,9,NIL,9999,NIL,1,5000,5,26,19,1011,65,,,,,,,,
"['23:00', '01/01']",01/01 23:00,90,5,NIL,9999,1,1,NIL,NIL,22,18,1012,78,,,,,,,,
"['00:00', '02/01']",02/01 00:00,340,7,NIL,9999,1,NIL,NIL,NIL,23,18,1013,73,,,,,,,,
"['01:00', '02/01']",02/01 01:00,40,6,NIL,9999,1,NIL,NIL,NIL,22,19,1013,83,NIL,,,,,,,
"['02:00', '02/01']",02/01 02:00,20,5,NIL,9999,NIL,NIL,NIL,NIL,22,19,1013,83,NIL,,,,,,,
"['02:02', '02/01']",02/01 02:02,30,5,NIL,9999,1,NIL,NIL,NIL,22,18,1013,78,NIL,,,,,,,
"['03:00', '02/01']",02/01 03:00,30,4,40,NIL,1,NIL,NIL,NIL,22,19,1012,83,NIL,,,,,,,
"['04:00', '02/01']",02/01 04:00,50,4,NIL,9999,NIL,NIL,NIL,NIL,22,18,1011,78,NIL,,,,,,,
"['05:00', '02/01']",02/01 05:00,20,3,NIL,9999,NIL,NIL,NIL,NIL,22,18,1010,78,NIL,,,,,,,
"['06:00', '02/01']",02/01 06:00,350,3,170,9999,NIL,NIL,NIL,NIL,22,18,1010,78,NIL,,,,,,,
"['07:00', '02/01']",02/01 07:00,310,4,NIL,9999,NIL,NIL,NIL,NIL,22,18,1010,78,NIL,,,,,,,
"['08:00', '02/01']",02/01 08:00,320,6,NIL,9999,NIL,NIL,NIL,NIL,22,18,1011,78,NIL,,,,,,,
"['09:00', '02/01']",02/01 09:00,340,4,160,9999,NIL,NIL,10000,5,22,18,1012,78,NIL,,,,,,,
"['10:00', '02/01']",02/01 10:00,20,3,NIL,9999,1,NIL,10000,5,22,18,1012,78,NIL,,,,,,,
"['11:00', '02/01']",02/01 11:00,330,4,160,9999,NIL,NIL,8300,5,22,19,1013,83,NIL,,,,,,,
"['12:00', '02/01']",02/01 12:00,330,6,325,9999,1,NIL,8300,5,23,19,1013,78,NIL,,,,,,,
"['13:00', '02/01']",02/01 13:00,300,7,315,9999,1,NIL,8300,5,24,19,1013,74,NIL,,,,,,,
"['14:00', '02/01']",02/01 14:00,310,7,315,9999,NIL,NIL,6700,5,26,19,1013,65,NIL,,,,,,,
"['15:00', '02/01']",02/01 15:00,310,7,305,9999,1,NIL,10000,5,26,20,1013,70,NIL,,,,,,,
"['16:00', '02/01']",02/01 16:00,310,4,130,9999,NIL,NIL,NIL,2,29,19,1012,55,NIL,,,,,,,
"['16:17', '02/01']",02/01 16:17,320,6,NIL,9999,NIL,NIL,NIL,3,28,19,1012,58,NIL,,,,,,,
"['17:00', '02/01']",02/01 17:00,230,7,255,9999,1,1,2300,5,25,20,1012,74,18,,,,,,,
"['17:13', '02/01']",02/01 17:13,170,11,NIL,9999,1,1,3000,5,23,19,1012,78,NIL,,,,,,,
"['18:00', '02/01']",02/01 18:00,170,10,NIL,9999,1,1,NIL,3,24,20,1011,78,NIL,,,,,,,
"['19:00', '02/01']",02/01 19:00,150,12,NIL,9999,NIL,NIL,1300,5,23,19,1011,78,NIL,,,,,,,
"['20:00', '02/01']",02/01 20:00,140,11,NIL,9999,NIL,NIL,700,5,22,19,1012,83,NIL,,,,,,,
"['21:00', '02/01']",02/01 21:00,150,7,NIL,9999,NIL,NIL,900,5,22,19,1012,83,NIL,,,,,,,
"['22:00', '02/01']",02/01 22:00,100,4,85,3000,1,NIL,1100,5,22,20,1014,88,NIL,,,,,,,
"['22:50', '02/01']",02/01 22:50,VRB,5,NIL,3500,1,1,300,5,21,20,1014,94,NIL,,,,,,,
"['23:00', '02/01']",02/01 23:00,60,6,60,5000,1,1,700,5,21,19,1014,88,NIL,,,,,,,
"['23:12', '02/01']",02/01 23:12,90,4,90,7000,1,1,1700,5,20,19,1014,94,NIL,,,,,,,
"['00:00', '03/01']",03/01 00:00,40,3,45,9999,1,1,1700,5,20,19,1015,94,NIL,,,,,,,
"['01:00', '03/01']",03/01 01:00,VRB,2,NIL,9999,1,,900,5,21,19,1015,88,,NIL,NIL,,,,,
"['02:00', '03/01']",03/01 02:00,200,19,170,9999,NIL,,1100,5,21,19,1015,88,,NIL,NIL,,,,,
"['02:02', '03/01']",03/01 02:02,150,4,135,9999,1,,1100,8,21,19,1014,88,,NIL,NIL,,,,,
"['02:04', '03/01']",03/01 02:04,150,5,NIL,9999,1,,600,8,21,19,1014,88,,NIL,NIL,,,,,
"['02:07', '03/01']",03/01 02:07,160,5,NIL,4800,1,,500,8,21,19,1014,88,,NIL,NIL,,,,,
"['02:08', '03/01']",03/01 02:08,160,5,NIL,4800,1,,500,8,21,19,1014,88,,NIL,NIL,,,,,
"['02:17', '03/01']",03/01 02:17,140,4,NIL,9000,1,,400,5,21,19,1014,88,,NIL,NIL,,,,,
"['02:32', '03/01']",03/01 02:32,80,3,NIL,6000,1,,NIL,3,21,19,1013,88,,NIL,NIL,,,,,
"['02:53', '03/01']",03/01 02:53,160,5,NIL,9999,1,,800,5,21,19,1014,88,,NIL,NIL,,,,,
"['03:00', '03/01']",03/01 03:00,160,5,NIL,9999,1,,600,5,21,19,1014,88,,NIL,NIL,,,,,
"['03:10', '03/01']",03/01 03:10,180,6,180,NIL,1,,500,5,21,19,1014,88,,NIL,NIL,,,,,
"['03:11', '03/01']",03/01 03:11,180,6,180,NIL,1,,500,5,20,19,1014,94,,NIL,NIL,,,,,
"['03:14', '03/01']",03/01 03:14,190,6,NIL,4300,1,,400,5,20,19,1014,94,,NIL,NIL,,,,,
"['03:27', '03/01']",03/01 03:27,210,6,NIL,4600,1,,600,5,20,19,1014,94,,NIL,NIL,,,,,
"['03:28', '03/01']",03/01 03:28,210,6,NIL,4600,1,,500,5,20,19,1014,94,,NIL,NIL,,,,,
"['03:29', '03/01']",03/01 03:29,210,7,NIL,4600,1,,400,5,20,19,1014,94,,NIL,NIL,,,,,
"['03:56', '03/01']",03/01 03:56,230,4,240,NIL,1,,NIL,3,20,19,1014,94,,NIL,NIL,,,,,
"['04:00', '03/01']",03/01 04:00,230,4,240,NIL,1,,NIL,3,20,19,1014,94,,NIL,NIL,,,,,
"['04:20', '03/01']",03/01 04:20,230,6,NIL,9999,1,,400,5,20,18,1013,88,,NIL,NIL,,,,,
"['04:38', '03/01']",03/01 04:38,230,6,230,NIL,1,,NIL,3,20,18,1013,88,,NIL,NIL,,,,,
"['04:55', '03/01']",03/01 04:55,230,6,NIL,9999,1,,1100,5,20,18,1013,88,,NIL,NIL,,,,,
"['05:00', '03/01']",03/01 05:00,230,6,NIL,9999,1,,1100,5,20,18,1013,88,,NIL,NIL,,,,,
"['05:01', '03/01']",03/01 05:01,230,6,NIL,9999,1,,400,5,20,18,1013,88,,NIL,NIL,,,,,
"['05:23', '03/01']",03/01 05:23,230,6,230,NIL,NIL,,500,5,20,18,1013,88,,NIL,NIL,,,,,
"['06:00', '03/01']",03/01 06:00,210,6,NIL,9999,NIL,,600,5,20,18,1013,88,,NIL,NIL,,,,,
"['06:31', '03/01']",03/01 06:31,240,6,245,NIL,NIL,,NIL,3,19,18,1013,94,,NIL,NIL,,,,,
"['07:00', '03/01']",03/01 07:00,230,5,NIL,9999,NIL,,NIL,3,19,17,1013,88,,NIL,NIL,,,,,
"['07:02', '03/01']",03/01 07:02,230,5,NIL,9999,NIL,,800,5,19,18,1013,94,,NIL,NIL,,,,,
"['07:16', '03/01']",03/01 07:16,220,5,230,NIL,NIL,,600,5,19,18,1013,94,,NIL,NIL,,,,,
"['07:31', '03/01']",03/01 07:31,190,6,NIL,9999,NIL,,700,8,20,18,1014,88,,NIL,NIL,,,,,
"['08:00', '03/01']",03/01 08:00,200,6,NIL,9999,NIL,,700,8,19,18,1014,94,,NIL,NIL,,,,,
"['08:22', '03/01']",03/01 08:22,200,7,NIL,3900,NIL,,600,8,20,18,1014,88,,NIL,NIL,,,,,
"['08:27', '03/01']",03/01 08:27,190,7,NIL,2800,NIL,,600,8,19,18,1014,94,,1,1,,,,,
"['08:31', '03/01']",03/01 08:31,180,7,NIL,2600,NIL,,600,8,19,18,1014,94,,1,NIL,,,,,
"['08:38', '03/01']",03/01 08:38,180,7,NIL,2400,NIL,,500,8,19,18,1014,94,,1,1,,,,,
"['08:55', '03/01']",03/01 08:55,190,5,190,NIL,NIL,,300,8,19,18,1015,94,,1,1,,,,,
"['09:00', '03/01']",03/01 09:00,200,5,NIL,5000,NIL,,500,8,19,18,1015,94,,1,NIL,,,,,
"['10:00', '03/01']",03/01 10:00,200,7,195,9999,NIL,,600,5,20,18,1015,88,,NIL,NIL,,,,,
"['11:00', '03/01']",03/01 11:00,200,9,NIL,9000,NIL,,700,5,20,18,1015,88,,1,NIL,,,,,
"['12:00', '03/01']",03/01 12:00,190,11,NIL,9999,NIL,,1300,5,21,18,1016,83,,NIL,NIL,,,,,
"['13:00', '03/01']",03/01 13:00,200,10,NIL,9999,NIL,,1300,5,21,18,1017,83,,NIL,NIL,,,,,
"['14:00', '03/01']",03/01 14:00,190,10,NIL,8000,NIL,,900,5,21,18,1017,83,,1,NIL,,,,,
"['15:00', '03/01']",03/01 15:00,210,11,205,9999,NIL,,1500,5,22,18,1017,78,,NIL,NIL,,,,,
"['16:00', '03/01']",03/01 16:00,180,13,NIL,9999,NIL,,1500,5,22,17,1016,73,,NIL,NIL,,,,,
"['17:00', '03/01']",03/01 17:00,200,11,195,9999,NIL,,1800,5,23,18,1016,73,,NIL,NIL,,,,,
"['18:00', '03/01']",03/01 18:00,190,14,NIL,9999,NIL,,1700,8,22,17,1015,73,,NIL,NIL,,,,,
"['19:00', '03/01']",03/01 19:00,180,14,190,9999,NIL,,1700,5,21,17,1015,78,,NIL,NIL,,,,,
"['20:00', '03/01']",03/01 20:00,190,13,NIL,7000,NIL,,1100,8,20,17,1015,83,,NIL,NIL,,,,,
"['20:33', '03/01']",03/01 20:33,190,10,195,9999,NIL,,5000,5,21,16,1015,73,,NIL,NIL,,,,,
"['21:00', '03/01']",03/01 21:00,200,11,NIL,9999,NIL,,5000,5,21,16,1015,73,,NIL,NIL,,,,,
"['22:00', '03/01']",03/01 22:00,180,10,NIL,9999,NIL,,1400,5,20,17,1015,83,,NIL,NIL,,,,,
"['23:00', '03/01']",03/01 23:00,170,8,NIL,9000,NIL,,900,5,19,17,1016,88,,NIL,NIL,,,,,
"['23:40', '03/01']",03/01 23:40,170,9,NIL,9999,NIL,,NIL,3,19,16,1016,83,,NIL,NIL,,,,,
"['00:00', '04/01']",04/01 00:00,180,10,NIL,9999,NIL,,NIL,3,19,16,1016,83,,NIL,NIL,,,,,
"['01:00', '04/01']",04/01 01:00,170,8,NIL,9999,NIL,NIL,NIL,2,19,16,1016,83,NIL,NIL,,,,,,
"['02:00', '04/01']",04/01 02:00,190,7,195,9999,NIL,NIL,NIL,3,19,16,1016,83,NIL,NIL,,,,,,
"['02:01', '04/01']",04/01 02:01,180,7,NIL,9999,NIL,NIL,NIL,3,19,16,1015,83,NIL,NIL,,,,,,
"['03:00', '04/01']",04/01 03:00,200,6,200,NIL,NIL,NIL,NIL,2,19,16,1015,83,NIL,NIL,,,,,,
"['03:03', '04/01']",04/01 03:03,200,6,NIL,9999,NIL,NIL,1200,5,19,16,1015,83,NIL,NIL,,,,,,
"['03:15', '04/01']",04/01 03:15,190,7,NIL,9999,NIL,NIL,1100,5,19,16,1014,83,NIL,NIL,,,,,,
"['03:45', '04/01']",04/01 03:45,180,7,NIL,9999,NIL,NIL,1000,5,19,17,1014,88,NIL,NIL,,,,,,
"['03:46', '04/01']",04/01 03:46,190,7,NIL,9999,NIL,NIL,1000,5,19,17,1014,88,NIL,NIL,,,,,,
"['03:50', '04/01']",04/01 03:50,190,6,NIL,9999,NIL,NIL,900,5,19,17,1014,88,NIL,NIL,,,,,,
"['04:00', '04/01']",04/01 04:00,190,6,NIL,9999,NIL,NIL,900,5,19,17,1014,88,NIL,NIL,,,,,,
"['04:47', '04/01']",04/01 04:47,210,5,NIL,9999,NIL,NIL,1000,8,19,17,1013,88,NIL,NIL,,,,,,
"['04:48', '04/01']",04/01 04:48,200,5,NIL,9999,NIL,NIL,800,8,19,17,1013,88,NIL,NIL,,,,,,
"['05:00', '04/01']",04/01 05:00,190,5,180,NIL,NIL,NIL,1000,8,19,17,1013,88,NIL,NIL,,,,,,
"['05:36', '04/01']",04/01 05:36,220,3,220,NIL,NIL,NIL,1500,8,19,16,1013,83,NIL,NIL,,,,,,
"['05:37', '04/01']",04/01 05:37,220,3,220,NIL,NIL,NIL,1400,8,19,16,1013,83,NIL,NIL,,,,,,
"['06:00', '04/01']",04/01 06:00,VRB,2,NIL,9999,NIL,NIL,1400,8,19,16,1013,83,NIL,NIL,,,,,,
"['06:17', '04/01']",04/01 06:17,190,4,190,NIL,NIL,NIL,1700,8,19,17,1013,88,NIL,NIL,,,,,,
"['06:33', '04/01']",04/01 06:33,200,5,NIL,9999,NIL,NIL,900,8,19,17,1013,88,NIL,NIL,,,,,,
"['06:48', '04/01']",04/01 06:48,200,3,205,NIL,NIL,NIL,1000,8,19,17,1013,88,NIL,NIL,,,,,,
"['06:50', '04/01']",04/01 06:50,200,4,NIL,9999,NIL,NIL,1000,8,19,17,1013,88,NIL,NIL,,,,,,
"['07:00', '04/01']",04/01 07:00,190,4,NIL,9999,NIL,NIL,1000,8,19,17,1013,88,NIL,NIL,,,,,,
"['07:13', '04/01']",04/01 07:13,200,3,190,NIL,NIL,NIL,900,8,19,17,1013,88,NIL,NIL,,,,,,
"['07:57', '04/01']",04/01 07:57,0,0,NIL,9999,NIL,NIL,1000,8,19,17,1013,88,NIL,NIL,,,,,,
"['08:00', '04/01']",04/01 08:00,0,0,NIL,9999,NIL,NIL,1000,8,19,17,1013,88,NIL,NIL,,,,,,
"['09:00', '04/01']",04/01 09:00,100,2,NIL,9999,NIL,NIL,900,8,19,17,1014,88,NIL,NIL,,,,,,
"['09:42', '04/01']",04/01 09:42,VRB,3,NIL,9999,NIL,NIL,10000,5,20,17,1014,83,NIL,NIL,,,,,,
"['10:00', '04/01']",04/01 10:00,170,4,195,9999,NIL,NIL,10000,5,20,17,1014,83,NIL,NIL,,,,,,
"['11:00', '04/01']",04/01 11:00,170,3,180,9000,NIL,NIL,10000,5,22,17,1014,73,NIL,NIL,,,,,,
"['12:00', '04/01']",04/01 12:00,220,4,235,9000,NIL,NIL,NIL,3,22,18,1014,78,NIL,NIL,,,,,,
"['13:00', '04/01']",04/01 13:00,220,4,220,8000,NIL,NIL,NIL,3,23,18,1014,73,NIL,NIL,,,,,,
"['14:00', '04/01']",04/01 14:00,VRB,4,NIL,9000,NIL,NIL,NIL,3,23,18,1014,73,NIL,NIL,,,,,,
"['15:00', '04/01']",04/01 15:00,310,3,300,8000,NIL,NIL,4000,5,23,18,1014,73,NIL,NIL,,,,,,
"['16:00', '04/01']",04/01 16:00,240,6,230,8000,NIL,NIL,5100,5,24,18,1013,69,NIL,NIL,,,,,,
"['17:00', '04/01']",04/01 17:00,210,7,240,9000,NIL,NIL,9700,5,26,18,1012,61,NIL,NIL,,,,,,
"['18:00', '04/01']",04/01 18:00,180,15,NIL,9999,NIL,NIL,1500,5,22,19,1012,83,NIL,1,,,,,,
"['18:07', '04/01']",04/01 18:07,180,16,NIL,9999,1,1,900,5,22,18,1012,78,29,NIL,,,,,,
"['18:24', '04/01']",04/01 18:24,190,16,NIL,2000,1,1,900,5,21,18,1012,83,NIL,NIL,,,,,,
"['18:41', '04/01']",04/01 18:41,180,9,NIL,5000,1,1,1100,5,20,19,1012,94,NIL,NIL,,,,,,
"['19:00', '04/01']",04/01 19:00,180,10,NIL,8000,1,1,700,5,20,19,1012,94,NIL,NIL,,,,,,
"['20:00', '04/01']",04/01 20:00,180,10,NIL,9999,NIL,NIL,900,5,21,19,1012,88,NIL,NIL,,,,,,
"['21:00', '04/01']",04/01 21:00,180,12,NIL,9999,NIL,NIL,1700,5,21,18,1012,83,NIL,NIL,,,,,,
"['22:00', '04/01']",04/01 22:00,180,10,NIL,9999,NIL,NIL,1300,5,20,17,1013,83,NIL,NIL,,,,,,
"['23:00', '04/01']",04/01 23:00,170,11,NIL,9999,NIL,NIL,800,5,20,18,1013,88,NIL,NIL,,,,,,
"['00:00', '05/01']",05/01 00:00,180,11,NIL,9999,NIL,NIL,1500,5,20,17,1014,83,NIL,NIL,,,,,,
"['01:00', '05/01']",05/01 01:00,160,8,NIL,9999,NIL,,900,5,19,17,1014,88,,NIL,,,,,,
"['02:00', '05/01']",05/01 02:00,120,4,120,9999,NIL,,NIL,NIL,19,17,1014,88,,NIL,,,,,,
"['02:03', '05/01']",05/01 02:03,110,5,115,9999,NIL,,NIL,2,19,17,1013,88,,NIL,,,,,,
"['02:35', '05/01']",05/01 02:35,150,4,NIL,9999,NIL,,900,5,19,17,1013,88,,NIL,,,,,,
"['03:00', '05/01']",05/01 03:00,140,3,145,NIL,NIL,,800,8,19,17,1013,88,,NIL,,,,,,
"['03:09', '05/01']",05/01 03:09,140,3,NIL,9999,NIL,,1000,8,19,17,1013,88,,NIL,,,,,,
"['04:00', '05/01']",05/01 04:00,130,3,130,NIL,NIL,,1000,5,19,17,1012,88,,NIL,,,,,,
"['05:00', '05/01']",05/01 05:00,160,3,NIL,9999,NIL,,1000,5,19,17,1011,88,,NIL,,,,,,
"['05:36', '05/01']",05/01 05:36,170,4,NIL,9999,NIL,,900,5,19,17,1011,88,,NIL,,,,,,
"['05:49', '05/01']",05/01 05:49,190,6,NIL,9999,NIL,,1200,5,19,17,1010,88,,NIL,,,,,,
"['05:50', '05/01']",05/01 05:50,190,6,NIL,9999,NIL,,900,5,19,17,1010,88,,NIL,,,,,,
"['06:00', '05/01']",05/01 06:00,200,6,NIL,9999,NIL,,NIL,3,19,17,1010,88,,NIL,,,,,,
"['07:00', '05/01']",05/01 07:00,160,3,NIL,9999,NIL,,NIL,NIL,19,17,1010,88,,NIL,,,,,,
"['08:00', '05/01']",05/01 08:00,VRB,2,NIL,9999,NIL,,NIL,NIL,19,17,1010,88,,NIL,,,,,,
"['09:00', '05/01']",05/01 09:00,VRB,1,NIL,9000,NIL,,NIL,NIL,19,17,1012,88,,NIL,,,,,,
"['10:00', '05/01']",05/01 10:00,VRB,2,NIL,9000,NIL,,1100,5,19,17,1013,88,,NIL,,,,,,
"['11:00', '05/01']",05/01 11:00,VRB,2,NIL,7000,NIL,,1100,8,20,17,1013,83,,NIL,,,,,,
"['12:00', '05/01']",05/01 12:00,210,5,210,7000,NIL,,1100,8,21,17,1013,78,,NIL,,,,,,
"['13:00', '05/01']",05/01 13:00,VRB,3,NIL,8000,NIL,,1500,8,22,17,1013,73,,NIL,,,,,,
"['14:00', '05/01']",05/01 14:00,140,3,135,7000,NIL,,1700,8,22,18,1013,78,,NIL,,,,,,
"['15:00', '05/01']",05/01 15:00,150,3,155,9999,NIL,,1900,8,23,18,1013,73,,NIL,,,,,,
"['16:00', '05/01']",05/01 16:00,250,4,255,9999,NIL,,3300,5,24,19,1012,74,,NIL,,,,,,
"['17:00', '05/01']",05/01 17:00,VRB,5,NIL,9999,1,,3300,5,24,19,1011,74,,NIL,,,,,,
"['18:00', '05/01']",05/01 18:00,160,12,NIL,9999,NIL,,2300,5,24,20,1011,78,,NIL,,,,,,
"['19:00', '05/01']",05/01 19:00,160,14,NIL,9999,NIL,,1300,5,23,19,1010,78,,NIL,,,,,,
"['19:15', '05/01']",05/01 19:15,170,13,NIL,4500,1,,1300,5,21,19,1010,88,,NIL,,,,,,
"['19:46', '05/01']",05/01 19:46,170,10,NIL,5000,1,,4300,5,21,19,1011,88,,NIL,,,,,,
"['20:00', '05/01']",05/01 20:00,150,11,NIL,9999,1,,700,5,20,19,1011,94,,NIL,,,,,,
"['21:00', '05/01']",05/01 21:00,150,8,NIL,9999,1,,700,5,21,19,1011,88,,NIL,,,,,,
"['22:00', '05/01']",05/01 22:00,150,7,NIL,9999,NIL,,800,5,20,18,1012,88,,NIL,,,,,,
"['23:00', '05/01']",05/01 23:00,140,6,NIL,8000,NIL,,700,5,20,18,1013,88,,1,,,,,,
"['00:00', '06/01']",06/01 00:00,110,4,105,8000,1,,900,5,20,19,1013,94,,NIL,,,,,,
"['01:00', '06/01']",06/01 01:00,50,5,NIL,7000,1,,900,5,20,19,1014,94,NIL,,,,,,,
"['02:00', '06/01']",06/01 02:00,70,5,65,9999,NIL,,NIL,3,19,17,1013,88,NIL,,,,,,,
"['02:02', '06/01']",06/01 02:02,80,4,75,9999,1,,NIL,2,19,17,1012,88,NIL,,,,,,,
"['03:00', '06/01']",06/01 03:00,50,7,NIL,9999,NIL,,NIL,NIL,19,17,1011,88,NIL,,,,,,,
"['04:00', '06/01']",06/01 04:00,50,5,NIL,9999,NIL,,NIL,NIL,20,17,1011,83,NIL,,,,,,,
"['05:00', '06/01']",06/01 05:00,60,6,NIL,9999,NIL,,NIL,2,20,18,1010,88,NIL,,,,,,,
"['06:00', '06/01']",06/01 06:00,60,4,60,NIL,NIL,,NIL,3,19,18,1010,94,NIL,,,,,,,
"['07:00', '06/01']",06/01 07:00,40,4,NIL,9999,NIL,,NIL,NIL,19,18,1011,94,NIL,,,,,,,
"['08:00', '06/01']",06/01 08:00,30,4,NIL,9999,NIL,,NIL,2,19,18,1011,94,NIL,,,,,,,
"['09:00', '06/01']",06/01 09:00,30,6,NIL,9999,NIL,,NIL,NIL,19,18,1012,94,NIL,,,,,,,
"['10:00', '06/01']",06/01 10:00,320,4,NIL,9999,NIL,,NIL,NIL,21,18,1013,83,NIL,,,,,,,
"['11:00', '06/01']",06/01 11:00,340,9,NIL,9999,NIL,,NIL,NIL,22,18,1013,78,NIL,,,,,,,
"['12:00', '06/01']",06/01 12:00,340,11,NIL,9999,NIL,,NIL,3,24,18,1013,69,NIL,,,,,,,
"['13:00', '06/01']",06/01 13:00,300,7,NIL,9999,NIL,,2300,5,25,18,1014,65,NIL,,,,,,,
"['14:00', '06/01']",06/01 14:00,340,12,NIL,9999,NIL,,3300,5,27,19,1014,62,NIL,,,,,,,
"['15:00', '06/01']",06/01 15:00,310,12,NIL,9999,NIL,,5000,5,27,18,1013,58,NIL,,,,,,,
"['16:00', '06/01']",06/01 16:00,310,12,NIL,9999,NIL,,4000,5,28,17,1013,51,NIL,,,,,,,
"['17:00', '06/01']",06/01 17:00,290,10,235,9999,NIL,,4300,5,29,17,1012,48,NIL,,,,,,,
"['18:00', '06/01']",06/01 18:00,310,7,300,9999,NIL,,5000,5,29,17,1012,48,NIL,,,,,,,
"['19:00', '06/01']",06/01 19:00,280,7,275,9999,NIL,,NIL,3,29,17,1011,48,19,,,,,,,
"['20:00', '06/01']",06/01 20:00,270,8,270,9999,NIL,,NIL,3,30,15,1011,40,NIL,,,,,,,
"['21:00', '06/01']",06/01 21:00,310,8,305,9999,NIL,,NIL,3,28,16,1011,48,NIL,,,,,,,
"['22:00', '06/01']",06/01 22:00,300,6,290,9999,NIL,,NIL,3,28,17,1012,51,NIL,,,,,,,
"['23:00', '06/01']",06/01 23:00,330,6,325,9999,NIL,,NIL,NIL,26,18,1013,61,NIL,,,,,,,
"['00:00', '07/01']",07/01 00:00,330,8,NIL,9999,NIL,,NIL,NIL,26,17,1014,58,NIL,,,,,,,
"['01:00', '07/01']",07/01 01:00,320,3,320,9999,NIL,NIL,NIL,NIL,25,18,1015,65,NIL,,,,,,,
"['02:00', '07/01']",07/01 02:00,310,4,295,9999,NIL,NIL,NIL,NIL,25,18,1015,65,NIL,,,,,,,
"['02:01', '07/01']",07/01 02:01,320,4,NIL,9999,NIL,NIL,NIL,NIL,24,18,1014,69,NIL,,,,,,,
"['03:00', '07/01']",07/01 03:00,320,3,NIL,9999,NIL,NIL,NIL,NIL,24,19,1014,74,NIL,,,,,,,
"['04:00', '07/01']",07/01 04:00,340,3,NIL,9999,NIL,NIL,NIL,NIL,23,19,1014,78,NIL,,,,,,,
"['05:00', '07/01']",07/01 05:00,320,3,NIL,9999,NIL,NIL,NIL,NIL,22,18,1014,78,NIL,,,,,,,
"['06:00', '07/01']",07/01 06:00,10,3,NIL,9999,NIL,NIL,NIL,NIL,22,18,1013,78,NIL,,,,,,,
"['07:00', '07/01']",07/01 07:00,310,5,NIL,9999,NIL,NIL,NIL,NIL,22,18,1014,78,NIL,,,,,,,
"['08:00', '07/01']",07/01 08:00,330,7,NIL,9999,NIL,NIL,NIL,NIL,22,18,1015,78,NIL,,,,,,,
"['09:00', '07/01']",07/01 09:00,340,8,NIL,9999,NIL,NIL,NIL,NIL,22,18,1015,78,NIL,,,,,,,
"['10:00', '07/01']",07/01 10:00,340,8,NIL,9999,NIL,NIL,NIL,NIL,23,18,1015,73,NIL,,,,,,,
