validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuvisco,nevoa_umida,pancada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro
"['02:09', '14/02']",14/02 02:09,140,9,NIL,9999,,,1300,5,19,17,1020,88,,,,,,,,
"['02:23', '14/02']",14/02 02:23,140,7,NIL,9999,,,2200,5,19,17,1020,88,,,,,,,,
"['03:00', '14/02']",14/02 03:00,130,7,NIL,9999,,,2400,5,19,17,1020,88,,,,,,,,
"['03:15', '14/02']",14/02 03:15,130,7,NIL,9999,,,1400,5,19,17,1019,88,,,,,,,,
"['03:18', '14/02']",14/02 03:18,130,7,NIL,9999,,,900,5,19,17,1019,88,,,,,,,,
"['03:38', '14/02']",14/02 03:38,140,7,NIL,8000,,,700,8,19,17,1019,88,,,,,,,,
"['03:49', '14/02']",14/02 03:49,140,7,NIL,9999,,,600,8,19,17,1019,88,,,,,,,,
"['03:53', '14/02']",14/02 03:53,130,6,130,NIL,,,600,8,19,17,1019,88,,,,,,,,
"['04:00', '14/02']",14/02 04:00,130,6,130,NIL,,,600,8,19,17,1019,88,,,,,,,,
"['04:18', '14/02']",14/02 04:18,110,6,120,NIL,,,1300,5,18,17,1019,94,,,,,,,,
"['04:29', '14/02']",14/02 04:29,120,5,120,NIL,,,NIL,3,19,17,1019,88,,,,,,,,
"['05:00', '14/02']",14/02 05:00,130,3,NIL,9999,,,NIL,2,18,16,1018,88,,,,,,,,
"['06:00', '14/02']",14/02 06:00,120,4,NIL,9999,,,NIL,NIL,18,15,1018,83,,,,,,,,
"['07:00', '14/02']",14/02 07:00,160,5,NIL,9999,,,NIL,NIL,17,15,1017,88,,,,,,,,
"['08:00', '14/02']",14/02 08:00,140,4,NIL,9999,,,NIL,NIL,17,15,1017,88,,,,,,,,
"['09:00', '14/02']",14/02 09:00,160,2,NIL,9999,,,NIL,NIL,17,15,1018,88,,,,,,,,
"['10:00', '14/02']",14/02 10:00,150,4,NIL,9999,,,NIL,2,18,15,1019,83,,,,,,,,
"['10:20', '14/02']",14/02 10:20,130,4,120,9999,,,1100,5,18,15,1019,83,,,,,,,,
"['11:00', '14/02']",14/02 11:00,140,4,130,9999,,,NIL,2,19,15,1019,78,,,,,,,,
"['12:00', '14/02']",14/02 12:00,120,4,100,9999,,,NIL,NIL,22,16,1020,69,,,,,,,,
"['13:00', '14/02']",14/02 13:00,120,6,120,9999,,,NIL,2,23,16,1020,65,,,,,,,,
"['14:00', '14/02']",14/02 14:00,VRB,5,NIL,9999,,,NIL,2,25,16,1019,57,,,,,,,,
"['15:00', '14/02']",14/02 15:00,VRB,4,NIL,9999,,,3700,5,26,17,1018,58,,,,,,,,
"['16:00', '14/02']",14/02 16:00,180,11,185,9999,,,4000,5,26,18,1018,61,,,,,,,,
"['17:00', '14/02']",14/02 17:00,160,11,NIL,9999,,,NIL,3,24,18,1017,69,,,,,,,,
"['18:00', '14/02']",14/02 18:00,150,12,NIL,9999,,,NIL,3,24,19,1017,74,,,,,,,,
"['19:00', '14/02']",14/02 19:00,160,14,NIL,9999,,,1300,5,22,18,1017,78,,,,,,,,
"['20:00', '14/02']",14/02 20:00,170,11,NIL,9999,,,900,5,21,18,1018,83,,,,,,,,
"['21:00', '14/02']",14/02 21:00,160,10,NIL,9999,,,900,5,20,18,1018,88,,,,,,,,
"['22:00', '14/02']",14/02 22:00,150,10,NIL,8000,,,900,5,20,18,1018,88,,,,,,,,
"['23:00', '14/02']",14/02 23:00,130,6,130,9999,,,900,5,20,18,1019,88,,,,,,,,
"['00:00', '15/02']",15/02 00:00,130,8,NIL,9999,,,1300,5,20,18,1019,88,,,,,,,,
"['01:00', '15/02']",15/02 01:00,140,6,130,9999,,,1500,5,20,17,1019,83,,,,,,,,
"['02:00', '15/02']",15/02 02:00,90,5,75,9999,,,1300,8,21,17,1019,78,,,,,,,,
"['02:00', '15/02']",15/02 02:00,110,5,NIL,9999,,,1500,5,21,17,1019,78,,,,,,,,
"['02:29', '15/02']",15/02 02:29,110,5,NIL,9999,,,1800,8,20,18,1018,88,,,,,,,,
"['02:49', '15/02']",15/02 02:49,80,5,80,NIL,,,1100,8,20,18,1018,88,,,,,,,,
"['02:53', '15/02']",15/02 02:53,70,5,70,NIL,,,900,8,20,18,1018,88,,,,,,,,
"['03:00', '15/02']",15/02 03:00,80,5,70,NIL,,,900,8,20,18,1018,88,,,,,,,,
"['03:09', '15/02']",15/02 03:09,90,5,85,NIL,,,900,5,20,18,1018,88,,,,,,,,
"['03:22', '15/02']",15/02 03:22,80,4,70,NIL,,,1400,5,20,18,1018,88,,,,,,,,
"['03:33', '15/02']",15/02 03:33,90,5,90,NIL,,,NIL,2,20,17,1018,83,,,,,,,,
"['04:00', '15/02']",15/02 04:00,80,3,70,9999,,,NIL,NIL,20,17,1017,83,,,,,,,,
"['05:00', '15/02']",15/02 05:00,50,3,NIL,9999,,,NIL,NIL,20,17,1017,83,,,,,,,,
"['06:00', '15/02']",15/02 06:00,70,5,75,9999,,,NIL,NIL,20,17,1016,83,,,,,,,,
"['07:00', '15/02']",15/02 07:00,VRB,2,NIL,9999,,,NIL,NIL,19,17,1016,88,,,,,,,,
"['08:00', '15/02']",15/02 08:00,60,3,65,NIL,,,NIL,2,19,17,1016,88,,,,,,,,
"['08:38', '15/02']",15/02 08:38,70,5,65,NIL,,,600,5,19,17,1016,88,,,,,,,,
"['09:00', '15/02']",15/02 09:00,70,7,75,9999,,,700,5,19,17,1017,88,,,,,,,,
"['10:00', '15/02']",15/02 10:00,60,5,NIL,9999,,,700,5,19,17,1018,88,,,,,,,,
"['11:00', '15/02']",15/02 11:00,50,5,50,9999,,,NIL,3,21,18,1018,83,,,,,,,,
"['12:00', '15/02']",15/02 12:00,60,5,60,9999,,,NIL,2,23,18,1018,73,,,,,,,,
"['13:00', '15/02']",15/02 13:00,40,4,205,9999,,,NIL,3,25,18,1018,65,,,,,,,,
"['14:00', '15/02']",15/02 14:00,350,5,160,9999,,,NIL,3,27,19,1018,62,,,,,,,,
"['15:00', '15/02']",15/02 15:00,310,6,135,9999,,,4000,5,28,19,1017,58,,,,,,,,
"['16:00', '15/02']",15/02 16:00,320,11,300,9999,,,NIL,3,30,17,1016,46,,,,,,,,
"['17:00', '15/02']",15/02 17:00,320,12,325,9999,,,NIL,3,30,15,1016,40,,,,,,,,
"['18:00', '15/02']",15/02 18:00,300,11,300,9999,,,NIL,3,31,15,1015,38,,,,,,,,
"['19:00', '15/02']",15/02 19:00,270,8,245,9999,,,NIL,3,30,19,1015,52,,,,,,,,
"['20:00', '15/02']",15/02 20:00,170,12,NIL,9999,,,NIL,2,26,19,1016,65,,,,,,,,
"['21:00', '15/02']",15/02 21:00,170,11,NIL,9999,,,NIL,NIL,24,18,1016,69,,,,,,,,
"['22:00', '15/02']",15/02 22:00,150,11,NIL,9999,,,NIL,NIL,22,18,1017,78,,,,,,,,
"['23:00', '15/02']",15/02 23:00,140,5,NIL,9999,,,NIL,NIL,21,18,1017,83,,,,,,,,
"['00:00', '16/02']",16/02 00:00,130,4,135,9999,,,NIL,2,22,17,1018,73,,,,,,,,
"['01:00', '16/02']",16/02 01:00,120,4,NIL,9999,,,NIL,NIL,22,18,1018,78,,,,,,,,
"['02:00', '16/02']",16/02 02:00,100,3,NIL,8000,,,NIL,3,22,18,1017,78,,,,,,,,
"['02:01', '16/02']",16/02 02:01,100,3,95,9999,,,NIL,NIL,22,18,1017,78,,,,,,,,
"['03:00', '16/02']",16/02 03:00,120,3,120,9999,,,NIL,NIL,22,18,1017,78,,,,,,,,
"['04:00', '16/02']",16/02 04:00,150,2,NIL,9999,,,NIL,NIL,21,18,1016,83,,,,,,,,
"['05:00', '16/02']",16/02 05:00,180,2,NIL,9999,,,NIL,NIL,21,17,1016,78,,,,,,,,
