validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,nevoa_umida,vis_setor,vis_setor_dir,pancada,chuvisco,nevoeiro
"['13:00', '23/07']",23/07 13:00,320,2,,9999,,3,25,18,1022,65,,,,,,,,,
"['14:00', '23/07']",23/07 14:00,40,6,,9999,,3,26,17,1021,58,,,,,,,,,
"['15:00', '23/07']",23/07 15:00,40,7,,9999,,3,25,16,1021,57,,,,,,,,,
"['16:00', '23/07']",23/07 16:00,70,5,,9999,,2,27,17,1020,54,,,,,,,,,
"['17:00', '23/07']",23/07 17:00,70,7,,9999,,2,27,16,1019,51,,,,,,,,,
"['18:00', '23/07']",23/07 18:00,90,8,,9999,,2,26,17,1019,58,,,,,,,,,
"['19:00', '23/07']",23/07 19:00,80,9,,9999,,2,25,17,1019,61,,,,,,,,,
"['20:00', '23/07']",23/07 20:00,70,8,,9999,,2,24,17,1019,65,,,,,,,,,
"['21:00', '23/07']",23/07 21:00,50,3,,9999,,2,22,18,1020,78,,,,,,,,,
"['22:00', '23/07']",23/07 22:00,0,0,,9999,,NIL,21,18,1021,83,,,,,,,,,
"['23:00', '23/07']",23/07 23:00,0,0,,9999,,2,20,18,1021,88,,,,,,,,,
"['00:00', '24/07']",24/07 00:00,0,0,,9999,,2,19,18,1021,94,,,,,,,,,
"['01:00', '24/07']",24/07 01:00,350,2,,9999,NIL,NIL,18,17,1022,94,,,,,,,,,
"['02:00', '24/07']",24/07 02:00,30,3,,9999,NIL,NIL,18,17,1022,94,,,,,,,,,
"['03:00', '24/07']",24/07 03:00,320,1,,9999,NIL,2,18,17,1022,94,,,,,,,,,
"['04:00', '24/07']",24/07 04:00,320,2,,9999,NIL,2,18,17,1021,94,,,,,,,,,
"['05:00', '24/07']",24/07 05:00,310,2,,9999,NIL,2,17,16,1021,94,,,,,,,,,
"['06:00', '24/07']",24/07 06:00,310,3,,9999,NIL,2,17,16,1021,94,,,,,,,,,
"['07:00', '24/07']",24/07 07:00,310,3,,9999,NIL,3,18,17,1022,94,,,,,,,,,
"['08:00', '24/07']",24/07 08:00,330,2,,9999,NIL,3,18,17,1021,94,,,,,,,,,
"['09:00', '24/07']",24/07 09:00,320,1,,9999,3000,5,19,17,1021,88,,,,,,,,,
"['10:00', '24/07']",24/07 10:00,280,2,,9999,4000,5,19,18,1021,94,,,,,,,,,
"['11:00', '24/07']",24/07 11:00,300,2,,9999,4000,5,21,18,1022,83,,,,,,,,,
"['12:00', '24/07']",24/07 12:00,310,2,,9999,4000,5,22,19,1022,83,,,,,,,,,
"['13:00', '24/07']",24/07 13:00,310,3,,9999,4500,5,24,19,1022,74,,,,,,,,,
"['14:00', '24/07']",24/07 14:00,50,10,,9999,6000,5,24,19,1022,74,,,,,,,,,
"['15:00', '24/07']",24/07 15:00,50,9,,9999,6500,5,25,18,1021,65,,,,,,,,,
"['16:00', '24/07']",24/07 16:00,70,12,,9999,4900,5,25,18,1021,65,,,,,,,,,
"['17:00', '24/07']",24/07 17:00,60,8,,9999,6000,5,25,19,1020,69,,,,,,,,,
"['18:00', '24/07']",24/07 18:00,40,11,,9999,6000,5,25,19,1020,69,,,,,,,,,
"['19:00', '24/07']",24/07 19:00,50,9,,9999,6000,5,26,18,1020,61,,,,,,,,,
"['20:00', '24/07']",24/07 20:00,50,8,,9999,6000,5,24,18,1021,69,,,,,,,,,
"['21:00', '24/07']",24/07 21:00,50,4,,9999,6000,5,23,18,1021,73,,,,,,,,,
"['22:00', '24/07']",24/07 22:00,290,2,,9999,NIL,3,22,19,1022,83,,,,,,,,,
"['23:00', '24/07']",24/07 23:00,VRB,1,,9999,NIL,3,21,18,1022,83,,,,,,,,,
"['00:00', '25/07']",25/07 00:00,0,0,,9999,NIL,3,20,18,1022,88,,,,,,,,,
"['01:00', '25/07']",25/07 01:00,0,0,,9999,NIL,3,19,18,1023,94,,,,,,,,,
"['02:00', '25/07']",25/07 02:00,350,2,,9999,2700,5,19,18,1023,94,,,,,,,,,
"['03:00', '25/07']",25/07 03:00,10,3,,9999,4700,5,20,19,1023,94,,,,,,,,,
"['04:00', '25/07']",25/07 04:00,340,3,,9999,4300,5,20,19,1023,94,,,,,,,,,
"['05:00', '25/07']",25/07 05:00,340,1,,9999,3700,5,19,18,1022,94,,,,,,,,,
"['06:00', '25/07']",25/07 06:00,340,3,,9999,3000,5,19,18,1022,94,,,,,,,,,
"['07:00', '25/07']",25/07 07:00,310,2,,9999,6000,5,20,19,1021,94,,,,,,,,,
"['08:00', '25/07']",25/07 08:00,320,1,,9999,NIL,3,19,18,1021,94,,,,,,,,,
"['09:00', '25/07']",25/07 09:00,350,1,,9999,NIL,2,18,17,1022,94,,,,,,,,,
"['10:00', '25/07']",25/07 10:00,310,1,,9999,NIL,2,18,17,1022,94,,,,,,,,,
"['11:00', '25/07']",25/07 11:00,300,4,,9999,NIL,NIL,20,18,1023,88,,,,,,,,,
"['12:00', '25/07']",25/07 12:00,320,4,,9999,NIL,NIL,23,18,1023,73,,,,,,,,,
"['13:00', '25/07']",25/07 13:00,330,3,,9999,NIL,2,25,18,1023,65,,,,,,,,,
"['14:00', '25/07']",25/07 14:00,40,3,,9999,NIL,3,25,18,1023,65,,,,,,,,,
"['15:00', '25/07']",25/07 15:00,270,1,,9999,NIL,3,26,19,1022,65,,,,,,,,,
"['16:00', '25/07']",25/07 16:00,60,8,,9999,NIL,2,27,19,1021,62,,,,,,,,,
"['17:00', '25/07']",25/07 17:00,80,9,,9999,NIL,2,27,19,1021,62,,,,,,,,,
"['18:00', '25/07']",25/07 18:00,80,11,,9999,NIL,2,26,19,1021,65,,,,,,,,,
"['19:00', '25/07']",25/07 19:00,70,10,,9999,NIL,2,25,19,1021,69,,,,,,,,,
"['20:00', '25/07']",25/07 20:00,50,9,,9999,NIL,2,24,19,1021,74,,,,,,,,,
"['21:00', '25/07']",25/07 21:00,40,6,,9999,NIL,2,23,20,1021,83,,,,,,,,,
"['22:00', '25/07']",25/07 22:00,20,4,,9999,NIL,NIL,22,19,1021,83,,,,,,,,,
"['23:00', '25/07']",25/07 23:00,30,2,,9999,NIL,NIL,21,19,1022,88,,,,,,,,,
"['00:00', '26/07']",26/07 00:00,320,3,,9999,NIL,3,21,19,1022,88,,,,,,,,,
"['01:00', '26/07']",26/07 01:00,330,2,,9999,NIL,3,20,19,1023,94,,NIL,,NIL,,,,NIL,
"['02:00', '26/07']",26/07 02:00,350,2,,9999,7000,5,20,19,1022,94,,NIL,,NIL,,,,NIL,
"['03:00', '26/07']",26/07 03:00,330,2,,9999,7000,5,20,19,1022,94,,NIL,,NIL,,,,NIL,
"['04:00', '26/07']",26/07 04:00,350,2,,9999,7000,5,20,19,1022,94,,NIL,,NIL,,,,NIL,
"['05:00', '26/07']",26/07 05:00,300,3,,9999,NIL,3,19,18,1022,94,,NIL,,NIL,,,,NIL,
"['06:00', '26/07']",26/07 06:00,0,0,,9999,NIL,3,19,18,1021,94,,NIL,,NIL,,,,NIL,
"['07:00', '26/07']",26/07 07:00,330,1,,9999,NIL,2,18,17,1021,94,,NIL,,NIL,,,,NIL,
"['08:00', '26/07']",26/07 08:00,320,3,,9999,3000,5,18,17,1021,94,,NIL,,NIL,,,,NIL,
"['09:00', '26/07']",26/07 09:00,300,3,,9999,1800,8,19,17,1021,88,,NIL,,NIL,,,,NIL,
"['10:00', '26/07']",26/07 10:00,290,2,,9999,1800,8,19,18,1022,94,,NIL,,NIL,,,,NIL,
