validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,nevoa_umida,vis_setor,vis_setor_dir,pancada,chuvisco,nevoeiro
"['01:00', '01/01']",01/01 01:00,350,6,NIL,9999,NIL,2,25,22,1013,83,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,360,6,NIL,9999,NIL,3,25,22,1013,83,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,360,6,NIL,9999,NIL,3,25,22,1013,83,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,350,4,NIL,9999,NIL,2,25,22,1012,83,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,360,4,NIL,9999,NIL,2,24,22,1011,89,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,320,4,NIL,9999,2000,5,23,22,1011,94,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,320,3,NIL,9999,NIL,NIL,23,22,1011,94,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,340,2,NIL,9999,NIL,NIL,22,21,1011,94,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,330,3,NIL,9999,NIL,NIL,23,22,1011,94,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,340,3,NIL,9999,NIL,NIL,25,22,1012,83,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,340,6,NIL,9999,NIL,NIL,27,22,1012,74,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,20,8,NIL,9999,NIL,2,29,21,1011,62,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,30,11,NIL,9999,NIL,2,30,22,1011,62,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,20,10,NIL,9999,NIL,3,30,21,1011,59,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,70,15,NIL,9999,NIL,3,30,23,1010,66,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,60,17,NIL,9999,NIL,2,30,23,1009,66,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,50,16,26,9999,NIL,2,30,24,1008,70,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,60,19,NIL,9999,NIL,2,29,23,1008,70,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,60,19,NIL,9999,NIL,2,29,23,1007,70,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,50,17,NIL,9999,NIL,2,28,23,1007,74,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,40,16,NIL,9999,NIL,2,27,23,1007,79,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,40,16,NIL,9999,NIL,NIL,26,23,1008,84,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,40,13,NIL,9999,NIL,NIL,26,23,1008,84,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,30,14,NIL,9999,NIL,NIL,26,23,1010,84,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,20,11,NIL,9999,NIL,NIL,26,23,1010,84,NIL,NIL,NIL,,,,,,
"['02:00', '02/01']",02/01 02:00,360,7,NIL,9999,2000,5,26,23,1010,84,NIL,NIL,NIL,,,,,,
"['03:00', '02/01']",02/01 03:00,340,6,NIL,9999,2000,5,26,23,1010,84,NIL,NIL,NIL,,,,,,
"['04:00', '02/01']",02/01 04:00,10,8,NIL,9999,3000,5,26,23,1009,84,NIL,NIL,NIL,,,,,,
"['05:00', '02/01']",02/01 05:00,10,7,NIL,9999,3000,5,26,23,1008,84,NIL,NIL,NIL,,,,,,
"['06:00', '02/01']",02/01 06:00,20,9,NIL,9999,NIL,3,25,23,1008,89,NIL,NIL,NIL,,,,,,
"['07:00', '02/01']",02/01 07:00,20,10,NIL,9999,NIL,3,25,22,1008,83,NIL,NIL,NIL,,,,,,
"['08:00', '02/01']",02/01 08:00,30,12,NIL,9999,NIL,2,25,22,1008,83,NIL,NIL,NIL,,,,,,
"['09:00', '02/01']",02/01 09:00,20,9,NIL,9999,NIL,2,26,23,1009,84,NIL,NIL,NIL,,,,,,
"['10:00', '02/01']",02/01 10:00,30,11,NIL,9999,NIL,NIL,26,23,1009,84,NIL,NIL,NIL,,,,,,
"['11:00', '02/01']",02/01 11:00,360,10,NIL,9999,NIL,NIL,29,23,1009,70,180,NIL,NIL,,,,,,
"['12:00', '02/01']",02/01 12:00,20,13,NIL,9999,NIL,NIL,30,23,1009,66,NIL,NIL,NIL,,,,,,
"['13:00', '02/01']",02/01 13:00,10,11,NIL,9999,NIL,2,32,24,1008,63,NIL,NIL,NIL,,,,,,
"['14:00', '02/01']",02/01 14:00,10,8,NIL,9999,NIL,2,33,23,1008,56,190,NIL,NIL,,,,,,
"['15:00', '02/01']",02/01 15:00,20,12,NIL,9999,NIL,3,34,24,1008,56,185,NIL,NIL,,,,,,
"['16:00', '02/01']",02/01 16:00,20,11,NIL,9999,10000,5,33,24,1007,59,NIL,NIL,NIL,,,,,,
"['17:00', '02/01']",02/01 17:00,60,12,NIL,9999,10000,5,31,25,1007,71,NIL,NIL,NIL,,,,,,
"['18:00', '02/01']",02/01 18:00,60,14,NIL,9999,10000,5,30,24,1006,70,NIL,NIL,NIL,,,,,,
"['19:00', '02/01']",02/01 19:00,50,11,21,9999,10000,5,31,23,1005,63,NIL,NIL,NIL,,,,,,
"['20:00', '02/01']",02/01 20:00,40,16,NIL,9999,10000,5,28,24,1006,79,NIL,NIL,NIL,,,,,,
"['21:00', '02/01']",02/01 21:00,40,10,NIL,9999,10000,5,27,24,1007,84,NIL,NIL,NIL,,,,,,
"['21:35', '02/01']",02/01 21:35,40,10,NIL,9999,10000,5,27,24,1007,84,NIL,NIL,1,,,,,,
"['22:00', '02/01']",02/01 22:00,350,9,27,9999,10000,5,27,22,1009,74,190,NIL,1,,,,,,
"['22:10', '02/01']",02/01 22:10,330,16,27,2000,1200,5,24,21,1009,83,NIL,1,1,,,,,,
"['22:40', '02/01']",02/01 22:40,340,11,22,5000,1500,5,22,21,1009,94,NIL,1,1,,,,,,
"['23:00', '02/01']",02/01 23:00,340,11,NIL,8000,2000,8,23,21,1009,89,NIL,1,1,,,,,,
"['00:00', '03/01']",03/01 00:00,350,8,NIL,9000,10000,8,24,22,1009,89,NIL,1,1,,,,,,
"['01:00', '03/01']",03/01 01:00,260,7,NIL,9999,8000,5,24,23,1010,94,NIL,NIL,1,NIL,,,,,
"['02:00', '03/01']",03/01 02:00,130,4,NIL,9000,9000,5,24,23,1011,94,NIL,1,NIL,NIL,,,,,
"['03:00', '03/01']",03/01 03:00,60,6,NIL,9000,10000,8,24,23,1011,94,NIL,1,NIL,NIL,,,,,
"['04:00', '03/01']",03/01 04:00,40,2,NIL,9999,10000,8,24,23,1011,94,NIL,1,NIL,NIL,,,,,
"['05:00', '03/01']",03/01 05:00,360,3,NIL,9999,10000,8,23,23,1010,100,NIL,1,NIL,NIL,,,,,
"['06:00', '03/01']",03/01 06:00,350,4,NIL,9999,6500,8,23,23,1010,100,NIL,NIL,NIL,NIL,,,,,
"['07:00', '03/01']",03/01 07:00,290,2,NIL,9999,10000,8,23,23,1009,100,NIL,NIL,NIL,NIL,,,,,
"['08:00', '03/01']",03/01 08:00,20,3,NIL,9999,NIL,NIL,24,22,1009,89,NIL,NIL,NIL,NIL,,,,,
"['09:00', '03/01']",03/01 09:00,360,4,NIL,9999,NIL,NIL,24,22,1009,89,NIL,NIL,NIL,NIL,,,,,
"['10:00', '03/01']",03/01 10:00,330,3,NIL,9999,NIL,NIL,25,23,1010,89,NIL,NIL,NIL,NIL,,,,,
"['11:00', '03/01']",03/01 11:00,10,4,NIL,9999,NIL,NIL,26,23,1010,84,NIL,NIL,NIL,NIL,,,,,
"['12:00', '03/01']",03/01 12:00,340,3,NIL,9999,NIL,NIL,28,23,1010,74,NIL,NIL,NIL,NIL,,,,,
"['13:00', '03/01']",03/01 13:00,40,7,NIL,9999,NIL,NIL,29,23,1010,70,40,NIL,NIL,NIL,,,,,
"['14:00', '03/01']",03/01 14:00,50,7,NIL,9999,NIL,2,30,25,1009,75,55,NIL,NIL,NIL,,,,,
"['15:00', '03/01']",03/01 15:00,60,9,NIL,9999,NIL,2,29,25,1009,79,NIL,NIL,NIL,NIL,,,,,
"['16:00', '03/01']",03/01 16:00,60,10,NIL,9999,NIL,2,31,25,1008,71,NIL,NIL,NIL,NIL,,,,,
"['17:00', '03/01']",03/01 17:00,60,10,NIL,9999,NIL,2,31,25,1007,71,NIL,NIL,NIL,NIL,,,,,
"['18:00', '03/01']",03/01 18:00,70,12,NIL,9999,10000,5,29,25,1006,79,NIL,1,1,NIL,,,,,
"['18:30', '03/01']",03/01 18:30,200,16,26,500,1300,5,27,24,1007,84,NIL,1,1,NIL,,,,,
"['19:00', '03/01']",03/01 19:00,170,19,NIL,3500,1300,5,25,24,1007,94,NIL,1,1,NIL,,,,,
"['20:00', '03/01']",03/01 20:00,80,7,NIL,3000,1400,5,25,24,1008,94,NIL,1,1,NIL,,,,,
"['20:38', '03/01']",03/01 20:38,100,9,NIL,8000,3000,5,24,23,1008,94,NIL,1,1,NIL,,,,,
"['21:00', '03/01']",03/01 21:00,110,6,NIL,9000,7000,5,24,23,1009,94,NIL,1,1,NIL,,,,,
"['21:25', '03/01']",03/01 21:25,290,4,NIL,4000,2500,8,24,23,1009,94,NIL,1,1,1,,,,,
"['22:00', '03/01']",03/01 22:00,190,4,NIL,3000,800,8,24,23,1010,94,NIL,1,1,1,,,,,
"['23:00', '03/01']",03/01 23:00,260,2,NIL,5000,600,8,24,23,1010,94,NIL,1,1,1,,,,,
"['00:00', '04/01']",04/01 00:00,140,7,NIL,5000,600,8,24,23,1011,94,NIL,1,1,1,,,,,
"['01:00', '04/01']",04/01 01:00,330,4,,5000,1000,8,23,23,1011,100,NIL,1,1,1,,,,,
"['02:00', '04/01']",04/01 02:00,310,3,,6000,1000,8,24,23,1010,94,NIL,1,1,NIL,,,,,
"['03:00', '04/01']",04/01 03:00,280,2,,7000,10000,8,24,23,1009,94,NIL,1,1,NIL,,,,,
"['04:00', '04/01']",04/01 04:00,40,2,,9999,NIL,NIL,24,23,1009,94,NIL,NIL,NIL,NIL,,,,,
"['05:00', '04/01']",04/01 05:00,60,3,,9999,10000,5,24,23,1009,94,NIL,NIL,NIL,NIL,,,,,
"['06:00', '04/01']",04/01 06:00,0,0,,9999,NIL,3,24,23,1008,94,NIL,NIL,NIL,NIL,,,,,
"['07:00', '04/01']",04/01 07:00,270,2,,9999,NIL,NIL,23,23,1008,100,NIL,NIL,NIL,NIL,,,,,
"['08:00', '04/01']",04/01 08:00,0,0,,9999,NIL,3,23,23,1008,100,NIL,NIL,NIL,NIL,,,,,
"['09:00', '04/01']",04/01 09:00,300,2,,9999,500,5,24,23,1009,94,NIL,NIL,NIL,NIL,,,,,
"['09:20', '04/01']",04/01 09:20,VRB,2,,9999,NIL,2,24,23,1009,94,NIL,NIL,NIL,NIL,,,,,
"['10:00', '04/01']",04/01 10:00,140,3,,9999,NIL,2,25,23,1009,89,140,NIL,NIL,NIL,,,,,
"['11:00', '04/01']",04/01 11:00,160,3,,9999,NIL,3,26,23,1010,84,160,NIL,NIL,NIL,,,,,
"['12:00', '04/01']",04/01 12:00,110,3,,9999,NIL,3,26,23,1010,84,115,NIL,NIL,NIL,,,,,
"['13:00', '04/01']",04/01 13:00,120,3,,9999,NIL,3,27,23,1010,79,120,NIL,NIL,NIL,,,,,
"['14:00', '04/01']",04/01 14:00,90,3,,9999,NIL,3,28,24,1010,79,95,NIL,NIL,NIL,,,,,
"['15:00', '04/01']",04/01 15:00,60,6,,9999,NIL,3,29,24,1010,74,235,NIL,NIL,NIL,,,,,
"['16:00', '04/01']",04/01 16:00,60,9,,9999,8000,5,27,24,1009,84,NIL,NIL,NIL,NIL,,,,,
"['17:00', '04/01']",04/01 17:00,70,7,,9999,10000,5,27,25,1008,89,NIL,NIL,NIL,NIL,,,,,
"['18:00', '04/01']",04/01 18:00,70,6,,9999,10000,5,29,25,1007,79,NIL,NIL,NIL,NIL,,,,,
"['19:00', '04/01']",04/01 19:00,180,5,,9999,6000,5,29,25,1007,79,NIL,NIL,NIL,NIL,,,,,
"['20:00', '04/01']",04/01 20:00,60,8,,9999,3000,5,26,25,1007,94,NIL,NIL,NIL,NIL,,,,,
"['20:30', '04/01']",04/01 20:30,30,12,,6000,3000,5,26,25,1008,94,NIL,1,NIL,NIL,,,,,
"['21:00', '04/01']",04/01 21:00,40,10,,9999,4000,5,26,25,1008,94,NIL,1,NIL,NIL,,,,,
"['22:00', '04/01']",04/01 22:00,40,11,,9999,3000,8,26,24,1009,89,NIL,NIL,NIL,NIL,,,,,
"['23:00', '04/01']",04/01 23:00,40,10,,9999,3000,8,26,23,1009,84,NIL,NIL,NIL,NIL,,,,,
"['00:00', '05/01']",05/01 00:00,40,11,,9999,3000,8,26,23,1009,84,NIL,NIL,NIL,NIL,,,,,
"['01:00', '05/01']",05/01 01:00,60,10,,9999,8000,5,25,23,1009,89,,NIL,,NIL,,,,,
"['02:00', '05/01']",05/01 02:00,60,13,,9999,8000,5,25,23,1009,89,,NIL,,NIL,,,,,
"['03:00', '05/01']",05/01 03:00,60,11,,9999,8000,5,25,23,1008,89,,NIL,,NIL,,,,,
"['04:00', '05/01']",05/01 04:00,360,12,,9999,10000,5,26,23,1007,84,,NIL,,NIL,,,,,
"['05:00', '05/01']",05/01 05:00,310,10,,9999,10000,5,26,23,1007,84,,NIL,,NIL,,,,,
"['06:00', '05/01']",05/01 06:00,10,12,,9999,NIL,NIL,25,23,1007,89,,NIL,,NIL,,,,,
"['07:00', '05/01']",05/01 07:00,10,11,,9999,NIL,3,24,23,1007,94,,NIL,,NIL,,,,,
"['08:00', '05/01']",05/01 08:00,30,12,,9999,NIL,3,24,23,1007,94,,NIL,,NIL,,,,,
"['09:00', '05/01']",05/01 09:00,30,13,,9999,NIL,3,24,23,1008,94,,NIL,,NIL,,,,,
"['10:00', '05/01']",05/01 10:00,360,9,,9999,NIL,NIL,26,23,1009,84,,NIL,,NIL,,,,,
"['11:00', '05/01']",05/01 11:00,60,9,,9999,NIL,NIL,25,23,1009,89,,NIL,,NIL,,,,,
"['12:00', '05/01']",05/01 12:00,10,11,,9999,NIL,NIL,29,24,1009,74,,NIL,,NIL,,,,,
"['13:00', '05/01']",05/01 13:00,20,14,,9999,NIL,2,29,24,1009,74,,NIL,,NIL,,,,,
"['14:00', '05/01']",05/01 14:00,10,12,,9999,NIL,2,31,25,1009,71,,NIL,,NIL,,,,,
"['15:00', '05/01']",05/01 15:00,20,11,,9999,NIL,2,32,25,1008,67,,NIL,,NIL,,,,,
"['16:00', '05/01']",05/01 16:00,20,12,,9999,NIL,3,33,25,1007,63,,NIL,,NIL,,,,,
"['17:00', '05/01']",05/01 17:00,40,10,,9999,NIL,3,32,25,1007,67,,NIL,,NIL,,,,,
"['18:00', '05/01']",05/01 18:00,50,12,,9999,9000,5,30,24,1006,70,,NIL,,NIL,,,,,
"['19:00', '05/01']",05/01 19:00,40,12,,9999,9000,5,30,25,1006,75,,NIL,,NIL,,,,,
"['20:00', '05/01']",05/01 20:00,50,9,,9999,10000,5,27,25,1007,89,,NIL,,NIL,,,,,
"['21:00', '05/01']",05/01 21:00,40,7,,9999,10000,5,27,25,1007,89,,NIL,,NIL,,,,,
"['22:00', '05/01']",05/01 22:00,20,10,,9999,10000,5,27,23,1008,79,,NIL,,NIL,,,,,
"['23:00', '05/01']",05/01 23:00,70,9,,9999,10000,5,27,24,1009,84,,NIL,,NIL,,,,,
"['00:00', '06/01']",06/01 00:00,0,0,,5000,4500,5,26,25,1010,94,,1,,1,,,,,
"['01:00', '06/01']",06/01 01:00,0,0,,5000,6000,8,26,25,1011,94,NIL,1,,1,,,,,
"['02:00', '06/01']",06/01 02:00,110,4,,8000,10000,5,26,25,1010,94,NIL,NIL,,NIL,,,,,
"['03:00', '06/01']",06/01 03:00,80,6,,9000,NIL,3,26,25,1010,94,NIL,NIL,,NIL,,,,,
"['04:00', '06/01']",06/01 04:00,80,6,,9000,1600,5,26,25,1009,94,NIL,NIL,,NIL,,,,,
"['05:00', '06/01']",06/01 05:00,60,6,,9999,6000,5,26,25,1008,94,NIL,NIL,,NIL,,,,,
"['06:00', '06/01']",06/01 06:00,0,0,,9999,10000,5,26,24,1008,89,NIL,NIL,,NIL,,,,,
"['07:00', '06/01']",06/01 07:00,70,10,,9999,10000,5,25,24,1009,94,NIL,NIL,,NIL,,,,,
"['08:00', '06/01']",06/01 08:00,30,13,,9999,10000,5,25,24,1009,94,NIL,NIL,,NIL,,,,,
"['09:00', '06/01']",06/01 09:00,30,11,,9999,NIL,2,25,24,1010,94,NIL,NIL,,NIL,,,,,
"['10:00', '06/01']",06/01 10:00,30,10,,9999,NIL,3,25,24,1010,94,NIL,NIL,,NIL,,,,,
"['11:00', '06/01']",06/01 11:00,20,10,,9999,NIL,2,26,24,1011,89,200,NIL,,NIL,,,,,
"['12:00', '06/01']",06/01 12:00,10,8,,9999,NIL,2,27,25,1011,89,185,NIL,,NIL,,,,,
"['13:00', '06/01']",06/01 13:00,20,10,,9999,NIL,2,29,25,1011,79,NIL,NIL,,NIL,,,,,
"['14:00', '06/01']",06/01 14:00,20,12,,9999,NIL,2,30,25,1010,75,NIL,NIL,,NIL,,,,,
"['15:00', '06/01']",06/01 15:00,60,13,,9999,NIL,2,31,25,1009,71,NIL,NIL,,NIL,,,,,
"['16:00', '06/01']",06/01 16:00,60,12,,9999,NIL,2,31,25,1009,71,NIL,NIL,,NIL,,,,,
"['17:00', '06/01']",06/01 17:00,60,13,,9999,NIL,2,29,25,1008,79,NIL,NIL,,NIL,,,,,
"['18:00', '06/01']",06/01 18:00,50,13,,9999,NIL,2,28,25,1008,84,NIL,NIL,,NIL,,,,,
"['19:00', '06/01']",06/01 19:00,40,14,,9999,NIL,2,29,25,1008,79,NIL,NIL,,NIL,,,,,
"['20:00', '06/01']",06/01 20:00,40,16,,9999,NIL,2,29,25,1008,79,NIL,NIL,,NIL,,,,,
"['21:00', '06/01']",06/01 21:00,30,13,,9999,NIL,2,29,25,1009,79,NIL,NIL,,NIL,,,,,
"['22:00', '06/01']",06/01 22:00,20,10,,9999,NIL,2,28,25,1009,84,NIL,NIL,,NIL,,,,,
"['23:00', '06/01']",06/01 23:00,10,11,,9999,NIL,NIL,28,25,1010,84,NIL,NIL,,NIL,,,,,
"['00:00', '07/01']",07/01 00:00,10,7,,9999,NIL,3,27,24,1011,84,NIL,NIL,,NIL,,,,,
"['01:00', '07/01']",07/01 01:00,30,14,,9999,,NIL,27,24,1011,84,,,,,,,,,
"['02:00', '07/01']",07/01 02:00,20,9,,9999,,2,27,24,1011,84,,,,,,,,,
"['03:00', '07/01']",07/01 03:00,30,6,,9999,,NIL,26,24,1011,89,,,,,,,,,
"['04:00', '07/01']",07/01 04:00,30,11,,9999,,NIL,26,24,1010,89,,,,,,,,,
"['05:00', '07/01']",07/01 05:00,30,13,,9999,,NIL,26,24,1010,89,,,,,,,,,
"['06:00', '07/01']",07/01 06:00,30,14,,9999,,NIL,26,24,1010,89,,,,,,,,,
"['07:00', '07/01']",07/01 07:00,20,9,,9999,,3,26,23,1010,84,,,,,,,,,
"['08:00', '07/01']",07/01 08:00,30,12,,9999,,3,26,23,1011,84,,,,,,,,,
"['09:00', '07/01']",07/01 09:00,30,10,,9999,,3,26,23,1012,84,,,,,,,,,
"['10:00', '07/01']",07/01 10:00,40,14,,9999,,3,26,24,1012,89,,,,,,,,,
"['11:00', '07/01']",07/01 11:00,10,10,,9999,,3,28,24,1012,79,,,,,,,,,
"['12:00', '07/01']",07/01 12:00,20,12,,9999,,3,30,25,1012,75,,,,,,,,,
"['13:00', '07/01']",07/01 13:00,20,14,,9999,,3,31,25,1012,71,,,,,,,,,
"['14:00', '07/01']",07/01 14:00,30,17,,9999,,2,31,25,1011,71,,,,,,,,,
"['15:00', '07/01']",07/01 15:00,20,16,,9999,,2,32,25,1011,67,,,,,,,,,
"['16:00', '07/01']",07/01 16:00,50,16,,9999,,2,31,25,1010,71,,,,,,,,,
"['17:00', '07/01']",07/01 17:00,40,18,,9999,,2,30,25,1009,75,,,,,,,,,
"['18:00', '07/01']",07/01 18:00,40,20,,9999,,2,30,25,1009,75,,,,,,,,,
"['19:00', '07/01']",07/01 19:00,40,20,,9999,,2,29,24,1008,74,,,,,,,,,
"['20:00', '07/01']",07/01 20:00,40,19,,9999,,NIL,29,24,1008,74,,,,,,,,,
"['21:00', '07/01']",07/01 21:00,40,19,,9999,,NIL,28,24,1008,79,,,,,,,,,
"['22:00', '07/01']",07/01 22:00,50,15,,9999,,NIL,27,23,1009,79,,,,,,,,,
"['23:00', '07/01']",07/01 23:00,40,13,,9999,,NIL,27,23,1010,79,,,,,,,,,
"['00:00', '08/01']",08/01 00:00,20,15,,9999,,NIL,27,23,1011,79,,,,,,,,,
"['01:00', '08/01']",08/01 01:00,30,12,,9999,,NIL,27,23,1012,79,NIL,,,,,,,,
"['02:00', '08/01']",08/01 02:00,20,13,,9999,,NIL,26,23,1012,84,NIL,,,,,,,,
"['03:00', '08/01']",08/01 03:00,20,11,,9999,,NIL,26,23,1011,84,NIL,,,,,,,,
"['04:00', '08/01']",08/01 04:00,20,12,,9999,,2,26,23,1011,84,NIL,,,,,,,,
"['05:00', '08/01']",08/01 05:00,20,12,,9999,,2,26,23,1010,84,NIL,,,,,,,,
"['06:00', '08/01']",08/01 06:00,30,10,,9999,,2,26,23,1010,84,NIL,,,,,,,,
"['07:00', '08/01']",08/01 07:00,20,12,,9999,,2,26,23,1011,84,NIL,,,,,,,,
"['08:00', '08/01']",08/01 08:00,20,12,,9999,,2,26,23,1011,84,NIL,,,,,,,,
"['09:00', '08/01']",08/01 09:00,350,9,,9999,,2,26,23,1012,84,NIL,,,,,,,,
"['10:00', '08/01']",08/01 10:00,10,12,,9999,,NIL,27,23,1012,79,NIL,,,,,,,,
"['11:00', '08/01']",08/01 11:00,20,10,,9999,,2,28,24,1013,79,190,,,,,,,,
"['12:00', '08/01']",08/01 12:00,10,13,,9999,,3,30,24,1013,70,NIL,,,,,,,,
"['13:00', '08/01']",08/01 13:00,10,12,,9999,,3,31,24,1013,66,185,,,,,,,,
"['14:00', '08/01']",08/01 14:00,10,14,,9999,,2,32,25,1013,67,190,,,,,,,,
"['15:00', '08/01']",08/01 15:00,20,15,,9999,,2,32,24,1012,63,NIL,,,,,,,,
"['16:00', '08/01']",08/01 16:00,10,14,,9999,,3,32,24,1011,63,NIL,,,,,,,,
"['17:00', '08/01']",08/01 17:00,50,14,,9999,,NIL,31,25,1010,71,NIL,,,,,,,,
"['18:00', '08/01']",08/01 18:00,50,16,,9999,,NIL,30,24,1010,70,NIL,,,,,,,,
"['19:00', '08/01']",08/01 19:00,50,17,,9999,,NIL,29,24,1009,74,NIL,,,,,,,,
"['20:00', '08/01']",08/01 20:00,40,19,,9999,,NIL,28,23,1009,74,NIL,,,,,,,,
"['21:00', '08/01']",08/01 21:00,30,16,,9999,,2,27,23,1011,79,NIL,,,,,,,,
"['22:00', '08/01']",08/01 22:00,40,15,,9999,,2,26,23,1011,84,NIL,,,,,,,,
"['23:00', '08/01']",08/01 23:00,40,15,,9999,,3,26,23,1011,84,NIL,,,,,,,,
"['00:00', '09/01']",09/01 00:00,60,11,,9999,,NIL,26,23,1012,84,NIL,,,,,,,,
"['01:00', '09/01']",09/01 01:00,60,10,NIL,9999,,NIL,26,22,1012,79,NIL,,,,,,,,
"['02:00', '09/01']",09/01 02:00,60,11,NIL,9999,,NIL,26,22,1012,79,NIL,,,,,,,,
"['03:00', '09/01']",09/01 03:00,50,12,NIL,9999,,NIL,26,22,1011,79,NIL,,,,,,,,
"['04:00', '09/01']",09/01 04:00,360,11,NIL,9999,,NIL,26,21,1011,74,NIL,,,,,,,,
"['05:00', '09/01']",09/01 05:00,350,6,NIL,9999,,NIL,25,21,1011,79,NIL,,,,,,,,
"['06:00', '09/01']",09/01 06:00,20,12,NIL,9999,,2,25,22,1011,83,NIL,,,,,,,,
"['07:00', '09/01']",09/01 07:00,10,11,NIL,9999,,2,24,21,1011,83,NIL,,,,,,,,
"['08:00', '09/01']",09/01 08:00,20,10,NIL,9999,,NIL,24,21,1012,83,NIL,,,,,,,,
"['09:00', '09/01']",09/01 09:00,20,11,NIL,9999,,NIL,24,20,1012,78,NIL,,,,,,,,
"['10:00', '09/01']",09/01 10:00,20,13,NIL,9999,,NIL,26,20,1013,70,NIL,,,,,,,,
"['11:00', '09/01']",09/01 11:00,10,13,23,9999,,NIL,28,20,1013,62,190,,,,,,,,
"['12:00', '09/01']",09/01 12:00,20,13,NIL,9999,,NIL,29,21,1013,62,200,,,,,,,,
"['13:00', '09/01']",09/01 13:00,30,15,NIL,9999,,NIL,30,22,1013,62,NIL,,,,,,,,
"['14:00', '09/01']",09/01 14:00,20,15,NIL,9999,,NIL,31,22,1012,59,NIL,,,,,,,,
"['15:00', '09/01']",09/01 15:00,60,13,NIL,9999,,NIL,31,23,1012,63,225,,,,,,,,
"['16:00', '09/01']",09/01 16:00,60,14,NIL,9999,,2,31,23,1012,63,NIL,,,,,,,,
"['17:00', '09/01']",09/01 17:00,60,15,NIL,9999,,2,30,23,1011,66,NIL,,,,,,,,
"['18:00', '09/01']",09/01 18:00,50,17,NIL,9999,,2,30,22,1010,62,NIL,,,,,,,,
"['19:00', '09/01']",09/01 19:00,40,17,NIL,9999,,2,29,21,1010,62,NIL,,,,,,,,
"['20:00', '09/01']",09/01 20:00,40,17,NIL,9999,,NIL,29,20,1010,58,NIL,,,,,,,,
"['21:00', '09/01']",09/01 21:00,40,18,NIL,9999,,NIL,27,22,1010,74,NIL,,,,,,,,
"['22:00', '09/01']",09/01 22:00,40,14,NIL,9999,,NIL,26,22,1011,79,NIL,,,,,,,,
"['23:00', '09/01']",09/01 23:00,40,13,NIL,9999,,NIL,26,22,1012,79,NIL,,,,,,,,
"['00:00', '10/01']",10/01 00:00,30,13,NIL,9999,,NIL,26,22,1012,79,NIL,,,,,,,,
"['01:00', '10/01']",10/01 01:00,20,12,,9999,,2,26,22,1013,79,NIL,,,,,,,,
"['02:00', '10/01']",10/01 02:00,10,11,,9999,,2,26,22,1013,79,NIL,,,,,,,,
"['03:00', '10/01']",10/01 03:00,360,9,,9999,,2,26,22,1013,79,NIL,,,,,,,,
"['04:00', '10/01']",10/01 04:00,10,12,,9999,,NIL,26,22,1012,79,NIL,,,,,,,,
"['05:00', '10/01']",10/01 05:00,10,10,,9999,,NIL,25,21,1012,79,NIL,,,,,,,,
"['06:00', '10/01']",10/01 06:00,20,9,,9999,,NIL,25,22,1012,83,NIL,,,,,,,,
"['07:00', '10/01']",10/01 07:00,20,9,,9999,,NIL,24,22,1012,89,NIL,,,,,,,,
"['08:00', '10/01']",10/01 08:00,10,6,,9999,,NIL,24,21,1012,83,NIL,,,,,,,,
"['09:00', '10/01']",10/01 09:00,10,7,,9999,,NIL,25,21,1013,79,NIL,,,,,,,,
"['10:00', '10/01']",10/01 10:00,360,8,,9999,,NIL,26,20,1013,70,NIL,,,,,,,,
"['11:00', '10/01']",10/01 11:00,10,11,,9999,,NIL,28,20,1013,62,190,,,,,,,,
"['12:00', '10/01']",10/01 12:00,20,13,,9999,,NIL,29,20,1013,58,NIL,,,,,,,,
"['13:00', '10/01']",10/01 13:00,20,14,,9999,,NIL,30,21,1013,59,NIL,,,,,,,,
"['14:00', '10/01']",10/01 14:00,20,13,,9999,,NIL,31,21,1013,55,NIL,,,,,,,,
"['15:00', '10/01']",10/01 15:00,20,13,,9999,,NIL,32,22,1012,56,NIL,,,,,,,,
"['16:00', '10/01']",10/01 16:00,60,14,,9999,,NIL,32,22,1012,56,NIL,,,,,,,,
