validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,chuva,trovoada,nevoa_umida,teto,vnt_vrb,chuvisco,vis_setor,vis_setor_dir,vnt_rajada,nevoa_seca
"['16:00', '28/01']",28/01 16:00,160,16,9999,2,28,24,1010,79,,,,NIL,,,,,,
"['17:00', '28/01']",28/01 17:00,170,17,9999,2,28,24,1010,79,,,,NIL,,,,,,
"['18:00', '28/01']",28/01 18:00,160,15,9999,2,28,24,1010,79,,,,NIL,,,,,,
"['19:00', '28/01']",28/01 19:00,160,14,9999,3,27,24,1010,84,,,,NIL,,,,,,
"['20:00', '28/01']",28/01 20:00,180,10,9999,3,27,25,1010,89,,,,NIL,,,,,,
"['21:00', '28/01']",28/01 21:00,170,7,9999,5,26,24,1010,89,,,,10000,,,,,,
"['22:00', '28/01']",28/01 22:00,160,11,9999,5,26,24,1010,89,,,,5000,,,,,,
"['23:00', '28/01']",28/01 23:00,180,9,9999,5,26,24,1011,89,,,,6000,,,,,,
"['00:00', '29/01']",29/01 00:00,170,7,9999,5,26,24,1011,89,,,,10000,,,,,,
"['01:00', '29/01']",29/01 01:00,150,4,9999,5,26,24,1012,89,NIL,NIL,,10000,,,,,,
"['02:00', '29/01']",29/01 02:00,140,5,9999,2,26,24,1011,89,NIL,NIL,,NIL,,,,,,
"['03:00', '29/01']",29/01 03:00,160,5,9999,3,26,24,1012,89,NIL,NIL,,NIL,,,,,,
"['04:00', '29/01']",29/01 04:00,170,5,9999,3,25,24,1011,94,NIL,NIL,,NIL,,,,,,
"['05:00', '29/01']",29/01 05:00,140,4,9999,3,25,24,1011,94,NIL,NIL,,NIL,,,,,,
"['06:00', '29/01']",29/01 06:00,150,6,9999,3,25,24,1010,94,NIL,NIL,,NIL,,,,,,
"['07:00', '29/01']",29/01 07:00,150,8,9999,3,25,24,1010,94,NIL,NIL,,NIL,,,,,,
"['08:00', '29/01']",29/01 08:00,140,6,9999,3,25,24,1011,94,NIL,NIL,,NIL,,,,,,
"['09:00', '29/01']",29/01 09:00,120,4,9999,3,25,24,1011,94,NIL,NIL,,NIL,,,,,,
"['10:00', '29/01']",29/01 10:00,80,2,9999,3,26,24,1012,89,NIL,NIL,,NIL,,,,,,
"['11:00', '29/01']",29/01 11:00,360,7,9000,3,27,24,1012,84,NIL,NIL,,NIL,,,,,,
"['12:00', '29/01']",29/01 12:00,340,6,9999,3,28,25,1013,84,NIL,NIL,,NIL,,,,,,
"['13:00', '29/01']",29/01 13:00,350,4,9999,3,29,24,1012,74,NIL,NIL,,NIL,,,,,,
"['13:37', '29/01']",29/01 13:37,120,4,9999,5,28,25,1012,84,NIL,NIL,,10000,,,,,,
"['14:00', '29/01']",29/01 14:00,150,5,9999,5,29,25,1012,79,NIL,NIL,,10000,,,,,,
"['15:00', '29/01']",29/01 15:00,150,9,9999,5,28,24,1012,79,NIL,NIL,,10000,,,,,,
"['16:00', '29/01']",29/01 16:00,170,11,9999,5,29,24,1012,74,NIL,NIL,,10000,,,,,,
"['17:00', '29/01']",29/01 17:00,170,12,9999,3,29,24,1011,74,NIL,NIL,,NIL,,,,,,
"['18:00', '29/01']",29/01 18:00,180,12,9999,3,30,24,1011,70,NIL,NIL,,NIL,,,,,,
"['19:00', '29/01']",29/01 19:00,170,14,9999,2,29,25,1010,79,NIL,NIL,,NIL,,,,,,
"['20:00', '29/01']",29/01 20:00,180,13,9999,2,28,24,1010,79,NIL,NIL,,NIL,,,,,,
"['21:00', '29/01']",29/01 21:00,190,12,9999,3,28,24,1010,79,NIL,1,,NIL,,,,,,
"['22:00', '29/01']",29/01 22:00,10,4,9999,3,27,24,1011,84,NIL,1,,NIL,,,,,,
"['23:00', '29/01']",29/01 23:00,100,5,9000,5,27,23,1011,79,1,1,,4000,,,,,,
"['00:00', '30/01']",30/01 00:00,330,11,9000,5,27,23,1010,79,NIL,1,,9000,,,,,,
"['01:00', '30/01']",30/01 01:00,330,6,9999,5,26,23,1011,84,NIL,NIL,,9000,NIL,,,,NIL,
