validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,chuva,trovoada,nevoa_umida,teto,vnt_vrb,chuvisco,vis_setor,vis_setor_dir,vnt_rajada,nevoa_seca
"['01:00', '01/01']",01/01 01:00,90,5,9999,NIL,27,23,1008,79,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,360,2,9999,NIL,27,23,1008,79,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,350,5,9999,NIL,26,23,1008,84,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,330,3,9999,NIL,26,23,1008,84,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,360,2,9999,NIL,26,23,1007,84,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,330,4,9999,NIL,26,22,1007,79,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,330,4,9999,NIL,25,22,1007,83,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,10,4,9999,NIL,25,22,1007,83,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,330,5,9999,NIL,26,22,1007,79,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,350,5,9999,NIL,26,22,1007,79,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,360,5,9999,NIL,27,22,1007,74,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,360,6,9999,NIL,29,21,1007,62,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,330,5,9999,NIL,30,21,1007,59,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,70,4,9999,NIL,32,24,1006,63,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,60,5,9999,NIL,33,22,1006,53,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,150,6,9999,NIL,32,23,1005,59,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,160,9,9999,2,32,24,1004,63,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,170,12,9999,2,30,22,1004,62,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,180,10,9999,2,30,23,1003,66,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,200,11,9999,3,31,22,1003,59,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,180,8,9999,3,31,22,1003,59,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,320,4,9999,NIL,30,22,1003,62,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,320,5,9999,NIL,30,22,1004,62,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,300,9,9999,NIL,29,25,1005,79,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,330,8,9999,NIL,29,22,1005,66,NIL,NIL,NIL,NIL,,,,,,
"['02:00', '02/01']",02/01 02:00,320,6,9999,NIL,28,23,1006,74,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '02/01']",02/01 03:00,100,6,9999,NIL,28,23,1005,74,NIL,NIL,NIL,NIL,,,,,,
"['04:00', '02/01']",02/01 04:00,340,7,9999,NIL,28,24,1004,79,NIL,NIL,NIL,NIL,,,,,,
"['05:00', '02/01']",02/01 05:00,350,9,9999,NIL,27,24,1004,84,NIL,NIL,NIL,NIL,,,,,,
"['06:00', '02/01']",02/01 06:00,330,7,9999,NIL,27,23,1003,79,NIL,NIL,NIL,NIL,,,,,,
"['07:00', '02/01']",02/01 07:00,350,8,9999,NIL,27,23,1004,79,NIL,NIL,NIL,NIL,,,,,,
"['08:00', '02/01']",02/01 08:00,200,7,9999,NIL,27,24,1004,84,NIL,NIL,NIL,NIL,,,,,,
"['09:00', '02/01']",02/01 09:00,10,6,9999,NIL,27,24,1005,84,NIL,NIL,NIL,NIL,,,,,,
"['10:00', '02/01']",02/01 10:00,90,3,9999,NIL,27,23,1005,79,NIL,NIL,NIL,NIL,,,,,,
"['11:00', '02/01']",02/01 11:00,150,5,9999,NIL,27,23,1006,79,NIL,NIL,NIL,NIL,,,,,,
"['12:00', '02/01']",02/01 12:00,140,5,9999,5,27,23,1006,79,NIL,NIL,NIL,10000,,,,,,
"['13:00', '02/01']",02/01 13:00,150,10,9999,5,27,22,1006,74,NIL,NIL,NIL,10000,,,,,,
"['14:00', '02/01']",02/01 14:00,150,9,9999,5,26,22,1006,79,NIL,NIL,NIL,10000,,,,,,
"['15:00', '02/01']",02/01 15:00,150,9,9999,5,27,22,1006,74,NIL,NIL,NIL,10000,,,,,,
"['16:00', '02/01']",02/01 16:00,160,8,9999,5,28,22,1006,70,NIL,NIL,NIL,10000,,,,,,
"['17:00', '02/01']",02/01 17:00,190,15,9999,5,29,22,1006,66,NIL,NIL,NIL,10000,,,,,,
"['18:00', '02/01']",02/01 18:00,190,15,9999,5,30,23,1005,66,NIL,NIL,NIL,10000,,,,,,
"['19:00', '02/01']",02/01 19:00,190,15,9999,5,30,22,1005,62,NIL,NIL,NIL,10000,,,,,,
"['20:00', '02/01']",02/01 20:00,180,8,9999,8,28,23,1007,74,NIL,NIL,NIL,10000,,,,,,
"['21:00', '02/01']",02/01 21:00,120,7,7000,8,26,24,1008,89,1,1,NIL,10000,,,,,,
"['21:25', '02/01']",02/01 21:25,30,15,6000,8,24,23,1008,94,1,1,NIL,1300,,,,,,
"['22:00', '02/01']",02/01 22:00,20,10,6000,8,24,23,1009,94,1,1,NIL,1200,,,,,,
"['22:20', '02/01']",02/01 22:20,20,7,6000,8,24,23,1009,94,1,NIL,NIL,1200,,,,,,
"['22:30', '02/01']",02/01 22:30,20,6,5000,8,24,23,1009,94,1,NIL,1,1200,,,,,,
"['22:48', '02/01']",02/01 22:48,30,8,6000,8,23,22,1009,94,1,NIL,NIL,1200,,,,,,
"['23:00', '02/01']",02/01 23:00,30,5,6000,5,23,22,1009,94,1,NIL,NIL,1300,,,,,,
"['00:00', '03/01']",03/01 00:00,10,5,9000,5,24,22,1009,89,NIL,NIL,NIL,1000,,,,,,
"['00:25', '03/01']",03/01 00:25,360,2,9999,5,24,22,1009,89,NIL,NIL,NIL,9000,,,,,,
"['01:00', '03/01']",03/01 01:00,320,4,9999,5,24,22,1009,89,NIL,NIL,NIL,9000,,,,,,
"['02:00', '03/01']",03/01 02:00,40,3,9999,3,24,22,1008,89,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '03/01']",03/01 03:00,50,5,9999,NIL,24,22,1007,89,NIL,NIL,NIL,NIL,,,,,,
"['04:00', '03/01']",03/01 04:00,30,7,9999,NIL,24,23,1007,94,NIL,NIL,NIL,NIL,,,,,,
"['05:00', '03/01']",03/01 05:00,340,5,9999,NIL,25,23,1007,89,NIL,NIL,NIL,NIL,,,,,,
"['06:00', '03/01']",03/01 06:00,30,6,9999,NIL,24,23,1008,94,NIL,NIL,NIL,NIL,,,,,,
"['07:00', '03/01']",03/01 07:00,10,6,9999,3,24,23,1007,94,NIL,NIL,NIL,NIL,,,,,,
"['08:00', '03/01']",03/01 08:00,30,6,9999,3,24,23,1008,94,NIL,NIL,NIL,NIL,,,,,,
"['09:00', '03/01']",03/01 09:00,30,4,9999,5,24,23,1008,94,NIL,NIL,NIL,7000,,,,,,
"['10:00', '03/01']",03/01 10:00,300,5,9999,5,25,23,1009,89,NIL,NIL,NIL,10000,,,,,,
"['11:00', '03/01']",03/01 11:00,360,4,9999,5,25,23,1009,89,NIL,NIL,NIL,10000,,,,,,
"['12:00', '03/01']",03/01 12:00,200,5,9999,5,26,24,1009,89,NIL,NIL,NIL,10000,,,,,,
"['13:00', '03/01']",03/01 13:00,50,4,9999,5,27,24,1010,84,NIL,NIL,NIL,10000,,,,,,
"['14:00', '03/01']",03/01 14:00,190,15,8000,8,27,24,1010,84,NIL,NIL,NIL,1000,,,,,,
"['14:30', '03/01']",03/01 14:30,210,13,5000,8,26,23,1010,84,1,1,1,1000,,,,,,
"['15:00', '03/01']",03/01 15:00,210,8,5000,8,25,23,1010,89,1,1,1,1000,,,,,,
"['15:15', '03/01']",03/01 15:15,190,8,6000,8,25,23,1010,89,1,1,NIL,1500,,,,,,
"['16:00', '03/01']",03/01 16:00,230,5,9999,5,26,23,1009,84,NIL,1,NIL,1500,,,,,,
"['17:00', '03/01']",03/01 17:00,50,5,9999,5,26,23,1009,84,NIL,NIL,NIL,8000,,,,,,
"['18:00', '03/01']",03/01 18:00,210,6,9999,5,26,23,1009,84,1,NIL,NIL,4000,,,,,,
"['19:00', '03/01']",03/01 19:00,210,7,9999,5,26,22,1008,79,1,NIL,NIL,4000,,,,,,
"['19:05', '03/01']",03/01 19:05,300,5,9999,5,26,22,1008,79,1,NIL,NIL,4000,,,,,,
"['19:35', '03/01']",03/01 19:35,180,3,9999,5,26,23,1008,84,NIL,NIL,NIL,4000,,,,,,
"['20:00', '03/01']",03/01 20:00,360,3,9999,5,26,22,1009,79,NIL,NIL,NIL,4000,,,,,,
"['21:00', '03/01']",03/01 21:00,250,7,5000,8,25,22,1009,83,1,NIL,1,4000,,,,,,
"['21:25', '03/01']",03/01 21:25,310,6,4000,8,24,22,1009,89,1,NIL,1,1000,,,,,,
"['22:00', '03/01']",03/01 22:00,330,5,6000,5,24,23,1010,94,1,NIL,NIL,4000,,,,,,
"['23:00', '03/01']",03/01 23:00,330,6,8000,8,24,23,1010,94,1,NIL,NIL,7000,,,,,,
"['00:00', '04/01']",04/01 00:00,320,5,9999,8,24,23,1010,94,NIL,NIL,NIL,8000,,,,,,
"['01:00', '04/01']",04/01 01:00,330,4,9999,5,25,23,1010,89,NIL,,,8000,,,,,,
"['02:00', '04/01']",04/01 02:00,350,6,9999,5,24,23,1010,94,NIL,,,8000,,,,,,
"['03:00', '04/01']",04/01 03:00,330,6,9999,5,24,23,1009,94,NIL,,,9000,,,,,,
"['04:00', '04/01']",04/01 04:00,310,5,9999,5,24,22,1008,89,NIL,,,5000,,,,,,
"['05:00', '04/01']",04/01 05:00,310,2,9999,3,25,22,1008,83,NIL,,,NIL,,,,,,
"['06:00', '04/01']",04/01 06:00,320,4,9999,3,25,22,1008,83,NIL,,,NIL,,,,,,
"['07:00', '04/01']",04/01 07:00,200,1,9999,3,24,23,1007,94,NIL,,,NIL,,,,,,
"['08:00', '04/01']",04/01 08:00,360,4,9999,3,24,23,1008,94,NIL,,,NIL,,,,,,
"['09:00', '04/01']",04/01 09:00,320,4,9999,3,24,23,1008,94,NIL,,,NIL,,,,,,
"['10:00', '04/01']",04/01 10:00,330,5,9999,5,25,22,1008,83,NIL,,,5000,,,,,,
"['11:00', '04/01']",04/01 11:00,340,5,9999,2,26,23,1008,84,NIL,,,NIL,,,,,,
"['12:00', '04/01']",04/01 12:00,20,6,9999,3,26,23,1008,84,NIL,,,NIL,,,,,,
"['13:00', '04/01']",04/01 13:00,30,4,9999,5,27,23,1008,79,NIL,,,9000,,,,,,
"['13:35', '04/01']",04/01 13:35,140,3,9999,5,27,22,1008,74,NIL,,,9000,,,,,,
"['14:00', '04/01']",04/01 14:00,140,6,9999,5,27,22,1008,74,NIL,,,10000,,,,,,
"['15:00', '04/01']",04/01 15:00,160,8,9999,8,27,22,1008,74,NIL,,,10000,,,,,,
"['16:00', '04/01']",04/01 16:00,160,8,9999,5,26,22,1008,79,NIL,,,9000,,,,,,
"['17:00', '04/01']",04/01 17:00,160,9,9999,5,27,23,1007,79,NIL,,,8000,,,,,,
"['18:00', '04/01']",04/01 18:00,160,9,9999,5,28,23,1006,74,NIL,,,9000,,,,,,
"['19:00', '04/01']",04/01 19:00,180,13,9999,3,27,22,1006,74,NIL,,,NIL,,,,,,
"['20:00', '04/01']",04/01 20:00,160,12,9999,5,26,22,1006,79,NIL,,,8000,,,,,,
"['21:00', '04/01']",04/01 21:00,180,11,9999,5,26,22,1006,79,NIL,,,4000,,,,,,
"['22:00', '04/01']",04/01 22:00,180,9,9999,5,26,23,1007,84,NIL,,,8000,,,,,,
"['23:00', '04/01']",04/01 23:00,150,8,9999,8,25,23,1007,89,NIL,,,3000,,,,,,
"['00:00', '05/01']",05/01 00:00,120,8,9999,8,24,23,1008,94,1,,,3000,,,,,,
"['01:00', '05/01']",05/01 01:00,80,3,9999,8,24,23,1008,94,1,,NIL,3000,,,,,,
"['02:00', '05/01']",05/01 02:00,140,2,9999,8,25,23,1008,89,1,,NIL,3500,,,,,,
"['03:00', '05/01']",05/01 03:00,0,0,9999,8,24,23,1008,94,1,,NIL,3500,,,,,,
"['04:00', '05/01']",05/01 04:00,90,2,9000,8,24,23,1007,94,1,,NIL,3500,,,,,,
"['05:00', '05/01']",05/01 05:00,320,3,9999,8,25,23,1006,89,1,,NIL,3500,,,,,,
"['06:00', '05/01']",05/01 06:00,10,1,9999,8,24,23,1005,94,1,,NIL,3000,,,,,,
"['07:00', '05/01']",05/01 07:00,310,5,9999,8,24,23,1005,94,NIL,,NIL,3000,,,,,,
"['08:00', '05/01']",05/01 08:00,320,6,9999,2,24,23,1005,94,NIL,,NIL,NIL,,,,,,
"['09:00', '05/01']",05/01 09:00,270,4,9999,2,25,23,1006,89,NIL,,NIL,NIL,,,,,,
"['10:00', '05/01']",05/01 10:00,50,4,8000,2,26,24,1007,89,NIL,,NIL,NIL,,,,,,
"['10:25', '05/01']",05/01 10:25,150,5,8000,2,25,23,1007,89,NIL,,NIL,NIL,,,,,,
"['11:00', '05/01']",05/01 11:00,160,9,5000,2,25,23,1007,89,NIL,,1,NIL,,,,,,
"['12:00', '05/01']",05/01 12:00,140,7,9999,5,26,23,1008,84,NIL,,NIL,10000,,,,,,
"['13:00', '05/01']",05/01 13:00,150,9,9999,5,26,23,1008,84,NIL,,NIL,9000,,,,,,
"['14:00', '05/01']",05/01 14:00,170,12,9999,3,27,23,1008,79,NIL,,NIL,NIL,,,,,,
"['15:00', '05/01']",05/01 15:00,180,14,9999,3,27,23,1007,79,NIL,,NIL,NIL,,,,,,
"['16:00', '05/01']",05/01 16:00,170,12,9999,5,27,22,1007,74,NIL,,NIL,4000,,,,,,
"['17:00', '05/01']",05/01 17:00,160,13,9999,3,27,22,1007,74,NIL,,NIL,NIL,,,,,,
"['18:00', '05/01']",05/01 18:00,160,13,9999,5,28,23,1006,74,NIL,,NIL,4000,,,,,,
"['19:00', '05/01']",05/01 19:00,170,13,9999,5,26,23,1006,84,NIL,,NIL,4000,,,,,,
"['20:00', '05/01']",05/01 20:00,180,11,9999,5,26,23,1007,84,NIL,,NIL,3500,,,,,,
"['21:00', '05/01']",05/01 21:00,140,8,9999,8,25,23,1007,89,NIL,,NIL,3500,,,,,,
"['22:00', '05/01']",05/01 22:00,140,8,9999,8,25,23,1007,89,NIL,,NIL,4000,,,,,,
"['23:00', '05/01']",05/01 23:00,140,3,9999,8,25,23,1009,89,NIL,,NIL,4000,,,,,,
"['00:00', '06/01']",06/01 00:00,120,2,9999,5,25,23,1008,89,NIL,,NIL,4000,,,,,,
"['01:00', '06/01']",06/01 01:00,80,4,9999,5,24,23,1009,94,NIL,NIL,,4000,,,,,,
"['02:00', '06/01']",06/01 02:00,20,5,9999,5,25,23,1009,89,NIL,NIL,,4000,,,,,,
"['03:00', '06/01']",06/01 03:00,320,4,9999,5,25,23,1008,89,NIL,NIL,,4000,,,,,,
"['04:00', '06/01']",06/01 04:00,80,2,9999,5,24,23,1007,94,NIL,NIL,,9000,,,,,,
"['05:00', '06/01']",06/01 05:00,310,4,8000,5,25,23,1007,89,NIL,NIL,,1300,,,,,,
"['06:00', '06/01']",06/01 06:00,280,11,6000,8,25,21,1008,79,1,1,,1300,,,,,,
"['07:00', '06/01']",06/01 07:00,360,5,9999,5,23,22,1007,94,1,1,,10000,,,,,,
"['08:00', '06/01']",06/01 08:00,340,5,9999,5,23,21,1007,89,NIL,NIL,,10000,,,,,,
"['09:00', '06/01']",06/01 09:00,360,8,9999,3,23,22,1007,94,NIL,NIL,,NIL,,,,,,
"['10:00', '06/01']",06/01 10:00,330,6,9999,3,25,22,1007,83,NIL,NIL,,NIL,,,,,,
"['11:00', '06/01']",06/01 11:00,300,4,9999,3,26,22,1008,79,NIL,NIL,,NIL,,,,,,
"['12:00', '06/01']",06/01 12:00,310,5,9999,3,26,23,1008,84,NIL,NIL,,NIL,,,,,,
"['13:00', '06/01']",06/01 13:00,300,3,9999,2,27,24,1008,84,NIL,NIL,,NIL,,,,,,
"['14:00', '06/01']",06/01 14:00,40,3,9999,3,28,24,1007,79,NIL,NIL,,NIL,,,,,,
"['14:30', '06/01']",06/01 14:30,130,4,9999,2,28,24,1007,79,NIL,NIL,,NIL,,,,,,
"['15:00', '06/01']",06/01 15:00,120,5,9999,2,27,23,1007,79,NIL,NIL,,NIL,,,,,,
"['16:00', '06/01']",06/01 16:00,150,12,9999,2,28,23,1007,74,NIL,NIL,,NIL,,,,,,
"['17:00', '06/01']",06/01 17:00,160,12,9999,2,28,24,1006,79,NIL,NIL,,NIL,,,,,,
"['18:00', '06/01']",06/01 18:00,170,14,9999,3,27,24,1005,84,NIL,NIL,,NIL,,,,,,
"['19:00', '06/01']",06/01 19:00,180,8,9999,3,28,24,1006,79,NIL,NIL,,NIL,,,,,,
"['20:00', '06/01']",06/01 20:00,160,6,9999,3,29,23,1006,70,NIL,NIL,,NIL,,,,,,
"['20:35', '06/01']",06/01 20:35,10,6,9999,5,28,24,1007,79,NIL,NIL,,10000,,,,,,
"['21:00', '06/01']",06/01 21:00,350,11,9999,5,27,24,1008,84,NIL,NIL,,10000,,,,,,
"['22:00', '06/01']",06/01 22:00,40,13,9999,5,27,24,1008,84,1,NIL,,10000,,,,,,
"['23:00', '06/01']",06/01 23:00,340,4,9999,5,27,24,1008,84,NIL,NIL,,10000,,,,,,
"['00:00', '07/01']",07/01 00:00,340,3,9999,3,27,24,1009,84,NIL,NIL,,NIL,,,,,,
"['01:00', '07/01']",07/01 01:00,340,5,9999,3,27,24,1009,84,,NIL,,NIL,,,,,,
"['02:00', '07/01']",07/01 02:00,330,8,9999,3,27,24,1009,84,,NIL,,NIL,,,,,,
"['03:00', '07/01']",07/01 03:00,350,5,9999,2,26,24,1009,89,,NIL,,NIL,,,,,,
"['04:00', '07/01']",07/01 04:00,300,4,9999,NIL,26,24,1008,89,,NIL,,NIL,,,,,,
"['05:00', '07/01']",07/01 05:00,130,2,9999,NIL,25,24,1008,94,,NIL,,NIL,,,,,,
"['06:00', '07/01']",07/01 06:00,150,3,9999,NIL,25,24,1007,94,,NIL,,NIL,,,,,,
"['07:00', '07/01']",07/01 07:00,350,4,9999,NIL,25,24,1007,94,,NIL,,NIL,,,,,,
"['08:00', '07/01']",07/01 08:00,360,6,9999,2,25,24,1008,94,,NIL,,NIL,,,,,,
"['09:00', '07/01']",07/01 09:00,10,6,9999,2,26,24,1008,89,,NIL,,NIL,,,,,,
"['10:00', '07/01']",07/01 10:00,360,6,9999,2,26,24,1009,89,,NIL,,NIL,,,,,,
"['11:00', '07/01']",07/01 11:00,340,6,9999,NIL,27,24,1009,84,,NIL,,NIL,,,,,,
"['12:00', '07/01']",07/01 12:00,340,6,9999,NIL,28,25,1009,84,,NIL,,NIL,,,,,,
"['13:00', '07/01']",07/01 13:00,20,4,9999,NIL,29,25,1009,79,,NIL,,NIL,,,,,,
"['14:00', '07/01']",07/01 14:00,140,4,9999,NIL,29,23,1008,70,,NIL,,NIL,,,,,,
"['15:00', '07/01']",07/01 15:00,150,11,9999,2,29,24,1008,74,,NIL,,NIL,,,,,,
"['16:00', '07/01']",07/01 16:00,150,13,9999,2,29,24,1007,74,,NIL,,NIL,,,,,,
"['17:00', '07/01']",07/01 17:00,160,15,9999,2,29,24,1007,74,,NIL,,NIL,,,,,,
"['18:00', '07/01']",07/01 18:00,160,16,9999,2,29,24,1006,74,,NIL,,NIL,,,,,,
"['19:00', '07/01']",07/01 19:00,180,16,9999,2,29,24,1006,74,,NIL,,NIL,,,,,,
"['20:00', '07/01']",07/01 20:00,170,12,9999,2,30,23,1006,66,,NIL,,NIL,,,,,,
"['21:00', '07/01']",07/01 21:00,180,12,9999,2,30,22,1007,62,,NIL,,NIL,,,,,,
"['22:00', '07/01']",07/01 22:00,300,4,8000,5,28,24,1009,79,,1,,10000,,,,,,
"['23:00', '07/01']",07/01 23:00,360,9,8000,5,27,24,1009,84,,1,,10000,,,,,,
"['00:00', '08/01']",08/01 00:00,350,9,9000,3,26,22,1009,79,,1,,NIL,,,,,,
"['01:00', '08/01']",08/01 01:00,330,8,9999,3,26,22,1009,79,NIL,NIL,,NIL,,,,,,
"['02:00', '08/01']",08/01 02:00,300,5,9999,3,26,22,1009,79,NIL,NIL,,NIL,,,,,,
"['03:00', '08/01']",08/01 03:00,320,6,9999,3,26,23,1009,84,NIL,NIL,,NIL,,,,,,
"['04:00', '08/01']",08/01 04:00,10,6,9999,5,25,23,1008,89,NIL,NIL,,8000,,,,,,
"['05:00', '08/01']",08/01 05:00,30,6,9999,3,26,24,1008,89,NIL,NIL,,NIL,,,,,,
"['06:00', '08/01']",08/01 06:00,20,6,9999,NIL,26,24,1008,89,NIL,NIL,,NIL,,,,,,
"['07:00', '08/01']",08/01 07:00,40,5,9999,NIL,26,24,1008,89,NIL,NIL,,NIL,,,,,,
"['08:00', '08/01']",08/01 08:00,20,7,9999,3,26,24,1008,89,NIL,NIL,,NIL,,,,,,
"['09:00', '08/01']",08/01 09:00,10,4,9999,3,26,24,1009,89,NIL,NIL,,NIL,,,,,,
"['10:00', '08/01']",08/01 10:00,40,2,9999,3,27,24,1009,84,NIL,NIL,,NIL,,,,,,
"['11:00', '08/01']",08/01 11:00,130,2,9999,3,27,24,1010,84,NIL,NIL,,NIL,,,,,,
"['12:00', '08/01']",08/01 12:00,340,4,9999,3,27,25,1010,89,NIL,NIL,,NIL,,,,,,
"['13:00', '08/01']",08/01 13:00,100,3,9999,3,29,25,1010,79,NIL,NIL,,NIL,,,,,,
"['14:00', '08/01']",08/01 14:00,150,8,9999,3,29,24,1010,74,NIL,NIL,,NIL,,,,,,
"['15:00', '08/01']",08/01 15:00,140,10,9999,2,29,25,1010,79,NIL,NIL,,NIL,,,,,,
"['16:00', '08/01']",08/01 16:00,170,12,9999,5,31,24,1009,66,NIL,NIL,,10000,,,,,,
"['17:00', '08/01']",08/01 17:00,180,13,9999,5,30,24,1008,70,NIL,NIL,,10000,,,,,,
"['18:00', '08/01']",08/01 18:00,150,7,9999,5,28,23,1009,74,NIL,NIL,,10000,,,,,,
"['19:00', '08/01']",08/01 19:00,40,20,9000,8,26,23,1010,84,1,1,,1300,,,,,,
"['20:00', '08/01']",08/01 20:00,350,6,9000,8,26,22,1009,79,NIL,1,,2000,,,,,,
"['21:00', '08/01']",08/01 21:00,340,6,9999,5,26,23,1011,84,NIL,1,,9000,,,,,,
"['22:00', '08/01']",08/01 22:00,300,5,9999,5,25,23,1011,89,1,NIL,,9000,,,,,,
"['23:00', '08/01']",08/01 23:00,20,2,9999,5,26,23,1010,84,NIL,NIL,,10000,,,,,,
"['00:00', '09/01']",09/01 00:00,10,6,9999,5,26,24,1010,89,NIL,NIL,,10000,,,,,,
"['01:00', '09/01']",09/01 01:00,340,8,9999,5,26,23,1010,84,,,,10000,,,,,,
"['02:00', '09/01']",09/01 02:00,340,6,9999,5,26,24,1010,89,,,,10000,,,,,,
"['03:00', '09/01']",09/01 03:00,360,6,9999,5,26,24,1010,89,,,,9000,,,,,,
"['04:00', '09/01']",09/01 04:00,20,7,9999,5,25,24,1009,94,,,,9000,,,,,,
"['05:00', '09/01']",09/01 05:00,40,9,9999,5,25,24,1008,94,,,,9000,,,,,,
"['06:00', '09/01']",09/01 06:00,340,3,9999,NIL,25,23,1008,89,,,,NIL,,,,,,
"['07:00', '09/01']",09/01 07:00,350,3,9999,NIL,25,23,1009,89,,,,NIL,,,,,,
"['08:00', '09/01']",09/01 08:00,360,4,9999,2,25,24,1009,94,,,,NIL,,,,,,
"['09:00', '09/01']",09/01 09:00,350,4,9999,2,25,24,1010,94,,,,NIL,,,,,,
"['10:00', '09/01']",09/01 10:00,330,2,9999,3,26,23,1011,84,,,,NIL,,,,,,
"['11:00', '09/01']",09/01 11:00,360,5,9999,3,27,24,1011,84,,,,NIL,,,,,,
"['12:00', '09/01']",09/01 12:00,360,6,9999,NIL,28,24,1011,79,,,,NIL,,,,,,
"['13:00', '09/01']",09/01 13:00,10,6,9999,NIL,29,25,1011,79,,,,NIL,,,,,,
"['14:00', '09/01']",09/01 14:00,90,3,9999,2,30,24,1011,70,,,,NIL,,,,,,
"['15:00', '09/01']",09/01 15:00,150,8,9999,2,30,24,1011,70,,,,NIL,,,,,,
"['16:00', '09/01']",09/01 16:00,140,9,9999,2,29,24,1010,74,,,,NIL,,,,,,
"['17:00', '09/01']",09/01 17:00,140,13,9999,5,29,24,1009,74,,,,10000,,,,,,
"['18:00', '09/01']",09/01 18:00,150,12,9999,5,29,25,1009,79,,,,10000,,,,,,
"['19:00', '09/01']",09/01 19:00,160,14,9999,2,29,25,1009,79,,,,NIL,,,,,,
"['20:00', '09/01']",09/01 20:00,150,13,9999,2,28,24,1009,79,,,,NIL,,,,,,
"['21:00', '09/01']",09/01 21:00,160,13,9999,2,28,24,1009,79,,,,NIL,,,,,,
"['22:00', '09/01']",09/01 22:00,150,10,9999,NIL,28,24,1010,79,,,,NIL,,,,,,
"['23:00', '09/01']",09/01 23:00,160,8,9999,NIL,27,25,1010,89,,,,NIL,,,,,,
"['00:00', '10/01']",10/01 00:00,160,7,9999,NIL,27,24,1011,84,,,,NIL,,,,,,
"['01:00', '10/01']",10/01 01:00,150,6,9999,NIL,27,25,1011,89,,,,,NIL,,,,,
"['02:00', '10/01']",10/01 02:00,140,6,9999,NIL,27,25,1011,89,,,,,NIL,,,,,
"['03:00', '10/01']",10/01 03:00,170,4,9999,NIL,26,25,1011,94,,,,,NIL,,,,,
"['04:00', '10/01']",10/01 04:00,170,4,9999,NIL,26,25,1010,94,,,,,NIL,,,,,
"['05:00', '10/01']",10/01 05:00,160,4,9999,NIL,26,25,1010,94,,,,,NIL,,,,,
"['06:00', '10/01']",10/01 06:00,150,4,9999,NIL,25,24,1009,94,,,,,NIL,,,,,
"['07:00', '10/01']",10/01 07:00,180,3,9999,NIL,25,25,1009,100,,,,,NIL,,,,,
"['08:00', '10/01']",10/01 08:00,70,2,9999,NIL,25,24,1010,94,,,,,NIL,,,,,
"['09:00', '10/01']",10/01 09:00,40,4,9999,NIL,26,25,1010,94,,,,,NIL,,,,,
"['10:00', '10/01']",10/01 10:00,360,2,9999,NIL,27,25,1010,89,,,,,NIL,,,,,
"['11:00', '10/01']",10/01 11:00,340,5,9999,NIL,28,25,1010,84,,,,,NIL,,,,,
"['12:00', '10/01']",10/01 12:00,50,2,9999,NIL,30,25,1010,75,,,,,NIL,,,,,
"['12:15', '10/01']",10/01 12:15,130,7,9999,NIL,30,26,1011,79,,,,,NIL,,,,,
"['13:00', '10/01']",10/01 13:00,150,8,9999,2,29,24,1011,74,,,,,NIL,,,,,
"['14:00', '10/01']",10/01 14:00,160,13,9999,2,28,25,1010,84,,,,,NIL,,,,,
"['15:00', '10/01']",10/01 15:00,170,14,9999,2,29,25,1010,79,,,,,NIL,,,,,
"['16:00', '10/01']",10/01 16:00,170,13,9999,2,29,25,1010,79,,,,,NIL,,,,,
"['17:00', '10/01']",10/01 17:00,160,13,9999,2,30,24,1009,70,,,,,NIL,,,,,
"['18:00', '10/01']",10/01 18:00,180,15,9999,2,29,25,1009,79,,,,,NIL,,,,,
"['19:00', '10/01']",10/01 19:00,130,4,9999,3,29,24,1008,74,,,,,115,,,,,
"['20:00', '10/01']",10/01 20:00,170,8,9999,2,29,24,1008,74,,,,,NIL,,,,,
"['21:00', '10/01']",10/01 21:00,170,8,9999,2,28,24,1007,79,,,,,NIL,,,,,
"['22:00', '10/01']",10/01 22:00,160,9,9999,2,28,24,1008,79,,,,,NIL,,,,,
