validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,vnt_rajada,chuvisco,pancada,nevoeiro,nevoa_seca
"['01:00', '01/01']",01/01 01:00,190,8,9999,3000,5,23,20,1013,83,,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,190,8,9999,3000,5,22,20,1013,88,,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,190,9,9999,NIL,3,22,19,1013,83,,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,190,7,9999,NIL,3,22,19,1013,83,,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,210,8,9999,3000,5,22,19,1012,83,,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,180,10,9999,3000,5,22,18,1012,78,,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,190,10,9999,3000,5,22,19,1013,83,,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,200,12,9999,3000,5,21,19,1014,88,,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,200,9,9999,3000,5,22,18,1014,78,,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,200,9,9999,4000,5,22,18,1015,78,,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,180,8,9999,4000,5,23,18,1015,73,,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,180,9,9999,4500,5,23,18,1016,73,,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,190,10,9999,4000,5,23,17,1016,69,,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,200,7,9999,4500,5,23,18,1016,73,,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,180,7,9999,4500,5,25,17,1016,61,,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,160,10,9999,4500,5,25,17,1015,61,,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,180,6,9999,4500,5,24,17,1015,65,,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,150,8,9999,4700,5,24,17,1015,65,,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,170,7,9999,4000,5,23,17,1015,69,,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,190,6,9999,4000,5,23,18,1016,73,,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,180,6,9999,4000,5,23,17,1016,69,,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,200,5,9999,NIL,NIL,22,18,1017,78,,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,200,5,9999,,NIL,22,17,1017,73,,,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,200,5,9999,,NIL,21,17,1017,78,,,,,,,,,,,
"['03:00', '02/01']",02/01 03:00,200,6,9999,,NIL,21,17,1016,78,,,,,,,,,,,
"['04:00', '02/01']",02/01 04:00,210,5,9999,,NIL,20,16,1016,78,,,,,,,,,,,
"['05:00', '02/01']",02/01 05:00,280,3,9999,,NIL,20,15,1015,73,,,,,,,,,,,
"['06:00', '02/01']",02/01 06:00,250,4,9999,,NIL,20,17,1015,83,,,,,,,,,,,
"['07:00', '02/01']",02/01 07:00,280,5,9999,,NIL,20,16,1015,78,,,,,,,,,,,
"['08:00', '02/01']",02/01 08:00,300,7,9999,,NIL,19,16,1015,83,,,,,,,,,,,
"['09:00', '02/01']",02/01 09:00,260,2,9999,,NIL,19,16,1015,83,,,,,,,,,,,
"['10:00', '02/01']",02/01 10:00,350,3,9999,,NIL,20,17,1016,83,,,,,,,,,,,
"['11:00', '02/01']",02/01 11:00,320,4,9999,,NIL,21,18,1016,83,,,,,,,,,,,
"['12:00', '02/01']",02/01 12:00,330,5,9999,,NIL,23,16,1015,65,,,,,,,,,,,
"['13:00', '02/01']",02/01 13:00,330,4,9999,,NIL,25,17,1015,61,,,,,,,,,,,
"['14:00', '02/01']",02/01 14:00,350,7,9999,,NIL,26,17,1015,58,,,,,,,,,,,
"['15:00', '02/01']",02/01 15:00,320,8,9999,,NIL,27,16,1014,51,,,,,,,,,,,
"['16:00', '02/01']",02/01 16:00,90,13,9999,,2,28,19,1014,58,,,,,,,,,,,
"['17:00', '02/01']",02/01 17:00,90,13,9999,,2,28,20,1014,62,,,,,,,,,,,
"['18:00', '02/01']",02/01 18:00,90,12,9999,,2,26,19,1013,65,,,,,,,,,,,
"['19:00', '02/01']",02/01 19:00,90,11,9999,,2,25,18,1013,65,,,,,,,,,,,
"['20:00', '02/01']",02/01 20:00,80,9,9999,,2,27,19,1013,62,,,,,,,,,,,
"['21:00', '02/01']",02/01 21:00,80,9,9999,,2,26,17,1013,58,,,,,,,,,,,
"['22:00', '02/01']",02/01 22:00,70,5,9999,,2,24,16,1014,61,,,,,,,,,,,
"['23:00', '02/01']",02/01 23:00,VRB,2,9999,,2,23,17,1014,69,,,,,,,,,,,
"['00:00', '03/01']",03/01 00:00,VRB,2,9999,,2,23,17,1014,69,,,,,,,,,,,
"['01:00', '03/01']",03/01 01:00,0,0,9999,,2,21,18,1015,83,NIL,,,,,,,,,,
"['02:00', '03/01']",03/01 02:00,140,1,9999,,2,20,18,1015,88,NIL,,,,,,,,,,
"['03:00', '03/01']",03/01 03:00,90,2,9999,,NIL,20,18,1015,88,NIL,,,,,,,,,,
"['04:00', '03/01']",03/01 04:00,120,2,9999,,NIL,20,18,1014,88,NIL,,,,,,,,,,
"['05:00', '03/01']",03/01 05:00,190,2,9999,,NIL,19,17,1014,88,NIL,,,,,,,,,,
"['06:00', '03/01']",03/01 06:00,0,0,9999,,NIL,19,18,1013,94,NIL,,,,,,,,,,
"['07:00', '03/01']",03/01 07:00,260,2,9999,,NIL,20,18,1014,88,NIL,,,,,,,,,,
"['08:00', '03/01']",03/01 08:00,260,2,9999,,NIL,20,18,1014,88,NIL,,,,,,,,,,
"['09:00', '03/01']",03/01 09:00,280,1,9999,,NIL,20,18,1014,88,NIL,,,,,,,,,,
"['10:00', '03/01']",03/01 10:00,280,5,9999,,NIL,21,19,1014,88,NIL,,,,,,,,,,
"['11:00', '03/01']",03/01 11:00,280,3,9999,,2,24,19,1015,74,270,,,,,,,,,,
"['12:00', '03/01']",03/01 12:00,VRB,2,9999,,2,26,19,1015,65,NIL,,,,,,,,,,
"['13:00', '03/01']",03/01 13:00,30,5,9999,,2,26,17,1015,58,215,,,,,,,,,,
"['14:00', '03/01']",03/01 14:00,80,10,9999,,2,27,18,1015,58,NIL,,,,,,,,,,
"['15:00', '03/01']",03/01 15:00,70,10,9999,,3,27,17,1015,54,75,,,,,,,,,,
"['16:00', '03/01']",03/01 16:00,90,12,9999,,3,27,18,1015,58,NIL,,,,,,,,,,
"['17:00', '03/01']",03/01 17:00,80,12,9999,,2,27,17,1015,54,NIL,,,,,,,,,,
"['18:00', '03/01']",03/01 18:00,80,11,9999,,2,27,18,1014,58,NIL,,,,,,,,,,
"['19:00', '03/01']",03/01 19:00,80,12,9999,,3,26,18,1014,61,NIL,,,,,,,,,,
"['20:00', '03/01']",03/01 20:00,90,14,9999,,3,26,18,1014,61,NIL,,,,,,,,,,
"['21:00', '03/01']",03/01 21:00,90,11,9999,,3,25,18,1014,65,NIL,,,,,,,,,,
"['22:00', '03/01']",03/01 22:00,80,10,9999,,3,25,19,1014,69,NIL,,,,,,,,,,
"['23:00', '03/01']",03/01 23:00,70,7,9999,,3,24,19,1014,74,NIL,,,,,,,,,,
"['00:00', '04/01']",04/01 00:00,70,9,9999,,3,24,19,1015,74,NIL,,,,,,,,,,
"['01:00', '04/01']",04/01 01:00,50,6,9999,NIL,3,24,18,1015,69,NIL,,,,,,,,,,
"['02:00', '04/01']",04/01 02:00,70,5,9999,NIL,3,23,19,1015,78,NIL,,,,,,,,,,
"['03:00', '04/01']",04/01 03:00,40,4,9999,NIL,3,23,18,1015,73,NIL,,,,,,,,,,
"['04:00', '04/01']",04/01 04:00,70,6,9999,NIL,2,23,18,1014,73,NIL,,,,,,,,,,
"['05:00', '04/01']",04/01 05:00,350,5,9999,NIL,2,23,19,1013,78,NIL,,,,,,,,,,
"['06:00', '04/01']",04/01 06:00,VRB,2,9999,NIL,2,20,18,1013,88,NIL,,,,,,,,,,
"['07:00', '04/01']",04/01 07:00,VRB,1,9999,NIL,2,21,18,1013,83,NIL,,,,,,,,,,
"['08:00', '04/01']",04/01 08:00,VRB,2,9999,NIL,3,21,19,1013,88,NIL,,,,,,,,,,
"['09:00', '04/01']",04/01 09:00,350,3,9999,NIL,3,22,20,1013,88,NIL,,,,,,,,,,
"['10:00', '04/01']",04/01 10:00,30,3,9999,NIL,2,24,19,1013,74,210,,,,,,,,,,
"['11:00', '04/01']",04/01 11:00,10,6,9999,NIL,3,25,18,1013,65,NIL,,,,,,,,,,
"['12:00', '04/01']",04/01 12:00,300,5,9999,NIL,3,25,19,1014,69,NIL,,,,,,,,,,
"['13:00', '04/01']",04/01 13:00,30,5,9999,3500,5,26,18,1013,61,NIL,,,,,,,,,,
"['14:00', '04/01']",04/01 14:00,330,8,9999,NIL,3,26,18,1013,61,165,,,,,,,,,,
"['15:00', '04/01']",04/01 15:00,10,5,9999,NIL,3,27,19,1013,62,NIL,,,,,,,,,,
"['16:00', '04/01']",04/01 16:00,20,9,9999,NIL,3,28,19,1013,58,NIL,,,,,,,,,,
"['17:00', '04/01']",04/01 17:00,50,12,9999,NIL,2,28,18,1012,55,55,,,,,,,,,,
"['18:00', '04/01']",04/01 18:00,60,10,9999,NIL,3,28,18,1011,55,70,,,,,,,,,,
"['19:00', '04/01']",04/01 19:00,70,12,9999,NIL,3,28,18,1011,55,NIL,,,,,,,,,,
"['20:00', '04/01']",04/01 20:00,60,11,9999,NIL,3,27,18,1011,58,NIL,,,,,,,,,,
"['21:00', '04/01']",04/01 21:00,60,10,9999,NIL,2,26,19,1011,65,NIL,,,,,,,,,,
"['22:00', '04/01']",04/01 22:00,60,9,9999,NIL,2,25,19,1011,69,NIL,,,,,,,,,,
"['23:00', '04/01']",04/01 23:00,60,6,9999,NIL,2,24,19,1012,74,65,,,,,,,,,,
"['00:00', '05/01']",05/01 00:00,20,4,9999,NIL,2,24,19,1013,74,NIL,,,,,,,,,,
"['01:00', '05/01']",05/01 01:00,30,5,9999,4000,5,24,19,1013,74,,,,,,,,,,,
"['02:00', '05/01']",05/01 02:00,10,4,9999,5000,5,25,19,1013,69,,,,,,,,,,,
"['03:00', '05/01']",05/01 03:00,310,5,9999,NIL,3,24,20,1012,78,,,,,,,,,,,
"['04:00', '05/01']",05/01 04:00,310,7,9999,NIL,3,24,20,1012,78,,,,,,,,,,,
"['05:00', '05/01']",05/01 05:00,300,5,9999,NIL,3,23,20,1011,83,,,,,,,,,,,
"['06:00', '05/01']",05/01 06:00,310,9,9999,NIL,3,23,20,1011,83,,,,,,,,,,,
"['07:00', '05/01']",05/01 07:00,320,8,9999,NIL,2,24,20,1010,78,,,,,,,,,,,
"['08:00', '05/01']",05/01 08:00,350,6,9999,NIL,2,24,20,1011,78,,,,,,,,,,,
"['09:00', '05/01']",05/01 09:00,330,7,9999,NIL,NIL,24,20,1011,78,,,,,,,,,,,
"['10:00', '05/01']",05/01 10:00,330,7,9999,NIL,2,24,20,1011,78,,,,,,,,,,,
"['11:00', '05/01']",05/01 11:00,330,7,9999,10000,5,25,20,1011,74,,,,,,,,,,,
"['12:00', '05/01']",05/01 12:00,330,9,9999,10000,5,26,21,1011,74,,,,,,,,,,,
"['13:00', '05/01']",05/01 13:00,350,11,9999,NIL,3,27,21,1011,70,,,,,,,,,,,
"['14:00', '05/01']",05/01 14:00,350,13,9999,10000,5,28,21,1011,66,,,,,,,,,,,
"['15:00', '05/01']",05/01 15:00,350,13,9999,10000,5,29,22,1010,66,,,,,,,,,,,
"['16:00', '05/01']",05/01 16:00,350,14,9999,10000,5,29,21,1010,62,,,,,,,,,,,
"['17:00', '05/01']",05/01 17:00,350,13,9999,10000,5,30,22,1009,62,,,,,,,,,,,
"['18:00', '05/01']",05/01 18:00,350,12,9999,10000,5,30,22,1008,62,,,,,,,,,,,
"['19:00', '05/01']",05/01 19:00,360,10,9999,10000,5,28,22,1008,70,,,,,,,,,,,
"['20:00', '05/01']",05/01 20:00,360,9,9999,10000,5,28,22,1008,70,,,,,,,,,,,
"['21:00', '05/01']",05/01 21:00,10,8,9999,10000,5,28,22,1008,70,,,,,,,,,,,
"['22:00', '05/01']",05/01 22:00,10,8,9999,10000,5,26,23,1009,84,,,,,,,,,,,
"['23:00', '05/01']",05/01 23:00,20,9,9999,10000,5,26,23,1010,84,,,,,,,,,,,
"['00:00', '06/01']",06/01 00:00,10,10,9999,10000,5,26,23,1010,84,,,,,,,,,,,
"['01:00', '06/01']",06/01 01:00,VRB,1,9999,10000,5,26,23,1011,84,NIL,NIL,NIL,NIL,NIL,,,,,,
"['02:00', '06/01']",06/01 02:00,10,8,9999,2000,5,25,23,1011,89,NIL,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '06/01']",06/01 03:00,360,7,8000,2000,5,25,23,1010,89,NIL,NIL,NIL,1,NIL,,,,,,
"['04:00', '06/01']",06/01 04:00,330,7,9999,2000,5,24,23,1010,94,330,NIL,NIL,1,NIL,,,,,,
"['05:00', '06/01']",06/01 05:00,10,4,7000,1700,5,24,23,1009,94,NIL,NIL,NIL,1,NIL,,,,,,
"['06:00', '06/01']",06/01 06:00,360,3,9999,1700,5,24,23,1009,94,NIL,NIL,NIL,NIL,NIL,,,,,,
"['07:00', '06/01']",06/01 07:00,350,6,9999,2000,5,24,23,1009,94,NIL,NIL,NIL,NIL,NIL,,,,,,
"['08:00', '06/01']",06/01 08:00,VRB,2,9999,1500,5,24,23,1009,94,NIL,NIL,NIL,NIL,NIL,,,,,,
"['09:00', '06/01']",06/01 09:00,VRB,2,7000,800,5,24,23,1009,94,NIL,NIL,NIL,NIL,NIL,,,,,,
"['10:00', '06/01']",06/01 10:00,350,4,9999,700,5,24,23,1009,94,NIL,NIL,NIL,NIL,NIL,,,,,,
"['11:00', '06/01']",06/01 11:00,100,3,9999,800,5,24,24,1008,100,NIL,NIL,NIL,1,NIL,,,,,,
"['12:00', '06/01']",06/01 12:00,270,5,9999,900,5,25,24,1009,94,NIL,NIL,NIL,NIL,NIL,,,,,,
"['12:35', '06/01']",06/01 12:35,330,9,9999,NIL,3,27,24,1008,84,NIL,NIL,NIL,NIL,NIL,,,,,,
"['13:00', '06/01']",06/01 13:00,350,10,9999,NIL,3,28,25,1008,84,NIL,NIL,NIL,NIL,NIL,,,,,,
"['14:00', '06/01']",06/01 14:00,360,14,9999,NIL,3,29,25,1008,79,NIL,NIL,NIL,NIL,NIL,,,,,,
"['15:00', '06/01']",06/01 15:00,10,11,9999,NIL,3,30,24,1007,70,NIL,NIL,NIL,NIL,NIL,,,,,,
"['16:00', '06/01']",06/01 16:00,10,13,9999,NIL,3,30,24,1006,70,NIL,NIL,NIL,NIL,NIL,,,,,,
"['17:00', '06/01']",06/01 17:00,360,12,9999,NIL,3,31,24,1005,66,NIL,NIL,NIL,NIL,NIL,,,,,,
"['18:00', '06/01']",06/01 18:00,360,11,9999,NIL,3,31,25,1005,71,NIL,NIL,NIL,NIL,NIL,,,,,,
"['19:00', '06/01']",06/01 19:00,340,10,9999,NIL,3,30,24,1005,70,NIL,NIL,NIL,NIL,NIL,,,,,,
"['19:21', '06/01']",06/01 19:21,360,11,9999,3000,5,29,24,1005,74,NIL,NIL,NIL,NIL,1,,,,,,
"['20:00', '06/01']",06/01 20:00,190,15,4000,1400,5,26,25,1006,94,NIL,1500,225,1,1,,,,,,
"['21:00', '06/01']",06/01 21:00,110,7,9999,NIL,3,26,24,1006,89,NIL,NIL,NIL,1,1,,,,,,
"['22:00', '06/01']",06/01 22:00,160,4,9999,NIL,3,26,24,1007,89,NIL,NIL,NIL,NIL,NIL,,,,,,
"['23:00', '06/01']",06/01 23:00,150,2,9999,NIL,3,26,24,1008,89,NIL,NIL,NIL,NIL,NIL,,,,,,
"['00:00', '07/01']",07/01 00:00,90,3,9999,8000,5,26,24,1009,89,NIL,NIL,NIL,NIL,NIL,,,,,,
"['01:00', '07/01']",07/01 01:00,140,2,9999,NIL,2,25,23,1009,89,NIL,,,NIL,NIL,,,,,,
"['02:00', '07/01']",07/01 02:00,220,2,9999,NIL,NIL,24,23,1009,94,NIL,,,NIL,NIL,,,,,,
"['03:00', '07/01']",07/01 03:00,280,4,9999,NIL,NIL,25,23,1008,89,NIL,,,NIL,NIL,,,,,,
"['04:00', '07/01']",07/01 04:00,330,6,9999,NIL,NIL,25,23,1008,89,NIL,,,NIL,NIL,,,,,,
"['05:00', '07/01']",07/01 05:00,320,5,9999,NIL,NIL,24,23,1007,94,NIL,,,NIL,NIL,,,,,,
"['06:00', '07/01']",07/01 06:00,310,2,9999,NIL,NIL,24,22,1007,89,NIL,,,NIL,NIL,,,,,,
"['07:00', '07/01']",07/01 07:00,330,4,9999,NIL,NIL,24,22,1007,89,NIL,,,NIL,NIL,,,,,,
"['08:00', '07/01']",07/01 08:00,330,6,9999,NIL,NIL,24,22,1007,89,NIL,,,NIL,NIL,,,,,,
"['09:00', '07/01']",07/01 09:00,290,4,9999,NIL,NIL,24,22,1007,89,NIL,,,NIL,NIL,,,,,,
"['10:00', '07/01']",07/01 10:00,330,3,9999,NIL,NIL,25,23,1008,89,NIL,,,NIL,NIL,,,,,,
"['11:00', '07/01']",07/01 11:00,320,4,9999,NIL,NIL,27,23,1008,79,NIL,,,NIL,NIL,,,,,,
"['12:00', '07/01']",07/01 12:00,330,4,9999,NIL,NIL,27,23,1008,79,NIL,,,NIL,NIL,,,,,,
"['13:00', '07/01']",07/01 13:00,320,2,9999,NIL,NIL,30,22,1008,62,NIL,,,NIL,NIL,,,,,,
"['14:00', '07/01']",07/01 14:00,120,7,9999,NIL,NIL,29,24,1008,74,NIL,,,NIL,NIL,,,,,,
"['15:00', '07/01']",07/01 15:00,110,12,9999,NIL,NIL,29,24,1008,74,NIL,,,NIL,NIL,,,,,,
"['16:00', '07/01']",07/01 16:00,110,13,9999,NIL,3,30,24,1008,70,NIL,,,NIL,NIL,,,,,,
"['17:00', '07/01']",07/01 17:00,110,13,9999,3000,5,30,24,1007,70,NIL,,,NIL,NIL,,,,,,
"['18:00', '07/01']",07/01 18:00,120,11,8000,NIL,3,28,24,1007,79,NIL,,,NIL,NIL,,,,,,
"['18:45', '07/01']",07/01 18:45,150,9,6000,8000,5,27,24,1007,84,150,,,NIL,1,,,,,,
"['19:00', '07/01']",07/01 19:00,160,7,6000,8000,5,27,24,1008,84,NIL,,,1,1,,,,,,
"['21:00', '07/01']",07/01 21:00,230,3,9999,NIL,NIL,25,22,1009,83,200,,,1,1,,,,,,
"['22:00', '07/01']",07/01 22:00,250,3,9999,NIL,NIL,25,23,1009,89,235,,,NIL,NIL,,,,,,
"['23:00', '07/01']",07/01 23:00,300,3,9999,NIL,NIL,25,23,1009,89,310,,,NIL,NIL,,,,,,
"['00:00', '08/01']",08/01 00:00,300,4,9999,NIL,NIL,25,22,1009,83,NIL,,,NIL,NIL,,,,,,
"['01:00', '08/01']",08/01 01:00,330,8,9999,NIL,NIL,25,23,1010,89,NIL,,,,,,,,,,
"['02:00', '08/01']",08/01 02:00,330,8,9999,NIL,NIL,25,22,1010,83,NIL,,,,,,,,,,
"['03:00', '08/01']",08/01 03:00,330,7,9999,NIL,NIL,25,22,1009,83,NIL,,,,,,,,,,
"['04:00', '08/01']",08/01 04:00,310,5,9999,NIL,NIL,25,22,1009,83,NIL,,,,,,,,,,
"['05:00', '08/01']",08/01 05:00,340,4,9999,NIL,3,25,22,1008,83,NIL,,,,,,,,,,
"['06:00', '08/01']",08/01 06:00,320,5,9999,NIL,NIL,25,22,1008,83,NIL,,,,,,,,,,
"['07:00', '08/01']",08/01 07:00,300,4,9999,NIL,NIL,25,22,1008,83,NIL,,,,,,,,,,
"['08:00', '08/01']",08/01 08:00,200,5,9999,NIL,NIL,25,22,1008,83,NIL,,,,,,,,,,
"['09:00', '08/01']",08/01 09:00,330,6,9999,NIL,NIL,25,22,1009,83,NIL,,,,,,,,,,
"['10:00', '08/01']",08/01 10:00,300,6,9999,NIL,NIL,26,22,1009,79,NIL,,,,,,,,,,
"['11:00', '08/01']",08/01 11:00,290,7,9999,NIL,NIL,26,22,1010,79,NIL,,,,,,,,,,
"['12:00', '08/01']",08/01 12:00,260,3,9999,NIL,NIL,27,22,1010,74,265,,,,,,,,,,
"['13:00', '08/01']",08/01 13:00,VRB,2,9999,NIL,3,29,22,1010,66,NIL,,,,,,,,,,
"['14:00', '08/01']",08/01 14:00,110,6,9999,NIL,2,31,22,1010,59,120,,,,,,,,,,
"['15:00', '08/01']",08/01 15:00,90,14,9999,NIL,2,31,23,1010,63,NIL,,,,,,,,,,
"['16:00', '08/01']",08/01 16:00,110,15,9999,NIL,2,29,23,1010,70,NIL,,,,,,,,,,
"['17:00', '08/01']",08/01 17:00,120,11,9999,NIL,2,28,23,1010,74,NIL,,,,,,,,,,
"['18:00', '08/01']",08/01 18:00,130,7,9999,10000,5,27,23,1010,79,NIL,,,,,,,,,,
"['19:00', '08/01']",08/01 19:00,200,9,9999,5000,5,26,22,1010,79,NIL,,,,,,,,,,
"['20:00', '08/01']",08/01 20:00,180,7,9999,NIL,2,27,21,1010,70,NIL,,,,,,,,,,
"['21:00', '08/01']",08/01 21:00,140,6,9999,NIL,NIL,27,22,1010,74,NIL,,,,,,,,,,
"['22:00', '08/01']",08/01 22:00,140,4,9999,NIL,NIL,27,22,1011,74,NIL,,,,,,,,,,
"['23:00', '08/01']",08/01 23:00,160,4,9999,NIL,NIL,27,22,1011,74,NIL,,,,,,,,,,
"['00:00', '09/01']",09/01 00:00,100,3,9999,NIL,NIL,26,23,1012,84,NIL,,,,,,,,,,
"['01:00', '09/01']",09/01 01:00,0,0,9999,NIL,NIL,26,23,1012,84,NIL,,,,,,,,,,
"['02:00', '09/01']",09/01 02:00,270,2,9999,NIL,NIL,25,23,1012,89,NIL,,,,,,,,,,
"['03:00', '09/01']",09/01 03:00,230,3,9999,NIL,NIL,25,23,1012,89,NIL,,,,,,,,,,
"['04:00', '09/01']",09/01 04:00,270,3,9999,NIL,NIL,25,23,1012,89,NIL,,,,,,,,,,
"['05:00', '09/01']",09/01 05:00,250,5,9999,NIL,NIL,24,22,1011,89,NIL,,,,,,,,,,
"['06:00', '09/01']",09/01 06:00,0,0,9999,NIL,NIL,24,22,1011,89,NIL,,,,,,,,,,
"['07:00', '09/01']",09/01 07:00,270,5,9999,NIL,NIL,24,21,1011,83,NIL,,,,,,,,,,
"['08:00', '09/01']",09/01 08:00,270,4,9999,NIL,NIL,23,21,1011,89,NIL,,,,,,,,,,
"['09:00', '09/01']",09/01 09:00,280,6,9999,NIL,NIL,23,21,1012,89,NIL,,,,,,,,,,
"['10:00', '09/01']",09/01 10:00,270,5,9999,NIL,NIL,24,21,1012,83,NIL,,,,,,,,,,
"['11:00', '09/01']",09/01 11:00,280,4,9999,NIL,NIL,26,21,1012,74,NIL,,,,,,,,,,
"['12:00', '09/01']",09/01 12:00,290,4,9999,NIL,2,27,22,1012,74,NIL,,,,,,,,,,
"['13:00', '09/01']",09/01 13:00,300,5,9999,10000,5,28,21,1013,66,NIL,,,,,,,,,,
"['14:00', '09/01']",09/01 14:00,340,7,9999,NIL,3,30,18,1012,49,NIL,,,,,,,,,,
"['15:00', '09/01']",09/01 15:00,310,6,9999,NIL,2,31,21,1012,55,305,,,,,,,,,,
"['16:00', '09/01']",09/01 16:00,VRB,9,9999,NIL,2,30,23,1012,66,NIL,,,,,,,,,,
"['17:00', '09/01']",09/01 17:00,90,13,9999,NIL,2,30,23,1012,66,NIL,,,,,,,,,,
"['18:00', '09/01']",09/01 18:00,60,9,9999,NIL,3,30,21,1011,59,70,,,,,,,,,,
"['19:00', '09/01']",09/01 19:00,30,9,9999,NIL,3,31,22,1010,59,215,,,,,,,,,,
"['20:00', '09/01']",09/01 20:00,30,8,9999,NIL,3,30,21,1009,59,210,,,,,,,,,,
"['21:00', '09/01']",09/01 21:00,60,10,9999,NIL,3,29,22,1010,66,NIL,,,,,,,,,,
"['22:00', '09/01']",09/01 22:00,60,7,9999,NIL,3,27,22,1010,74,NIL,,,,,,,,,,
"['23:00', '09/01']",09/01 23:00,30,5,9999,NIL,3,27,22,1012,74,40,,,,,,,,,,
"['00:00', '10/01']",10/01 00:00,30,5,9999,NIL,2,26,22,1012,79,NIL,,,,,,,,,,
"['01:00', '10/01']",10/01 01:00,340,4,9999,NIL,2,26,22,1013,79,NIL,,,NIL,,,,,,,
"['02:00', '10/01']",10/01 02:00,90,4,9999,NIL,2,26,22,1014,79,NIL,,,NIL,,,,,,,
"['03:00', '10/01']",10/01 03:00,20,3,9999,NIL,2,26,23,1014,84,NIL,,,NIL,,,,,,,
"['04:00', '10/01']",10/01 04:00,10,4,9999,NIL,2,26,22,1013,79,NIL,,,NIL,,,,,,,
"['05:00', '10/01']",10/01 05:00,10,3,9999,NIL,2,26,23,1012,84,NIL,,,NIL,,,,,,,
"['06:00', '10/01']",10/01 06:00,350,3,9999,6000,5,26,22,1011,79,NIL,,,NIL,,,,,,,
"['07:00', '10/01']",10/01 07:00,280,3,9999,NIL,2,25,23,1011,89,NIL,,,NIL,,,,,,,
"['08:00', '10/01']",10/01 08:00,190,3,9999,NIL,2,24,23,1012,94,NIL,,,NIL,,,,,,,
"['08:23', '10/01']",10/01 08:23,10,7,3000,1500,5,24,23,1012,94,NIL,,,1,,,,,,,
"['09:00', '10/01']",10/01 09:00,220,3,9999,8000,5,24,23,1012,94,NIL,,,NIL,,,,,,,
"['10:00', '10/01']",10/01 10:00,90,2,9999,9000,5,24,23,1013,94,NIL,,,NIL,,,,,,,
"['11:00', '10/01']",10/01 11:00,VRB,2,9999,8000,5,25,23,1013,89,NIL,,,NIL,,,,,,,
"['12:00', '10/01']",10/01 12:00,VRB,2,9999,10000,5,27,23,1014,79,NIL,,,NIL,,,,,,,
"['13:00', '10/01']",10/01 13:00,340,3,9999,8000,5,27,23,1014,79,175,,,NIL,,,,,,,
"['14:00', '10/01']",10/01 14:00,70,7,9999,2000,5,28,23,1014,74,65,,,NIL,,,,,,,
"['15:00', '10/01']",10/01 15:00,80,12,9999,2500,5,29,23,1013,70,NIL,,,NIL,,,,,,,
"['16:00', '10/01']",10/01 16:00,70,14,9999,2500,5,28,23,1013,74,NIL,,,NIL,,,,,,,
"['17:00', '10/01']",10/01 17:00,70,16,9999,2500,5,28,22,1013,70,NIL,,,NIL,,,,,,,
"['18:00', '10/01']",10/01 18:00,90,17,9999,NIL,3,29,22,1012,66,NIL,,,NIL,,,,,,,
"['19:00', '10/01']",10/01 19:00,80,15,9999,NIL,3,28,22,1012,70,NIL,,,NIL,,,,,,,
"['20:00', '10/01']",10/01 20:00,90,14,9999,NIL,2,28,23,1011,74,NIL,,,NIL,,,,,,,
"['21:00', '10/01']",10/01 21:00,80,11,9999,NIL,3,27,23,1012,79,NIL,,,NIL,,,,,,,
"['22:00', '10/01']",10/01 22:00,80,11,9999,6000,5,26,23,1012,84,NIL,,,NIL,,,,,,,
"['23:00', '10/01']",10/01 23:00,80,8,9999,NIL,3,26,23,1013,84,NIL,,,NIL,,,,,,,
"['00:00', '11/01']",11/01 00:00,90,8,9999,NIL,3,26,23,1014,84,NIL,,,NIL,,,,,,,
"['01:00', '11/01']",11/01 01:00,VRB,2,9999,4000,5,26,23,1014,84,NIL,NIL,NIL,NIL,,NIL,,,,,
"['02:00', '11/01']",11/01 02:00,90,4,9999,4000,5,26,23,1015,84,85,NIL,NIL,NIL,,NIL,,,,,
