validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,vnt_rajada,chuvisco,pancada,nevoeiro,nevoa_seca
"['18:00', '01/04']",01/04 18:00,190,13,9999,8000,5,26,16,1013,54,,,,,,,NIL,,,,
"['19:00', '01/04']",01/04 19:00,160,8,9999,8000,5,24,17,1013,65,,,,,,,NIL,,,,
"['20:00', '01/04']",01/04 20:00,170,8,9999,3000,5,24,16,1014,61,,,,,,,NIL,,,,
"['21:00', '01/04']",01/04 21:00,160,10,9999,3000,5,23,17,1014,69,,,,,,,NIL,,,,
"['22:00', '01/04']",01/04 22:00,180,6,9999,3000,5,22,17,1015,73,,,,,,,NIL,,,,
"['23:00', '01/04']",01/04 23:00,180,9,9999,NIL,3,22,17,1015,73,,,,,,,NIL,,,,
"['00:00', '02/04']",02/04 00:00,200,8,9999,NIL,3,21,17,1016,78,,,,,,,NIL,,,,
"['01:00', '02/04']",02/04 01:00,190,7,9999,NIL,2,21,17,1016,78,,,,,,,,,,,
"['02:00', '02/04']",02/04 02:00,200,7,9999,NIL,NIL,21,16,1016,73,,,,,,,,,,,
"['03:00', '02/04']",02/04 03:00,210,7,9999,NIL,NIL,21,16,1016,73,,,,,,,,,,,
"['04:00', '02/04']",02/04 04:00,200,8,9999,NIL,NIL,21,16,1015,73,,,,,,,,,,,
"['05:00', '02/04']",02/04 05:00,200,7,9999,NIL,NIL,20,16,1015,78,,,,,,,,,,,
"['06:00', '02/04']",02/04 06:00,210,3,9999,NIL,NIL,21,16,1015,73,,,,,,,,,,,
"['07:00', '02/04']",02/04 07:00,230,5,9999,NIL,NIL,19,16,1015,83,,,,,,,,,,,
"['08:00', '02/04']",02/04 08:00,240,5,9999,NIL,NIL,19,16,1015,83,,,,,,,,,,,
"['09:00', '02/04']",02/04 09:00,280,3,9999,NIL,NIL,18,16,1016,88,,,,,,,,,,,
"['10:00', '02/04']",02/04 10:00,250,2,9999,NIL,NIL,18,16,1016,88,,,,,,,,,,,
"['11:00', '02/04']",02/04 11:00,260,6,9999,NIL,NIL,21,16,1017,73,,,,,,,,,,,
"['12:00', '02/04']",02/04 12:00,270,4,9999,NIL,NIL,23,17,1018,69,,,,,,,,,,,
"['13:00', '02/04']",02/04 13:00,200,9,9999,NIL,NIL,25,17,1018,61,,,,,,,,,,,
"['14:00', '02/04']",02/04 14:00,170,7,9999,NIL,2,26,17,1018,58,,,,,,,,,,,
"['15:00', '02/04']",02/04 15:00,130,11,9999,NIL,3,26,17,1018,58,,,,,,,,,,,
"['16:00', '02/04']",02/04 16:00,130,12,9999,NIL,3,26,18,1017,61,,,,,,,,,,,
"['17:00', '02/04']",02/04 17:00,110,11,9999,NIL,3,26,17,1017,58,,,,,,,,,,,
"['18:00', '02/04']",02/04 18:00,130,13,9999,8000,5,25,19,1017,69,,,,,,,,,,,
"['19:00', '02/04']",02/04 19:00,140,11,9999,NIL,3,25,19,1017,69,,,,,,,,,,,
"['20:00', '02/04']",02/04 20:00,120,11,9999,2000,5,23,19,1017,78,,,,,,,,,,,
"['21:00', '02/04']",02/04 21:00,120,8,9999,2000,5,23,19,1018,78,,,,,,,,,,,
"['22:00', '02/04']",02/04 22:00,110,11,9999,7000,5,23,19,1017,78,,,,,,,,,,,
"['23:00', '02/04']",02/04 23:00,100,6,9999,8000,5,23,19,1018,78,,,,,,,,,,,
"['00:00', '03/04']",03/04 00:00,150,3,9999,8000,5,23,19,1018,78,,,,,,,,,,,
"['01:00', '03/04']",03/04 01:00,210,4,9999,NIL,3,22,19,1018,83,NIL,,,NIL,,,,,,,
"['01:30', '03/04']",03/04 01:30,70,7,2000,1400,5,21,20,1018,94,NIL,,,1,,,,,,,
"['02:00', '03/04']",03/04 02:00,340,1,4000,2000,5,21,19,1018,88,NIL,,,1,,,,,,,
"['03:00', '03/04']",03/04 03:00,270,5,8000,1500,5,21,20,1018,94,NIL,,,1,,,,,,,
"['04:00', '03/04']",03/04 04:00,230,5,9999,2000,5,21,20,1018,94,NIL,,,1,,,,,,,
"['05:00', '03/04']",03/04 05:00,190,1,3000,1400,5,21,19,1018,88,NIL,,,1,,,,,,,
"['06:00', '03/04']",03/04 06:00,250,4,8000,2000,5,20,19,1018,94,NIL,,,NIL,,,,,,,
"['07:00', '03/04']",03/04 07:00,250,4,9999,2000,5,20,19,1017,94,NIL,,,NIL,,,,,,,
"['08:00', '03/04']",03/04 08:00,250,3,9999,NIL,NIL,20,19,1017,94,NIL,,,NIL,,,,,,,
"['09:00', '03/04']",03/04 09:00,240,3,9999,2000,5,20,19,1018,94,NIL,,,NIL,,,,,,,
"['10:00', '03/04']",03/04 10:00,230,5,9999,2500,5,21,19,1018,88,NIL,,,NIL,,,,,,,
"['11:00', '03/04']",03/04 11:00,110,2,9999,2000,5,22,19,1019,83,NIL,,,NIL,,,,,,,
"['12:00', '03/04']",03/04 12:00,200,4,9999,2500,5,23,19,1019,78,205,,,NIL,,,,,,,
"['13:00', '03/04']",03/04 13:00,200,5,9999,3000,5,24,19,1020,74,200,,,NIL,,,,,,,
"['14:00', '03/04']",03/04 14:00,70,8,9999,8000,5,23,18,1020,73,NIL,,,NIL,,,,,,,
"['15:00', '03/04']",03/04 15:00,120,3,9999,3000,5,23,19,1020,78,130,,,NIL,,,,,,,
"['16:00', '03/04']",03/04 16:00,VRB,4,9999,2500,5,24,19,1019,74,NIL,,,NIL,,,,,,,
"['17:00', '03/04']",03/04 17:00,290,3,9999,NIL,3,24,19,1018,74,295,,,NIL,,,,,,,
"['18:00', '03/04']",03/04 18:00,VRB,2,9999,7000,5,25,19,1018,69,NIL,,,NIL,,,,,,,
"['19:00', '03/04']",03/04 19:00,100,6,9999,7000,5,24,19,1018,74,90,,,NIL,,,,,,,
"['20:00', '03/04']",03/04 20:00,80,4,9999,8000,5,23,18,1019,73,NIL,,,NIL,,,,,,,
"['21:00', '03/04']",03/04 21:00,80,3,9999,6000,5,23,19,1019,78,NIL,,,NIL,,,,,,,
"['22:00', '03/04']",03/04 22:00,160,1,9999,NIL,3,22,19,1019,83,NIL,,,NIL,,,,,,,
"['23:00', '03/04']",03/04 23:00,110,3,9999,NIL,2,21,19,1019,88,NIL,,,NIL,,,,,,,
