validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,chuva,trovoada,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,vnt_vrb,pancada,chuvisco,fumaca,nevoa_seca
"['06:00', '24/03']",24/03 06:00,190,2,9999,NIL,NIL,23,21,1013,89,,,,,,,,,,,
"['07:00', '24/03']",24/03 07:00,20,1,9999,NIL,NIL,23,21,1013,89,,,,,,,,,,,
"['08:00', '24/03']",24/03 08:00,320,4,9999,NIL,NIL,23,22,1013,94,,,,,,,,,,,
"['09:00', '24/03']",24/03 09:00,300,2,9999,NIL,NIL,23,22,1014,94,,,,,,,,,,,
"['10:00', '24/03']",24/03 10:00,270,2,9999,NIL,NIL,24,21,1014,83,,,,,,,,,,,
"['11:00', '24/03']",24/03 11:00,330,3,9999,NIL,NIL,23,22,1015,94,,,,,,,,,,,
"['12:00', '24/03']",24/03 12:00,340,2,9999,NIL,NIL,25,22,1015,83,,,,,,,,,,,
"['13:00', '24/03']",24/03 13:00,0,0,9999,NIL,NIL,28,21,1016,66,,,,,,,,,,,
"['14:00', '24/03']",24/03 14:00,250,3,9999,NIL,NIL,30,23,1016,66,,,,,,,,,,,
"['15:00', '24/03']",24/03 15:00,240,3,9999,NIL,3,31,22,1015,59,,,,,,,,,,,
"['16:00', '24/03']",24/03 16:00,70,3,9999,NIL,2,32,21,1014,52,,,,,,,,,,,
"['17:00', '24/03']",24/03 17:00,170,3,9999,NIL,3,32,21,1014,52,,,,,,,,,,,
"['18:00', '24/03']",24/03 18:00,320,9,9999,10000,5,31,23,1013,63,,,,,,,,,,,
"['19:00', '24/03']",24/03 19:00,330,8,9999,10000,5,31,23,1012,63,,,,,,,,,,,
"['20:00', '24/03']",24/03 20:00,320,3,9999,NIL,3,31,22,1011,59,,,,,,,,,,,
"['21:00', '24/03']",24/03 21:00,90,2,9999,NIL,3,30,21,1011,59,,,,,,,,,,,
"['22:00', '24/03']",24/03 22:00,0,0,9999,NIL,2,28,21,1011,66,,,,,,,,,,,
"['23:00', '24/03']",24/03 23:00,330,5,9999,NIL,2,27,22,1012,74,,,,,,,,,,,
"['00:00', '25/03']",25/03 00:00,320,6,9999,NIL,2,25,22,1013,83,,,,,,,,,,,
"['01:00', '25/03']",25/03 01:00,70,8,9999,NIL,NIL,26,22,1014,79,NIL,NIL,,,,,,,,,
"['02:00', '25/03']",25/03 02:00,190,3,9999,NIL,NIL,26,22,1014,79,NIL,NIL,,,,,,,,,
"['03:00', '25/03']",25/03 03:00,210,3,9999,NIL,NIL,25,22,1014,83,NIL,NIL,,,,,,,,,
"['04:00', '25/03']",25/03 04:00,180,2,9999,NIL,NIL,24,22,1013,89,NIL,NIL,,,,,,,,,
"['05:00', '25/03']",25/03 05:00,170,4,9999,NIL,NIL,24,22,1013,89,NIL,NIL,,,,,,,,,
"['06:00', '25/03']",25/03 06:00,170,4,9999,NIL,NIL,24,22,1012,89,NIL,NIL,,,,,,,,,
"['07:00', '25/03']",25/03 07:00,60,2,9999,NIL,NIL,23,22,1013,94,NIL,NIL,,,,,,,,,
"['08:00', '25/03']",25/03 08:00,280,1,9999,NIL,NIL,23,22,1013,94,NIL,NIL,,,,,,,,,
"['09:00', '25/03']",25/03 09:00,0,0,9999,NIL,NIL,22,22,1013,100,NIL,NIL,,,,,,,,,
"['10:00', '25/03']",25/03 10:00,170,2,9999,NIL,NIL,22,21,1013,94,NIL,NIL,,,,,,,,,
"['11:00', '25/03']",25/03 11:00,100,2,9999,NIL,NIL,24,22,1014,89,NIL,NIL,,,,,,,,,
"['12:00', '25/03']",25/03 12:00,80,2,9999,NIL,NIL,25,22,1015,83,NIL,NIL,,,,,,,,,
"['13:00', '25/03']",25/03 13:00,90,3,9999,NIL,NIL,28,23,1015,74,NIL,NIL,,,,,,,,,
"['14:00', '25/03']",25/03 14:00,220,2,9999,NIL,NIL,30,23,1015,66,NIL,NIL,,,,,,,,,
"['15:00', '25/03']",25/03 15:00,100,3,9999,NIL,NIL,31,23,1015,63,NIL,NIL,,,,,,,,,
"['16:00', '25/03']",25/03 16:00,110,3,9999,NIL,2,32,22,1014,56,NIL,NIL,,,,,,,,,
"['17:00', '25/03']",25/03 17:00,320,3,9999,NIL,2,34,23,1013,53,NIL,NIL,,,,,,,,,
"['18:00', '25/03']",25/03 18:00,0,0,9999,NIL,3,34,21,1011,47,NIL,NIL,,,,,,,,,
"['19:00', '25/03']",25/03 19:00,150,4,9999,NIL,3,33,21,1010,49,NIL,NIL,,,,,,,,,
"['20:00', '25/03']",25/03 20:00,350,7,9999,2000,5,26,22,1010,79,1,1,,,,,,,,,
"['21:00', '25/03']",25/03 21:00,180,4,9999,2000,5,28,24,1010,79,NIL,1,,,,,,,,,
"['22:00', '25/03']",25/03 22:00,90,4,9999,NIL,3,28,22,1010,70,NIL,1,,,,,,,,,
"['23:00', '25/03']",25/03 23:00,50,5,9999,NIL,3,27,21,1011,70,NIL,NIL,,,,,,,,,
"['00:00', '26/03']",26/03 00:00,10,3,9999,NIL,3,27,20,1012,66,NIL,NIL,,,,,,,,,
"['01:00', '26/03']",26/03 01:00,30,3,9999,,3,26,21,1013,74,,,,,,,,,,,
"['02:00', '26/03']",26/03 02:00,50,3,9999,,NIL,26,20,1013,70,,,,,,,,,,,
"['03:00', '26/03']",26/03 03:00,0,0,9999,,NIL,24,22,1013,89,,,,,,,,,,,
"['04:00', '26/03']",26/03 04:00,150,4,9999,,NIL,23,21,1012,89,,,,,,,,,,,
"['05:00', '26/03']",26/03 05:00,120,3,9999,,NIL,23,21,1012,89,,,,,,,,,,,
"['06:00', '26/03']",26/03 06:00,0,0,9999,,NIL,23,22,1012,94,,,,,,,,,,,
"['07:00', '26/03']",26/03 07:00,120,3,9999,,NIL,23,21,1012,89,,,,,,,,,,,
"['08:00', '26/03']",26/03 08:00,0,0,9999,,NIL,22,21,1011,94,,,,,,,,,,,
"['09:00', '26/03']",26/03 09:00,0,0,9999,,NIL,22,20,1012,88,,,,,,,,,,,
"['10:00', '26/03']",26/03 10:00,300,5,9999,,NIL,23,22,1013,94,,,,,,,,,,,
"['11:00', '26/03']",26/03 11:00,290,6,9999,,NIL,23,22,1014,94,,,,,,,,,,,
"['12:00', '26/03']",26/03 12:00,300,5,9999,,NIL,27,23,1014,79,,,,,,,,,,,
"['13:00', '26/03']",26/03 13:00,320,6,9999,,NIL,29,22,1014,66,,,,,,,,,,,
"['14:00', '26/03']",26/03 14:00,320,6,9999,,NIL,31,21,1014,55,,,,,,,,,,,
"['15:00', '26/03']",26/03 15:00,310,6,9999,,2,32,22,1014,56,,,,,,,,,,,
"['16:00', '26/03']",26/03 16:00,290,8,9999,,2,33,22,1013,53,,,,,,,,,,,
"['17:00', '26/03']",26/03 17:00,320,9,9999,,3,34,22,1012,50,,,,,,,,,,,
"['18:00', '26/03']",26/03 18:00,340,6,9999,,3,34,20,1011,44,,,,,,,,,,,
"['19:00', '26/03']",26/03 19:00,360,2,9999,,3,32,19,1010,46,,,,,,,,,,,
"['20:00', '26/03']",26/03 20:00,320,5,9999,,2,34,19,1010,41,,,,,,,,,,,
"['21:00', '26/03']",26/03 21:00,310,5,9999,,2,33,19,1010,44,,,,,,,,,,,
"['22:00', '26/03']",26/03 22:00,310,7,9999,,2,30,20,1010,55,,,,,,,,,,,
"['23:00', '26/03']",26/03 23:00,230,3,9999,,2,29,20,1010,58,,,,,,,,,,,
"['00:00', '27/03']",27/03 00:00,200,2,9999,,NIL,26,20,1011,70,,,,,,,,,,,
"['01:00', '27/03']",27/03 01:00,130,3,9999,NIL,NIL,26,22,1011,79,,,,,,,,,,,
"['02:00', '27/03']",27/03 02:00,20,3,9999,NIL,NIL,25,22,1012,83,,,,,,,,,,,
"['03:00', '27/03']",27/03 03:00,10,3,9999,NIL,NIL,26,20,1012,70,,,,,,,,,,,
"['04:00', '27/03']",27/03 04:00,250,3,9999,NIL,NIL,25,21,1012,79,,,,,,,,,,,
"['05:00', '27/03']",27/03 05:00,260,4,9999,NIL,NIL,24,21,1012,83,,,,,,,,,,,
"['06:00', '27/03']",27/03 06:00,280,5,9999,NIL,NIL,23,21,1011,89,,,,,,,,,,,
"['07:00', '27/03']",27/03 07:00,270,3,9999,NIL,NIL,23,21,1011,89,,,,,,,,,,,
"['08:00', '27/03']",27/03 08:00,270,3,9999,NIL,NIL,23,21,1011,89,,,,,,,,,,,
"['09:00', '27/03']",27/03 09:00,290,2,9999,NIL,NIL,22,21,1012,94,,,,,,,,,,,
"['10:00', '27/03']",27/03 10:00,280,4,9999,NIL,NIL,22,21,1013,94,,,,,,,,,,,
"['11:00', '27/03']",27/03 11:00,310,5,9999,NIL,NIL,25,22,1014,83,,,,,,,,,,,
"['12:00', '27/03']",27/03 12:00,320,8,9999,NIL,NIL,26,21,1014,74,,,,,,,,,,,
"['13:00', '27/03']",27/03 13:00,310,5,9999,NIL,NIL,29,21,1015,62,,,,,,,,,,,
"['15:00', '27/03']",27/03 15:00,320,5,9999,NIL,2,32,21,1014,52,,,,,,,,,,,
"['16:00', '27/03']",27/03 16:00,10,6,9999,NIL,3,33,20,1013,46,,,,,,,,,,,
"['17:00', '27/03']",27/03 17:00,320,9,9999,NIL,3,35,21,1012,44,,,,,,,,,,,
"['18:00', '27/03']",27/03 18:00,300,7,9999,2000,5,34,19,1011,41,,,,,,,,,,,
"['19:00', '27/03']",27/03 19:00,310,4,9999,NIL,3,34,20,1010,44,,,,,,,,,,,
"['20:00', '27/03']",27/03 20:00,300,5,9999,NIL,3,34,19,1009,41,,,,,,,,,,,
"['21:00', '27/03']",27/03 21:00,310,5,9999,NIL,2,33,19,1009,44,,,,,,,,,,,
"['23:00', '27/03']",27/03 23:00,230,2,9999,NIL,NIL,30,21,1010,59,,,,,,,,,,,
"['00:00', '28/03']",28/03 00:00,110,3,9999,NIL,NIL,28,22,1011,70,,,,,,,,,,,
"['02:00', '28/03']",28/03 02:00,160,2,9999,NIL,NIL,27,22,1012,74,,,,,,,,,,,
"['03:00', '28/03']",28/03 03:00,0,0,9999,NIL,NIL,27,22,1012,74,,,,,,,,,,,
"['04:00', '28/03']",28/03 04:00,110,2,9999,9000,5,26,23,1012,84,,,,,,,,,,,
"['05:00', '28/03']",28/03 05:00,130,2,9999,10000,5,26,23,1012,84,,,,,,,,,,,
"['06:00', '28/03']",28/03 06:00,200,6,9999,8000,5,27,21,1012,70,,,,,,,,,,,
"['07:00', '28/03']",28/03 07:00,300,5,9999,9000,5,26,23,1012,84,,,,,,,,,,,
"['08:00', '28/03']",28/03 08:00,180,5,9999,7000,5,26,22,1012,79,,,,,,,,,,,
"['09:00', '28/03']",28/03 09:00,70,2,9999,7000,5,25,23,1012,89,,,,,,,,,,,
"['10:00', '28/03']",28/03 10:00,240,2,9999,7000,5,26,23,1013,84,,,,,,,,,,,
"['11:00', '28/03']",28/03 11:00,270,4,9999,10000,5,26,23,1014,84,,,,,,,,,,,
"['12:00', '28/03']",28/03 12:00,260,4,9999,NIL,NIL,28,22,1014,70,,,,,,,,,,,
"['13:00', '28/03']",28/03 13:00,230,4,9999,NIL,NIL,28,22,1015,70,,,,,,,,,,,
"['14:00', '28/03']",28/03 14:00,210,8,9999,NIL,NIL,29,22,1015,66,,,,,,,,,,,
"['15:00', '28/03']",28/03 15:00,200,7,9999,NIL,3,31,23,1014,63,,,,,,,,,,,
"['16:00', '28/03']",28/03 16:00,210,7,9999,NIL,3,30,23,1014,66,,,,,,,,,,,
"['17:00', '28/03']",28/03 17:00,220,9,9999,NIL,3,31,23,1012,63,,,,,,,,,,,
"['18:00', '28/03']",28/03 18:00,190,7,9999,NIL,3,32,23,1011,59,,,,,,,,,,,
"['19:00', '28/03']",28/03 19:00,180,9,9999,NIL,3,32,22,1010,56,,,,,,,,,,,
"['20:00', '28/03']",28/03 20:00,170,6,9999,NIL,3,32,23,1009,59,,,,,,,,,,,
"['21:00', '28/03']",28/03 21:00,160,7,9999,NIL,2,31,23,1009,63,,,,,,,,,,,
"['22:00', '28/03']",28/03 22:00,160,6,9999,NIL,NIL,30,23,1010,66,,,,,,,,,,,
"['23:00', '28/03']",28/03 23:00,200,6,9999,NIL,NIL,28,23,1010,74,,,,,,,,,,,
"['00:00', '29/03']",29/03 00:00,200,8,9999,NIL,NIL,28,24,1011,79,,,,,,,,,,,
"['01:00', '29/03']",29/03 01:00,210,6,9999,NIL,NIL,27,23,1012,79,,,,,,,,,,,
"['02:00', '29/03']",29/03 02:00,170,4,9999,NIL,NIL,26,23,1012,84,,,,,,,,,,,
"['03:00', '29/03']",29/03 03:00,130,4,9999,NIL,NIL,24,23,1012,94,,,,,,,,,,,
"['04:00', '29/03']",29/03 04:00,80,2,9999,NIL,NIL,24,23,1013,94,,,,,,,,,,,
"['05:00', '29/03']",29/03 05:00,100,2,9999,NIL,NIL,24,23,1012,94,,,,,,,,,,,
"['06:00', '29/03']",29/03 06:00,100,3,9999,NIL,NIL,24,23,1012,94,,,,,,,,,,,
"['07:00', '29/03']",29/03 07:00,160,3,9999,NIL,NIL,24,23,1012,94,,,,,,,,,,,
"['08:00', '29/03']",29/03 08:00,180,3,9999,NIL,NIL,24,23,1012,94,,,,,,,,,,,
"['09:00', '29/03']",29/03 09:00,170,4,9999,NIL,NIL,24,23,1013,94,,,,,,,,,,,
"['10:00', '29/03']",29/03 10:00,170,6,9999,NIL,2,24,23,1013,94,,,,,,,,,,,
"['11:00', '29/03']",29/03 11:00,160,6,9999,NIL,2,25,23,1014,89,,,,,,,,,,,
"['12:00', '29/03']",29/03 12:00,160,7,9999,NIL,3,26,23,1015,84,,,,,,,,,,,
"['13:00', '29/03']",29/03 13:00,130,7,9999,2000,5,27,23,1016,79,,,,,,,,,,,
"['14:00', '29/03']",29/03 14:00,140,7,9999,2000,5,29,24,1015,74,,,,,,,,,,,
"['15:00', '29/03']",29/03 15:00,170,6,9999,2000,5,30,23,1015,66,,,,,,,,,,,
"['16:00', '29/03']",29/03 16:00,180,4,9999,2000,5,32,23,1014,59,,,,,,,,,,,
"['17:00', '29/03']",29/03 17:00,160,4,9999,2000,5,33,23,1013,56,,,,,,,,,,,
"['18:00', '29/03']",29/03 18:00,160,6,9999,2000,5,33,21,1012,49,,,,,,,,,,,
"['19:00', '29/03']",29/03 19:00,150,7,9999,2000,5,33,21,1011,49,,,,,,,,,,,
"['20:00', '29/03']",29/03 20:00,180,7,9999,2000,5,33,22,1010,53,,,,,,,,,,,
"['21:00', '29/03']",29/03 21:00,170,7,9999,NIL,2,32,22,1010,56,,,,,,,,,,,
"['22:00', '29/03']",29/03 22:00,180,5,9999,NIL,2,31,22,1010,59,,,,,,,,,,,
"['23:00', '29/03']",29/03 23:00,160,4,9999,NIL,3,29,22,1011,66,,,,,,,,,,,
"['00:00', '30/03']",30/03 00:00,160,5,9999,NIL,3,29,22,1012,66,,,,,,,,,,,
"['01:00', '30/03']",30/03 01:00,190,6,9999,NIL,NIL,28,23,1012,74,,,,,,,,,,,
"['02:00', '30/03']",30/03 02:00,170,3,9999,NIL,NIL,27,23,1013,79,,,,,,,,,,,
"['03:00', '30/03']",30/03 03:00,180,7,9999,NIL,NIL,27,23,1013,79,,,,,,,,,,,
"['04:00', '30/03']",30/03 04:00,200,3,9999,NIL,NIL,26,23,1013,84,,,,,,,,,,,
"['05:00', '30/03']",30/03 05:00,180,6,9999,NIL,NIL,25,23,1012,89,,,,,,,,,,,
"['06:00', '30/03']",30/03 06:00,180,6,9999,NIL,NIL,25,23,1012,89,,,,,,,,,,,
"['07:00', '30/03']",30/03 07:00,190,5,9999,NIL,NIL,25,23,1012,89,,,,,,,,,,,
"['08:00', '30/03']",30/03 08:00,190,5,9999,NIL,NIL,24,23,1012,94,,,,,,,,,,,
"['09:00', '30/03']",30/03 09:00,190,4,9999,NIL,NIL,24,23,1012,94,,,,,,,,,,,
"['10:00', '30/03']",30/03 10:00,190,6,9999,NIL,NIL,24,23,1013,94,,,,,,,,,,,
"['11:00', '30/03']",30/03 11:00,190,7,9999,NIL,NIL,25,23,1014,89,,,,,,,,,,,
"['12:00', '30/03']",30/03 12:00,160,10,9999,NIL,2,26,23,1015,84,,,,,,,,,,,
"['13:00', '30/03']",30/03 13:00,170,10,9999,1500,5,27,22,1015,74,,,,,,,,,,,
"['14:00', '30/03']",30/03 14:00,140,8,9999,2000,5,28,23,1015,74,,,,,,,,,,,
"['15:00', '30/03']",30/03 15:00,150,6,9999,2000,5,30,23,1014,66,,,,,,,,,,,
"['16:00', '30/03']",30/03 16:00,160,6,9999,2000,5,31,23,1013,63,,,,,,,,,,,
"['17:00', '30/03']",30/03 17:00,160,7,9999,2000,5,32,22,1013,56,,,,,,,,,,,
"['18:00', '30/03']",30/03 18:00,160,7,9999,2000,5,32,21,1011,52,,,,,,,,,,,
"['19:00', '30/03']",30/03 19:00,170,9,9999,NIL,3,33,21,1010,49,,,,,,,,,,,
"['20:00', '30/03']",30/03 20:00,150,8,9999,NIL,3,33,21,1009,49,,,,,,,,,,,
"['21:00', '30/03']",30/03 21:00,160,8,9999,NIL,NIL,32,21,1009,52,,,,,,,,,,,
"['22:00', '30/03']",30/03 22:00,170,5,9999,NIL,3,30,21,1009,59,,,,,,,,,,,
"['23:00', '30/03']",30/03 23:00,180,5,9999,NIL,2,29,22,1010,66,,,,,,,,,,,
"['00:00', '31/03']",31/03 00:00,180,5,9999,NIL,NIL,29,22,1010,66,,,,,,,,,,,
"['01:00', '31/03']",31/03 01:00,170,4,9999,NIL,NIL,28,22,1011,70,,,,,,,,,,,
"['02:00', '31/03']",31/03 02:00,120,2,9999,NIL,NIL,26,22,1012,79,,,,,,,,,,,
"['03:00', '31/03']",31/03 03:00,130,2,9999,NIL,NIL,26,22,1012,79,,,,,,,,,,,
"['04:00', '31/03']",31/03 04:00,160,2,9999,NIL,NIL,25,22,1011,83,,,,,,,,,,,
"['05:00', '31/03']",31/03 05:00,150,2,9999,NIL,NIL,25,22,1011,83,,,,,,,,,,,
"['06:00', '31/03']",31/03 06:00,200,2,9999,NIL,NIL,24,23,1011,94,,,,,,,,,,,
"['07:00', '31/03']",31/03 07:00,190,3,9999,NIL,NIL,25,22,1011,83,,,,,,,,,,,
"['08:00', '31/03']",31/03 08:00,180,3,9999,NIL,NIL,24,22,1011,89,,,,,,,,,,,
"['09:00', '31/03']",31/03 09:00,170,4,9999,NIL,NIL,24,22,1011,89,,,,,,,,,,,
"['10:00', '31/03']",31/03 10:00,210,5,9999,NIL,NIL,24,22,1012,89,,,,,,,,,,,
"['11:00', '31/03']",31/03 11:00,180,5,9999,NIL,NIL,25,22,1012,83,,,,,,,,,,,
"['12:00', '31/03']",31/03 12:00,150,7,9999,NIL,NIL,26,22,1013,79,,,,,,,,,,,
"['13:00', '31/03']",31/03 13:00,160,8,9999,NIL,NIL,28,22,1013,70,,,,,,,,,,,
"['14:00', '31/03']",31/03 14:00,150,7,9999,NIL,3,29,23,1013,70,,,,,,,,,,,
"['15:00', '31/03']",31/03 15:00,160,4,9999,2000,5,30,23,1013,66,,,,,,,,,,,
"['16:00', '31/03']",31/03 16:00,170,4,9999,2000,5,32,22,1012,56,,,,,,,,,,,
"['17:00', '31/03']",31/03 17:00,150,5,9999,2000,5,32,22,1010,56,,,,,,,,,,,
"['18:00', '31/03']",31/03 18:00,190,6,9999,NIL,3,33,21,1009,49,,,,,,,,,,,
"['19:00', '31/03']",31/03 19:00,190,7,9999,NIL,3,34,22,1008,50,,,,,,,,,,,
"['20:00', '31/03']",31/03 20:00,160,7,9999,NIL,3,33,21,1007,49,,,,,,,,,,,
"['21:00', '31/03']",31/03 21:00,150,6,9999,NIL,3,32,22,1007,56,,,,,,,,,,,
"['22:00', '31/03']",31/03 22:00,180,5,9999,NIL,3,30,22,1007,62,,,,,,,,,,,
"['23:00', '31/03']",31/03 23:00,170,7,9999,NIL,3,29,22,1008,66,,,,,,,,,,,
"['00:00', '01/04']",01/04 00:00,170,7,9999,NIL,3,28,22,1008,70,,,,,,,,,,,
"['01:00', '01/04']",01/04 01:00,180,4,9999,,NIL,28,22,1009,70,,,,,,,,,,,
"['02:00', '01/04']",01/04 02:00,160,4,9999,,NIL,30,23,1010,66,,,,,,,,,,,
"['03:00', '01/04']",01/04 03:00,280,3,9999,,NIL,27,22,1010,74,,,,,,,,,,,
"['04:00', '01/04']",01/04 04:00,100,2,9999,,NIL,25,22,1011,83,,,,,,,,,,,
"['05:00', '01/04']",01/04 05:00,190,1,9999,,NIL,25,22,1010,83,,,,,,,,,,,
"['06:00', '01/04']",01/04 06:00,0,0,9999,,NIL,24,22,1009,89,,,,,,,,,,,
"['07:00', '01/04']",01/04 07:00,0,0,9999,,NIL,24,22,1009,89,,,,,,,,,,,
"['08:00', '01/04']",01/04 08:00,210,3,9999,,NIL,25,22,1010,83,,,,,,,,,,,
"['09:00', '01/04']",01/04 09:00,240,4,9999,,NIL,25,22,1010,83,,,,,,,,,,,
"['10:00', '01/04']",01/04 10:00,210,4,9999,,NIL,24,22,1010,89,,,,,,,,,,,
"['11:00', '01/04']",01/04 11:00,220,3,9999,,NIL,25,22,1011,83,,,,,,,,,,,
"['12:00', '01/04']",01/04 12:00,180,2,9999,,NIL,26,22,1012,79,,,,,,,,,,,
"['13:00', '01/04']",01/04 13:00,130,2,9999,,NIL,27,23,1012,79,,,,,,,,,,,
"['14:00', '01/04']",01/04 14:00,140,3,9999,,NIL,28,22,1012,70,,,,,,,,,,,
"['15:00', '01/04']",01/04 15:00,110,5,9999,,3,31,22,1011,59,,,,,,,,,,,
"['16:00', '01/04']",01/04 16:00,210,3,9999,,3,32,22,1010,56,,,,,,,,,,,
"['17:00', '01/04']",01/04 17:00,300,3,9999,,3,33,20,1009,46,,,,,,,,,,,
"['18:00', '01/04']",01/04 18:00,140,4,9999,,3,33,21,1009,49,,,,,,,,,,,
"['19:00', '01/04']",01/04 19:00,170,7,9999,,3,33,20,1007,46,,,,,,,,,,,
"['20:00', '01/04']",01/04 20:00,150,6,9999,,3,34,19,1007,41,,,,,,,,,,,
"['21:00', '01/04']",01/04 21:00,160,5,9999,,3,32,21,1007,52,,,,,,,,,,,
"['22:00', '01/04']",01/04 22:00,170,6,9999,,3,31,21,1008,55,,,,,,,,,,,
"['23:00', '01/04']",01/04 23:00,160,5,9999,,3,30,21,1008,59,,,,,,,,,,,
"['00:00', '02/04']",02/04 00:00,190,4,9999,,NIL,29,22,1010,66,,,,,,,,,,,
"['01:00', '02/04']",02/04 01:00,160,4,9999,NIL,NIL,28,22,1011,70,NIL,NIL,NIL,,,,,,,,
"['02:00', '02/04']",02/04 02:00,160,4,9999,NIL,NIL,28,22,1011,70,NIL,NIL,NIL,,,,,,,,
"['03:00', '02/04']",02/04 03:00,160,4,9999,NIL,NIL,27,22,1011,74,NIL,NIL,NIL,,,,,,,,
"['04:00', '02/04']",02/04 04:00,130,2,9999,NIL,NIL,26,23,1011,84,NIL,NIL,NIL,,,,,,,,
"['05:00', '02/04']",02/04 05:00,0,0,9999,NIL,NIL,25,23,1011,89,NIL,NIL,NIL,,,,,,,,
"['06:00', '02/04']",02/04 06:00,0,0,9999,NIL,NIL,25,23,1010,89,NIL,NIL,NIL,,,,,,,,
"['07:00', '02/04']",02/04 07:00,0,0,9999,NIL,NIL,26,23,1010,84,NIL,NIL,NIL,,,,,,,,
"['08:00', '02/04']",02/04 08:00,0,0,9999,NIL,NIL,26,23,1010,84,NIL,NIL,NIL,,,,,,,,
"['09:00', '02/04']",02/04 09:00,190,4,9999,NIL,NIL,26,23,1011,84,NIL,NIL,NIL,,,,,,,,
"['10:00', '02/04']",02/04 10:00,160,4,9999,NIL,NIL,25,23,1012,89,NIL,NIL,NIL,,,,,,,,
"['11:00', '02/04']",02/04 11:00,180,3,9999,NIL,NIL,26,23,1012,84,NIL,NIL,NIL,,,,,,,,
"['12:00', '02/04']",02/04 12:00,150,5,9999,NIL,NIL,28,22,1013,70,NIL,NIL,NIL,,,,,,,,
"['13:00', '02/04']",02/04 13:00,160,4,9999,NIL,NIL,28,22,1014,70,NIL,NIL,NIL,,,,,,,,
"['14:00', '02/04']",02/04 14:00,90,4,9999,NIL,NIL,30,23,1014,66,NIL,NIL,NIL,,,,,,,,
"['15:00', '02/04']",02/04 15:00,150,5,9999,NIL,2,31,22,1013,59,NIL,NIL,NIL,,,,,,,,
"['16:00', '02/04']",02/04 16:00,180,5,9999,NIL,2,31,22,1013,59,NIL,NIL,NIL,,,,,,,,
"['17:00', '02/04']",02/04 17:00,150,5,9999,NIL,3,33,22,1011,53,NIL,NIL,NIL,,,,,,,,
"['18:00', '02/04']",02/04 18:00,190,6,9999,NIL,3,33,22,1010,53,NIL,NIL,NIL,,,,,,,,
"['19:00', '02/04']",02/04 19:00,180,5,9999,2000,5,33,21,1009,49,NIL,NIL,NIL,,,,,,,,
"['19:19', '02/04']",02/04 19:19,300,20,2000,2000,5,30,19,1010,52,1,1,31,,,,,,,,
"['19:34', '02/04']",02/04 19:34,360,12,1000,2000,5,23,20,1011,83,1,1,26,,,,,,,,
"['20:00', '02/04']",02/04 20:00,280,9,3000,2000,5,23,21,1011,89,1,1,NIL,,,,,,,,
"['20:13', '02/04']",02/04 20:13,280,8,5000,2000,5,24,22,1010,89,1,1,NIL,,,,,,,,
"['21:00', '02/04']",02/04 21:00,260,7,9999,10000,5,26,22,1010,79,1,NIL,NIL,,,,,,,,
"['22:00', '02/04']",02/04 22:00,160,3,9999,10000,5,25,23,1011,89,NIL,NIL,NIL,,,,,,,,
"['23:00', '02/04']",02/04 23:00,30,4,9999,10000,5,24,22,1011,89,NIL,NIL,NIL,,,,,,,,
"['00:00', '03/04']",03/04 00:00,50,3,9999,NIL,2,24,22,1012,89,NIL,NIL,NIL,,,,,,,,
"['01:00', '03/04']",03/04 01:00,10,2,9999,NIL,NIL,24,22,1013,89,,NIL,NIL,,,,,,,,
"['02:00', '03/04']",03/04 02:00,350,2,9999,NIL,NIL,24,22,1013,89,,NIL,NIL,,,,,,,,
"['03:00', '03/04']",03/04 03:00,300,3,9999,NIL,2,24,23,1013,94,,NIL,NIL,,,,,,,,
"['04:00', '03/04']",03/04 04:00,360,3,9999,NIL,2,24,22,1013,89,,NIL,NIL,,,,,,,,
"['05:00', '03/04']",03/04 05:00,300,3,9999,NIL,2,24,23,1013,94,,NIL,NIL,,,,,,,,
"['06:00', '03/04']",03/04 06:00,250,3,9999,NIL,2,25,22,1012,83,,NIL,NIL,,,,,,,,
"['07:00', '03/04']",03/04 07:00,290,2,9999,NIL,NIL,24,22,1012,89,,NIL,NIL,,,,,,,,
"['08:00', '03/04']",03/04 08:00,220,2,9999,NIL,NIL,24,22,1011,89,,NIL,NIL,,,,,,,,
"['09:00', '03/04']",03/04 09:00,20,2,9999,NIL,NIL,23,23,1012,100,,NIL,NIL,,,,,,,,
"['10:00', '03/04']",03/04 10:00,340,3,9999,NIL,NIL,24,22,1013,89,,NIL,NIL,,,,,,,,
"['11:00', '03/04']",03/04 11:00,320,5,9999,NIL,2,24,23,1013,94,,NIL,NIL,,,,,,,,
"['12:00', '03/04']",03/04 12:00,310,5,9999,NIL,3,25,23,1014,89,,NIL,NIL,,,,,,,,
"['13:00', '03/04']",03/04 13:00,0,0,9999,NIL,NIL,27,22,1014,74,,NIL,NIL,,,,,,,,
"['14:00', '03/04']",03/04 14:00,140,2,9999,NIL,NIL,29,22,1014,66,,NIL,NIL,,,,,,,,
"['15:00', '03/04']",03/04 15:00,130,5,9999,NIL,NIL,31,23,1013,63,,NIL,NIL,,,,,,,,
"['16:00', '03/04']",03/04 16:00,220,3,9999,NIL,3,32,23,1013,59,,NIL,NIL,,,,,,,,
