validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,chuva,trovoada,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,vnt_vrb,pancada,chuvisco,fumaca,nevoa_seca
"['16:00', '05/01']",05/01 16:00,330,7,9999,NIL,3,34,20,1011,44,,,,,,,,,,,
"['17:00', '05/01']",05/01 17:00,360,7,9999,2000,5,34,20,1010,44,,,,,,,,,,,
"['18:00', '05/01']",05/01 18:00,300,8,9999,2000,5,35,19,1008,39,,,,,,,,,,,
"['19:00', '05/01']",05/01 19:00,350,6,9999,NIL,3,35,19,1007,39,,,,,,,,,,,
"['20:00', '05/01']",05/01 20:00,300,15,6000,NIL,3,33,20,1007,46,,,,,,,,,,,
"['21:00', '05/01']",05/01 21:00,300,7,9999,NIL,3,31,20,1007,52,,,,,,,,,,,
"['22:00', '05/01']",05/01 22:00,340,4,9999,NIL,3,31,21,1008,55,,,,,,,,,,,
"['23:00', '05/01']",05/01 23:00,110,2,9999,10000,5,29,22,1009,66,,,,,,,,,,,
"['00:00', '06/01']",06/01 00:00,80,2,9999,10000,5,29,22,1010,66,,,,,,,,,,,
"['01:00', '06/01']",06/01 01:00,100,4,9999,8000,5,28,22,1011,70,NIL,NIL,NIL,,,,,,,,
"['02:00', '06/01']",06/01 02:00,110,3,9999,7000,5,27,22,1012,74,NIL,NIL,NIL,,,,,,,,
"['03:00', '06/01']",06/01 03:00,170,3,9999,10000,5,27,22,1012,74,NIL,NIL,NIL,,,,,,,,
"['04:00', '06/01']",06/01 04:00,160,3,9999,10000,5,26,22,1011,79,NIL,NIL,NIL,,,,,,,,
"['05:00', '06/01']",06/01 05:00,170,3,9999,10000,5,26,22,1011,79,NIL,NIL,NIL,,,,,,,,
"['06:00', '06/01']",06/01 06:00,170,3,9999,10000,5,26,22,1010,79,NIL,NIL,NIL,,,,,,,,
"['07:00', '06/01']",06/01 07:00,210,3,9999,NIL,3,26,22,1010,79,NIL,NIL,NIL,,,,,,,,
"['08:00', '06/01']",06/01 08:00,200,4,9999,NIL,3,26,22,1011,79,NIL,NIL,NIL,,,,,,,,
"['09:00', '06/01']",06/01 09:00,190,7,9999,10000,5,25,22,1012,83,NIL,NIL,NIL,,,,,,,,
"['10:00', '06/01']",06/01 10:00,180,9,9999,9000,5,25,21,1013,79,NIL,NIL,NIL,,,,,,,,
"['11:00', '06/01']",06/01 11:00,190,10,9999,10000,5,26,20,1014,70,NIL,NIL,NIL,,,,,,,,
"['12:00', '06/01']",06/01 12:00,150,9,9999,10000,5,28,21,1015,66,NIL,NIL,NIL,,,,,,,,
"['13:00', '06/01']",06/01 13:00,130,8,9999,NIL,2,29,20,1015,58,NIL,NIL,NIL,,,,,,,,
"['14:00', '06/01']",06/01 14:00,130,8,9999,NIL,2,29,20,1015,58,NIL,NIL,NIL,,,,,,,,
"['15:00', '06/01']",06/01 15:00,120,5,9999,2000,5,31,21,1014,55,NIL,NIL,NIL,,,,,,,,
