validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoa_umida,chuvisco,nevoeiro,nevoa_seca,fumaca
"['01:00', '01/01']",01/01 01:00,VRB,2,NIL,9999,NIL,NIL,NIL,NIL,NIL,22,20,1016,88,,,,,,,,
"['02:00', '01/01']",01/01 02:00,130,3,135,9999,NIL,NIL,NIL,NIL,NIL,22,19,1017,83,,,,,,,,
"['03:00', '01/01']",01/01 03:00,VRB,1,NIL,9999,NIL,NIL,NIL,10000,5,22,20,1016,88,,,,,,,,
"['04:00', '01/01']",01/01 04:00,VRB,2,NIL,9999,NIL,NIL,NIL,8000,5,22,20,1016,88,,,,,,,,
"['05:00', '01/01']",01/01 05:00,VRB,2,NIL,9999,NIL,NIL,NIL,7000,5,22,19,1015,83,,,,,,,,
"['06:00', '01/01']",01/01 06:00,VRB,1,NIL,9999,NIL,NIL,NIL,7000,5,21,20,1015,94,,,,,,,,
"['07:00', '01/01']",01/01 07:00,50,3,NIL,9000,4000,0,1,7000,5,22,19,1015,83,,,,,,,,
"['08:00', '01/01']",01/01 08:00,60,3,NIL,9999,NIL,NIL,NIL,7000,5,21,19,1016,88,,,,,,,,
"['09:00', '01/01']",01/01 09:00,VRB,2,NIL,9999,NIL,NIL,NIL,10000,5,21,19,1016,88,,,,,,,,
"['10:00', '01/01']",01/01 10:00,270,2,NIL,9999,NIL,NIL,NIL,10000,5,22,18,1016,78,,,,,,,,
"['11:00', '01/01']",01/01 11:00,VRB,2,NIL,9999,NIL,NIL,NIL,10000,5,22,19,1017,83,,,,,,,,
"['12:00', '01/01']",01/01 12:00,320,4,NIL,9999,NIL,NIL,NIL,10000,5,24,20,1017,78,,,,,,,,
"['13:00', '01/01']",01/01 13:00,260,3,NIL,9999,NIL,NIL,NIL,3000,5,26,20,1017,70,,,,,,,,
"['14:00', '01/01']",01/01 14:00,250,8,260,8000,NIL,NIL,1,3000,5,25,19,1017,69,,,,,,,,
"['15:00', '01/01']",01/01 15:00,260,4,NIL,9999,NIL,NIL,NIL,3000,5,23,20,1017,83,,,,,,,,
"['16:00', '01/01']",01/01 16:00,90,4,NIL,9999,NIL,NIL,NIL,2500,5,25,21,1015,79,,,,,,,,
"['17:00', '01/01']",01/01 17:00,100,4,NIL,9999,NIL,NIL,NIL,3000,5,26,18,1015,61,,,,,,,,
"['18:00', '01/01']",01/01 18:00,260,8,NIL,9999,NIL,NIL,NIL,10000,5,22,19,1014,83,,,,,,,,
"['19:00', '01/01']",01/01 19:00,VRB,2,NIL,9999,NIL,NIL,NIL,10000,5,24,19,1013,74,,,,,,,,
"['20:00', '01/01']",01/01 20:00,340,3,NIL,9999,NIL,NIL,NIL,10000,5,25,19,1012,69,,,,,,,,
"['21:00', '01/01']",01/01 21:00,50,3,70,9999,NIL,NIL,NIL,10000,5,25,19,1012,69,,,,,,,,
"['22:00', '01/01']",01/01 22:00,30,2,NIL,9999,NIL,NIL,NIL,10000,5,25,19,1013,69,,,,,,,,
"['23:00', '01/01']",01/01 23:00,300,3,NIL,9999,NIL,NIL,NIL,10000,5,24,20,1014,78,,,,,,,,
"['00:00', '02/01']",02/01 00:00,310,7,NIL,9999,NIL,NIL,NIL,NIL,3,23,20,1016,83,,,,,,,,
"['01:00', '02/01']",02/01 01:00,330,5,315,9999,,,NIL,NIL,3,22,20,1016,88,NIL,NIL,,,,,,
"['02:00', '02/01']",02/01 02:00,310,4,NIL,9999,,,NIL,NIL,3,22,20,1016,88,NIL,NIL,,,,,,
"['03:00', '02/01']",02/01 03:00,290,4,295,9999,,,NIL,NIL,3,22,20,1016,88,NIL,NIL,,,,,,
"['04:00', '02/01']",02/01 04:00,290,4,NIL,9999,,,NIL,NIL,3,22,20,1015,88,NIL,NIL,,,,,,
"['05:00', '02/01']",02/01 05:00,320,5,NIL,9999,,,NIL,NIL,3,21,20,1015,94,NIL,NIL,,,,,,
"['06:00', '02/01']",02/01 06:00,320,4,NIL,9999,,,NIL,NIL,3,21,19,1014,88,NIL,NIL,,,,,,
"['07:00', '02/01']",02/01 07:00,320,4,NIL,9999,,,NIL,NIL,3,21,19,1014,88,NIL,NIL,,,,,,
"['08:00', '02/01']",02/01 08:00,270,4,NIL,9999,,,NIL,NIL,3,21,19,1015,88,NIL,NIL,,,,,,
"['09:00', '02/01']",02/01 09:00,300,2,NIL,9999,,,NIL,1700,5,21,19,1016,88,NIL,NIL,,,,,,
"['10:00', '02/01']",02/01 10:00,280,6,300,9999,,,NIL,10000,5,22,20,1016,88,NIL,NIL,,,,,,
"['11:00', '02/01']",02/01 11:00,290,5,NIL,9999,,,NIL,1400,5,23,20,1017,83,NIL,NIL,,,,,,
"['12:00', '02/01']",02/01 12:00,290,9,275,9999,,,NIL,2500,5,24,20,1017,78,NIL,NIL,,,,,,
"['13:00', '02/01']",02/01 13:00,280,11,NIL,9999,,,NIL,2500,5,25,20,1017,74,NIL,NIL,,,,,,
"['14:00', '02/01']",02/01 14:00,280,10,295,9999,,,NIL,2500,5,26,20,1017,70,NIL,NIL,,,,,,
"['15:00', '02/01']",02/01 15:00,250,11,NIL,9999,,,NIL,3000,5,27,19,1016,62,NIL,NIL,,,,,,
"['16:00', '02/01']",02/01 16:00,280,10,270,9999,,,NIL,3000,5,28,20,1015,62,NIL,NIL,,,,,,
"['17:00', '02/01']",02/01 17:00,270,11,NIL,9999,,,NIL,3000,5,28,19,1014,58,NIL,NIL,,,,,,
"['17:24', '02/01']",02/01 17:24,290,14,NIL,3000,,,1,2000,5,23,20,1014,83,28,NIL,,,,,,
"['17:50', '02/01']",02/01 17:50,270,8,NIL,9999,,,1,2000,5,25,21,1014,79,NIL,NIL,,,,,,
"['18:00', '02/01']",02/01 18:00,280,8,NIL,9999,,,NIL,2000,5,25,21,1014,79,NIL,NIL,,,,,,
"['19:00', '02/01']",02/01 19:00,260,11,NIL,9999,,,NIL,3000,5,25,20,1013,74,NIL,1,,,,,,
"['20:00', '02/01']",02/01 20:00,260,4,280,9999,,,NIL,3000,5,26,20,1013,70,NIL,1,,,,,,
"['21:00', '02/01']",02/01 21:00,310,3,NIL,9999,,,NIL,2000,5,26,20,1014,70,NIL,1,,,,,,
"['22:00', '02/01']",02/01 22:00,80,8,NIL,9999,,,NIL,2000,5,23,21,1015,89,NIL,1,,,,,,
"['22:10', '02/01']",02/01 22:10,70,9,NIL,9999,,,NIL,700,5,23,21,1015,89,NIL,1,,,,,,
"['23:00', '02/01']",02/01 23:00,90,5,75,9999,,,NIL,700,5,22,20,1016,88,NIL,1,,,,,,
"['00:00', '03/01']",03/01 00:00,10,7,NIL,8000,,,1,500,5,21,20,1017,94,NIL,1,,,,,,
"['00:12', '03/01']",03/01 00:12,350,9,NIL,1500,,,1,500,5,20,20,1017,100,NIL,1,,,,,,
"['01:00', '03/01']",03/01 01:00,240,3,240,8000,NIL,NIL,1,500,5,20,20,1018,100,,1,NIL,,,,,
"['02:00', '03/01']",03/01 02:00,180,4,NIL,8000,NIL,NIL,1,700,5,20,19,1018,94,,1,NIL,,,,,
"['03:00', '03/01']",03/01 03:00,VRB,2,NIL,9999,3000,90,1,8000,5,20,19,1018,94,,1,NIL,,,,,
"['04:00', '03/01']",03/01 04:00,250,4,NIL,9999,NIL,NIL,1,10000,5,20,19,1017,94,,1,NIL,,,,,
"['05:00', '03/01']",03/01 05:00,310,3,NIL,9999,NIL,NIL,NIL,10000,5,20,20,1016,100,,NIL,NIL,,,,,
"['06:00', '03/01']",03/01 06:00,320,4,NIL,9999,NIL,NIL,NIL,10000,5,21,20,1016,94,,NIL,NIL,,,,,
"['07:00', '03/01']",03/01 07:00,290,6,NIL,9999,NIL,NIL,NIL,900,5,21,20,1016,94,,NIL,NIL,,,,,
"['08:00', '03/01']",03/01 08:00,310,3,NIL,9999,NIL,NIL,NIL,1000,5,21,20,1016,94,,NIL,NIL,,,,,
"['09:00', '03/01']",03/01 09:00,300,4,NIL,9999,NIL,NIL,NIL,900,5,21,19,1016,88,,NIL,NIL,,,,,
"['10:00', '03/01']",03/01 10:00,300,3,300,9999,NIL,NIL,NIL,1700,5,21,19,1017,88,,NIL,NIL,,,,,
"['10:10', '03/01']",03/01 10:10,310,4,135,9999,NIL,NIL,NIL,1000,5,21,20,1017,94,,NIL,NIL,,,,,
"['11:00', '03/01']",03/01 11:00,300,8,NIL,9999,NIL,NIL,NIL,1200,5,22,20,1017,88,,NIL,NIL,,,,,
"['12:00', '03/01']",03/01 12:00,290,9,290,9999,NIL,NIL,NIL,1400,5,23,20,1018,83,,NIL,NIL,,,,,
"['13:00', '03/01']",03/01 13:00,320,9,NIL,9999,NIL,NIL,NIL,1400,5,24,20,1018,78,,NIL,NIL,,,,,
"['14:00', '03/01']",03/01 14:00,300,10,NIL,9999,NIL,NIL,NIL,2100,5,25,19,1018,69,,NIL,NIL,,,,,
"['15:00', '03/01']",03/01 15:00,310,8,NIL,9999,NIL,NIL,NIL,2500,5,26,19,1017,65,,NIL,NIL,,,,,
"['16:00', '03/01']",03/01 16:00,270,10,270,9999,NIL,NIL,NIL,3000,5,28,19,1016,58,,NIL,NIL,,,,,
"['17:00', '03/01']",03/01 17:00,270,10,275,9999,NIL,NIL,NIL,3000,5,28,20,1015,62,,NIL,NIL,,,,,
"['18:00', '03/01']",03/01 18:00,280,10,NIL,9999,NIL,NIL,NIL,3500,5,29,18,1014,52,,NIL,NIL,,,,,
"['19:00', '03/01']",03/01 19:00,310,12,NIL,9999,2000,225,1,3000,5,27,20,1013,66,,NIL,1,,,,,
"['20:00', '03/01']",03/01 20:00,320,8,325,9999,NIL,NIL,NIL,3000,5,26,20,1013,70,,NIL,NIL,,,,,
"['21:00', '03/01']",03/01 21:00,300,9,NIL,9999,NIL,NIL,NIL,2000,5,25,20,1014,74,,NIL,NIL,,,,,
"['22:00', '03/01']",03/01 22:00,330,9,330,9999,NIL,NIL,NIL,10000,5,24,20,1014,78,,NIL,NIL,,,,,
"['23:00', '03/01']",03/01 23:00,300,6,300,9999,NIL,NIL,NIL,NIL,3,23,20,1015,83,,NIL,NIL,,,,,
"['00:00', '04/01']",04/01 00:00,VRB,4,NIL,9999,NIL,NIL,NIL,NIL,3,23,20,1016,83,,NIL,NIL,,,,,
"['01:00', '04/01']",04/01 01:00,320,6,NIL,9999,NIL,NIL,NIL,1600,5,23,21,1017,89,NIL,NIL,,NIL,,,,
"['01:17', '04/01']",04/01 01:17,320,6,NIL,9999,NIL,NIL,NIL,1200,5,23,21,1017,89,NIL,NIL,,NIL,,,,
"['02:00', '04/01']",04/01 02:00,340,4,160,9999,NIL,NIL,NIL,1200,5,23,20,1017,83,NIL,NIL,,NIL,,,,
"['03:00', '04/01']",04/01 03:00,310,7,NIL,8000,NIL,NIL,1,1300,5,22,21,1016,94,NIL,NIL,,NIL,,,,
"['03:17', '04/01']",04/01 03:17,310,8,NIL,7000,NIL,NIL,1,1300,5,22,20,1016,88,NIL,NIL,,NIL,,,,
"['04:00', '04/01']",04/01 04:00,310,8,NIL,8000,NIL,NIL,1,900,5,21,20,1016,94,NIL,NIL,,NIL,,,,
"['04:22', '04/01']",04/01 04:22,310,5,300,9999,NIL,NIL,NIL,NIL,3,21,20,1015,94,NIL,NIL,,NIL,,,,
"['05:00', '04/01']",04/01 05:00,340,4,NIL,9999,NIL,NIL,NIL,NIL,3,21,20,1015,94,NIL,NIL,,NIL,,,,
"['06:00', '04/01']",04/01 06:00,310,4,NIL,9999,NIL,NIL,NIL,NIL,3,21,20,1015,94,NIL,NIL,,NIL,,,,
"['07:00', '04/01']",04/01 07:00,320,5,NIL,9999,NIL,NIL,NIL,NIL,3,21,19,1015,88,NIL,NIL,,NIL,,,,
"['08:00', '04/01']",04/01 08:00,330,4,NIL,9999,NIL,NIL,NIL,NIL,3,21,19,1014,88,NIL,1,,NIL,,,,
"['09:00', '04/01']",04/01 09:00,340,5,NIL,9999,NIL,NIL,NIL,8000,5,21,19,1015,88,NIL,NIL,,NIL,,,,
"['10:00', '04/01']",04/01 10:00,310,6,NIL,9999,NIL,NIL,NIL,1200,5,21,19,1016,88,NIL,NIL,,NIL,,,,
"['11:00', '04/01']",04/01 11:00,310,10,310,9999,NIL,NIL,NIL,1400,5,23,19,1016,78,NIL,NIL,,NIL,,,,
"['12:00', '04/01']",04/01 12:00,320,13,315,9999,NIL,NIL,NIL,2000,5,23,19,1017,78,NIL,NIL,,NIL,,,,
"['13:00', '04/01']",04/01 13:00,320,8,145,9999,NIL,NIL,NIL,2000,5,24,19,1017,74,NIL,NIL,,NIL,,,,
"['14:00', '04/01']",04/01 14:00,310,10,315,9999,NIL,NIL,NIL,2500,5,25,20,1017,74,NIL,NIL,,NIL,,,,
"['15:00', '04/01']",04/01 15:00,320,12,NIL,9999,NIL,NIL,NIL,3000,5,27,21,1016,70,NIL,NIL,,NIL,,,,
"['16:00', '04/01']",04/01 16:00,310,17,310,9999,NIL,NIL,NIL,3000,5,25,20,1015,74,NIL,NIL,,NIL,,,,
"['17:00', '04/01']",04/01 17:00,320,11,NIL,9999,NIL,NIL,NIL,3000,5,25,21,1014,79,NIL,NIL,,NIL,,,,
"['17:08', '04/01']",04/01 17:08,330,13,155,700,NIL,NIL,1,3000,5,22,21,1014,94,25,NIL,,NIL,,,,
"['17:35', '04/01']",04/01 17:35,310,15,NIL,700,NIL,NIL,1,1000,5,22,20,1014,88,NIL,NIL,,NIL,,,,
"['18:00', '04/01']",04/01 18:00,330,10,NIL,1400,NIL,NIL,1,1200,5,22,20,1014,88,NIL,NIL,,NIL,,,,
"['19:00', '04/01']",04/01 19:00,320,7,NIL,5000,2000,90,1,1200,8,21,20,1013,94,NIL,NIL,,NIL,,,,
"['20:00', '04/01']",04/01 20:00,320,3,NIL,8000,NIL,NIL,NIL,1200,8,22,20,1013,88,NIL,NIL,,NIL,,,,
"['21:00', '04/01']",04/01 21:00,340,4,NIL,4000,NIL,NIL,NIL,1200,8,22,21,1013,94,NIL,NIL,,1,,,,
"['21:35', '04/01']",04/01 21:35,320,6,NIL,1200,NIL,NIL,NIL,600,8,22,21,1014,94,NIL,NIL,,1,,,,
"['22:00', '04/01']",04/01 22:00,330,4,NIL,8000,NIL,NIL,NIL,600,8,22,21,1014,94,NIL,NIL,,NIL,,,,
"['23:00', '04/01']",04/01 23:00,VRB,2,NIL,9999,NIL,NIL,NIL,800,8,22,20,1015,88,NIL,NIL,,NIL,,,,
"['23:35', '04/01']",04/01 23:35,320,4,NIL,1200,NIL,NIL,NIL,800,8,21,21,1016,100,NIL,NIL,,1,,,,
"['00:00', '05/01']",05/01 00:00,310,4,NIL,8000,NIL,NIL,NIL,600,8,21,20,1016,94,NIL,NIL,,NIL,,,,
"['01:00', '05/01']",05/01 01:00,310,4,305,8000,NIL,NIL,NIL,800,8,21,20,1017,94,,,,NIL,1,,,
"['01:45', '05/01']",05/01 01:45,VRB,1,NIL,5000,NIL,NIL,NIL,300,8,21,20,1016,94,,,,NIL,1,,,
"['02:00', '05/01']",05/01 02:00,170,3,185,2000,NIL,NIL,NIL,300,8,21,19,1016,88,,,,NIL,1,,,
"['03:00', '05/01']",05/01 03:00,140,5,NIL,1500,NIL,NIL,1,1000,5,20,19,1015,94,,,,1,1,,,
"['04:00', '05/01']",05/01 04:00,140,4,NIL,1500,NIL,NIL,1,500,5,20,19,1015,94,,,,1,NIL,,,
"['05:00', '05/01']",05/01 05:00,170,4,NIL,4000,NIL,NIL,1,800,5,19,19,1014,100,,,,1,NIL,,,
"['06:00', '05/01']",05/01 06:00,220,6,215,2000,1000,270,1,400,5,19,18,1014,94,,,,NIL,NIL,,,
"['07:00', '05/01']",05/01 07:00,VRB,1,NIL,3000,NIL,NIL,1,1000,5,19,19,1014,100,,,,1,NIL,,,
"['08:00', '05/01']",05/01 08:00,VRB,1,NIL,6000,NIL,NIL,1,1000,5,19,19,1014,100,,,,NIL,NIL,,,
"['09:00', '05/01']",05/01 09:00,310,6,305,1500,NIL,NIL,1,2000,5,19,19,1015,100,,,,1,NIL,,,
"['10:00', '05/01']",05/01 10:00,240,3,NIL,500,NIL,NIL,1,8000,5,19,19,1016,100,,,,NIL,NIL,,,
"['11:00', '05/01']",05/01 11:00,320,1,NIL,2000,NIL,NIL,1,8000,5,20,19,1016,94,,,,NIL,NIL,,,
"['11:12', '05/01']",05/01 11:12,40,1,NIL,2000,NIL,NIL,1,700,5,20,19,1016,94,,,,NIL,NIL,,,
"['11:40', '05/01']",05/01 11:40,40,3,NIL,8000,NIL,NIL,1,400,5,21,20,1016,94,,,,NIL,NIL,,,
"['12:00', '05/01']",05/01 12:00,360,3,NIL,6000,2000,270,1,500,5,21,20,1016,94,,,,NIL,NIL,,,
"['12:48', '05/01']",05/01 12:48,310,2,NIL,7000,NIL,NIL,1,600,5,22,21,1016,94,,,,NIL,NIL,,,
"['13:00', '05/01']",05/01 13:00,VRB,3,NIL,7000,NIL,NIL,1,600,5,23,21,1016,89,,,,NIL,NIL,,,
"['13:34', '05/01']",05/01 13:34,260,9,255,2000,NIL,NIL,1,800,5,21,20,1016,94,,,,NIL,NIL,,,
"['14:00', '05/01']",05/01 14:00,280,9,275,8000,NIL,NIL,1,800,5,22,21,1016,94,,,,NIL,NIL,,,
"['15:00', '05/01']",05/01 15:00,270,6,265,9999,NIL,NIL,NIL,1000,5,23,21,1016,89,,,,NIL,NIL,,,
"['16:00', '05/01']",05/01 16:00,280,7,NIL,8000,NIL,NIL,1,1300,5,23,21,1016,89,,,,NIL,NIL,,,
"['17:00', '05/01']",05/01 17:00,340,3,NIL,7000,NIL,NIL,1,1300,5,21,20,1015,94,,,,NIL,NIL,,,
"['17:22', '05/01']",05/01 17:22,340,6,NIL,7000,NIL,NIL,1,800,5,21,19,1015,88,,,,NIL,NIL,,,
"['18:00', '05/01']",05/01 18:00,340,5,NIL,9999,NIL,NIL,NIL,2000,5,20,19,1014,94,,,,NIL,NIL,,,
"['19:00', '05/01']",05/01 19:00,280,6,280,9999,NIL,NIL,NIL,2000,5,20,18,1014,88,,,,NIL,NIL,,,
"['20:00', '05/01']",05/01 20:00,10,5,180,9999,NIL,NIL,1,2000,5,20,19,1014,94,,,,NIL,NIL,,,
"['21:00', '05/01']",05/01 21:00,250,2,NIL,9999,NIL,NIL,NIL,2000,5,21,19,1014,88,,,,NIL,NIL,,,
"['22:00', '05/01']",05/01 22:00,290,2,NIL,9999,NIL,NIL,NIL,10000,5,21,20,1015,94,,,,NIL,NIL,,,
"['23:00', '05/01']",05/01 23:00,310,6,NIL,9999,NIL,NIL,1,10000,5,21,20,1016,94,,,,NIL,NIL,,,
"['00:00', '06/01']",06/01 00:00,290,4,NIL,9999,NIL,NIL,NIL,10000,5,21,19,1017,88,,,,NIL,NIL,,,
"['01:00', '06/01']",06/01 01:00,340,3,145,9999,NIL,NIL,,10000,5,20,19,1017,94,,,,,NIL,,,
"['02:00', '06/01']",06/01 02:00,310,4,NIL,9999,NIL,NIL,,10000,5,20,19,1017,94,,,,,NIL,,,
"['02:30', '06/01']",06/01 02:30,310,6,290,9999,NIL,NIL,,800,5,21,20,1016,94,,,,,NIL,,,
"['03:00', '06/01']",06/01 03:00,320,5,NIL,9999,NIL,NIL,,500,5,21,20,1016,94,,,,,NIL,,,
"['04:00', '06/01']",06/01 04:00,320,8,NIL,9999,NIL,NIL,,800,5,21,19,1016,88,,,,,NIL,,,
"['05:00', '06/01']",06/01 05:00,320,7,NIL,9999,NIL,NIL,,800,5,21,20,1015,94,,,,,NIL,,,
"['06:00', '06/01']",06/01 06:00,310,5,NIL,9999,NIL,NIL,,800,5,21,20,1015,94,,,,,NIL,,,
"['07:00', '06/01']",06/01 07:00,320,6,NIL,9999,NIL,NIL,,800,5,21,20,1015,94,,,,,NIL,,,
"['08:00', '06/01']",06/01 08:00,330,8,NIL,9999,NIL,NIL,,800,5,21,19,1016,88,,,,,NIL,,,
"['09:00', '06/01']",06/01 09:00,320,8,NIL,9999,NIL,NIL,,900,5,21,19,1016,88,,,,,NIL,,,
"['10:00', '06/01']",06/01 10:00,300,7,310,8000,NIL,NIL,,1200,5,22,20,1017,88,,,,,1,,,
"['11:00', '06/01']",06/01 11:00,300,13,NIL,6000,500,270,,1000,5,22,20,1017,88,,,,,1,,,
"['12:00', '06/01']",06/01 12:00,300,12,290,9999,NIL,NIL,,1400,5,23,19,1018,78,,,,,1,,,
"['13:00', '06/01']",06/01 13:00,290,17,NIL,9999,NIL,NIL,,1800,5,23,19,1018,78,,,,,NIL,,,
"['14:00', '06/01']",06/01 14:00,300,16,NIL,9999,NIL,NIL,,2500,5,25,19,1018,69,,,,,NIL,,,
"['15:00', '06/01']",06/01 15:00,300,16,NIL,9999,NIL,NIL,,2500,5,25,18,1018,65,,,,,NIL,,,
"['16:00', '06/01']",06/01 16:00,300,15,NIL,9999,NIL,NIL,,2500,5,26,19,1017,65,,,,,NIL,,,
"['17:00', '06/01']",06/01 17:00,290,15,NIL,9999,NIL,NIL,,2500,5,26,19,1016,65,,,,,NIL,,,
"['18:00', '06/01']",06/01 18:00,310,10,310,9999,NIL,NIL,,2500,5,24,20,1015,78,,,,,NIL,,,
"['19:00', '06/01']",06/01 19:00,280,11,NIL,9999,NIL,NIL,,NIL,3,26,20,1015,70,,,,,NIL,,,
"['20:00', '06/01']",06/01 20:00,310,12,305,9999,NIL,NIL,,2000,5,26,19,1014,65,,,,,NIL,,,
"['21:00', '06/01']",06/01 21:00,260,9,NIL,9999,NIL,NIL,,8000,5,25,19,1015,69,,,,,NIL,,,
"['22:00', '06/01']",06/01 22:00,310,6,NIL,9999,NIL,NIL,,10000,5,25,19,1016,69,,,,,NIL,,,
"['23:00', '06/01']",06/01 23:00,330,6,NIL,9999,NIL,NIL,,NIL,3,24,20,1017,78,,,,,NIL,,,
"['00:00', '07/01']",07/01 00:00,310,4,280,9999,NIL,NIL,,NIL,3,23,20,1018,83,,,,,NIL,,,
"['01:00', '07/01']",07/01 01:00,270,4,NIL,9999,NIL,NIL,NIL,NIL,2,22,19,1018,83,,,NIL,,,,,
"['02:00', '07/01']",07/01 02:00,270,1,NIL,9999,NIL,NIL,NIL,NIL,3,22,19,1019,83,,,NIL,,,,,
"['03:00', '07/01']",07/01 03:00,330,4,NIL,9999,NIL,NIL,NIL,10000,5,22,19,1018,83,,,NIL,,,,,
"['04:00', '07/01']",07/01 04:00,280,6,NIL,9999,NIL,NIL,NIL,10000,5,21,19,1018,88,,,NIL,,,,,
"['05:00', '07/01']",07/01 05:00,280,4,NIL,9999,NIL,NIL,NIL,10000,5,21,19,1018,88,,,NIL,,,,,
"['06:00', '07/01']",07/01 06:00,320,3,NIL,9999,NIL,NIL,NIL,10000,5,21,19,1018,88,,,NIL,,,,,
"['07:00', '07/01']",07/01 07:00,290,5,NIL,9999,NIL,NIL,NIL,8000,5,21,19,1017,88,,,NIL,,,,,
"['08:00', '07/01']",07/01 08:00,310,4,NIL,9999,NIL,NIL,NIL,8000,5,22,19,1018,83,,,NIL,,,,,
"['09:00', '07/01']",07/01 09:00,350,4,NIL,9999,NIL,NIL,NIL,9000,5,22,20,1019,88,,,NIL,,,,,
"['09:26', '07/01']",07/01 09:26,350,4,180,9999,NIL,NIL,NIL,1200,5,22,20,1019,88,,,NIL,,,,,
"['10:00', '07/01']",07/01 10:00,340,9,170,9999,NIL,NIL,NIL,1200,5,22,20,1019,88,,,NIL,,,,,
"['10:40', '07/01']",07/01 10:40,330,6,155,9999,NIL,NIL,NIL,9000,5,23,20,1019,83,,,NIL,,,,,
"['11:00', '07/01']",07/01 11:00,310,7,NIL,9999,NIL,NIL,NIL,9000,5,23,20,1019,83,,,NIL,,,,,
"['12:00', '07/01']",07/01 12:00,310,7,NIL,9999,NIL,NIL,NIL,10000,5,24,20,1020,78,,,NIL,,,,,
"['13:00', '07/01']",07/01 13:00,330,8,NIL,9999,NIL,NIL,NIL,1800,5,26,20,1020,70,,,NIL,,,,,
"['14:00', '07/01']",07/01 14:00,320,11,330,9999,NIL,NIL,NIL,2300,5,27,20,1019,66,,,NIL,,,,,
"['15:00', '07/01']",07/01 15:00,310,8,315,9999,NIL,NIL,NIL,2500,5,26,20,1019,70,,,NIL,,,,,
"['16:00', '07/01']",07/01 16:00,330,10,160,9999,NIL,NIL,NIL,3000,5,28,19,1018,58,,,NIL,,,,,
"['17:00', '07/01']",07/01 17:00,330,8,150,9999,NIL,NIL,NIL,NIL,3,28,19,1016,58,,,NIL,,,,,
"['18:00', '07/01']",07/01 18:00,330,9,150,9999,NIL,NIL,NIL,3500,5,29,19,1015,55,,,NIL,,,,,
"['19:00', '07/01']",07/01 19:00,350,10,NIL,9999,NIL,NIL,NIL,3500,5,28,18,1015,55,,,NIL,,,,,
"['20:00', '07/01']",07/01 20:00,290,9,300,9999,NIL,NIL,NIL,3500,5,29,20,1014,58,,,NIL,,,,,
"['21:00', '07/01']",07/01 21:00,270,6,290,8000,1000,180,1,NIL,3,26,21,1015,74,,,1,,,,,
"['22:00', '07/01']",07/01 22:00,290,7,290,9999,NIL,NIL,NIL,7000,5,25,21,1016,79,,,NIL,,,,,
"['23:00', '07/01']",07/01 23:00,300,5,NIL,9999,NIL,NIL,NIL,NIL,3,25,21,1017,79,,,NIL,,,,,
"['00:00', '08/01']",08/01 00:00,310,6,300,9999,NIL,NIL,NIL,1700,5,24,21,1018,83,,,NIL,,,,,
"['00:35', '08/01']",08/01 00:35,290,5,295,7000,NIL,NIL,1,1400,5,23,21,1019,89,,,NIL,,,,,
"['01:00', '08/01']",08/01 01:00,260,5,NIL,8000,,,1,1000,5,23,21,1019,89,,,,,,,,
"['02:00', '08/01']",08/01 02:00,280,2,NIL,9999,,,1,1000,5,22,21,1019,94,,,,,,,,
"['03:00', '08/01']",08/01 03:00,230,4,NIL,9999,,,NIL,NIL,3,23,21,1018,89,,,,,,,,
"['04:00', '08/01']",08/01 04:00,210,3,215,9999,,,NIL,NIL,3,22,21,1017,94,,,,,,,,
"['05:00', '08/01']",08/01 05:00,230,2,NIL,9999,,,NIL,NIL,3,22,21,1016,94,,,,,,,,
"['06:00', '08/01']",08/01 06:00,VRB,2,NIL,9999,,,NIL,NIL,3,22,21,1015,94,,,,,,,,
"['07:00', '08/01']",08/01 07:00,10,2,NIL,9999,,,NIL,700,5,22,21,1016,94,,,,,,,,
"['08:00', '08/01']",08/01 08:00,310,3,NIL,9999,,,NIL,1000,5,21,20,1018,94,,,,,,,,
"['09:00', '08/01']",08/01 09:00,290,3,285,9999,,,NIL,1000,5,21,20,1018,94,,,,,,,,
"['09:25', '08/01']",08/01 09:25,VRB,2,NIL,9999,,,NIL,10000,5,22,20,1019,88,,,,,,,,
"['10:00', '08/01']",08/01 10:00,280,3,NIL,9999,,,NIL,10000,5,22,20,1019,88,,,,,,,,
"['11:00', '08/01']",08/01 11:00,320,3,NIL,9999,,,NIL,10000,5,23,21,1019,89,,,,,,,,
"['12:00', '08/01']",08/01 12:00,290,4,270,9999,,,NIL,10000,5,24,21,1020,83,,,,,,,,
"['13:00', '08/01']",08/01 13:00,290,9,NIL,9999,,,NIL,1800,5,25,20,1020,74,,,,,,,,
"['14:00', '08/01']",08/01 14:00,300,8,NIL,9999,,,NIL,2200,5,25,20,1020,74,,,,,,,,
"['15:00', '08/01']",08/01 15:00,300,8,NIL,9999,,,NIL,2500,5,26,19,1019,65,,,,,,,,
"['16:00', '08/01']",08/01 16:00,290,8,NIL,9999,,,NIL,3000,5,27,20,1019,66,,,,,,,,
"['17:00', '08/01']",08/01 17:00,310,7,145,9999,,,NIL,NIL,3,27,20,1017,66,,,,,,,,
