validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoa_umida,chuvisco,nevoeiro,nevoa_seca,fumaca
"['21:00', '24/05']",24/05 21:00,190,7,NIL,9999,,,,10000,5,22,19,1019,83,,NIL,,,,,,
"['22:00', '24/05']",24/05 22:00,VRB,2,NIL,9999,,,,10000,5,22,19,1020,83,,NIL,,,,,,
"['23:00', '24/05']",24/05 23:00,160,4,NIL,9999,,,,10000,5,21,19,1020,88,,NIL,,,,,,
"['00:00', '25/05']",25/05 00:00,170,5,NIL,9999,,,,6000,5,21,19,1021,88,,1,,,,,,
"['00:45', '25/05']",25/05 00:45,180,5,NIL,9999,,,,1000,5,21,19,1021,88,,1,,,,,,
"['01:00', '25/05']",25/05 01:00,180,4,NIL,9999,NIL,NIL,,1000,5,20,19,1021,94,,1,,NIL,,NIL,,
"['02:00', '25/05']",25/05 02:00,180,4,NIL,9999,NIL,NIL,,900,5,20,19,1021,94,,1,,NIL,,NIL,,
"['03:00', '25/05']",25/05 03:00,170,5,NIL,2400,900,90,,300,8,19,19,1021,100,,NIL,,NIL,,1,,
"['04:00', '25/05']",25/05 04:00,170,3,NIL,2100,900,90,,200,8,19,18,1020,94,,NIL,,NIL,,1,,
"['05:00', '25/05']",25/05 05:00,140,3,145,800,NIL,NIL,,NIL,NIL,19,18,1020,94,,NIL,,NIL,,1,,
"['06:00', '25/05']",25/05 06:00,140,2,NIL,700,NIL,NIL,,NIL,NIL,19,18,1019,94,,NIL,,NIL,,1,,
"['07:00', '25/05']",25/05 07:00,VRB,2,NIL,900,NIL,NIL,,NIL,NIL,19,19,1018,100,,NIL,,NIL,,1,,
"['08:00', '25/05']",25/05 08:00,VRB,2,NIL,900,NIL,NIL,,NIL,NIL,19,19,1018,100,,NIL,,NIL,,1,,
"['09:00', '25/05']",25/05 09:00,190,3,NIL,3000,1300,225,,500,5,19,19,1019,100,,NIL,,1,,NIL,,
"['09:23', '25/05']",25/05 09:23,190,4,NIL,800,NIL,NIL,,NIL,NIL,19,18,1019,94,,NIL,,NIL,,1,,
"['09:44', '25/05']",25/05 09:44,190,4,NIL,400,NIL,NIL,,NIL,NIL,19,18,1019,94,,NIL,,NIL,,1,,
"['10:00', '25/05']",25/05 10:00,180,4,NIL,400,NIL,NIL,,NIL,NIL,19,18,1020,94,,NIL,,NIL,,1,,
"['10:29', '25/05']",25/05 10:29,170,4,NIL,800,NIL,NIL,,NIL,NIL,19,19,1020,100,,NIL,,NIL,,1,,
"['10:39', '25/05']",25/05 10:39,150,4,NIL,1500,NIL,NIL,,NIL,NIL,19,19,1020,100,,NIL,,NIL,,1,,
"['11:00', '25/05']",25/05 11:00,150,3,150,3000,1400,90,,200,8,19,18,1020,94,,NIL,,1,,NIL,,
"['11:30', '25/05']",25/05 11:30,VRB,2,NIL,5000,2000,180,,300,8,20,18,1020,88,,NIL,,1,,NIL,,
"['12:00', '25/05']",25/05 12:00,70,1,NIL,7000,NIL,NIL,,400,5,20,19,1021,94,,NIL,,NIL,,NIL,,
"['12:31', '25/05']",25/05 12:31,320,1,NIL,9999,NIL,NIL,,600,5,22,19,1021,83,,NIL,,NIL,,NIL,,
"['13:00', '25/05']",25/05 13:00,VRB,2,NIL,9999,NIL,NIL,,1000,5,23,19,1021,78,,NIL,,NIL,,NIL,,
"['13:27', '25/05']",25/05 13:27,240,4,240,9999,NIL,NIL,,1500,5,23,19,1021,78,,NIL,,NIL,,NIL,,
"['14:00', '25/05']",25/05 14:00,240,5,235,9999,NIL,NIL,,2000,5,24,19,1021,74,,NIL,,NIL,,NIL,,
"['15:00', '25/05']",25/05 15:00,280,8,285,9999,NIL,NIL,,2500,5,25,18,1020,65,,NIL,,NIL,,NIL,,
"['16:00', '25/05']",25/05 16:00,260,10,NIL,9999,NIL,NIL,,3000,5,26,18,1019,61,,NIL,,NIL,,NIL,,
"['17:00', '25/05']",25/05 17:00,270,11,NIL,9999,NIL,NIL,,3000,5,26,19,1018,65,,NIL,,NIL,,NIL,,
"['18:00', '25/05']",25/05 18:00,290,10,295,9999,NIL,NIL,,3000,5,27,17,1018,54,,NIL,,NIL,,NIL,,
"['19:00', '25/05']",25/05 19:00,280,10,NIL,9999,NIL,NIL,,3000,5,27,18,1018,58,,NIL,,NIL,,NIL,,
"['20:00', '25/05']",25/05 20:00,260,11,NIL,9999,NIL,NIL,,NIL,3,26,18,1018,61,,NIL,,NIL,,NIL,,
"['21:00', '25/05']",25/05 21:00,240,9,NIL,9999,NIL,NIL,,NIL,3,24,18,1019,69,,NIL,,NIL,,NIL,,
"['22:00', '25/05']",25/05 22:00,240,4,NIL,9999,NIL,NIL,,NIL,2,22,18,1019,78,,NIL,,NIL,,NIL,,
"['23:00', '25/05']",25/05 23:00,240,5,NIL,9999,NIL,NIL,,NIL,NIL,22,18,1019,78,,NIL,,NIL,,NIL,,
"['00:00', '26/05']",26/05 00:00,230,3,NIL,9999,NIL,NIL,,NIL,NIL,21,18,1020,83,,NIL,,NIL,,NIL,,
"['01:00', '26/05']",26/05 01:00,220,3,245,9999,NIL,NIL,,NIL,NIL,21,18,1020,83,,,,,,NIL,,
"['02:00', '26/05']",26/05 02:00,330,1,NIL,9999,NIL,NIL,,NIL,NIL,20,17,1020,83,,,,,,NIL,,
"['03:00', '26/05']",26/05 03:00,230,4,NIL,9999,NIL,NIL,,NIL,2,20,17,1020,83,,,,,,NIL,,
"['04:00', '26/05']",26/05 04:00,210,5,NIL,9999,NIL,NIL,,NIL,3,19,17,1020,88,,,,,,NIL,,
"['05:00', '26/05']",26/05 05:00,180,4,180,9999,NIL,NIL,,NIL,2,18,17,1020,94,,,,,,NIL,,
"['05:35', '26/05']",26/05 05:35,190,5,NIL,9999,NIL,NIL,,800,5,18,16,1019,88,,,,,,NIL,,
"['06:00', '26/05']",26/05 06:00,190,4,190,9999,NIL,NIL,,800,5,18,16,1019,88,,,,,,NIL,,
"['07:00', '26/05']",26/05 07:00,190,5,NIL,9999,NIL,NIL,,1600,5,18,16,1019,88,,,,,,NIL,,
"['08:00', '26/05']",26/05 08:00,200,3,NIL,9999,NIL,NIL,,NIL,2,17,15,1020,88,,,,,,NIL,,
"['09:00', '26/05']",26/05 09:00,VRB,2,NIL,9999,NIL,NIL,,NIL,2,17,14,1019,83,,,,,,NIL,,
"['10:00', '26/05']",26/05 10:00,VRB,2,NIL,9999,2000,90,,10000,5,16,14,1020,88,,,,,,1,,
"['11:00', '26/05']",26/05 11:00,VRB,1,NIL,9999,NIL,NIL,,NIL,NIL,17,15,1020,88,,,,,,NIL,,
"['12:00', '26/05']",26/05 12:00,VRB,1,NIL,9999,NIL,NIL,,NIL,NIL,19,15,1021,78,,,,,,NIL,,
"['13:00', '26/05']",26/05 13:00,VRB,2,NIL,9999,NIL,NIL,,NIL,2,21,15,1021,69,,,,,,NIL,,
"['14:00', '26/05']",26/05 14:00,VRB,3,NIL,9999,NIL,NIL,,NIL,2,23,14,1021,57,,,,,,NIL,,
"['15:00', '26/05']",26/05 15:00,280,6,270,9999,NIL,NIL,,NIL,2,25,13,1021,47,,,,,,NIL,,
"['16:00', '26/05']",26/05 16:00,290,7,295,9999,NIL,NIL,,NIL,3,26,14,1019,48,,,,,,NIL,,
"['17:00', '26/05']",26/05 17:00,310,8,305,9999,NIL,NIL,,NIL,3,26,14,1018,48,,,,,,NIL,,
"['18:00', '26/05']",26/05 18:00,290,13,290,9999,NIL,NIL,,NIL,3,26,12,1018,42,,,,,,NIL,,
"['19:00', '26/05']",26/05 19:00,300,12,NIL,9999,NIL,NIL,,NIL,2,26,12,1018,42,,,,,,NIL,,
"['20:00', '26/05']",26/05 20:00,310,7,NIL,9999,NIL,NIL,,NIL,2,25,13,1018,47,,,,,,NIL,,
