validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,pancada
"['22:00', '01/01']",01/01 22:00,50,10,NIL,9999,NIL,NIL,NIL,3,26,23,1011,84,,,
"['23:00', '01/01']",01/01 23:00,40,11,NIL,9999,NIL,1,6000,5,26,22,1011,79,,,
"['00:00', '02/01']",02/01 00:00,30,7,210,9999,NIL,1,NIL,3,25,22,1011,83,,,
"['01:00', '02/01']",02/01 01:00,30,8,NIL,9999,NIL,,NIL,3,25,22,1012,83,NIL,,
"['02:00', '02/01']",02/01 02:00,20,5,180,9999,NIL,,NIL,3,25,21,1012,79,NIL,,
"['03:00', '02/01']",02/01 03:00,20,4,NIL,9999,NIL,,NIL,3,25,21,1011,79,NIL,,
"['04:00', '02/01']",02/01 04:00,360,4,185,9999,NIL,,NIL,3,24,21,1010,83,NIL,,
"['05:00', '02/01']",02/01 05:00,VRB,2,NIL,9999,NIL,,NIL,3,24,21,1010,83,NIL,,
"['06:00', '02/01']",02/01 06:00,280,5,NIL,9999,NIL,,NIL,3,24,21,1010,83,NIL,,
"['07:00', '02/01']",02/01 07:00,310,3,320,9999,NIL,,NIL,3,24,21,1010,83,NIL,,
"['08:00', '02/01']",02/01 08:00,270,3,NIL,9999,NIL,,NIL,3,24,21,1011,83,NIL,,
"['09:00', '02/01']",02/01 09:00,VRB,2,NIL,9999,NIL,,7000,5,24,21,1012,83,NIL,,
"['10:00', '02/01']",02/01 10:00,VRB,2,NIL,9999,NIL,,6000,5,25,22,1013,83,NIL,,
"['11:00', '02/01']",02/01 11:00,360,7,185,9999,NIL,,NIL,3,28,24,1013,79,NIL,,
"['12:00', '02/01']",02/01 12:00,10,9,190,9999,NIL,,6000,5,28,25,1013,84,NIL,,
"['13:00', '02/01']",02/01 13:00,360,8,NIL,9999,NIL,,1700,5,29,25,1013,79,NIL,,
"['14:00', '02/01']",02/01 14:00,40,6,215,9999,NIL,,1700,5,29,26,1013,84,NIL,,
"['14:42', '02/01']",02/01 14:42,60,14,NIL,5000,1,,1500,8,25,22,1013,83,1,,
"['15:00', '02/01']",02/01 15:00,80,12,NIL,8000,1,,1500,8,26,23,1013,84,NIL,,
"['16:00', '02/01']",02/01 16:00,70,8,NIL,8000,NIL,,6000,5,27,23,1012,79,NIL,,
"['17:00', '02/01']",02/01 17:00,30,11,210,8000,NIL,,1700,5,29,25,1011,79,NIL,,
"['18:00', '02/01']",02/01 18:00,40,11,NIL,9999,NIL,,7000,5,28,25,1010,84,NIL,,
"['19:00', '02/01']",02/01 19:00,40,11,NIL,9999,NIL,,7000,5,29,25,1010,79,NIL,,
"['20:00', '02/01']",02/01 20:00,60,12,NIL,9999,NIL,,7000,5,28,24,1010,79,NIL,,
"['21:00', '02/01']",02/01 21:00,60,11,NIL,9999,NIL,,7000,5,27,24,1010,84,NIL,,
"['22:00', '02/01']",02/01 22:00,50,7,NIL,9999,NIL,,NIL,3,27,24,1011,84,NIL,,
"['23:00', '02/01']",02/01 23:00,40,6,NIL,9999,NIL,,NIL,3,27,24,1012,84,NIL,,
"['00:00', '03/01']",03/01 00:00,40,6,NIL,9999,NIL,,NIL,3,27,24,1012,84,NIL,,
"['01:00', '03/01']",03/01 01:00,10,3,NIL,9999,NIL,NIL,NIL,3,26,23,1013,84,NIL,,
"['02:00', '03/01']",03/01 02:00,340,3,155,9999,NIL,NIL,6000,5,26,23,1013,84,NIL,,
"['03:00', '03/01']",03/01 03:00,10,3,NIL,9999,NIL,NIL,6000,5,26,23,1012,84,NIL,,
"['04:00', '03/01']",03/01 04:00,330,2,NIL,9999,NIL,NIL,6000,5,26,23,1011,84,NIL,,
"['05:00', '03/01']",03/01 05:00,20,2,NIL,9999,NIL,NIL,6000,5,26,22,1011,79,NIL,,
"['06:00', '03/01']",03/01 06:00,VRB,2,NIL,9999,NIL,NIL,6000,5,25,22,1011,83,NIL,,
"['07:00', '03/01']",03/01 07:00,340,3,165,9999,NIL,NIL,6000,5,25,22,1011,83,NIL,,
"['08:00', '03/01']",03/01 08:00,0,0,NIL,9999,NIL,NIL,NIL,3,25,22,1011,83,NIL,,
"['09:00', '03/01']",03/01 09:00,0,0,NIL,9999,NIL,NIL,NIL,3,26,22,1012,79,NIL,,
"['10:00', '03/01']",03/01 10:00,20,3,NIL,9999,NIL,NIL,1700,8,27,23,1013,79,NIL,,
"['11:00', '03/01']",03/01 11:00,10,4,180,9999,NIL,NIL,1700,8,28,24,1014,79,NIL,,
"['12:00', '03/01']",03/01 12:00,80,8,85,9999,NIL,NIL,1700,8,28,24,1014,79,NIL,,
"['12:35', '03/01']",03/01 12:35,40,10,220,3000,1,NIL,1000,8,25,22,1014,83,1,,
"['13:00', '03/01']",03/01 13:00,50,11,NIL,3000,1,NIL,1000,8,25,22,1014,83,1,,
"['13:17', '03/01']",03/01 13:17,40,8,225,1000,1,1,500,8,25,22,1014,83,NIL,,
"['14:00', '03/01']",03/01 14:00,0,0,NIL,5000,1,1,1500,8,25,22,1014,83,NIL,,
"['15:00', '03/01']",03/01 15:00,VRB,2,NIL,8000,NIL,1,1500,8,25,22,1014,83,NIL,,
"['16:00', '03/01']",03/01 16:00,310,3,305,8000,NIL,1,1500,5,26,22,1013,79,NIL,,
"['17:00', '03/01']",03/01 17:00,60,5,NIL,8000,NIL,1,1500,5,27,23,1012,79,NIL,,
"['18:00', '03/01']",03/01 18:00,50,5,NIL,6000,1,NIL,1500,5,26,23,1011,84,NIL,,
