validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,cobertura,tt,po,qnh,ur,teto,chuva,pancada,nevoa_umida,vis_setor,vis_setor_dir,trovoada,vnt_rajada,nevoa_seca,chuvisco
"['05:00', '16/03']",16/03 05:00,130,7,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['06:00', '16/03']",16/03 06:00,120,6,110,8000,5,24,21,1011,83,2500,,,,,,,,,
"['07:00', '16/03']",16/03 07:00,130,7,NIL,9999,5,25,20,1011,74,2500,,,,,,,,,
"['08:00', '16/03']",16/03 08:00,130,5,NIL,9999,3,25,20,1011,74,NIL,,,,,,,,,
"['09:00', '16/03']",16/03 09:00,130,4,120,9999,3,25,20,1012,74,NIL,,,,,,,,,
"['10:00', '16/03']",16/03 10:00,140,7,145,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['11:00', '16/03']",16/03 11:00,120,6,NIL,9999,3,27,20,1013,66,NIL,,,,,,,,,
"['12:00', '16/03']",16/03 12:00,150,11,NIL,9999,5,27,21,1013,70,2300,,,,,,,,,
"['13:00', '16/03']",16/03 13:00,140,9,125,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['14:00', '16/03']",16/03 14:00,130,12,140,9999,3,28,19,1012,58,NIL,,,,,,,,,
"['15:00', '16/03']",16/03 15:00,140,12,140,9999,3,29,19,1012,55,NIL,,,,,,,,,
"['16:00', '16/03']",16/03 16:00,150,13,145,9999,3,28,19,1011,58,NIL,,,,,,,,,
"['17:00', '16/03']",16/03 17:00,150,13,NIL,9999,2,28,19,1010,58,NIL,,,,,,,,,
"['18:00', '16/03']",16/03 18:00,150,11,NIL,9999,2,28,19,1009,58,NIL,,,,,,,,,
"['19:00', '16/03']",16/03 19:00,130,10,NIL,9999,2,28,19,1009,58,NIL,,,,,,,,,
"['20:00', '16/03']",16/03 20:00,140,12,NIL,9999,2,27,18,1009,58,NIL,,,,,,,,,
"['21:00', '16/03']",16/03 21:00,140,10,140,9999,3,26,18,1010,61,NIL,,,,,,,,,
"['22:00', '16/03']",16/03 22:00,150,12,NIL,9999,3,26,18,1011,61,NIL,,,,,,,,,
"['23:00', '16/03']",16/03 23:00,140,12,145,9999,2,26,18,1011,61,NIL,,,,,,,,,
"['00:00', '17/03']",17/03 00:00,140,11,NIL,9999,2,26,17,1012,58,NIL,,,,,,,,,
"['01:00', '17/03']",17/03 01:00,140,9,NIL,9999,2,26,18,1013,61,,,,,,,,,,
"['02:00', '17/03']",17/03 02:00,140,10,NIL,9999,2,26,18,1012,61,,,,,,,,,,
"['03:00', '17/03']",17/03 03:00,130,8,NIL,9999,2,26,18,1012,61,,,,,,,,,,
"['04:00', '17/03']",17/03 04:00,130,6,135,9999,3,26,19,1011,65,,,,,,,,,,
"['05:00', '17/03']",17/03 05:00,130,7,NIL,9999,3,26,19,1011,65,,,,,,,,,,
"['06:00', '17/03']",17/03 06:00,VRB,2,NIL,9999,3,25,19,1011,69,,,,,,,,,,
"['07:00', '17/03']",17/03 07:00,330,3,155,9999,3,23,19,1011,78,,,,,,,,,,
"['08:00', '17/03']",17/03 08:00,VRB,2,NIL,9999,3,22,19,1011,83,,,,,,,,,,
"['09:00', '17/03']",17/03 09:00,VRB,2,NIL,9999,3,23,19,1011,78,,,,,,,,,,
"['10:00', '17/03']",17/03 10:00,320,3,NIL,9999,3,23,19,1012,78,,,,,,,,,,
"['11:00', '17/03']",17/03 11:00,140,4,NIL,9999,3,27,20,1012,66,,,,,,,,,,
"['12:00', '17/03']",17/03 12:00,90,7,NIL,9999,3,28,20,1012,62,,,,,,,,,,
"['13:00', '17/03']",17/03 13:00,110,7,NIL,9999,3,28,19,1012,58,,,,,,,,,,
"['14:00', '17/03']",17/03 14:00,100,8,NIL,9999,3,29,19,1012,55,,,,,,,,,,
"['15:00', '17/03']",17/03 15:00,130,8,NIL,9999,3,28,18,1011,55,,,,,,,,,,
"['16:00', '17/03']",17/03 16:00,100,7,NIL,9999,3,28,19,1010,58,,,,,,,,,,
"['17:00', '17/03']",17/03 17:00,120,8,NIL,9999,3,29,18,1009,52,,,,,,,,,,
"['18:00', '17/03']",17/03 18:00,130,9,NIL,9999,2,28,19,1009,58,,,,,,,,,,
"['19:00', '17/03']",17/03 19:00,100,8,NIL,9999,2,28,18,1009,55,,,,,,,,,,
"['20:00', '17/03']",17/03 20:00,100,6,NIL,9999,2,27,19,1009,62,,,,,,,,,,
"['21:00', '17/03']",17/03 21:00,120,6,NIL,9999,2,27,18,1010,58,,,,,,,,,,
"['22:00', '17/03']",17/03 22:00,130,7,NIL,9999,2,26,18,1010,61,,,,,,,,,,
"['23:00', '17/03']",17/03 23:00,130,5,130,9999,NIL,26,19,1011,65,,,,,,,,,,
"['00:00', '18/03']",18/03 00:00,120,6,NIL,9999,2,26,20,1011,70,,,,,,,,,,
"['01:00', '18/03']",18/03 01:00,90,7,NIL,9999,3,26,21,1012,74,NIL,,,,,,,,,
"['02:00', '18/03']",18/03 02:00,110,5,115,9999,5,26,21,1011,74,2000,,,,,,,,,
"['03:00', '18/03']",18/03 03:00,110,7,105,9999,5,25,21,1011,79,5000,,,,,,,,,
"['04:00', '18/03']",18/03 04:00,120,7,NIL,9999,3,26,20,1010,70,NIL,,,,,,,,,
"['05:00', '18/03']",18/03 05:00,120,5,NIL,9999,3,25,20,1010,74,NIL,,,,,,,,,
"['06:00', '18/03']",18/03 06:00,130,5,NIL,9999,3,25,21,1010,79,NIL,,,,,,,,,
