validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,cobertura,tt,po,qnh,ur,teto,chuva,pancada,nevoa_umida,vis_setor,vis_setor_dir,trovoada,vnt_rajada,nevoa_seca,chuvisco
"['01:00', '01/01']",01/01 01:00,120,8,NIL,9999,3,26,21,1014,74,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,120,5,NIL,9999,3,25,21,1013,79,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,110,7,NIL,9999,3,24,21,1013,83,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,100,7,NIL,9999,3,25,21,1012,79,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,110,8,NIL,9999,3,25,20,1012,74,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,100,7,NIL,9999,3,25,19,1012,69,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,110,6,NIL,9999,3,25,20,1013,74,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,110,6,NIL,9999,3,25,20,1013,74,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,110,6,NIL,9999,3,25,20,1013,74,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,130,6,NIL,9999,3,26,20,1014,70,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,110,7,105,9999,3,27,20,1014,66,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,130,8,125,9999,3,28,20,1014,62,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,110,8,110,9999,3,28,20,1014,62,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,110,9,120,9999,3,28,20,1014,62,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,130,9,130,9999,3,29,20,1013,58,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,100,9,105,9999,3,28,20,1013,62,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,120,9,115,9999,3,28,20,1012,62,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,120,10,NIL,9999,3,28,20,1012,62,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,120,8,115,9999,3,27,20,1012,66,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,130,8,NIL,9999,3,27,20,1013,66,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,120,7,130,9999,3,26,20,1013,70,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,120,8,115,9999,2,26,20,1013,70,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,130,8,NIL,9999,3,26,20,1013,70,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,130,9,NIL,9999,3,26,20,1014,70,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,110,5,,9999,3,26,20,1014,70,NIL,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,100,7,,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['03:00', '02/01']",02/01 03:00,100,7,,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['04:00', '02/01']",02/01 04:00,100,5,,9999,3,25,20,1012,74,NIL,,,,,,,,,
"['05:00', '02/01']",02/01 05:00,110,6,,9999,3,25,20,1012,74,NIL,,,,,,,,,
"['06:00', '02/01']",02/01 06:00,110,5,,9999,2,25,19,1011,69,NIL,,,,,,,,,
"['07:00', '02/01']",02/01 07:00,90,3,,9999,2,25,19,1012,69,NIL,,,,,,,,,
"['08:00', '02/01']",02/01 08:00,0,0,,9999,3,24,20,1012,78,NIL,,,,,,,,,
"['09:00', '02/01']",02/01 09:00,320,3,,9999,3,23,20,1012,83,NIL,,,,,,,,,
"['10:00', '02/01']",02/01 10:00,20,4,,9999,3,27,20,1012,66,NIL,,,,,,,,,
"['11:00', '02/01']",02/01 11:00,110,5,,9999,5,28,20,1013,62,2000,,,,,,,,,
"['12:00', '02/01']",02/01 12:00,110,7,,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['13:00', '02/01']",02/01 13:00,110,7,,9999,3,28,21,1013,66,NIL,,,,,,,,,
"['14:00', '02/01']",02/01 14:00,100,8,,9999,3,29,20,1013,58,NIL,,,,,,,,,
"['15:00', '02/01']",02/01 15:00,110,8,,9999,3,29,20,1012,58,NIL,,,,,,,,,
"['17:00', '02/01']",02/01 17:00,140,10,,9999,5,29,21,1011,62,2000,,,,,,,,,
"['18:00', '02/01']",02/01 18:00,90,9,,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['19:00', '02/01']",02/01 19:00,100,7,,9999,3,27,21,1011,70,NIL,,,,,,,,,
"['20:00', '02/01']",02/01 20:00,110,8,,9999,3,27,20,1011,66,NIL,,,,,,,,,
"['21:00', '02/01']",02/01 21:00,110,7,,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['22:00', '02/01']",02/01 22:00,100,7,,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['23:00', '02/01']",02/01 23:00,80,7,,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['00:00', '03/01']",03/01 00:00,90,7,,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['01:00', '03/01']",03/01 01:00,100,5,NIL,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['02:00', '03/01']",03/01 02:00,90,7,90,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['03:00', '03/01']",03/01 03:00,90,6,85,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['04:00', '03/01']",03/01 04:00,90,8,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['05:00', '03/01']",03/01 05:00,90,7,90,9999,3,25,20,1010,74,NIL,,,,,,,,,
"['06:00', '03/01']",03/01 06:00,100,5,85,9999,3,25,20,1010,74,NIL,,,,,,,,,
"['07:00', '03/01']",03/01 07:00,110,6,NIL,9999,3,25,20,1010,74,NIL,,,,,,,,,
"['08:00', '03/01']",03/01 08:00,100,5,95,9999,3,25,20,1011,74,NIL,,,,,,,,,
"['09:00', '03/01']",03/01 09:00,110,4,100,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['10:00', '03/01']",03/01 10:00,100,4,95,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['11:00', '03/01']",03/01 11:00,100,8,NIL,9999,3,28,20,1012,62,NIL,,,,,,,,,
"['12:00', '03/01']",03/01 12:00,70,8,NIL,9999,3,28,20,1012,62,NIL,,,,,,,,,
"['13:00', '03/01']",03/01 13:00,100,6,NIL,9999,3,28,21,1012,66,NIL,,,,,,,,,
"['14:00', '03/01']",03/01 14:00,100,9,NIL,9999,3,28,20,1012,62,NIL,,,,,,,,,
"['15:00', '03/01']",03/01 15:00,110,9,NIL,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['16:00', '03/01']",03/01 16:00,110,9,NIL,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['17:00', '03/01']",03/01 17:00,130,11,NIL,9999,3,29,21,1010,62,NIL,,,,,,,,,
"['18:00', '03/01']",03/01 18:00,100,9,NIL,9999,3,28,21,1010,66,NIL,,,,,,,,,
"['19:00', '03/01']",03/01 19:00,120,11,NIL,9999,3,27,20,1010,66,NIL,,,,,,,,,
"['20:00', '03/01']",03/01 20:00,110,7,NIL,9999,3,27,21,1011,70,NIL,,,,,,,,,
"['21:00', '03/01']",03/01 21:00,110,7,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['22:00', '03/01']",03/01 22:00,120,8,NIL,9999,3,26,21,1011,74,NIL,,,,,,,,,
"['23:00', '03/01']",03/01 23:00,110,8,NIL,9999,5,26,21,1011,74,1800,,,,,,,,,
"['00:00', '04/01']",04/01 00:00,100,7,NIL,9999,5,26,21,1012,74,1800,,,,,,,,,
"['01:00', '04/01']",04/01 01:00,110,8,NIL,9999,5,26,21,1011,74,1600,,,,,,,,,
"['02:00', '04/01']",04/01 02:00,90,8,NIL,9999,5,26,21,1011,74,1800,,,,,,,,,
"['03:00', '04/01']",04/01 03:00,100,6,NIL,9999,5,26,21,1010,74,1600,,,,,,,,,
"['04:00', '04/01']",04/01 04:00,100,6,NIL,9999,3,26,21,1010,74,NIL,,,,,,,,,
"['05:00', '04/01']",04/01 05:00,100,8,NIL,9999,3,26,21,1010,74,NIL,,,,,,,,,
"['06:00', '04/01']",04/01 06:00,90,5,NIL,9999,3,26,21,1010,74,NIL,,,,,,,,,
"['07:00', '04/01']",04/01 07:00,100,4,NIL,9999,5,25,21,1010,79,1800,,,,,,,,,
"['08:00', '04/01']",04/01 08:00,80,5,NIL,9999,3,25,21,1011,79,NIL,,,,,,,,,
"['09:00', '04/01']",04/01 09:00,70,6,NIL,9999,3,26,21,1011,74,NIL,,,,,,,,,
"['10:00', '04/01']",04/01 10:00,70,6,NIL,9999,3,26,21,1011,74,NIL,,,,,,,,,
"['11:00', '04/01']",04/01 11:00,70,8,60,9999,3,27,21,1012,70,NIL,,,,,,,,,
"['12:00', '04/01']",04/01 12:00,80,8,75,9999,3,28,21,1012,66,NIL,,,,,,,,,
"['13:00', '04/01']",04/01 13:00,80,11,75,9999,3,28,21,1012,66,NIL,,,,,,,,,
"['14:00', '04/01']",04/01 14:00,100,11,NIL,9999,3,28,21,1012,66,NIL,,,,,,,,,
"['15:00', '04/01']",04/01 15:00,90,13,90,9999,3,28,20,1012,62,NIL,,,,,,,,,
"['16:00', '04/01']",04/01 16:00,100,11,110,9999,3,29,20,1011,58,NIL,,,,,,,,,
"['17:00', '04/01']",04/01 17:00,100,10,120,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['18:00', '04/01']",04/01 18:00,100,10,100,9999,3,29,20,1011,58,NIL,,,,,,,,,
"['19:00', '04/01']",04/01 19:00,110,12,NIL,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['20:00', '04/01']",04/01 20:00,100,8,95,9999,3,27,21,1012,70,NIL,,,,,,,,,
"['21:00', '04/01']",04/01 21:00,100,8,105,9999,3,27,20,1012,66,NIL,,,,,,,,,
"['22:00', '04/01']",04/01 22:00,110,9,100,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['23:00', '04/01']",04/01 23:00,110,8,NIL,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['00:00', '05/01']",05/01 00:00,130,9,NIL,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['01:00', '05/01']",05/01 01:00,130,8,NIL,9999,3,26,19,1013,65,,,,,,,,,,
"['02:00', '05/01']",05/01 02:00,120,8,NIL,9999,3,26,20,1012,70,,,,,,,,,,
"['03:00', '05/01']",05/01 03:00,110,8,NIL,9999,3,26,20,1012,70,,,,,,,,,,
"['04:00', '05/01']",05/01 04:00,120,5,NIL,9999,3,26,19,1012,65,,,,,,,,,,
"['05:00', '05/01']",05/01 05:00,130,7,NIL,9999,3,25,19,1011,69,,,,,,,,,,
"['06:00', '05/01']",05/01 06:00,110,5,NIL,9999,3,25,19,1012,69,,,,,,,,,,
"['07:00', '05/01']",05/01 07:00,120,5,NIL,9999,3,25,19,1012,69,,,,,,,,,,
"['08:00', '05/01']",05/01 08:00,120,6,NIL,9999,3,25,19,1012,69,,,,,,,,,,
"['09:00', '05/01']",05/01 09:00,110,6,NIL,9999,3,26,19,1013,65,,,,,,,,,,
"['10:00', '05/01']",05/01 10:00,120,6,NIL,9999,3,27,20,1015,66,,,,,,,,,,
"['11:00', '05/01']",05/01 11:00,130,10,NIL,9999,3,27,19,1014,62,,,,,,,,,,
"['12:00', '05/01']",05/01 12:00,120,9,NIL,9999,3,28,20,1014,62,,,,,,,,,,
"['13:00', '05/01']",05/01 13:00,120,9,NIL,9999,3,28,19,1014,58,,,,,,,,,,
"['14:00', '05/01']",05/01 14:00,110,11,115,9999,3,28,19,1014,58,,,,,,,,,,
"['15:00', '05/01']",05/01 15:00,140,10,NIL,9999,3,28,19,1013,58,,,,,,,,,,
"['16:00', '05/01']",05/01 16:00,100,8,NIL,9999,3,29,20,1013,58,,,,,,,,,,
"['17:00', '05/01']",05/01 17:00,130,8,125,9999,2,28,19,1012,58,,,,,,,,,,
"['18:00', '05/01']",05/01 18:00,130,10,NIL,9999,2,28,19,1012,58,,,,,,,,,,
"['19:00', '05/01']",05/01 19:00,120,9,130,9999,2,28,19,1012,58,,,,,,,,,,
"['20:00', '05/01']",05/01 20:00,140,10,NIL,9999,2,27,19,1012,62,,,,,,,,,,
"['21:00', '05/01']",05/01 21:00,130,8,110,9999,2,27,19,1012,62,,,,,,,,,,
"['22:00', '05/01']",05/01 22:00,140,9,130,9999,3,26,20,1012,70,,,,,,,,,,
"['23:00', '05/01']",05/01 23:00,130,8,125,9999,2,26,19,1013,65,,,,,,,,,,
"['00:00', '06/01']",06/01 00:00,130,7,NIL,9999,2,26,19,1013,65,,,,,,,,,,
"['01:00', '06/01']",06/01 01:00,120,7,NIL,9999,3,26,19,1013,65,NIL,NIL,NIL,,,,,,,
"['02:00', '06/01']",06/01 02:00,120,7,NIL,9999,3,26,20,1012,70,NIL,NIL,NIL,,,,,,,
"['03:00', '06/01']",06/01 03:00,110,7,105,9999,3,26,19,1012,65,NIL,NIL,NIL,,,,,,,
"['04:00', '06/01']",06/01 04:00,130,8,NIL,9999,3,25,19,1011,69,NIL,NIL,NIL,,,,,,,
"['05:00', '06/01']",06/01 05:00,120,6,115,9999,3,25,19,1011,69,NIL,NIL,NIL,,,,,,,
"['06:00', '06/01']",06/01 06:00,110,6,105,9999,3,25,19,1011,69,NIL,NIL,NIL,,,,,,,
"['07:00', '06/01']",06/01 07:00,100,6,70,9999,3,25,19,1011,69,NIL,NIL,NIL,,,,,,,
"['08:00', '06/01']",06/01 08:00,100,6,NIL,9999,3,25,19,1012,69,NIL,NIL,NIL,,,,,,,
"['09:00', '06/01']",06/01 09:00,120,6,NIL,9999,3,26,20,1012,70,NIL,NIL,NIL,,,,,,,
"['10:00', '06/01']",06/01 10:00,120,9,NIL,9999,3,26,20,1013,70,NIL,NIL,NIL,,,,,,,
"['11:00', '06/01']",06/01 11:00,70,7,NIL,9999,5,24,21,1013,83,2000,1,1,,,,,,,
"['12:00', '06/01']",06/01 12:00,90,7,NIL,9999,5,27,20,1013,66,2000,NIL,NIL,,,,,,,
"['13:00', '06/01']",06/01 13:00,100,9,NIL,9999,5,27,20,1013,66,2000,NIL,NIL,,,,,,,
"['14:00', '06/01']",06/01 14:00,120,9,NIL,9999,3,28,19,1013,58,NIL,NIL,NIL,,,,,,,
"['15:00', '06/01']",06/01 15:00,90,11,NIL,9999,5,28,20,1012,62,2000,NIL,NIL,,,,,,,
"['16:00', '06/01']",06/01 16:00,90,10,NIL,9999,3,28,20,1012,62,NIL,NIL,NIL,,,,,,,
"['17:00', '06/01']",06/01 17:00,100,10,NIL,9999,3,28,21,1011,66,NIL,NIL,NIL,,,,,,,
"['18:00', '06/01']",06/01 18:00,110,9,NIL,9999,5,28,20,1011,62,2000,NIL,NIL,,,,,,,
"['19:00', '06/01']",06/01 19:00,110,9,NIL,9999,5,27,20,1011,66,2000,NIL,NIL,,,,,,,
"['20:00', '06/01']",06/01 20:00,100,8,NIL,9999,3,27,20,1011,66,NIL,NIL,NIL,,,,,,,
"['21:00', '06/01']",06/01 21:00,100,6,NIL,9999,5,27,20,1012,66,2000,NIL,NIL,,,,,,,
"['22:00', '06/01']",06/01 22:00,100,7,NIL,9999,5,26,20,1012,70,2000,NIL,NIL,,,,,,,
"['23:00', '06/01']",06/01 23:00,100,8,100,9999,3,26,20,1013,70,NIL,NIL,NIL,,,,,,,
"['00:00', '07/01']",07/01 00:00,110,6,95,9999,3,26,20,1013,70,NIL,NIL,NIL,,,,,,,
"['01:00', '07/01']",07/01 01:00,110,9,NIL,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['02:00', '07/01']",07/01 02:00,90,6,85,9999,3,26,19,1013,65,NIL,,,,,,,,,
"['03:00', '07/01']",07/01 03:00,100,8,NIL,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['04:00', '07/01']",07/01 04:00,80,7,NIL,9999,3,26,19,1011,65,NIL,,,,,,,,,
"['05:00', '07/01']",07/01 05:00,90,7,NIL,9999,3,26,19,1011,65,NIL,,,,,,,,,
"['06:00', '07/01']",07/01 06:00,90,7,NIL,9999,2,26,20,1011,70,NIL,,,,,,,,,
"['07:00', '07/01']",07/01 07:00,90,5,NIL,9999,5,26,20,1011,70,2300,,,,,,,,,
"['09:00', '07/01']",07/01 09:00,100,7,NIL,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['10:00', '07/01']",07/01 10:00,110,6,NIL,9999,3,27,20,1013,66,NIL,,,,,,,,,
"['11:00', '07/01']",07/01 11:00,90,6,NIL,9999,3,27,20,1014,66,NIL,,,,,,,,,
"['12:00', '07/01']",07/01 12:00,110,9,NIL,9999,3,28,21,1014,66,NIL,,,,,,,,,
"['13:00', '07/01']",07/01 13:00,120,9,NIL,9999,3,29,20,1014,58,NIL,,,,,,,,,
"['14:00', '07/01']",07/01 14:00,110,10,NIL,9999,3,29,20,1013,58,NIL,,,,,,,,,
"['15:00', '07/01']",07/01 15:00,130,12,NIL,9999,3,29,20,1013,58,NIL,,,,,,,,,
"['16:00', '07/01']",07/01 16:00,100,11,NIL,9999,3,29,20,1013,58,NIL,,,,,,,,,
"['17:00', '07/01']",07/01 17:00,110,7,NIL,9999,3,29,20,1012,58,NIL,,,,,,,,,
"['18:00', '07/01']",07/01 18:00,120,11,NIL,9999,3,28,19,1012,58,NIL,,,,,,,,,
"['19:00', '07/01']",07/01 19:00,90,10,NIL,9999,3,27,20,1012,66,NIL,,,,,,,,,
"['20:00', '07/01']",07/01 20:00,80,9,NIL,9999,3,27,20,1012,66,NIL,,,,,,,,,
"['21:00', '07/01']",07/01 21:00,90,8,NIL,9999,3,27,21,1012,70,NIL,,,,,,,,,
"['22:00', '07/01']",07/01 22:00,90,7,NIL,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['23:00', '07/01']",07/01 23:00,80,8,NIL,9999,2,26,20,1013,70,NIL,,,,,,,,,
"['00:00', '08/01']",08/01 00:00,90,7,NIL,9999,2,26,20,1013,70,NIL,,,,,,,,,
"['01:00', '08/01']",08/01 01:00,90,8,NIL,9999,5,26,21,1013,74,1800,,,,,,,,,
"['02:00', '08/01']",08/01 02:00,90,6,NIL,9999,5,26,21,1012,74,1900,,,,,,,,,
"['03:00', '08/01']",08/01 03:00,70,4,NIL,9999,5,26,20,1012,70,2000,,,,,,,,,
"['04:00', '08/01']",08/01 04:00,80,6,NIL,9999,5,26,20,1012,70,2000,,,,,,,,,
"['05:00', '08/01']",08/01 05:00,80,5,NIL,9999,5,26,20,1011,70,2000,,,,,,,,,
"['06:00', '08/01']",08/01 06:00,80,6,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['07:00', '08/01']",08/01 07:00,70,4,NIL,9999,5,26,20,1011,70,2000,,,,,,,,,
"['08:00', '08/01']",08/01 08:00,80,4,NIL,9999,3,25,20,1012,74,NIL,,,,,,,,,
"['09:00', '08/01']",08/01 09:00,60,6,NIL,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['10:00', '08/01']",08/01 10:00,90,7,NIL,9999,5,26,20,1013,70,2000,,,,,,,,,
"['11:00', '08/01']",08/01 11:00,100,9,NIL,9999,3,27,20,1014,66,NIL,,,,,,,,,
"['12:00', '08/01']",08/01 12:00,90,8,90,9999,3,28,20,1014,62,NIL,,,,,,,,,
"['13:00', '08/01']",08/01 13:00,80,9,70,9999,3,28,18,1014,55,NIL,,,,,,,,,
"['14:00', '08/01']",08/01 14:00,100,9,NIL,9999,5,28,20,1013,62,5000,,,,,,,,,
"['15:00', '08/01']",08/01 15:00,100,10,85,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['16:00', '08/01']",08/01 16:00,90,8,85,9999,3,29,20,1012,58,NIL,,,,,,,,,
"['17:00', '08/01']",08/01 17:00,100,8,NIL,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['18:00', '08/01']",08/01 18:00,90,9,NIL,9999,3,28,19,1011,58,NIL,,,,,,,,,
"['19:00', '08/01']",08/01 19:00,90,6,85,9999,3,28,21,1011,66,NIL,,,,,,,,,
"['20:00', '08/01']",08/01 20:00,80,6,65,9999,3,27,21,1011,70,NIL,,,,,,,,,
"['21:00', '08/01']",08/01 21:00,70,7,60,9999,3,27,20,1012,66,NIL,,,,,,,,,
"['22:00', '08/01']",08/01 22:00,60,6,50,9999,2,26,20,1012,70,NIL,,,,,,,,,
"['23:00', '08/01']",08/01 23:00,70,8,NIL,9999,2,26,19,1012,65,NIL,,,,,,,,,
"['00:00', '09/01']",09/01 00:00,60,6,NIL,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['01:00', '09/01']",09/01 01:00,60,6,NIL,9999,2,26,20,1013,70,,,,,,,,,,
"['02:00', '09/01']",09/01 02:00,60,4,NIL,9999,2,26,20,1012,70,,,,,,,,,,
"['03:00', '09/01']",09/01 03:00,60,4,NIL,9999,3,26,20,1011,70,,,,,,,,,,
"['04:00', '09/01']",09/01 04:00,70,6,NIL,9999,3,26,20,1011,70,,,,,,,,,,
"['05:00', '09/01']",09/01 05:00,60,4,NIL,9999,3,25,21,1010,79,,,,,,,,,,
"['06:00', '09/01']",09/01 06:00,60,6,NIL,9999,3,25,20,1010,74,,,,,,,,,,
"['07:00', '09/01']",09/01 07:00,70,6,NIL,9999,3,25,19,1011,69,,,,,,,,,,
"['08:00', '09/01']",09/01 08:00,70,5,NIL,9999,2,25,19,1011,69,,,,,,,,,,
"['09:00', '09/01']",09/01 09:00,70,4,NIL,9999,2,26,20,1012,70,,,,,,,,,,
"['10:00', '09/01']",09/01 10:00,80,5,NIL,9999,3,26,20,1012,70,,,,,,,,,,
"['11:00', '09/01']",09/01 11:00,90,7,NIL,9999,3,27,20,1013,66,,,,,,,,,,
"['12:00', '09/01']",09/01 12:00,70,8,70,9999,3,28,19,1013,58,,,,,,,,,,
"['13:00', '09/01']",09/01 13:00,70,8,80,9999,2,28,20,1013,62,,,,,,,,,,
"['14:00', '09/01']",09/01 14:00,90,9,90,9999,2,29,20,1013,58,,,,,,,,,,
"['15:00', '09/01']",09/01 15:00,60,9,NIL,9999,2,28,20,1012,62,,,,,,,,,,
"['16:00', '09/01']",09/01 16:00,100,7,90,9999,3,29,21,1011,62,,,,,,,,,,
"['17:00', '09/01']",09/01 17:00,100,7,90,9999,3,26,20,1010,70,,,,,,,,,,
"['18:00', '09/01']",09/01 18:00,90,9,NIL,9999,3,28,20,1010,62,,,,,,,,,,
"['19:00', '09/01']",09/01 19:00,60,7,NIL,9999,3,28,20,1010,62,,,,,,,,,,
"['20:00', '09/01']",09/01 20:00,70,7,65,9999,3,27,19,1010,62,,,,,,,,,,
"['21:00', '09/01']",09/01 21:00,70,7,60,9999,3,27,20,1010,66,,,,,,,,,,
"['22:00', '09/01']",09/01 22:00,80,7,NIL,9999,3,26,20,1011,70,,,,,,,,,,
"['23:00', '09/01']",09/01 23:00,80,7,240,9999,3,26,20,1011,70,,,,,,,,,,
"['00:00', '10/01']",10/01 00:00,70,9,65,9999,2,26,20,1012,70,,,,,,,,,,
"['01:00', '10/01']",10/01 01:00,60,9,70,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['02:00', '10/01']",10/01 02:00,70,6,70,9999,2,26,20,1012,70,NIL,,,,,,,,,
"['03:00', '10/01']",10/01 03:00,60,4,60,9999,2,26,20,1012,70,NIL,,,,,,,,,
"['04:00', '10/01']",10/01 04:00,VRB,2,NIL,9999,2,25,20,1011,74,NIL,,,,,,,,,
"['05:00', '10/01']",10/01 05:00,50,3,225,9999,2,25,20,1011,74,NIL,,,,,,,,,
"['06:00', '10/01']",10/01 06:00,50,3,55,9999,3,25,20,1011,74,NIL,,,,,,,,,
"['07:00', '10/01']",10/01 07:00,60,6,220,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['08:00', '10/01']",10/01 08:00,80,3,90,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['09:00', '10/01']",10/01 09:00,80,5,85,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['10:00', '10/01']",10/01 10:00,80,5,75,9999,3,27,20,1013,66,NIL,,,,,,,,,
"['11:00', '10/01']",10/01 11:00,80,7,NIL,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['12:00', '10/01']",10/01 12:00,70,7,NIL,9999,5,28,21,1014,66,2000,,,,,,,,,
"['13:00', '10/01']",10/01 13:00,60,9,NIL,9999,3,28,20,1014,62,NIL,,,,,,,,,
"['14:00', '10/01']",10/01 14:00,70,10,NIL,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['15:00', '10/01']",10/01 15:00,80,10,NIL,9999,3,28,20,1012,62,NIL,,,,,,,,,
"['16:00', '10/01']",10/01 16:00,60,8,NIL,9999,3,29,20,1012,58,NIL,,,,,,,,,
"['17:00', '10/01']",10/01 17:00,70,9,NIL,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['18:00', '10/01']",10/01 18:00,70,8,NIL,9999,3,28,20,1010,62,NIL,,,,,,,,,
"['19:00', '10/01']",10/01 19:00,80,8,NIL,9999,3,27,20,1010,66,NIL,,,,,,,,,
"['20:00', '10/01']",10/01 20:00,70,6,NIL,9999,3,27,20,1010,66,NIL,,,,,,,,,
"['21:00', '10/01']",10/01 21:00,70,7,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['22:00', '10/01']",10/01 22:00,60,7,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['23:00', '10/01']",10/01 23:00,60,5,250,9999,5,26,20,1012,70,2200,,,,,,,,,
"['00:00', '11/01']",11/01 00:00,70,7,NIL,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['01:00', '11/01']",11/01 01:00,70,6,NIL,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['02:00', '11/01']",11/01 02:00,60,6,NIL,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['03:00', '11/01']",11/01 03:00,70,7,NIL,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['04:00', '11/01']",11/01 04:00,60,5,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['05:00', '11/01']",11/01 05:00,70,5,NIL,9999,5,26,20,1011,70,2200,,,,,,,,,
"['06:00', '11/01']",11/01 06:00,50,4,NIL,9999,5,26,21,1011,74,2000,,,,,,,,,
"['07:00', '11/01']",11/01 07:00,50,5,NIL,9999,5,25,21,1011,79,1800,,,,,,,,,
"['08:00', '11/01']",11/01 08:00,60,5,NIL,9999,5,25,21,1011,79,1800,,,,,,,,,
"['10:00', '11/01']",11/01 10:00,80,6,NIL,9999,5,26,20,1012,70,2300,,,,,,,,,
"['11:00', '11/01']",11/01 11:00,60,6,65,9999,5,27,20,1013,66,5000,,,,,,,,,
"['12:00', '11/01']",11/01 12:00,70,7,65,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['13:00', '11/01']",11/01 13:00,50,8,220,9999,3,27,20,1013,66,NIL,,,,,,,,,
"['14:00', '11/01']",11/01 14:00,80,9,85,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['15:00', '11/01']",11/01 15:00,70,9,230,9999,3,29,20,1012,58,NIL,,,,,,,,,
"['16:00', '11/01']",11/01 16:00,70,8,NIL,9999,3,28,20,1012,62,NIL,,,,,,,,,
"['17:00', '11/01']",11/01 17:00,60,9,NIL,9999,5,29,20,1011,58,5000,,,,,,,,,
"['18:00', '11/01']",11/01 18:00,70,8,NIL,9999,2,28,20,1010,62,NIL,,,,,,,,,
"['19:00', '11/01']",11/01 19:00,70,8,NIL,9999,2,27,20,1010,66,NIL,,,,,,,,,
"['20:00', '11/01']",11/01 20:00,70,7,NIL,9999,2,27,20,1011,66,NIL,,,,,,,,,
"['21:00', '11/01']",11/01 21:00,60,7,NIL,9999,3,27,21,1011,70,NIL,,,,,,,,,
