validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,teto,cobertura,tt,po,qnh,ur,vnt_vrb,pancada,trovoada,nevoa_umida,vnt_rajada,vis_setor,vis_setor_dir,chuvisco
"['01:00', '01/01']",01/01 01:00,70,4,9999,NIL,NIL,2,28,22,1013,70,,,,,,,,
"['02:00', '01/01']",01/01 02:00,90,4,9999,NIL,5000,5,28,23,1012,74,,,,,,,,
"['03:00', '01/01']",01/01 03:00,100,4,9999,NIL,7000,5,28,23,1012,74,,,,,,,,
"['04:00', '01/01']",01/01 04:00,70,6,7000,1,2000,5,26,22,1011,79,,,,,,,,
"['05:00', '01/01']",01/01 05:00,90,4,9999,NIL,6000,5,26,22,1011,79,,,,,,,,
"['06:00', '01/01']",01/01 06:00,70,5,9999,NIL,2100,5,27,23,1011,79,,,,,,,,
"['07:00', '01/01']",01/01 07:00,70,5,9999,NIL,NIL,3,27,23,1011,79,,,,,,,,
"['08:00', '01/01']",01/01 08:00,60,3,9999,NIL,1900,5,27,23,1011,79,,,,,,,,
"['09:00', '01/01']",01/01 09:00,70,5,9999,NIL,2100,5,27,22,1012,74,,,,,,,,
"['10:00', '01/01']",01/01 10:00,70,5,9999,NIL,2300,5,29,22,1012,66,,,,,,,,
"['11:00', '01/01']",01/01 11:00,50,6,9999,NIL,5000,5,29,22,1013,66,,,,,,,,
"['12:00', '01/01']",01/01 12:00,90,7,9999,NIL,5000,5,29,23,1013,70,,,,,,,,
"['13:00', '01/01']",01/01 13:00,70,8,9999,NIL,6000,5,29,22,1013,66,,,,,,,,
"['14:00', '01/01']",01/01 14:00,80,7,9999,NIL,7000,5,30,23,1012,66,,,,,,,,
"['15:00', '01/01']",01/01 15:00,70,7,9999,NIL,7000,5,29,22,1012,66,,,,,,,,
"['16:00', '01/01']",01/01 16:00,60,7,9999,NIL,8000,5,29,23,1011,70,,,,,,,,
"['17:00', '01/01']",01/01 17:00,60,6,9999,NIL,8000,5,29,22,1011,66,,,,,,,,
"['18:00', '01/01']",01/01 18:00,90,7,9999,NIL,10000,8,29,22,1010,66,,,,,,,,
"['19:00', '01/01']",01/01 19:00,70,7,9999,NIL,10000,8,28,22,1010,70,,,,,,,,
"['20:00', '01/01']",01/01 20:00,90,7,9999,NIL,10000,5,28,23,1010,74,,,,,,,,
"['21:00', '01/01']",01/01 21:00,80,7,9999,NIL,NIL,3,28,22,1011,70,,,,,,,,
"['22:00', '01/01']",01/01 22:00,60,6,9999,NIL,NIL,3,28,22,1011,70,,,,,,,,
"['23:00', '01/01']",01/01 23:00,90,5,9999,NIL,NIL,3,28,22,1012,70,,,,,,,,
"['00:00', '02/01']",02/01 00:00,100,6,9999,NIL,NIL,2,28,22,1012,70,,,,,,,,
"['01:00', '02/01']",02/01 01:00,90,7,9999,,NIL,3,28,22,1012,70,NIL,,,,,,,
"['02:00', '02/01']",02/01 02:00,90,7,9999,,NIL,3,28,22,1012,70,90,,,,,,,
"['03:00', '02/01']",02/01 03:00,80,5,9999,,NIL,2,28,22,1012,70,NIL,,,,,,,
"['04:00', '02/01']",02/01 04:00,90,5,9999,,NIL,3,28,22,1011,70,NIL,,,,,,,
"['05:00', '02/01']",02/01 05:00,100,4,9999,,NIL,3,27,23,1011,79,95,,,,,,,
"['06:00', '02/01']",02/01 06:00,30,3,9999,,NIL,3,26,23,1011,84,205,,,,,,,
"['07:00', '02/01']",02/01 07:00,290,3,9999,,NIL,2,26,23,1011,84,NIL,,,,,,,
"['08:00', '02/01']",02/01 08:00,310,4,9999,,NIL,3,25,23,1011,89,NIL,,,,,,,
"['09:00', '02/01']",02/01 09:00,320,3,9999,,10000,5,25,23,1012,89,NIL,,,,,,,
"['10:00', '02/01']",02/01 10:00,310,4,9999,,NIL,3,27,23,1012,79,315,,,,,,,
"['11:00', '02/01']",02/01 11:00,60,6,9999,,NIL,3,29,23,1013,70,NIL,,,,,,,
"['12:00', '02/01']",02/01 12:00,60,7,9999,,NIL,3,29,22,1013,66,NIL,,,,,,,
"['13:00', '02/01']",02/01 13:00,80,8,9999,,NIL,3,30,23,1013,66,NIL,,,,,,,
"['14:00', '02/01']",02/01 14:00,80,7,9999,,NIL,3,30,24,1012,70,NIL,,,,,,,
"['15:00', '02/01']",02/01 15:00,70,9,9999,,NIL,3,30,23,1012,66,NIL,,,,,,,
"['16:00', '02/01']",02/01 16:00,50,9,9999,,NIL,3,31,24,1012,66,235,,,,,,,
"['17:00', '02/01']",02/01 17:00,60,10,9999,,NIL,3,30,23,1011,66,NIL,,,,,,,
"['18:00', '02/01']",02/01 18:00,60,8,9999,,NIL,3,30,23,1011,66,70,,,,,,,
"['19:00', '02/01']",02/01 19:00,70,7,9999,,NIL,3,30,22,1011,62,70,,,,,,,
"['20:00', '02/01']",02/01 20:00,60,8,9999,,NIL,2,29,22,1011,66,65,,,,,,,
"['21:00', '02/01']",02/01 21:00,70,8,9999,,NIL,2,28,23,1011,74,75,,,,,,,
"['22:00', '02/01']",02/01 22:00,60,6,9999,,NIL,2,28,23,1011,74,60,,,,,,,
"['23:00', '02/01']",02/01 23:00,60,5,9999,,NIL,2,28,23,1012,74,55,,,,,,,
"['00:00', '03/01']",03/01 00:00,60,5,9999,,NIL,3,28,23,1012,74,65,,,,,,,
"['01:00', '03/01']",03/01 01:00,60,5,9999,,NIL,3,28,23,1013,74,NIL,,,,,,,
"['02:00', '03/01']",03/01 02:00,60,5,9999,,NIL,3,28,23,1012,74,NIL,,,,,,,
"['03:00', '03/01']",03/01 03:00,60,4,9999,,NIL,3,27,23,1012,79,NIL,,,,,,,
"['04:00', '03/01']",03/01 04:00,60,5,9999,,NIL,3,27,23,1011,79,NIL,,,,,,,
"['05:00', '03/01']",03/01 05:00,50,5,9999,,NIL,3,27,23,1014,79,NIL,,,,,,,
"['06:00', '03/01']",03/01 06:00,50,4,9999,,NIL,3,28,23,1011,74,NIL,,,,,,,
"['07:00', '03/01']",03/01 07:00,40,4,9999,,NIL,3,27,23,1011,79,NIL,,,,,,,
"['08:00', '03/01']",03/01 08:00,30,4,9999,,NIL,3,27,23,1012,79,NIL,,,,,,,
"['09:00', '03/01']",03/01 09:00,320,3,9999,,NIL,3,27,23,1012,79,NIL,,,,,,,
"['10:00', '03/01']",03/01 10:00,60,7,9999,,NIL,3,28,23,1013,74,NIL,,,,,,,
"['11:00', '03/01']",03/01 11:00,70,7,9999,,NIL,3,29,23,1014,70,NIL,,,,,,,
"['12:00', '03/01']",03/01 12:00,90,7,9999,,2200,5,30,23,1014,66,NIL,,,,,,,
"['13:00', '03/01']",03/01 13:00,70,7,9999,,NIL,3,30,23,1014,66,NIL,,,,,,,
"['14:00', '03/01']",03/01 14:00,60,7,9999,,NIL,3,30,22,1013,62,NIL,,,,,,,
"['15:00', '03/01']",03/01 15:00,90,9,9999,,NIL,3,31,24,1013,66,NIL,,,,,,,
"['16:00', '03/01']",03/01 16:00,90,9,9999,,NIL,3,30,23,1012,66,NIL,,,,,,,
"['17:00', '03/01']",03/01 17:00,70,9,9999,,NIL,3,30,23,1011,66,80,,,,,,,
"['18:00', '03/01']",03/01 18:00,60,8,9999,,NIL,3,30,23,1011,66,65,,,,,,,
"['19:00', '03/01']",03/01 19:00,100,8,9999,,NIL,3,29,23,1011,70,95,,,,,,,
"['20:00', '03/01']",03/01 20:00,80,7,9999,,NIL,3,29,23,1011,70,85,,,,,,,
"['21:00', '03/01']",03/01 21:00,80,6,9999,,NIL,3,28,23,1011,74,235,,,,,,,
"['22:00', '03/01']",03/01 22:00,100,8,9999,,NIL,3,28,23,1012,74,NIL,,,,,,,
"['23:00', '03/01']",03/01 23:00,60,5,9999,,NIL,3,28,23,1013,74,NIL,,,,,,,
"['00:00', '04/01']",04/01 00:00,80,4,9999,,NIL,3,28,23,1013,74,75,,,,,,,
"['01:00', '04/01']",04/01 01:00,50,5,9999,,2000,5,27,22,1013,74,60,,,,,,,
"['02:00', '04/01']",04/01 02:00,60,4,9999,,NIL,3,27,22,1013,74,60,,,,,,,
"['03:00', '04/01']",04/01 03:00,60,5,9999,,NIL,3,27,22,1012,74,60,,,,,,,
"['04:00', '04/01']",04/01 04:00,50,4,9999,,NIL,3,27,22,1012,74,50,,,,,,,
"['05:00', '04/01']",04/01 05:00,60,5,9999,,NIL,3,27,22,1011,74,NIL,,,,,,,
"['06:00', '04/01']",04/01 06:00,50,4,9999,,NIL,3,27,22,1011,74,220,,,,,,,
"['07:00', '04/01']",04/01 07:00,50,4,9999,,5000,5,27,22,1012,74,40,,,,,,,
"['08:00', '04/01']",04/01 08:00,50,3,9999,,NIL,3,27,22,1012,74,NIL,,,,,,,
"['09:00', '04/01']",04/01 09:00,VRB,2,9999,,2200,5,26,22,1013,79,NIL,,,,,,,
"['10:00', '04/01']",04/01 10:00,40,5,9999,,NIL,3,28,22,1013,70,225,,,,,,,
"['11:00', '04/01']",04/01 11:00,60,7,9999,,2500,5,29,22,1014,66,70,,,,,,,
"['12:00', '04/01']",04/01 12:00,90,8,9999,,NIL,3,30,22,1014,62,70,,,,,,,
"['13:00', '04/01']",04/01 13:00,80,9,9999,,NIL,2,30,21,1013,59,70,,,,,,,
"['14:00', '04/01']",04/01 14:00,60,9,9999,,NIL,2,31,21,1013,55,70,,,,,,,
"['15:00', '04/01']",04/01 15:00,80,8,9999,,NIL,2,31,20,1013,52,65,,,,,,,
"['16:00', '04/01']",04/01 16:00,70,9,9999,,NIL,2,31,19,1012,49,60,,,,,,,
"['17:00', '04/01']",04/01 17:00,70,9,9999,,NIL,2,30,21,1011,59,70,,,,,,,
"['18:00', '04/01']",04/01 18:00,60,8,9999,,NIL,2,30,22,1011,62,60,,,,,,,
"['19:00', '04/01']",04/01 19:00,70,9,9999,,NIL,NIL,29,21,1010,62,NIL,,,,,,,
"['20:00', '04/01']",04/01 20:00,70,8,9999,,NIL,NIL,29,22,1011,66,NIL,,,,,,,
"['21:00', '04/01']",04/01 21:00,60,6,9999,,NIL,NIL,28,22,1011,70,NIL,,,,,,,
"['22:00', '04/01']",04/01 22:00,60,7,9999,,NIL,2,28,22,1012,70,NIL,,,,,,,
"['23:00', '04/01']",04/01 23:00,60,6,9999,,NIL,3,28,22,1013,70,NIL,,,,,,,
"['00:00', '05/01']",05/01 00:00,60,7,9999,,NIL,3,28,23,1013,74,NIL,,,,,,,
"['01:00', '05/01']",05/01 01:00,60,5,9999,,NIL,3,28,22,1013,70,55,,,,,,,
"['02:00', '05/01']",05/01 02:00,70,6,9999,,NIL,3,28,22,1013,70,60,,,,,,,
"['03:00', '05/01']",05/01 03:00,60,6,9999,,NIL,3,27,22,1012,74,65,,,,,,,
"['04:00', '05/01']",05/01 04:00,70,5,9999,,NIL,3,27,22,1012,74,60,,,,,,,
"['05:00', '05/01']",05/01 05:00,60,4,9999,,NIL,3,27,22,1011,74,60,,,,,,,
"['06:00', '05/01']",05/01 06:00,50,5,9999,,NIL,3,27,22,1011,74,220,,,,,,,
"['07:00', '05/01']",05/01 07:00,40,3,9999,,NIL,3,27,22,1012,74,NIL,,,,,,,
"['08:00', '05/01']",05/01 08:00,40,3,9999,,5000,5,27,22,1012,74,NIL,,,,,,,
"['09:00', '05/01']",05/01 09:00,VRB,2,9999,,NIL,3,27,22,1013,74,NIL,,,,,,,
"['10:00', '05/01']",05/01 10:00,50,4,9999,,NIL,3,28,22,1013,70,230,,,,,,,
"['11:00', '05/01']",05/01 11:00,20,5,9999,,NIL,3,28,22,1013,70,NIL,,,,,,,
"['12:00', '05/01']",05/01 12:00,100,8,9999,,2300,5,29,22,1014,66,NIL,,,,,,,
"['13:00', '05/01']",05/01 13:00,80,8,9999,,NIL,3,29,22,1013,66,NIL,,,,,,,
"['14:00', '05/01']",05/01 14:00,90,9,9999,,10000,8,30,22,1013,62,NIL,,,,,,,
"['15:00', '05/01']",05/01 15:00,80,8,9999,,NIL,3,29,22,1013,66,NIL,,,,,,,
"['16:00', '05/01']",05/01 16:00,90,8,9999,,NIL,3,29,22,1012,66,NIL,,,,,,,
"['17:00', '05/01']",05/01 17:00,80,8,9999,,NIL,3,29,22,1011,66,NIL,,,,,,,
"['18:00', '05/01']",05/01 18:00,110,8,9999,,NIL,3,29,23,1011,70,95,,,,,,,
"['19:00', '05/01']",05/01 19:00,110,8,9999,,NIL,3,29,22,1011,66,95,,,,,,,
"['20:00', '05/01']",05/01 20:00,100,6,9999,,NIL,3,28,22,1011,70,90,,,,,,,
"['21:00', '05/01']",05/01 21:00,110,7,9999,,NIL,3,28,22,1011,70,NIL,,,,,,,
"['22:00', '05/01']",05/01 22:00,90,6,9999,,NIL,2,28,22,1012,70,95,,,,,,,
"['23:00', '05/01']",05/01 23:00,80,6,9999,,NIL,2,28,23,1012,74,80,,,,,,,
"['00:00', '06/01']",06/01 00:00,80,5,9999,,NIL,2,28,22,1013,70,75,,,,,,,
"['01:00', '06/01']",06/01 01:00,60,5,9999,,2300,5,28,22,1013,70,NIL,,,,,,,
"['02:00', '06/01']",06/01 02:00,60,5,9999,,NIL,3,27,23,1012,79,NIL,,,,,,,
"['03:00', '06/01']",06/01 03:00,70,6,9999,,NIL,3,27,23,1012,79,NIL,,,,,,,
"['04:00', '06/01']",06/01 04:00,60,4,9999,,NIL,3,27,23,1011,79,NIL,,,,,,,
"['05:00', '06/01']",06/01 05:00,50,4,9999,,1900,5,27,23,1011,79,NIL,,,,,,,
"['06:00', '06/01']",06/01 06:00,60,4,9999,,NIL,2,27,22,1011,74,NIL,,,,,,,
"['07:00', '06/01']",06/01 07:00,40,4,8000,,1900,5,27,23,1011,79,NIL,,,,,,,
"['08:00', '06/01']",06/01 08:00,50,4,9999,,NIL,3,27,23,1012,79,NIL,,,,,,,
"['09:00', '06/01']",06/01 09:00,10,3,9999,,NIL,3,27,23,1012,79,NIL,,,,,,,
"['10:00', '06/01']",06/01 10:00,350,4,9999,,NIL,3,27,23,1013,79,NIL,,,,,,,
"['11:00', '06/01']",06/01 11:00,70,8,9999,,NIL,3,29,23,1013,70,NIL,,,,,,,
"['12:00', '06/01']",06/01 12:00,70,9,9999,,NIL,3,29,23,1013,70,NIL,,,,,,,
"['13:00', '06/01']",06/01 13:00,100,9,9999,,NIL,3,30,23,1013,66,NIL,,,,,,,
"['14:00', '06/01']",06/01 14:00,90,9,9999,,NIL,2,30,23,1012,66,NIL,,,,,,,
"['15:00', '06/01']",06/01 15:00,90,9,9999,,NIL,2,30,23,1012,66,NIL,,,,,,,
"['16:00', '06/01']",06/01 16:00,90,9,9999,,NIL,2,31,23,1011,63,NIL,,,,,,,
"['17:00', '06/01']",06/01 17:00,80,8,9999,,NIL,3,31,23,1011,63,80,,,,,,,
"['18:00', '06/01']",06/01 18:00,90,8,9999,,NIL,3,30,22,1011,62,85,,,,,,,
"['19:00', '06/01']",06/01 19:00,100,9,9999,,NIL,2,30,23,1011,66,90,,,,,,,
"['20:00', '06/01']",06/01 20:00,90,9,9999,,2200,5,29,23,1011,70,95,,,,,,,
"['21:00', '06/01']",06/01 21:00,80,7,9999,,NIL,3,28,23,1011,74,80,,,,,,,
"['22:00', '06/01']",06/01 22:00,100,7,9999,,NIL,3,28,23,1012,74,110,,,,,,,
"['23:00', '06/01']",06/01 23:00,90,6,9999,,NIL,3,28,22,1012,70,85,,,,,,,
"['00:00', '07/01']",07/01 00:00,90,7,9999,,NIL,3,28,23,1013,74,90,,,,,,,
"['01:00', '07/01']",07/01 01:00,90,7,9999,,2300,5,28,23,1013,74,95,,,,,,,
"['02:00', '07/01']",07/01 02:00,90,7,9999,,2300,5,28,23,1013,74,NIL,,,,,,,
"['03:00', '07/01']",07/01 03:00,90,6,9999,,NIL,3,28,23,1012,74,90,,,,,,,
"['04:00', '07/01']",07/01 04:00,80,5,9999,,NIL,3,27,22,1012,74,85,,,,,,,
"['05:00', '07/01']",07/01 05:00,90,6,9999,,NIL,3,27,23,1012,79,80,,,,,,,
"['06:00', '07/01']",07/01 06:00,80,5,9999,,NIL,3,27,22,1012,74,NIL,,,,,,,
"['07:00', '07/01']",07/01 07:00,90,4,9999,,NIL,3,27,22,1012,74,NIL,,,,,,,
"['08:00', '07/01']",07/01 08:00,80,4,9999,,NIL,3,27,22,1012,74,NIL,,,,,,,
"['09:00', '07/01']",07/01 09:00,50,5,9999,,2300,5,27,23,1013,79,55,,,,,,,
"['10:00', '07/01']",07/01 10:00,70,5,9999,,2300,5,28,22,1013,70,75,,,,,,,
"['11:00', '07/01']",07/01 11:00,90,8,9999,,2300,5,29,22,1014,66,NIL,,,,,,,
"['12:00', '07/01']",07/01 12:00,90,7,9999,,NIL,3,30,23,1013,66,NIL,,,,,,,
"['13:00', '07/01']",07/01 13:00,70,10,9999,,NIL,2,29,22,1013,66,NIL,,,,,,,
"['14:00', '07/01']",07/01 14:00,100,10,9999,,NIL,2,30,23,1013,66,NIL,,,,,,,
"['15:00', '07/01']",07/01 15:00,120,10,9999,,NIL,2,30,23,1012,66,NIL,,,,,,,
"['16:00', '07/01']",07/01 16:00,90,10,9999,,NIL,2,30,23,1012,66,NIL,,,,,,,
"['17:00', '07/01']",07/01 17:00,110,10,9999,,NIL,NIL,30,23,1011,66,NIL,,,,,,,
"['18:00', '07/01']",07/01 18:00,100,11,9999,,NIL,2,30,22,1010,62,100,,,,,,,
"['19:00', '07/01']",07/01 19:00,100,9,9999,,NIL,3,30,23,1011,66,100,,,,,,,
"['20:00', '07/01']",07/01 20:00,110,9,9999,,NIL,3,29,23,1011,70,110,,,,,,,
"['21:00', '07/01']",07/01 21:00,110,8,9999,,NIL,3,28,22,1011,70,110,,,,,,,
"['22:00', '07/01']",07/01 22:00,120,7,9999,,NIL,3,28,23,1012,74,125,,,,,,,
"['23:00', '07/01']",07/01 23:00,110,7,9999,,2200,5,28,22,1012,70,105,,,,,,,
"['00:00', '08/01']",08/01 00:00,100,5,9999,,5000,5,28,23,1013,74,105,,,,,,,
"['01:00', '08/01']",08/01 01:00,120,6,9999,,NIL,2,28,22,1013,70,NIL,,,,,,,
"['02:00', '08/01']",08/01 02:00,100,4,9999,,NIL,2,28,22,1013,70,90,,,,,,,
"['03:00', '08/01']",08/01 03:00,100,5,9999,,NIL,2,28,22,1012,70,90,,,,,,,
"['04:00', '08/01']",08/01 04:00,90,4,9999,,NIL,3,27,22,1011,74,90,,,,,,,
"['05:00', '08/01']",08/01 05:00,70,3,9999,,NIL,2,27,22,1011,74,50,,,,,,,
"['06:00', '08/01']",08/01 06:00,50,3,9999,,NIL,2,27,22,1011,74,NIL,,,,,,,
"['07:00', '08/01']",08/01 07:00,340,3,9999,,NIL,3,27,22,1011,74,150,,,,,,,
"['08:00', '08/01']",08/01 08:00,260,3,9999,,NIL,3,26,23,1012,84,245,,,,,,,
"['09:00', '08/01']",08/01 09:00,290,4,9999,,2000,5,27,23,1012,79,265,,,,,,,
"['10:00', '08/01']",08/01 10:00,60,5,9999,,2200,5,29,22,1013,66,225,,,,,,,
"['11:00', '08/01']",08/01 11:00,VRB,6,9999,,2500,5,29,22,1014,66,NIL,,,,,,,
"['12:00', '08/01']",08/01 12:00,90,8,9999,,NIL,3,29,22,1014,66,NIL,,,,,,,
"['13:00', '08/01']",08/01 13:00,110,9,9999,,NIL,3,30,22,1013,62,NIL,,,,,,,
"['14:00', '08/01']",08/01 14:00,110,10,9999,,NIL,3,30,23,1013,66,NIL,,,,,,,
"['15:00', '08/01']",08/01 15:00,90,9,9999,,NIL,3,30,22,1012,62,NIL,,,,,,,
"['16:00', '08/01']",08/01 16:00,80,9,9999,,NIL,3,30,23,1012,66,NIL,,,,,,,
"['17:00', '08/01']",08/01 17:00,110,7,9999,,NIL,3,31,22,1011,59,90,,,,,,,
"['18:00', '08/01']",08/01 18:00,90,9,9999,,NIL,2,29,22,1010,66,95,,,,,,,
"['19:00', '08/01']",08/01 19:00,100,8,9999,,NIL,2,29,22,1010,66,100,,,,,,,
"['20:00', '08/01']",08/01 20:00,90,8,9999,,NIL,2,29,22,1010,66,100,,,,,,,
"['21:00', '08/01']",08/01 21:00,110,7,9999,,2500,5,28,22,1011,70,105,,,,,,,
"['22:00', '08/01']",08/01 22:00,90,7,9999,,2500,5,28,22,1012,70,75,,,,,,,
"['23:00', '08/01']",08/01 23:00,110,8,9999,,2500,5,28,22,1012,70,NIL,,,,,,,
"['00:00', '09/01']",09/01 00:00,100,8,9999,,2500,5,28,21,1013,66,100,,,,,,,
"['01:00', '09/01']",09/01 01:00,70,6,9999,,2500,5,28,22,1013,70,65,,,,,,,
"['02:00', '09/01']",09/01 02:00,60,5,9999,,5000,5,28,22,1012,70,60,,,,,,,
"['03:00', '09/01']",09/01 03:00,50,6,9999,,2500,5,28,22,1012,70,45,,,,,,,
"['04:00', '09/01']",09/01 04:00,60,6,9999,,5000,5,28,22,1011,70,60,,,,,,,
"['05:00', '09/01']",09/01 05:00,70,5,9999,,5000,5,28,22,1011,70,65,,,,,,,
"['06:00', '09/01']",09/01 06:00,60,5,9999,,5000,5,28,22,1011,70,55,,,,,,,
"['07:00', '09/01']",09/01 07:00,70,5,9999,,5000,5,28,22,1011,70,60,,,,,,,
"['08:00', '09/01']",09/01 08:00,100,5,9999,,2000,5,27,22,1012,74,100,,,,,,,
"['09:00', '09/01']",09/01 09:00,80,4,9999,,NIL,3,28,22,1012,70,75,,,,,,,
"['10:00', '09/01']",09/01 10:00,250,2,9999,,NIL,3,27,23,1013,79,NIL,,,,,,,
"['11:00', '09/01']",09/01 11:00,110,6,9999,,NIL,3,29,23,1013,70,100,,,,,,,
"['12:00', '09/01']",09/01 12:00,90,7,9999,,NIL,3,30,22,1013,62,90,,,,,,,
"['13:00', '09/01']",09/01 13:00,80,8,9999,,NIL,3,30,23,1013,66,80,,,,,,,
"['14:00', '09/01']",09/01 14:00,90,9,9999,,NIL,3,30,22,1013,62,70,,,,,,,
"['15:00', '09/01']",09/01 15:00,90,10,9999,,NIL,3,30,22,1012,62,75,,,,,,,
"['16:00', '09/01']",09/01 16:00,90,11,9999,,NIL,3,30,23,1011,66,NIL,,,,,,,
"['17:00', '09/01']",09/01 17:00,90,10,9999,,NIL,2,30,22,1011,62,90,,,,,,,
"['18:00', '09/01']",09/01 18:00,90,10,9999,,NIL,2,30,22,1010,62,NIL,,,,,,,
"['19:00', '09/01']",09/01 19:00,100,9,9999,,2500,5,29,22,1010,66,NIL,,,,,,,
"['20:00', '09/01']",09/01 20:00,50,7,9999,,2400,5,29,22,1011,66,NIL,,,,,,,
"['21:00', '09/01']",09/01 21:00,60,7,9999,,2300,5,28,22,1011,70,NIL,,,,,,,
"['22:00', '09/01']",09/01 22:00,60,5,8000,,2400,5,27,23,1012,79,NIL,,,,,,,
"['23:00', '09/01']",09/01 23:00,90,8,9999,,4300,5,28,23,1012,74,NIL,,,,,,,
"['00:00', '10/01']",10/01 00:00,80,6,9999,,5000,5,28,22,1013,70,60,,,,,,,
"['01:00', '10/01']",10/01 01:00,80,6,9999,,NIL,3,28,22,1013,70,70,,,,,,,
"['02:00', '10/01']",10/01 02:00,90,6,9999,,7000,5,28,22,1013,70,90,,,,,,,
"['03:00', '10/01']",10/01 03:00,VRB,4,9999,,NIL,3,28,22,1012,70,NIL,,,,,,,
"['04:00', '10/01']",10/01 04:00,80,3,9999,,NIL,NIL,28,22,1012,70,80,,,,,,,
"['05:00', '10/01']",10/01 05:00,110,3,9999,,NIL,2,27,22,1012,74,95,,,,,,,
"['06:00', '10/01']",10/01 06:00,100,6,9999,,NIL,2,27,22,1012,74,NIL,,,,,,,
"['07:00', '10/01']",10/01 07:00,110,5,9999,,NIL,3,27,22,1012,74,100,,,,,,,
"['08:00', '10/01']",10/01 08:00,110,5,9999,,NIL,2,27,21,1013,70,95,,,,,,,
"['09:00', '10/01']",10/01 09:00,80,5,9999,,NIL,2,28,22,1013,70,100,,,,,,,
"['10:00', '10/01']",10/01 10:00,80,6,9999,,NIL,3,28,21,1014,66,85,,,,,,,
"['11:00', '10/01']",10/01 11:00,120,10,9999,,2300,5,28,22,1014,70,NIL,,,,,,,
"['12:00', '10/01']",10/01 12:00,80,8,9999,,NIL,3,29,22,1014,66,NIL,,,,,,,
"['13:00', '10/01']",10/01 13:00,90,9,9999,,NIL,3,31,22,1014,59,NIL,,,,,,,
"['14:00', '10/01']",10/01 14:00,100,10,9999,,NIL,3,30,22,1014,62,NIL,,,,,,,
"['15:00', '10/01']",10/01 15:00,120,10,9999,,NIL,2,31,22,1013,59,NIL,,,,,,,
"['16:00', '10/01']",10/01 16:00,100,9,9999,,NIL,2,30,21,1012,59,NIL,,,,,,,
"['17:00', '10/01']",10/01 17:00,120,8,9999,,NIL,2,30,22,1012,62,NIL,,,,,,,
"['18:00', '10/01']",10/01 18:00,80,8,9999,,NIL,2,30,22,1012,62,70,,,,,,,
"['19:00', '10/01']",10/01 19:00,100,7,9999,,NIL,2,30,22,1011,62,100,,,,,,,
"['20:00', '10/01']",10/01 20:00,80,8,9999,,NIL,2,29,22,1012,66,80,,,,,,,
"['21:00', '10/01']",10/01 21:00,110,7,9999,,NIL,2,28,22,1012,70,85,,,,,,,
"['22:00', '10/01']",10/01 22:00,100,6,9999,,NIL,3,28,22,1013,70,100,,,,,,,
"['23:00', '10/01']",10/01 23:00,110,6,9999,,2300,5,28,23,1013,74,110,,,,,,,
"['00:00', '11/01']",11/01 00:00,90,6,9999,,NIL,2,28,22,1013,70,80,,,,,,,
"['01:00', '11/01']",11/01 01:00,90,7,9999,,NIL,NIL,28,22,1014,70,NIL,,,,,,,
"['02:00', '11/01']",11/01 02:00,100,5,9999,,NIL,3,28,23,1014,74,240,,,,,,,
"['03:00', '11/01']",11/01 03:00,100,6,9999,,NIL,3,28,23,1013,74,NIL,,,,,,,
"['04:00', '11/01']",11/01 04:00,90,6,9999,,NIL,2,28,22,1012,70,NIL,,,,,,,
"['05:00', '11/01']",11/01 05:00,90,6,9999,,NIL,3,27,23,1012,79,NIL,,,,,,,
"['06:00', '11/01']",11/01 06:00,100,7,9999,,1900,5,27,23,1012,79,NIL,,,,,,,
"['07:00', '11/01']",11/01 07:00,90,8,9999,,NIL,3,27,22,1012,74,NIL,,,,,,,
"['08:00', '11/01']",11/01 08:00,100,6,9999,,NIL,3,27,22,1012,74,NIL,,,,,,,
"['09:00', '11/01']",11/01 09:00,100,6,9999,,NIL,3,28,22,1012,70,NIL,,,,,,,
"['10:00', '11/01']",11/01 10:00,110,8,9999,,NIL,3,28,22,1013,70,NIL,,,,,,,
"['11:00', '11/01']",11/01 11:00,100,7,9999,,NIL,3,28,22,1013,70,95,,,,,,,
"['12:00', '11/01']",11/01 12:00,130,9,9999,,NIL,3,29,22,1013,66,NIL,,,,,,,
"['13:00', '11/01']",11/01 13:00,110,8,9999,,NIL,2,30,22,1013,62,110,,,,,,,
"['14:00', '11/01']",11/01 14:00,70,8,9999,,NIL,2,30,21,1013,59,230,,,,,,,
"['15:00', '11/01']",11/01 15:00,100,7,9999,,NIL,2,30,23,1013,66,95,,,,,,,
"['16:00', '11/01']",11/01 16:00,110,10,9999,,NIL,2,30,22,1012,62,NIL,,,,,,,
"['17:00', '11/01']",11/01 17:00,110,11,9999,,NIL,2,30,22,1012,62,95,,,,,,,
"['18:00', '11/01']",11/01 18:00,100,9,9999,,NIL,3,29,22,1011,66,NIL,,,,,,,
"['19:00', '11/01']",11/01 19:00,VRB,8,9999,,NIL,3,29,21,1011,62,NIL,,,,,,,
"['20:00', '11/01']",11/01 20:00,VRB,7,9999,,NIL,3,29,22,1012,66,NIL,,,,,,,
"['21:00', '11/01']",11/01 21:00,120,6,9999,,NIL,3,28,22,1012,70,120,,,,,,,
"['22:00', '11/01']",11/01 22:00,110,6,9999,,NIL,2,28,22,1012,70,NIL,,,,,,,
