validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,teto,cobertura,tt,po,qnh,ur,vnt_vrb,pancada,trovoada,nevoa_umida,vnt_rajada,vis_setor,vis_setor_dir,chuvisco
"['10:00', '04/07']",04/07 10:00,VRB,2,9999,,,2,23,20,1015,83,NIL,,,,,,,
"['11:00', '04/07']",04/07 11:00,250,3,9999,,,2,26,22,1015,79,215,,,,,,,
"['12:00', '04/07']",04/07 12:00,170,7,9999,,,2,27,21,1016,70,170,,,,,,,
"['13:00', '04/07']",04/07 13:00,150,8,9999,,,3,28,21,1016,66,NIL,,,,,,,
"['14:00', '04/07']",04/07 14:00,150,10,9999,,,3,28,21,1015,66,NIL,,,,,,,
"['15:00', '04/07']",04/07 15:00,160,10,9999,,,3,29,22,1015,66,NIL,,,,,,,
"['16:00', '04/07']",04/07 16:00,170,11,9999,,,3,29,21,1014,62,NIL,,,,,,,
"['17:00', '04/07']",04/07 17:00,150,12,9999,,,3,28,21,1013,66,NIL,,,,,,,
"['18:00', '04/07']",04/07 18:00,160,13,9999,,,3,28,21,1013,66,NIL,,,,,,,
"['19:00', '04/07']",04/07 19:00,170,11,9999,,,3,28,22,1013,70,NIL,,,,,,,
"['20:00', '04/07']",04/07 20:00,190,11,9999,,,3,27,21,1013,70,NIL,,,,,,,
"['21:00', '04/07']",04/07 21:00,190,8,9999,,,3,26,21,1014,74,NIL,,,,,,,
"['22:00', '04/07']",04/07 22:00,190,7,9999,,,3,25,21,1014,79,NIL,,,,,,,
"['23:00', '04/07']",04/07 23:00,190,6,9999,,,3,25,21,1015,79,NIL,,,,,,,
"['00:00', '05/07']",05/07 00:00,210,6,9999,,,3,25,21,1015,79,NIL,,,,,,,
"['01:00', '05/07']",05/07 01:00,200,6,9999,NIL,NIL,3,24,21,1015,83,NIL,,,NIL,NIL,,,
"['02:00', '05/07']",05/07 02:00,210,5,9999,NIL,NIL,2,24,21,1015,83,NIL,,,NIL,NIL,,,
"['03:00', '05/07']",05/07 03:00,210,5,9999,NIL,NIL,2,23,21,1015,89,NIL,,,NIL,NIL,,,
"['04:00', '05/07']",05/07 04:00,230,4,9999,NIL,NIL,2,23,21,1014,89,NIL,,,NIL,NIL,,,
"['05:00', '05/07']",05/07 05:00,220,4,9999,NIL,NIL,3,23,21,1014,89,NIL,,,NIL,NIL,,,
"['06:00', '05/07']",05/07 06:00,210,5,9999,NIL,NIL,3,23,21,1013,89,NIL,,,NIL,NIL,,,
"['07:00', '05/07']",05/07 07:00,210,6,9999,NIL,NIL,3,23,21,1013,89,NIL,,,NIL,NIL,,,
"['08:00', '05/07']",05/07 08:00,210,7,9999,NIL,NIL,3,23,22,1013,94,NIL,,,NIL,NIL,,,
"['09:00', '05/07']",05/07 09:00,200,6,4000,1,1200,5,23,22,1013,94,NIL,,,1,NIL,,,
"['10:00', '05/07']",05/07 10:00,210,7,4000,1,1000,5,23,22,1014,94,NIL,,,1,NIL,,,
"['11:00', '05/07']",05/07 11:00,210,7,5000,1,1200,5,24,23,1014,94,NIL,,,1,NIL,,,
"['12:00', '05/07']",05/07 12:00,200,4,4000,1,1000,5,24,23,1015,94,NIL,,,1,NIL,,,
"['13:00', '05/07']",05/07 13:00,120,10,5000,NIL,1300,5,25,23,1015,89,NIL,,,1,NIL,,,
"['14:00', '05/07']",05/07 14:00,140,11,8000,NIL,1500,5,27,24,1014,84,NIL,,,NIL,NIL,,,
"['15:00', '05/07']",05/07 15:00,140,12,8000,NIL,1200,5,27,24,1014,84,NIL,,,NIL,NIL,,,
"['16:00', '05/07']",05/07 16:00,150,11,8000,NIL,1500,5,27,24,1013,84,NIL,,,NIL,NIL,,,
"['16:35', '05/07']",05/07 16:35,120,13,3000,1,1200,5,26,23,1013,84,NIL,,,1,23,,,
"['17:00', '05/07']",05/07 17:00,120,12,5000,1,1400,5,25,24,1013,94,NIL,,,NIL,NIL,,,
"['18:00', '05/07']",05/07 18:00,130,10,9999,NIL,2500,5,27,24,1013,84,130,,,NIL,NIL,,,
"['19:00', '05/07']",05/07 19:00,130,9,9999,NIL,5000,5,27,23,1013,79,NIL,,,NIL,NIL,,,
"['20:00', '05/07']",05/07 20:00,140,12,6000,1,1800,5,26,23,1013,84,NIL,,,NIL,NIL,,,
"['21:00', '05/07']",05/07 21:00,110,10,5000,1,1600,5,25,23,1013,89,100,,,NIL,NIL,,,
"['22:00', '05/07']",05/07 22:00,140,12,9000,NIL,2000,5,26,23,1013,84,NIL,,,NIL,NIL,,,
