validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,nevoeiro,nevoa_umida,chuvisco,pancada,vis_setor,vis_setor_dir,vnt_vrb
"['06:00', '12/07']",12/07 06:00,160,2,9999,,,,NIL,15,13,1021,88,,,,,,,,
"['07:00', '12/07']",12/07 07:00,0,0,9999,,,,NIL,15,13,1021,88,,,,,,,,
"['08:00', '12/07']",12/07 08:00,0,0,9999,,,,NIL,15,13,1021,88,,,,,,,,
"['09:00', '12/07']",12/07 09:00,120,4,9999,,,,NIL,13,13,1021,100,,,,,,,,
"['10:00', '12/07']",12/07 10:00,140,2,9999,,,,NIL,14,13,1021,94,,,,,,,,
"['11:00', '12/07']",12/07 11:00,140,3,9999,,,,NIL,14,14,1022,100,,,,,,,,
"['12:00', '12/07']",12/07 12:00,180,2,9999,,,,NIL,16,14,1023,88,,,,,,,,
"['13:00', '12/07']",12/07 13:00,40,7,9999,,,,NIL,19,13,1023,68,,,,,,,,
"['14:00', '12/07']",12/07 14:00,40,4,9999,,,,NIL,21,13,1022,60,,,,,,,,
"['15:00', '12/07']",12/07 15:00,30,5,9999,,,,NIL,22,12,1021,53,,,,,,,,
"['16:00', '12/07']",12/07 16:00,340,6,9999,,,,2,24,11,1021,44,,,,,,,,
"['17:00', '12/07']",12/07 17:00,360,4,9999,,,,2,25,12,1020,44,,,,,,,,
"['18:00', '12/07']",12/07 18:00,100,3,9999,,,,2,25,11,1019,41,,,,,,,,
"['19:00', '12/07']",12/07 19:00,20,6,9999,,,,NIL,24,11,1019,44,,,,,,,,
"['20:00', '12/07']",12/07 20:00,10,6,9999,,,,NIL,24,10,1019,41,,,,,,,,
"['21:00', '12/07']",12/07 21:00,360,6,9999,,,,NIL,22,11,1019,50,,,,,,,,
"['22:00', '12/07']",12/07 22:00,30,5,9999,,,,NIL,21,11,1020,53,,,,,,,,
"['23:00', '12/07']",12/07 23:00,70,3,9999,,,,NIL,19,13,1021,68,,,,,,,,
"['00:00', '13/07']",13/07 00:00,100,1,9999,,,,NIL,17,13,1021,77,,,,,,,,
"['01:00', '13/07']",13/07 01:00,170,2,9999,,,,,16,13,1021,82,,,,,,,,
"['02:00', '13/07']",13/07 02:00,140,1,9999,,,,,16,13,1022,82,,,,,,,,
