validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,nevoeiro,nevoa_umida,chuvisco,pancada,vis_setor,vis_setor_dir,vnt_vrb
"['01:00', '01/01']",01/01 01:00,90,8,9999,NIL,NIL,NIL,NIL,24,17,1015,65,,,,,,,,
"['02:00', '01/01']",01/01 02:00,80,7,9999,NIL,NIL,NIL,NIL,23,17,1015,69,,,,,,,,
"['03:00', '01/01']",01/01 03:00,70,3,9999,NIL,NIL,NIL,NIL,22,16,1015,69,,,,,,,,
"['04:00', '01/01']",01/01 04:00,60,5,9999,NIL,NIL,NIL,NIL,22,16,1015,69,,,,,,,,
"['05:00', '01/01']",01/01 05:00,50,6,9999,NIL,NIL,NIL,NIL,22,16,1014,69,,,,,,,,
"['06:00', '01/01']",01/01 06:00,100,6,9999,NIL,NIL,NIL,NIL,22,16,1014,69,,,,,,,,
"['07:00', '01/01']",01/01 07:00,100,2,9999,NIL,NIL,NIL,NIL,20,16,1014,78,,,,,,,,
"['08:00', '01/01']",01/01 08:00,100,2,9999,NIL,NIL,NIL,NIL,20,16,1014,78,,,,,,,,
"['09:00', '01/01']",01/01 09:00,150,3,9999,NIL,NIL,NIL,NIL,19,17,1015,88,,,,,,,,
"['10:00', '01/01']",01/01 10:00,160,2,9999,NIL,NIL,NIL,NIL,20,17,1015,83,,,,,,,,
"['11:00', '01/01']",01/01 11:00,40,8,9999,NIL,NIL,NIL,NIL,23,17,1015,69,,,,,,,,
"['12:00', '01/01']",01/01 12:00,20,5,9999,NIL,NIL,NIL,2,24,17,1016,65,,,,,,,,
"['13:00', '01/01']",01/01 13:00,330,7,9999,NIL,NIL,NIL,3,26,18,1015,61,,,,,,,,
"['14:00', '01/01']",01/01 14:00,300,6,9999,NIL,NIL,NIL,3,27,17,1015,54,,,,,,,,
"['15:00', '01/01']",01/01 15:00,330,6,9999,NIL,NIL,4000,5,28,17,1014,51,,,,,,,,
"['16:00', '01/01']",01/01 16:00,250,4,9999,NIL,NIL,4000,5,29,17,1013,48,,,,,,,,
"['17:00', '01/01']",01/01 17:00,310,4,9999,NIL,NIL,4500,5,29,17,1012,48,,,,,,,,
"['18:00', '01/01']",01/01 18:00,230,5,9999,NIL,NIL,NIL,3,32,17,1011,41,,,,,,,,
"['19:00', '01/01']",01/01 19:00,0,0,9999,NIL,NIL,NIL,3,30,16,1010,43,,,,,,,,
"['20:00', '01/01']",01/01 20:00,360,4,9999,NIL,NIL,NIL,3,30,17,1010,46,,,,,,,,
"['21:00', '01/01']",01/01 21:00,340,5,9999,NIL,NIL,NIL,3,29,17,1010,48,,,,,,,,
"['22:00', '01/01']",01/01 22:00,350,6,9999,NIL,NIL,NIL,3,28,16,1010,48,,,,,,,,
"['23:00', '01/01']",01/01 23:00,350,11,9999,NIL,NIL,NIL,3,26,18,1012,61,,,,,,,,
"['23:37', '01/01']",01/01 23:37,340,12,9999,1,1,7000,5,23,19,1013,78,,,,,,,,
"['00:00', '02/01']",02/01 00:00,340,14,9999,1,1,7000,5,22,19,1013,83,,,,,,,,
"['01:00', '02/01']",02/01 01:00,360,12,9999,NIL,1,7000,5,23,18,1013,73,NIL,NIL,NIL,,,,,
"['02:00', '02/01']",02/01 02:00,90,10,9999,NIL,1,3500,5,22,18,1014,78,NIL,NIL,NIL,,,,,
"['02:11', '02/01']",02/01 02:11,160,5,3000,1,1,3000,5,21,19,1015,88,NIL,NIL,NIL,,,,,
"['03:00', '02/01']",02/01 03:00,160,6,3000,1,1,1500,5,19,19,1015,100,NIL,NIL,NIL,,,,,
"['04:00', '02/01']",02/01 04:00,150,4,3000,1,1,3000,5,19,19,1014,100,NIL,NIL,NIL,,,,,
"['04:35', '02/01']",02/01 04:35,160,8,1000,NIL,1,200,5,19,19,1014,100,NIL,NIL,1,,,,,
"['05:00', '02/01']",02/01 05:00,170,8,1500,1,1,200,5,19,19,1014,100,NIL,NIL,NIL,,,,,
"['05:43', '02/01']",02/01 05:43,160,3,1500,1,1,200,5,19,19,1013,100,NIL,NIL,NIL,,,,,
"['06:00', '02/01']",02/01 06:00,0,0,2000,1,1,200,5,19,19,1013,100,NIL,NIL,NIL,,,,,
"['06:19', '02/01']",02/01 06:19,80,4,4000,1,1,1500,5,19,19,1013,100,NIL,NIL,NIL,,,,,
"['07:00', '02/01']",02/01 07:00,0,0,4000,1,NIL,1200,5,19,19,1013,100,NIL,NIL,NIL,,,,,
"['07:33', '02/01']",02/01 07:33,50,5,900,NIL,NIL,1200,5,19,19,1013,100,NIL,1,NIL,,,,,
"['08:00', '02/01']",02/01 08:00,40,5,600,NIL,NIL,100,8,19,19,1014,100,NIL,1,NIL,,,,,
"['08:32', '02/01']",02/01 08:32,360,5,1500,NIL,NIL,200,5,19,19,1014,100,NIL,NIL,1,,,,,
"['09:00', '02/01']",02/01 09:00,200,2,2000,NIL,NIL,200,5,19,19,1014,100,NIL,1,NIL,,,,,
"['09:13', '02/01']",02/01 09:13,0,0,3000,NIL,NIL,10000,5,20,19,1014,94,NIL,1,NIL,,,,,
"['09:27', '02/01']",02/01 09:27,100,2,3000,NIL,NIL,200,5,20,19,1015,94,NIL,1,NIL,,,,,
"['10:00', '02/01']",02/01 10:00,30,4,3000,NIL,NIL,200,5,20,20,1015,100,NIL,1,NIL,,,,,
"['11:00', '02/01']",02/01 11:00,330,5,9999,NIL,NIL,400,5,21,20,1015,94,NIL,NIL,NIL,,,,,
"['12:00', '02/01']",02/01 12:00,320,6,9999,NIL,NIL,800,5,23,20,1015,83,NIL,NIL,NIL,,,,,
"['12:33', '02/01']",02/01 12:33,310,7,9999,NIL,NIL,1500,5,23,20,1015,83,NIL,NIL,NIL,,,,,
"['13:00', '02/01']",02/01 13:00,320,9,9999,NIL,NIL,2000,5,24,20,1015,78,NIL,NIL,NIL,,,,,
"['14:00', '02/01']",02/01 14:00,310,12,9999,NIL,NIL,2500,5,25,19,1015,69,NIL,NIL,NIL,,,,,
"['15:00', '02/01']",02/01 15:00,320,10,9999,NIL,NIL,3000,5,26,19,1014,65,NIL,NIL,NIL,,,,,
"['16:00', '02/01']",02/01 16:00,310,12,9999,NIL,NIL,3500,5,27,19,1013,62,NIL,NIL,NIL,,,,,
"['17:00', '02/01']",02/01 17:00,300,22,800,1,1,1200,5,21,20,1013,94,32,NIL,NIL,,,,,
"['17:19', '02/01']",02/01 17:19,340,12,3500,1,1,1200,5,21,21,1013,100,22,NIL,NIL,,,,,
"['18:00', '02/01']",02/01 18:00,330,17,2000,1,1,1000,5,20,20,1013,100,NIL,NIL,NIL,,,,,
"['18:15', '02/01']",02/01 18:15,340,15,5000,1,1,1000,5,20,20,1012,100,NIL,NIL,NIL,,,,,
"['19:00', '02/01']",02/01 19:00,330,9,9999,NIL,1,10000,5,22,20,1012,88,NIL,NIL,NIL,,,,,
"['20:00', '02/01']",02/01 20:00,300,6,9999,NIL,NIL,10000,5,22,20,1013,88,NIL,NIL,NIL,,,,,
"['21:00', '02/01']",02/01 21:00,190,3,9999,NIL,NIL,10000,5,22,20,1013,88,NIL,NIL,NIL,,,,,
"['22:00', '02/01']",02/01 22:00,170,3,9999,NIL,NIL,2500,5,21,20,1014,94,NIL,NIL,NIL,,,,,
"['23:00', '02/01']",02/01 23:00,0,0,9999,NIL,NIL,2500,5,21,20,1014,94,NIL,NIL,NIL,,,,,
"['00:00', '03/01']",03/01 00:00,300,1,9999,NIL,NIL,10000,5,21,20,1015,94,NIL,NIL,NIL,,,,,
"['01:00', '03/01']",03/01 01:00,10,5,9999,NIL,NIL,10000,5,21,20,1016,94,,NIL,NIL,NIL,,,,
"['02:00', '03/01']",03/01 02:00,20,4,9999,NIL,NIL,10000,5,21,20,1015,94,,NIL,NIL,NIL,,,,
"['03:00', '03/01']",03/01 03:00,20,2,9999,NIL,NIL,10000,5,20,20,1015,100,,NIL,NIL,NIL,,,,
"['04:00', '03/01']",03/01 04:00,40,3,9999,NIL,NIL,10000,5,20,20,1015,100,,NIL,NIL,NIL,,,,
"['05:00', '03/01']",03/01 05:00,40,3,9999,NIL,NIL,10000,5,21,20,1014,94,,NIL,NIL,NIL,,,,
"['06:00', '03/01']",03/01 06:00,40,1,9999,NIL,NIL,10000,5,21,20,1014,94,,NIL,NIL,NIL,,,,
"['07:00', '03/01']",03/01 07:00,350,3,9999,NIL,NIL,10000,5,20,20,1014,100,,NIL,NIL,NIL,,,,
"['08:00', '03/01']",03/01 08:00,20,4,900,NIL,NIL,10000,5,20,20,1014,100,,1,NIL,NIL,,,,
"['09:00', '03/01']",03/01 09:00,340,4,3000,NIL,NIL,10000,5,20,20,1015,100,,1,1,NIL,,,,
"['10:00', '03/01']",03/01 10:00,340,7,4000,NIL,NIL,300,5,21,20,1015,94,,NIL,1,NIL,,,,
"['11:00', '03/01']",03/01 11:00,340,8,8000,NIL,NIL,700,5,22,20,1015,88,,NIL,NIL,NIL,,,,
"['12:00', '03/01']",03/01 12:00,310,8,9999,NIL,NIL,1100,5,22,20,1015,88,,NIL,NIL,NIL,,,,
"['12:12', '03/01']",03/01 12:12,320,7,9999,NIL,NIL,1500,5,23,20,1015,83,,NIL,NIL,NIL,,,,
"['13:00', '03/01']",03/01 13:00,320,7,9999,NIL,NIL,1500,5,24,20,1015,78,,NIL,NIL,NIL,,,,
"['14:00', '03/01']",03/01 14:00,290,9,5000,1,NIL,1500,5,23,20,1015,83,,NIL,NIL,NIL,,,,
"['15:00', '03/01']",03/01 15:00,0,0,8000,1,NIL,7000,5,22,21,1014,94,,NIL,NIL,NIL,,,,
"['15:35', '03/01']",03/01 15:35,240,2,6000,1,NIL,3000,5,23,21,1014,89,,NIL,NIL,NIL,,,,
"['16:00', '03/01']",03/01 16:00,200,3,5000,1,NIL,3000,5,22,21,1014,94,,NIL,NIL,NIL,,,,
"['17:00', '03/01']",03/01 17:00,290,4,3000,1,NIL,3000,5,22,21,1013,94,,NIL,NIL,NIL,,,,
"['17:20', '03/01']",03/01 17:20,230,2,4000,1,1,3000,5,20,20,1013,100,,NIL,NIL,NIL,,,,
"['18:00', '03/01']",03/01 18:00,220,3,9999,1,1,8000,5,20,20,1013,100,,NIL,NIL,NIL,,,,
"['19:00', '03/01']",03/01 19:00,60,4,9999,NIL,NIL,NIL,3,22,20,1012,88,,NIL,NIL,NIL,,,,
"['20:00', '03/01']",03/01 20:00,270,2,9999,NIL,NIL,8000,5,25,19,1012,69,,NIL,NIL,NIL,,,,
"['21:00', '03/01']",03/01 21:00,30,5,9999,NIL,NIL,8000,5,23,21,1012,89,,NIL,NIL,NIL,,,,
"['22:00', '03/01']",03/01 22:00,30,6,9999,NIL,NIL,8000,5,22,20,1013,88,,NIL,NIL,NIL,,,,
"['23:00', '03/01']",03/01 23:00,360,4,9999,NIL,NIL,NIL,NIL,22,21,1014,94,,NIL,NIL,NIL,,,,
"['00:00', '04/01']",04/01 00:00,320,7,9999,NIL,NIL,1700,5,21,21,1015,100,,NIL,NIL,1,,,,
"['00:24', '04/01']",04/01 00:24,280,7,6000,1,NIL,800,5,20,19,1015,94,,NIL,NIL,NIL,,,,
"['01:00', '04/01']",04/01 01:00,220,4,6000,1,1,600,5,19,19,1016,100,,NIL,NIL,,NIL,,,
"['02:00', '04/01']",04/01 02:00,120,2,6000,1,1,3000,8,20,19,1015,94,,NIL,NIL,,NIL,,,
"['03:00', '04/01']",04/01 03:00,120,2,4000,NIL,1,200,5,19,19,1015,100,,NIL,1,,NIL,,,
"['04:00', '04/01']",04/01 04:00,40,4,4000,NIL,NIL,200,5,19,19,1014,100,,NIL,1,,NIL,,,
"['05:00', '04/01']",04/01 05:00,20,4,3000,NIL,NIL,200,5,19,19,1013,100,,NIL,1,,NIL,,,
"['06:00', '04/01']",04/01 06:00,350,5,9999,1,NIL,1100,8,19,19,1013,100,,NIL,NIL,,NIL,,,
"['07:00', '04/01']",04/01 07:00,350,5,5000,NIL,NIL,200,5,19,19,1013,100,,NIL,1,,NIL,,,
"['08:00', '04/01']",04/01 08:00,350,5,5000,NIL,NIL,300,5,19,19,1014,100,,NIL,1,,NIL,,,
"['09:00', '04/01']",04/01 09:00,360,8,3000,NIL,NIL,200,5,19,19,1014,100,,NIL,1,,NIL,,,
"['09:14', '04/01']",04/01 09:14,360,7,800,NIL,NIL,NIL,NIL,19,19,1014,100,,1,NIL,,NIL,,,
"['09:44', '04/01']",04/01 09:44,350,6,4000,NIL,NIL,200,8,20,19,1014,94,,NIL,1,,NIL,,,
"['10:00', '04/01']",04/01 10:00,340,6,4000,NIL,NIL,200,8,20,19,1014,94,,NIL,1,,NIL,,,
"['11:00', '04/01']",04/01 11:00,330,8,6000,NIL,NIL,400,8,20,19,1015,94,,NIL,NIL,,NIL,,,
"['12:00', '04/01']",04/01 12:00,330,9,9999,NIL,NIL,900,8,21,20,1015,94,,NIL,NIL,,NIL,,,
"['13:00', '04/01']",04/01 13:00,350,12,9999,NIL,NIL,1100,8,22,20,1014,88,,NIL,NIL,,NIL,,,
"['14:00', '04/01']",04/01 14:00,330,11,9999,NIL,NIL,1100,8,22,20,1015,88,,NIL,NIL,,NIL,,,
"['15:00', '04/01']",04/01 15:00,350,7,9999,NIL,NIL,1300,5,23,20,1014,83,,NIL,NIL,,NIL,,,
"['16:00', '04/01']",04/01 16:00,320,6,9999,NIL,NIL,1500,5,24,20,1014,78,,NIL,NIL,,NIL,,,
"['17:00', '04/01']",04/01 17:00,330,13,9999,1,NIL,1500,5,23,20,1013,83,,NIL,NIL,,1,,,
"['17:22', '04/01']",04/01 17:22,320,13,4000,1,NIL,1500,5,22,21,1012,94,,NIL,NIL,,1,,,
"['18:00', '04/01']",04/01 18:00,340,9,9000,NIL,NIL,3000,5,23,22,1012,94,,NIL,NIL,,NIL,,,
"['19:00', '04/01']",04/01 19:00,320,8,9999,NIL,NIL,3000,5,24,21,1011,83,,NIL,NIL,,NIL,,,
"['20:00', '04/01']",04/01 20:00,280,5,9999,NIL,NIL,3000,5,26,21,1010,74,,NIL,NIL,,NIL,,,
"['21:00', '04/01']",04/01 21:00,330,5,9999,NIL,NIL,NIL,3,24,20,1011,78,,NIL,NIL,,NIL,,,
"['22:00', '04/01']",04/01 22:00,360,6,9999,NIL,NIL,NIL,3,24,20,1011,78,,NIL,NIL,,NIL,,,
"['23:00', '04/01']",04/01 23:00,340,7,9999,NIL,NIL,NIL,2,23,19,1013,78,,NIL,NIL,,NIL,,,
"['00:00', '05/01']",05/01 00:00,350,8,9999,NIL,NIL,NIL,2,23,20,1013,83,,NIL,NIL,,NIL,,,
"['01:00', '05/01']",05/01 01:00,340,7,9999,NIL,,NIL,2,22,20,1014,88,NIL,,,NIL,NIL,,,
"['01:48', '05/01']",05/01 01:48,230,3,4000,1,,1300,5,21,20,1014,94,NIL,,,NIL,NIL,,,
"['02:00', '05/01']",05/01 02:00,240,2,9999,1,,NIL,3,21,20,1014,94,NIL,,,NIL,NIL,,,
"['02:28', '05/01']",05/01 02:28,300,4,4000,1,,1300,5,21,20,1014,94,NIL,,,NIL,NIL,,,
"['02:45', '05/01']",05/01 02:45,280,7,2000,1,,1300,5,21,21,1013,100,NIL,,,NIL,NIL,,,
"['02:52', '05/01']",05/01 02:52,330,9,8000,1,,1300,5,21,21,1013,100,NIL,,,NIL,NIL,,,
"['03:00', '05/01']",05/01 03:00,330,8,9999,NIL,,1500,5,21,21,1013,100,NIL,,,NIL,NIL,,,
"['04:00', '05/01']",05/01 04:00,100,1,9999,NIL,,1100,5,20,20,1013,100,NIL,,,NIL,NIL,,,
"['05:00', '05/01']",05/01 05:00,320,6,4000,1,,900,5,21,21,1012,100,NIL,,,NIL,NIL,,,
"['06:00', '05/01']",05/01 06:00,340,12,9999,NIL,,700,5,21,20,1011,94,NIL,,,NIL,NIL,,,
"['06:08', '05/01']",05/01 06:08,340,14,5000,1,,700,5,21,20,1011,94,NIL,,,NIL,NIL,,,
"['07:00', '05/01']",05/01 07:00,330,11,8000,NIL,,1000,5,20,20,1012,100,NIL,,,NIL,NIL,,,
"['08:00', '05/01']",05/01 08:00,330,10,9999,NIL,,1100,5,20,20,1013,100,NIL,,,NIL,NIL,,,
"['09:00', '05/01']",05/01 09:00,340,11,9999,NIL,,600,5,20,19,1013,94,NIL,,,NIL,NIL,,,
"['10:00', '05/01']",05/01 10:00,340,9,9999,NIL,,600,5,20,19,1014,94,NIL,,,NIL,NIL,,,
"['11:00', '05/01']",05/01 11:00,330,9,9999,NIL,,1300,5,21,20,1015,94,NIL,,,NIL,NIL,,,
"['12:00', '05/01']",05/01 12:00,350,8,9999,NIL,,1000,8,21,20,1015,94,NIL,,,1,NIL,,,
"['12:23', '05/01']",05/01 12:23,330,8,4000,NIL,,1000,8,21,20,1016,94,NIL,,,1,NIL,,,
"['13:00', '05/01']",05/01 13:00,330,7,9999,NIL,,900,5,23,20,1015,83,NIL,,,NIL,NIL,,,
"['13:15', '05/01']",05/01 13:15,330,8,4000,NIL,,900,5,22,21,1015,94,NIL,,,1,NIL,,,
"['13:40', '05/01']",05/01 13:40,310,6,9999,NIL,,900,5,23,21,1015,89,NIL,,,NIL,NIL,,,
"['14:00', '05/01']",05/01 14:00,310,7,9999,NIL,,1200,5,24,20,1015,78,NIL,,,NIL,NIL,,,
"['14:30', '05/01']",05/01 14:30,360,6,9999,NIL,,2500,5,24,20,1014,78,NIL,,,NIL,NIL,,,
"['15:00', '05/01']",05/01 15:00,340,7,9999,NIL,,3000,5,25,21,1014,79,NIL,,,NIL,NIL,,,
"['16:00', '05/01']",05/01 16:00,340,7,9999,NIL,,2500,5,26,20,1013,70,NIL,,,NIL,NIL,,,
"['17:00', '05/01']",05/01 17:00,360,12,9999,1,,900,5,26,20,1012,70,23,,,NIL,1,,,
"['17:28', '05/01']",05/01 17:28,20,10,4000,1,,600,5,21,20,1013,94,NIL,,,NIL,NIL,,,
"['18:00', '05/01']",05/01 18:00,30,11,9999,1,,3000,5,21,20,1012,94,NIL,,,NIL,NIL,,,
"['19:00', '05/01']",05/01 19:00,30,6,9999,NIL,,7000,5,24,21,1012,83,NIL,,,NIL,NIL,,,
"['20:00', '05/01']",05/01 20:00,360,3,9999,NIL,,NIL,3,24,21,1012,83,NIL,,,NIL,NIL,,,
"['21:00', '05/01']",05/01 21:00,360,4,9999,NIL,,NIL,3,24,21,1011,83,NIL,,,NIL,NIL,,,
"['22:00', '05/01']",05/01 22:00,340,4,9999,NIL,,NIL,3,24,20,1012,78,NIL,,,NIL,NIL,,,
"['23:00', '05/01']",05/01 23:00,50,2,9999,NIL,,NIL,NIL,23,21,1013,89,NIL,,,NIL,NIL,,,
"['00:00', '06/01']",06/01 00:00,40,3,9999,NIL,,NIL,3,23,21,1014,89,NIL,,,NIL,NIL,,,
"['01:00', '06/01']",06/01 01:00,330,8,9999,NIL,,8000,5,23,21,1014,89,,,,,,,,
"['02:00', '06/01']",06/01 02:00,320,10,9999,NIL,,8000,5,22,20,1014,88,,,,,,,,
"['03:00', '06/01']",06/01 03:00,330,10,9999,NIL,,8000,5,22,20,1014,88,,,,,,,,
"['04:00', '06/01']",06/01 04:00,330,7,9999,NIL,,7000,5,21,20,1013,94,,,,,,,,
"['05:00', '06/01']",06/01 05:00,330,7,9999,NIL,,7000,5,21,20,1014,94,,,,,,,,
"['06:00', '06/01']",06/01 06:00,330,5,9999,NIL,,7000,5,21,20,1014,94,,,,,,,,
"['07:00', '06/01']",06/01 07:00,340,6,9999,NIL,,7000,5,21,20,1013,94,,,,,,,,
"['08:00', '06/01']",06/01 08:00,340,5,9999,NIL,,7000,5,21,20,1014,94,,,,,,,,
"['09:00', '06/01']",06/01 09:00,320,6,9999,NIL,,NIL,3,21,19,1015,88,,,,,,,,
"['10:00', '06/01']",06/01 10:00,330,6,9999,NIL,,1900,5,21,20,1016,94,,,,,,,,
"['11:00', '06/01']",06/01 11:00,330,8,5000,1,,1500,5,21,20,1016,94,,,,,,,,
"['12:00', '06/01']",06/01 12:00,310,9,9999,NIL,,1900,5,23,19,1016,78,,,,,,,,
"['13:00', '06/01']",06/01 13:00,320,7,9999,NIL,,3000,5,23,20,1017,83,,,,,,,,
"['14:00', '06/01']",06/01 14:00,330,7,9999,NIL,,2500,5,24,19,1016,74,,,,,,,,
"['15:00', '06/01']",06/01 15:00,310,9,9999,NIL,,NIL,3,26,19,1016,65,,,,,,,,
"['16:00', '06/01']",06/01 16:00,310,10,9999,NIL,,5000,5,27,20,1015,66,,,,,,,,
"['17:00', '06/01']",06/01 17:00,300,7,9999,NIL,,3300,5,27,20,1014,66,,,,,,,,
"['18:00', '06/01']",06/01 18:00,310,8,9999,NIL,,3700,5,28,19,1013,58,,,,,,,,
"['19:00', '06/01']",06/01 19:00,340,7,9999,NIL,,NIL,3,28,19,1013,58,,,,,,,,
"['20:00', '06/01']",06/01 20:00,340,5,9999,NIL,,NIL,3,28,19,1013,58,,,,,,,,
"['21:00', '06/01']",06/01 21:00,350,5,9999,NIL,,NIL,3,27,19,1013,62,,,,,,,,
"['22:00', '06/01']",06/01 22:00,10,6,9999,NIL,,NIL,2,26,19,1014,65,,,,,,,,
"['23:00', '06/01']",06/01 23:00,20,5,9999,NIL,,NIL,NIL,26,19,1015,65,,,,,,,,
"['00:00', '07/01']",07/01 00:00,340,3,9999,NIL,,NIL,NIL,25,19,1016,69,,,,,,,,
"['01:00', '07/01']",07/01 01:00,40,3,9999,,NIL,NIL,NIL,26,19,1016,65,,NIL,,,,,,
"['02:00', '07/01']",07/01 02:00,60,4,9999,,NIL,NIL,NIL,25,19,1016,69,,NIL,,,,,,
"['03:00', '07/01']",07/01 03:00,210,2,9999,,NIL,NIL,NIL,23,20,1016,83,,NIL,,,,,,
"['04:00', '07/01']",07/01 04:00,150,3,9999,,NIL,NIL,NIL,22,20,1016,88,,NIL,,,,,,
"['05:00', '07/01']",07/01 05:00,270,4,9999,,NIL,NIL,NIL,21,20,1015,94,,NIL,,,,,,
"['06:00', '07/01']",07/01 06:00,340,2,9999,,NIL,NIL,NIL,22,20,1015,88,,NIL,,,,,,
"['07:00', '07/01']",07/01 07:00,330,2,9999,,NIL,NIL,NIL,21,20,1016,94,,NIL,,,,,,
"['08:00', '07/01']",07/01 08:00,360,1,9999,,NIL,NIL,NIL,21,20,1016,94,,NIL,,,,,,
"['09:00', '07/01']",07/01 09:00,40,6,9999,,NIL,NIL,NIL,21,20,1017,94,,1,,,,,,
"['10:00', '07/01']",07/01 10:00,30,7,9999,,NIL,1500,5,22,20,1017,88,,NIL,,,,,,
"['11:00', '07/01']",07/01 11:00,340,5,9999,,NIL,800,5,23,21,1018,89,,NIL,,,,,,
"['12:00', '07/01']",07/01 12:00,340,8,9999,,NIL,900,5,24,21,1018,83,,NIL,,,,,,
"['13:00', '07/01']",07/01 13:00,30,8,9999,,NIL,1500,5,26,22,1018,79,,NIL,,,,,,
"['13:30', '07/01']",07/01 13:30,330,9,9999,,NIL,1700,5,26,21,1017,74,,NIL,,,,,,
"['14:00', '07/01']",07/01 14:00,320,8,9999,,NIL,2300,5,27,21,1017,70,,NIL,,,,,,
"['15:00', '07/01']",07/01 15:00,330,8,9999,,NIL,NIL,3,28,21,1017,66,,NIL,,,,,,
"['16:00', '07/01']",07/01 16:00,320,8,9999,,NIL,NIL,3,29,20,1016,58,,NIL,,,,,,
"['17:00', '07/01']",07/01 17:00,350,8,9999,,NIL,3800,5,29,20,1015,58,,NIL,,,,,,
"['18:00', '07/01']",07/01 18:00,350,8,9999,,NIL,NIL,3,30,20,1013,55,,NIL,,,,,,
"['19:00', '07/01']",07/01 19:00,340,9,9999,,NIL,NIL,3,30,19,1013,52,,NIL,,,,,,
"['20:00', '07/01']",07/01 20:00,30,7,9999,,NIL,4000,5,28,21,1013,66,,NIL,,,,,,
"['21:00', '07/01']",07/01 21:00,30,4,9999,,NIL,NIL,3,28,21,1014,66,,NIL,,,,,,
"['22:00', '07/01']",07/01 22:00,340,4,9999,,NIL,NIL,3,28,21,1014,66,,NIL,,,,,,
"['23:00', '07/01']",07/01 23:00,350,9,9999,,NIL,NIL,3,26,21,1015,74,,NIL,,,,,,
"['00:00', '08/01']",08/01 00:00,60,6,9999,,1,4000,5,24,21,1017,83,,NIL,,,,,,
"['01:00', '08/01']",08/01 01:00,120,4,9999,,,4000,5,23,20,1017,83,,NIL,,,,,,
"['02:00', '08/01']",08/01 02:00,140,3,9999,,,NIL,3,22,20,1017,88,,NIL,,,,,,
"['03:00', '08/01']",08/01 03:00,0,0,9999,,,NIL,3,22,20,1016,88,,NIL,,,,,,
"['04:00', '08/01']",08/01 04:00,140,3,9999,,,NIL,3,22,21,1016,94,,NIL,,,,,,
"['05:00', '08/01']",08/01 05:00,140,2,9999,,,NIL,2,21,21,0101,100,,NIL,,,,,,
"['06:00', '08/01']",08/01 06:00,130,3,9999,,,NIL,2,21,21,1015,100,,NIL,,,,,,
"['07:00', '08/01']",08/01 07:00,100,2,9999,,,NIL,3,21,21,1016,100,,NIL,,,,,,
"['08:00', '08/01']",08/01 08:00,150,2,9999,,,NIL,3,21,20,1016,94,,NIL,,,,,,
"['09:00', '08/01']",08/01 09:00,140,2,9999,,,NIL,3,21,20,1016,94,,NIL,,,,,,
"['10:00', '08/01']",08/01 10:00,170,2,9999,,,NIL,3,21,20,1017,94,,1,,,,,,
"['11:00', '08/01']",08/01 11:00,180,3,9999,,,NIL,2,24,21,1017,83,,NIL,,,,,,
"['12:00', '08/01']",08/01 12:00,120,2,9999,,,NIL,2,27,21,1018,70,,NIL,,,,,,
"['13:00', '08/01']",08/01 13:00,270,2,9999,,,NIL,3,28,21,1018,66,,NIL,,,,,,
"['14:00', '08/01']",08/01 14:00,360,5,9999,,,3000,5,28,21,1018,66,,NIL,,,,,,
"['15:00', '08/01']",08/01 15:00,310,6,9999,,,4000,5,29,21,1017,62,,NIL,,,,,,
"['16:00', '08/01']",08/01 16:00,330,7,9999,,,4000,5,30,20,1016,55,,NIL,,,,,,
"['17:00', '08/01']",08/01 17:00,290,7,9999,,,4000,5,31,19,1015,49,,NIL,,,,,,
"['18:00', '08/01']",08/01 18:00,250,8,9999,,,4000,5,31,20,1015,52,,NIL,,,,,,
"['19:00', '08/01']",08/01 19:00,210,14,9999,,,NIL,3,25,19,1014,69,,NIL,,,,,,
"['20:00', '08/01']",08/01 20:00,100,6,9999,,,10000,5,25,19,1015,69,,NIL,,,,,,
"['21:00', '08/01']",08/01 21:00,180,3,9999,,,10000,5,25,20,1016,74,,NIL,,,,,,
"['22:00', '08/01']",08/01 22:00,260,3,9999,,,10000,5,24,20,1017,78,,NIL,,,,,,
"['23:00', '08/01']",08/01 23:00,160,3,9999,,,NIL,NIL,23,20,1017,83,,NIL,,,,,,
"['00:00', '09/01']",09/01 00:00,130,6,9999,,,NIL,NIL,24,20,1017,78,,NIL,,,,,,
"['01:00', '09/01']",09/01 01:00,140,4,9999,NIL,NIL,NIL,NIL,22,20,1017,88,NIL,NIL,,,NIL,,,
"['02:00', '09/01']",09/01 02:00,190,2,9999,NIL,NIL,NIL,NIL,22,20,1018,88,NIL,NIL,,,NIL,,,
"['03:00', '09/01']",09/01 03:00,90,4,9999,NIL,NIL,NIL,NIL,23,19,1017,78,NIL,NIL,,,NIL,,,
"['04:00', '09/01']",09/01 04:00,160,3,9999,NIL,NIL,NIL,NIL,21,20,1016,94,NIL,NIL,,,NIL,,,
"['05:00', '09/01']",09/01 05:00,130,4,9999,NIL,NIL,NIL,NIL,21,19,1016,88,NIL,NIL,,,NIL,,,
"['06:00', '09/01']",09/01 06:00,0,0,9999,NIL,NIL,NIL,NIL,21,20,1015,94,NIL,NIL,,,NIL,,,
