validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,vis_setor,vis_setor_dir,vnt_rajada,nevoeiro,trovoada,chuvisco,nevoa_umida
"['09:00', '22/08']",22/08 09:00,0,0,NIL,9999,,NIL,24,23,1009,94,,,,,,,,,
"['10:00', '22/08']",22/08 10:00,0,0,NIL,9999,,NIL,23,23,1009,100,,,,,,,,,
"['11:00', '22/08']",22/08 11:00,0,0,NIL,9999,,NIL,24,23,1010,94,,,,,,,,,
"['12:00', '22/08']",22/08 12:00,10,4,NIL,9999,,NIL,28,24,1011,79,,,,,,,,,
"['13:00', '22/08']",22/08 13:00,360,6,185,9999,,NIL,30,24,1011,70,,,,,,,,,
"['14:00', '22/08']",22/08 14:00,360,6,190,9999,,NIL,32,24,1011,63,,,,,,,,,
"['15:00', '22/08']",22/08 15:00,350,6,170,9999,,2,33,24,1011,59,,,,,,,,,
"['16:00', '22/08']",22/08 16:00,80,7,235,9999,,2,34,23,1010,53,,,,,,,,,
"['17:00', '22/08']",22/08 17:00,70,6,65,9999,,2,34,23,1009,53,,,,,,,,,
"['18:00', '22/08']",22/08 18:00,80,12,NIL,9999,,3,34,20,1008,44,,,,,,,,,
"['19:00', '22/08']",22/08 19:00,70,9,NIL,9999,,2,35,21,1007,44,,,,,,,,,
"['20:00', '22/08']",22/08 20:00,90,8,NIL,9999,,2,34,21,1006,47,,,,,,,,,
"['21:00', '22/08']",22/08 21:00,90,8,NIL,9999,,2,34,21,1006,47,,,,,,,,,
"['22:00', '22/08']",22/08 22:00,50,6,NIL,9999,,2,32,22,1007,56,,,,,,,,,
"['23:00', '22/08']",22/08 23:00,300,3,NIL,9999,,2,28,23,1007,74,,,,,,,,,
"['00:00', '23/08']",23/08 00:00,0,0,NIL,9999,,NIL,27,24,1007,84,,,,,,,,,
"['01:00', '23/08']",23/08 01:00,0,0,NIL,9999,,NIL,26,24,1008,89,,,,,,,,,
"['02:00', '23/08']",23/08 02:00,0,0,NIL,9999,,NIL,25,24,1009,94,,,,,,,,,
"['03:00', '23/08']",23/08 03:00,0,0,NIL,9999,,NIL,25,24,1009,94,,,,,,,,,
"['04:00', '23/08']",23/08 04:00,50,3,NIL,9999,,NIL,26,23,1009,84,,,,,,,,,
"['05:00', '23/08']",23/08 05:00,0,0,NIL,9999,,NIL,24,23,1008,94,,,,,,,,,
"['06:00', '23/08']",23/08 06:00,300,4,NIL,9999,,NIL,23,22,1008,94,,,,,,,,,
"['07:00', '23/08']",23/08 07:00,0,0,NIL,9999,,NIL,24,22,1007,89,,,,,,,,,
"['08:00', '23/08']",23/08 08:00,20,2,NIL,9999,,NIL,23,22,1007,94,,,,,,,,,
"['09:00', '23/08']",23/08 09:00,350,2,NIL,9999,,NIL,22,22,1008,100,,,,,,,,,
"['10:00', '23/08']",23/08 10:00,20,2,NIL,9999,,NIL,22,22,1008,100,,,,,,,,,
"['11:00', '23/08']",23/08 11:00,10,2,NIL,9999,,NIL,24,22,1009,89,,,,,,,,,
"['12:00', '23/08']",23/08 12:00,360,4,NIL,9999,,NIL,27,23,1009,79,,,,,,,,,
"['13:00', '23/08']",23/08 13:00,30,7,NIL,9999,,NIL,31,21,1010,55,,,,,,,,,
"['14:00', '23/08']",23/08 14:00,40,11,NIL,9999,,NIL,32,21,1010,52,,,,,,,,,
"['15:00', '23/08']",23/08 15:00,40,8,NIL,9999,,NIL,33,21,1010,49,,,,,,,,,
