validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,vis_setor,vis_setor_dir,vnt_rajada,nevoeiro,trovoada,chuvisco,nevoa_umida
"['01:00', '01/01']",01/01 01:00,0,0,NIL,9999,NIL,NIL,27,24,1010,84,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,310,1,NIL,9999,NIL,NIL,25,24,1010,94,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,310,3,NIL,9999,NIL,NIL,25,24,1011,94,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,300,3,NIL,9999,NIL,NIL,24,23,1011,94,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,360,1,NIL,9999,NIL,NIL,24,23,1010,94,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,0,0,NIL,9999,NIL,NIL,24,23,1010,94,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,30,2,NIL,9999,NIL,NIL,24,23,1011,94,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,70,3,NIL,9999,NIL,2,25,24,1011,94,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,60,2,NIL,9999,NIL,NIL,25,23,1012,89,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,70,2,NIL,9999,NIL,3,25,24,1013,94,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,50,2,NIL,9999,10000,5,25,24,1013,94,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,90,3,NIL,9999,10000,5,26,24,1014,89,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,60,6,NIL,9999,NIL,2,27,24,1014,84,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,60,7,NIL,9999,NIL,3,29,24,1014,74,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,60,8,60,9999,2000,5,30,24,1014,70,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,50,7,NIL,9999,2000,5,31,24,1013,66,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,60,9,230,9999,NIL,3,32,23,1012,59,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,60,8,60,9999,NIL,3,33,23,1010,56,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,60,6,NIL,9999,NIL,3,32,23,1009,59,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,60,7,NIL,9999,NIL,3,32,23,1008,59,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,90,6,NIL,9999,NIL,2,32,23,1008,59,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,70,6,NIL,9999,NIL,2,31,23,1008,63,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,100,4,NIL,9999,NIL,NIL,29,24,1009,74,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,80,4,NIL,9999,NIL,NIL,29,24,1009,74,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,90,3,NIL,9999,NIL,NIL,28,24,1010,79,NIL,NIL,,,,,,,
"['02:00', '02/01']",02/01 02:00,100,3,NIL,9999,NIL,NIL,28,24,1011,79,NIL,NIL,,,,,,,
"['03:00', '02/01']",02/01 03:00,330,3,NIL,9999,NIL,NIL,25,24,1012,94,NIL,NIL,,,,,,,
"['04:00', '02/01']",02/01 04:00,30,1,NIL,9999,NIL,NIL,26,24,1011,89,NIL,NIL,,,,,,,
"['05:00', '02/01']",02/01 05:00,20,1,NIL,9999,NIL,NIL,25,24,1011,94,NIL,NIL,,,,,,,
"['06:00', '02/01']",02/01 06:00,330,2,NIL,9999,NIL,NIL,24,24,1011,100,NIL,NIL,,,,,,,
"['07:00', '02/01']",02/01 07:00,0,0,NIL,9999,NIL,NIL,25,23,1011,89,NIL,NIL,,,,,,,
"['08:00', '02/01']",02/01 08:00,40,2,NIL,9999,NIL,NIL,24,23,1010,94,NIL,NIL,,,,,,,
"['09:00', '02/01']",02/01 09:00,30,2,NIL,9999,NIL,NIL,24,23,1011,94,NIL,NIL,,,,,,,
"['10:00', '02/01']",02/01 10:00,0,0,NIL,9999,NIL,NIL,24,23,1011,94,NIL,NIL,,,,,,,
"['11:00', '02/01']",02/01 11:00,0,0,NIL,9999,NIL,NIL,25,23,1011,89,NIL,NIL,,,,,,,
"['12:00', '02/01']",02/01 12:00,350,2,NIL,9999,NIL,NIL,28,24,1012,79,NIL,NIL,,,,,,,
"['13:00', '02/01']",02/01 13:00,60,8,NIL,9999,NIL,2,30,24,1012,70,NIL,NIL,,,,,,,
"['14:00', '02/01']",02/01 14:00,30,5,NIL,9999,NIL,2,31,24,1012,66,NIL,NIL,,,,,,,
"['15:00', '02/01']",02/01 15:00,10,3,NIL,9999,NIL,3,32,23,1012,59,NIL,NIL,,,,,,,
"['16:00', '02/01']",02/01 16:00,70,5,NIL,9999,NIL,3,32,23,1011,59,NIL,NIL,,,,,,,
"['17:00', '02/01']",02/01 17:00,30,4,NIL,9999,NIL,3,33,23,1010,56,NIL,NIL,,,,,,,
"['18:00', '02/01']",02/01 18:00,60,5,NIL,9999,NIL,3,33,23,1008,56,NIL,NIL,,,,,,,
"['19:00', '02/01']",02/01 19:00,360,5,NIL,9999,NIL,3,32,23,1006,59,NIL,NIL,,,,,,,
"['20:00', '02/01']",02/01 20:00,340,5,NIL,9999,NIL,3,32,23,1006,59,NIL,NIL,,,,,,,
"['21:00', '02/01']",02/01 21:00,20,5,NIL,9999,NIL,2,33,23,1005,56,NIL,NIL,,,,,,,
"['22:00', '02/01']",02/01 22:00,10,7,200,9999,NIL,3,32,24,1006,63,1,1,,,,,,,
"['23:00', '02/01']",02/01 23:00,120,4,125,9999,10000,5,26,24,1007,89,1,1,,,,,,,
"['00:00', '03/01']",03/01 00:00,150,3,NIL,9999,10000,5,27,24,1008,84,NIL,NIL,,,,,,,
"['01:00', '03/01']",03/01 01:00,310,3,,9999,NIL,3,26,24,1010,89,NIL,NIL,NIL,NIL,,,,,
"['02:00', '03/01']",03/01 02:00,320,5,,9999,NIL,3,26,24,1010,89,NIL,NIL,NIL,NIL,,,,,
"['03:00', '03/01']",03/01 03:00,330,3,,9999,NIL,2,25,24,1010,94,NIL,NIL,NIL,NIL,,,,,
"['04:00', '03/01']",03/01 04:00,300,4,,9999,NIL,2,25,23,1010,89,NIL,NIL,NIL,NIL,,,,,
"['05:00', '03/01']",03/01 05:00,310,2,,9999,NIL,3,25,23,1010,89,NIL,NIL,NIL,NIL,,,,,
"['06:00', '03/01']",03/01 06:00,310,3,,9999,NIL,3,24,23,1009,94,NIL,NIL,NIL,NIL,,,,,
"['07:00', '03/01']",03/01 07:00,290,2,,9999,NIL,3,24,23,1009,94,NIL,NIL,NIL,NIL,,,,,
"['08:00', '03/01']",03/01 08:00,0,0,,9999,NIL,3,24,23,1009,94,NIL,NIL,NIL,NIL,,,,,
"['09:00', '03/01']",03/01 09:00,350,5,,9999,8000,5,24,23,1009,94,NIL,NIL,NIL,NIL,,,,,
"['10:00', '03/01']",03/01 10:00,310,3,,9999,8000,5,24,23,1010,94,NIL,NIL,NIL,NIL,,,,,
"['11:00', '03/01']",03/01 11:00,310,3,,9999,8000,5,24,23,1011,94,NIL,NIL,NIL,NIL,,,,,
"['11:15', '03/01']",03/01 11:15,290,2,,9999,600,5,24,24,1011,100,NIL,NIL,NIL,NIL,,,,,
"['12:00', '03/01']",03/01 12:00,240,2,,9999,600,5,25,24,1011,94,NIL,NIL,NIL,NIL,,,,,
"['13:00', '03/01']",03/01 13:00,300,2,,9999,700,5,26,24,1012,89,NIL,NIL,NIL,NIL,,,,,
"['14:00', '03/01']",03/01 14:00,280,2,,9999,7000,5,27,24,1012,84,NIL,NIL,NIL,NIL,,,,,
"['15:00', '03/01']",03/01 15:00,210,3,,9999,1500,5,28,24,1011,79,NIL,NIL,NIL,NIL,,,,,
"['16:00', '03/01']",03/01 16:00,260,5,,9999,8000,5,30,25,1010,75,1,1,3000,135,,,,,
"['16:26', '03/01']",03/01 16:26,330,13,,1500,8000,5,25,23,1010,89,1,1,NIL,NIL,,,,,
"['17:00', '03/01']",03/01 17:00,340,9,,3000,8000,5,24,23,1010,94,1,1,NIL,NIL,,,,,
"['17:15', '03/01']",03/01 17:15,10,5,,5000,8000,5,25,23,1009,89,1,NIL,NIL,NIL,,,,,
"['18:00', '03/01']",03/01 18:00,320,2,,9999,9000,5,27,24,1008,84,NIL,NIL,NIL,NIL,,,,,
"['19:00', '03/01']",03/01 19:00,310,4,,9999,1500,5,26,24,1008,89,NIL,NIL,NIL,NIL,,,,,
"['19:12', '03/01']",03/01 19:12,350,7,,4000,800,5,26,24,1008,89,1,NIL,NIL,NIL,,,,,
"['20:00', '03/01']",03/01 20:00,360,7,,9999,1500,5,24,22,1009,89,NIL,NIL,NIL,NIL,,,,,
"['21:00', '03/01']",03/01 21:00,340,2,,9999,9000,5,24,22,1009,89,1,NIL,NIL,NIL,,,,,
"['22:00', '03/01']",03/01 22:00,10,4,,6000,9000,5,23,22,1009,94,1,NIL,NIL,NIL,,,,,
"['23:00', '03/01']",03/01 23:00,350,2,,9999,9000,5,23,22,1009,94,1,NIL,NIL,NIL,,,,,
"['00:00', '04/01']",04/01 00:00,250,3,,9999,9000,5,23,22,1010,94,1,NIL,NIL,NIL,,,,,
"['01:00', '04/01']",04/01 01:00,160,2,,9999,9000,5,23,22,1010,94,1,,,,,,,,
"['02:00', '04/01']",04/01 02:00,70,4,,9999,10000,5,23,22,1010,94,NIL,,,,,,,,
"['03:00', '04/01']",04/01 03:00,120,2,,9999,10000,5,23,23,1010,100,NIL,,,,,,,,
"['04:00', '04/01']",04/01 04:00,80,2,,9999,8000,5,24,23,1011,94,1,,,,,,,,
"['05:00', '04/01']",04/01 05:00,10,4,,9999,NIL,3,24,23,1010,94,NIL,,,,,,,,
"['06:00', '04/01']",04/01 06:00,0,0,,9999,NIL,2,24,23,1010,94,NIL,,,,,,,,
"['07:00', '04/01']",04/01 07:00,0,0,,9999,NIL,2,24,23,1009,94,NIL,,,,,,,,
"['08:00', '04/01']",04/01 08:00,110,4,,9999,600,5,24,23,1009,94,NIL,,,,,,,,
"['09:00', '04/01']",04/01 09:00,0,0,,9999,600,5,24,23,1009,94,NIL,,,,,,,,
"['10:00', '04/01']",04/01 10:00,90,3,,9999,600,5,24,23,1010,94,NIL,,,,,,,,
"['10:32', '04/01']",04/01 10:32,60,4,,9999,10000,5,24,23,1010,94,NIL,,,,,,,,
"['11:00', '04/01']",04/01 11:00,70,3,,9999,10000,5,24,23,1011,94,NIL,,,,,,,,
"['11:24', '04/01']",04/01 11:24,60,2,,9999,600,5,25,23,1011,89,NIL,,,,,,,,
"['12:00', '04/01']",04/01 12:00,80,4,,9999,700,5,25,24,1012,94,NIL,,,,,,,,
"['12:31', '04/01']",04/01 12:31,70,5,,9999,NIL,3,26,23,1012,84,NIL,,,,,,,,
"['13:00', '04/01']",04/01 13:00,70,4,,9999,1600,5,26,23,1012,84,NIL,,,,,,,,
"['14:00', '04/01']",04/01 14:00,60,5,,9999,1300,5,27,24,1012,84,NIL,,,,,,,,
"['15:00', '04/01']",04/01 15:00,360,4,,9999,1700,5,27,24,1011,84,NIL,,,,,,,,
"['16:00', '04/01']",04/01 16:00,60,13,,9999,1600,5,27,24,1011,84,NIL,,,,,,,,
"['17:00', '04/01']",04/01 17:00,50,9,,9999,8000,5,27,23,1010,79,NIL,,,,,,,,
"['19:00', '04/01']",04/01 19:00,280,7,,9999,NIL,3,27,24,1009,84,NIL,,,,,,,,
"['20:00', '04/01']",04/01 20:00,260,4,,9999,10000,5,27,24,1008,84,NIL,,,,,,,,
"['21:00', '04/01']",04/01 21:00,250,3,,9999,NIL,3,27,24,1008,84,NIL,,,,,,,,
"['22:00', '04/01']",04/01 22:00,290,2,,9999,10000,5,26,24,1008,89,NIL,,,,,,,,
"['23:00', '04/01']",04/01 23:00,290,2,,9999,10000,5,26,24,1008,89,NIL,,,,,,,,
"['00:00', '05/01']",05/01 00:00,230,2,,9999,10000,5,25,24,1009,94,NIL,,,,,,,,
"['01:00', '05/01']",05/01 01:00,0,0,,9999,NIL,NIL,25,24,1010,94,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['02:00', '05/01']",05/01 02:00,310,2,,9999,NIL,NIL,25,24,1010,94,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['03:00', '05/01']",05/01 03:00,0,0,,9999,NIL,NIL,25,24,1010,94,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['04:00', '05/01']",05/01 04:00,320,2,,9999,NIL,3,25,24,1010,94,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['05:00', '05/01']",05/01 05:00,300,2,,9999,NIL,NIL,25,24,1010,94,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['06:00', '05/01']",05/01 06:00,170,2,,9999,NIL,NIL,24,24,1009,100,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['07:00', '05/01']",05/01 07:00,0,0,,9999,NIL,NIL,24,24,1009,100,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['08:00', '05/01']",05/01 08:00,290,3,,300,200,8,24,24,1008,100,NIL,NIL,NIL,NIL,NIL,1,NIL,,
"['08:22', '05/01']",05/01 08:22,350,1,,800,200,8,24,24,1009,100,NIL,NIL,NIL,NIL,NIL,1,NIL,,
"['09:00', '05/01']",05/01 09:00,360,1,,6000,NIL,3,24,24,1009,100,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['10:00', '05/01']",05/01 10:00,0,0,,9999,10000,5,24,23,1009,94,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['11:00', '05/01']",05/01 11:00,0,0,,9999,10000,5,24,24,1010,100,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['12:00', '05/01']",05/01 12:00,290,2,,9999,10000,5,25,24,1011,94,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['13:00', '05/01']",05/01 13:00,40,2,,9999,10000,5,27,24,1011,84,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['14:00', '05/01']",05/01 14:00,360,4,,9999,NIL,3,29,24,1011,74,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['15:00', '05/01']",05/01 15:00,30,6,,9999,2000,5,30,23,1011,66,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['16:00', '05/01']",05/01 16:00,60,9,,9999,2500,5,31,24,1010,66,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['17:00', '05/01']",05/01 17:00,30,7,,9999,2500,5,31,24,1008,66,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['18:00', '05/01']",05/01 18:00,20,3,,9999,NIL,3,30,24,1007,70,1,1,3000,135,NIL,NIL,NIL,,
"['18:50', '05/01']",05/01 18:50,40,22,,9999,2000,5,25,22,1008,83,NIL,NIL,3000,180,36,NIL,NIL,,
"['19:00', '05/01']",05/01 19:00,50,15,,9999,2000,5,24,22,1008,89,1,1,3000,180,NIL,NIL,1,,
"['20:00', '05/01']",05/01 20:00,330,6,,9999,10000,5,24,22,1007,89,NIL,NIL,NIL,NIL,NIL,NIL,1,,
"['21:00', '05/01']",05/01 21:00,360,5,,9999,10000,5,25,22,1007,83,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['22:00', '05/01']",05/01 22:00,10,3,,9999,10000,5,25,22,1008,83,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['23:00', '05/01']",05/01 23:00,30,4,,9999,NIL,3,24,23,1008,94,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,
"['00:00', '06/01']",06/01 00:00,40,6,,4000,10000,5,24,23,1010,94,1,NIL,NIL,NIL,NIL,NIL,NIL,,
"['00:17', '06/01']",06/01 00:17,60,8,,9999,10000,5,24,23,1009,94,1,NIL,NIL,NIL,NIL,NIL,NIL,,
"['01:00', '06/01']",06/01 01:00,30,2,NIL,9999,10000,5,24,23,1010,94,NIL,NIL,NIL,NIL,NIL,,,,
"['02:00', '06/01']",06/01 02:00,0,0,NIL,9999,9000,5,24,23,1010,94,NIL,NIL,NIL,NIL,NIL,,,,
"['03:00', '06/01']",06/01 03:00,360,4,NIL,9999,10000,5,24,22,1011,89,NIL,NIL,NIL,NIL,NIL,,,,
"['04:00', '06/01']",06/01 04:00,30,2,NIL,9999,NIL,NIL,24,22,1010,89,NIL,NIL,NIL,NIL,NIL,,,,
"['05:00', '06/01']",06/01 05:00,70,3,NIL,9999,NIL,NIL,23,22,1010,94,NIL,NIL,NIL,NIL,NIL,,,,
"['06:00', '06/01']",06/01 06:00,30,2,NIL,9999,NIL,NIL,23,22,1010,94,NIL,NIL,NIL,NIL,NIL,,,,
"['07:00', '06/01']",06/01 07:00,40,2,NIL,9999,NIL,NIL,23,22,1009,94,NIL,NIL,NIL,NIL,NIL,,,,
"['08:00', '06/01']",06/01 08:00,0,0,NIL,9999,10000,5,23,22,1009,94,NIL,NIL,NIL,NIL,NIL,,,,
"['09:00', '06/01']",06/01 09:00,20,3,NIL,9999,NIL,NIL,23,21,1010,89,NIL,NIL,NIL,NIL,NIL,,,,
"['10:00', '06/01']",06/01 10:00,20,2,NIL,9999,NIL,NIL,22,21,1010,94,NIL,NIL,NIL,NIL,NIL,,,,
"['11:00', '06/01']",06/01 11:00,360,2,NIL,9999,NIL,3,23,22,1011,94,NIL,NIL,NIL,NIL,NIL,,,,
"['12:00', '06/01']",06/01 12:00,50,5,NIL,9999,NIL,3,25,23,1012,89,NIL,NIL,NIL,NIL,NIL,,,,
"['13:00', '06/01']",06/01 13:00,50,6,NIL,9999,NIL,3,27,23,1012,79,NIL,NIL,NIL,NIL,NIL,,,,
"['14:00', '06/01']",06/01 14:00,50,8,NIL,9999,NIL,3,28,23,1012,74,NIL,NIL,NIL,NIL,NIL,,,,
"['15:00', '06/01']",06/01 15:00,40,4,NIL,9999,NIL,3,29,23,1011,70,NIL,NIL,NIL,NIL,NIL,,,,
"['16:00', '06/01']",06/01 16:00,10,6,NIL,9999,2000,5,30,24,1011,70,NIL,NIL,NIL,NIL,NIL,,,,
"['17:00', '06/01']",06/01 17:00,330,6,315,9999,NIL,3,28,24,1010,79,NIL,NIL,NIL,NIL,16,,,,
"['18:00', '06/01']",06/01 18:00,340,8,160,9999,NIL,3,30,23,1009,66,NIL,NIL,NIL,NIL,NIL,,,,
"['18:46', '06/01']",06/01 18:46,70,8,NIL,3000,10000,5,30,24,1008,70,1,1,NIL,NIL,23,,,,
"['19:00', '06/01']",06/01 19:00,130,9,NIL,4000,10000,5,26,24,1008,89,1,1,NIL,NIL,19,,,,
"['19:11', '06/01']",06/01 19:11,360,3,NIL,9999,10000,5,26,24,1008,89,1,1,4000,270,NIL,,,,
"['20:00', '06/01']",06/01 20:00,50,3,NIL,9999,NIL,3,28,24,1007,79,NIL,NIL,NIL,NIL,NIL,,,,
"['21:00', '06/01']",06/01 21:00,30,5,NIL,9999,NIL,2,31,24,1007,66,NIL,NIL,NIL,NIL,NIL,,,,
"['22:00', '06/01']",06/01 22:00,20,4,NIL,9999,NIL,2,29,24,1007,74,NIL,NIL,NIL,NIL,NIL,,,,
"['23:00', '06/01']",06/01 23:00,70,5,NIL,9999,NIL,3,28,25,1008,84,NIL,NIL,NIL,NIL,NIL,,,,
"['00:00', '07/01']",07/01 00:00,110,1,NIL,9999,NIL,3,27,25,1009,89,NIL,NIL,NIL,NIL,NIL,,,,
"['01:00', '07/01']",07/01 01:00,0,0,,9999,NIL,3,26,25,1010,94,NIL,,,,,,1,,
"['02:00', '07/01']",07/01 02:00,120,5,,9999,8000,5,25,24,1011,94,NIL,,,,,,1,,
"['03:00', '07/01']",07/01 03:00,180,2,,9999,NIL,3,25,24,1011,94,NIL,,,,,,NIL,,
"['04:00', '07/01']",07/01 04:00,130,2,,9999,NIL,NIL,25,24,1011,94,NIL,,,,,,NIL,,
"['05:00', '07/01']",07/01 05:00,0,0,,9999,NIL,NIL,25,24,1010,94,NIL,,,,,,NIL,,
"['06:00', '07/01']",07/01 06:00,0,0,,9999,NIL,NIL,25,24,1010,94,NIL,,,,,,NIL,,
"['07:00', '07/01']",07/01 07:00,0,0,,9999,NIL,NIL,24,23,1009,94,NIL,,,,,,NIL,,
"['08:00', '07/01']",07/01 08:00,0,0,,9999,NIL,NIL,24,23,1010,94,NIL,,,,,,NIL,,
"['09:00', '07/01']",07/01 09:00,0,0,,9999,NIL,NIL,23,23,1010,100,NIL,,,,,,NIL,,
"['10:00', '07/01']",07/01 10:00,0,0,,9999,NIL,NIL,23,23,1011,100,NIL,,,,,,NIL,,
"['11:00', '07/01']",07/01 11:00,0,0,,9999,7000,5,24,23,1012,94,NIL,,,,,,NIL,,
"['12:00', '07/01']",07/01 12:00,180,2,,9999,7000,5,25,24,1013,94,NIL,,,,,,NIL,,
"['13:00', '07/01']",07/01 13:00,140,3,,9999,NIL,3,27,24,1013,84,NIL,,,,,,NIL,,
"['14:00', '07/01']",07/01 14:00,170,2,,9999,9000,5,28,24,1013,79,NIL,,,,,,NIL,,
"['15:00', '07/01']",07/01 15:00,140,4,,9999,9000,5,27,24,1013,84,NIL,,,,,,NIL,,
"['16:00', '07/01']",07/01 16:00,170,4,,9999,9000,5,28,25,1012,84,NIL,,,,,,NIL,,
"['17:00', '07/01']",07/01 17:00,180,2,,6000,8000,5,28,24,1011,79,1,,,,,,1,,
"['18:00', '07/01']",07/01 18:00,230,1,,9999,9000,5,25,23,1010,89,NIL,,,,,,1,,
"['20:00', '07/01']",07/01 20:00,310,3,,9999,NIL,2,26,24,1008,89,NIL,,,,,,NIL,,
"['21:00', '07/01']",07/01 21:00,330,3,,9999,NIL,2,25,24,1009,94,NIL,,,,,,NIL,,
"['22:00', '07/01']",07/01 22:00,0,0,,9999,NIL,2,25,24,1009,94,NIL,,,,,,NIL,,
"['23:00', '07/01']",07/01 23:00,250,3,,9999,NIL,2,25,24,1009,94,NIL,,,,,,NIL,,
"['00:00', '08/01']",08/01 00:00,0,0,,9999,NIL,2,25,24,1010,94,NIL,,,,,,NIL,,
"['01:00', '08/01']",08/01 01:00,0,0,,9999,NIL,2,24,24,1011,100,NIL,,,,,,NIL,,
"['02:00', '08/01']",08/01 02:00,180,2,,9999,NIL,2,24,24,1012,100,NIL,,,,,,NIL,,
"['03:00', '08/01']",08/01 03:00,200,2,,9999,5000,5,25,24,1012,94,NIL,,,,,,NIL,,
"['04:00', '08/01']",08/01 04:00,220,4,,9999,5000,5,25,24,1012,94,NIL,,,,,,NIL,,
"['05:00', '08/01']",08/01 05:00,230,4,,9999,700,5,25,24,1011,94,NIL,,,,,,NIL,,
"['06:00', '08/01']",08/01 06:00,200,4,,9999,700,5,25,24,1011,94,NIL,,,,,,NIL,,
"['07:00', '08/01']",08/01 07:00,190,2,,9999,700,5,24,24,1010,100,NIL,,,,,,NIL,,
"['08:00', '08/01']",08/01 08:00,230,3,,9999,800,5,24,23,1010,94,NIL,,,,,,NIL,,
"['09:00', '08/01']",08/01 09:00,200,4,,9999,800,5,24,23,1011,94,NIL,,,,,,NIL,,
"['10:00', '08/01']",08/01 10:00,230,5,,9999,600,5,24,23,1012,94,NIL,,,,,,NIL,,
"['11:00', '08/01']",08/01 11:00,220,5,,9999,600,5,24,23,1012,94,NIL,,,,,,NIL,,
"['12:00', '08/01']",08/01 12:00,190,6,,9999,700,5,25,23,1013,89,NIL,,,,,,NIL,,
"['13:00', '08/01']",08/01 13:00,210,6,,9999,800,5,25,24,1013,94,NIL,,,,,,NIL,,
"['14:00', '08/01']",08/01 14:00,220,7,,9999,1000,5,26,24,1013,89,NIL,,,,,,NIL,,
"['15:00', '08/01']",08/01 15:00,200,7,,9999,1200,5,26,23,1013,84,NIL,,,,,,NIL,,
"['16:00', '08/01']",08/01 16:00,230,7,,9999,1200,5,27,24,1013,84,NIL,,,,,,NIL,,
"['16:26', '08/01']",08/01 16:26,210,7,,9999,NIL,3,28,25,1012,84,NIL,,,,,,NIL,,
"['17:00', '08/01']",08/01 17:00,220,6,,9999,NIL,3,28,24,1011,79,NIL,,,,,,NIL,,
"['18:00', '08/01']",08/01 18:00,210,6,,9999,NIL,3,30,25,1010,75,NIL,,,,,,NIL,,
"['19:00', '08/01']",08/01 19:00,220,5,,9999,NIL,3,30,24,1008,70,NIL,,,,,,NIL,,
"['20:00', '08/01']",08/01 20:00,240,5,,9999,NIL,3,30,24,1008,70,NIL,,,,,,NIL,,
"['21:00', '08/01']",08/01 21:00,350,8,,4000,7000,5,26,24,1008,89,1,,,,,,1,,
"['21:15', '08/01']",08/01 21:15,330,2,,9999,7000,5,26,24,1008,89,1,,,,,,1,,
"['22:00', '08/01']",08/01 22:00,120,5,,9999,NIL,3,26,24,1009,89,NIL,,,,,,1,,
"['22:35', '08/01']",08/01 22:35,360,6,,9999,8000,5,26,24,1010,89,NIL,,,,,,1,,
"['23:00', '08/01']",08/01 23:00,350,4,,9999,8000,5,26,24,1010,89,NIL,,,,,,1,,
"['00:00', '09/01']",09/01 00:00,340,3,,9999,800,5,25,24,1011,94,NIL,,,,,,1,,
"['00:05', '09/01']",09/01 00:05,340,3,,9999,800,5,25,24,1011,94,NIL,,,,,,1,,
"['01:00', '09/01']",09/01 01:00,140,11,,1500,800,5,24,22,1013,89,1,,,,,,1,,
"['01:40', '09/01']",09/01 01:40,70,10,,4000,700,5,23,22,1014,94,1,,,,,,1,,
"['02:00', '09/01']",09/01 02:00,60,9,,4000,800,5,23,22,1014,94,1,,,,,,1,,
"['02:10', '09/01']",09/01 02:10,80,10,,8000,9000,5,23,22,1014,94,1,,,,,,1,,
"['03:00', '09/01']",09/01 03:00,80,7,,8000,9000,5,23,22,1014,94,1,,,,,,1,,
"['04:00', '09/01']",09/01 04:00,80,5,,9999,9000,5,23,22,1013,94,1,,,,,,1,,
"['05:00', '09/01']",09/01 05:00,90,3,,9999,7000,5,23,22,1012,94,1,,,,,,1,,
"['06:00', '09/01']",09/01 06:00,0,0,,9999,NIL,3,22,22,1010,100,1,,,,,,NIL,,
"['07:00', '09/01']",09/01 07:00,310,3,,9999,NIL,3,22,22,1010,100,NIL,,,,,,NIL,,
"['08:00', '09/01']",09/01 08:00,300,3,,9999,NIL,2,22,22,1009,100,NIL,,,,,,NIL,,
"['09:00', '09/01']",09/01 09:00,0,0,,9999,NIL,2,22,22,1009,100,NIL,,,,,,NIL,,
"['10:00', '09/01']",09/01 10:00,0,0,,9999,NIL,2,22,21,1010,94,NIL,,,,,,NIL,,
"['11:00', '09/01']",09/01 11:00,0,0,,9999,NIL,2,22,21,1012,94,NIL,,,,,,NIL,,
"['12:00', '09/01']",09/01 12:00,0,0,,9999,10000,5,22,22,1013,100,NIL,,,,,,NIL,,
"['13:00', '09/01']",09/01 13:00,0,0,,9999,NIL,3,24,22,1014,89,NIL,,,,,,NIL,,
"['14:00', '09/01']",09/01 14:00,320,2,,9999,1000,5,25,22,1014,83,NIL,,,,,,NIL,,
"['14:41', '09/01']",09/01 14:41,110,3,,9999,NIL,3,27,22,1014,74,NIL,,,,,,NIL,,
"['15:00', '09/01']",09/01 15:00,0,0,,9999,NIL,3,27,23,1014,79,NIL,,,,,,NIL,,
"['16:00', '09/01']",09/01 16:00,320,4,,9999,NIL,3,28,23,1013,74,NIL,,,,,,NIL,,
"['17:00', '09/01']",09/01 17:00,280,3,,9999,2000,5,29,23,1012,70,NIL,,,,,,NIL,,
"['18:00', '09/01']",09/01 18:00,270,6,,9999,NIL,3,29,23,1011,70,NIL,,,,,,NIL,,
"['19:00', '09/01']",09/01 19:00,290,6,,9999,NIL,3,29,23,1009,70,NIL,,,,,,NIL,,
"['20:00', '09/01']",09/01 20:00,220,6,,9999,NIL,3,30,24,1008,70,NIL,,,,,,NIL,,
