validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,chuva,teto,trovoada,nevoa_umida,vnt_vrb,pancada,nevoa_seca,chuvisco,vnt_rajada,nevoeiro
"['10:00', '10/02']",10/02 10:00,250,3,9999,5,27,23,1013,79,,,NIL,9000,NIL,,,,,,,
"['11:00', '10/02']",10/02 11:00,260,8,9999,5,27,23,1013,79,,,NIL,10000,NIL,,,,,,,
"['12:00', '10/02']",10/02 12:00,100,7,9999,3,29,23,1013,70,,,NIL,NIL,NIL,,,,,,,
"['13:00', '10/02']",10/02 13:00,100,10,9999,3,28,23,1013,74,,,NIL,NIL,NIL,,,,,,,
"['14:00', '10/02']",10/02 14:00,120,12,9999,3,27,23,1013,79,,,NIL,NIL,NIL,,,,,,,
"['15:00', '10/02']",10/02 15:00,120,10,9999,2,29,24,1012,74,,,NIL,NIL,NIL,,,,,,,
"['16:00', '10/02']",10/02 16:00,140,9,9999,3,29,24,1012,74,,,NIL,NIL,NIL,,,,,,,
"['17:00', '10/02']",10/02 17:00,130,15,9999,5,28,24,1011,79,,,NIL,10000,NIL,,,,,,,
"['18:00', '10/02']",10/02 18:00,140,16,8000,5,26,23,1011,84,,,NIL,8000,NIL,,,,,,,
"['18:35', '10/02']",10/02 18:35,170,12,7000,5,25,22,1011,83,,,NIL,10000,1,,,,,,,
"['19:00', '10/02']",10/02 19:00,120,14,2500,5,25,22,1011,83,,,1,1300,1,,,,,,,
"['19:05', '10/02']",10/02 19:05,170,16,800,5,24,23,1011,94,,,1,700,1,,,,,,,
"['19:25', '10/02']",10/02 19:25,180,12,400,8,24,23,1012,94,,,1,400,1,,,,,,,
"['20:00', '10/02']",10/02 20:00,140,15,1000,8,23,23,1012,100,,,1,300,1,,,,,,,
"['21:00', '10/02']",10/02 21:00,120,8,3000,8,23,23,1012,100,,,1,600,1,,,,,,,
"['22:00', '10/02']",10/02 22:00,160,4,4000,8,23,23,1013,100,,,1,1300,1,,,,,,,
"['23:00', '10/02']",10/02 23:00,140,6,4500,8,24,23,1013,94,,,1,500,1,,,,,,,
"['00:00', '11/02']",11/02 00:00,100,3,4000,8,24,23,1014,94,,,1,500,1,,,,,,,
"['01:00', '11/02']",11/02 01:00,130,2,8000,5,24,23,1014,94,,,NIL,4300,,NIL,NIL,,,,,
"['02:00', '11/02']",11/02 02:00,300,4,9999,5,24,23,1014,94,,,NIL,1300,,NIL,NIL,,,,,
"['03:00', '11/02']",11/02 03:00,320,4,7000,8,24,23,1014,94,,,1,800,,NIL,NIL,,,,,
"['04:00', '11/02']",11/02 04:00,150,6,3500,8,24,22,1013,89,,,1,500,,NIL,NIL,,,,,
"['05:00', '11/02']",11/02 05:00,280,4,4000,8,23,22,1013,94,,,1,700,,1,NIL,,,,,
"['06:00', '11/02']",11/02 06:00,270,8,7000,8,23,21,1014,89,,,1,700,,NIL,NIL,,,,,
"['07:00', '11/02']",11/02 07:00,60,10,9999,8,23,21,1014,89,,,NIL,1700,,NIL,NIL,,,,,
"['08:00', '11/02']",11/02 08:00,240,9,8000,5,22,20,1014,88,,,NIL,2300,,NIL,NIL,,,,,
"['09:00', '11/02']",11/02 09:00,240,11,4000,8,22,20,1015,88,,,1,1500,,1,NIL,,,,,
"['10:00', '11/02']",11/02 10:00,280,9,4000,8,22,20,1015,88,,,1,1500,,1,NIL,,,,,
"['11:00', '11/02']",11/02 11:00,290,6,3000,8,22,21,1016,94,,,1,800,,1,NIL,,,,,
"['12:00', '11/02']",11/02 12:00,290,7,3000,8,22,20,1017,88,,,1,900,,1,NIL,,,,,
"['13:00', '11/02']",11/02 13:00,300,6,4000,8,22,21,1017,94,,,1,1200,,1,NIL,,,,,
"['14:00', '11/02']",11/02 14:00,320,6,5000,8,23,21,1016,89,,,1,1200,,1,NIL,,,,,
"['15:00', '11/02']",11/02 15:00,280,4,5000,8,23,21,1016,89,,,1,1100,,1,NIL,,,,,
"['16:00', '11/02']",11/02 16:00,270,4,4000,8,23,21,1016,89,,,1,700,,1,NIL,,,,,
"['17:00', '11/02']",11/02 17:00,VRB,4,6000,8,23,21,1015,89,,,1,1000,,NIL,NIL,,,,,
"['18:00', '11/02']",11/02 18:00,70,5,6000,8,23,21,1015,89,,,1,1400,,NIL,70,,,,,
"['18:15', '11/02']",11/02 18:15,110,5,3500,8,23,21,1015,89,,,1,600,,1,245,,,,,
"['19:00', '11/02']",11/02 19:00,190,5,4000,8,22,21,1015,94,,,1,500,,1,190,,,,,
"['20:00', '11/02']",11/02 20:00,220,6,3000,8,22,21,1015,94,,,1,1000,,1,NIL,,,,,
"['21:00', '11/02']",11/02 21:00,210,4,4000,8,22,21,1015,94,,,1,4500,,1,NIL,,,,,
"['22:00', '11/02']",11/02 22:00,VRB,1,5000,8,22,21,1015,94,,,1,500,,1,NIL,,,,,
"['23:00', '11/02']",11/02 23:00,150,7,3500,8,22,20,1016,88,,,1,2000,,1,NIL,,,,,
"['23:32', '11/02']",11/02 23:32,150,8,6000,8,21,19,1016,88,,,1,3000,,NIL,NIL,,,,,
"['00:00', '12/02']",12/02 00:00,140,5,6000,8,21,20,1016,94,,,1,3500,,NIL,NIL,,,,,
"['01:00', '12/02']",12/02 01:00,150,3,6000,8,21,20,1017,94,,,1,1500,,NIL,,,,,,
"['02:00', '12/02']",12/02 02:00,110,3,8000,8,21,20,1017,94,,,NIL,1600,,NIL,,,,,,
"['03:00', '12/02']",12/02 03:00,310,4,8000,8,22,20,1016,88,,,NIL,1700,,NIL,,,,,,
"['04:00', '12/02']",12/02 04:00,280,5,5000,8,21,20,1016,94,,,NIL,600,,1,,,,,,
"['05:00', '12/02']",12/02 05:00,240,4,3000,8,21,20,1015,94,,,1,900,,1,,,,,,
"['06:00', '12/02']",12/02 06:00,260,5,3500,8,21,20,1015,94,,,1,800,,1,,,,,,
