validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,chuva,teto,trovoada,nevoa_umida,vnt_vrb,pancada,nevoa_seca,chuvisco,vnt_rajada,nevoeiro
"['01:00', '01/01']",01/01 01:00,90,4,9999,NIL,27,22,1009,74,,,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,90,5,9999,NIL,26,22,1009,79,,,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,90,2,9999,NIL,26,21,1008,74,,,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,100,3,9999,NIL,25,21,1008,79,,,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,70,4,9999,NIL,25,21,1007,79,,,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,120,2,9999,NIL,24,21,1007,83,,,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,0,0,9999,NIL,24,21,1007,83,,,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,80,3,9999,NIL,24,21,1007,83,,,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,70,2,9999,NIL,25,22,1008,83,,,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,110,3,9999,NIL,27,22,1008,74,,,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,70,4,9999,NIL,29,22,1008,66,,,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,50,6,9999,NIL,30,21,1007,59,,,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,40,6,9999,NIL,32,20,1007,49,,,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,50,8,9999,NIL,33,19,1007,44,,,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,10,8,9999,NIL,35,19,1006,39,,,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,30,10,9999,NIL,35,19,1005,39,,,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,90,8,9999,2,36,20,1004,39,,,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,130,12,9999,2,35,21,1003,44,,,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,140,13,9999,2,34,20,1003,44,,,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,140,10,9999,2,34,20,1003,44,,,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,330,6,9999,2,30,21,1003,59,,,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,320,5,9999,NIL,29,20,1004,58,,,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,290,5,9999,NIL,29,20,1005,58,,,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,330,5,9999,NIL,28,20,1005,62,,,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,350,7,9999,NIL,27,22,1006,74,NIL,NIL,NIL,NIL,,,,,,,,
"['02:00', '02/01']",02/01 02:00,330,6,9999,NIL,27,22,1006,74,NIL,NIL,NIL,NIL,,,,,,,,
"['03:00', '02/01']",02/01 03:00,330,5,9999,NIL,27,22,1005,74,NIL,NIL,NIL,NIL,,,,,,,,
"['04:00', '02/01']",02/01 04:00,40,3,9999,NIL,27,22,1005,74,NIL,NIL,NIL,NIL,,,,,,,,
"['05:00', '02/01']",02/01 05:00,30,4,9999,NIL,26,22,1004,79,NIL,NIL,NIL,NIL,,,,,,,,
"['06:00', '02/01']",02/01 06:00,290,2,9999,NIL,26,22,1004,79,NIL,NIL,NIL,NIL,,,,,,,,
"['07:00', '02/01']",02/01 07:00,310,4,9999,NIL,26,22,1004,79,NIL,NIL,NIL,NIL,,,,,,,,
"['08:00', '02/01']",02/01 08:00,270,3,9999,NIL,27,20,1004,66,NIL,NIL,NIL,NIL,,,,,,,,
"['09:00', '02/01']",02/01 09:00,240,5,9999,NIL,27,21,1005,70,NIL,NIL,NIL,NIL,,,,,,,,
"['10:00', '02/01']",02/01 10:00,290,5,9999,NIL,30,21,1006,59,NIL,NIL,NIL,NIL,,,,,,,,
"['11:00', '02/01']",02/01 11:00,290,8,9999,5,31,21,1006,55,NIL,NIL,NIL,10000,,,,,,,,
"['12:00', '02/01']",02/01 12:00,300,9,9999,5,31,20,1006,52,NIL,NIL,NIL,10000,,,,,,,,
"['13:00', '02/01']",02/01 13:00,280,9,9999,5,31,21,1006,55,NIL,NIL,NIL,10000,,,,,,,,
"['14:00', '02/01']",02/01 14:00,250,9,9999,5,31,21,1006,55,NIL,NIL,NIL,10000,,,,,,,,
"['15:00', '02/01']",02/01 15:00,270,7,9999,5,32,22,1006,56,NIL,NIL,NIL,10000,,,,,,,,
"['16:00', '02/01']",02/01 16:00,230,9,9999,5,32,21,1006,52,NIL,NIL,NIL,10000,,,,,,,,
"['17:00', '02/01']",02/01 17:00,200,14,9999,5,31,21,1006,55,NIL,NIL,NIL,10000,,,,,,,,
"['18:00', '02/01']",02/01 18:00,210,15,9999,5,32,22,1005,56,NIL,NIL,NIL,10000,,,,,,,,
"['19:00', '02/01']",02/01 19:00,210,14,9999,5,30,21,1005,59,NIL,NIL,NIL,10000,,,,,,,,
"['20:00', '02/01']",02/01 20:00,230,9,9999,8,29,20,1007,58,NIL,NIL,NIL,10000,,,,,,,,
"['20:20', '02/01']",02/01 20:20,240,8,9999,8,27,22,1008,74,4000,315,1,1500,,,,,,,,
"['21:00', '02/01']",02/01 21:00,70,14,9999,8,26,23,1008,84,4000,45,1,1800,,,,,,,,
"['21:30', '02/01']",02/01 21:30,40,16,9999,8,24,22,1009,89,3500,45,1,1500,,,,,,,,
"['22:00', '02/01']",02/01 22:00,40,11,6000,8,24,22,1009,89,NIL,NIL,1,1800,,,,,,,,
"['23:00', '02/01']",02/01 23:00,140,8,7000,8,24,22,1009,89,NIL,NIL,1,1800,,,,,,,,
"['00:00', '03/01']",03/01 00:00,100,7,7000,8,24,22,1010,89,NIL,NIL,NIL,1700,,,,,,,,
"['01:00', '03/01']",03/01 01:00,160,5,9000,5,24,22,1009,89,,,NIL,10000,NIL,NIL,,,,,,
"['02:00', '03/01']",03/01 02:00,180,3,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '03/01']",03/01 03:00,330,3,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['04:00', '03/01']",03/01 04:00,310,6,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['05:00', '03/01']",03/01 05:00,330,5,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['06:00', '03/01']",03/01 06:00,350,5,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['07:00', '03/01']",03/01 07:00,350,5,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['08:00', '03/01']",03/01 08:00,360,3,9999,5,24,22,1009,89,,,NIL,8000,NIL,NIL,,,,,,
"['09:00', '03/01']",03/01 09:00,20,2,9999,3,24,22,1009,89,,,NIL,NIL,NIL,NIL,,,,,,
"['10:00', '03/01']",03/01 10:00,360,5,9999,3,25,22,1009,83,,,NIL,NIL,NIL,NIL,,,,,,
"['11:00', '03/01']",03/01 11:00,340,2,9999,5,26,22,1009,79,,,NIL,10000,NIL,NIL,,,,,,
"['12:00', '03/01']",03/01 12:00,10,3,9999,5,27,22,1010,74,,,NIL,10000,NIL,NIL,,,,,,
"['13:00', '03/01']",03/01 13:00,350,4,9999,5,29,22,1010,66,,,NIL,7000,NIL,NIL,,,,,,
"['14:00', '03/01']",03/01 14:00,220,12,9999,5,26,22,1010,79,,,1,2500,1,NIL,,,,,,
"['14:14', '03/01']",03/01 14:14,230,7,3000,5,24,23,1011,94,,,1,1400,1,NIL,,,,,,
"['15:00', '03/01']",03/01 15:00,200,8,6000,8,24,22,1010,89,,,1,2000,1,NIL,,,,,,
"['16:00', '03/01']",03/01 16:00,210,13,9999,5,26,23,1010,84,,,1,4000,1,NIL,,,,,,
"['17:00', '03/01']",03/01 17:00,250,9,9999,8,26,22,1009,79,,,NIL,4700,NIL,NIL,,,,,,
"['18:00', '03/01']",03/01 18:00,250,9,9999,8,25,22,1009,83,,,NIL,5000,NIL,NIL,,,,,,
"['19:00', '03/01']",03/01 19:00,260,7,9999,8,25,22,1009,83,,,1,1500,NIL,NIL,,,,,,
"['20:00', '03/01']",03/01 20:00,240,7,9999,8,25,21,1009,79,,,NIL,5000,NIL,NIL,,,,,,
"['20:44', '03/01']",03/01 20:44,220,7,5000,8,23,22,1010,94,,,1,2000,NIL,1,,,,,,
"['21:00', '03/01']",03/01 21:00,200,2,6000,8,23,22,1010,94,,,1,2000,NIL,NIL,,,,,,
"['22:00', '03/01']",03/01 22:00,310,2,6000,8,23,22,1010,94,,,1,2000,NIL,NIL,,,,,,
"['23:00', '03/01']",03/01 23:00,350,5,6000,8,24,22,1010,89,,,1,6000,NIL,NIL,,,,,,
"['00:00', '04/01']",04/01 00:00,330,3,9999,8,24,22,1011,89,,,NIL,4000,NIL,NIL,,,,,,
"['01:00', '04/01']",04/01 01:00,330,5,9999,8,24,22,1011,89,,,NIL,4000,,,,,,,,
"['02:00', '04/01']",04/01 02:00,320,6,9999,8,24,22,1010,89,,,NIL,2000,,,,,,,,
"['03:00', '04/01']",04/01 03:00,310,4,9999,8,24,22,1010,89,,,NIL,4000,,,,,,,,
"['04:00', '04/01']",04/01 04:00,300,3,9999,5,24,22,1009,89,,,NIL,4000,,,,,,,,
"['05:00', '04/01']",04/01 05:00,310,4,9999,5,24,22,1009,89,,,NIL,4000,,,,,,,,
"['06:00', '04/01']",04/01 06:00,290,6,9999,5,23,21,1009,89,,,NIL,5000,,,,,,,,
"['07:00', '04/01']",04/01 07:00,240,3,9999,5,23,21,1009,89,,,NIL,5000,,,,,,,,
"['08:00', '04/01']",04/01 08:00,240,3,9999,5,23,21,1009,89,,,NIL,5000,,,,,,,,
"['09:00', '04/01']",04/01 09:00,310,3,9999,5,24,21,1009,83,,,NIL,10000,,,,,,,,
"['10:00', '04/01']",04/01 10:00,330,4,9999,8,24,21,1009,83,,,NIL,5000,,,,,,,,
"['11:00', '04/01']",04/01 11:00,340,3,9999,5,26,21,1009,74,,,NIL,5000,,,,,,,,
"['12:00', '04/01']",04/01 12:00,110,4,9999,5,27,21,1008,70,,,NIL,10000,,,,,,,,
"['13:00', '04/01']",04/01 13:00,330,1,9999,5,28,21,1009,66,,,NIL,10000,,,,,,,,
"['14:00', '04/01']",04/01 14:00,150,5,9999,5,28,22,1008,70,,,NIL,10000,,,,,,,,
"['15:00', '04/01']",04/01 15:00,130,7,9999,5,28,22,1008,70,,,NIL,4000,,,,,,,,
"['16:00', '04/01']",04/01 16:00,120,5,9999,5,28,22,1008,70,,,NIL,4000,,,,,,,,
"['17:00', '04/01']",04/01 17:00,110,5,9999,5,29,23,1007,70,,,NIL,2500,,,,,,,,
"['18:00', '04/01']",04/01 18:00,120,5,9999,5,29,22,1006,66,,,NIL,7000,,,,,,,,
"['19:00', '04/01']",04/01 19:00,140,7,9999,5,27,22,1006,74,,,NIL,2500,,,,,,,,
"['20:00', '04/01']",04/01 20:00,120,8,9999,5,27,22,1006,74,,,NIL,4000,,,,,,,,
"['21:00', '04/01']",04/01 21:00,190,4,9999,8,27,21,1007,70,,,NIL,4000,,,,,,,,
"['22:00', '04/01']",04/01 22:00,210,6,9999,8,27,21,1007,70,,,NIL,3000,,,,,,,,
"['23:00', '04/01']",04/01 23:00,60,8,9999,8,26,22,1008,79,,,NIL,2500,,,,,,,,
"['00:00', '05/01']",05/01 00:00,40,9,6000,8,24,23,1009,94,,,1,2000,,,,,,,,
"['01:00', '05/01']",05/01 01:00,50,6,9999,8,24,22,1009,89,,,1,2500,,,,,,,,
"['02:00', '05/01']",05/01 02:00,150,2,9999,8,24,22,1009,89,,,1,3000,,,,,,,,
"['03:00', '05/01']",05/01 03:00,260,4,9999,8,24,23,1008,94,,,NIL,2500,,,,,,,,
"['04:00', '05/01']",05/01 04:00,270,5,9999,8,24,23,1008,94,,,1,3000,,,,,,,,
"['05:00', '05/01']",05/01 05:00,270,3,9999,5,24,22,1007,89,,,1,4000,,,,,,,,
"['06:00', '05/01']",05/01 06:00,0,0,9999,8,24,22,1006,89,,,NIL,2000,,,,,,,,
"['07:00', '05/01']",05/01 07:00,310,5,9999,8,24,22,1006,89,,,NIL,2000,,,,,,,,
"['08:00', '05/01']",05/01 08:00,280,4,9999,5,24,22,1006,89,,,NIL,3000,,,,,,,,
"['09:00', '05/01']",05/01 09:00,280,3,9999,3,24,22,1006,89,,,NIL,NIL,,,,,,,,
"['10:00', '05/01']",05/01 10:00,350,2,9999,NIL,25,23,1007,89,,,NIL,NIL,,,,,,,,
"['11:00', '05/01']",05/01 11:00,360,5,9999,2,27,23,1007,79,,,NIL,NIL,,,,,,,,
"['12:00', '05/01']",05/01 12:00,140,8,9999,2,27,23,1008,79,,,NIL,NIL,,,,,,,,
"['13:00', '05/01']",05/01 13:00,130,12,9999,2,28,23,1008,74,,,NIL,NIL,,,,,,,,
"['14:00', '05/01']",05/01 14:00,120,14,9999,3,28,22,1008,70,,,NIL,NIL,,,,,,,,
"['15:00', '05/01']",05/01 15:00,110,13,9999,3,29,23,1007,70,,,NIL,NIL,,,,,,,,
"['16:00', '05/01']",05/01 16:00,140,15,9999,3,29,23,1007,70,,,NIL,NIL,,,,,,,,
"['17:00', '05/01']",05/01 17:00,120,11,9999,5,29,22,1007,66,,,NIL,4000,,,,,,,,
"['18:00', '05/01']",05/01 18:00,140,10,9999,5,28,21,1006,66,,,NIL,3000,,,,,,,,
"['19:00', '05/01']",05/01 19:00,130,9,9999,5,27,22,1006,74,,,NIL,3000,,,,,,,,
"['20:00', '05/01']",05/01 20:00,130,7,8000,8,26,22,1007,79,,,NIL,2500,,,,,,,,
"['21:00', '05/01']",05/01 21:00,110,5,9000,8,26,22,1007,79,,,NIL,3000,,,,,,,,
"['22:00', '05/01']",05/01 22:00,130,5,8000,8,25,22,1008,83,,,NIL,3000,,,,,,,,
"['23:00', '05/01']",05/01 23:00,80,4,9000,8,25,22,1009,83,,,NIL,3000,,,,,,,,
"['00:00', '06/01']",06/01 00:00,250,3,9999,5,25,22,1009,83,,,NIL,3000,,,,,,,,
"['01:00', '06/01']",06/01 01:00,330,4,8000,8,25,23,1009,89,,,NIL,3000,NIL,NIL,NIL,,,,,
"['02:00', '06/01']",06/01 02:00,340,3,9999,8,25,22,1009,83,,,NIL,3000,NIL,NIL,NIL,,,,,
"['03:00', '06/01']",06/01 03:00,330,4,9999,5,25,22,1008,83,,,NIL,3000,NIL,NIL,NIL,,,,,
"['04:00', '06/01']",06/01 04:00,330,3,9999,5,25,22,1007,83,,,NIL,10000,NIL,NIL,NIL,,,,,
"['05:00', '06/01']",06/01 05:00,280,10,9999,5,25,22,1008,83,,,NIL,2000,NIL,NIL,NIL,,,,,
"['06:00', '06/01']",06/01 06:00,270,8,9000,5,24,22,1008,89,,,NIL,1700,NIL,NIL,NIL,,,,,
"['06:06', '06/01']",06/01 06:06,270,6,4000,8,22,20,1007,88,,,1,9000,1,1,NIL,,,,,
"['07:00', '06/01']",06/01 07:00,90,4,8000,8,22,21,1007,94,,,NIL,9000,1,NIL,NIL,,,,,
"['08:00', '06/01']",06/01 08:00,230,4,9000,5,22,21,1007,94,,,NIL,10000,NIL,NIL,NIL,,,,,
"['09:00', '06/01']",06/01 09:00,120,3,9999,5,23,21,1007,89,,,NIL,10000,NIL,NIL,NIL,,,,,
"['10:00', '06/01']",06/01 10:00,70,6,9999,5,25,22,1008,83,,,NIL,10000,NIL,NIL,NIL,,,,,
"['11:00', '06/01']",06/01 11:00,70,5,9999,5,26,22,1008,79,,,NIL,10000,NIL,NIL,NIL,,,,,
"['12:00', '06/01']",06/01 12:00,150,3,9999,3,26,23,1008,84,,,NIL,NIL,NIL,NIL,145,,,,,
"['13:00', '06/01']",06/01 13:00,VRB,2,9999,2,28,22,1008,70,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['14:00', '06/01']",06/01 14:00,VRB,6,9999,3,30,23,1008,66,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['15:00', '06/01']",06/01 15:00,10,7,9999,3,33,23,1007,56,,,NIL,NIL,NIL,NIL,190,,,,,
"['16:00', '06/01']",06/01 16:00,VRB,6,9999,2,34,23,1007,53,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['17:00', '06/01']",06/01 17:00,90,12,9999,2,35,21,1005,44,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['18:00', '06/01']",06/01 18:00,350,12,6000,3,30,24,1006,70,,,1,NIL,1,NIL,NIL,,,,,
"['19:00', '06/01']",06/01 19:00,20,9,8000,3,28,21,1006,66,,,NIL,NIL,1,NIL,NIL,,,,,
"['20:00', '06/01']",06/01 20:00,10,6,9999,3,28,21,1007,66,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['21:00', '06/01']",06/01 21:00,20,9,7000,3,28,22,1008,70,,,NIL,NIL,1,NIL,NIL,,,,,
"['22:00', '06/01']",06/01 22:00,20,6,6000,5,26,23,1008,84,,,NIL,8000,1,NIL,NIL,,,,,
"['23:00', '06/01']",06/01 23:00,260,4,9999,5,26,23,1009,84,,,NIL,10000,1,NIL,NIL,,,,,
"['00:00', '07/01']",07/01 00:00,320,4,9999,3,26,23,1009,84,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['01:00', '07/01']",07/01 01:00,320,7,9999,3,26,23,1010,84,,,,NIL,,,NIL,,,,,
"['02:00', '07/01']",07/01 02:00,300,4,9999,5,26,23,1010,84,,,,10000,,,NIL,,,,,
"['03:00', '07/01']",07/01 03:00,270,2,9999,NIL,26,22,1009,79,,,,NIL,,,NIL,,,,,
"['04:00', '07/01']",07/01 04:00,340,2,9999,NIL,25,22,1008,83,,,,NIL,,,NIL,,,,,
"['05:00', '07/01']",07/01 05:00,340,2,9999,NIL,25,23,1008,89,,,,NIL,,,NIL,,,,,
"['06:00', '07/01']",07/01 06:00,280,3,9999,NIL,24,22,1007,89,,,,NIL,,,NIL,,,,,
"['07:00', '07/01']",07/01 07:00,270,2,9999,NIL,24,22,1007,89,,,,NIL,,,NIL,,,,,
"['08:00', '07/01']",07/01 08:00,240,2,9999,NIL,23,21,1007,89,,,,NIL,,,NIL,,,,,
"['09:00', '07/01']",07/01 09:00,30,4,9999,NIL,24,22,1008,89,,,,NIL,,,NIL,,,,,
"['10:00', '07/01']",07/01 10:00,40,3,9999,NIL,26,23,1009,84,,,,NIL,,,NIL,,,,,
"['11:00', '07/01']",07/01 11:00,20,5,9999,NIL,27,23,1009,79,,,,NIL,,,NIL,,,,,
"['12:00', '07/01']",07/01 12:00,100,3,9999,NIL,29,22,1009,66,,,,NIL,,,NIL,,,,,
"['13:00', '07/01']",07/01 13:00,350,4,9999,NIL,31,22,1009,59,,,,NIL,,,NIL,,,,,
"['14:00', '07/01']",07/01 14:00,350,4,9999,NIL,33,22,1008,53,,,,NIL,,,NIL,,,,,
"['15:00', '07/01']",07/01 15:00,50,4,9999,NIL,34,20,1008,44,,,,NIL,,,NIL,,,,,
"['16:00', '07/01']",07/01 16:00,130,10,9999,NIL,34,23,1007,53,,,,NIL,,,NIL,,,,,
"['17:00', '07/01']",07/01 17:00,130,12,9999,2,33,24,1007,59,,,,NIL,,,NIL,,,,,
"['18:00', '07/01']",07/01 18:00,130,16,9999,2,32,23,1006,59,,,,NIL,,,NIL,,,,,
"['19:00', '07/01']",07/01 19:00,130,16,9999,2,32,22,1005,56,,,,NIL,,,NIL,,,,,
"['20:00', '07/01']",07/01 20:00,120,15,9999,2,31,21,1006,55,,,,NIL,,,NIL,,,,,
"['21:00', '07/01']",07/01 21:00,140,11,9999,3,31,21,1007,55,,,,NIL,,,NIL,,,,,
"['22:00', '07/01']",07/01 22:00,340,11,9999,3,29,23,1009,70,,,,NIL,,,NIL,,,,,
"['23:00', '07/01']",07/01 23:00,40,8,9999,5,27,23,1009,79,,,,10000,,,210,,,,,
"['00:00', '08/01']",08/01 00:00,80,7,9999,NIL,26,23,1009,84,,,,NIL,,,NIL,,,,,
"['01:00', '08/01']",08/01 01:00,120,7,9999,NIL,26,23,1009,84,,,NIL,NIL,,,,,,,,
"['02:00', '08/01']",08/01 02:00,50,4,9999,NIL,26,22,1010,79,,,NIL,NIL,,,,,,,,
"['03:00', '08/01']",08/01 03:00,360,3,9999,3,26,23,1009,84,,,NIL,NIL,,,,,,,,
"['04:00', '08/01']",08/01 04:00,340,5,9999,3,26,24,1009,89,,,NIL,NIL,,,,,,,,
"['05:00', '08/01']",08/01 05:00,320,5,9999,NIL,26,23,1008,84,,,NIL,NIL,,,,,,,,
"['06:00', '08/01']",08/01 06:00,350,5,9999,NIL,26,23,1008,84,,,NIL,NIL,,,,,,,,
"['07:00', '08/01']",08/01 07:00,330,4,9999,NIL,26,23,1007,84,,,NIL,NIL,,,,,,,,
"['08:00', '08/01']",08/01 08:00,40,5,9999,NIL,26,23,1009,84,,,NIL,NIL,,,,,,,,
"['09:00', '08/01']",08/01 09:00,50,4,9999,NIL,26,23,1009,84,,,NIL,NIL,,,,,,,,
"['10:00', '08/01']",08/01 10:00,30,3,9999,NIL,27,23,1010,79,,,NIL,NIL,,,,,,,,
"['11:00', '08/01']",08/01 11:00,60,2,9999,3,28,23,1010,74,,,NIL,NIL,,,,,,,,
"['12:00', '08/01']",08/01 12:00,40,3,9999,3,28,24,1010,79,,,NIL,NIL,,,,,,,,
"['13:00', '08/01']",08/01 13:00,220,2,9999,5,31,23,1011,63,,,NIL,10000,,,,,,,,
"['14:00', '08/01']",08/01 14:00,130,6,9999,5,33,23,1010,56,,,NIL,10000,,,,,,,,
"['15:00', '08/01']",08/01 15:00,120,9,9999,2,32,23,1009,59,,,NIL,NIL,,,,,,,,
"['16:00', '08/01']",08/01 16:00,120,10,9999,2,32,23,1009,59,,,NIL,NIL,,,,,,,,
"['17:00', '08/01']",08/01 17:00,120,9,9999,5,31,22,1009,59,,,NIL,10000,,,,,,,,
"['18:00', '08/01']",08/01 18:00,330,15,9999,8,28,23,1009,74,,,NIL,4000,,,,,,,,
"['19:00', '08/01']",08/01 19:00,70,15,9000,8,26,22,1011,79,,,NIL,10000,,,,,,,,
"['20:00', '08/01']",08/01 20:00,160,3,9000,8,26,22,1010,79,,,1,10000,,,,,,,,
"['21:00', '08/01']",08/01 21:00,130,3,9000,8,25,22,1011,83,,,1,10000,,,,,,,,
"['22:00', '08/01']",08/01 22:00,260,6,9000,8,25,23,1011,89,,,1,10000,,,,,,,,
"['23:00', '08/01']",08/01 23:00,220,5,8000,8,26,23,1011,84,,,1,10000,,,,,,,,
"['00:00', '09/01']",09/01 00:00,60,3,9000,5,26,23,1010,84,,,NIL,10000,,,,,,,,
"['01:00', '09/01']",09/01 01:00,320,6,9000,5,25,23,1010,89,,,,10000,,,NIL,,,,,
"['02:00', '09/01']",09/01 02:00,360,5,9999,NIL,25,23,1010,89,,,,NIL,,,185,,,,,
"['03:00', '09/01']",09/01 03:00,340,5,9999,NIL,25,23,1010,89,,,,NIL,,,180,,,,,
"['04:00', '09/01']",09/01 04:00,360,5,9999,NIL,26,23,1009,84,,,,NIL,,,NIL,,,,,
"['05:00', '09/01']",09/01 05:00,60,4,9999,NIL,25,23,1009,89,,,,NIL,,,NIL,,,,,
"['06:00', '09/01']",09/01 06:00,80,3,9999,NIL,25,23,1009,89,,,,NIL,,,NIL,,,,,
"['07:00', '09/01']",09/01 07:00,90,5,9999,2,25,23,1009,89,,,,NIL,,,NIL,,,,,
"['08:00', '09/01']",09/01 08:00,70,6,9999,2,25,23,1010,89,,,,NIL,,,NIL,,,,,
"['09:00', '09/01']",09/01 09:00,40,5,9999,2,25,23,1010,89,,,,NIL,,,NIL,,,,,
"['10:00', '09/01']",09/01 10:00,VRB,2,9999,2,27,23,1011,79,,,,NIL,,,NIL,,,,,
"['11:00', '09/01']",09/01 11:00,210,2,9999,NIL,28,23,1011,74,,,,NIL,,,NIL,,,,,
"['12:00', '09/01']",09/01 12:00,120,4,9999,NIL,28,24,1012,79,,,,NIL,,,NIL,,,,,
"['13:00', '09/01']",09/01 13:00,40,4,9999,NIL,30,24,1012,70,,,,NIL,,,NIL,,,,,
"['14:00', '09/01']",09/01 14:00,60,4,9999,2,32,19,1011,46,,,,NIL,,,NIL,,,,,
"['15:00', '09/01']",09/01 15:00,170,5,9999,2,33,22,1011,53,,,,NIL,,,NIL,,,,,
"['16:00', '09/01']",09/01 16:00,130,10,9999,2,32,23,1010,59,,,,NIL,,,NIL,,,,,
"['17:00', '09/01']",09/01 17:00,120,10,9999,5,32,24,1010,63,,,,10000,,,NIL,,,,,
"['18:00', '09/01']",09/01 18:00,120,11,9999,2,31,24,1009,66,,,,NIL,,,NIL,,,,,
"['19:00', '09/01']",09/01 19:00,130,12,9999,5,31,24,1009,66,,,,10000,,,NIL,,,,,
"['20:00', '09/01']",09/01 20:00,120,12,9999,5,29,24,1009,74,,,,10000,,,NIL,,,,,
"['21:00', '09/01']",09/01 21:00,130,12,9999,5,28,23,1009,74,,,,10000,,,NIL,,,,,
"['22:00', '09/01']",09/01 22:00,120,8,9999,NIL,28,24,1010,79,,,,NIL,,,NIL,,,,,
"['23:00', '09/01']",09/01 23:00,120,9,9999,NIL,28,23,1011,74,,,,NIL,,,NIL,,,,,
"['00:00', '10/01']",10/01 00:00,120,6,9999,NIL,27,24,1011,84,,,,NIL,,,NIL,,,,,
"['01:00', '10/01']",10/01 01:00,140,4,9999,NIL,27,24,1012,84,,,,,,,,,,,,
"['02:00', '10/01']",10/01 02:00,100,4,9999,NIL,27,24,1011,84,,,,,,,,,,,,
"['03:00', '10/01']",10/01 03:00,110,4,9999,NIL,27,24,1011,84,,,,,,,,,,,,
"['04:00', '10/01']",10/01 04:00,120,5,9999,NIL,27,24,1011,84,,,,,,,,,,,,
"['05:00', '10/01']",10/01 05:00,120,5,9999,NIL,26,24,1011,89,,,,,,,,,,,,
"['06:00', '10/01']",10/01 06:00,160,3,9999,NIL,26,23,1011,84,,,,,,,,,,,,
"['07:00', '10/01']",10/01 07:00,100,5,9999,NIL,25,23,1011,89,,,,,,,,,,,,
"['08:00', '10/01']",10/01 08:00,120,3,9999,NIL,25,23,1011,89,,,,,,,,,,,,
"['09:00', '10/01']",10/01 09:00,100,2,9999,NIL,26,24,1011,89,,,,,,,,,,,,
"['10:00', '10/01']",10/01 10:00,30,3,9999,NIL,27,24,1011,84,,,,,,,,,,,,
"['11:00', '10/01']",10/01 11:00,200,4,9999,NIL,28,24,1011,79,,,,,,,,,,,,
"['12:00', '10/01']",10/01 12:00,70,3,9999,NIL,31,25,1011,71,,,,,,,,,,,,
"['13:00', '10/01']",10/01 13:00,210,3,9999,NIL,31,24,1011,66,,,,,,,,,,,,
"['14:00', '10/01']",10/01 14:00,40,6,9999,NIL,32,24,1011,63,,,,,,,,,,,,
"['15:00', '10/01']",10/01 15:00,120,11,9999,NIL,32,23,1010,59,,,,,,,,,,,,
"['16:00', '10/01']",10/01 16:00,130,12,9999,NIL,31,23,1010,63,,,,,,,,,,,,
"['17:00', '10/01']",10/01 17:00,130,13,9999,2,32,23,1009,59,,,,,,,,,,,,
"['18:00', '10/01']",10/01 18:00,140,15,9999,2,32,23,1009,59,,,,,,,,,,,,
"['19:00', '10/01']",10/01 19:00,70,18,9999,3,31,23,1009,63,,,,,,,,,,,,
"['20:00', '10/01']",10/01 20:00,90,8,9999,3,30,23,1008,66,,,,,,,,,,,,
"['21:00', '10/01']",10/01 21:00,80,7,9999,2,30,23,1008,66,,,,,,,,,,,,
"['22:00', '10/01']",10/01 22:00,130,5,9999,2,29,24,1008,74,,,,,,,,,,,,
