validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,nevoeiro,pancada,nevoa_seca,chuvisco,fumaca
"['01:00', '27/11']",27/11 01:00,190,8,NIL,9999,NIL,NIL,NIL,NIL,23,17,1019,69,,NIL,NIL,,,,,,
"['02:00', '27/11']",27/11 02:00,130,8,NIL,9999,NIL,NIL,NIL,NIL,22,17,1018,73,,NIL,NIL,,,,,,
"['03:00', '27/11']",27/11 03:00,140,5,NIL,9999,NIL,NIL,NIL,NIL,21,16,1017,73,,NIL,NIL,,,,,,
"['04:00', '27/11']",27/11 04:00,110,6,NIL,9999,NIL,NIL,NIL,NIL,20,17,1017,83,,NIL,NIL,,,,,,
"['05:00', '27/11']",27/11 05:00,110,9,NIL,9999,NIL,NIL,NIL,NIL,20,16,1016,78,,NIL,NIL,,,,,,
"['06:00', '27/11']",27/11 06:00,110,7,NIL,9999,NIL,NIL,NIL,NIL,20,16,1015,78,,NIL,NIL,,,,,,
"['07:00', '27/11']",27/11 07:00,110,6,NIL,9999,NIL,NIL,NIL,NIL,19,16,1016,83,,NIL,NIL,,,,,,
"['08:00', '27/11']",27/11 08:00,140,9,NIL,9999,NIL,NIL,NIL,NIL,20,16,1017,78,,NIL,NIL,,,,,,
"['09:00', '27/11']",27/11 09:00,180,5,NIL,9999,NIL,NIL,NIL,NIL,21,16,1018,73,,NIL,NIL,,,,,,
"['10:00', '27/11']",27/11 10:00,170,4,150,9999,NIL,NIL,NIL,NIL,22,17,1019,73,,NIL,NIL,,,,,,
"['11:00', '27/11']",27/11 11:00,110,6,105,9999,NIL,NIL,NIL,NIL,25,17,1019,61,,NIL,NIL,,,,,,
"['12:00', '27/11']",27/11 12:00,20,5,200,9999,NIL,NIL,NIL,NIL,28,16,1019,48,,NIL,NIL,,,,,,
"['13:00', '27/11']",27/11 13:00,VRB,4,NIL,9999,NIL,NIL,NIL,2,30,17,1019,46,,NIL,NIL,,,,,,
