validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,nevoeiro,pancada,nevoa_seca,chuvisco,fumaca
"['01:00', '01/01']",01/01 01:00,110,5,NIL,9999,NIL,NIL,NIL,NIL,24,18,1012,69,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,80,4,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,120,6,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,110,6,NIL,9999,NIL,NIL,NIL,NIL,23,18,1011,73,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,120,5,NIL,9999,NIL,NIL,NIL,NIL,22,18,1011,78,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,140,4,NIL,9999,NIL,NIL,NIL,NIL,22,19,1011,83,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,60,4,NIL,9999,NIL,NIL,NIL,2,22,18,1011,78,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,40,5,NIL,9999,NIL,NIL,NIL,2,23,18,1011,73,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,30,8,NIL,9999,NIL,NIL,NIL,2,24,18,1011,69,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,30,12,NIL,9999,NIL,NIL,NIL,2,25,18,1012,65,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,20,10,NIL,9999,NIL,NIL,NIL,NIL,26,18,1012,61,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,360,11,NIL,9999,NIL,NIL,NIL,3,26,18,1013,61,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,360,10,NIL,9999,NIL,NIL,NIL,3,29,19,1012,55,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,340,8,NIL,9999,NIL,NIL,NIL,3,29,18,1012,52,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,340,7,155,9999,NIL,NIL,4000,5,31,18,1011,46,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,350,7,NIL,9999,NIL,NIL,4700,5,31,18,1010,46,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,350,8,150,9999,NIL,NIL,NIL,3,33,17,1009,39,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,VRB,4,NIL,9999,NIL,NIL,NIL,3,34,15,1008,32,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,10,3,NIL,9999,NIL,NIL,NIL,3,32,14,1007,34,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,270,4,270,9999,NIL,NIL,NIL,3,32,14,1006,34,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,240,10,NIL,9999,NIL,1,7000,5,29,17,1007,48,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,350,9,NIL,9999,1,1,9000,5,23,19,1009,78,,,,,,,,,
"['22:28', '01/01']",01/01 22:28,70,3,95,9999,NIL,1,8000,5,24,19,1009,74,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,160,3,NIL,9999,NIL,1,10000,8,25,19,1009,69,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,220,8,NIL,9999,1,NIL,NIL,3,24,19,1011,74,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,180,7,NIL,9999,1,NIL,NIL,2,24,19,1012,74,NIL,NIL,NIL,NIL,,,,,
"['02:00', '02/01']",02/01 02:00,120,5,NIL,9999,1,NIL,9000,8,23,19,1012,78,NIL,NIL,NIL,NIL,,,,,
"['03:00', '02/01']",02/01 03:00,60,5,NIL,9999,NIL,NIL,9000,8,23,19,1011,78,NIL,NIL,NIL,NIL,,,,,
"['04:00', '02/01']",02/01 04:00,120,2,NIL,9999,NIL,NIL,9000,8,23,19,1010,78,NIL,NIL,NIL,NIL,,,,,
"['05:00', '02/01']",02/01 05:00,120,3,NIL,9999,NIL,NIL,10000,5,23,18,1009,73,NIL,NIL,NIL,NIL,,,,,
"['06:00', '02/01']",02/01 06:00,70,2,NIL,9999,NIL,NIL,10000,5,23,19,1009,78,NIL,NIL,NIL,NIL,,,,,
"['07:00', '02/01']",02/01 07:00,120,3,NIL,9999,NIL,NIL,NIL,2,22,19,1009,83,NIL,NIL,NIL,NIL,,,,,
"['08:00', '02/01']",02/01 08:00,0,0,NIL,9999,NIL,NIL,NIL,2,23,19,1010,78,NIL,NIL,NIL,NIL,,,,,
"['09:00', '02/01']",02/01 09:00,350,2,NIL,9999,NIL,NIL,NIL,NIL,23,19,1010,78,NIL,NIL,NIL,NIL,,,,,
"['10:00', '02/01']",02/01 10:00,70,2,NIL,9999,1,NIL,NIL,2,23,20,1011,83,NIL,NIL,NIL,NIL,,,,,
"['11:00', '02/01']",02/01 11:00,0,0,NIL,9999,NIL,NIL,NIL,3,23,20,1011,83,NIL,NIL,NIL,NIL,,,,,
"['12:00', '02/01']",02/01 12:00,10,3,NIL,9999,NIL,NIL,8300,5,24,20,1012,78,NIL,NIL,NIL,NIL,,,,,
"['13:00', '02/01']",02/01 13:00,340,6,160,9999,NIL,NIL,NIL,3,26,20,1012,70,NIL,NIL,NIL,NIL,,,,,
"['14:00', '02/01']",02/01 14:00,320,7,315,9999,NIL,NIL,NIL,3,27,19,1011,62,NIL,NIL,NIL,NIL,,,,,
"['15:00', '02/01']",02/01 15:00,330,8,155,9999,NIL,NIL,NIL,3,28,19,1011,58,NIL,NIL,NIL,NIL,,,,,
"['16:00', '02/01']",02/01 16:00,320,8,145,9999,NIL,NIL,NIL,3,29,18,1010,52,NIL,NIL,NIL,NIL,,,,,
"['17:00', '02/01']",02/01 17:00,340,8,170,9999,NIL,NIL,NIL,3,30,19,1009,52,NIL,NIL,NIL,NIL,,,,,
"['18:00', '02/01']",02/01 18:00,360,7,190,9999,NIL,NIL,NIL,3,31,17,1009,43,NIL,NIL,NIL,NIL,,,,,
"['19:00', '02/01']",02/01 19:00,300,8,315,9999,NIL,NIL,NIL,3,29,17,1008,48,NIL,NIL,NIL,NIL,,,,,
"['20:00', '02/01']",02/01 20:00,360,13,NIL,9999,1,1,7000,5,25,21,1009,79,NIL,2000,315,NIL,,,,,
"['20:05', '02/01']",02/01 20:05,300,15,NIL,400,1,1,300,8,23,20,1010,83,25,NIL,NIL,NIL,,,,,
"['20:30', '02/01']",02/01 20:30,VRB,5,NIL,2000,1,1,8000,8,21,20,1010,94,NIL,NIL,NIL,1,,,,,
"['21:00', '02/01']",02/01 21:00,180,8,NIL,8000,1,1,8000,8,21,20,1010,94,NIL,3700,135,NIL,,,,,
"['21:45', '02/01']",02/01 21:45,70,4,60,9999,1,1,1700,8,21,20,1012,94,NIL,NIL,NIL,NIL,,,,,
"['22:00', '02/01']",02/01 22:00,90,5,NIL,9999,1,1,1700,8,21,19,1012,88,NIL,NIL,NIL,NIL,,,,,
"['23:00', '02/01']",02/01 23:00,60,5,NIL,9999,1,NIL,4500,8,21,20,1013,94,NIL,NIL,NIL,NIL,,,,,
"['00:00', '03/01']",03/01 00:00,40,7,NIL,9999,NIL,NIL,5000,8,21,19,1013,88,NIL,NIL,NIL,NIL,,,,,
"['01:00', '03/01']",03/01 01:00,130,5,NIL,9999,1,,10000,8,21,19,1013,88,,,,,,,,,
"['02:00', '03/01']",03/01 02:00,130,5,NIL,9999,NIL,,10000,8,21,19,1012,88,,,,,,,,,
"['03:00', '03/01']",03/01 03:00,210,7,NIL,9999,NIL,,8000,5,21,19,1013,88,,,,,,,,,
"['04:00', '03/01']",03/01 04:00,120,5,NIL,9999,NIL,,10000,5,21,19,1012,88,,,,,,,,,
"['05:00', '03/01']",03/01 05:00,140,3,NIL,9999,1,,5000,5,21,19,1012,88,,,,,,,,,
"['06:00', '03/01']",03/01 06:00,330,3,155,9999,1,,1000,8,20,19,1012,94,,,,,,,,,
"['07:00', '03/01']",03/01 07:00,0,0,NIL,9999,NIL,,NIL,3,21,19,1012,88,,,,,,,,,
"['08:00', '03/01']",03/01 08:00,0,0,NIL,9999,NIL,,NIL,3,21,19,1012,88,,,,,,,,,
"['09:00', '03/01']",03/01 09:00,160,6,NIL,9999,NIL,,NIL,3,21,19,1012,88,,,,,,,,,
"['10:00', '03/01']",03/01 10:00,100,4,NIL,9999,NIL,,NIL,3,21,19,1013,88,,,,,,,,,
"['11:00', '03/01']",03/01 11:00,100,4,80,9999,NIL,,NIL,3,22,19,1014,83,,,,,,,,,
"['12:00', '03/01']",03/01 12:00,110,8,NIL,9999,NIL,,NIL,3,24,18,1014,69,,,,,,,,,
"['13:00', '03/01']",03/01 13:00,120,12,NIL,9999,NIL,,NIL,3,25,18,1015,65,,,,,,,,,
"['14:00', '03/01']",03/01 14:00,140,10,NIL,9999,NIL,,3000,5,27,19,1014,62,,,,,,,,,
"['15:00', '03/01']",03/01 15:00,130,5,140,9999,NIL,,5000,5,26,18,1014,61,,,,,,,,,
"['16:00', '03/01']",03/01 16:00,220,8,NIL,9999,NIL,,8300,5,27,19,1013,62,,,,,,,,,
"['17:00', '03/01']",03/01 17:00,230,12,NIL,9999,NIL,,8300,5,28,19,1012,58,,,,,,,,,
"['18:00', '03/01']",03/01 18:00,200,13,NIL,9999,NIL,,10000,5,28,18,1011,55,,,,,,,,,
"['19:00', '03/01']",03/01 19:00,190,14,NIL,9999,NIL,,10000,5,26,18,1011,61,,,,,,,,,
"['20:00', '03/01']",03/01 20:00,180,15,NIL,9999,NIL,,10000,5,26,17,1011,58,,,,,,,,,
"['21:00', '03/01']",03/01 21:00,170,15,NIL,9999,NIL,,10000,5,25,17,1011,61,,,,,,,,,
"['22:00', '03/01']",03/01 22:00,130,10,NIL,9999,NIL,,10000,5,23,16,1012,65,,,,,,,,,
"['23:00', '03/01']",03/01 23:00,110,14,NIL,9999,NIL,,NIL,NIL,22,15,1013,65,,,,,,,,,
"['00:00', '04/01']",04/01 00:00,110,10,NIL,9999,NIL,,NIL,NIL,21,16,1014,73,,,,,,,,,
"['01:00', '04/01']",04/01 01:00,120,10,NIL,9999,NIL,,NIL,NIL,21,16,1014,73,,NIL,NIL,NIL,,,,,
"['02:00', '04/01']",04/01 02:00,120,10,NIL,9999,NIL,,NIL,2,21,16,1014,73,,NIL,NIL,NIL,,,,,
"['03:00', '04/01']",04/01 03:00,150,10,NIL,9999,NIL,,NIL,NIL,20,16,1013,78,,NIL,NIL,NIL,,,,,
"['04:00', '04/01']",04/01 04:00,130,6,NIL,9999,NIL,,NIL,NIL,20,16,1012,78,,NIL,NIL,NIL,,,,,
"['05:00', '04/01']",04/01 05:00,140,4,NIL,9999,NIL,,NIL,NIL,20,16,1012,78,,NIL,NIL,NIL,,,,,
"['06:00', '04/01']",04/01 06:00,130,5,NIL,9999,NIL,,NIL,NIL,19,17,1012,88,,NIL,NIL,NIL,,,,,
"['07:00', '04/01']",04/01 07:00,140,7,NIL,9999,NIL,,NIL,NIL,19,17,1011,88,,NIL,NIL,NIL,,,,,
"['08:00', '04/01']",04/01 08:00,140,10,NIL,9999,NIL,,NIL,NIL,19,17,1011,88,,NIL,NIL,NIL,,,,,
"['09:00', '04/01']",04/01 09:00,140,7,NIL,9999,NIL,,NIL,3,19,17,1011,88,,NIL,NIL,NIL,,,,,
"['10:00', '04/01']",04/01 10:00,130,9,NIL,9999,NIL,,10000,5,20,17,1012,83,,NIL,NIL,NIL,,,,,
"['11:00', '04/01']",04/01 11:00,130,9,NIL,9999,NIL,,6000,5,21,17,1012,78,,NIL,NIL,NIL,,,,,
"['12:00', '04/01']",04/01 12:00,150,8,NIL,9999,1,,4000,5,21,17,1013,78,,NIL,NIL,NIL,,,,,
"['13:00', '04/01']",04/01 13:00,170,4,NIL,9000,1,,7000,5,21,18,1013,83,,4000,270,NIL,,,,,
"['14:00', '04/01']",04/01 14:00,220,5,NIL,8000,1,,4000,5,21,19,1013,88,,3000,270,NIL,,,,,
"['15:00', '04/01']",04/01 15:00,210,8,NIL,4000,1,,7000,5,21,20,1012,94,,NIL,NIL,1,,,,,
"['15:19', '04/01']",04/01 15:19,220,6,NIL,8000,1,,7000,5,23,20,1012,83,,3000,90,NIL,,,,,
"['16:00', '04/01']",04/01 16:00,190,6,NIL,9999,NIL,,NIL,3,24,19,1012,74,,NIL,NIL,NIL,,,,,
"['17:00', '04/01']",04/01 17:00,250,6,NIL,9999,NIL,,2000,5,26,19,1011,65,,NIL,NIL,NIL,,,,,
"['18:00', '04/01']",04/01 18:00,250,7,240,9999,NIL,,4000,5,27,19,1010,62,,NIL,NIL,NIL,,,,,
"['19:00', '04/01']",04/01 19:00,240,7,215,9999,NIL,,NIL,3,28,17,1009,51,,NIL,NIL,NIL,,,,,
"['20:00', '04/01']",04/01 20:00,200,9,NIL,9999,NIL,,NIL,3,28,18,1008,55,,NIL,NIL,NIL,,,,,
"['21:00', '04/01']",04/01 21:00,170,15,NIL,9999,NIL,,NIL,3,25,18,1009,65,,NIL,NIL,NIL,,,,,
"['22:00', '04/01']",04/01 22:00,120,9,NIL,9999,NIL,,4000,5,24,19,1010,74,,NIL,NIL,NIL,,,,,
"['23:00', '04/01']",04/01 23:00,130,13,NIL,9999,NIL,,NIL,NIL,23,17,1011,69,,NIL,NIL,NIL,,,,,
"['00:00', '05/01']",05/01 00:00,110,11,NIL,9999,NIL,,NIL,NIL,22,17,1011,73,,NIL,NIL,NIL,,,,,
"['01:00', '05/01']",05/01 01:00,110,10,NIL,9999,NIL,NIL,NIL,NIL,22,18,1012,78,,,,NIL,,,,,
"['02:00', '05/01']",05/01 02:00,100,8,NIL,9999,NIL,NIL,NIL,NIL,21,17,1012,78,,,,NIL,,,,,
"['03:00', '05/01']",05/01 03:00,90,6,NIL,9999,NIL,NIL,NIL,NIL,21,17,1012,78,,,,NIL,,,,,
"['04:00', '05/01']",05/01 04:00,90,3,NIL,9999,NIL,NIL,NIL,NIL,21,17,1010,78,,,,NIL,,,,,
"['05:00', '05/01']",05/01 05:00,170,7,NIL,9999,NIL,NIL,NIL,NIL,21,18,1009,83,,,,NIL,,,,,
"['06:00', '05/01']",05/01 06:00,170,7,NIL,9999,NIL,NIL,NIL,NIL,20,17,1009,83,,,,NIL,,,,,
"['07:00', '05/01']",05/01 07:00,150,6,NIL,9999,NIL,NIL,NIL,NIL,20,17,1009,83,,,,NIL,,,,,
"['08:00', '05/01']",05/01 08:00,110,6,NIL,9999,NIL,NIL,1700,5,20,17,1009,83,,,,NIL,,,,,
"['09:00', '05/01']",05/01 09:00,80,4,NIL,9999,NIL,NIL,2500,5,20,18,1010,88,,,,NIL,,,,,
"['10:00', '05/01']",05/01 10:00,120,4,NIL,9999,NIL,NIL,1000,5,21,18,1011,83,,,,NIL,,,,,
"['11:00', '05/01']",05/01 11:00,90,3,NIL,9999,NIL,NIL,1000,8,22,18,1011,78,,,,NIL,,,,,
"['12:00', '05/01']",05/01 12:00,40,5,NIL,9999,NIL,NIL,1000,8,22,19,1012,83,,,,NIL,,,,,
"['13:00', '05/01']",05/01 13:00,20,6,NIL,9999,1,NIL,1500,5,23,18,1012,73,,,,NIL,,,,,
"['14:00', '05/01']",05/01 14:00,360,5,NIL,9999,NIL,NIL,1500,5,24,19,1012,74,,,,NIL,,,,,
"['15:00', '05/01']",05/01 15:00,310,5,305,9999,NIL,NIL,2000,5,25,19,1011,69,,,,NIL,,,,,
"['16:00', '05/01']",05/01 16:00,270,4,265,9999,NIL,NIL,2300,5,26,19,1010,65,,,,NIL,,,,,
"['17:00', '05/01']",05/01 17:00,240,5,NIL,9999,NIL,NIL,3000,5,27,19,1009,62,,,,NIL,,,,,
"['18:00', '05/01']",05/01 18:00,280,5,280,9999,NIL,NIL,NIL,3,26,19,1009,65,,,,NIL,,,,,
"['19:00', '05/01']",05/01 19:00,20,3,210,9999,NIL,NIL,NIL,3,25,20,1008,74,,,,NIL,,,,,
"['20:00', '05/01']",05/01 20:00,220,6,215,9999,NIL,NIL,NIL,3,25,20,1008,74,,,,NIL,,,,,
"['21:00', '05/01']",05/01 21:00,210,8,NIL,9999,NIL,NIL,7000,5,25,17,1009,61,,,,NIL,,,,,
"['21:45', '05/01']",05/01 21:45,240,13,NIL,4000,1,NIL,3000,8,23,20,1009,83,,,,1,,,,,
"['22:00', '05/01']",05/01 22:00,230,12,NIL,4000,1,NIL,3000,8,23,21,1009,89,,,,1,,,,,
"['22:20', '05/01']",05/01 22:20,260,10,NIL,4000,1,1,3000,5,22,21,1010,94,,,,1,,,,,
"['23:00', '05/01']",05/01 23:00,320,11,NIL,4000,1,1,3000,5,19,18,1011,94,,,,1,,,,,
"['00:00', '06/01']",06/01 00:00,130,10,NIL,9999,1,1,NIL,3,20,18,1011,88,,,,NIL,,,,,
"['01:00', '06/01']",06/01 01:00,110,8,NIL,9999,,,NIL,2,20,18,1011,88,,,,,,,,,
"['02:00', '06/01']",06/01 02:00,60,4,NIL,9999,,,NIL,NIL,20,18,1011,88,,,,,,,,,
"['03:00', '06/01']",06/01 03:00,110,4,NIL,9999,,,NIL,NIL,19,18,1010,94,,,,,,,,,
"['04:00', '06/01']",06/01 04:00,90,4,NIL,9999,,,NIL,NIL,19,17,1009,88,,,,,,,,,
"['05:00', '06/01']",06/01 05:00,110,4,NIL,9999,,,NIL,NIL,19,17,1009,88,,,,,,,,,
"['06:00', '06/01']",06/01 06:00,120,3,NIL,9999,,,NIL,NIL,19,17,1009,88,,,,,,,,,
"['07:00', '06/01']",06/01 07:00,0,0,NIL,9999,,,NIL,NIL,18,17,1009,94,,,,,,,,,
"['08:00', '06/01']",06/01 08:00,0,0,NIL,9999,,,NIL,NIL,18,17,1010,94,,,,,,,,,
"['09:00', '06/01']",06/01 09:00,0,0,NIL,9999,,,NIL,3,19,17,1011,88,,,,,,,,,
"['10:00', '06/01']",06/01 10:00,50,3,NIL,9999,,,NIL,2,21,18,1011,83,,,,,,,,,
"['11:00', '06/01']",06/01 11:00,10,7,NIL,9999,,,NIL,3,22,19,1012,83,,,,,,,,,
"['12:00', '06/01']",06/01 12:00,350,8,NIL,9999,,,NIL,3,24,19,1013,74,,,,,,,,,
"['13:00', '06/01']",06/01 13:00,350,10,NIL,9999,,,2000,5,26,20,1013,70,,,,,,,,,
"['14:00', '06/01']",06/01 14:00,350,14,NIL,9999,,,2300,5,26,20,1013,70,,,,,,,,,
"['15:00', '06/01']",06/01 15:00,330,10,315,9999,,,2300,5,27,19,1012,62,,,,,,,,,
"['16:00', '06/01']",06/01 16:00,290,11,NIL,9999,,,3000,5,29,19,1012,55,,,,,,,,,
"['17:00', '06/01']",06/01 17:00,300,11,295,9999,,,4000,5,29,19,1011,55,,,,,,,,,
"['18:00', '06/01']",06/01 18:00,300,8,300,9999,,,4000,5,29,19,1011,55,,,,,,,,,
"['19:00', '06/01']",06/01 19:00,280,8,NIL,9999,,,NIL,3,29,19,1010,55,,,,,,,,,
"['20:00', '06/01']",06/01 20:00,280,8,NIL,9999,,,10000,5,28,19,1010,58,,,,,,,,,
"['21:00', '06/01']",06/01 21:00,280,6,NIL,9999,,,NIL,2,28,19,1010,58,,,,,,,,,
"['22:00', '06/01']",06/01 22:00,360,6,NIL,9999,,,NIL,2,26,19,1011,65,,,,,,,,,
"['23:00', '06/01']",06/01 23:00,50,5,NIL,9999,,,NIL,NIL,25,19,1012,69,,,,,,,,,
"['00:00', '07/01']",07/01 00:00,60,4,NIL,9999,,,NIL,NIL,24,20,1012,78,,,,,,,,,
"['01:00', '07/01']",07/01 01:00,70,4,NIL,9999,NIL,NIL,NIL,NIL,24,19,1013,74,NIL,NIL,NIL,NIL,,,,,
"['02:00', '07/01']",07/01 02:00,90,5,NIL,9999,NIL,NIL,NIL,NIL,23,19,1013,78,NIL,NIL,NIL,NIL,,,,,
"['03:00', '07/01']",07/01 03:00,90,5,NIL,9999,NIL,NIL,NIL,NIL,22,19,1013,83,NIL,NIL,NIL,NIL,,,,,
"['04:00', '07/01']",07/01 04:00,90,5,NIL,9999,NIL,NIL,NIL,NIL,22,19,1013,83,NIL,NIL,NIL,NIL,,,,,
"['05:00', '07/01']",07/01 05:00,110,5,NIL,9999,NIL,NIL,NIL,NIL,21,19,1012,88,NIL,NIL,NIL,NIL,,,,,
"['06:00', '07/01']",07/01 06:00,10,8,NIL,9999,NIL,NIL,NIL,NIL,22,19,1013,83,NIL,NIL,NIL,NIL,,,,,
"['07:00', '07/01']",07/01 07:00,20,6,NIL,9999,NIL,NIL,NIL,NIL,22,19,1013,83,NIL,NIL,NIL,NIL,,,,,
"['08:00', '07/01']",07/01 08:00,40,8,NIL,9999,NIL,NIL,NIL,NIL,22,19,1014,83,NIL,NIL,NIL,NIL,,,,,
"['09:00', '07/01']",07/01 09:00,40,7,NIL,9999,NIL,NIL,NIL,NIL,23,19,1014,78,NIL,NIL,NIL,NIL,,,,,
"['10:00', '07/01']",07/01 10:00,20,7,NIL,9999,NIL,NIL,NIL,NIL,24,19,1014,74,NIL,NIL,NIL,NIL,,,,,
"['11:00', '07/01']",07/01 11:00,360,10,NIL,9999,NIL,NIL,NIL,NIL,24,19,1015,74,NIL,NIL,NIL,NIL,,,,,
"['12:00', '07/01']",07/01 12:00,350,10,NIL,9999,NIL,NIL,NIL,2,26,20,1015,70,NIL,NIL,NIL,NIL,,,,,
"['13:00', '07/01']",07/01 13:00,330,9,NIL,9999,NIL,NIL,NIL,2,28,19,1014,58,NIL,NIL,NIL,NIL,,,,,
"['14:00', '07/01']",07/01 14:00,280,11,NIL,9999,NIL,NIL,NIL,3,29,19,1014,55,NIL,NIL,NIL,NIL,,,,,
"['15:00', '07/01']",07/01 15:00,300,11,NIL,9999,NIL,NIL,4000,5,30,19,1014,52,NIL,NIL,NIL,NIL,,,,,
"['16:00', '07/01']",07/01 16:00,290,12,305,9999,NIL,NIL,4500,5,31,19,1013,49,NIL,NIL,NIL,NIL,,,,,
"['17:00', '07/01']",07/01 17:00,300,9,310,9999,NIL,NIL,NIL,3,31,18,1011,46,NIL,NIL,NIL,NIL,,,,,
"['18:00', '07/01']",07/01 18:00,310,6,155,9999,NIL,NIL,NIL,3,31,18,1011,46,NIL,NIL,NIL,NIL,,,,,
"['19:00', '07/01']",07/01 19:00,340,6,170,9999,NIL,NIL,NIL,3,31,18,1010,46,NIL,NIL,NIL,NIL,,,,,
"['20:00', '07/01']",07/01 20:00,10,4,NIL,9999,NIL,NIL,NIL,3,32,18,1010,43,NIL,NIL,NIL,NIL,,,,,
"['21:00', '07/01']",07/01 21:00,110,5,105,9999,NIL,1,4500,5,28,20,1010,62,NIL,NIL,NIL,NIL,,,,,
"['21:10', '07/01']",07/01 21:10,340,17,195,9999,1,1,3700,5,25,20,1011,74,28,NIL,NIL,NIL,,,,,
"['22:00', '07/01']",07/01 22:00,90,7,85,9999,1,1,4700,5,23,20,1012,83,NIL,4000,315,NIL,,,,,
"['22:20', '07/01']",07/01 22:20,290,10,NIL,2000,1,1,4500,8,22,20,1014,88,NIL,NIL,NIL,1,,,,,
"['23:00', '07/01']",07/01 23:00,170,7,175,7000,1,1,5000,8,22,21,1014,94,NIL,NIL,NIL,NIL,,,,,
"['23:40', '07/01']",07/01 23:40,100,7,NIL,7000,1,1,4000,8,22,21,1014,94,NIL,NIL,NIL,NIL,,,,,
"['00:00', '08/01']",08/01 00:00,170,5,205,9000,1,1,2000,8,22,21,1014,94,NIL,NIL,NIL,NIL,,,,,
"['01:00', '08/01']",08/01 01:00,140,4,NIL,9000,1,1,8000,8,21,20,1014,94,,,,NIL,,,,,
"['01:30', '08/01']",08/01 01:30,120,6,NIL,9999,1,NIL,10000,8,21,20,1014,94,,,,NIL,,,,,
"['02:00', '08/01']",08/01 02:00,100,6,NIL,9999,1,NIL,8300,5,21,20,1014,94,,,,NIL,,,,,
"['02:20', '08/01']",08/01 02:20,290,5,275,3000,1,NIL,400,8,21,20,1015,94,,,,1,,,,,
"['03:00', '08/01']",08/01 03:00,70,5,55,6000,1,NIL,1500,8,21,20,1014,94,,,,NIL,,,,,
"['04:00', '08/01']",08/01 04:00,70,6,NIL,9999,NIL,NIL,10000,5,21,20,1013,94,,,,NIL,,,,,
"['05:00', '08/01']",08/01 05:00,90,7,NIL,9999,NIL,NIL,10000,5,21,20,1012,94,,,,NIL,,,,,
"['06:00', '08/01']",08/01 06:00,80,3,NIL,9999,NIL,NIL,10000,5,21,19,1012,88,,,,NIL,,,,,
"['07:00', '08/01']",08/01 07:00,60,3,NIL,9999,NIL,NIL,NIL,NIL,21,19,1013,88,,,,NIL,,,,,
"['08:00', '08/01']",08/01 08:00,360,3,NIL,9999,NIL,NIL,NIL,NIL,21,20,1013,94,,,,NIL,,,,,
"['09:00', '08/01']",08/01 09:00,30,3,NIL,6000,NIL,NIL,7000,5,22,20,1014,88,,,,NIL,,,,,
"['10:00', '08/01']",08/01 10:00,20,6,NIL,9000,NIL,NIL,8000,5,22,20,1015,88,,,,NIL,,,,,
"['11:00', '08/01']",08/01 11:00,360,5,NIL,9999,NIL,NIL,NIL,3,23,20,1015,83,,,,NIL,,,,,
"['12:00', '08/01']",08/01 12:00,350,6,NIL,9999,NIL,NIL,NIL,3,24,21,1016,83,,,,NIL,,,,,
"['13:00', '08/01']",08/01 13:00,300,5,NIL,9999,NIL,NIL,1600,5,26,21,1016,74,,,,NIL,,,,,
"['14:00', '08/01']",08/01 14:00,290,5,NIL,9999,NIL,NIL,2500,5,27,22,1016,74,,,,NIL,,,,,
"['15:00', '08/01']",08/01 15:00,340,4,145,9999,NIL,NIL,NIL,3,28,21,1015,66,,,,NIL,,,,,
"['15:10', '08/01']",08/01 15:10,320,4,140,9999,NIL,1,NIL,3,28,21,1015,66,,,,NIL,,,,,
"['16:00', '08/01']",08/01 16:00,300,5,305,6000,1,1,NIL,3,29,21,1014,62,,,,NIL,,,,,
"['16:40', '08/01']",08/01 16:40,10,9,NIL,9999,NIL,1,NIL,2,28,21,1013,66,,,,NIL,,,,,
"['17:00', '08/01']",08/01 17:00,360,8,NIL,9999,NIL,1,NIL,2,27,21,1013,70,,,,NIL,,,,,
"['18:00', '08/01']",08/01 18:00,0,0,NIL,9999,NIL,1,NIL,3,28,21,1013,66,,,,NIL,,,,,
"['19:00', '08/01']",08/01 19:00,360,9,NIL,9999,NIL,1,NIL,3,27,22,1012,74,,,,NIL,,,,,
"['20:00', '08/01']",08/01 20:00,360,4,NIL,9999,NIL,1,7000,5,25,22,1012,83,,,,NIL,,,,,
"['21:00', '08/01']",08/01 21:00,30,4,NIL,9999,NIL,1,NIL,3,26,22,1012,79,,,,NIL,,,,,
"['22:00', '08/01']",08/01 22:00,20,4,NIL,9999,NIL,1,NIL,3,25,23,1013,89,,,,NIL,,,,,
"['23:00', '08/01']",08/01 23:00,20,4,NIL,9999,NIL,NIL,10000,5,25,22,1014,83,,,,NIL,,,,,
"['23:45', '08/01']",08/01 23:45,320,10,NIL,9999,1,1,10000,8,23,21,1015,89,,,,NIL,,,,,
"['00:00', '09/01']",09/01 00:00,320,10,NIL,9000,1,1,3000,8,22,21,1014,94,,,,NIL,,,,,
"['00:20', '09/01']",09/01 00:20,360,6,190,9999,1,1,5000,5,22,21,1015,94,,,,NIL,,,,,
"['01:00', '09/01']",09/01 01:00,10,8,NIL,9999,1,1,10000,5,22,21,1015,94,,NIL,NIL,,,,,,
"['02:00', '09/01']",09/01 02:00,30,7,NIL,9999,1,NIL,7000,5,22,20,1016,88,,NIL,NIL,,,,,,
"['03:00', '09/01']",09/01 03:00,30,8,NIL,9999,NIL,NIL,8000,8,22,20,1015,88,,NIL,NIL,,,,,,
"['04:00', '09/01']",09/01 04:00,50,5,NIL,9999,NIL,NIL,8000,8,22,20,1015,88,,NIL,NIL,,,,,,
