validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vnt_vrb,teto,chuva,nevoa_umida,vnt_rajada,pancada,trovoada,vis_setor,vis_setor_dir,nevoeiro
"['01:00', '01/01']",01/01 01:00,90,10,9999,3,28,21,1014,66,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,90,9,9999,2,28,21,1013,66,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,80,9,9999,3,27,22,1013,74,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,80,8,9999,2,27,22,1013,74,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,80,8,9999,3,27,21,1013,70,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,80,5,9999,3,27,21,1013,70,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,0,0,9999,2,25,22,1013,83,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,340,2,9999,3,25,22,1014,83,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,360,3,9999,3,26,22,1014,79,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,10,5,9999,2,27,22,1015,74,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,40,6,9999,2,29,22,1014,66,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,80,10,9999,3,30,20,1015,55,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,80,10,9999,3,30,21,1015,59,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,90,10,9999,3,30,22,1015,62,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,80,11,9999,3,31,23,1014,63,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,90,11,9999,2,31,22,1014,59,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,80,11,9999,3,30,22,1013,62,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,90,12,9999,2,30,21,1013,59,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,100,12,9999,2,30,22,1012,62,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,90,12,9999,2,29,22,1013,66,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,80,12,9999,2,28,22,1012,70,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,80,12,9999,2,28,22,1012,70,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,80,12,9999,2,28,22,1013,70,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,70,12,9999,2,28,22,1013,70,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,70,12,9999,2,28,22,1013,70,NIL,NIL,,,,,,,,
"['02:00', '02/01']",02/01 02:00,70,11,9999,2,27,22,1013,74,NIL,NIL,,,,,,,,
"['03:00', '02/01']",02/01 03:00,70,10,9999,3,27,22,1012,74,NIL,NIL,,,,,,,,
"['04:00', '02/01']",02/01 04:00,70,10,9999,2,27,22,1012,74,NIL,NIL,,,,,,,,
"['05:00', '02/01']",02/01 05:00,60,8,9999,3,27,22,1012,74,NIL,NIL,,,,,,,,
"['06:00', '02/01']",02/01 06:00,50,6,9999,2,27,22,1012,74,NIL,NIL,,,,,,,,
"['07:00', '02/01']",02/01 07:00,20,3,9999,3,27,23,1012,79,NIL,NIL,,,,,,,,
"['08:00', '02/01']",02/01 08:00,360,4,9999,3,26,23,1013,84,NIL,NIL,,,,,,,,
"['09:00', '02/01']",02/01 09:00,340,3,9999,2,26,23,1013,84,NIL,NIL,,,,,,,,
"['10:00', '02/01']",02/01 10:00,20,6,9999,2,28,22,1013,70,200,NIL,,,,,,,,
"['11:00', '02/01']",02/01 11:00,50,9,9999,5,29,23,1013,70,NIL,2000,,,,,,,,
"['12:00', '02/01']",02/01 12:00,60,14,9999,5,29,22,1013,66,NIL,2000,,,,,,,,
"['13:00', '02/01']",02/01 13:00,60,15,9999,3,30,23,1013,66,NIL,NIL,,,,,,,,
"['14:00', '02/01']",02/01 14:00,70,15,9999,2,30,22,1013,62,NIL,NIL,,,,,,,,
"['15:00', '02/01']",02/01 15:00,80,15,9999,3,30,22,1013,62,NIL,NIL,,,,,,,,
"['16:00', '02/01']",02/01 16:00,70,16,9999,3,31,22,1012,59,NIL,NIL,,,,,,,,
"['17:00', '02/01']",02/01 17:00,70,16,9999,3,30,22,1011,62,NIL,NIL,,,,,,,,
"['18:00', '02/01']",02/01 18:00,80,16,9999,3,30,22,1011,62,NIL,NIL,,,,,,,,
"['19:00', '02/01']",02/01 19:00,80,16,9999,3,30,22,1010,62,NIL,NIL,,,,,,,,
"['20:00', '02/01']",02/01 20:00,80,14,9999,3,29,22,1010,66,NIL,NIL,,,,,,,,
"['21:00', '02/01']",02/01 21:00,80,14,9999,3,28,22,1011,70,NIL,NIL,,,,,,,,
"['22:00', '02/01']",02/01 22:00,70,14,9999,3,28,22,1011,70,NIL,NIL,,,,,,,,
"['23:00', '02/01']",02/01 23:00,70,15,9999,3,28,21,1011,66,NIL,NIL,,,,,,,,
"['00:00', '03/01']",03/01 00:00,70,15,9999,2,28,21,1011,66,NIL,NIL,,,,,,,,
"['01:00', '03/01']",03/01 01:00,60,15,9999,2,28,23,1011,74,,NIL,,,,,,,,
"['02:00', '03/01']",03/01 02:00,70,13,9999,3,28,22,1011,70,,NIL,,,,,,,,
"['03:00', '03/01']",03/01 03:00,70,13,9999,5,27,22,1011,74,,2000,,,,,,,,
"['04:00', '03/01']",03/01 04:00,70,9,9999,5,27,22,1011,74,,2000,,,,,,,,
"['05:00', '03/01']",03/01 05:00,80,10,9999,3,27,22,1011,74,,NIL,,,,,,,,
"['06:00', '03/01']",03/01 06:00,80,10,9999,3,27,22,1010,74,,NIL,,,,,,,,
"['07:00', '03/01']",03/01 07:00,70,11,9999,3,27,22,1011,74,,NIL,,,,,,,,
"['08:00', '03/01']",03/01 08:00,60,11,9999,3,27,22,1011,74,,NIL,,,,,,,,
"['09:00', '03/01']",03/01 09:00,60,11,9999,3,28,22,1011,70,,NIL,,,,,,,,
"['10:00', '03/01']",03/01 10:00,60,12,9999,3,28,22,1012,70,,NIL,,,,,,,,
"['11:00', '03/01']",03/01 11:00,60,13,9999,3,29,22,1012,66,,NIL,,,,,,,,
"['12:00', '03/01']",03/01 12:00,60,13,9999,5,29,22,1012,66,,2000,,,,,,,,
"['13:00', '03/01']",03/01 13:00,70,13,9999,3,30,22,1012,62,,NIL,,,,,,,,
"['14:00', '03/01']",03/01 14:00,80,14,9999,3,30,22,1013,62,,NIL,,,,,,,,
"['15:00', '03/01']",03/01 15:00,80,15,9999,2,30,23,1012,66,,NIL,,,,,,,,
"['16:00', '03/01']",03/01 16:00,90,14,9999,2,31,23,1012,63,,NIL,,,,,,,,
"['17:00', '03/01']",03/01 17:00,90,14,9999,2,31,23,1011,63,,NIL,,,,,,,,
"['18:00', '03/01']",03/01 18:00,100,14,9999,2,30,22,1010,62,,NIL,,,,,,,,
"['19:00', '03/01']",03/01 19:00,80,13,9999,2,30,23,1010,66,,NIL,,,,,,,,
"['20:00', '03/01']",03/01 20:00,90,14,9999,2,29,22,1010,66,,NIL,,,,,,,,
"['21:00', '03/01']",03/01 21:00,80,13,9999,2,29,22,1010,66,,NIL,,,,,,,,
"['22:00', '03/01']",03/01 22:00,80,13,9999,2,28,22,1011,70,,NIL,,,,,,,,
"['23:00', '03/01']",03/01 23:00,70,16,9999,2,28,22,1011,70,,NIL,,,,,,,,
"['00:00', '04/01']",04/01 00:00,70,13,9999,2,28,22,1012,70,,NIL,,,,,,,,
"['01:00', '04/01']",04/01 01:00,70,15,9999,2,28,23,1012,74,NIL,,,,,,,,,
"['02:00', '04/01']",04/01 02:00,80,14,9999,2,27,23,1011,79,NIL,,,,,,,,,
"['03:00', '04/01']",04/01 03:00,80,15,9999,2,27,22,1011,74,NIL,,,,,,,,,
"['04:00', '04/01']",04/01 04:00,80,14,9999,2,27,22,1011,74,NIL,,,,,,,,,
"['05:00', '04/01']",04/01 05:00,70,13,9999,3,27,22,1011,74,NIL,,,,,,,,,
"['06:00', '04/01']",04/01 06:00,80,13,9999,3,27,22,1011,74,NIL,,,,,,,,,
"['07:00', '04/01']",04/01 07:00,80,9,9999,3,27,22,1011,74,NIL,,,,,,,,,
"['08:00', '04/01']",04/01 08:00,70,9,9999,3,27,22,1012,74,NIL,,,,,,,,,
"['09:00', '04/01']",04/01 09:00,70,9,9999,2,27,22,1012,74,NIL,,,,,,,,,
"['10:00', '04/01']",04/01 10:00,90,10,9999,3,29,22,1013,66,NIL,,,,,,,,,
"['11:00', '04/01']",04/01 11:00,80,8,9999,3,29,22,1014,66,NIL,,,,,,,,,
"['12:00', '04/01']",04/01 12:00,100,8,9999,3,29,21,1014,62,NIL,,,,,,,,,
"['13:00', '04/01']",04/01 13:00,110,7,9999,3,30,22,1013,62,NIL,,,,,,,,,
"['14:00', '04/01']",04/01 14:00,110,9,9999,3,30,21,1013,59,NIL,,,,,,,,,
"['15:00', '04/01']",04/01 15:00,100,9,9999,2,30,22,1013,62,NIL,,,,,,,,,
"['16:00', '04/01']",04/01 16:00,120,12,9999,2,30,22,1012,62,NIL,,,,,,,,,
"['17:00', '04/01']",04/01 17:00,130,11,9999,2,30,21,1012,59,125,,,,,,,,,
"['18:00', '04/01']",04/01 18:00,120,12,9999,2,30,21,1012,59,120,,,,,,,,,
"['19:00', '04/01']",04/01 19:00,120,10,9999,3,30,21,1012,59,125,,,,,,,,,
"['20:00', '04/01']",04/01 20:00,110,11,9999,2,30,23,1012,66,NIL,,,,,,,,,
"['21:00', '04/01']",04/01 21:00,110,11,9999,2,29,22,1012,66,NIL,,,,,,,,,
"['22:00', '04/01']",04/01 22:00,100,11,9999,2,28,22,1013,70,NIL,,,,,,,,,
"['23:00', '04/01']",04/01 23:00,110,10,9999,2,28,23,1014,74,120,,,,,,,,,
"['00:00', '05/01']",05/01 00:00,90,11,9999,3,28,22,1014,70,NIL,,,,,,,,,
"['01:00', '05/01']",05/01 01:00,110,11,8000,5,27,24,1014,84,NIL,7000,,,,,,,,
"['02:00', '05/01']",05/01 02:00,90,10,9999,5,27,23,1013,79,NIL,7000,,,,,,,,
"['03:00', '05/01']",05/01 03:00,80,15,9999,3,26,23,1013,84,NIL,NIL,,,,,,,,
"['04:00', '05/01']",05/01 04:00,60,7,9999,5,26,22,1013,79,NIL,1700,,,,,,,,
"['05:00', '05/01']",05/01 05:00,70,13,8000,5,25,23,1013,89,NIL,1700,,,,,,,,
"['06:00', '05/01']",05/01 06:00,360,3,9999,5,25,23,1013,89,NIL,1700,,,,,,,,
"['07:00', '05/01']",05/01 07:00,350,2,9999,5,25,23,1013,89,NIL,1700,,,,,,,,
"['08:00', '05/01']",05/01 08:00,320,2,9999,5,25,23,1013,89,NIL,1700,,,,,,,,
"['09:00', '05/01']",05/01 09:00,0,0,9999,3,25,23,1014,89,NIL,NIL,,,,,,,,
"['10:00', '05/01']",05/01 10:00,VRB,2,9999,5,27,23,1014,79,NIL,7000,,,,,,,,
"['12:00', '05/01']",05/01 12:00,100,10,9999,5,29,22,1015,66,NIL,6000,,,,,,,,
"['13:00', '05/01']",05/01 13:00,100,9,9999,5,30,22,1015,62,NIL,6000,,,,,,,,
"['14:00', '05/01']",05/01 14:00,100,13,9999,5,30,22,1014,62,NIL,6000,,,,,,,,
"['15:00', '05/01']",05/01 15:00,90,13,9999,3,30,22,1014,62,NIL,NIL,,,,,,,,
"['16:00', '05/01']",05/01 16:00,90,11,9999,3,30,22,1014,62,NIL,NIL,,,,,,,,
"['17:00', '05/01']",05/01 17:00,90,11,9999,2,31,22,1013,59,NIL,NIL,,,,,,,,
"['18:00', '05/01']",05/01 18:00,90,11,9999,2,29,22,1012,66,90,NIL,,,,,,,,
"['19:00', '05/01']",05/01 19:00,90,10,9999,2,30,22,1012,62,NIL,NIL,,,,,,,,
"['20:00', '05/01']",05/01 20:00,80,11,9999,2,29,23,1012,70,NIL,NIL,,,,,,,,
"['21:00', '05/01']",05/01 21:00,80,11,9999,3,28,22,1013,70,NIL,NIL,,,,,,,,
"['22:00', '05/01']",05/01 22:00,80,9,9999,3,28,21,1013,66,NIL,NIL,,,,,,,,
"['23:00', '05/01']",05/01 23:00,80,10,9999,3,28,22,1013,70,NIL,NIL,,,,,,,,
"['00:00', '06/01']",06/01 00:00,80,9,9999,3,28,22,1014,70,NIL,NIL,,,,,,,,
"['01:00', '06/01']",06/01 01:00,90,9,9999,3,28,21,1014,66,NIL,,,,,,,,,
"['02:00', '06/01']",06/01 02:00,90,9,9999,3,28,21,1013,66,NIL,,,,,,,,,
"['03:00', '06/01']",06/01 03:00,90,7,9999,3,27,20,1013,66,NIL,,,,,,,,,
"['04:00', '06/01']",06/01 04:00,110,6,9999,3,27,21,1012,70,110,,,,,,,,,
"['05:00', '06/01']",06/01 05:00,90,6,9999,3,27,21,1012,70,NIL,,,,,,,,,
"['06:00', '06/01']",06/01 06:00,80,7,9999,3,27,21,1012,70,NIL,,,,,,,,,
"['07:00', '06/01']",06/01 07:00,90,5,9999,3,27,20,1012,66,NIL,,,,,,,,,
"['08:00', '06/01']",06/01 08:00,110,5,9999,3,27,21,1012,70,NIL,,,,,,,,,
"['09:00', '06/01']",06/01 09:00,90,5,9999,3,27,21,1013,70,NIL,,,,,,,,,
"['10:00', '06/01']",06/01 10:00,50,7,9999,3,27,21,1013,70,220,,,,,,,,,
"['11:00', '06/01']",06/01 11:00,90,10,9999,3,29,21,1014,62,NIL,,,,,,,,,
"['12:00', '06/01']",06/01 12:00,90,10,9999,3,29,22,1014,66,NIL,,,,,,,,,
"['13:00', '06/01']",06/01 13:00,90,10,9999,3,30,22,1014,62,95,,,,,,,,,
"['14:00', '06/01']",06/01 14:00,100,10,9999,3,30,21,1014,59,105,,,,,,,,,
"['15:00', '06/01']",06/01 15:00,110,11,9999,3,30,21,1014,59,100,,,,,,,,,
"['16:00', '06/01']",06/01 16:00,110,11,9999,3,30,21,1013,59,100,,,,,,,,,
"['17:00', '06/01']",06/01 17:00,110,12,9999,2,30,20,1012,55,NIL,,,,,,,,,
"['18:00', '06/01']",06/01 18:00,100,12,9999,2,30,21,1012,59,NIL,,,,,,,,,
"['19:00', '06/01']",06/01 19:00,110,10,9999,2,30,21,1012,59,NIL,,,,,,,,,
"['20:00', '06/01']",06/01 20:00,90,11,9999,3,29,21,1012,62,NIL,,,,,,,,,
"['21:00', '06/01']",06/01 21:00,100,10,9999,3,29,21,1012,62,NIL,,,,,,,,,
"['22:00', '06/01']",06/01 22:00,110,9,9999,3,28,21,1013,66,NIL,,,,,,,,,
"['23:00', '06/01']",06/01 23:00,100,10,9999,2,28,21,1013,66,NIL,,,,,,,,,
"['00:00', '07/01']",07/01 00:00,90,10,9999,2,28,21,1013,66,NIL,,,,,,,,,
"['01:00', '07/01']",07/01 01:00,90,9,9999,2,28,21,1014,66,NIL,,,,,,,,,
"['02:00', '07/01']",07/01 02:00,100,8,9999,2,28,21,1013,66,NIL,,,,,,,,,
"['03:00', '07/01']",07/01 03:00,100,8,9999,2,27,21,1013,70,NIL,,,,,,,,,
"['04:00', '07/01']",07/01 04:00,90,7,9999,2,27,21,1012,70,NIL,,,,,,,,,
"['05:00', '07/01']",07/01 05:00,90,7,9999,2,27,21,1012,70,NIL,,,,,,,,,
"['06:00', '07/01']",07/01 06:00,100,7,9999,2,27,21,1012,70,NIL,,,,,,,,,
"['07:00', '07/01']",07/01 07:00,90,5,9999,2,27,21,1012,70,NIL,,,,,,,,,
"['08:00', '07/01']",07/01 08:00,50,3,9999,3,26,21,1012,74,220,,,,,,,,,
"['09:00', '07/01']",07/01 09:00,VRB,2,9999,3,26,21,1013,74,NIL,,,,,,,,,
"['10:00', '07/01']",07/01 10:00,360,5,9999,3,27,21,1013,70,NIL,,,,,,,,,
"['11:00', '07/01']",07/01 11:00,40,8,9999,3,28,22,1013,70,NIL,,,,,,,,,
"['12:00', '07/01']",07/01 12:00,70,10,9999,3,29,22,1014,66,NIL,,,,,,,,,
"['13:00', '07/01']",07/01 13:00,70,14,9999,3,30,22,1014,62,NIL,,,,,,,,,
"['14:00', '07/01']",07/01 14:00,80,13,9999,3,31,22,1013,59,NIL,,,,,,,,,
"['15:00', '07/01']",07/01 15:00,90,14,9999,3,31,22,1013,59,NIL,,,,,,,,,
"['16:00', '07/01']",07/01 16:00,100,12,9999,3,30,23,1013,66,NIL,,,,,,,,,
"['17:00', '07/01']",07/01 17:00,90,12,9999,3,31,22,1012,59,90,,,,,,,,,
"['18:00', '07/01']",07/01 18:00,80,14,9999,2,30,22,1011,62,NIL,,,,,,,,,
"['19:00', '07/01']",07/01 19:00,80,14,9999,2,30,22,1011,62,NIL,,,,,,,,,
"['20:00', '07/01']",07/01 20:00,80,14,9999,2,29,23,1011,70,NIL,,,,,,,,,
"['21:00', '07/01']",07/01 21:00,70,16,9999,2,28,22,1011,70,NIL,,,,,,,,,
"['22:00', '07/01']",07/01 22:00,60,14,9999,3,28,22,1011,70,NIL,,,,,,,,,
"['23:00', '07/01']",07/01 23:00,60,14,9999,3,28,22,1012,70,NIL,,,,,,,,,
"['00:00', '08/01']",08/01 00:00,60,14,9999,3,28,22,1012,70,NIL,,,,,,,,,
"['01:00', '08/01']",08/01 01:00,70,14,9999,2,28,22,1012,70,NIL,NIL,NIL,,,,,,,
"['02:00', '08/01']",08/01 02:00,60,12,9999,3,28,22,1012,70,NIL,NIL,NIL,,,,,,,
"['03:00', '08/01']",08/01 03:00,60,11,9999,3,28,22,1012,70,NIL,NIL,NIL,,,,,,,
"['04:00', '08/01']",08/01 04:00,50,7,9999,3,27,22,1012,74,NIL,NIL,NIL,,,,,,,
"['05:00', '08/01']",08/01 05:00,50,6,9999,3,27,22,1012,74,NIL,NIL,NIL,,,,,,,
"['06:00', '08/01']",08/01 06:00,20,3,9999,3,27,22,1012,74,NIL,NIL,NIL,,,,,,,
"['07:00', '08/01']",08/01 07:00,10,3,9999,3,26,22,1012,79,200,NIL,NIL,,,,,,,
"['08:00', '08/01']",08/01 08:00,350,3,9999,3,26,22,1012,79,NIL,NIL,NIL,,,,,,,
"['09:00', '08/01']",08/01 09:00,10,2,9999,3,26,23,1013,84,NIL,NIL,NIL,,,,,,,
"['10:00', '08/01']",08/01 10:00,60,5,7000,5,27,24,1014,84,65,1800,1,,,,,,,
"['11:00', '08/01']",08/01 11:00,VRB,2,8000,5,27,24,1014,84,NIL,1800,NIL,,,,,,,
"['12:00', '08/01']",08/01 12:00,80,6,9999,5,29,25,1014,79,75,1800,NIL,,,,,,,
"['13:00', '08/01']",08/01 13:00,80,10,9999,5,30,24,1014,70,NIL,2000,NIL,,,,,,,
"['14:00', '08/01']",08/01 14:00,90,13,9999,3,30,23,1013,66,NIL,NIL,NIL,,,,,,,
"['15:00', '08/01']",08/01 15:00,100,11,9999,5,30,23,1013,66,100,6000,NIL,,,,,,,
"['16:00', '08/01']",08/01 16:00,90,11,9999,3,30,24,1012,70,80,NIL,NIL,,,,,,,
"['17:00', '08/01']",08/01 17:00,90,12,9999,3,30,24,1011,70,NIL,NIL,NIL,,,,,,,
"['18:00', '08/01']",08/01 18:00,90,13,9999,2,30,23,1010,66,NIL,NIL,NIL,,,,,,,
"['19:00', '08/01']",08/01 19:00,80,14,9999,2,30,23,1010,66,NIL,NIL,NIL,,,,,,,
"['20:00', '08/01']",08/01 20:00,80,14,9999,2,29,24,1010,74,NIL,NIL,NIL,,,,,,,
"['21:00', '08/01']",08/01 21:00,70,15,9999,2,28,24,1010,79,NIL,NIL,NIL,,,,,,,
"['22:00', '08/01']",08/01 22:00,70,14,9999,2,28,24,1010,79,NIL,NIL,NIL,,,,,,,
"['23:00', '08/01']",08/01 23:00,70,14,9999,3,28,24,1010,79,NIL,NIL,NIL,,,,,,,
"['00:00', '09/01']",09/01 00:00,60,14,9999,5,28,24,1011,79,NIL,1500,NIL,,,,,,,
"['01:00', '09/01']",09/01 01:00,50,11,9999,3,28,23,1011,74,NIL,,,,,,,,,
"['02:00', '09/01']",09/01 02:00,60,13,9999,2,28,23,1011,74,NIL,,,,,,,,,
"['03:00', '09/01']",09/01 03:00,50,10,9999,3,28,23,1011,74,60,,,,,,,,,
"['04:00', '09/01']",09/01 04:00,40,8,9999,3,28,23,1010,74,NIL,,,,,,,,,
"['05:00', '09/01']",09/01 05:00,10,4,9999,3,27,23,1010,79,190,,,,,,,,,
"['06:00', '09/01']",09/01 06:00,330,3,9999,3,26,23,1010,84,NIL,,,,,,,,,
"['07:00', '09/01']",09/01 07:00,VRB,2,9999,3,26,23,1011,84,NIL,,,,,,,,,
"['08:00', '09/01']",09/01 08:00,10,3,9999,3,26,23,1011,84,200,,,,,,,,,
"['09:00', '09/01']",09/01 09:00,360,3,9999,2,26,23,1012,84,190,,,,,,,,,
"['10:00', '09/01']",09/01 10:00,20,5,9999,2,27,24,1012,84,200,,,,,,,,,
"['11:00', '09/01']",09/01 11:00,30,7,9999,3,29,23,1012,70,NIL,,,,,,,,,
"['12:00', '09/01']",09/01 12:00,70,10,9999,3,31,24,1012,66,NIL,,,,,,,,,
"['13:00', '09/01']",09/01 13:00,70,14,9999,3,31,24,1012,66,NIL,,,,,,,,,
"['14:00', '09/01']",09/01 14:00,80,14,9999,3,32,25,1012,67,NIL,,,,,,,,,
"['15:00', '09/01']",09/01 15:00,80,15,9999,3,31,24,1011,66,NIL,,,,,,,,,
"['16:00', '09/01']",09/01 16:00,70,16,9999,3,31,25,1011,71,NIL,,,,,,,,,
"['17:00', '09/01']",09/01 17:00,80,18,9999,2,31,24,1009,66,NIL,,,,,,,,,
"['18:00', '09/01']",09/01 18:00,80,16,9999,2,31,25,1009,71,NIL,,,,,,,,,
"['19:00', '09/01']",09/01 19:00,70,16,9999,2,30,24,1009,70,NIL,,,,,,,,,
"['20:00', '09/01']",09/01 20:00,70,17,9999,2,30,24,1009,70,NIL,,,,,,,,,
"['21:00', '09/01']",09/01 21:00,70,15,9999,2,29,23,1009,70,NIL,,,,,,,,,
"['22:00', '09/01']",09/01 22:00,60,14,9999,2,29,24,1010,74,NIL,,,,,,,,,
"['23:00', '09/01']",09/01 23:00,60,12,9999,2,28,24,1010,79,NIL,,,,,,,,,
"['00:00', '10/01']",10/01 00:00,70,13,9999,2,28,24,1011,79,NIL,,,,,,,,,
"['01:00', '10/01']",10/01 01:00,60,12,9999,2,28,23,1012,74,NIL,,,,,,,,,
"['02:00', '10/01']",10/01 02:00,60,12,9999,2,28,23,1011,74,NIL,,,,,,,,,
"['03:00', '10/01']",10/01 03:00,60,12,9999,2,28,23,1011,74,NIL,,,,,,,,,
"['04:00', '10/01']",10/01 04:00,70,10,9999,3,28,23,1011,74,NIL,,,,,,,,,
"['05:00', '10/01']",10/01 05:00,60,6,9999,3,28,23,1011,74,NIL,,,,,,,,,
"['06:00', '10/01']",10/01 06:00,60,8,9999,3,28,23,1010,74,NIL,,,,,,,,,
"['07:00', '10/01']",10/01 07:00,60,8,9999,3,27,23,1011,79,NIL,,,,,,,,,
"['08:00', '10/01']",10/01 08:00,50,6,9999,3,27,23,1011,79,NIL,,,,,,,,,
"['09:00', '10/01']",10/01 09:00,10,2,9999,2,27,23,1012,79,NIL,,,,,,,,,
"['10:00', '10/01']",10/01 10:00,10,4,9999,3,28,23,1013,74,185,,,,,,,,,
"['11:00', '10/01']",10/01 11:00,30,9,9999,3,29,23,1013,70,200,,,,,,,,,
"['12:00', '10/01']",10/01 12:00,50,9,9999,3,31,23,1013,63,50,,,,,,,,,
"['13:00', '10/01']",10/01 13:00,80,14,9999,3,31,23,1013,63,NIL,,,,,,,,,
"['14:00', '10/01']",10/01 14:00,70,16,9999,3,31,23,1012,63,NIL,,,,,,,,,
"['15:00', '10/01']",10/01 15:00,10,16,9999,3,31,22,1012,59,NIL,,,,,,,,,
"['16:00', '10/01']",10/01 16:00,70,18,9999,3,31,23,1011,63,NIL,,,,,,,,,
"['17:00', '10/01']",10/01 17:00,70,16,9999,2,31,24,1011,66,NIL,,,,,,,,,
"['18:00', '10/01']",10/01 18:00,80,14,9999,3,31,24,1010,66,NIL,,,,,,,,,
"['19:00', '10/01']",10/01 19:00,90,15,9999,2,30,24,1010,70,NIL,,,,,,,,,
"['20:00', '10/01']",10/01 20:00,90,13,9999,2,30,24,1010,70,NIL,,,,,,,,,
"['21:00', '10/01']",10/01 21:00,100,11,9999,2,29,25,1010,79,NIL,,,,,,,,,
"['22:00', '10/01']",10/01 22:00,90,10,9999,2,28,25,1011,84,NIL,,,,,,,,,
"['23:00', '10/01']",10/01 23:00,90,12,9999,2,28,25,1011,84,NIL,,,,,,,,,
"['00:00', '11/01']",11/01 00:00,90,9,9999,2,28,25,1012,84,NIL,,,,,,,,,
"['01:00', '11/01']",11/01 01:00,90,10,9999,2,28,25,1012,84,NIL,NIL,NIL,,,,,,,
"['02:00', '11/01']",11/01 02:00,70,10,9999,2,28,24,1012,79,NIL,NIL,NIL,,,,,,,
"['03:00', '11/01']",11/01 03:00,80,11,9999,2,28,24,1011,79,NIL,NIL,NIL,,,,,,,
"['04:00', '11/01']",11/01 04:00,80,10,9999,2,28,24,1011,79,NIL,NIL,NIL,,,,,,,
"['05:00', '11/01']",11/01 05:00,60,8,9999,2,28,24,1011,79,NIL,NIL,NIL,,,,,,,
"['06:00', '11/01']",11/01 06:00,60,7,9999,2,28,23,1011,74,NIL,NIL,NIL,,,,,,,
"['07:00', '11/01']",11/01 07:00,360,4,9999,3,27,23,1011,79,195,NIL,NIL,,,,,,,
"['08:00', '11/01']",11/01 08:00,100,11,9999,3,25,23,1012,89,NIL,NIL,NIL,,,,,,,
"['09:00', '11/01']",11/01 09:00,20,9,8000,5,25,23,1012,89,NIL,1700,1,,,,,,,
"['10:00', '11/01']",11/01 10:00,0,0,8000,5,26,24,1013,89,NIL,1700,1,,,,,,,
"['11:00', '11/01']",11/01 11:00,90,6,3000,8,26,24,1013,89,NIL,1000,1,,,,,,,
"['12:00', '11/01']",11/01 12:00,10,6,8000,5,25,23,1014,89,NIL,1700,1,,,,,,,
"['13:00', '11/01']",11/01 13:00,30,2,9999,5,28,23,1013,74,NIL,5000,NIL,,,,,,,
"['14:00', '11/01']",11/01 14:00,80,7,9999,5,29,25,1013,79,NIL,7000,NIL,,,,,,,
"['15:00', '11/01']",11/01 15:00,80,13,9999,5,31,24,1012,66,NIL,10000,NIL,,,,,,,
"['16:00', '11/01']",11/01 16:00,80,10,9999,3,30,24,1012,70,NIL,NIL,NIL,,,,,,,
"['17:00', '11/01']",11/01 17:00,70,12,9999,3,31,25,1011,71,NIL,NIL,NIL,,,,,,,
"['18:00', '11/01']",11/01 18:00,80,14,9999,3,31,24,1010,66,NIL,NIL,NIL,,,,,,,
"['19:00', '11/01']",11/01 19:00,80,15,9999,3,30,23,1010,66,NIL,NIL,NIL,,,,,,,
"['20:00', '11/01']",11/01 20:00,80,12,9999,2,29,24,1010,74,NIL,NIL,NIL,,,,,,,
"['21:00', '11/01']",11/01 21:00,80,13,9999,2,29,23,1011,70,NIL,NIL,NIL,,,,,,,
"['22:00', '11/01']",11/01 22:00,80,11,9999,2,29,23,1011,70,NIL,NIL,NIL,,,,,,,
"['23:00', '11/01']",11/01 23:00,80,11,9999,2,28,24,1012,79,NIL,NIL,NIL,,,,,,,
"['00:00', '12/01']",12/01 00:00,80,10,9999,2,28,23,1012,74,NIL,NIL,NIL,,,,,,,
"['01:00', '12/01']",12/01 01:00,70,10,9999,2,28,24,1012,79,NIL,NIL,NIL,NIL,,,,,,
"['02:00', '12/01']",12/01 02:00,80,10,9999,2,28,23,1012,74,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '12/01']",12/01 03:00,70,9,9999,2,28,24,1012,79,NIL,NIL,NIL,NIL,,,,,,
