validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vnt_vrb,teto,chuva,nevoa_umida,vnt_rajada,pancada,trovoada,vis_setor,vis_setor_dir,nevoeiro
"['17:00', '07/03']",07/03 17:00,80,14,9999,2,30,24,1010,70,NIL,,,,,,,,,
"['18:00', '07/03']",07/03 18:00,70,14,9999,NIL,30,23,1010,66,NIL,,,,,,,,,
"['19:00', '07/03']",07/03 19:00,70,15,9999,NIL,29,23,1010,70,NIL,,,,,,,,,
"['20:00', '07/03']",07/03 20:00,70,17,9999,NIL,29,23,1009,70,NIL,,,,,,,,,
"['21:00', '07/03']",07/03 21:00,60,13,9999,NIL,28,23,1010,74,NIL,,,,,,,,,
"['22:00', '07/03']",07/03 22:00,60,11,9999,2,28,22,1011,70,NIL,,,,,,,,,
"['23:00', '07/03']",07/03 23:00,60,12,9999,2,27,23,1011,79,NIL,,,,,,,,,
"['00:00', '08/03']",08/03 00:00,60,14,9999,2,27,22,1012,74,NIL,,,,,,,,,
"['01:00', '08/03']",08/03 01:00,60,11,9999,2,27,23,1012,79,NIL,NIL,,,,,,,,
"['02:00', '08/03']",08/03 02:00,50,13,9999,3,27,22,1012,74,NIL,NIL,,,,,,,,
"['03:00', '08/03']",08/03 03:00,50,10,9999,3,27,22,1011,74,NIL,NIL,,,,,,,,
"['04:00', '08/03']",08/03 04:00,50,11,9999,5,27,22,1011,74,NIL,2000,,,,,,,,
"['05:00', '08/03']",08/03 05:00,20,11,9999,3,27,22,1011,74,NIL,NIL,,,,,,,,
"['06:00', '08/03']",08/03 06:00,40,9,9999,3,27,21,1010,70,NIL,NIL,,,,,,,,
"['07:00', '08/03']",08/03 07:00,40,8,9999,3,26,21,1010,74,NIL,NIL,,,,,,,,
"['08:00', '08/03']",08/03 08:00,340,3,9999,3,25,21,1011,79,NIL,NIL,,,,,,,,
"['09:00', '08/03']",08/03 09:00,300,3,9999,3,24,22,1012,89,150,NIL,,,,,,,,
"['10:00', '08/03']",08/03 10:00,290,3,9999,3,25,22,1013,83,NIL,NIL,,,,,,,,
"['11:00', '08/03']",08/03 11:00,330,3,9999,2,27,22,1013,74,160,NIL,,,,,,,,
"['12:00', '08/03']",08/03 12:00,30,7,9999,3,28,21,1014,66,210,NIL,,,,,,,,
"['13:00', '08/03']",08/03 13:00,70,7,9999,3,29,22,1014,66,65,NIL,,,,,,,,
"['14:00', '08/03']",08/03 14:00,80,13,9999,3,30,21,1013,59,NIL,NIL,,,,,,,,
"['15:00', '08/03']",08/03 15:00,90,13,9999,2,30,22,1013,62,NIL,NIL,,,,,,,,
"['16:00', '08/03']",08/03 16:00,80,13,9999,2,30,22,1012,62,NIL,NIL,,,,,,,,
"['17:00', '08/03']",08/03 17:00,90,14,9999,2,30,22,1011,62,NIL,NIL,,,,,,,,
"['18:00', '08/03']",08/03 18:00,90,13,9999,2,30,21,1010,59,NIL,NIL,,,,,,,,
"['19:00', '08/03']",08/03 19:00,90,13,9999,2,30,22,1010,62,NIL,NIL,,,,,,,,
