validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,trovoada,teto,cobertura,tt,po,qnh,ur,chuva,vnt_rajada,chuvisco,nevoeiro,nevoa_umida,pancada,vis_setor,vis_setor_dir,fumaca,vnt_vrb
"['01:00', '03/07']",03/07 01:00,170,8,9999,,,,23,13,1015,53,,,,,,,,,,
"['02:00', '03/07']",03/07 02:00,170,6,9999,,,,22,12,1016,53,,,,,,,,,,
"['03:00', '03/07']",03/07 03:00,180,6,9999,,,,21,12,1016,56,,,,,,,,,,
"['04:00', '03/07']",03/07 04:00,170,5,9999,,,,20,12,1016,60,,,,,,,,,,
"['05:00', '03/07']",03/07 05:00,180,7,9999,,,,19,12,1016,64,,,,,,,,,,
"['06:00', '03/07']",03/07 06:00,180,6,9999,,,,19,11,1015,60,,,,,,,,,,
"['07:00', '03/07']",03/07 07:00,180,5,9999,,,,18,11,1015,64,,,,,,,,,,
"['08:00', '03/07']",03/07 08:00,200,5,9999,,,,17,11,1015,68,,,,,,,,,,
"['09:00', '03/07']",03/07 09:00,190,6,9999,,,,17,11,1016,68,,,,,,,,,,
"['10:00', '03/07']",03/07 10:00,180,4,9999,,,,17,11,1016,68,,,,,,,,,,
"['11:00', '03/07']",03/07 11:00,200,3,9999,,,,17,11,1017,68,,,,,,,,,,
"['12:00', '03/07']",03/07 12:00,180,3,9999,,,,19,11,1018,60,,,,,,,,,,
"['13:00', '03/07']",03/07 13:00,150,3,9999,,,,20,11,1018,56,,,,,,,,,,
"['14:00', '03/07']",03/07 14:00,220,3,9999,,,,22,12,1018,53,,,,,,,,,,
"['15:00', '03/07']",03/07 15:00,210,4,9999,,,,24,12,1017,47,,,,,,,,,,
"['16:00', '03/07']",03/07 16:00,180,5,9999,,,,26,12,1016,42,,,,,,,,,,
"['17:00', '03/07']",03/07 17:00,190,3,9999,,,,28,12,1015,37,,,,,,,,,,
"['18:00', '03/07']",03/07 18:00,160,5,9999,,,,29,11,1014,33,,,,,,,,,,
"['19:00', '03/07']",03/07 19:00,180,6,9999,,,,29,12,1014,35,,,,,,,,,,
"['20:00', '03/07']",03/07 20:00,160,6,9999,,,,29,12,1013,35,,,,,,,,,,
"['21:00', '03/07']",03/07 21:00,160,5,9999,,,,28,12,1013,37,,,,,,,,,,
"['22:00', '03/07']",03/07 22:00,170,5,9999,,,,26,13,1014,45,,,,,,,,,,
"['23:00', '03/07']",03/07 23:00,170,3,9999,,,,24,14,1014,54,,,,,,,,,,
"['00:00', '04/07']",04/07 00:00,200,4,9999,,,,24,14,1014,54,,,,,,,,,,
"['01:00', '04/07']",04/07 01:00,170,5,9999,,,,23,14,1014,57,,,,,,,,,,
"['02:00', '04/07']",04/07 02:00,190,1,9999,,,,21,14,1015,64,,,,,,,,,,
"['03:00', '04/07']",04/07 03:00,160,2,9999,,,,20,15,1014,73,,,,,,,,,,
"['04:00', '04/07']",04/07 04:00,230,2,9999,,,,20,15,1014,73,,,,,,,,,,
"['05:00', '04/07']",04/07 05:00,220,3,9999,,,,20,15,1014,73,,,,,,,,,,
"['06:00', '04/07']",04/07 06:00,240,2,9999,,,,19,14,1014,73,,,,,,,,,,
"['07:00', '04/07']",04/07 07:00,320,4,9999,,,,17,14,1013,83,,,,,,,,,,
"['08:00', '04/07']",04/07 08:00,300,5,9999,,,,18,15,1013,83,,,,,,,,,,
"['09:00', '04/07']",04/07 09:00,320,5,9999,,,,17,14,1013,83,,,,,,,,,,
"['10:00', '04/07']",04/07 10:00,290,3,9999,,,,17,14,1013,83,,,,,,,,,,
"['11:00', '04/07']",04/07 11:00,310,5,9999,,,,18,15,1014,83,,,,,,,,,,
"['12:00', '04/07']",04/07 12:00,310,3,9999,,,,21,14,1015,64,,,,,,,,,,
"['13:00', '04/07']",04/07 13:00,280,3,9999,,,,25,14,1016,50,,,,,,,,,,
"['14:00', '04/07']",04/07 14:00,110,2,9999,,,,27,15,1015,48,,,,,,,,,,
"['15:00', '04/07']",04/07 15:00,340,5,9999,,,,30,15,1015,40,,,,,,,,,,
"['16:00', '04/07']",04/07 16:00,360,2,9999,,,,32,15,1013,36,,,,,,,,,,
"['17:00', '04/07']",04/07 17:00,20,4,9999,,,,34,14,1012,30,,,,,,,,,,
"['18:00', '04/07']",04/07 18:00,360,9,9999,,,,35,10,1011,22,,,,,,,,,,
"['19:00', '04/07']",04/07 19:00,10,6,9999,,,,35,10,1010,22,,,,,,,,,,
"['20:00', '04/07']",04/07 20:00,340,7,9999,,,,35,09,1010,20,,,,,,,,,,
"['21:00', '04/07']",04/07 21:00,330,5,9999,,,,33,10,1010,24,,,,,,,,,,
"['22:00', '04/07']",04/07 22:00,330,3,9999,,,,30,10,1010,29,,,,,,,,,,
"['23:00', '04/07']",04/07 23:00,60,3,9999,,,,26,13,1011,45,,,,,,,,,,
"['00:00', '05/07']",05/07 00:00,40,2,9999,,,,25,13,1011,47,,,,,,,,,,
"['01:00', '05/07']",05/07 01:00,40,3,9999,,,,25,14,1012,50,,,,,,,,,,
"['02:00', '05/07']",05/07 02:00,0,0,9999,,,,24,15,1012,57,,,,,,,,,,
"['03:00', '05/07']",05/07 03:00,310,9,9999,,,,25,14,1012,50,,,,,,,,,,
"['04:00', '05/07']",05/07 04:00,310,6,9999,,,,23,15,1012,61,,,,,,,,,,
"['05:00', '05/07']",05/07 05:00,300,5,9999,,,,22,15,1012,65,,,,,,,,,,
"['06:00', '05/07']",05/07 06:00,300,4,9999,,,,23,15,1012,61,,,,,,,,,,
"['07:00', '05/07']",05/07 07:00,290,4,9999,,,,22,15,1012,65,,,,,,,,,,
"['08:00', '05/07']",05/07 08:00,310,5,9999,,,,22,14,1012,60,,,,,,,,,,
"['09:00', '05/07']",05/07 09:00,320,5,9999,,,,22,15,1011,65,,,,,,,,,,
"['10:00', '05/07']",05/07 10:00,340,3,9999,,,,20,15,1013,73,,,,,,,,,,
"['11:00', '05/07']",05/07 11:00,320,4,9999,,,,21,15,1013,69,,,,,,,,,,
"['12:00', '05/07']",05/07 12:00,300,6,9999,,,,25,14,1015,50,,,,,,,,,,
"['13:00', '05/07']",05/07 13:00,310,9,9999,,,,30,15,1015,40,,,,,,,,,,
"['14:00', '05/07']",05/07 14:00,330,8,9999,,,,32,14,1015,34,,,,,,,,,,
"['15:00', '05/07']",05/07 15:00,340,14,9999,,,,34,12,1015,26,,,,,,,,,,
"['16:00', '05/07']",05/07 16:00,330,14,9999,,,,35,12,1014,25,,,,,,,,,,
"['17:00', '05/07']",05/07 17:00,360,11,9999,,,,36,11,1013,22,,,,,,,,,,
"['18:00', '05/07']",05/07 18:00,30,7,9999,,,,36,11,1012,22,,,,,,,,,,
"['19:00', '05/07']",05/07 19:00,20,7,9999,,,,36,10,1012,21,,,,,,,,,,
"['20:00', '05/07']",05/07 20:00,10,7,9999,,,,36,10,1011,21,,,,,,,,,,
"['21:00', '05/07']",05/07 21:00,10,4,9999,,,,34,10,1012,23,,,,,,,,,,
"['22:00', '05/07']",05/07 22:00,10,3,9999,,,,31,11,1012,29,,,,,,,,,,
"['23:00', '05/07']",05/07 23:00,10,2,9999,,,,28,11,1013,35,,,,,,,,,,
"['00:00', '06/07']",06/07 00:00,0,0,9999,,,,27,12,1014,39,,,,,,,,,,
"['01:00', '06/07']",06/07 01:00,70,3,9999,,,NIL,25,14,1014,50,,,,,,,,,,
"['02:00', '06/07']",06/07 02:00,290,2,9999,,,NIL,25,14,1014,50,,,,,,,,,,
"['03:00', '06/07']",06/07 03:00,340,3,9999,,,NIL,25,13,1014,47,,,,,,,,,,
"['04:00', '06/07']",06/07 04:00,110,3,9999,,,NIL,22,16,1014,69,,,,,,,,,,
"['05:00', '06/07']",06/07 05:00,0,0,9999,,,NIL,21,15,1014,69,,,,,,,,,,
"['06:00', '06/07']",06/07 06:00,310,3,9999,,,NIL,22,15,1014,65,,,,,,,,,,
"['07:00', '06/07']",06/07 07:00,330,4,9999,,,NIL,21,15,1013,69,,,,,,,,,,
"['08:00', '06/07']",06/07 08:00,200,2,9999,,,NIL,21,15,1014,69,,,,,,,,,,
"['09:00', '06/07']",06/07 09:00,280,2,9999,,,NIL,21,14,1014,64,,,,,,,,,,
"['10:00', '06/07']",06/07 10:00,300,5,9999,,,NIL,20,14,1015,68,,,,,,,,,,
"['11:00', '06/07']",06/07 11:00,320,6,9999,,,NIL,21,15,1015,69,,,,,,,,,,
"['12:00', '06/07']",06/07 12:00,300,8,9999,,,NIL,25,15,1016,54,,,,,,,,,,
"['13:00', '06/07']",06/07 13:00,310,7,9999,,,NIL,28,15,1016,45,,,,,,,,,,
"['14:00', '06/07']",06/07 14:00,320,6,9999,,,NIL,32,15,1016,36,,,,,,,,,,
"['15:00', '06/07']",06/07 15:00,340,11,9999,,,NIL,34,11,1016,25,,,,,,,,,,
"['16:00', '06/07']",06/07 16:00,20,8,9999,,,NIL,34,10,1015,23,,,,,,,,,,
"['17:00', '06/07']",06/07 17:00,360,5,9999,,,NIL,35,09,1013,20,,,,,,,,,,
"['18:00', '06/07']",06/07 18:00,10,6,9999,,,2,35,09,1013,20,,,,,,,,,,
"['19:00', '06/07']",06/07 19:00,320,2,9999,,,2,36,10,1012,21,,,,,,,,,,
"['20:00', '06/07']",06/07 20:00,290,6,9999,,,2,35,10,1012,22,,,,,,,,,,
"['21:00', '06/07']",06/07 21:00,350,2,9999,,,NIL,34,12,1011,26,,,,,,,,,,
"['22:00', '06/07']",06/07 22:00,300,3,9999,,,NIL,31,12,1012,31,,,,,,,,,,
"['23:00', '06/07']",06/07 23:00,310,2,9999,,,NIL,28,14,1012,42,,,,,,,,,,
"['00:00', '07/07']",07/07 00:00,0,0,9999,,,NIL,27,13,1013,42,,,,,,,,,,
"['01:00', '07/07']",07/07 01:00,160,3,9999,,,,26,15,1013,51,,,,,,,,,,
"['02:00', '07/07']",07/07 02:00,120,3,9999,,,,26,15,1013,51,,,,,,,,,,
"['03:00', '07/07']",07/07 03:00,140,2,9999,,,,24,15,1013,57,,,,,,,,,,
"['04:00', '07/07']",07/07 04:00,360,2,9999,,,,24,15,1013,57,,,,,,,,,,
"['05:00', '07/07']",07/07 05:00,290,2,9999,,,,23,16,1013,65,,,,,,,,,,
"['06:00', '07/07']",07/07 06:00,270,4,9999,,,,23,16,1013,65,,,,,,,,,,
"['07:00', '07/07']",07/07 07:00,290,2,9999,,,,22,16,1013,69,,,,,,,,,,
"['08:00', '07/07']",07/07 08:00,0,0,9999,,,,22,15,1013,65,,,,,,,,,,
"['09:00', '07/07']",07/07 09:00,320,4,9999,,,,22,16,1013,69,,,,,,,,,,
"['10:00', '07/07']",07/07 10:00,320,6,9999,,,,20,16,1014,78,,,,,,,,,,
"['11:00', '07/07']",07/07 11:00,320,7,9999,,,,21,16,1014,73,,,,,,,,,,
"['12:00', '07/07']",07/07 12:00,320,6,9999,,,,24,15,1015,57,,,,,,,,,,
"['13:00', '07/07']",07/07 13:00,330,5,9999,,,,28,15,1015,45,,,,,,,,,,
"['14:00', '07/07']",07/07 14:00,330,5,9999,,,,32,14,1014,34,,,,,,,,,,
"['15:00', '07/07']",07/07 15:00,330,8,9999,,,,34,12,1014,26,,,,,,,,,,
"['16:00', '07/07']",07/07 16:00,360,9,9999,,,,34,10,1013,23,,,,,,,,,,
"['17:00', '07/07']",07/07 17:00,360,10,9999,,,,34,10,1012,23,,,,,,,,,,
"['18:00', '07/07']",07/07 18:00,10,7,9999,,,,34,10,1011,23,,,,,,,,,,
"['19:00', '07/07']",07/07 19:00,330,7,9999,,,,35,10,1010,22,,,,,,,,,,
"['20:00', '07/07']",07/07 20:00,340,7,9999,,,,34,10,1009,23,,,,,,,,,,
"['21:00', '07/07']",07/07 21:00,350,4,9999,,,,32,11,1010,28,,,,,,,,,,
"['22:00', '07/07']",07/07 22:00,10,4,9999,,,,31,10,1010,27,,,,,,,,,,
"['23:00', '07/07']",07/07 23:00,0,0,9999,,,,27,11,1010,37,,,,,,,,,,
"['00:00', '08/07']",08/07 00:00,10,2,9999,,,,26,12,1011,42,,,,,,,,,,
"['01:00', '08/07']",08/07 01:00,320,3,9999,,,,26,12,1012,42,,,,,,,,,,
"['02:00', '08/07']",08/07 02:00,310,4,9999,,,,25,13,1012,47,,,,,,,,,,
"['03:00', '08/07']",08/07 03:00,310,4,9999,,,,24,14,1012,54,,,,,,,,,,
"['04:00', '08/07']",08/07 04:00,320,4,9999,,,,24,13,1012,50,,,,,,,,,,
"['05:00', '08/07']",08/07 05:00,310,5,9999,,,,22,14,1012,60,,,,,,,,,,
"['06:00', '08/07']",08/07 06:00,290,4,9999,,,,23,13,1012,53,,,,,,,,,,
"['07:00', '08/07']",08/07 07:00,290,5,9999,,,,23,13,1012,53,,,,,,,,,,
"['08:00', '08/07']",08/07 08:00,300,5,9999,,,,22,13,1012,57,,,,,,,,,,
