validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,trovoada,teto,cobertura,tt,po,qnh,ur,chuva,vnt_rajada,chuvisco,nevoeiro,nevoa_umida,pancada,vis_setor,vis_setor_dir,fumaca,vnt_vrb
"['01:00', '01/01']",01/01 01:00,150,3,9999,NIL,NIL,2,27,23,1011,79,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,300,5,9999,NIL,NIL,NIL,27,22,1011,74,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,310,5,9999,NIL,NIL,2,26,23,1011,84,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,320,4,9999,NIL,NIL,NIL,26,23,1011,84,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,310,5,9999,NIL,NIL,NIL,26,23,1010,84,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,320,4,9999,NIL,NIL,NIL,26,23,1010,84,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,310,5,9999,NIL,NIL,NIL,26,22,1009,79,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,330,5,9999,NIL,NIL,NIL,25,22,1009,83,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,320,4,9999,NIL,NIL,NIL,25,22,1009,83,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,330,4,9999,NIL,NIL,2,25,22,1010,83,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,310,4,9999,NIL,NIL,2,27,22,1011,74,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,320,4,9999,NIL,NIL,3,28,22,1011,70,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,300,5,9999,NIL,NIL,3,31,22,1012,59,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,280,4,9999,NIL,NIL,3,31,22,1011,59,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,320,5,9999,NIL,NIL,3,32,21,1010,52,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,340,3,9999,NIL,2000,5,33,21,1009,49,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,0,0,9999,NIL,2000,5,33,20,1008,46,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,340,12,9999,NIL,2000,5,31,21,1007,55,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,140,14,9999,1,7000,5,28,21,1008,66,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,190,5,9999,1,10000,5,25,21,1007,79,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,240,5,9999,NIL,10000,5,26,21,1006,74,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,240,4,9999,NIL,10000,5,26,21,1007,74,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,130,3,9999,NIL,10000,5,26,22,1008,79,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,80,2,9999,NIL,NIL,3,25,22,1009,83,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,0,0,9999,,NIL,3,26,22,1010,79,,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,330,2,9999,,NIL,3,25,22,1010,83,,,,,,,,,,
"['03:00', '02/01']",02/01 03:00,310,5,9999,,NIL,3,26,23,1010,84,,,,,,,,,,
"['04:00', '02/01']",02/01 04:00,300,5,9999,,NIL,NIL,26,22,1010,79,,,,,,,,,,
"['05:00', '02/01']",02/01 05:00,300,6,9999,,NIL,NIL,26,22,1010,79,,,,,,,,,,
"['06:00', '02/01']",02/01 06:00,290,5,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['07:00', '02/01']",02/01 07:00,310,3,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['08:00', '02/01']",02/01 08:00,300,3,9999,,NIL,NIL,24,22,1010,89,,,,,,,,,,
"['09:00', '02/01']",02/01 09:00,0,0,9999,,NIL,NIL,24,22,1010,89,,,,,,,,,,
"['10:00', '02/01']",02/01 10:00,330,6,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['11:00', '02/01']",02/01 11:00,0,0,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['12:00', '02/01']",02/01 12:00,310,10,9999,,NIL,2,28,22,1012,70,,,,,,,,,,
"['13:00', '02/01']",02/01 13:00,310,13,9999,,2500,5,30,22,1012,62,,,,,,,,,,
"['14:00', '02/01']",02/01 14:00,310,13,9999,,2500,5,30,22,1012,62,,,,,,,,,,
"['15:00', '02/01']",02/01 15:00,310,13,9999,,2500,5,31,22,1012,59,,,,,,,,,,
"['16:00', '02/01']",02/01 16:00,280,11,9999,,2500,5,32,22,1011,56,,,,,,,,,,
"['17:00', '02/01']",02/01 17:00,310,11,9999,,3000,5,32,21,1009,52,,,,,,,,,,
"['18:00', '02/01']",02/01 18:00,300,10,9999,,NIL,3,33,21,1008,49,,,,,,,,,,
"['19:00', '02/01']",02/01 19:00,280,8,9999,,NIL,3,34,20,1007,44,,,,,,,,,,
"['20:00', '02/01']",02/01 20:00,320,5,9999,,NIL,3,33,20,1007,46,,,,,,,,,,
"['21:00', '02/01']",02/01 21:00,70,4,9999,,NIL,3,31,21,1008,55,,,,,,,,,,
"['22:00', '02/01']",02/01 22:00,70,3,9999,,NIL,3,30,22,1008,62,,,,,,,,,,
"['23:00', '02/01']",02/01 23:00,80,2,9999,,NIL,3,28,23,1009,74,,,,,,,,,,
"['00:00', '03/01']",03/01 00:00,120,3,9999,,NIL,3,27,24,1010,84,,,,,,,,,,
"['01:00', '03/01']",03/01 01:00,140,3,9999,NIL,NIL,2,27,23,1010,79,NIL,,,,,,,,,
"['02:00', '03/01']",03/01 02:00,110,2,9999,NIL,NIL,3,27,23,1011,79,NIL,,,,,,,,,
"['03:00', '03/01']",03/01 03:00,120,2,9999,NIL,NIL,2,27,23,1011,79,NIL,,,,,,,,,
"['04:00', '03/01']",03/01 04:00,0,0,9999,NIL,NIL,NIL,26,23,1010,84,NIL,,,,,,,,,
"['05:00', '03/01']",03/01 05:00,0,0,9999,NIL,NIL,NIL,25,23,1010,89,NIL,,,,,,,,,
"['06:00', '03/01']",03/01 06:00,310,6,9999,NIL,NIL,NIL,26,23,1009,84,NIL,,,,,,,,,
"['07:00', '03/01']",03/01 07:00,310,7,9999,NIL,NIL,NIL,26,23,1009,84,NIL,,,,,,,,,
"['08:00', '03/01']",03/01 08:00,280,6,9999,NIL,NIL,3,26,23,1010,84,NIL,,,,,,,,,
"['09:00', '03/01']",03/01 09:00,320,5,9999,NIL,NIL,2,25,22,1010,83,NIL,,,,,,,,,
"['10:00', '03/01']",03/01 10:00,310,5,9999,NIL,NIL,2,25,23,1011,89,NIL,,,,,,,,,
"['11:00', '03/01']",03/01 11:00,300,9,9999,NIL,NIL,3,27,23,1011,79,NIL,,,,,,,,,
"['12:00', '03/01']",03/01 12:00,270,4,9999,NIL,NIL,3,28,22,1012,70,NIL,,,,,,,,,
"['13:00', '03/01']",03/01 13:00,150,8,3000,NIL,2000,5,24,22,1013,89,1,,,,,,,,,
"['14:00', '03/01']",03/01 14:00,200,5,8000,NIL,NIL,3,26,23,1013,84,1,,,,,,,,,
"['15:00', '03/01']",03/01 15:00,240,6,9999,NIL,NIL,3,29,23,1012,70,NIL,,,,,,,,,
"['16:00', '03/01']",03/01 16:00,260,3,9999,NIL,NIL,3,31,22,1011,59,NIL,,,,,,,,,
"['17:00', '03/01']",03/01 17:00,290,6,9999,NIL,NIL,3,32,24,1010,63,NIL,,,,,,,,,
"['18:00', '03/01']",03/01 18:00,60,11,1500,NIL,2000,5,26,22,1009,79,1,,,,,,,,,
"['18:19', '03/01']",03/01 18:19,50,4,5000,1,2000,5,26,23,1009,84,1,,,,,,,,,
"['19:00', '03/01']",03/01 19:00,70,5,9999,1,NIL,3,29,23,1008,70,1,,,,,,,,,
"['20:00', '03/01']",03/01 20:00,60,4,9999,1,NIL,3,30,23,1007,66,NIL,,,,,,,,,
"['21:00', '03/01']",03/01 21:00,60,6,9999,NIL,NIL,2,30,22,1008,62,NIL,,,,,,,,,
"['22:00', '03/01']",03/01 22:00,30,3,9999,NIL,NIL,2,29,23,1008,70,NIL,,,,,,,,,
"['23:00', '03/01']",03/01 23:00,320,5,9999,NIL,NIL,2,27,23,1008,79,NIL,,,,,,,,,
"['00:00', '04/01']",04/01 00:00,320,3,9999,NIL,NIL,NIL,27,23,1009,79,NIL,,,,,,,,,
"['01:00', '04/01']",04/01 01:00,310,5,9999,,NIL,NIL,26,23,1010,84,,,,,,,,,,
"['02:00', '04/01']",04/01 02:00,310,6,9999,,NIL,NIL,26,23,1010,84,,,,,,,,,,
"['03:00', '04/01']",04/01 03:00,310,8,9999,,NIL,NIL,25,23,1010,89,,,,,,,,,,
"['04:00', '04/01']",04/01 04:00,290,3,9999,,NIL,NIL,26,22,1009,79,,,,,,,,,,
"['05:00', '04/01']",04/01 05:00,310,10,9999,,NIL,NIL,25,22,1009,83,,,,,,,,,,
"['06:00', '04/01']",04/01 06:00,320,8,9999,,NIL,NIL,25,22,1009,83,,,,,,,,,,
"['07:00', '04/01']",04/01 07:00,320,5,9999,,NIL,NIL,26,22,1009,79,,,,,,,,,,
"['08:00', '04/01']",04/01 08:00,310,5,9999,,NIL,NIL,25,23,1009,89,,,,,,,,,,
"['09:00', '04/01']",04/01 09:00,320,9,9999,,NIL,NIL,25,22,1009,83,,,,,,,,,,
"['10:00', '04/01']",04/01 10:00,310,10,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['11:00', '04/01']",04/01 11:00,310,10,9999,,NIL,NIL,26,22,1010,79,,,,,,,,,,
"['12:00', '04/01']",04/01 12:00,310,8,9999,,10000,5,27,22,1011,74,,,,,,,,,,
"['13:00', '04/01']",04/01 13:00,310,7,9999,,NIL,2,29,22,1011,66,,,,,,,,,,
"['14:00', '04/01']",04/01 14:00,290,6,9999,,NIL,2,31,22,1011,59,,,,,,,,,,
"['15:00', '04/01']",04/01 15:00,300,4,9999,,NIL,3,31,22,1010,59,,,,,,,,,,
"['16:00', '04/01']",04/01 16:00,30,2,9999,,NIL,3,31,20,1010,52,,,,,,,,,,
"['17:00', '04/01']",04/01 17:00,250,4,9999,,NIL,3,32,19,1009,46,,,,,,,,,,
"['18:00', '04/01']",04/01 18:00,220,8,9999,,NIL,3,34,16,1008,34,,,,,,,,,,
"['19:00', '04/01']",04/01 19:00,210,8,9999,,NIL,3,33,18,1007,41,,,,,,,,,,
"['20:00', '04/01']",04/01 20:00,180,8,9999,,NIL,3,33,19,1006,44,,,,,,,,,,
"['21:00', '04/01']",04/01 21:00,210,6,9999,,NIL,3,33,18,1006,41,,,,,,,,,,
"['22:00', '04/01']",04/01 22:00,220,4,9999,,NIL,3,33,18,1006,41,,,,,,,,,,
"['23:00', '04/01']",04/01 23:00,0,0,9999,,NIL,2,29,20,1007,58,,,,,,,,,,
"['00:00', '05/01']",05/01 00:00,320,2,9999,,NIL,NIL,29,20,1008,58,,,,,,,,,,
"['01:00', '05/01']",05/01 01:00,10,2,9999,,NIL,NIL,28,21,1009,66,,,,,,,,,,
"['02:00', '05/01']",05/01 02:00,330,8,9999,,NIL,NIL,28,22,1009,70,,,,,,,,,,
"['03:00', '05/01']",05/01 03:00,320,6,9999,,NIL,NIL,26,22,1009,79,,,,,,,,,,
"['04:00', '05/01']",05/01 04:00,310,7,9999,,NIL,NIL,25,22,1008,83,,,,,,,,,,
"['05:00', '05/01']",05/01 05:00,320,7,9999,,NIL,NIL,25,22,1008,83,,,,,,,,,,
"['06:00', '05/01']",05/01 06:00,310,8,9999,,NIL,NIL,25,22,1008,83,,,,,,,,,,
"['07:00', '05/01']",05/01 07:00,310,7,9999,,NIL,NIL,25,22,1008,83,,,,,,,,,,
"['08:00', '05/01']",05/01 08:00,310,7,9999,,NIL,NIL,24,22,1008,89,,,,,,,,,,
"['09:00', '05/01']",05/01 09:00,320,7,9999,,NIL,NIL,24,21,1008,83,,,,,,,,,,
"['10:00', '05/01']",05/01 10:00,320,7,9999,,NIL,NIL,25,21,1009,79,,,,,,,,,,
"['11:00', '05/01']",05/01 11:00,310,10,9999,,NIL,NIL,27,22,1009,74,,,,,,,,,,
"['12:00', '05/01']",05/01 12:00,310,14,9999,,NIL,NIL,28,22,1010,70,,,,,,,,,,
"['13:00', '05/01']",05/01 13:00,320,12,9999,,NIL,NIL,30,23,1010,66,,,,,,,,,,
"['14:00', '05/01']",05/01 14:00,320,10,9999,,2700,5,30,23,1010,66,,,,,,,,,,
"['15:00', '05/01']",05/01 15:00,310,11,9999,,2700,5,32,21,1010,52,,,,,,,,,,
"['16:00', '05/01']",05/01 16:00,320,12,9999,,2700,5,33,21,1008,49,,,,,,,,,,
"['17:00', '05/01']",05/01 17:00,320,8,9999,,2000,5,32,21,1008,52,,,,,,,,,,
"['18:00', '05/01']",05/01 18:00,150,7,9999,,2000,5,31,23,1006,63,,,,,,,,,,
"['19:00', '05/01']",05/01 19:00,300,9,9999,,2000,5,34,19,1005,41,,,,,,,,,,
"['20:00', '05/01']",05/01 20:00,300,11,9999,,2000,5,33,21,1005,49,,,,,,,,,,
"['21:00', '05/01']",05/01 21:00,250,10,9999,,NIL,3,31,20,1005,52,,,,,,,,,,
"['22:00', '05/01']",05/01 22:00,290,10,9999,,NIL,2,30,22,1005,62,,,,,,,,,,
"['23:00', '05/01']",05/01 23:00,310,5,9999,,NIL,3,28,21,1006,66,,,,,,,,,,
"['00:00', '06/01']",06/01 00:00,310,5,9999,,NIL,3,28,21,1007,66,,,,,,,,,,
"['01:00', '06/01']",06/01 01:00,340,3,9999,,NIL,3,27,23,1008,79,,,,,,,,,,
"['02:00', '06/01']",06/01 02:00,360,5,9999,,NIL,3,27,22,1009,74,,,,,,,,,,
"['03:00', '06/01']",06/01 03:00,360,8,9999,,NIL,3,28,21,1009,66,,,,,,,,,,
"['04:00', '06/01']",06/01 04:00,340,8,9999,,NIL,3,27,22,1008,74,,,,,,,,,,
"['05:00', '06/01']",06/01 05:00,330,9,9999,,NIL,NIL,27,22,1008,74,,,,,,,,,,
"['06:00', '06/01']",06/01 06:00,350,7,9999,,NIL,NIL,27,22,1008,74,,,,,,,,,,
"['07:00', '06/01']",06/01 07:00,330,8,9999,,NIL,NIL,27,22,1007,74,,,,,,,,,,
"['08:00', '06/01']",06/01 08:00,340,9,9999,,NIL,NIL,26,22,1007,79,,,,,,,,,,
"['09:00', '06/01']",06/01 09:00,350,8,9999,,NIL,NIL,26,22,1007,79,,,,,,,,,,
"['10:00', '06/01']",06/01 10:00,310,6,9999,,NIL,NIL,26,21,1010,74,,,,,,,,,,
"['11:00', '06/01']",06/01 11:00,330,9,9999,,NIL,NIL,27,21,1010,70,,,,,,,,,,
"['12:00', '06/01']",06/01 12:00,330,13,9999,,NIL,3,28,22,1011,70,,,,,,,,,,
"['13:00', '06/01']",06/01 13:00,320,16,9999,,2000,5,29,22,1011,66,,,,,,,,,,
"['14:00', '06/01']",06/01 14:00,310,14,9999,,2000,5,29,22,1012,66,,,,,,,,,,
"['15:00', '06/01']",06/01 15:00,310,15,9999,,2000,5,30,21,1011,59,,,,,,,,,,
"['16:00', '06/01']",06/01 16:00,310,15,9999,,2000,5,31,22,1010,59,,,,,,,,,,
"['17:00', '06/01']",06/01 17:00,300,12,9999,,2000,5,32,21,1009,52,,,,,,,,,,
"['18:00', '06/01']",06/01 18:00,310,13,9999,,2000,5,32,21,1008,52,,,,,,,,,,
"['19:00', '06/01']",06/01 19:00,320,13,9999,,2000,5,32,22,1007,56,,,,,,,,,,
"['20:00', '06/01']",06/01 20:00,330,12,9999,,NIL,3,31,22,1007,59,,,,,,,,,,
"['21:00', '06/01']",06/01 21:00,310,10,9999,,NIL,2,31,22,1006,59,,,,,,,,,,
"['22:00', '06/01']",06/01 22:00,330,8,9999,,NIL,3,30,21,1007,59,,,,,,,,,,
"['23:00', '06/01']",06/01 23:00,300,8,9999,,NIL,3,29,21,1007,62,,,,,,,,,,
"['00:00', '07/01']",07/01 00:00,360,6,9999,,NIL,2,29,22,1008,66,,,,,,,,,,
"['01:00', '07/01']",07/01 01:00,340,10,9999,,NIL,2,28,22,1010,70,,,,,,,,,,
"['02:00', '07/01']",07/01 02:00,340,9,9999,,NIL,2,26,23,1011,84,,,,,,,,,,
"['03:00', '07/01']",07/01 03:00,310,6,9999,,NIL,NIL,25,23,1011,89,,,,,,,,,,
"['04:00', '07/01']",07/01 04:00,320,6,9999,,NIL,NIL,25,23,1012,89,,,,,,,,,,
"['05:00', '07/01']",07/01 05:00,340,6,9999,,NIL,NIL,26,22,1011,79,,,,,,,,,,
"['06:00', '07/01']",07/01 06:00,330,8,9999,,NIL,2,25,22,1011,83,,,,,,,,,,
"['07:00', '07/01']",07/01 07:00,340,8,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['08:00', '07/01']",07/01 08:00,330,9,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['09:00', '07/01']",07/01 09:00,320,8,9999,,NIL,NIL,25,22,1011,83,,,,,,,,,,
"['10:00', '07/01']",07/01 10:00,330,9,9999,,NIL,NIL,25,22,1011,83,,,,,,,,,,
"['11:00', '07/01']",07/01 11:00,350,7,9999,,NIL,NIL,27,22,1012,74,,,,,,,,,,
"['12:00', '07/01']",07/01 12:00,350,12,9999,,10000,5,28,22,1012,70,,,,,,,,,,
"['13:00', '07/01']",07/01 13:00,330,14,9999,,10000,5,29,22,1013,66,,,,,,,,,,
"['14:00', '07/01']",07/01 14:00,340,13,9999,,10000,5,29,22,1013,66,,,,,,,,,,
"['15:00', '07/01']",07/01 15:00,340,10,9999,,10000,5,32,22,1012,56,,,,,,,,,,
"['16:00', '07/01']",07/01 16:00,300,11,9999,,NIL,3,33,22,1011,53,,,,,,,,,,
"['17:00', '07/01']",07/01 17:00,330,14,9999,,2500,5,32,22,1010,56,,,,,,,,,,
"['18:00', '07/01']",07/01 18:00,320,14,9999,,2500,5,32,22,1011,56,,,,,,,,,,
"['19:00', '07/01']",07/01 19:00,350,11,9999,,NIL,3,33,22,1007,53,,,,,,,,,,
"['20:00', '07/01']",07/01 20:00,340,11,9999,,NIL,3,32,21,1007,52,,,,,,,,,,
"['21:00', '07/01']",07/01 21:00,340,9,9999,,NIL,2,33,21,1007,49,,,,,,,,,,
"['22:00', '07/01']",07/01 22:00,340,9,9999,,NIL,2,32,20,1008,49,,,,,,,,,,
"['23:00', '07/01']",07/01 23:00,340,8,9999,,NIL,NIL,31,21,1009,55,,,,,,,,,,
"['00:00', '08/01']",08/01 00:00,340,7,9999,,NIL,NIL,30,21,1009,59,,,,,,,,,,
"['01:00', '08/01']",08/01 01:00,340,6,9999,,NIL,NIL,29,21,1010,62,NIL,,,,,,,,,
"['02:00', '08/01']",08/01 02:00,340,6,9999,,NIL,NIL,29,22,1011,66,NIL,,,,,,,,,
"['03:00', '08/01']",08/01 03:00,300,6,9999,,NIL,NIL,28,22,1012,70,NIL,,,,,,,,,
"['04:00', '08/01']",08/01 04:00,210,7,9999,,NIL,2,27,22,1012,74,NIL,,,,,,,,,
"['05:00', '08/01']",08/01 05:00,230,11,9999,,NIL,3,25,22,1012,83,NIL,,,,,,,,,
"['06:00', '08/01']",08/01 06:00,40,3,9999,,NIL,3,25,22,1012,83,NIL,,,,,,,,,
"['07:00', '08/01']",08/01 07:00,50,3,9999,,10000,5,24,22,1012,89,NIL,,,,,,,,,
"['08:00', '08/01']",08/01 08:00,360,4,9999,,4000,5,24,22,1012,89,1,,,,,,,,,
"['09:00', '08/01']",08/01 09:00,350,4,9999,,10000,5,24,22,1012,89,NIL,,,,,,,,,
"['09:30', '08/01']",08/01 09:30,50,2,9999,,500,5,24,22,1012,89,NIL,,,,,,,,,
"['10:00', '08/01']",08/01 10:00,50,4,9999,,500,5,24,22,1012,89,NIL,,,,,,,,,
"['10:30', '08/01']",08/01 10:30,30,3,9999,,10000,5,24,22,1013,89,NIL,,,,,,,,,
"['11:00', '08/01']",08/01 11:00,10,4,9999,,10000,5,24,22,1013,89,NIL,,,,,,,,,
"['12:00', '08/01']",08/01 12:00,330,5,9999,,10000,5,25,22,1013,83,NIL,,,,,,,,,
"['13:00', '08/01']",08/01 13:00,330,8,9999,,10000,5,27,22,1014,74,NIL,,,,,,,,,
"['14:00', '08/01']",08/01 14:00,330,10,9999,,10000,5,29,23,1014,70,NIL,,,,,,,,,
"['15:00', '08/01']",08/01 15:00,320,12,9999,,2000,5,30,22,1013,62,NIL,,,,,,,,,
"['16:00', '08/01']",08/01 16:00,310,11,9999,,NIL,3,30,22,1012,62,NIL,,,,,,,,,
"['17:00', '08/01']",08/01 17:00,320,10,9999,,NIL,3,30,22,1012,62,NIL,,,,,,,,,
"['18:00', '08/01']",08/01 18:00,320,9,9999,,NIL,3,30,22,1011,62,NIL,,,,,,,,,
"['19:00', '08/01']",08/01 19:00,310,9,9999,,NIL,3,31,22,1010,59,NIL,,,,,,,,,
"['20:00', '08/01']",08/01 20:00,310,10,9999,,NIL,2,31,21,1009,55,NIL,,,,,,,,,
"['21:00', '08/01']",08/01 21:00,320,9,9999,,NIL,3,31,21,1009,55,NIL,,,,,,,,,
"['22:00', '08/01']",08/01 22:00,290,10,9999,,NIL,3,31,21,1010,55,NIL,,,,,,,,,
"['23:00', '08/01']",08/01 23:00,220,6,9999,,2000,5,26,21,1011,74,NIL,,,,,,,,,
"['00:00', '09/01']",09/01 00:00,350,3,9999,,NIL,3,26,21,1012,74,NIL,,,,,,,,,
"['01:00', '09/01']",09/01 01:00,330,4,9999,,NIL,3,26,22,1012,79,,,,,,,,,,
"['02:00', '09/01']",09/01 02:00,340,4,9999,,NIL,3,26,22,1013,79,,,,,,,,,,
"['03:00', '09/01']",09/01 03:00,330,5,9999,,NIL,2,27,22,1012,74,,,,,,,,,,
"['04:00', '09/01']",09/01 04:00,330,6,9999,,NIL,NIL,26,22,1012,79,,,,,,,,,,
"['05:00', '09/01']",09/01 05:00,330,8,9999,,NIL,NIL,26,22,1011,79,,,,,,,,,,
"['06:00', '09/01']",09/01 06:00,320,7,9999,,NIL,NIL,26,22,1011,79,,,,,,,,,,
"['07:00', '09/01']",09/01 07:00,350,5,9999,,NIL,NIL,26,22,1011,79,,,,,,,,,,
"['08:00', '09/01']",09/01 08:00,320,6,9999,,NIL,NIL,26,22,1012,79,,,,,,,,,,
"['09:00', '09/01']",09/01 09:00,330,6,9999,,NIL,NIL,25,22,1012,83,,,,,,,,,,
"['10:00', '09/01']",09/01 10:00,330,6,9999,,NIL,3,25,22,1013,83,,,,,,,,,,
"['11:00', '09/01']",09/01 11:00,340,6,9999,,10000,5,26,21,1014,74,,,,,,,,,,
"['12:00', '09/01']",09/01 12:00,340,5,9999,,10000,5,27,22,1015,74,,,,,,,,,,
"['13:00', '09/01']",09/01 13:00,330,7,9999,,10000,5,30,22,1015,62,,,,,,,,,,
"['14:00', '09/01']",09/01 14:00,350,6,9999,,10000,5,34,21,1015,47,,,,,,,,,,
"['15:00', '09/01']",09/01 15:00,330,8,9999,,10000,5,31,22,1015,59,,,,,,,,,,
"['16:00', '09/01']",09/01 16:00,290,8,9999,,NIL,3,32,22,1014,56,,,,,,,,,,
"['17:00', '09/01']",09/01 17:00,290,6,9999,,NIL,3,33,22,1013,53,,,,,,,,,,
"['18:00', '09/01']",09/01 18:00,280,9,9999,,NIL,3,34,20,1011,44,,,,,,,,,,
"['19:00', '09/01']",09/01 19:00,360,7,9999,,NIL,3,33,22,1010,53,,,,,,,,,,
"['20:00', '09/01']",09/01 20:00,320,8,9999,,10000,5,32,22,1010,56,,,,,,,,,,
"['21:00', '09/01']",09/01 21:00,140,11,9999,,5000,5,27,20,1011,66,,,,,,,,,,
"['22:00', '09/01']",09/01 22:00,100,2,9999,,10000,5,26,21,1011,74,,,,,,,,,,
"['23:00', '09/01']",09/01 23:00,340,4,9999,,10000,5,26,21,1011,74,,,,,,,,,,
"['00:00', '10/01']",10/01 00:00,320,6,9999,,NIL,NIL,27,21,1012,70,,,,,,,,,,
"['01:00', '10/01']",10/01 01:00,320,6,9999,,,NIL,26,22,1012,79,,,,,,,,,,
"['02:00', '10/01']",10/01 02:00,320,8,9999,,,NIL,26,22,1012,79,,,,,,,,,,
"['03:00', '10/01']",10/01 03:00,320,5,9999,,,NIL,25,22,1012,83,,,,,,,,,,
"['04:00', '10/01']",10/01 04:00,320,7,9999,,,NIL,25,22,1012,83,,,,,,,,,,
"['05:00', '10/01']",10/01 05:00,340,4,9999,,,NIL,25,22,1012,83,,,,,,,,,,
"['06:00', '10/01']",10/01 06:00,340,7,9999,,,NIL,25,22,1012,83,,,,,,,,,,
"['07:00', '10/01']",10/01 07:00,320,7,9999,,,NIL,25,22,1012,83,,,,,,,,,,
"['08:00', '10/01']",10/01 08:00,300,7,9999,,,NIL,24,22,1012,89,,,,,,,,,,
"['09:00', '10/01']",10/01 09:00,320,3,9999,,,NIL,25,22,1011,83,,,,,,,,,,
"['10:00', '10/01']",10/01 10:00,320,2,9999,,,NIL,25,22,1012,83,,,,,,,,,,
"['11:00', '10/01']",10/01 11:00,330,4,9999,,,NIL,26,22,1013,79,,,,,,,,,,
"['12:00', '10/01']",10/01 12:00,340,7,9999,,,NIL,28,22,1014,70,,,,,,,,,,
"['13:00', '10/01']",10/01 13:00,320,8,9999,,,NIL,29,22,1014,66,,,,,,,,,,
"['14:00', '10/01']",10/01 14:00,310,7,9999,,,2,30,22,1014,62,,,,,,,,,,
"['15:00', '10/01']",10/01 15:00,330,5,9999,,,2,31,22,1013,59,,,,,,,,,,
"['16:00', '10/01']",10/01 16:00,260,5,9999,,,3,33,21,1012,49,,,,,,,,,,
"['17:00', '10/01']",10/01 17:00,330,5,9999,,,3,35,20,1011,42,,,,,,,,,,
"['18:00', '10/01']",10/01 18:00,40,6,9000,,,3,29,23,1010,70,,,,,,,,,,
"['19:00', '10/01']",10/01 19:00,30,5,9999,,,3,29,22,1009,66,,,,,,,,,,
"['20:00', '10/01']",10/01 20:00,0,0,9999,,,3,32,20,1009,49,,,,,,,,,,
"['21:00', '10/01']",10/01 21:00,320,2,9999,,,3,32,22,1009,56,,,,,,,,,,
"['22:00', '10/01']",10/01 22:00,280,5,9999,,,3,31,23,1009,63,,,,,,,,,,
"['23:00', '10/01']",10/01 23:00,300,10,9999,,,2,29,22,1009,66,,,,,,,,,,
"['00:00', '11/01']",11/01 00:00,320,5,9999,,,NIL,27,22,1010,74,,,,,,,,,,
"['01:00', '11/01']",11/01 01:00,300,8,9999,,NIL,NIL,27,22,1011,74,NIL,,,,,,,,,
"['02:00', '11/01']",11/01 02:00,310,5,9999,,NIL,NIL,27,22,1011,74,NIL,,,,,,,,,
"['03:00', '11/01']",11/01 03:00,340,2,9999,,NIL,NIL,26,22,1011,79,NIL,,,,,,,,,
"['04:00', '11/01']",11/01 04:00,280,4,9999,,NIL,NIL,27,22,1010,74,NIL,,,,,,,,,
"['05:00', '11/01']",11/01 05:00,310,5,9999,,NIL,NIL,26,23,1010,84,NIL,,,,,,,,,
"['06:00', '11/01']",11/01 06:00,320,6,9999,,NIL,NIL,25,23,1010,89,NIL,,,,,,,,,
"['07:00', '11/01']",11/01 07:00,320,5,9999,,NIL,NIL,25,23,1010,89,NIL,,,,,,,,,
"['08:00', '11/01']",11/01 08:00,290,7,9999,,NIL,NIL,25,23,1010,89,NIL,,,,,,,,,
"['09:00', '11/01']",11/01 09:00,310,6,9999,,NIL,NIL,25,23,1010,89,NIL,,,,,,,,,
"['10:00', '11/01']",11/01 10:00,310,5,9999,,NIL,NIL,25,23,1011,89,NIL,,,,,,,,,
"['11:00', '11/01']",11/01 11:00,340,5,9999,,NIL,NIL,27,23,1012,79,NIL,,,,,,,,,
