validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,pancada,vnt_rajada,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco
"['11:00', '08/04']",08/04 11:00,0,0,9999,1500,5,26,25,1012,94,,NIL,NIL,,,NIL,NIL,NIL,,
"['11:40', '08/04']",08/04 11:40,340,4,3000,800,5,26,25,1013,94,,1,NIL,,,NIL,NIL,NIL,,
"['12:00', '08/04']",08/04 12:00,340,5,9999,800,5,25,24,1013,94,,1,NIL,,,3500,270,NIL,,
"['13:00', '08/04']",08/04 13:00,130,4,8000,9000,5,27,25,1014,89,,1,NIL,,,3000,180,NIL,,
"['14:00', '08/04']",08/04 14:00,200,3,8000,800,5,26,25,1014,94,,1,1,,,NIL,NIL,NIL,,
"['15:00', '08/04']",08/04 15:00,220,4,9999,1000,5,26,26,1014,100,,1,1,,,NIL,NIL,NIL,,
"['15:27', '08/04']",08/04 15:27,250,6,9999,600,5,27,26,1013,94,,1,NIL,,,NIL,NIL,NIL,,
"['16:00', '08/04']",08/04 16:00,270,5,1000,600,5,27,25,1013,89,,1,1,,,NIL,NIL,NIL,,
"['16:18', '08/04']",08/04 16:18,160,7,800,600,5,24,24,1013,100,,1,1,,,500,270,NIL,,
"['16:29', '08/04']",08/04 16:29,250,3,1500,600,5,24,24,1013,100,,1,1,,,NIL,NIL,NIL,,
"['17:00', '08/04']",08/04 17:00,330,4,4000,1000,5,24,23,1012,94,,1,1,,,NIL,NIL,NIL,,
"['17:12', '08/04']",08/04 17:12,90,3,8000,7000,5,24,24,1012,100,,1,1,,,NIL,NIL,NIL,,
"['18:00', '08/04']",08/04 18:00,80,3,8000,8000,5,24,24,1011,100,,1,NIL,,,NIL,NIL,NIL,,
"['19:00', '08/04']",08/04 19:00,180,2,9999,8000,5,25,25,1010,100,,NIL,NIL,,,900,270,1,,
"['19:16', '08/04']",08/04 19:16,290,2,9000,200,5,25,25,1010,100,,NIL,NIL,,,900,270,1,,
"['20:00', '08/04']",08/04 20:00,230,2,9999,900,5,26,25,1010,94,,NIL,NIL,,,NIL,NIL,NIL,,
"['21:00', '08/04']",08/04 21:00,250,4,9999,10000,5,26,25,1009,94,,NIL,NIL,,,NIL,NIL,NIL,,
"['22:00', '08/04']",08/04 22:00,290,2,9999,10000,5,26,25,1010,94,,NIL,NIL,,,NIL,NIL,NIL,,
"['23:00', '08/04']",08/04 23:00,320,1,9999,10000,5,25,25,1010,100,,NIL,NIL,,,NIL,NIL,NIL,,
"['00:00', '09/04']",09/04 00:00,0,0,9999,NIL,2,25,25,1011,100,,NIL,NIL,,,NIL,NIL,NIL,,
"['01:00', '09/04']",09/04 01:00,0,0,9999,NIL,2,25,25,1012,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['02:00', '09/04']",09/04 02:00,270,1,9999,NIL,2,25,25,1012,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['02:22', '09/04']",09/04 02:22,310,2,800,200,5,25,25,1012,100,,NIL,,,NIL,NIL,NIL,1,NIL,
"['03:00', '09/04']",09/04 03:00,310,3,800,200,5,25,25,1012,100,,NIL,,,NIL,NIL,NIL,1,NIL,
"['04:00', '09/04']",09/04 04:00,340,3,800,200,8,25,25,1012,100,,NIL,,,NIL,NIL,NIL,1,NIL,
"['05:00', '09/04']",09/04 05:00,310,1,4000,200,8,24,24,1011,100,,NIL,,,NIL,NIL,NIL,NIL,1,
"['05:35', '09/04']",09/04 05:35,330,2,9999,NIL,3,24,24,1011,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['06:00', '09/04']",09/04 06:00,0,0,9999,NIL,3,24,24,1011,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['07:00', '09/04']",09/04 07:00,0,0,9999,NIL,2,24,24,1011,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['08:00', '09/04']",09/04 08:00,300,1,9999,NIL,3,24,24,1011,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['09:00', '09/04']",09/04 09:00,300,2,9999,NIL,3,24,24,1011,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['10:00', '09/04']",09/04 10:00,310,2,9999,NIL,3,24,24,1011,100,,NIL,,,NIL,1000,270,1,NIL,
"['11:00', '09/04']",09/04 11:00,310,1,9999,NIL,3,24,24,1012,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['12:00', '09/04']",09/04 12:00,0,0,9999,5000,5,25,25,1014,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['13:00', '09/04']",09/04 13:00,10,6,3000,800,5,26,25,1014,94,,1,,,24,NIL,NIL,NIL,NIL,
"['13:25', '09/04']",09/04 13:25,350,8,5000,1000,5,23,22,1014,94,,1,,,NIL,NIL,NIL,NIL,NIL,
"['14:00', '09/04']",09/04 14:00,350,4,9999,7000,5,23,22,1014,94,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['15:00', '09/04']",09/04 15:00,40,4,9999,8000,5,24,23,1014,94,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['16:00', '09/04']",09/04 16:00,140,1,9999,1200,5,25,23,1014,89,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['17:00', '09/04']",09/04 17:00,140,2,9999,8000,5,25,23,1013,89,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['18:00', '09/04']",09/04 18:00,90,4,9999,10000,5,26,24,1012,89,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['19:00', '09/04']",09/04 19:00,120,3,9999,10000,5,26,24,1011,89,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['20:00', '09/04']",09/04 20:00,120,3,9999,1000,5,26,24,1010,89,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['21:00', '09/04']",09/04 21:00,320,3,9999,10000,5,26,24,1010,89,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['22:00', '09/04']",09/04 22:00,330,3,9999,10000,5,25,24,1010,94,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['23:00', '09/04']",09/04 23:00,300,3,9999,10000,5,25,24,1010,94,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['00:00', '10/04']",10/04 00:00,0,0,9999,NIL,2,24,24,1010,100,,NIL,,,NIL,NIL,NIL,NIL,NIL,
"['01:00', '10/04']",10/04 01:00,150,3,9999,NIL,2,24,24,1011,100,,NIL,,,,,,NIL,,
