validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,pancada,vnt_rajada,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco
"['01:00', '01/01']",01/01 01:00,10,2,9999,NIL,NIL,25,24,1011,94,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,310,2,9999,NIL,NIL,23,23,1011,100,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,320,2,9999,NIL,NIL,23,23,1011,100,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,320,3,9999,NIL,NIL,24,24,1011,100,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,320,3,9999,NIL,NIL,23,23,1011,100,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,330,3,9999,NIL,NIL,23,23,1010,100,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,320,2,9999,NIL,NIL,23,23,1009,100,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,340,2,9999,NIL,NIL,23,23,1009,100,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,310,3,9999,NIL,NIL,22,22,1009,100,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,330,4,9999,NIL,NIL,23,23,1010,100,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,360,3,9999,NIL,NIL,24,24,1010,100,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,350,5,9999,NIL,NIL,25,23,1011,89,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,330,6,9999,NIL,NIL,27,23,1012,79,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,350,9,9999,NIL,2,28,24,1012,79,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,360,8,9999,NIL,3,29,23,1011,70,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,10,8,9999,NIL,3,30,22,1011,62,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,10,10,9999,NIL,3,31,21,1010,55,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,340,7,9999,NIL,3,30,21,1009,59,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,340,6,9999,7000,5,30,22,1009,62,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,350,5,9999,8000,5,30,22,1008,62,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,330,4,9999,10000,5,29,23,1008,70,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,340,3,9999,10000,5,28,23,1009,74,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,20,4,9999,NIL,NIL,27,23,1010,79,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,360,4,9999,NIL,3,27,24,1011,84,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,360,4,9999,NIL,NIL,27,23,1011,79,,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,360,3,9999,NIL,NIL,26,22,1011,79,,,,,,,,,,
"['03:00', '02/01']",02/01 03:00,20,4,9999,NIL,NIL,26,22,1011,79,,,,,,,,,,
"['04:00', '02/01']",02/01 04:00,360,5,9999,NIL,NIL,25,22,1011,83,,,,,,,,,,
"['05:00', '02/01']",02/01 05:00,360,3,9999,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['06:00', '02/01']",02/01 06:00,360,3,9999,NIL,NIL,23,22,1009,94,,,,,,,,,,
"['07:00', '02/01']",02/01 07:00,40,2,9999,NIL,NIL,24,22,1009,89,,,,,,,,,,
"['08:00', '02/01']",02/01 08:00,70,3,9999,NIL,NIL,23,22,1009,94,,,,,,,,,,
"['09:00', '02/01']",02/01 09:00,0,0,9999,NIL,NIL,23,22,1010,94,,,,,,,,,,
"['10:00', '02/01']",02/01 10:00,0,0,9999,NIL,NIL,22,22,1010,100,,,,,,,,,,
"['11:00', '02/01']",02/01 11:00,60,3,9999,NIL,NIL,24,23,1011,94,,,,,,,,,,
"['12:00', '02/01']",02/01 12:00,50,3,9999,NIL,NIL,25,23,1012,89,,,,,,,,,,
"['13:00', '02/01']",02/01 13:00,10,5,9999,NIL,NIL,28,22,1013,70,,,,,,,,,,
"['14:00', '02/01']",02/01 14:00,20,7,9999,10000,5,30,21,1013,59,,,,,,,,,,
"['15:00', '02/01']",02/01 15:00,360,6,9999,10000,5,30,22,1012,62,,,,,,,,,,
"['16:00', '02/01']",02/01 16:00,20,6,9999,NIL,3,31,20,1012,52,,,,,,,,,,
"['17:00', '02/01']",02/01 17:00,330,7,9999,NIL,3,32,20,1011,49,,,,,,,,,,
"['18:00', '02/01']",02/01 18:00,30,7,9999,NIL,3,32,21,1010,52,,,,,,,,,,
"['19:00', '02/01']",02/01 19:00,300,8,9999,NIL,3,31,25,1009,71,,,,,,,,,,
"['20:00', '02/01']",02/01 20:00,360,3,9999,NIL,3,31,25,1008,71,,,,,,,,,,
"['21:00', '02/01']",02/01 21:00,340,3,9999,NIL,2,30,26,1009,79,,,,,,,,,,
"['22:00', '02/01']",02/01 22:00,360,3,9999,NIL,2,30,26,1009,79,,,,,,,,,,
"['23:00', '02/01']",02/01 23:00,0,0,9999,NIL,NIL,27,24,1010,84,,,,,,,,,,
"['00:00', '03/01']",03/01 00:00,0,0,9999,NIL,NIL,26,24,1010,89,,,,,,,,,,
"['01:00', '03/01']",03/01 01:00,0,0,9999,NIL,NIL,26,24,1012,89,NIL,,,,,,,,,
"['02:00', '03/01']",03/01 02:00,0,0,9999,NIL,NIL,25,24,1012,94,NIL,,,,,,,,,
"['03:00', '03/01']",03/01 03:00,0,0,9999,NIL,NIL,25,23,1012,89,NIL,,,,,,,,,
"['04:00', '03/01']",03/01 04:00,0,0,9999,NIL,NIL,24,23,1012,94,NIL,,,,,,,,,
"['05:00', '03/01']",03/01 05:00,0,0,9999,NIL,NIL,24,23,1012,94,NIL,,,,,,,,,
"['06:00', '03/01']",03/01 06:00,300,3,9999,NIL,NIL,23,23,1011,100,NIL,,,,,,,,,
"['07:00', '03/01']",03/01 07:00,320,3,9999,NIL,NIL,24,23,1011,94,NIL,,,,,,,,,
"['08:00', '03/01']",03/01 08:00,310,3,9999,NIL,NIL,24,23,1011,94,NIL,,,,,,,,,
"['09:00', '03/01']",03/01 09:00,340,3,9999,NIL,NIL,24,22,1011,89,NIL,,,,,,,,,
"['10:00', '03/01']",03/01 10:00,300,3,9999,NIL,NIL,23,22,1012,94,NIL,,,,,,,,,
"['11:00', '03/01']",03/01 11:00,320,3,9999,NIL,NIL,24,22,1013,89,NIL,,,,,,,,,
"['12:00', '03/01']",03/01 12:00,310,5,9999,NIL,NIL,26,22,1014,79,NIL,,,,,,,,,
"['13:00', '03/01']",03/01 13:00,310,7,9999,NIL,NIL,29,22,1014,66,NIL,,,,,,,,,
"['14:00', '03/01']",03/01 14:00,290,7,9999,NIL,NIL,30,21,1014,59,285,,,,,,,,,
"['15:00', '03/01']",03/01 15:00,290,6,9999,NIL,NIL,31,20,1014,52,285,,,,,,,,,
"['16:00', '03/01']",03/01 16:00,280,6,9999,10000,5,32,20,1013,49,280,,,,,,,,,
"['17:00', '03/01']",03/01 17:00,290,5,9999,10000,5,32,21,1012,52,NIL,,,,,,,,,
"['18:00', '03/01']",03/01 18:00,290,3,9999,10000,5,32,21,1011,52,NIL,,,,,,,,,
"['19:00', '03/01']",03/01 19:00,290,3,9999,NIL,3,33,21,1010,49,NIL,,,,,,,,,
"['20:00', '03/01']",03/01 20:00,250,4,9999,NIL,3,33,21,1010,49,NIL,,,,,,,,,
"['21:00', '03/01']",03/01 21:00,290,4,9999,NIL,3,33,22,1010,53,NIL,,,,,,,,,
"['22:00', '03/01']",03/01 22:00,80,5,9999,NIL,3,31,22,1011,59,NIL,,,,,,,,,
"['23:00', '03/01']",03/01 23:00,60,4,9999,NIL,3,30,22,1012,62,NIL,,,,,,,,,
"['00:00', '04/01']",04/01 00:00,0,0,9999,NIL,3,28,24,1013,79,NIL,,,,,,,,,
"['01:00', '04/01']",04/01 01:00,0,0,9999,NIL,NIL,28,24,1014,79,NIL,,,,,,,,,
"['02:00', '04/01']",04/01 02:00,0,0,9999,NIL,2,26,24,1014,89,NIL,,,,,,,,,
"['03:00', '04/01']",04/01 03:00,0,0,9999,NIL,NIL,27,22,1014,74,NIL,,,,,,,,,
"['04:00', '04/01']",04/01 04:00,80,8,9999,NIL,3,27,24,1014,84,NIL,,,,,,,,,
"['05:00', '04/01']",04/01 05:00,90,6,9999,NIL,2,26,24,1013,89,NIL,,,,,,,,,
"['06:00', '04/01']",04/01 06:00,70,6,9999,NIL,2,26,24,1013,89,NIL,,,,,,,,,
"['07:00', '04/01']",04/01 07:00,30,5,9999,NIL,2,25,24,1012,94,NIL,,,,,,,,,
"['08:00', '04/01']",04/01 08:00,10,3,9999,NIL,2,25,24,1012,94,NIL,,,,,,,,,
"['09:00', '04/01']",04/01 09:00,80,4,9999,NIL,3,25,24,1012,94,NIL,,,,,,,,,
"['09:38', '04/01']",04/01 09:38,80,4,9999,800,5,25,24,1012,94,NIL,,,,,,,,,
"['10:00', '04/01']",04/01 10:00,90,3,9999,800,5,25,24,1013,94,NIL,,,,,,,,,
"['11:00', '04/01']",04/01 11:00,110,3,9999,NIL,3,25,24,1013,94,NIL,,,,,,,,,
"['12:00', '04/01']",04/01 12:00,10,2,9999,NIL,3,27,24,1014,84,NIL,,,,,,,,,
"['13:00', '04/01']",04/01 13:00,70,3,9999,NIL,3,29,24,1015,74,NIL,,,,,,,,,
"['14:00', '04/01']",04/01 14:00,330,4,9999,NIL,3,30,24,1015,70,NIL,,,,,,,,,
"['15:00', '04/01']",04/01 15:00,340,6,9999,NIL,3,30,23,1014,66,NIL,,,,,,,,,
"['16:00', '04/01']",04/01 16:00,300,7,9999,NIL,3,31,24,1013,66,NIL,,,,,,,,,
"['17:00', '04/01']",04/01 17:00,340,8,9999,NIL,3,32,23,1012,59,NIL,,,,,,,,,
"['18:00', '04/01']",04/01 18:00,330,6,9999,NIL,3,33,21,1011,49,NIL,,,,,,,,,
"['19:00', '04/01']",04/01 19:00,300,7,9999,NIL,3,33,22,1009,53,280,,,,,,,,,
"['20:00', '04/01']",04/01 20:00,280,5,9999,NIL,3,34,29,1009,75,NIL,,,,,,,,,
"['21:00', '04/01']",04/01 21:00,280,3,9999,NIL,3,33,24,1009,59,NIL,,,,,,,,,
"['22:00', '04/01']",04/01 22:00,240,5,9999,NIL,3,30,24,1009,70,NIL,,,,,,,,,
"['23:00', '04/01']",04/01 23:00,350,3,9999,NIL,3,29,23,1010,70,NIL,,,,,,,,,
"['00:00', '05/01']",05/01 00:00,0,0,9999,NIL,NIL,28,24,1010,79,NIL,,,,,,,,,
"['01:00', '05/01']",05/01 01:00,0,0,9999,NIL,NIL,27,24,1011,84,,,,,,,,,,
"['02:00', '05/01']",05/01 02:00,300,2,9999,NIL,NIL,26,24,1011,89,,,,,,,,,,
"['03:00', '05/01']",05/01 03:00,320,2,9999,NIL,NIL,25,24,1012,94,,,,,,,,,,
"['04:00', '05/01']",05/01 04:00,0,0,9999,NIL,NIL,25,24,1011,94,,,,,,,,,,
"['05:00', '05/01']",05/01 05:00,0,0,9999,NIL,NIL,25,24,1011,94,,,,,,,,,,
"['06:00', '05/01']",05/01 06:00,300,2,9999,NIL,NIL,24,24,1010,100,,,,,,,,,,
"['07:00', '05/01']",05/01 07:00,290,2,9999,NIL,NIL,24,24,1010,100,,,,,,,,,,
"['08:00', '05/01']",05/01 08:00,310,2,9999,NIL,NIL,24,24,1010,100,,,,,,,,,,
"['09:00', '05/01']",05/01 09:00,350,4,9999,NIL,NIL,24,23,1010,94,,,,,,,,,,
"['10:00', '05/01']",05/01 10:00,340,4,9999,8000,5,24,23,1011,94,,,,,,,,,,
"['11:00', '05/01']",05/01 11:00,350,4,9999,NIL,3,25,23,1012,89,,,,,,,,,,
"['12:00', '05/01']",05/01 12:00,320,4,9999,NIL,2,27,23,1012,79,,,,,,,,,,
"['13:00', '05/01']",05/01 13:00,330,6,9999,NIL,NIL,30,23,1013,66,,,,,,,,,,
"['14:00', '05/01']",05/01 14:00,340,9,9999,NIL,NIL,31,21,1013,55,,,,,,,,,,
"['15:00', '05/01']",05/01 15:00,340,8,9999,NIL,NIL,32,21,1012,52,,,,,,,,,,
"['16:00', '05/01']",05/01 16:00,310,7,9999,NIL,2,33,20,1011,46,,,,,,,,,,
"['17:00', '05/01']",05/01 17:00,320,7,9999,NIL,2,34,21,1010,47,,,,,,,,,,
"['18:00', '05/01']",05/01 18:00,340,6,9999,NIL,3,34,20,1009,44,,,,,,,,,,
"['19:00', '05/01']",05/01 19:00,310,5,9999,NIL,3,34,20,1008,44,,,,,,,,,,
"['20:00', '05/01']",05/01 20:00,330,7,9999,NIL,3,34,20,1008,44,,,,,,,,,,
"['21:00', '05/01']",05/01 21:00,300,5,9999,NIL,2,34,21,1008,47,,,,,,,,,,
"['22:00', '05/01']",05/01 22:00,320,3,9999,NIL,2,32,22,1008,56,,,,,,,,,,
"['23:00', '05/01']",05/01 23:00,310,3,9999,NIL,2,28,23,1009,74,,,,,,,,,,
"['00:00', '06/01']",06/01 00:00,310,2,9999,NIL,NIL,28,23,1009,74,,,,,,,,,,
"['01:00', '06/01']",06/01 01:00,330,3,9999,,NIL,26,23,1010,84,,,,,,,,,,
"['02:00', '06/01']",06/01 02:00,330,2,9999,,NIL,25,23,1011,89,,,,,,,,,,
"['03:00', '06/01']",06/01 03:00,360,2,9999,,NIL,25,23,1011,89,,,,,,,,,,
"['04:00', '06/01']",06/01 04:00,0,0,9999,,NIL,25,22,1010,83,,,,,,,,,,
"['05:00', '06/01']",06/01 05:00,0,0,9999,,NIL,25,22,1010,83,,,,,,,,,,
"['06:00', '06/01']",06/01 06:00,310,3,9999,,NIL,23,23,1009,100,,,,,,,,,,
"['07:00', '06/01']",06/01 07:00,330,2,9999,,NIL,23,23,1009,100,,,,,,,,,,
"['08:00', '06/01']",06/01 08:00,330,3,9999,,NIL,23,22,1009,94,,,,,,,,,,
"['09:00', '06/01']",06/01 09:00,340,3,9999,,NIL,23,22,1009,94,,,,,,,,,,
"['10:00', '06/01']",06/01 10:00,340,4,9999,,NIL,23,22,1010,94,,,,,,,,,,
"['11:00', '06/01']",06/01 11:00,350,5,9999,,2,26,22,1011,79,,,,,,,,,,
"['12:00', '06/01']",06/01 12:00,340,6,9999,,NIL,28,22,1011,70,,,,,,,,,,
"['13:00', '06/01']",06/01 13:00,360,7,9999,,NIL,30,22,1012,62,,,,,,,,,,
"['14:00', '06/01']",06/01 14:00,350,12,9999,,NIL,31,21,1012,55,,,,,,,,,,
"['15:00', '06/01']",06/01 15:00,10,9,9999,,NIL,33,29,1011,80,,,,,,,,,,
"['16:00', '06/01']",06/01 16:00,360,8,9999,,2,34,21,1010,47,,,,,,,,,,
"['17:00', '06/01']",06/01 17:00,330,7,9999,,3,35,21,1010,44,,,,,,,,,,
"['18:00', '06/01']",06/01 18:00,330,4,9999,,3,35,21,1009,44,,,,,,,,,,
"['19:00', '06/01']",06/01 19:00,300,6,9999,,3,35,20,1008,42,,,,,,,,,,
"['20:00', '06/01']",06/01 20:00,330,8,9999,,3,34,21,1008,47,,,,,,,,,,
"['21:00', '06/01']",06/01 21:00,330,5,9999,,2,34,20,1008,44,,,,,,,,,,
"['22:00', '06/01']",06/01 22:00,330,3,9999,,2,32,21,1008,52,,,,,,,,,,
"['23:00', '06/01']",06/01 23:00,330,3,9999,,NIL,29,23,1008,70,,,,,,,,,,
"['00:00', '07/01']",07/01 00:00,360,3,9999,,NIL,28,23,1009,74,,,,,,,,,,
"['01:00', '07/01']",07/01 01:00,10,4,9999,NIL,NIL,28,22,1010,70,,NIL,NIL,,,,,,,
"['02:00', '07/01']",07/01 02:00,360,4,9999,NIL,NIL,28,22,1011,70,,NIL,NIL,,,,,,,
"['03:00', '07/01']",07/01 03:00,10,5,9999,NIL,NIL,28,22,1011,70,,NIL,NIL,,,,,,,
"['04:00', '07/01']",07/01 04:00,360,5,9999,NIL,NIL,28,22,1011,70,,NIL,NIL,,,,,,,
"['05:00', '07/01']",07/01 05:00,10,4,9999,NIL,NIL,27,22,1010,74,,NIL,NIL,,,,,,,
"['06:00', '07/01']",07/01 06:00,10,5,9999,NIL,NIL,27,22,1010,74,,NIL,NIL,,,,,,,
"['07:00', '07/01']",07/01 07:00,20,6,9999,NIL,NIL,26,22,1009,79,,NIL,NIL,,,,,,,
"['08:00', '07/01']",07/01 08:00,70,8,9999,NIL,NIL,26,22,1012,79,,NIL,NIL,,,,,,,
"['09:00', '07/01']",07/01 09:00,50,7,9999,NIL,NIL,25,23,1010,89,,NIL,NIL,,,,,,,
"['10:00', '07/01']",07/01 10:00,40,8,9999,NIL,NIL,25,24,1011,94,,NIL,NIL,,,,,,,
"['11:00', '07/01']",07/01 11:00,30,9,9999,NIL,NIL,26,24,1011,89,,NIL,NIL,,,,,,,
"['12:00', '07/01']",07/01 12:00,30,7,9999,NIL,NIL,28,24,1012,79,,NIL,NIL,,,,,,,
"['13:00', '07/01']",07/01 13:00,20,8,9999,NIL,2,29,23,1012,70,,NIL,NIL,,,,,,,
"['14:00', '07/01']",07/01 14:00,30,12,9999,NIL,3,31,23,1013,63,,NIL,NIL,,,,,,,
"['15:00', '07/01']",07/01 15:00,20,11,9999,NIL,3,32,23,1012,59,,NIL,NIL,,,,,,,
"['16:00', '07/01']",07/01 16:00,20,9,9999,NIL,3,32,23,1011,59,,NIL,NIL,,,,,,,
"['17:00', '07/01']",07/01 17:00,20,8,9999,NIL,3,33,23,1010,56,,NIL,NIL,,,,,,,
"['18:00', '07/01']",07/01 18:00,20,9,9999,NIL,3,33,23,1010,56,,NIL,NIL,,,,,,,
"['19:00', '07/01']",07/01 19:00,330,7,9999,NIL,3,34,23,1008,53,,NIL,NIL,,,,,,,
"['20:00', '07/01']",07/01 20:00,10,6,9999,NIL,3,34,22,1007,50,,NIL,NIL,,,,,,,
"['21:00', '07/01']",07/01 21:00,300,5,9999,NIL,3,31,23,1008,63,,NIL,NIL,,,,,,,
"['22:00', '07/01']",07/01 22:00,310,5,9999,NIL,3,29,25,1009,79,,1,1,,,,,,,
"['23:00', '07/01']",07/01 23:00,140,6,8000,8000,5,26,25,1010,94,,1,1,,,,,,,
"['00:00', '08/01']",08/01 00:00,100,6,9999,9000,5,25,25,1011,100,,1,1,,,,,,,
"['01:00', '08/01']",08/01 01:00,0,0,9999,10000,5,26,25,1011,94,NIL,NIL,1,,,,,,,
"['02:00', '08/01']",08/01 02:00,320,2,9999,7000,5,25,25,1012,100,NIL,NIL,NIL,,,,,,,
"['03:00', '08/01']",08/01 03:00,80,3,9999,NIL,3,25,25,1012,100,NIL,NIL,NIL,,,,,,,
"['04:00', '08/01']",08/01 04:00,70,3,9999,4000,5,26,25,1012,94,NIL,NIL,NIL,,,,,,,
"['05:00', '08/01']",08/01 05:00,40,4,7000,7000,5,25,25,1011,100,NIL,1,NIL,,,,,,,
"['05:26', '08/01']",08/01 05:26,50,11,4000,3000,5,25,24,1011,94,NIL,1,NIL,,,,,,,
"['06:00', '08/01']",08/01 06:00,80,9,5000,7000,5,24,24,1011,100,NIL,1,NIL,,,,,,,
"['07:00', '08/01']",08/01 07:00,240,1,9999,10000,5,24,24,1010,100,NIL,1,NIL,,,,,,,
"['08:00', '08/01']",08/01 08:00,20,2,9999,4000,5,24,24,1011,100,NIL,NIL,NIL,,,,,,,
"['09:00', '08/01']",08/01 09:00,0,0,9999,5000,5,25,25,1011,100,NIL,NIL,NIL,,,,,,,
"['10:00', '08/01']",08/01 10:00,40,2,9999,2000,5,25,25,1012,100,NIL,NIL,NIL,,,,,,,
"['11:00', '08/01']",08/01 11:00,40,9,9999,1000,5,25,24,1013,94,NIL,NIL,NIL,,,,,,,
"['12:00', '08/01']",08/01 12:00,10,8,9999,1000,5,24,24,1014,100,NIL,NIL,NIL,,,,,,,
"['12:20', '08/01']",08/01 12:20,10,4,9999,2000,5,24,24,1014,100,NIL,NIL,NIL,,,,,,,
"['13:00', '08/01']",08/01 13:00,340,3,9999,8000,5,25,24,1015,94,NIL,NIL,NIL,,,,,,,
"['14:00', '08/01']",08/01 14:00,350,3,9999,8000,5,26,25,1015,94,NIL,NIL,NIL,,,,,,,
"['15:00', '08/01']",08/01 15:00,340,6,9999,NIL,3,29,25,1014,79,170,NIL,NIL,,,,,,,
"['16:00', '08/01']",08/01 16:00,360,5,9999,2000,5,30,24,1013,70,NIL,NIL,NIL,,,,,,,
"['17:00', '08/01']",08/01 17:00,350,8,9999,2500,5,31,23,1012,63,170,NIL,NIL,,,,,,,
"['18:00', '08/01']",08/01 18:00,320,8,9999,2500,5,31,23,1011,63,140,NIL,NIL,,,,,,,
"['19:00', '08/01']",08/01 19:00,50,8,9999,NIL,3,29,24,1010,74,NIL,NIL,NIL,,,,,,,
"['20:00', '08/01']",08/01 20:00,330,4,9999,NIL,3,31,25,1009,71,NIL,NIL,NIL,,,,,,,
"['21:00', '08/01']",08/01 21:00,30,5,9999,NIL,2,28,25,1008,84,NIL,NIL,NIL,,,,,,,
"['22:00', '08/01']",08/01 22:00,10,5,9999,NIL,3,28,25,1009,84,NIL,NIL,NIL,,,,,,,
"['23:00', '08/01']",08/01 23:00,20,3,9999,10000,5,27,25,1010,89,NIL,NIL,NIL,,,,,,,
"['00:00', '09/01']",09/01 00:00,10,3,9999,NIL,NIL,27,25,1011,89,NIL,NIL,NIL,,,,,,,
"['01:00', '09/01']",09/01 01:00,360,4,9999,NIL,2,27,24,1012,84,NIL,NIL,,NIL,,,,,,
"['02:00', '09/01']",09/01 02:00,330,2,9999,NIL,3,25,25,1012,100,NIL,NIL,,NIL,,,,,,
"['03:00', '09/01']",09/01 03:00,320,2,9999,10000,5,25,25,1013,100,NIL,NIL,,NIL,,,,,,
"['04:00', '09/01']",09/01 04:00,0,0,9999,8000,5,25,25,1013,100,NIL,NIL,,NIL,,,,,,
"['05:00', '09/01']",09/01 05:00,0,0,9999,NIL,3,25,25,1012,100,NIL,NIL,,NIL,,,,,,
"['06:00', '09/01']",09/01 06:00,0,0,9999,8000,5,25,24,1011,94,NIL,NIL,,NIL,,,,,,
"['07:00', '09/01']",09/01 07:00,0,0,9999,NIL,3,24,24,1011,100,NIL,NIL,,NIL,,,,,,
"['08:00', '09/01']",09/01 08:00,90,2,9999,NIL,3,25,23,1011,89,NIL,NIL,,NIL,,,,,,
"['09:00', '09/01']",09/01 09:00,290,1,9999,NIL,3,24,24,1012,100,NIL,NIL,,NIL,,,,,,
"['10:00', '09/01']",09/01 10:00,120,2,9999,10000,5,24,24,1012,100,NIL,NIL,,NIL,,,,,,
"['11:00', '09/01']",09/01 11:00,80,3,9999,NIL,3,25,23,1013,89,NIL,NIL,,NIL,,,,,,
"['12:00', '09/01']",09/01 12:00,100,4,9999,NIL,3,27,24,1014,84,NIL,NIL,,NIL,,,,,,
"['13:00', '09/01']",09/01 13:00,70,6,9999,NIL,3,28,24,1014,79,NIL,NIL,,NIL,,,,,,
"['14:00', '09/01']",09/01 14:00,70,6,9999,NIL,3,28,24,1014,79,NIL,NIL,,NIL,,,,,,
"['15:00', '09/01']",09/01 15:00,80,10,9999,NIL,3,28,,1014,0,NIL,NIL,,NIL,,,,,,
"['16:00', '09/01']",09/01 16:00,60,8,9999,2000,5,29,24,1014,74,NIL,1,,1,,,,,,
"['17:00', '09/01']",09/01 17:00,350,7,9999,2000,5,30,23,1013,66,NIL,NIL,,NIL,,,,,,
"['18:00', '09/01']",09/01 18:00,60,6,9999,10000,5,30,23,1012,66,NIL,NIL,,NIL,,,,,,
"['19:00', '09/01']",09/01 19:00,10,7,9999,NIL,3,30,23,1011,66,200,NIL,,NIL,,,,,,
"['20:00', '09/01']",09/01 20:00,40,6,9999,NIL,3,31,23,1010,63,NIL,NIL,,NIL,,,,,,
"['21:00', '09/01']",09/01 21:00,20,7,9999,NIL,3,30,23,1010,66,195,NIL,,NIL,,,,,,
"['22:00', '09/01']",09/01 22:00,20,4,9999,10000,5,28,23,1010,74,NIL,NIL,,NIL,,,,,,
"['23:00', '09/01']",09/01 23:00,50,4,9999,NIL,NIL,27,24,1010,84,NIL,NIL,,NIL,,,,,,
"['00:00', '10/01']",10/01 00:00,70,4,9999,NIL,NIL,27,24,1011,84,NIL,NIL,,NIL,,,,,,
"['01:00', '10/01']",10/01 01:00,40,2,9999,NIL,NIL,26,24,1011,89,,NIL,,NIL,NIL,NIL,NIL,,,
"['02:00', '10/01']",10/01 02:00,0,0,9999,NIL,NIL,25,24,1012,94,,NIL,,NIL,NIL,NIL,NIL,,,
"['03:00', '10/01']",10/01 03:00,0,0,9999,NIL,NIL,25,24,1012,94,,NIL,,NIL,NIL,NIL,NIL,,,
"['04:00', '10/01']",10/01 04:00,0,0,9999,NIL,NIL,25,24,1011,94,,NIL,,NIL,NIL,NIL,NIL,,,
"['05:00', '10/01']",10/01 05:00,0,0,9999,NIL,NIL,24,24,1011,100,,NIL,,NIL,NIL,NIL,NIL,,,
"['06:00', '10/01']",10/01 06:00,100,2,9999,NIL,NIL,24,24,1010,100,,NIL,,NIL,NIL,NIL,NIL,,,
"['07:00', '10/01']",10/01 07:00,100,1,9999,NIL,NIL,24,23,1010,94,,NIL,,NIL,NIL,NIL,NIL,,,
"['08:00', '10/01']",10/01 08:00,100,1,9999,NIL,NIL,24,24,1010,100,,NIL,,NIL,NIL,NIL,NIL,,,
"['09:00', '10/01']",10/01 09:00,10,2,9999,NIL,NIL,24,24,1011,100,,NIL,,NIL,NIL,NIL,NIL,,,
"['10:00', '10/01']",10/01 10:00,60,2,9999,NIL,2,24,23,1011,94,,NIL,,NIL,NIL,NIL,NIL,,,
"['11:00', '10/01']",10/01 11:00,100,2,9999,NIL,3,25,23,1012,89,,NIL,,NIL,NIL,NIL,NIL,,,
"['12:00', '10/01']",10/01 12:00,90,4,9999,800,5,27,25,1013,89,,NIL,,NIL,NIL,NIL,NIL,,,
"['13:00', '10/01']",10/01 13:00,80,7,9999,1200,5,27,25,1013,89,,NIL,,NIL,NIL,NIL,NIL,,,
"['13:25', '10/01']",10/01 13:25,80,6,9999,NIL,3,28,25,1013,84,,NIL,,NIL,NIL,NIL,NIL,,,
"['14:00', '10/01']",10/01 14:00,80,8,9999,1600,5,29,24,1013,74,,NIL,,NIL,NIL,NIL,NIL,,,
"['14:27', '10/01']",10/01 14:27,30,11,3000,1500,5,24,23,1014,94,,1,,NIL,22,NIL,NIL,,,
"['15:00', '10/01']",10/01 15:00,360,7,5000,8000,5,24,24,1013,100,,1,,NIL,NIL,NIL,NIL,,,
"['16:00', '10/01']",10/01 16:00,350,6,9999,7000,5,27,24,1013,84,,NIL,,NIL,NIL,NIL,NIL,,,
"['17:00', '10/01']",10/01 17:00,340,6,9999,1800,5,28,25,1012,84,,1,,1,NIL,3000,180,,,
"['18:00', '10/01']",10/01 18:00,320,8,9999,5000,5,26,23,1011,84,,1,,1,NIL,NIL,NIL,,,
"['19:00', '10/01']",10/01 19:00,310,3,9999,8000,5,26,24,1010,89,,NIL,,NIL,NIL,NIL,NIL,,,
"['20:00', '10/01']",10/01 20:00,300,6,9999,NIL,3,28,24,1009,79,,NIL,,NIL,NIL,NIL,NIL,,,
"['21:00', '10/01']",10/01 21:00,300,5,9999,NIL,3,29,24,1009,74,,NIL,,NIL,NIL,NIL,NIL,,,
"['22:00', '10/01']",10/01 22:00,300,5,9999,NIL,3,28,25,1009,84,,NIL,,NIL,NIL,NIL,NIL,,,
"['23:00', '10/01']",10/01 23:00,310,2,9999,NIL,3,26,25,1010,94,,NIL,,NIL,NIL,NIL,NIL,,,
