validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,trovoada,nevoa_umida,fumaca,vnt_rajada,vnt_vrb,chuvisco,pancada,nevoeiro
"['13:00', '22/01']",22/01 13:00,70,8,7000,NIL,NIL,NIL,7000,8,27,24,1012,84,NIL,NIL,,,,,,
"['14:00', '22/01']",22/01 14:00,40,8,7000,NIL,NIL,NIL,7000,5,29,24,1012,74,NIL,NIL,,,,,,
"['15:00', '22/01']",22/01 15:00,30,8,7000,NIL,NIL,NIL,7000,5,29,23,1011,70,NIL,NIL,,,,,,
"['15:15', '22/01']",22/01 15:15,70,8,3000,NIL,NIL,1,2600,5,26,24,1011,89,NIL,NIL,,,,,,
"['16:00', '22/01']",22/01 16:00,10,7,8000,4000,45,1,2100,8,28,24,1011,79,NIL,NIL,,,,,,
"['17:00', '22/01']",22/01 17:00,30,5,6000,NIL,NIL,NIL,4000,5,28,24,1010,79,NIL,NIL,,,,,,
"['18:00', '22/01']",22/01 18:00,20,12,5000,NIL,NIL,1,1400,5,29,24,1008,74,1,NIL,,,,,,
"['19:00', '22/01']",22/01 19:00,40,11,9999,3000,90,1,2000,5,28,24,1008,79,1,NIL,,,,,,
"['20:00', '22/01']",22/01 20:00,20,9,9999,NIL,NIL,NIL,NIL,3,28,23,IL,74,NIL,NIL,,,,,,
"['21:00', '22/01']",22/01 21:00,20,9,9999,NIL,NIL,NIL,NIL,3,28,23,1008,74,NIL,NIL,,,,,,
"['22:00', '22/01']",22/01 22:00,30,8,9999,NIL,NIL,NIL,10000,5,27,23,1009,79,NIL,NIL,,,,,,
"['23:00', '22/01']",22/01 23:00,40,7,9999,NIL,NIL,NIL,10000,5,27,23,1010,79,NIL,NIL,,,,,,
"['00:00', '23/01']",23/01 00:00,40,6,9999,NIL,NIL,NIL,NIL,3,26,23,1010,84,NIL,NIL,,,,,,
"['01:00', '23/01']",23/01 01:00,40,5,9999,,,NIL,NIL,3,26,23,1011,84,,,,,,,,
"['02:00', '23/01']",23/01 02:00,90,4,9999,,,NIL,NIL,3,25,23,1011,89,,,,,,,,
"['03:00', '23/01']",23/01 03:00,50,4,9999,,,NIL,NIL,NIL,25,23,1011,89,,,,,,,,
"['04:00', '23/01']",23/01 04:00,70,4,9999,,,NIL,NIL,NIL,25,23,1010,89,,,,,,,,
"['05:00', '23/01']",23/01 05:00,80,4,9999,,,NIL,NIL,NIL,24,23,1010,94,,,,,,,,
"['06:00', '23/01']",23/01 06:00,80,5,9999,,,NIL,NIL,2,25,23,1009,89,,,,,,,,
"['07:00', '23/01']",23/01 07:00,70,4,9999,,,NIL,NIL,2,24,23,1009,94,,,,,,,,
"['08:00', '23/01']",23/01 08:00,70,4,9999,,,NIL,NIL,NIL,24,23,1009,94,,,,,,,,
"['09:00', '23/01']",23/01 09:00,70,3,9999,,,NIL,6000,5,24,23,1010,94,,,,,,,,
"['10:00', '23/01']",23/01 10:00,80,5,8000,,,NIL,4000,5,24,23,1010,94,,,,,,,,
"['11:00', '23/01']",23/01 11:00,100,3,9999,,,NIL,2000,5,25,24,1011,94,,,,,,,,
"['12:00', '23/01']",23/01 12:00,60,5,9999,,,NIL,7000,5,26,24,1012,89,,,,,,,,
"['13:00', '23/01']",23/01 13:00,320,4,9999,,,NIL,7000,5,28,24,1012,79,,,,,,,,
"['14:00', '23/01']",23/01 14:00,360,6,9999,,,NIL,2500,5,28,24,1012,79,,,,,,,,
"['15:00', '23/01']",23/01 15:00,350,10,9999,,,NIL,2200,5,28,23,1012,74,,,,,,,,
"['16:00', '23/01']",23/01 16:00,350,8,9999,,,NIL,2500,5,28,24,1011,79,,,,,,,,
"['17:00', '23/01']",23/01 17:00,40,10,6000,,,1,2500,5,26,24,1010,89,,,,,,,,
"['17:20', '23/01']",23/01 17:20,100,13,3000,,,1,1000,5,25,24,1010,94,,,,,,,,
"['18:00', '23/01']",23/01 18:00,30,6,9999,,,NIL,2000,5,26,24,1010,89,,,,,,,,
"['19:00', '23/01']",23/01 19:00,360,6,9999,,,NIL,7000,5,27,24,1009,84,,,,,,,,
"['20:00', '23/01']",23/01 20:00,360,8,9999,,,NIL,8000,5,28,24,1008,79,,,,,,,,
"['21:00', '23/01']",23/01 21:00,20,7,9999,,,NIL,8000,5,27,23,1008,79,,,,,,,,
"['22:00', '23/01']",23/01 22:00,20,6,9999,,,NIL,9000,5,27,24,1009,84,,,,,,,,
"['23:00', '23/01']",23/01 23:00,40,5,9999,,,NIL,NIL,3,26,24,1010,89,,,,,,,,
"['00:00', '24/01']",24/01 00:00,50,5,9999,,,NIL,NIL,2,26,24,1010,89,,,,,,,,
"['01:00', '24/01']",24/01 01:00,30,5,9999,NIL,NIL,NIL,NIL,2,26,24,1011,89,,NIL,,,,,,
"['02:00', '24/01']",24/01 02:00,50,5,9999,NIL,NIL,NIL,NIL,3,27,24,1011,84,,NIL,,,,,,
"['03:00', '24/01']",24/01 03:00,40,4,9999,NIL,NIL,NIL,NIL,3,26,24,1011,89,,NIL,,,,,,
"['04:00', '24/01']",24/01 04:00,50,4,NIL,NIL,NIL,NIL,NIL,3,26,24,1011,89,,NIL,,,,,,
"['05:00', '24/01']",24/01 05:00,60,4,NIL,NIL,NIL,NIL,NIL,2,26,24,1011,89,,NIL,,,,,,
"['06:00', '24/01']",24/01 06:00,80,3,NIL,NIL,NIL,NIL,NIL,2,26,24,1010,89,,NIL,,,,,,
"['07:00', '24/01']",24/01 07:00,60,5,9999,NIL,NIL,NIL,NIL,3,25,24,1010,94,,NIL,,,,,,
"['08:00', '24/01']",24/01 08:00,90,4,9999,NIL,NIL,NIL,NIL,3,25,24,1010,94,,NIL,,,,,,
"['09:00', '24/01']",24/01 09:00,100,3,9999,NIL,NIL,NIL,NIL,NIL,24,24,1009,100,,NIL,,,,,,
"['10:00', '24/01']",24/01 10:00,80,5,9999,NIL,NIL,NIL,NIL,3,25,24,1010,94,,NIL,,,,,,
"['11:00', '24/01']",24/01 11:00,70,8,9999,NIL,NIL,NIL,NIL,3,27,24,1011,84,,NIL,,,,,,
"['12:00', '24/01']",24/01 12:00,60,6,9999,NIL,NIL,NIL,NIL,3,28,24,1012,79,,NIL,,,,,,
"['13:00', '24/01']",24/01 13:00,60,9,9999,NIL,NIL,NIL,2000,5,29,24,1012,74,,NIL,,,,,,
"['14:00', '24/01']",24/01 14:00,70,7,9999,NIL,NIL,NIL,2300,5,30,24,1012,70,,NIL,,,,,,
"['15:00', '24/01']",24/01 15:00,50,6,9999,NIL,NIL,NIL,2500,5,31,24,1011,66,,NIL,,,,,,
"['15:54', '24/01']",24/01 15:54,20,7,2000,NIL,NIL,1,1500,5,27,25,1011,89,,NIL,,,,,,
"['16:00', '24/01']",24/01 16:00,10,5,8000,3000,225,1,1700,5,26,25,1011,94,,NIL,,,,,,
"['17:00', '24/01']",24/01 17:00,360,7,5000,NIL,NIL,1,1300,5,28,26,1010,89,,1,,,,,,
"['18:00', '24/01']",24/01 18:00,40,6,9999,NIL,NIL,NIL,10000,5,30,24,1009,70,,NIL,,,,,,
"['19:00', '24/01']",24/01 19:00,340,7,9999,NIL,NIL,NIL,2000,5,29,25,1009,79,,NIL,,,,,,
"['20:00', '24/01']",24/01 20:00,160,6,5000,NIL,NIL,1,1500,5,25,23,1009,89,,NIL,,,,,,
"['21:00', '24/01']",24/01 21:00,20,2,9999,NIL,NIL,1,2000,5,26,25,1009,94,,NIL,,,,,,
"['22:00', '24/01']",24/01 22:00,30,5,9999,NIL,NIL,NIL,10000,5,27,25,1010,89,,NIL,,,,,,
"['23:00', '24/01']",24/01 23:00,40,5,9999,NIL,NIL,NIL,10000,5,27,25,1010,89,,NIL,,,,,,
"['00:00', '25/01']",25/01 00:00,100,3,9999,NIL,NIL,NIL,10000,5,27,25,1011,89,,NIL,,,,,,
"['01:00', '25/01']",25/01 01:00,70,5,9999,NIL,NIL,NIL,10000,5,26,25,1012,94,,NIL,,,,NIL,,
"['02:00', '25/01']",25/01 02:00,40,3,9999,NIL,NIL,NIL,NIL,NIL,26,25,1012,94,,NIL,,,,NIL,,
"['03:00', '25/01']",25/01 03:00,40,4,9999,NIL,NIL,NIL,NIL,NIL,26,25,1012,94,,NIL,,,,NIL,,
"['04:00', '25/01']",25/01 04:00,40,5,9999,NIL,NIL,NIL,NIL,NIL,26,25,1011,94,,NIL,,,,NIL,,
"['05:00', '25/01']",25/01 05:00,40,4,9999,NIL,NIL,NIL,NIL,NIL,26,25,1011,94,,NIL,,,,NIL,,
"['06:00', '25/01']",25/01 06:00,40,5,9999,NIL,NIL,NIL,NIL,NIL,26,25,1011,94,,NIL,,,,NIL,,
"['07:00', '25/01']",25/01 07:00,50,4,9999,NIL,NIL,NIL,NIL,3,25,24,1011,94,,NIL,,,,NIL,,
"['08:00', '25/01']",25/01 08:00,30,4,9999,NIL,NIL,NIL,NIL,3,25,24,1010,94,,NIL,,,,NIL,,
"['09:00', '25/01']",25/01 09:00,120,3,9999,NIL,NIL,NIL,2000,5,25,25,1010,100,,NIL,,,,NIL,,
"['09:31', '25/01']",25/01 09:31,100,4,5000,NIL,NIL,1,1100,5,25,25,1011,100,,NIL,,,,NIL,,
"['09:37', '25/01']",25/01 09:37,90,4,2000,NIL,NIL,1,700,5,25,25,1011,100,,NIL,,,,NIL,,
"['10:00', '25/01']",25/01 10:00,60,7,4500,NIL,NIL,1,1500,5,25,24,1011,94,,NIL,,,,NIL,,
"['11:00', '25/01']",25/01 11:00,80,6,2000,NIL,NIL,NIL,1200,8,26,25,1012,94,,1,,,,1,,
"['11:25', '25/01']",25/01 11:25,60,8,1000,NIL,NIL,1,1500,8,25,24,1012,94,,NIL,,,,NIL,,
"['12:00', '25/01']",25/01 12:00,30,4,7000,4000,0,1,7000,5,24,24,1012,100,,NIL,,,,NIL,,
"['13:00', '25/01']",25/01 13:00,340,2,9999,NIL,NIL,NIL,10000,5,26,25,1013,94,,NIL,,,,NIL,,
"['14:00', '25/01']",25/01 14:00,340,4,9999,NIL,NIL,NIL,10000,5,27,25,1013,89,,NIL,,,,NIL,,
"['15:00', '25/01']",25/01 15:00,340,5,9999,NIL,NIL,NIL,10000,5,27,25,1012,89,,NIL,,,,NIL,,
"['16:00', '25/01']",25/01 16:00,350,5,9999,NIL,NIL,NIL,NIL,3,28,25,1011,84,,NIL,,,,NIL,,
"['17:00', '25/01']",25/01 17:00,340,7,9999,NIL,NIL,NIL,NIL,3,29,25,1010,79,,NIL,,,,NIL,,
"['18:00', '25/01']",25/01 18:00,340,7,9999,NIL,NIL,NIL,1500,5,28,25,1009,84,,NIL,,,,NIL,,
"['19:00', '25/01']",25/01 19:00,50,4,9999,NIL,NIL,NIL,2000,5,29,25,1009,79,,NIL,,,,NIL,,
"['20:00', '25/01']",25/01 20:00,360,8,9999,NIL,NIL,NIL,1500,5,28,25,1009,84,,NIL,,,,NIL,,
"['21:00', '25/01']",25/01 21:00,60,5,9999,NIL,NIL,NIL,1500,5,28,25,1009,84,,NIL,,,,NIL,,
"['22:00', '25/01']",25/01 22:00,40,8,9999,NIL,NIL,NIL,2000,5,27,24,1010,84,,NIL,,,,NIL,,
"['23:00', '25/01']",25/01 23:00,50,6,9999,NIL,NIL,NIL,10000,5,27,25,1011,89,,NIL,,,,NIL,,
"['00:00', '26/01']",26/01 00:00,70,4,9999,NIL,NIL,NIL,10000,5,27,25,1012,89,,NIL,,,,NIL,,
"['01:00', '26/01']",26/01 01:00,80,5,9999,NIL,NIL,NIL,NIL,NIL,26,25,1012,94,NIL,,,,,,NIL,
"['02:00', '26/01']",26/01 02:00,90,3,9999,NIL,NIL,NIL,NIL,NIL,26,24,1013,89,NIL,,,,,,NIL,
"['03:00', '26/01']",26/01 03:00,60,6,9999,NIL,NIL,NIL,NIL,NIL,26,24,1012,89,NIL,,,,,,NIL,
"['04:00', '26/01']",26/01 04:00,100,3,9999,NIL,NIL,NIL,NIL,NIL,26,24,1012,89,NIL,,,,,,NIL,
"['05:00', '26/01']",26/01 05:00,90,3,9999,NIL,NIL,NIL,NIL,NIL,26,24,1011,89,NIL,,,,,,NIL,
"['06:00', '26/01']",26/01 06:00,80,5,9999,NIL,NIL,NIL,NIL,NIL,25,24,1010,94,NIL,,,,,,NIL,
"['07:00', '26/01']",26/01 07:00,130,3,9999,NIL,NIL,NIL,NIL,NIL,25,24,1009,94,NIL,,,,,,NIL,
"['08:00', '26/01']",26/01 08:00,30,1,9999,NIL,NIL,NIL,NIL,3,25,24,1010,94,NIL,,,,,,NIL,
"['09:00', '26/01']",26/01 09:00,20,2,9999,NIL,NIL,NIL,NIL,3,25,24,1011,94,NIL,,,,,,NIL,
"['10:00', '26/01']",26/01 10:00,80,1,9999,NIL,NIL,NIL,10000,5,25,24,1011,94,NIL,,,,,,NIL,
"['11:00', '26/01']",26/01 11:00,60,3,9999,NIL,NIL,NIL,10000,5,26,25,1012,94,NIL,,,,,,NIL,
"['12:00', '26/01']",26/01 12:00,50,5,9999,NIL,NIL,NIL,10000,5,27,25,1013,89,NIL,,,,,,NIL,
"['13:00', '26/01']",26/01 13:00,50,4,9999,NIL,NIL,NIL,1600,5,28,24,1013,79,NIL,,,,,,NIL,
"['14:00', '26/01']",26/01 14:00,340,3,9999,NIL,NIL,NIL,2500,5,28,25,1013,84,NIL,,,,,,NIL,
"['15:00', '26/01']",26/01 15:00,340,5,9999,NIL,NIL,NIL,2500,5,29,25,1013,79,NIL,,,,,,NIL,
"['16:00', '26/01']",26/01 16:00,310,5,9999,NIL,NIL,NIL,2500,5,30,25,1012,75,NIL,,,,,,NIL,
"['17:00', '26/01']",26/01 17:00,340,6,9999,NIL,NIL,NIL,2700,5,30,25,1011,75,NIL,,,,,,NIL,
"['18:00', '26/01']",26/01 18:00,360,10,9999,NIL,NIL,NIL,NIL,3,29,25,1010,79,NIL,,,,,,NIL,
"['18:25', '26/01']",26/01 18:25,360,11,2000,NIL,NIL,1,2500,5,28,26,1009,89,NIL,,,,,,1,
"['18:40', '26/01']",26/01 18:40,360,10,9999,4000,45,1,2500,5,28,25,1009,84,NIL,,,,,,1,
"['18:50', '26/01']",26/01 18:50,60,16,500,NIL,NIL,1,2000,5,27,25,1010,89,NIL,,,,,,1,
"['19:00', '26/01']",26/01 19:00,50,17,200,NIL,NIL,1,2000,5,25,24,1010,94,1,,,,,,1,
"['19:20', '26/01']",26/01 19:20,30,6,4000,NIL,NIL,1,2000,5,25,24,1010,94,1,,,,,,NIL,
"['20:00', '26/01']",26/01 20:00,40,6,9999,NIL,NIL,1,NIL,3,26,25,1010,94,1,,,,,,NIL,
"['21:00', '26/01']",26/01 21:00,30,5,9999,NIL,NIL,NIL,NIL,3,27,25,1010,89,NIL,,,,,,NIL,
"['22:00', '26/01']",26/01 22:00,80,14,9999,NIL,NIL,NIL,4000,5,25,24,1011,94,NIL,,,,,,NIL,
"['23:00', '26/01']",26/01 23:00,80,9,4000,NIL,NIL,1,2000,8,25,24,1012,94,NIL,,,,,,NIL,
"['00:00', '27/01']",27/01 00:00,40,6,9999,NIL,NIL,NIL,10000,8,25,24,1012,94,NIL,,,,,,NIL,
"['01:00', '27/01']",27/01 01:00,30,3,9999,,,NIL,1500,5,25,24,1013,94,,,,,,,,
"['02:00', '27/01']",27/01 02:00,60,4,9999,,,NIL,10000,5,25,24,1014,94,,,,,,,,
"['03:00', '27/01']",27/01 03:00,30,3,9999,,,NIL,10000,5,25,24,1014,94,,,,,,,,
"['04:00', '27/01']",27/01 04:00,350,7,9999,,,1,1500,5,26,24,1012,89,,,,,,,,
"['05:00', '27/01']",27/01 05:00,30,6,9999,,,NIL,10000,5,25,24,1011,94,,,,,,,,
"['06:00', '27/01']",27/01 06:00,70,4,9999,,,NIL,2000,5,25,24,1011,94,,,,,,,,
"['07:00', '27/01']",27/01 07:00,70,5,9999,,,NIL,10000,5,25,24,1011,94,,,,,,,,
"['08:00', '27/01']",27/01 08:00,80,8,9999,,,NIL,600,5,25,24,1011,94,,,,,,,,
"['08:14', '27/01']",27/01 08:14,80,11,4000,,,1,600,5,25,24,1012,94,,,,,,,,
"['09:00', '27/01']",27/01 09:00,60,12,9999,,,1,1500,5,24,23,1013,94,,,,,,,,
"['10:00', '27/01']",27/01 10:00,70,11,9999,,,1,10000,5,23,23,1013,100,,,,,,,,
"['11:00', '27/01']",27/01 11:00,50,5,9999,,,1,7000,5,24,23,1014,94,,,,,,,,
"['12:00', '27/01']",27/01 12:00,100,5,9999,,,NIL,1500,5,24,23,1014,94,,,,,,,,
"['13:00', '27/01']",27/01 13:00,90,6,9999,,,NIL,1500,5,26,23,1014,84,,,,,,,,
"['13:27', '27/01']",27/01 13:27,100,7,9999,,,NIL,1300,5,26,24,1014,89,,,,,,,,
"['14:00', '27/01']",27/01 14:00,140,5,9999,,,NIL,1300,5,26,23,1014,84,,,,,,,,
"['15:00', '27/01']",27/01 15:00,130,4,9999,,,NIL,1700,5,27,24,1014,84,,,,,,,,
"['16:00', '27/01']",27/01 16:00,100,4,9999,,,NIL,2200,5,27,23,1013,79,,,,,,,,
"['17:00', '27/01']",27/01 17:00,60,5,9999,,,NIL,2300,5,27,23,1012,79,,,,,,,,
"['18:00', '27/01']",27/01 18:00,30,4,9999,,,NIL,10000,5,28,23,1011,74,,,,,,,,
"['19:00', '27/01']",27/01 19:00,310,3,9999,,,NIL,10000,5,28,23,1011,74,,,,,,,,
"['20:00', '27/01']",27/01 20:00,50,5,9999,,,NIL,10000,5,27,23,1011,79,,,,,,,,
"['21:00', '27/01']",27/01 21:00,30,5,9999,,,NIL,NIL,3,27,24,1011,84,,,,,,,,
"['22:00', '27/01']",27/01 22:00,230,2,9999,,,NIL,NIL,3,26,24,1011,89,,,,,,,,
"['23:00', '27/01']",27/01 23:00,10,3,9999,,,NIL,NIL,NIL,27,24,1012,84,,,,,,,,
"['00:00', '28/01']",28/01 00:00,20,3,9999,,,NIL,NIL,NIL,26,24,1012,89,,,,,,,,
"['01:00', '28/01']",28/01 01:00,50,4,9999,,,NIL,NIL,NIL,26,24,1012,89,NIL,,,,,,,
"['02:00', '28/01']",28/01 02:00,40,3,9999,,,NIL,NIL,NIL,26,24,1013,89,NIL,,,,,,,
"['03:00', '28/01']",28/01 03:00,90,2,9999,,,NIL,NIL,NIL,25,24,1013,94,NIL,,,,,,,
"['04:00', '28/01']",28/01 04:00,150,4,9999,,,NIL,NIL,3,25,24,1013,94,NIL,,,,,,,
"['05:00', '28/01']",28/01 05:00,160,4,9999,,,NIL,NIL,3,25,24,1012,94,NIL,,,,,,,
"['06:00', '28/01']",28/01 06:00,60,2,9999,,,NIL,2500,5,25,24,1011,94,NIL,,,,,,,
"['07:00', '28/01']",28/01 07:00,160,3,9999,,,NIL,8900,8,25,24,1011,94,NIL,,,,,,,
"['08:00', '28/01']",28/01 08:00,160,5,9999,,,NIL,1500,8,25,24,1011,94,NIL,,,,,,,
"['09:00', '28/01']",28/01 09:00,170,4,9999,,,NIL,1700,8,25,24,1011,94,NIL,,,,,,,
"['10:00', '28/01']",28/01 10:00,200,5,9999,,,NIL,1900,5,25,24,1012,94,NIL,,,,,,,
"['11:00', '28/01']",28/01 11:00,200,4,9999,,,NIL,1800,5,25,24,1013,94,NIL,,,,,,,
"['12:00', '28/01']",28/01 12:00,210,4,9999,,,NIL,NIL,3,26,24,1013,89,NIL,,,,,,,
"['13:00', '28/01']",28/01 13:00,240,6,9999,,,NIL,1700,5,27,25,1013,89,NIL,,,,,,,
"['14:00', '28/01']",28/01 14:00,250,4,9999,,,NIL,2300,5,28,25,1013,84,NIL,,,,,,,
"['15:00', '28/01']",28/01 15:00,330,5,9999,,,NIL,NIL,3,29,25,1012,79,NIL,,,,,,,
"['16:00', '28/01']",28/01 16:00,340,7,9999,,,NIL,2700,5,30,25,1011,75,NIL,,,,,,,
"['16:25', '28/01']",28/01 16:25,10,8,9999,,,NIL,1700,5,28,25,1011,84,NIL,,,,,,,
"['16:30', '28/01']",28/01 16:30,20,7,4000,,,1,1200,5,28,25,1011,84,1,,,,,,,
"['16:45', '28/01']",28/01 16:45,130,14,1000,,,1,1000,5,24,23,1011,94,1,,,,,,,
"['17:00', '28/01']",28/01 17:00,150,7,4000,,,1,1200,5,23,23,1011,100,1,,,,,,,
"['18:00', '28/01']",28/01 18:00,70,6,9999,,,NIL,1500,5,25,24,1010,94,1,,,,,,,
"['19:00', '28/01']",28/01 19:00,60,4,9999,,,NIL,2000,5,25,24,1009,94,NIL,,,,,,,
"['20:00', '28/01']",28/01 20:00,0,0,9999,,,1,7000,5,26,25,1009,94,NIL,,,,,,,
"['21:00', '28/01']",28/01 21:00,40,5,9999,,,NIL,7000,5,26,24,1010,89,NIL,,,,,,,
"['22:00', '28/01']",28/01 22:00,10,5,9999,,,NIL,7000,5,26,24,1010,89,NIL,,,,,,,
"['23:00', '28/01']",28/01 23:00,20,5,9999,,,NIL,NIL,3,25,24,1010,94,NIL,,,,,,,
"['00:00', '29/01']",29/01 00:00,50,11,9999,,,NIL,3000,5,25,24,1011,94,NIL,,,,,,,
"['01:00', '29/01']",29/01 01:00,80,9,9999,NIL,NIL,NIL,10000,5,24,23,1012,94,NIL,,,NIL,NIL,,,
"['02:00', '29/01']",29/01 02:00,90,3,9999,NIL,NIL,NIL,10000,5,24,23,1012,94,NIL,,,NIL,NIL,,,
"['03:00', '29/01']",29/01 03:00,100,4,9999,NIL,NIL,NIL,NIL,3,24,23,1012,94,NIL,,,NIL,NIL,,,
"['04:00', '29/01']",29/01 04:00,70,3,9999,NIL,NIL,NIL,NIL,3,24,23,1012,94,NIL,,,NIL,NIL,,,
"['05:00', '29/01']",29/01 05:00,60,3,9999,NIL,NIL,NIL,NIL,3,24,23,1011,94,NIL,,,NIL,NIL,,,
"['06:00', '29/01']",29/01 06:00,120,3,9999,NIL,NIL,NIL,NIL,3,24,23,1011,94,NIL,,,NIL,NIL,,,
"['07:00', '29/01']",29/01 07:00,110,3,9999,NIL,NIL,NIL,NIL,NIL,24,23,1011,94,NIL,,,NIL,NIL,,,
"['08:00', '29/01']",29/01 08:00,80,3,9999,NIL,NIL,NIL,NIL,NIL,24,23,1010,94,NIL,,,NIL,NIL,,,
"['09:00', '29/01']",29/01 09:00,180,3,9999,NIL,NIL,NIL,NIL,3,25,24,1011,94,NIL,,,NIL,NIL,,,
"['10:00', '29/01']",29/01 10:00,180,2,9999,NIL,NIL,NIL,10000,5,24,24,1011,100,NIL,,,NIL,NIL,,,
"['11:00', '29/01']",29/01 11:00,220,4,9999,NIL,NIL,NIL,10000,5,25,24,1012,94,NIL,,,NIL,NIL,,,
"['12:00', '29/01']",29/01 12:00,220,3,9999,NIL,NIL,NIL,10000,5,26,25,1013,94,NIL,,,NIL,NIL,,,
"['13:00', '29/01']",29/01 13:00,140,4,9999,NIL,NIL,NIL,10000,5,28,25,1014,84,NIL,,,NIL,NIL,,,
"['14:00', '29/01']",29/01 14:00,90,6,9999,NIL,NIL,NIL,2000,5,29,25,1013,79,NIL,,,NIL,NIL,,,
"['15:00', '29/01']",29/01 15:00,250,5,9999,NIL,NIL,NIL,2000,5,29,25,1013,79,NIL,,,NIL,NIL,,,
"['16:00', '29/01']",29/01 16:00,260,5,9999,NIL,NIL,NIL,2000,5,30,25,1012,75,NIL,,,NIL,NIL,,,
"['17:00', '29/01']",29/01 17:00,300,6,9999,NIL,NIL,NIL,2500,5,30,24,1011,70,NIL,,,NIL,NIL,,,
"['18:00', '29/01']",29/01 18:00,300,6,9999,NIL,NIL,NIL,NIL,3,31,25,1010,71,NIL,,,NIL,NIL,,,
"['19:00', '29/01']",29/01 19:00,80,15,9999,3000,45,1,1200,5,27,24,1010,84,1,,,25,65,,,
"['19:15', '29/01']",29/01 19:15,30,18,2000,NIL,NIL,1,1000,5,25,23,1009,89,1,,,28,65,,,
"['19:37', '29/01']",29/01 19:37,40,13,7000,3000,225,1,1300,5,25,23,1010,89,1,,,NIL,NIL,,,
"['20:00', '29/01']",29/01 20:00,10,6,9999,NIL,NIL,1,8000,5,24,23,1010,94,1,,,NIL,NIL,,,
"['21:00', '29/01']",29/01 21:00,100,6,9999,NIL,NIL,NIL,8000,5,24,23,1012,94,NIL,,,NIL,NIL,,,
"['22:00', '29/01']",29/01 22:00,140,6,9999,NIL,NIL,1,10000,5,24,23,1012,94,NIL,,,NIL,NIL,,,
"['23:00', '29/01']",29/01 23:00,120,3,8000,NIL,NIL,1,7000,8,24,23,1013,94,NIL,,,NIL,NIL,,,
"['00:00', '30/01']",30/01 00:00,120,5,9000,NIL,NIL,1,7000,5,23,23,1013,100,NIL,,,NIL,NIL,,,
"['01:00', '30/01']",30/01 01:00,90,3,9000,,,1,7000,5,23,23,1013,100,NIL,,,NIL,,,,
"['02:00', '30/01']",30/01 02:00,360,3,9999,,,NIL,7000,5,24,23,1013,94,NIL,,,NIL,,,,
"['03:00', '30/01']",30/01 03:00,190,3,9999,,,NIL,7000,5,24,23,1013,94,NIL,,,NIL,,,,
"['04:00', '30/01']",30/01 04:00,170,3,9999,,,NIL,8000,5,24,23,1012,94,NIL,,,NIL,,,,
"['05:00', '30/01']",30/01 05:00,180,3,9999,,,NIL,8000,5,24,23,1012,94,NIL,,,NIL,,,,
"['06:00', '30/01']",30/01 06:00,180,2,9999,,,NIL,8000,5,24,23,1012,94,NIL,,,NIL,,,,
"['07:00', '30/01']",30/01 07:00,190,3,9999,,,NIL,8000,5,24,23,1011,94,NIL,,,NIL,,,,
"['08:00', '30/01']",30/01 08:00,170,3,9999,,,NIL,9000,5,24,23,1011,94,NIL,,,NIL,,,,
"['09:00', '30/01']",30/01 09:00,100,2,9999,,,NIL,NIL,3,24,23,1011,94,NIL,,,NIL,,,,
"['10:00', '30/01']",30/01 10:00,120,3,9999,,,NIL,NIL,3,24,23,1012,94,NIL,,,NIL,,,,
"['11:00', '30/01']",30/01 11:00,130,4,9999,,,NIL,NIL,NIL,25,24,1013,94,NIL,,,NIL,,,,
"['12:00', '30/01']",30/01 12:00,90,5,9999,,,NIL,NIL,NIL,27,24,1013,84,NIL,,,NIL,,,,
"['13:00', '30/01']",30/01 13:00,70,7,9999,,,NIL,NIL,3,28,25,1014,84,NIL,,,NIL,,,,
"['14:00', '30/01']",30/01 14:00,50,6,9999,,,NIL,1800,5,30,25,1014,75,NIL,,,NIL,,,,
"['15:00', '30/01']",30/01 15:00,60,8,9999,,,NIL,2000,5,30,25,1013,75,NIL,,,NIL,,,,
"['16:00', '30/01']",30/01 16:00,50,5,9999,,,NIL,NIL,3,30,25,1012,75,NIL,,,NIL,,,,
"['17:00', '30/01']",30/01 17:00,360,10,9999,,,NIL,3000,5,29,26,1011,84,NIL,,,NIL,,,,
"['17:35', '30/01']",30/01 17:35,360,13,9999,,,NIL,NIL,3,29,24,1010,74,1,,,NIL,,,,
"['18:00', '30/01']",30/01 18:00,20,13,5000,,,1,1500,5,28,25,1011,84,1,,,26,,,,
"['19:00', '30/01']",30/01 19:00,50,5,7000,,,NIL,10000,8,25,24,1010,94,1,,,NIL,,,,
"['20:00', '30/01']",30/01 20:00,10,1,9999,,,NIL,10000,8,25,24,1010,94,NIL,,,NIL,,,,
"['21:00', '30/01']",30/01 21:00,60,5,9999,,,NIL,10000,8,26,24,1011,89,NIL,,,NIL,,,,
"['21:40', '30/01']",30/01 21:40,80,8,1500,,,1,2000,5,NIL,NIL,1011,0,NIL,,,NIL,,,,
"['22:00', '30/01']",30/01 22:00,80,9,3500,,,1,1400,5,25,25,1012,100,1,,,20,,,,
"['23:00', '30/01']",30/01 23:00,80,10,2000,,,1,1400,8,23,22,1013,94,1,,,NIL,,,,
