validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco,pancada,vnt_vrb,fumaca
"['01:00', '01/01']",01/01 01:00,90,8,NIL,9999,NIL,NIL,4800,5,26,18,1017,61,,,,,,,,
"['02:00', '01/01']",01/01 02:00,120,10,NIL,9999,NIL,NIL,NIL,NIL,25,18,1017,65,,,,,,,,
"['03:00', '01/01']",01/01 03:00,130,5,NIL,9999,NIL,NIL,NIL,NIL,23,18,1017,73,,,,,,,,
"['04:00', '01/01']",01/01 04:00,90,7,NIL,9999,NIL,NIL,NIL,NIL,24,18,1017,69,,,,,,,,
"['05:00', '01/01']",01/01 05:00,70,7,NIL,9999,NIL,NIL,NIL,NIL,23,18,1017,73,,,,,,,,
"['06:00', '01/01']",01/01 06:00,200,2,NIL,9999,NIL,NIL,NIL,NIL,22,18,1016,78,,,,,,,,
"['07:00', '01/01']",01/01 07:00,190,2,NIL,9999,NIL,NIL,NIL,NIL,22,18,1016,78,,,,,,,,
"['08:00', '01/01']",01/01 08:00,360,1,NIL,9999,NIL,NIL,NIL,NIL,21,18,1016,83,,,,,,,,
"['09:00', '01/01']",01/01 09:00,150,2,NIL,9999,NIL,NIL,NIL,3,21,18,1017,83,,,,,,,,
"['10:00', '01/01']",01/01 10:00,140,2,NIL,9999,NIL,NIL,NIL,NIL,23,19,1018,78,,,,,,,,
"['11:00', '01/01']",01/01 11:00,30,5,NIL,9999,NIL,NIL,NIL,NIL,25,17,1018,61,,,,,,,,
"['12:00', '01/01']",01/01 12:00,20,5,NIL,9999,NIL,NIL,NIL,NIL,27,17,1018,54,,,,,,,,
"['13:00', '01/01']",01/01 13:00,300,3,NIL,9999,NIL,NIL,NIL,2,28,18,1018,55,,,,,,,,
"['14:00', '01/01']",01/01 14:00,290,3,NIL,9999,NIL,NIL,NIL,3,29,17,1018,48,,,,,,,,
"['15:00', '01/01']",01/01 15:00,40,3,NIL,9999,NIL,NIL,NIL,3,30,18,1017,49,,,,,,,,
"['16:00', '01/01']",01/01 16:00,300,5,NIL,9999,NIL,NIL,4500,5,31,18,1017,46,,,,,,,,
"['17:00', '01/01']",01/01 17:00,310,5,NIL,9999,NIL,NIL,4800,5,31,18,1016,46,,,,,,,,
"['18:00', '01/01']",01/01 18:00,270,4,NIL,9999,NIL,NIL,NIL,3,32,18,1014,43,,,,,,,,
"['19:00', '01/01']",01/01 19:00,210,7,NIL,9999,NIL,NIL,NIL,3,24,18,1014,69,,,,,,,,
"['20:00', '01/01']",01/01 20:00,150,11,NIL,9999,NIL,NIL,NIL,3,32,18,1013,43,,,,,,,,
"['20:37', '01/01']",01/01 20:37,320,10,20,4000,1,NIL,1700,5,25,17,1015,61,,,,,,,,
"['21:00', '01/01']",01/01 21:00,120,11,NIL,4000,1,1,1700,5,24,19,1015,74,,,,,,,,
"['22:00', '01/01']",01/01 22:00,310,13,NIL,3000,1,1,500,5,20,19,1018,94,,,,,,,,
"['23:00', '01/01']",01/01 23:00,270,10,NIL,3000,1,1,500,5,19,18,1020,94,,,,,,,,
"['23:25', '01/01']",01/01 23:25,160,7,NIL,4000,1,1,4000,5,19,17,1019,88,,,,,,,,
"['00:00', '02/01']",02/01 00:00,130,11,NIL,4000,1,1,8000,5,19,18,1019,94,,,,,,,,
"['01:00', '02/01']",02/01 01:00,120,9,,9999,1,1,8000,5,19,17,1019,88,NIL,NIL,NIL,,,,,
"['02:00', '02/01']",02/01 02:00,140,6,,9999,NIL,NIL,10000,5,19,17,1018,88,NIL,NIL,NIL,,,,,
"['03:00', '02/01']",02/01 03:00,30,6,,9999,NIL,NIL,10000,5,19,18,1018,94,NIL,NIL,NIL,,,,,
"['03:15', '02/01']",02/01 03:15,10,5,,9999,NIL,NIL,500,5,19,18,1018,94,3000,180,1,,,,,
"['03:38', '02/01']",02/01 03:38,360,6,,900,NIL,NIL,500,5,18,17,1018,94,NIL,NIL,1,,,,,
"['04:00', '02/01']",02/01 04:00,30,6,,9999,NIL,NIL,10000,5,19,18,1018,94,NIL,NIL,NIL,,,,,
"['05:00', '02/01']",02/01 05:00,170,4,,900,NIL,NIL,300,5,18,18,1017,100,NIL,NIL,1,,,,,
"['05:42', '02/01']",02/01 05:42,130,3,,9999,NIL,NIL,10000,5,18,18,1016,100,NIL,NIL,NIL,,,,,
"['06:00', '02/01']",02/01 06:00,130,3,,9999,NIL,NIL,NIL,NIL,18,18,1016,100,NIL,NIL,NIL,,,,,
"['07:00', '02/01']",02/01 07:00,130,4,,9999,NIL,NIL,NIL,NIL,18,17,1017,94,NIL,NIL,NIL,,,,,
"['08:00', '02/01']",02/01 08:00,160,2,,9999,NIL,NIL,NIL,NIL,19,17,1017,88,NIL,NIL,NIL,,,,,
"['09:00', '02/01']",02/01 09:00,130,3,,9999,NIL,NIL,NIL,NIL,19,17,1017,88,NIL,NIL,NIL,,,,,
"['10:00', '02/01']",02/01 10:00,90,2,,9999,NIL,NIL,10000,5,19,17,1017,88,NIL,NIL,NIL,,,,,
"['11:00', '02/01']",02/01 11:00,150,2,,9999,NIL,NIL,10000,5,19,18,1017,94,NIL,NIL,NIL,,,,,
"['12:00', '02/01']",02/01 12:00,180,5,,9999,NIL,NIL,NIL,3,23,19,1017,78,NIL,NIL,NIL,,,,,
"['13:00', '02/01']",02/01 13:00,180,6,,9999,NIL,NIL,NIL,3,23,18,1017,73,NIL,NIL,NIL,,,,,
"['14:00', '02/01']",02/01 14:00,170,3,,9999,NIL,NIL,10000,5,24,18,1016,69,NIL,NIL,NIL,,,,,
"['15:00', '02/01']",02/01 15:00,20,3,,9999,NIL,NIL,10000,5,26,18,1016,61,NIL,NIL,NIL,,,,,
"['16:00', '02/01']",02/01 16:00,360,7,,9999,NIL,NIL,10000,5,27,19,1016,62,NIL,NIL,NIL,,,,,
"['17:00', '02/01']",02/01 17:00,310,3,,9999,NIL,NIL,10000,5,27,19,1015,62,NIL,NIL,NIL,,,,,
"['18:00', '02/01']",02/01 18:00,20,4,,9999,NIL,NIL,10000,5,27,19,1014,62,NIL,NIL,NIL,,,,,
"['19:00', '02/01']",02/01 19:00,350,4,,9999,NIL,NIL,NIL,3,28,20,1013,62,NIL,NIL,NIL,,,,,
"['20:00', '02/01']",02/01 20:00,20,4,,9999,NIL,NIL,NIL,3,27,18,1012,58,NIL,NIL,NIL,,,,,
"['21:00', '02/01']",02/01 21:00,60,4,,9999,NIL,NIL,NIL,3,26,18,1012,61,NIL,NIL,NIL,,,,,
"['22:00', '02/01']",02/01 22:00,80,6,,9999,NIL,NIL,NIL,3,26,19,1013,65,NIL,NIL,NIL,,,,,
"['22:43', '02/01']",02/01 22:43,60,3,,8000,1,1,4000,5,23,20,1013,83,NIL,NIL,NIL,,,,,
"['23:00', '02/01']",02/01 23:00,150,6,,8000,NIL,1,10000,5,23,19,1013,78,NIL,NIL,NIL,,,,,
"['00:00', '03/01']",03/01 00:00,180,7,,8000,NIL,1,9000,5,22,19,1014,83,NIL,NIL,NIL,,,,,
"['01:00', '03/01']",03/01 01:00,160,3,NIL,9999,NIL,1,8000,5,21,19,1014,88,,,,NIL,,,,
"['01:40', '03/01']",03/01 01:40,250,15,25,1500,1,1,1100,5,18,17,1016,94,,,,NIL,,,,
"['02:00', '03/01']",03/01 02:00,200,17,NIL,1500,1,1,300,5,18,17,1017,94,,,,NIL,,,,
"['02:19', '03/01']",03/01 02:19,180,9,NIL,2000,1,1,400,5,17,17,1017,100,,,,NIL,,,,
"['03:00', '03/01']",03/01 03:00,150,9,NIL,2000,1,1,400,5,17,17,1016,100,,,,NIL,,,,
"['04:00', '03/01']",03/01 04:00,130,5,NIL,3000,1,1,1000,5,17,16,1015,94,,,,NIL,,,,
"['05:00', '03/01']",03/01 05:00,40,7,NIL,5000,1,1,2500,5,18,17,1014,94,,,,NIL,,,,
"['06:00', '03/01']",03/01 06:00,320,2,NIL,7000,1,1,2000,5,18,17,1013,94,,,,NIL,,,,
"['07:00', '03/01']",03/01 07:00,160,3,NIL,5000,NIL,1,10000,5,17,16,1014,94,,,,1,,,,
"['08:00', '03/01']",03/01 08:00,150,2,NIL,5000,1,NIL,5000,5,17,17,1014,100,,,,NIL,,,,
"['09:00', '03/01']",03/01 09:00,160,1,NIL,8000,NIL,NIL,8000,5,18,17,1015,94,,,,NIL,,,,
"['10:00', '03/01']",03/01 10:00,170,2,NIL,9999,NIL,NIL,10000,5,18,17,1016,94,,,,NIL,,,,
"['11:00', '03/01']",03/01 11:00,130,3,NIL,9999,NIL,NIL,9000,5,19,18,1016,94,,,,NIL,,,,
"['12:00', '03/01']",03/01 12:00,110,3,NIL,9999,NIL,NIL,NIL,3,22,17,1016,73,,,,NIL,,,,
"['13:00', '03/01']",03/01 13:00,50,6,NIL,9999,NIL,NIL,NIL,3,24,18,1016,69,,,,NIL,,,,
"['14:00', '03/01']",03/01 14:00,360,2,NIL,9999,NIL,NIL,2100,5,26,19,1016,65,,,,NIL,,,,
"['15:00', '03/01']",03/01 15:00,350,6,NIL,9999,NIL,NIL,3000,5,26,19,1015,65,,,,NIL,,,,
"['16:00', '03/01']",03/01 16:00,320,7,NIL,9999,NIL,NIL,3000,5,26,18,1015,61,,,,NIL,,,,
"['17:00', '03/01']",03/01 17:00,350,5,NIL,9999,NIL,NIL,3500,5,27,18,1014,58,,,,NIL,,,,
"['18:00', '03/01']",03/01 18:00,300,5,NIL,9999,NIL,NIL,NIL,3,28,18,1013,55,,,,NIL,,,,
"['19:00', '03/01']",03/01 19:00,20,7,NIL,9999,NIL,NIL,4000,5,27,18,1012,58,,,,NIL,,,,
"['20:00', '03/01']",03/01 20:00,350,6,NIL,9999,NIL,NIL,NIL,3,27,18,1012,58,,,,NIL,,,,
"['21:00', '03/01']",03/01 21:00,340,5,NIL,9999,NIL,NIL,NIL,3,26,18,1013,61,,,,NIL,,,,
"['22:00', '03/01']",03/01 22:00,140,2,NIL,9999,NIL,NIL,NIL,3,25,18,1013,65,,,,NIL,,,,
"['23:00', '03/01']",03/01 23:00,40,6,NIL,9999,NIL,1,10000,5,24,19,1014,74,,,,NIL,,,,
"['23:25', '03/01']",03/01 23:25,230,15,NIL,3000,1,1,2500,5,19,17,1015,88,,,,NIL,,,,
"['00:00', '04/01']",04/01 00:00,210,15,NIL,3000,1,1,3000,5,18,17,1015,94,,,,NIL,,,,
"['00:15', '04/01']",04/01 00:15,220,12,NIL,2500,1,1,3000,8,18,17,1016,94,,,,NIL,,,,
"['01:00', '04/01']",04/01 01:00,230,7,,3000,1,1,3000,8,18,17,1016,94,NIL,NIL,NIL,NIL,,,,
"['01:28', '04/01']",04/01 01:28,120,9,,8000,1,NIL,3000,5,18,17,1016,94,NIL,NIL,NIL,NIL,,,,
"['02:00', '04/01']",04/01 02:00,120,10,,9999,1,1,10000,8,19,18,1016,94,NIL,NIL,NIL,NIL,,,,
"['03:00', '04/01']",04/01 03:00,60,7,,9999,NIL,NIL,10000,5,19,18,1015,94,NIL,NIL,NIL,NIL,,,,
"['03:04', '04/01']",04/01 03:04,30,10,,900,NIL,NIL,10000,5,18,17,1015,94,NIL,NIL,1,NIL,,,,
"['03:30', '04/01']",04/01 03:30,230,3,,4000,NIL,NIL,200,5,18,17,1016,94,NIL,NIL,NIL,1,,,,
"['04:00', '04/01']",04/01 04:00,250,2,,9999,NIL,NIL,10000,5,18,17,1015,94,NIL,NIL,NIL,NIL,,,,
"['05:00', '04/01']",04/01 05:00,200,2,,9999,NIL,NIL,200,5,18,17,1015,94,3000,180,1,NIL,,,,
"['06:00', '04/01']",04/01 06:00,150,3,,9999,NIL,NIL,10000,5,18,17,1016,94,NIL,NIL,NIL,NIL,,,,
"['07:00', '04/01']",04/01 07:00,40,4,,9999,NIL,NIL,10000,5,19,17,1016,88,NIL,NIL,NIL,NIL,,,,
"['08:00', '04/01']",04/01 08:00,10,8,,9999,NIL,NIL,10000,5,18,17,1017,94,NIL,NIL,NIL,NIL,,,,
"['09:00', '04/01']",04/01 09:00,60,7,,9999,NIL,NIL,3000,5,18,17,1017,94,NIL,NIL,NIL,NIL,,,,
"['10:00', '04/01']",04/01 10:00,170,3,,3000,NIL,NIL,2000,5,18,17,1018,94,NIL,NIL,1,NIL,,,,
"['11:00', '04/01']",04/01 11:00,140,3,,9999,NIL,NIL,7000,5,19,17,1018,88,NIL,NIL,NIL,NIL,,,,
"['12:00', '04/01']",04/01 12:00,160,2,,9999,NIL,NIL,10000,5,20,18,1018,88,NIL,NIL,NIL,NIL,,,,
"['13:00', '04/01']",04/01 13:00,10,1,,9999,NIL,NIL,NIL,3,22,18,1017,78,NIL,NIL,NIL,NIL,,,,
"['14:00', '04/01']",04/01 14:00,340,5,,9999,NIL,NIL,NIL,3,23,17,1017,69,NIL,NIL,NIL,NIL,,,,
"['15:00', '04/01']",04/01 15:00,350,9,,9999,NIL,NIL,2000,5,25,18,1017,65,NIL,NIL,NIL,NIL,,,,
"['16:00', '04/01']",04/01 16:00,330,7,,9999,NIL,NIL,NIL,3,25,18,1017,65,NIL,NIL,NIL,NIL,,,,
"['17:00', '04/01']",04/01 17:00,320,7,,9999,NIL,NIL,NIL,3,25,18,1016,65,NIL,NIL,NIL,NIL,,,,
"['18:00', '04/01']",04/01 18:00,310,6,,9999,NIL,NIL,3300,5,25,18,1016,65,NIL,NIL,NIL,NIL,,,,
"['19:00', '04/01']",04/01 19:00,350,8,,9999,NIL,NIL,3300,5,26,18,1016,61,NIL,NIL,NIL,NIL,,,,
"['20:00', '04/01']",04/01 20:00,340,6,,9999,NIL,NIL,NIL,3,26,18,1016,61,NIL,NIL,NIL,NIL,,,,
"['21:00', '04/01']",04/01 21:00,20,7,,9999,NIL,NIL,NIL,2,25,18,1016,65,NIL,NIL,NIL,NIL,,,,
"['22:00', '04/01']",04/01 22:00,10,5,,9999,NIL,NIL,NIL,NIL,24,18,1016,69,NIL,NIL,NIL,NIL,,,,
"['23:00', '04/01']",04/01 23:00,350,4,,9999,NIL,NIL,NIL,NIL,24,18,1017,69,NIL,NIL,NIL,NIL,,,,
"['00:00', '05/01']",05/01 00:00,360,5,,9999,NIL,NIL,NIL,3,24,18,1018,69,NIL,NIL,NIL,NIL,,,,
"['01:00', '05/01']",05/01 01:00,20,6,,9999,,,NIL,3,23,18,1018,73,,,,,,,,
"['02:00', '05/01']",05/01 02:00,50,6,,9999,,,NIL,NIL,22,18,1018,78,,,,,,,,
"['03:00', '05/01']",05/01 03:00,60,3,,9999,,,NIL,3,22,18,1018,78,,,,,,,,
"['04:00', '05/01']",05/01 04:00,160,3,,9999,,,NIL,3,21,18,1017,83,,,,,,,,
"['05:00', '05/01']",05/01 05:00,0,0,,9999,,,10000,5,20,19,1017,94,,,,,,,,
"['06:00', '05/01']",05/01 06:00,160,3,,9999,,,NIL,3,20,18,1017,88,,,,,,,,
"['07:00', '05/01']",05/01 07:00,80,2,,9999,,,NIL,2,21,18,1017,83,,,,,,,,
"['08:00', '05/01']",05/01 08:00,0,0,,9999,,,NIL,3,20,18,1018,88,,,,,,,,
"['09:00', '05/01']",05/01 09:00,130,2,,9999,,,NIL,NIL,20,19,1018,94,,,,,,,,
"['10:00', '05/01']",05/01 10:00,200,2,,9999,,,NIL,NIL,20,19,1018,94,,,,,,,,
"['12:00', '05/01']",05/01 12:00,30,8,,9999,,,NIL,2,25,20,1019,74,,,,,,,,
"['13:00', '05/01']",05/01 13:00,20,5,,9999,,,NIL,3,26,20,1019,70,,,,,,,,
"['14:00', '05/01']",05/01 14:00,320,5,,9999,,,3500,5,28,19,1019,58,,,,,,,,
"['15:00', '05/01']",05/01 15:00,330,4,,9999,,,NIL,3,28,20,1018,62,,,,,,,,
"['16:00', '05/01']",05/01 16:00,360,3,,9999,,,4000,5,29,19,1017,55,,,,,,,,
"['17:00', '05/01']",05/01 17:00,250,3,,9999,,,4000,5,29,18,1017,52,,,,,,,,
"['18:00', '05/01']",05/01 18:00,250,3,,9999,,,4000,5,30,19,1016,52,,,,,,,,
"['19:00', '05/01']",05/01 19:00,60,6,,9999,,,4000,5,28,20,1015,62,,,,,,,,
"['20:00', '05/01']",05/01 20:00,40,5,,9999,,,3700,5,29,20,1015,58,,,,,,,,
"['21:00', '05/01']",05/01 21:00,90,9,,9999,,,NIL,3,28,19,1015,58,,,,,,,,
"['22:00', '05/01']",05/01 22:00,80,9,,9999,,,NIL,3,26,18,1016,61,,,,,,,,
"['23:00', '05/01']",05/01 23:00,150,4,,9999,,,NIL,3,24,19,1016,74,,,,,,,,
"['00:00', '06/01']",06/01 00:00,130,7,,9999,,,NIL,NIL,24,19,1016,74,,,,,,,,
"['01:00', '06/01']",06/01 01:00,100,7,NIL,9999,NIL,NIL,NIL,NIL,24,20,1017,78,,,,,,,,
"['03:00', '06/01']",06/01 03:00,110,7,NIL,9999,NIL,NIL,NIL,NIL,23,20,1017,83,,,,,,,,
"['04:00', '06/01']",06/01 04:00,100,7,NIL,9999,NIL,NIL,NIL,NIL,22,20,1017,88,,,,,,,,
"['05:00', '06/01']",06/01 05:00,120,4,NIL,9999,NIL,NIL,NIL,NIL,22,19,1017,83,,,,,,,,
"['08:00', '06/01']",06/01 08:00,100,6,NIL,9999,NIL,NIL,NIL,NIL,21,19,1017,88,,,,,,,,
"['09:00', '06/01']",06/01 09:00,140,3,NIL,9999,NIL,NIL,NIL,NIL,21,19,1017,88,,,,,,,,
"['11:00', '06/01']",06/01 11:00,180,3,NIL,9999,NIL,NIL,NIL,NIL,23,20,1018,83,,,,,,,,
"['12:00', '06/01']",06/01 12:00,80,3,NIL,9999,NIL,NIL,NIL,2,26,20,1018,70,,,,,,,,
"['13:00', '06/01']",06/01 13:00,60,4,NIL,9999,NIL,NIL,NIL,3,27,20,1019,66,,,,,,,,
"['14:00', '06/01']",06/01 14:00,60,4,NIL,9999,NIL,NIL,3000,5,28,20,1019,62,,,,,,,,
"['15:00', '06/01']",06/01 15:00,10,3,NIL,9999,NIL,NIL,NIL,3,28,20,1017,62,,,,,,,,
"['16:00', '06/01']",06/01 16:00,120,4,NIL,9999,NIL,NIL,4000,5,30,20,1016,55,,,,,,,,
"['17:00', '06/01']",06/01 17:00,290,5,NIL,9999,NIL,1,4000,5,30,20,1019,55,,,,,,,,
"['17:30', '06/01']",06/01 17:30,180,17,31,2000,1,1,3000,5,23,18,1015,73,,,,,,,,
"['18:00', '06/01']",06/01 18:00,170,11,NIL,3500,1,1,2400,5,21,19,1015,88,,,,,,,,
"['18:06', '06/01']",06/01 18:06,300,5,NIL,8000,1,1,3700,5,22,19,1016,83,,,,,,,,
"['19:00', '06/01']",06/01 19:00,140,9,NIL,9999,NIL,1,10000,5,22,19,1015,83,,,,,,,,
"['20:00', '06/01']",06/01 20:00,230,2,NIL,9999,NIL,NIL,10000,5,23,18,1015,73,,,,,,,,
"['21:00', '06/01']",06/01 21:00,60,4,NIL,9999,NIL,NIL,NIL,3,22,19,1016,83,,,,,,,,
"['22:00', '06/01']",06/01 22:00,130,4,NIL,9999,NIL,NIL,NIL,NIL,22,19,1016,83,,,,,,,,
"['00:00', '07/01']",07/01 00:00,140,4,NIL,9999,NIL,NIL,10000,5,21,19,1016,88,,,,,,,,
"['01:00', '07/01']",07/01 01:00,180,2,,9999,NIL,NIL,NIL,NIL,22,19,1017,83,,,,,,,,
"['02:00', '07/01']",07/01 02:00,180,2,,9999,NIL,NIL,NIL,NIL,22,19,1017,83,,,,,,,,
"['03:00', '07/01']",07/01 03:00,110,2,,9999,NIL,NIL,7000,5,21,19,1016,88,,,,,,,,
"['04:00', '07/01']",07/01 04:00,110,2,,9999,NIL,NIL,10000,5,21,19,1016,88,,,,,,,,
"['05:00', '07/01']",07/01 05:00,160,2,,9999,NIL,NIL,NIL,3,21,19,1015,88,,,,,,,,
"['06:00', '07/01']",07/01 06:00,200,2,,9999,NIL,NIL,NIL,3,20,19,1015,94,,,,,,,,
"['07:00', '07/01']",07/01 07:00,160,3,,9999,NIL,NIL,NIL,NIL,21,19,1015,88,,,,,,,,
"['08:00', '07/01']",07/01 08:00,160,2,,9999,NIL,NIL,NIL,NIL,21,19,1015,88,,,,,,,,
"['09:00', '07/01']",07/01 09:00,110,3,,9999,NIL,NIL,NIL,NIL,21,19,1016,88,,,,,,,,
"['10:00', '07/01']",07/01 10:00,140,2,,9999,NIL,NIL,NIL,NIL,22,20,1016,88,,,,,,,,
"['11:00', '07/01']",07/01 11:00,150,3,,9999,NIL,NIL,NIL,NIL,25,21,1017,79,,,,,,,,
"['12:00', '07/01']",07/01 12:00,10,3,,9999,NIL,NIL,NIL,2,27,20,1017,66,,,,,,,,
"['13:00', '07/01']",07/01 13:00,330,3,,9999,NIL,NIL,NIL,3,28,20,1017,62,,,,,,,,
"['14:00', '07/01']",07/01 14:00,260,4,,9999,NIL,NIL,NIL,3,29,21,1017,62,,,,,,,,
"['15:00', '07/01']",07/01 15:00,290,9,,9999,NIL,1,3700,5,25,21,1016,79,,,,,,,,
"['16:00', '07/01']",07/01 16:00,320,7,,9999,NIL,NIL,3700,5,30,21,1015,59,,,,,,,,
"['17:00', '07/01']",07/01 17:00,320,9,,9999,NIL,NIL,3700,5,30,20,1014,55,,,,,,,,
"['18:00', '07/01']",07/01 18:00,310,7,,9999,NIL,1,3000,5,29,21,1014,62,,,,,,,,
"['19:00', '07/01']",07/01 19:00,70,10,,9999,NIL,1,NIL,3,24,19,1014,74,,,,,,,,
"['20:00', '07/01']",07/01 20:00,30,15,,9999,NIL,NIL,NIL,3,22,19,1014,83,,,,,,,,
"['21:00', '07/01']",07/01 21:00,230,12,,9999,NIL,NIL,10000,5,23,18,1016,73,,,,,,,,
"['21:20', '07/01']",07/01 21:20,250,16,,2000,1,1,3000,5,20,17,1017,83,,,,,,,,
"['21:30', '07/01']",07/01 21:30,240,15,,2000,1,1,3000,5,19,18,1018,94,,,,,,,,
"['21:44', '07/01']",07/01 21:44,300,9,,4000,1,1,10000,5,19,19,1018,100,,,,,,,,
"['22:00', '07/01']",07/01 22:00,240,6,,3000,1,1,3000,5,19,18,1018,94,,,,,,,,
"['22:22', '07/01']",07/01 22:22,240,3,,8000,1,1,3000,5,20,19,1018,94,,,,,,,,
"['22:31', '07/01']",07/01 22:31,240,3,,8000,1,1,3000,5,20,19,1018,94,,,,,,,,
"['23:00', '07/01']",07/01 23:00,170,8,,9999,1,1,3500,5,19,19,1019,100,,,,,,,,
"['00:00', '08/01']",08/01 00:00,160,4,,9999,1,1,10000,5,20,19,1019,94,,,,,,,,
"['00:30', '08/01']",08/01 00:30,150,4,,9999,1,1,10000,5,20,19,1019,94,,,,,,,,
"['01:00', '08/01']",08/01 01:00,140,3,,9999,1,,10000,5,20,19,1019,94,,,NIL,NIL,NIL,,,
"['02:00', '08/01']",08/01 02:00,160,5,,9999,1,,10000,5,20,19,1018,94,,,NIL,NIL,NIL,,,
"['02:24', '08/01']",08/01 02:24,160,8,,3000,NIL,,10000,5,20,19,1017,94,,,NIL,1,NIL,,,
"['03:00', '08/01']",08/01 03:00,160,6,,9999,NIL,,10000,5,20,19,1017,94,,,NIL,NIL,NIL,,,
"['04:00', '08/01']",08/01 04:00,340,10,,9999,NIL,,10000,5,20,19,1017,94,,,NIL,NIL,NIL,,,
"['05:00', '08/01']",08/01 05:00,340,3,,4000,NIL,,10000,5,20,19,1017,94,,,1,NIL,NIL,,,
"['06:00', '08/01']",08/01 06:00,290,3,,9999,NIL,,10000,5,20,18,1017,88,,,NIL,NIL,NIL,,,
"['07:00', '08/01']",08/01 07:00,210,7,,9999,NIL,,10000,5,19,18,1017,94,,,NIL,NIL,NIL,,,
"['08:00', '08/01']",08/01 08:00,170,5,,9999,NIL,,10000,5,19,18,1016,94,,,NIL,NIL,NIL,,,
"['09:00', '08/01']",08/01 09:00,80,3,,9999,NIL,,NIL,NIL,20,18,1016,88,,,NIL,NIL,NIL,,,
"['10:00', '08/01']",08/01 10:00,140,2,,9999,NIL,,10000,5,20,19,1016,94,,,NIL,NIL,NIL,,,
"['11:00', '08/01']",08/01 11:00,220,2,,9999,NIL,,10000,5,20,19,1016,94,,,NIL,NIL,1,,,
"['12:00', '08/01']",08/01 12:00,120,2,,9999,NIL,,10000,5,22,19,1016,83,,,NIL,NIL,NIL,,,
"['13:00', '08/01']",08/01 13:00,350,3,,9999,NIL,,NIL,3,24,20,1017,78,,,NIL,NIL,NIL,,,
"['14:00', '08/01']",08/01 14:00,210,4,,9999,NIL,,NIL,3,26,19,1016,65,,,NIL,NIL,NIL,,,
"['15:00', '08/01']",08/01 15:00,230,6,,9999,NIL,,NIL,3,28,21,1016,66,,,NIL,NIL,NIL,,,
"['16:00', '08/01']",08/01 16:00,220,5,,9999,NIL,,NIL,3,29,20,1015,58,,,NIL,NIL,NIL,,,
"['17:00', '08/01']",08/01 17:00,240,6,,9999,NIL,,3500,5,29,20,1015,58,,,NIL,NIL,NIL,,,
"['18:00', '08/01']",08/01 18:00,260,9,,8000,NIL,,4000,5,30,21,1014,59,,,NIL,NIL,NIL,,,
"['19:00', '08/01']",08/01 19:00,270,7,,9999,NIL,,NIL,3,29,20,1013,58,,,NIL,NIL,NIL,,,
"['20:00', '08/01']",08/01 20:00,220,8,,9999,NIL,,NIL,3,28,18,1013,55,,,NIL,NIL,NIL,,,
"['21:00', '08/01']",08/01 21:00,210,4,,9999,NIL,,NIL,2,27,19,1014,62,,,NIL,NIL,NIL,,,
"['22:00', '08/01']",08/01 22:00,270,2,,9999,NIL,,NIL,3,26,19,1014,65,,,NIL,NIL,NIL,,,
"['23:00', '08/01']",08/01 23:00,280,2,,9999,NIL,,NIL,3,26,19,1014,65,,,NIL,NIL,NIL,,,
"['00:00', '09/01']",09/01 00:00,290,2,,9999,NIL,,NIL,3,26,19,1015,65,,,NIL,NIL,NIL,,,
"['01:00', '09/01']",09/01 01:00,210,8,NIL,9999,NIL,NIL,NIL,3,23,20,1016,83,NIL,NIL,,,,NIL,,
"['02:00', '09/01']",09/01 02:00,120,3,NIL,9999,NIL,NIL,NIL,3,24,20,1016,78,NIL,NIL,,,,NIL,,
"['03:00', '09/01']",09/01 03:00,270,2,NIL,9999,NIL,NIL,NIL,3,23,21,1015,89,NIL,NIL,,,,NIL,,
"['04:00', '09/01']",09/01 04:00,140,3,NIL,9999,NIL,1,10000,5,22,20,1014,88,NIL,NIL,,,,NIL,,
"['05:00', '09/01']",09/01 05:00,110,8,NIL,9999,NIL,NIL,NIL,3,22,20,1014,88,NIL,NIL,,,,NIL,,
"['06:00', '09/01']",09/01 06:00,140,5,NIL,9999,NIL,1,NIL,3,21,19,1014,88,NIL,NIL,,,,NIL,,
"['07:00', '09/01']",09/01 07:00,90,4,NIL,9999,NIL,NIL,NIL,3,22,19,1014,83,NIL,NIL,,,,NIL,,
"['08:00', '09/01']",09/01 08:00,110,3,NIL,9999,NIL,NIL,7000,5,21,19,1014,88,NIL,NIL,,,,NIL,,
"['09:00', '09/01']",09/01 09:00,200,3,NIL,9999,NIL,NIL,7000,5,21,20,1015,94,NIL,NIL,,,,NIL,,
"['10:00', '09/01']",09/01 10:00,170,6,NIL,9999,NIL,NIL,7000,5,23,20,1016,83,NIL,NIL,,,,NIL,,
"['11:00', '09/01']",09/01 11:00,180,6,NIL,9999,1,NIL,7000,5,23,20,1016,83,4000,315,,,,1,,
"['12:00', '09/01']",09/01 12:00,190,4,NIL,4000,1,NIL,7000,5,21,19,1016,88,NIL,NIL,,,,NIL,,
"['13:00', '09/01']",09/01 13:00,220,5,NIL,9999,NIL,NIL,7000,5,25,18,1016,65,NIL,NIL,,,,NIL,,
