validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco,pancada,vnt_vrb,fumaca
"['19:00', '20/07']",20/07 19:00,110,7,,9999,,,,,25,08,1021,34,,,,,,,125,
"['20:00', '20/07']",20/07 20:00,120,9,,9999,,,,,24,10,1022,41,,,,,,,NIL,
"['21:00', '20/07']",20/07 21:00,100,9,,9999,,,,,22,11,1022,50,,,,,,,NIL,
"['22:00', '20/07']",20/07 22:00,110,10,,9999,,,,,20,10,1023,53,,,,,,,NIL,
"['23:00', '20/07']",20/07 23:00,90,12,,9999,,,,,20,10,1024,53,,,,,,,NIL,
"['00:00', '21/07']",21/07 00:00,90,11,,9999,,,,,19,09,1024,52,,,,,,,NIL,
"['01:00', '21/07']",21/07 01:00,100,8,,9999,,,,NIL,18,10,1025,60,,,,,,,NIL,
"['02:00', '21/07']",21/07 02:00,120,8,,9999,,,,NIL,17,10,1025,63,,,,,,,NIL,
"['03:00', '21/07']",21/07 03:00,110,7,,9999,,,,NIL,16,10,1025,68,,,,,,,NIL,
"['04:00', '21/07']",21/07 04:00,120,7,,9999,,,,NIL,16,10,1024,68,,,,,,,NIL,
"['05:00', '21/07']",21/07 05:00,120,6,,9999,,,,NIL,15,10,1024,72,,,,,,,NIL,
"['06:00', '21/07']",21/07 06:00,140,3,,9999,,,,NIL,14,10,1024,77,,,,,,,NIL,
"['07:00', '21/07']",21/07 07:00,120,4,,9999,,,,NIL,14,10,1023,77,,,,,,,NIL,
"['08:00', '21/07']",21/07 08:00,140,5,,9999,,,,NIL,13,09,1024,77,,,,,,,NIL,
"['09:00', '21/07']",21/07 09:00,120,8,,9999,,,,NIL,13,10,1024,82,,,,,,,NIL,
"['10:00', '21/07']",21/07 10:00,140,4,,9999,,,,NIL,13,10,1025,82,,,,,,,NIL,
"['11:00', '21/07']",21/07 11:00,140,3,,9999,,,,NIL,14,10,1026,77,,,,,,,NIL,
"['12:00', '21/07']",21/07 12:00,120,4,,9999,,,,NIL,18,12,1027,68,,,,,,,NIL,
"['13:00', '21/07']",21/07 13:00,50,8,,9999,,,,NIL,21,12,1027,56,,,,,,,NIL,
"['14:00', '21/07']",21/07 14:00,30,7,,9999,,,,NIL,22,13,1027,57,,,,,,,NIL,
"['15:00', '21/07']",21/07 15:00,20,6,,9999,,,,NIL,24,13,1026,50,,,,,,,205,
"['16:00', '21/07']",21/07 16:00,40,5,,9999,,,,2,25,12,1025,44,,,,,,,NIL,
"['17:00', '21/07']",21/07 17:00,150,5,,9999,,,,2,26,11,1024,39,,,,,,,NIL,
"['18:00', '21/07']",21/07 18:00,50,4,,9999,,,,2,26,10,1023,37,,,,,,,NIL,
"['19:00', '21/07']",21/07 19:00,60,4,,9999,,,,2,27,09,1023,32,,,,,,,NIL,
"['20:00', '21/07']",21/07 20:00,50,5,,9999,,,,NIL,25,11,1024,41,,,,,,,NIL,
"['21:00', '21/07']",21/07 21:00,210,8,,9999,,,,NIL,22,13,1024,57,,,,,,,NIL,
"['22:00', '21/07']",21/07 22:00,120,4,,9999,,,,NIL,19,13,1025,68,,,,,,,NIL,
"['23:00', '21/07']",21/07 23:00,100,5,,9999,,,,NIL,18,13,1026,73,,,,,,,NIL,
"['00:00', '22/07']",22/07 00:00,100,6,,9999,,,,NIL,18,13,1026,73,,,,,,,NIL,
"['01:00', '22/07']",22/07 01:00,130,5,,9999,,,,,16,13,1027,82,,,,,,,,
"['02:00', '22/07']",22/07 02:00,100,11,,9999,,,,,17,13,1027,77,,,,,,,,
"['03:00', '22/07']",22/07 03:00,120,7,,9999,,,,,16,13,1027,82,,,,,,,,
"['04:00', '22/07']",22/07 04:00,130,4,,9999,,,,,16,13,1027,82,,,,,,,,
"['05:00', '22/07']",22/07 05:00,130,6,,9999,,,,,15,12,1026,82,,,,,,,,
"['06:00', '22/07']",22/07 06:00,140,4,,9999,,,,,14,12,1026,88,,,,,,,,
"['07:00', '22/07']",22/07 07:00,130,3,,9999,,,,,14,12,1026,88,,,,,,,,
"['08:00', '22/07']",22/07 08:00,120,5,,9999,,,,,14,12,1026,88,,,,,,,,
"['09:00', '22/07']",22/07 09:00,140,3,,9999,,,,,14,11,1027,82,,,,,,,,
"['10:00', '22/07']",22/07 10:00,120,5,,9999,,,,,14,12,1027,88,,,,,,,,
"['11:00', '22/07']",22/07 11:00,130,3,,9999,,,,,15,12,1028,82,,,,,,,,
"['12:00', '22/07']",22/07 12:00,140,5,,9999,,,,,17,13,1029,77,,,,,,,,
"['13:00', '22/07']",22/07 13:00,140,6,,9999,,,,,20,13,1029,64,,,,,,,,
"['14:00', '22/07']",22/07 14:00,130,7,,9999,,,,,22,12,1029,53,,,,,,,,
"['15:00', '22/07']",22/07 15:00,100,9,,9999,,,,,23,12,1028,50,,,,,,,,
"['16:00', '22/07']",22/07 16:00,90,11,,9999,,,,,23,12,1027,50,,,,,,,,
"['17:00', '22/07']",22/07 17:00,110,11,,9999,,,,,23,12,1027,50,,,,,,,,
"['18:00', '22/07']",22/07 18:00,100,13,,9999,,,,,23,11,1026,47,,,,,,,,
"['19:00', '22/07']",22/07 19:00,90,12,,9999,,,,,23,11,1026,47,,,,,,,,
"['20:00', '22/07']",22/07 20:00,100,12,,9999,,,,,21,11,1026,53,,,,,,,,
"['21:00', '22/07']",22/07 21:00,90,12,,9999,,,,,19,10,1027,56,,,,,,,,
"['22:00', '22/07']",22/07 22:00,90,9,,9999,,,,,18,10,1027,60,,,,,,,,
"['23:00', '22/07']",22/07 23:00,90,8,,9999,,,,,18,10,1028,60,,,,,,,,
"['00:00', '23/07']",23/07 00:00,90,10,,9999,,,,,17,11,1028,68,,,,,,,,
"['01:00', '23/07']",23/07 01:00,100,7,,9999,,,,NIL,17,10,1028,63,,,,,,,,
"['02:00', '23/07']",23/07 02:00,50,5,,9999,,,,NIL,15,10,1028,72,,,,,,,,
"['03:00', '23/07']",23/07 03:00,130,4,,9999,,,,NIL,15,10,1028,72,,,,,,,,
"['04:00', '23/07']",23/07 04:00,130,3,,9999,,,,NIL,14,10,1028,77,,,,,,,,
"['05:00', '23/07']",23/07 05:00,120,5,,9999,,,,NIL,14,10,1027,77,,,,,,,,
"['06:00', '23/07']",23/07 06:00,120,8,,9999,,,,NIL,13,10,1027,82,,,,,,,,
"['07:00', '23/07']",23/07 07:00,100,9,,9999,,,,NIL,14,10,1026,77,,,,,,,,
"['08:00', '23/07']",23/07 08:00,90,12,,9999,,,,NIL,14,10,1027,77,,,,,,,,
"['09:00', '23/07']",23/07 09:00,100,11,,9999,,,,2,14,10,1027,77,,,,,,,,
"['10:00', '23/07']",23/07 10:00,110,8,,9999,,,,NIL,13,10,1028,82,,,,,,,,
"['11:00', '23/07']",23/07 11:00,100,9,,9999,,,,NIL,15,11,1028,77,,,,,,,,
"['12:00', '23/07']",23/07 12:00,100,12,,9999,,,,2,17,11,1029,68,,,,,,,,
"['13:00', '23/07']",23/07 13:00,80,17,,9999,,,,3,18,10,1029,60,,,,,,,,
"['14:00', '23/07']",23/07 14:00,100,14,,9999,,,,2,19,09,1029,52,,,,,,,,
"['15:00', '23/07']",23/07 15:00,100,9,,9999,,,,NIL,21,09,1028,46,,,,,,,,
"['16:00', '23/07']",23/07 16:00,80,10,,9999,,,,NIL,22,09,1027,43,,,,,,,,
"['17:00', '23/07']",23/07 17:00,80,9,,9999,,,,NIL,23,09,1026,41,,,,,,,,
"['18:00', '23/07']",23/07 18:00,80,8,,9999,,,,NIL,24,09,1025,38,,,,,,,,
