validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoeiro,pancada,nevoa_umida,nevoa_seca,fumaca,chuvisco
"['01:00', '01/01']",01/01 01:00,120,5,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,23,17,1019,69,,,,,,
"['02:00', '01/01']",01/01 02:00,0,0,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,23,17,1019,69,,,,,,
"['03:00', '01/01']",01/01 03:00,260,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,22,18,1019,78,,,,,,
"['04:00', '01/01']",01/01 04:00,0,0,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,22,18,1018,78,,,,,,
"['05:00', '01/01']",01/01 05:00,250,4,NIL,230,9999,NIL,NIL,NIL,NIL,4000,5,22,17,1018,73,,,,,,
"['06:00', '01/01']",01/01 06:00,210,4,NIL,215,9999,NIL,NIL,NIL,NIL,NIL,3,20,17,1018,83,,,,,,
"['07:00', '01/01']",01/01 07:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,20,17,1018,83,,,,,,
"['08:00', '01/01']",01/01 08:00,40,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,7000,5,20,17,1018,83,,,,,,
"['09:00', '01/01']",01/01 09:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,19,17,1019,88,,,,,,
"['10:00', '01/01']",01/01 10:00,260,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,21,17,1019,78,,,,,,
"['11:00', '01/01']",01/01 11:00,190,3,NIL,200,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,18,1020,69,,,,,,
"['12:00', '01/01']",01/01 12:00,170,7,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,26,18,1020,61,,,,,,
"['13:00', '01/01']",01/01 13:00,120,6,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,27,18,1020,58,,,,,,
"['14:00', '01/01']",01/01 14:00,60,4,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,28,17,1020,51,,,,,,
"['15:00', '01/01']",01/01 15:00,30,5,NIL,NIL,9999,NIL,NIL,NIL,NIL,4000,5,29,16,1020,45,,,,,,
"['16:00', '01/01']",01/01 16:00,50,5,NIL,NIL,9999,NIL,NIL,NIL,NIL,4000,5,29,17,1019,48,,,,,,
"['17:00', '01/01']",01/01 17:00,50,4,NIL,NIL,9999,NIL,NIL,NIL,NIL,4000,5,29,16,1018,45,,,,,,
"['18:00', '01/01']",01/01 18:00,260,10,NIL,240,9999,3000,180,1,1,4000,5,24,17,1017,65,,,,,,
"['19:00', '01/01']",01/01 19:00,280,10,21,270,9999,NIL,NIL,NIL,1,9000,5,22,18,1017,78,,,,,,
"['20:00', '01/01']",01/01 20:00,250,9,NIL,NIL,9999,NIL,NIL,NIL,1,10000,5,22,16,1017,69,,,,,,
"['21:00', '01/01']",01/01 21:00,260,6,NIL,260,9999,NIL,NIL,NIL,1,10000,5,22,16,1017,69,,,,,,
"['22:00', '01/01']",01/01 22:00,340,3,NIL,185,9999,NIL,NIL,NIL,1,10000,5,22,15,1018,65,,,,,,
"['23:00', '01/01']",01/01 23:00,150,12,NIL,NIL,9999,NIL,NIL,1,NIL,9000,8,20,16,1020,78,,,,,,
"['00:00', '02/01']",02/01 00:00,190,5,NIL,NIL,9999,NIL,NIL,NIL,NIL,10000,5,19,16,1019,83,,,,,,
"['01:00', '02/01']",02/01 01:00,190,4,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,19,16,1019,83,,,,,,
"['02:00', '02/01']",02/01 02:00,VRB,2,,NIL,9999,NIL,NIL,NIL,NIL,9000,5,19,16,1019,83,,,,,,
"['03:00', '02/01']",02/01 03:00,60,3,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,19,16,1018,83,,,,,,
"['04:00', '02/01']",02/01 04:00,140,2,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,20,15,1018,73,,,,,,
"['05:00', '02/01']",02/01 05:00,150,1,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,19,16,1017,83,,,,,,
"['06:00', '02/01']",02/01 06:00,0,0,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,19,16,1017,83,,,,,,
"['07:00', '02/01']",02/01 07:00,0,0,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,19,16,1017,83,,,,,,
"['08:00', '02/01']",02/01 08:00,170,3,,160,9999,NIL,NIL,NIL,NIL,NIL,NIL,20,17,1017,83,,,,,,
"['09:00', '02/01']",02/01 09:00,130,5,,140,9999,NIL,NIL,NIL,NIL,NIL,NIL,19,16,1018,83,,,,,,
"['10:00', '02/01']",02/01 10:00,90,7,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,14,1018,64,,,,,,
"['11:00', '02/01']",02/01 11:00,60,9,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,16,1018,73,,,,,,
"['12:00', '02/01']",02/01 12:00,100,5,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,22,17,1019,73,,,,,,
"['13:00', '02/01']",02/01 13:00,70,5,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,17,1018,65,,,,,,
"['14:00', '02/01']",02/01 14:00,80,6,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,16,1018,57,,,,,,
"['15:00', '02/01']",02/01 15:00,60,6,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,26,16,1018,54,,,,,,
"['16:00', '02/01']",02/01 16:00,80,4,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,28,16,1017,48,,,,,,
"['17:00', '02/01']",02/01 17:00,70,4,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,29,15,1016,43,,,,,,
"['18:00', '02/01']",02/01 18:00,40,4,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,28,14,1015,42,,,,,,
"['18:15', '02/01']",02/01 18:15,90,3,,NIL,9999,NIL,NIL,NIL,1,NIL,3,30,15,1014,40,,,,,,
"['19:00', '02/01']",02/01 19:00,30,8,,NIL,9999,NIL,NIL,NIL,1,4000,5,25,16,1014,57,,,,,,
"['19:35', '02/01']",02/01 19:35,320,4,,NIL,9999,4500,45,1,1,4000,5,24,18,1014,69,,,,,,
"['20:00', '02/01']",02/01 20:00,70,6,,NIL,9999,NIL,NIL,1,1,4000,5,24,18,1014,69,,,,,,
"['21:00', '02/01']",02/01 21:00,330,6,,NIL,9999,NIL,NIL,1,1,4000,5,21,19,1015,88,,,,,,
"['22:00', '02/01']",02/01 22:00,150,9,,NIL,9999,NIL,NIL,1,1,4000,5,21,18,1015,83,,,,,,
"['23:00', '02/01']",02/01 23:00,320,3,,NIL,9999,NIL,NIL,1,1,10000,5,20,18,1015,88,,,,,,
"['00:00', '03/01']",03/01 00:00,260,2,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,20,18,1015,88,,,,,,
"['01:00', '03/01']",03/01 01:00,230,3,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,21,19,1016,88,NIL,,,,,
"['02:00', '03/01']",03/01 02:00,190,3,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,20,19,1016,94,NIL,,,,,
"['03:00', '03/01']",03/01 03:00,180,2,,NIL,9999,NIL,NIL,NIL,1,4000,5,21,19,1016,88,NIL,,,,,
"['03:35', '03/01']",03/01 03:35,VRB,5,,NIL,2000,NIL,NIL,1,1,3000,8,20,18,1016,88,NIL,,,,,
"['04:00', '03/01']",03/01 04:00,190,9,,NIL,4000,NIL,NIL,1,1,3000,8,20,18,1016,88,NIL,,,,,
"['04:20', '03/01']",03/01 04:20,160,6,,NIL,9999,NIL,NIL,1,1,8000,5,19,18,1015,94,NIL,,,,,
"['05:00', '03/01']",03/01 05:00,150,6,,NIL,9999,NIL,NIL,1,1,7500,5,20,18,1015,88,NIL,,,,,
"['06:00', '03/01']",03/01 06:00,VRB,2,,NIL,9999,NIL,NIL,NIL,NIL,8000,5,19,18,1014,94,NIL,,,,,
"['07:00', '03/01']",03/01 07:00,VRB,2,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,19,18,1014,94,NIL,,,,,
"['08:00', '03/01']",03/01 08:00,VRB,1,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,20,18,1014,88,NIL,,,,,
"['09:00', '03/01']",03/01 09:00,VRB,2,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,19,18,1015,94,1,,,,,
"['10:00', '03/01']",03/01 10:00,VRB,2,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,20,19,1015,94,NIL,,,,,
"['11:00', '03/01']",03/01 11:00,VRB,2,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,22,19,1016,83,NIL,,,,,
"['12:00', '03/01']",03/01 12:00,40,4,,215,9999,NIL,NIL,NIL,NIL,NIL,2,25,19,1016,69,NIL,,,,,
"['13:00', '03/01']",03/01 13:00,20,6,,195,9999,NIL,NIL,NIL,NIL,NIL,3,27,19,1016,62,NIL,,,,,
"['14:00', '03/01']",03/01 14:00,340,6,,180,9999,NIL,NIL,NIL,NIL,NIL,3,27,18,1016,58,NIL,,,,,
"['15:00', '03/01']",03/01 15:00,350,8,,185,9999,NIL,NIL,NIL,NIL,NIL,3,28,18,1015,55,NIL,,,,,
"['16:00', '03/01']",03/01 16:00,340,5,,165,9999,NIL,NIL,NIL,NIL,4000,5,28,17,1014,51,NIL,,,,,
"['17:00', '03/01']",03/01 17:00,350,8,,175,9999,NIL,NIL,NIL,NIL,4000,5,28,17,1013,51,NIL,,,,,
"['17:15', '03/01']",03/01 17:15,320,7,,NIL,9999,NIL,NIL,NIL,1,4000,5,28,18,1013,55,NIL,,,,,
"['18:00', '03/01']",03/01 18:00,140,7,,NIL,9999,NIL,NIL,1,1,4000,5,26,20,1013,70,NIL,,,,,
"['19:00', '03/01']",03/01 19:00,120,11,,NIL,9999,1000,180,1,1,4000,5,24,18,1012,69,NIL,,,,,
"['20:00', '03/01']",03/01 20:00,110,12,,NIL,3000,1000,225,1,1,3000,5,20,18,1014,88,NIL,,,,,
"['21:00', '03/01']",03/01 21:00,50,5,,NIL,3000,NIL,NIL,1,1,3000,5,20,19,1015,94,NIL,,,,,
"['22:00', '03/01']",03/01 22:00,220,11,,NIL,9999,NIL,NIL,1,1,3000,5,20,17,1014,83,NIL,,,,,
"['23:00', '03/01']",03/01 23:00,330,3,,NIL,9999,NIL,NIL,1,1,3000,5,20,18,1014,88,NIL,,,,,
"['00:00', '04/01']",04/01 00:00,320,6,,NIL,9999,NIL,NIL,NIL,1,3000,5,20,17,1015,83,NIL,,,,,
"['01:00', '04/01']",04/01 01:00,350,3,,NIL,9999,,,,,3000,5,20,17,1016,83,,,,,,
"['02:00', '04/01']",04/01 02:00,210,7,,NIL,9999,,,,,10000,5,19,17,1017,88,,,,,,
"['03:00', '04/01']",04/01 03:00,50,4,,NIL,9999,,,,,8000,5,19,18,1017,94,,,,,,
"['04:00', '04/01']",04/01 04:00,360,4,,NIL,9999,,,,,8000,5,19,17,1016,88,,,,,,
"['05:00', '04/01']",04/01 05:00,350,5,,NIL,9999,,,,,1100,5,19,18,1016,94,,,,,,
"['06:00', '04/01']",04/01 06:00,350,7,,NIL,9999,,,,,1100,5,19,18,1016,94,,,,,,
"['07:00', '04/01']",04/01 07:00,340,7,,NIL,9999,,,,,1100,5,19,17,1016,88,,,,,,
"['08:00', '04/01']",04/01 08:00,280,2,,NIL,9999,,,,,8000,5,19,18,1016,94,,,,,,
"['09:00', '04/01']",04/01 09:00,320,7,,NIL,9999,,,,,10000,8,19,17,1016,88,,,,,,
"['10:00', '04/01']",04/01 10:00,250,4,,260,9999,,,,,10000,8,19,17,1017,88,,,,,,
"['11:00', '04/01']",04/01 11:00,250,3,,250,9999,,,,,10000,8,20,17,1017,83,,,,,,
"['12:00', '04/01']",04/01 12:00,110,7,,NIL,9999,,,,,10000,8,20,17,1018,83,,,,,,
"['13:00', '04/01']",04/01 13:00,100,5,,NIL,9999,,,,,8000,8,21,17,1018,78,,,,,,
"['14:00', '04/01']",04/01 14:00,50,2,,NIL,9999,,,,,8000,8,22,18,1019,78,,,,,,
"['15:00', '04/01']",04/01 15:00,180,2,,NIL,9999,,,,,8000,5,23,18,1019,73,,,,,,
"['16:00', '04/01']",04/01 16:00,310,5,,NIL,9999,,,,,2000,5,25,16,1018,57,,,,,,
"['17:00', '04/01']",04/01 17:00,290,6,,NIL,9999,,,,,2000,5,25,16,1017,57,,,,,,
"['18:00', '04/01']",04/01 18:00,260,6,,275,9999,,,,,10000,5,25,17,1017,61,,,,,,
"['19:00', '04/01']",04/01 19:00,300,3,,310,9999,,,,,NIL,3,25,16,1017,57,,,,,,
"['20:00', '04/01']",04/01 20:00,70,5,,NIL,9999,,,,,10000,5,23,17,1017,69,,,,,,
"['21:00', '04/01']",04/01 21:00,VRB,2,,NIL,9999,,,,,10000,5,23,19,1017,78,,,,,,
"['22:00', '04/01']",04/01 22:00,VRB,2,,NIL,9999,,,,,10000,5,23,18,1017,73,,,,,,
"['23:00', '04/01']",04/01 23:00,40,2,,NIL,9999,,,,,NIL,NIL,22,18,1017,78,,,,,,
"['00:00', '05/01']",05/01 00:00,190,3,,205,9999,,,,,NIL,NIL,22,19,1018,83,,,,,,
"['01:00', '05/01']",05/01 01:00,0,0,,NIL,9999,,,,,NIL,NIL,21,19,1019,88,,,,,,
"['02:00', '05/01']",05/01 02:00,110,4,,NIL,9999,,,,,NIL,NIL,20,18,1019,88,,,,,,
"['03:00', '05/01']",05/01 03:00,180,4,,NIL,9999,,,,,NIL,NIL,19,18,1018,94,,,,,,
"['04:00', '05/01']",05/01 04:00,150,3,,NIL,9999,,,,,NIL,3,20,17,1018,83,,,,,,
"['05:00', '05/01']",05/01 05:00,190,3,,NIL,9999,,,,,NIL,3,19,17,1017,88,,,,,,
"['06:00', '05/01']",05/01 06:00,270,1,,NIL,9999,,,,,10000,5,18,17,1018,94,,,,,,
"['07:00', '05/01']",05/01 07:00,110,2,,NIL,9999,,,,,10000,5,19,17,1018,88,,,,,,
"['08:00', '05/01']",05/01 08:00,230,1,,NIL,9999,,,,,10000,5,18,17,1018,94,,,,,,
"['09:00', '05/01']",05/01 09:00,180,2,,NIL,9999,,,,,NIL,NIL,18,17,1019,94,,,,,,
"['09:40', '05/01']",05/01 09:40,VRB,1,,NIL,9999,,,,,700,5,18,17,1020,94,,,,,,
"['10:00', '05/01']",05/01 10:00,VRB,2,,NIL,9999,,,,,700,5,19,17,1020,88,,,,,,
"['10:20', '05/01']",05/01 10:20,VRB,2,,NIL,9999,,,,,NIL,3,19,17,1020,88,,,,,,
"['11:00', '05/01']",05/01 11:00,VRB,1,,NIL,9999,,,,,NIL,2,20,18,1020,88,,,,,,
"['12:00', '05/01']",05/01 12:00,50,7,,65,9999,,,,,NIL,2,23,18,1020,73,,,,,,
"['13:00', '05/01']",05/01 13:00,50,8,,50,9999,,,,,NIL,2,25,17,1020,61,,,,,,
"['14:00', '05/01']",05/01 14:00,50,4,,220,9999,,,,,NIL,2,27,17,1020,54,,,,,,
"['15:00', '05/01']",05/01 15:00,30,6,,195,9999,,,,,NIL,2,27,17,1019,54,,,,,,
"['16:00', '05/01']",05/01 16:00,350,5,,185,9999,,,,,10000,5,28,15,1018,45,,,,,,
"['17:00', '05/01']",05/01 17:00,10,6,,195,9999,,,,,3500,5,29,15,1017,43,,,,,,
"['18:00', '05/01']",05/01 18:00,10,5,,NIL,9999,,,,,4000,5,29,15,1017,43,,,,,,
"['19:00', '05/01']",05/01 19:00,50,5,,NIL,9999,,,,,NIL,3,29,17,1016,48,,,,,,
"['20:00', '05/01']",05/01 20:00,70,6,,NIL,9999,,,,,NIL,3,29,16,1016,45,,,,,,
"['21:00', '05/01']",05/01 21:00,80,8,,NIL,9999,,,,,NIL,3,28,17,1016,51,,,,,,
"['22:00', '05/01']",05/01 22:00,50,7,,NIL,9999,,,,,NIL,2,26,18,1016,61,,,,,,
"['23:00', '05/01']",05/01 23:00,80,7,,NIL,9999,,,,,NIL,2,25,18,1016,65,,,,,,
"['00:00', '06/01']",06/01 00:00,70,5,,NIL,9999,,,,,NIL,NIL,24,18,1017,69,,,,,,
"['01:00', '06/01']",06/01 01:00,180,4,,NIL,9999,,,,,NIL,NIL,24,18,1018,69,,,,,,
"['02:00', '06/01']",06/01 02:00,190,3,,NIL,9999,,,,,NIL,NIL,23,18,1018,73,,,,,,
"['03:00', '06/01']",06/01 03:00,VRB,2,,NIL,9999,,,,,NIL,NIL,22,18,1018,78,,,,,,
"['04:00', '06/01']",06/01 04:00,VRB,2,,NIL,9999,,,,,NIL,NIL,21,18,1017,83,,,,,,
"['05:00', '06/01']",06/01 05:00,VRB,1,,NIL,9999,,,,,NIL,NIL,22,18,1017,78,,,,,,
"['06:00', '06/01']",06/01 06:00,0,0,,NIL,9999,,,,,NIL,NIL,20,18,1017,88,,,,,,
"['07:00', '06/01']",06/01 07:00,VRB,1,,NIL,9999,,,,,NIL,NIL,19,17,1017,88,,,,,,
"['08:00', '06/01']",06/01 08:00,VRB,2,,NIL,9999,,,,,NIL,NIL,20,17,1018,83,,,,,,
"['09:00', '06/01']",06/01 09:00,320,1,,NIL,9999,,,,,NIL,NIL,19,17,1018,88,,,,,,
"['10:00', '06/01']",06/01 10:00,0,0,,NIL,9999,,,,,NIL,NIL,21,18,1019,83,,,,,,
"['11:00', '06/01']",06/01 11:00,0,0,,NIL,9999,,,,,NIL,NIL,23,19,1019,78,,,,,,
"['12:00', '06/01']",06/01 12:00,80,8,,NIL,9999,,,,,NIL,NIL,26,18,1019,61,,,,,,
"['13:00', '06/01']",06/01 13:00,70,8,,NIL,9999,,,,,NIL,2,27,18,1020,58,,,,,,
"['14:00', '06/01']",06/01 14:00,60,8,,NIL,9999,,,,,NIL,3,28,18,1020,55,,,,,,
"['15:00', '06/01']",06/01 15:00,70,7,,NIL,9999,,,,,4000,5,30,17,1019,46,,,,,,
"['16:00', '06/01']",06/01 16:00,70,7,,NIL,9999,,,,,4000,5,30,17,1018,46,,,,,,
"['17:00', '06/01']",06/01 17:00,90,6,,NIL,9999,,,,,4000,5,30,16,1017,43,,,,,,
"['18:00', '06/01']",06/01 18:00,110,7,,105,9999,,,,,NIL,3,31,16,1016,40,,,,,,
"['19:00', '06/01']",06/01 19:00,70,10,,NIL,9999,,,,,NIL,3,30,17,1015,46,,,,,,
"['20:00', '06/01']",06/01 20:00,100,9,,NIL,9999,,,,,NIL,3,30,17,1015,46,,,,,,
"['21:00', '06/01']",06/01 21:00,90,7,,NIL,9999,,,,,NIL,3,29,18,1015,52,,,,,,
"['22:00', '06/01']",06/01 22:00,120,7,,NIL,9999,,,,,NIL,3,28,18,1016,55,,,,,,
"['23:00', '06/01']",06/01 23:00,160,7,,NIL,9999,,,,,NIL,3,26,19,1017,65,,,,,,
"['00:00', '07/01']",07/01 00:00,150,5,,145,9999,,,,,NIL,3,26,18,1017,61,,,,,,
"['01:00', '07/01']",07/01 01:00,350,2,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,24,19,1018,74,,NIL,,,,
"['02:00', '07/01']",07/01 02:00,170,3,,170,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,19,1018,74,,NIL,,,,
"['03:00', '07/01']",07/01 03:00,160,1,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,18,1018,69,,NIL,,,,
"['04:00', '07/01']",07/01 04:00,200,3,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,23,18,1017,73,,NIL,,,,
"['05:00', '07/01']",07/01 05:00,230,3,,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,22,19,1016,83,,NIL,,,,
"['06:00', '07/01']",07/01 06:00,0,0,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,22,19,1017,83,,NIL,,,,
"['07:00', '07/01']",07/01 07:00,80,2,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,18,1017,83,,NIL,,,,
"['08:00', '07/01']",07/01 08:00,180,3,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,22,19,1017,83,,NIL,,,,
"['09:00', '07/01']",07/01 09:00,230,2,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,19,1018,88,,NIL,,,,
"['10:00', '07/01']",07/01 10:00,150,4,,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,22,19,1018,83,,NIL,,,,
"['11:00', '07/01']",07/01 11:00,100,3,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,19,1018,74,,NIL,,,,
"['12:00', '07/01']",07/01 12:00,90,4,,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,19,1019,69,,NIL,,,,
"['13:00', '07/01']",07/01 13:00,70,5,,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,26,20,1020,70,,NIL,,,,
"['14:00', '07/01']",07/01 14:00,60,3,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,28,20,1020,62,,NIL,,,,
"['15:00', '07/01']",07/01 15:00,50,2,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,29,19,1019,55,,NIL,,,,
"['15:30', '07/01']",07/01 15:30,80,4,,NIL,9999,2000,225,1,1,3000,5,29,17,1018,48,,1,,,,
"['16:00', '07/01']",07/01 16:00,180,14,,175,9999,1000,135,1,1,3000,5,24,16,1018,61,,NIL,,,,
"['17:00', '07/01']",07/01 17:00,240,5,,NIL,9999,NIL,NIL,1,1,3000,5,26,19,1017,65,,NIL,,,,
"['18:00', '07/01']",07/01 18:00,VRB,6,,NIL,9999,NIL,NIL,NIL,1,3500,5,29,18,1016,52,,NIL,,,,
"['19:00', '07/01']",07/01 19:00,250,11,,250,9999,NIL,NIL,NIL,1,3500,5,29,18,1015,52,,NIL,,,,
"['20:00', '07/01']",07/01 20:00,VRB,3,,NIL,8000,NIL,NIL,1,1,3000,5,25,19,1017,69,,NIL,,,,
"['21:00', '07/01']",07/01 21:00,190,5,,NIL,9999,NIL,NIL,NIL,1,8000,5,24,19,1016,74,,NIL,,,,
"['22:00', '07/01']",07/01 22:00,140,8,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,22,18,1017,78,,NIL,,,,
"['23:00', '07/01']",07/01 23:00,190,5,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,21,17,1018,78,,NIL,,,,
"['00:00', '08/01']",08/01 00:00,180,4,,180,9999,NIL,NIL,NIL,NIL,8000,5,21,17,1019,78,,NIL,,,,
"['01:00', '08/01']",08/01 01:00,100,4,,110,9999,,,,NIL,10000,5,21,17,1019,78,,,,,,
"['02:00', '08/01']",08/01 02:00,VRB,2,,NIL,9999,,,,NIL,NIL,3,21,18,1020,83,,,,,,
"['03:00', '08/01']",08/01 03:00,190,2,,NIL,9999,,,,NIL,8000,5,21,17,1019,78,,,,,,
"['04:00', '08/01']",08/01 04:00,170,6,,NIL,9999,,,,NIL,NIL,NIL,20,17,1018,83,,,,,,
"['05:00', '08/01']",08/01 05:00,0,0,,NIL,9999,,,,NIL,NIL,NIL,20,17,1018,83,,,,,,
"['06:00', '08/01']",08/01 06:00,210,4,,NIL,9999,,,,NIL,NIL,NIL,20,18,1017,88,,,,,,
"['07:00', '08/01']",08/01 07:00,170,4,,NIL,9999,,,,NIL,NIL,NIL,20,18,1017,88,,,,,,
"['08:00', '08/01']",08/01 08:00,160,2,,NIL,9999,,,,NIL,NIL,NIL,20,17,1017,83,,,,,,
"['09:00', '08/01']",08/01 09:00,190,3,,NIL,9999,,,,NIL,10000,5,19,17,1018,88,,,,,,
"['10:00', '08/01']",08/01 10:00,190,3,,180,9999,,,,NIL,10000,5,20,17,1018,83,,,,,,
"['11:00', '08/01']",08/01 11:00,60,7,,60,9999,,,,NIL,NIL,3,21,18,1019,83,,,,,,
"['12:00', '08/01']",08/01 12:00,70,5,,70,9999,,,,NIL,NIL,2,22,18,1019,78,,,,,,
"['13:00', '08/01']",08/01 13:00,50,4,,235,9999,,,,NIL,NIL,2,25,19,1019,69,,,,,,
"['14:00', '08/01']",08/01 14:00,70,7,,240,9999,,,,NIL,NIL,2,26,19,1019,65,,,,,,
"['15:00', '08/01']",08/01 15:00,50,7,,60,9999,,,,NIL,NIL,2,26,18,1019,61,,,,,,
"['16:00', '08/01']",08/01 16:00,60,6,,65,9999,,,,NIL,NIL,3,28,18,1018,55,,,,,,
"['17:00', '08/01']",08/01 17:00,20,8,,205,9999,,,,NIL,NIL,3,29,16,1017,45,,,,,,
"['18:00', '08/01']",08/01 18:00,VRB,3,,NIL,9999,,,,NIL,NIL,3,28,17,1016,51,,,,,,
"['19:00', '08/01']",08/01 19:00,VRB,6,,NIL,9999,,,,NIL,NIL,3,29,17,1015,48,,,,,,
"['20:00', '08/01']",08/01 20:00,130,6,,130,9999,,,,NIL,NIL,3,29,17,1015,48,,,,,,
"['21:00', '08/01']",08/01 21:00,120,7,,NIL,9999,,,,1,NIL,2,28,17,1014,51,,,,,,
"['22:00', '08/01']",08/01 22:00,120,7,,NIL,9999,,,,1,NIL,3,27,19,1015,62,,,,,,
"['23:00', '08/01']",08/01 23:00,100,5,,NIL,9999,,,,NIL,NIL,3,26,19,1016,65,,,,,,
"['00:00', '09/01']",09/01 00:00,110,6,,NIL,9999,,,,NIL,NIL,3,25,19,1017,69,,,,,,
"['01:00', '09/01']",09/01 01:00,260,4,,NIL,9999,,,NIL,NIL,NIL,2,24,19,1018,74,,,,,,
"['02:00', '09/01']",09/01 02:00,VRB,2,,NIL,9999,,,NIL,NIL,NIL,NIL,24,19,1018,74,,,,,,
"['03:00', '09/01']",09/01 03:00,230,2,,NIL,9999,,,NIL,NIL,NIL,NIL,22,19,1018,83,,,,,,
"['04:00', '09/01']",09/01 04:00,180,2,,NIL,9999,,,NIL,NIL,NIL,NIL,22,19,1017,83,,,,,,
"['05:00', '09/01']",09/01 05:00,170,3,,NIL,9999,,,NIL,NIL,NIL,NIL,22,19,1016,83,,,,,,
"['06:00', '09/01']",09/01 06:00,270,3,,NIL,9999,,,NIL,NIL,NIL,NIL,19,18,1015,94,,,,,,
"['07:00', '09/01']",09/01 07:00,170,3,,NIL,9999,,,NIL,NIL,NIL,NIL,21,18,1015,83,,,,,,
"['08:00', '09/01']",09/01 08:00,70,2,,NIL,9999,,,NIL,NIL,NIL,NIL,20,18,1015,88,,,,,,
"['09:00', '09/01']",09/01 09:00,110,1,,NIL,9999,,,NIL,NIL,NIL,NIL,20,18,1016,88,,,,,,
"['10:00', '09/01']",09/01 10:00,280,2,,NIL,9999,,,NIL,NIL,NIL,NIL,21,19,1017,88,,,,,,
"['11:00', '09/01']",09/01 11:00,150,1,,NIL,9999,,,NIL,NIL,NIL,NIL,25,19,1018,69,,,,,,
"['12:00', '09/01']",09/01 12:00,40,3,,NIL,9999,,,NIL,NIL,NIL,2,26,20,1018,70,,,,,,
"['13:00', '09/01']",09/01 13:00,60,4,,NIL,9999,,,NIL,NIL,3000,5,27,19,1017,62,,,,,,
"['14:00', '09/01']",09/01 14:00,110,6,,NIL,9999,,,NIL,NIL,3000,5,29,18,1017,52,,,,,,
"['15:00', '09/01']",09/01 15:00,140,6,,115,9999,,,NIL,NIL,3000,5,29,18,1016,52,,,,,,
"['16:00', '09/01']",09/01 16:00,80,7,,NIL,9999,,,NIL,NIL,3000,5,30,19,1015,52,,,,,,
"['17:00', '09/01']",09/01 17:00,80,6,,NIL,9999,,,NIL,NIL,3000,5,29,18,1014,52,,,,,,
