validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoeiro,pancada,nevoa_umida,nevoa_seca,fumaca,chuvisco
"['15:00', '08/02']",08/02 15:00,VRB,5,,NIL,9999,NIL,NIL,NIL,NIL,2500,5,24,18,1016,69,,NIL,,,,
"['16:00', '08/02']",08/02 16:00,340,9,,165,9999,3000,45,1,NIL,2500,5,23,19,1015,78,,1,,,,
"['17:00', '08/02']",08/02 17:00,350,13,,170,9999,NIL,NIL,NIL,NIL,3000,5,24,19,1014,74,,NIL,,,,
"['18:00', '08/02']",08/02 18:00,340,8,,NIL,9999,NIL,NIL,NIL,NIL,3000,5,26,18,1013,61,,NIL,,,,
"['19:00', '08/02']",08/02 19:00,300,12,,NIL,9999,NIL,NIL,NIL,NIL,3000,5,24,17,1013,65,,NIL,,,,
"['20:00', '08/02']",08/02 20:00,300,4,,280,9999,NIL,NIL,NIL,NIL,3000,5,23,17,1013,69,,NIL,,,,
"['21:00', '08/02']",08/02 21:00,220,7,,235,8000,3000,45,1,NIL,2000,5,20,17,1013,83,,NIL,,,,
"['21:21', '08/02']",08/02 21:21,350,7,,NIL,8000,NIL,NIL,1,1,10000,5,19,15,1014,78,,NIL,,,,
"['22:00', '08/02']",08/02 22:00,270,3,,NIL,9999,NIL,NIL,NIL,1,10000,5,19,16,1014,83,,NIL,,,,
"['23:00', '08/02']",08/02 23:00,280,2,,NIL,9999,NIL,NIL,NIL,1,NIL,3,19,17,1015,88,,NIL,,,,
"['00:00', '09/02']",09/02 00:00,310,4,,310,9999,NIL,NIL,NIL,1,NIL,3,20,18,1015,88,,NIL,,,,
"['01:00', '09/02']",09/02 01:00,250,4,,NIL,9999,,,,,NIL,3,20,18,1016,88,,,,,,
"['01:06', '09/02']",09/02 01:06,150,7,,160,9999,,,,,1000,5,20,18,1016,88,,,,,,
"['02:00', '09/02']",09/02 02:00,0,0,,NIL,9999,,,,,NIL,2,20,18,1016,88,,,,,,
"['03:00', '09/02']",09/02 03:00,300,4,,NIL,9999,,,,,NIL,2,18,18,1015,100,,,,,,
"['04:00', '09/02']",09/02 04:00,220,1,,NIL,9999,,,,,NIL,2,18,18,1015,100,,,,,,
"['05:00', '09/02']",09/02 05:00,70,4,,NIL,9999,,,,,800,5,18,17,1015,94,,,,,,
"['06:00', '09/02']",09/02 06:00,60,6,,NIL,9999,,,,,700,5,18,18,1015,100,,,,,,
"['07:00', '09/02']",09/02 07:00,30,3,,NIL,9999,,,,,1100,5,19,17,1015,88,,,,,,
"['08:00', '09/02']",09/02 08:00,120,5,,NIL,9999,,,,,1200,5,19,17,1016,88,,,,,,
"['09:00', '09/02']",09/02 09:00,10,4,,NIL,9999,,,,,1000,8,19,17,1016,88,,,,,,
"['10:00', '09/02']",09/02 10:00,VRB,2,,NIL,9999,,,,,1000,8,19,18,1017,94,,,,,,
"['11:00', '09/02']",09/02 11:00,320,3,,150,9999,,,,,1100,8,19,17,1017,88,,,,,,
"['12:00', '09/02']",09/02 12:00,10,5,,195,9999,,,,,1200,8,19,17,1018,88,,,,,,
"['13:00', '09/02']",09/02 13:00,VRB,2,,NIL,9999,,,,,1000,8,19,17,1018,88,,,,,,
"['14:00', '09/02']",09/02 14:00,340,3,,165,9999,,,,,1200,8,21,17,1018,78,,,,,,
"['15:00', '09/02']",09/02 15:00,20,4,,180,9999,,,,,2000,5,23,18,1017,73,,,,,,
"['16:00', '09/02']",09/02 16:00,VRB,4,,NIL,9999,,,,,2500,5,24,17,1017,65,,,,,,
"['17:00', '09/02']",09/02 17:00,40,5,,215,9999,,,,,NIL,3,25,18,1016,65,,,,,,
"['18:00', '09/02']",09/02 18:00,350,4,,NIL,9999,,,,,NIL,3,25,17,1015,61,,,,,,
"['19:00', '09/02']",09/02 19:00,30,4,,205,9999,,,,,NIL,3,26,17,1014,58,,,,,,
"['20:00', '09/02']",09/02 20:00,VRB,2,,NIL,9999,,,,,NIL,3,26,18,1014,61,,,,,,
"['21:00', '09/02']",09/02 21:00,260,8,,NIL,9999,,,,,NIL,3,24,17,1014,65,,,,,,
"['22:00', '09/02']",09/02 22:00,210,6,,NIL,9999,,,,,NIL,2,24,17,1015,65,,,,,,
"['23:00', '09/02']",09/02 23:00,240,5,,NIL,9999,,,,,NIL,2,22,18,1015,78,,,,,,
"['00:00', '10/02']",10/02 00:00,210,4,,220,9999,,,,,NIL,2,22,18,1016,78,,,,,,
"['01:00', '10/02']",10/02 01:00,170,3,NIL,170,9999,NIL,NIL,NIL,NIL,NIL,3,22,18,1017,78,NIL,,,,,
"['02:00', '10/02']",10/02 02:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,21,18,1018,83,NIL,,,,,
"['03:00', '10/02']",10/02 03:00,170,4,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,20,17,1017,83,NIL,,,,,
"['04:00', '10/02']",10/02 04:00,0,0,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,20,17,1017,83,NIL,,,,,
"['05:00', '10/02']",10/02 05:00,250,1,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,18,17,1016,94,NIL,,,,,
"['06:00', '10/02']",10/02 06:00,270,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,19,16,1016,83,NIL,,,,,
"['07:00', '10/02']",10/02 07:00,180,3,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,18,16,1016,88,NIL,,,,,
"['08:00', '10/02']",10/02 08:00,0,0,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,17,16,1016,94,NIL,,,,,
"['09:00', '10/02']",10/02 09:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,18,16,1016,88,1,,,,,
"['10:00', '10/02']",10/02 10:00,200,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,18,16,1017,88,1,,,,,
"['11:00', '10/02']",10/02 11:00,190,1,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,21,18,1018,83,NIL,,,,,
"['12:00', '10/02']",10/02 12:00,90,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,23,18,1018,73,NIL,,,,,
"['13:00', '10/02']",10/02 13:00,80,7,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,25,19,1018,69,NIL,,,,,
"['14:00', '10/02']",10/02 14:00,350,4,NIL,NIL,9999,NIL,NIL,NIL,NIL,3000,5,26,17,1018,58,NIL,,,,,
"['15:00', '10/02']",10/02 15:00,100,5,NIL,NIL,9999,NIL,NIL,NIL,NIL,3000,5,27,15,1018,48,NIL,,,,,
"['16:00', '10/02']",10/02 16:00,40,6,NIL,190,9999,NIL,NIL,NIL,NIL,3500,5,27,15,1017,48,NIL,,,,,
"['17:00', '10/02']",10/02 17:00,60,7,NIL,225,9999,NIL,NIL,NIL,NIL,3500,5,28,18,1015,55,NIL,,,,,
"['18:00', '10/02']",10/02 18:00,50,10,20,NIL,9999,NIL,NIL,NIL,NIL,3500,5,29,16,1014,45,NIL,,,,,
"['19:00', '10/02']",10/02 19:00,60,8,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,27,17,1014,54,NIL,,,,,
"['20:00', '10/02']",10/02 20:00,40,9,NIL,NIL,9999,NIL,NIL,NIL,1,9000,5,26,17,1014,58,NIL,,,,,
"['21:00', '10/02']",10/02 21:00,70,6,NIL,NIL,9999,NIL,NIL,NIL,1,3500,5,26,18,1014,61,NIL,,,,,
"['21:35', '10/02']",10/02 21:35,240,8,NIL,225,9999,4000,135,1,1,2500,5,22,19,1015,83,NIL,,,,,
"['22:00', '10/02']",10/02 22:00,240,11,NIL,NIL,4000,NIL,NIL,1,1,2000,8,21,19,1015,88,NIL,,,,,
"['23:00', '10/02']",10/02 23:00,80,4,NIL,240,9999,4000,225,1,1,2000,5,22,20,1017,88,NIL,,,,,
"['00:00', '11/02']",11/02 00:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,10000,5,22,20,1017,88,NIL,,,,,
"['02:00', '11/02']",11/02 02:00,VRB,2,,NIL,9999,,,NIL,,10000,5,21,20,1018,94,,,,,,
"['03:00', '11/02']",11/02 03:00,270,5,,NIL,9000,,,1,,2000,5,20,19,1018,94,,,,,,
"['04:00', '11/02']",11/02 04:00,280,3,,NIL,9999,,,NIL,,10000,5,20,19,1017,94,,,,,,
"['05:00', '11/02']",11/02 05:00,290,3,,NIL,9000,,,1,,10000,5,20,19,1017,94,,,,,,
"['06:00', '11/02']",11/02 06:00,250,3,,NIL,9000,,,1,,10000,5,20,19,1017,94,,,,,,
"['07:00', '11/02']",11/02 07:00,VRB,1,,NIL,9999,,,NIL,,9000,5,20,19,1017,94,,,,,,
"['08:00', '11/02']",11/02 08:00,VRB,2,,NIL,9999,,,NIL,,10000,5,20,19,1016,94,,,,,,
"['09:00', '11/02']",11/02 09:00,270,2,,NIL,9999,,,NIL,,9000,5,20,19,1016,94,,,,,,
"['10:00', '11/02']",11/02 10:00,290,2,,NIL,9999,,,NIL,,10000,5,20,19,1017,94,,,,,,
"['11:00', '11/02']",11/02 11:00,290,3,,NIL,9999,,,NIL,,NIL,3,22,19,1018,83,,,,,,
"['12:00', '11/02']",11/02 12:00,20,3,,NIL,9999,,,NIL,,1600,5,23,19,1018,78,,,,,,
"['13:00', '11/02']",11/02 13:00,350,5,,NIL,9999,,,NIL,,2300,5,24,18,1018,69,,,,,,
"['14:00', '11/02']",11/02 14:00,340,8,,NIL,9999,,,NIL,,3000,5,25,18,1018,65,,,,,,
"['15:00', '11/02']",11/02 15:00,350,7,,NIL,9999,,,NIL,,3000,5,26,19,1018,65,,,,,,
"['16:00', '11/02']",11/02 16:00,30,11,,NIL,9999,,,NIL,,3000,5,26,20,1017,70,,,,,,
"['17:00', '11/02']",11/02 17:00,40,9,,NIL,9999,,,NIL,,3000,5,26,19,1016,65,,,,,,
"['18:00', '11/02']",11/02 18:00,360,10,,185,9999,,,NIL,,3000,5,26,19,1016,65,,,,,,
"['19:00', '11/02']",11/02 19:00,340,7,,NIL,9999,,,NIL,,9000,5,25,18,1015,65,,,,,,
"['20:00', '11/02']",11/02 20:00,40,10,,NIL,9999,,,NIL,,10000,5,26,19,1014,65,,,,,,
"['21:00', '11/02']",11/02 21:00,340,6,,NIL,9999,,,NIL,,10000,5,25,18,1015,65,,,,,,
"['22:00', '11/02']",11/02 22:00,340,5,,NIL,9999,,,NIL,,10000,5,24,18,1016,69,,,,,,
"['23:00', '11/02']",11/02 23:00,70,6,,NIL,9999,,,NIL,,10000,5,23,19,1016,78,,,,,,
