validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,nevoeiro,vis_setor,vis_setor_dir,nevoa_seca,chuvisco
"['01:00', '27/02']",27/02 01:00,140,2,NIL,9000,1,1,2000,8,26,24,1013,89,,,,,,,
"['02:00', '27/02']",27/02 02:00,VRB,2,NIL,9000,NIL,1,2000,8,26,25,1013,94,,,,,,,
"['08:50', '27/02']",27/02 08:50,360,5,NIL,6000,NIL,NIL,10000,5,24,24,1012,100,,,,,,,
"['09:00', '27/02']",27/02 09:00,20,5,NIL,6000,NIL,NIL,10000,5,24,24,1012,100,,,,,,,
"['10:00', '27/02']",27/02 10:00,10,4,NIL,7000,NIL,NIL,10000,5,25,24,1013,94,,,,,,,
"['11:00', '27/02']",27/02 11:00,20,4,NIL,7000,NIL,NIL,10000,5,25,24,1013,94,,,,,,,
"['12:00', '27/02']",27/02 12:00,10,5,NIL,8000,NIL,NIL,10000,5,26,24,1014,89,,,,,,,
"['13:00', '27/02']",27/02 13:00,20,4,NIL,8000,NIL,NIL,7000,5,26,24,1014,89,,,,,,,
"['14:00', '27/02']",27/02 14:00,50,4,NIL,9000,NIL,NIL,NIL,3,27,24,1014,84,,,,,,,
"['14:47', '27/02']",27/02 14:47,140,7,NIL,9000,NIL,NIL,NIL,3,29,24,1014,74,,,,,,,
"['15:00', '27/02']",27/02 15:00,150,7,NIL,9000,NIL,NIL,NIL,3,29,24,1014,74,,,,,,,
"['16:00', '27/02']",27/02 16:00,160,13,NIL,9000,NIL,NIL,NIL,3,28,25,1013,84,,,,,,,
"['17:00', '27/02']",27/02 17:00,150,13,NIL,9999,NIL,NIL,NIL,3,29,24,1013,74,,,,,,,
"['18:00', '27/02']",27/02 18:00,170,11,NIL,9999,NIL,NIL,NIL,3,29,24,1012,74,,,,,,,
"['19:00', '27/02']",27/02 19:00,170,12,NIL,9999,NIL,NIL,10000,5,28,24,1012,79,,,,,,,
"['20:00', '27/02']",27/02 20:00,180,11,NIL,9999,NIL,NIL,10000,5,27,24,1011,84,,,,,,,
"['21:00', '27/02']",27/02 21:00,190,9,NIL,9999,NIL,NIL,10000,5,28,24,1012,79,,,,,,,
"['22:00', '27/02']",27/02 22:00,340,4,NIL,9999,NIL,NIL,10000,5,27,24,1011,84,,,,,,,
"['23:00', '27/02']",27/02 23:00,150,3,150,9999,NIL,NIL,NIL,3,27,24,1012,84,,,,,,,
"['00:00', '28/02']",28/02 00:00,310,6,310,9999,NIL,NIL,NIL,3,27,24,1013,84,,,,,,,
"['01:00', '28/02']",28/02 01:00,10,4,205,9999,,,10000,5,26,25,1014,94,,,,,,,
"['02:00', '28/02']",28/02 02:00,70,5,NIL,9999,,,10000,5,26,25,1014,94,,,,,,,
"['08:50', '28/02']",28/02 08:50,60,4,NIL,9999,,,NIL,3,25,23,1013,89,,,,,,,
"['09:00', '28/02']",28/02 09:00,40,3,NIL,9999,,,NIL,3,25,23,1013,89,,,,,,,
"['10:00', '28/02']",28/02 10:00,330,3,320,9999,,,NIL,2,25,23,1014,89,,,,,,,
"['11:00', '28/02']",28/02 11:00,40,5,210,9999,,,NIL,2,27,23,1014,79,,,,,,,
"['12:00', '28/02']",28/02 12:00,30,1,NIL,9999,,,NIL,2,28,22,1015,70,,,,,,,
