validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,nevoeiro,vis_setor,vis_setor_dir,nevoa_seca,chuvisco
"['01:00', '01/01']",01/01 01:00,150,4,NIL,9999,1,1,10000,5,26,24,1012,89,,,,,,,
"['02:00', '01/01']",01/01 02:00,60,6,NIL,9999,NIL,1,NIL,3,26,23,1012,84,,,,,,,
"['08:50', '01/01']",01/01 08:50,50,4,NIL,9999,NIL,NIL,NIL,3,25,24,1011,94,,,,,,,
"['09:00', '01/01']",01/01 09:00,60,4,NIL,9999,NIL,NIL,NIL,3,25,24,1011,94,,,,,,,
"['10:00', '01/01']",01/01 10:00,10,1,NIL,9999,NIL,NIL,NIL,2,26,24,1011,89,,,,,,,
"['11:00', '01/01']",01/01 11:00,10,3,NIL,9000,NIL,NIL,NIL,2,27,25,1012,89,,,,,,,
"['12:00', '01/01']",01/01 12:00,10,4,NIL,9000,NIL,NIL,NIL,2,27,25,1012,89,,,,,,,
"['12:15', '01/01']",01/01 12:15,120,4,NIL,9000,NIL,NIL,NIL,2,28,25,1012,84,,,,,,,
"['13:00', '01/01']",01/01 13:00,150,6,NIL,9999,NIL,NIL,NIL,3,28,24,1012,79,,,,,,,
"['15:00', '01/01']",01/01 15:00,160,13,NIL,9999,NIL,NIL,NIL,3,27,24,1012,84,,,,,,,
"['16:00', '01/01']",01/01 16:00,150,12,NIL,9999,NIL,NIL,NIL,3,28,23,1012,74,,,,,,,
"['17:00', '01/01']",01/01 17:00,180,13,NIL,9999,NIL,NIL,10000,5,28,23,1012,74,,,,,,,
"['18:00', '01/01']",01/01 18:00,170,13,NIL,9999,NIL,NIL,10000,5,27,23,1012,79,,,,,,,
"['19:00', '01/01']",01/01 19:00,140,10,NIL,9999,NIL,NIL,10000,5,26,24,1012,89,,,,,,,
"['20:00', '01/01']",01/01 20:00,160,4,NIL,9999,NIL,NIL,10000,5,26,23,1012,84,,,,,,,
"['21:00', '01/01']",01/01 21:00,190,6,NIL,9999,NIL,NIL,10000,5,26,22,1012,79,,,,,,,
"['22:00', '01/01']",01/01 22:00,160,5,165,9000,1,NIL,10000,5,25,23,1013,89,,,,,,,
"['23:00', '01/01']",01/01 23:00,180,7,NIL,9000,1,NIL,10000,5,25,23,1013,89,,,,,,,
"['00:00', '02/01']",02/01 00:00,140,4,NIL,9999,NIL,NIL,10000,5,25,23,1013,89,,,,,,,
"['01:00', '02/01']",02/01 01:00,300,4,NIL,9999,NIL,NIL,10000,5,25,23,1014,89,NIL,,,,,,
"['02:00', '02/01']",02/01 02:00,VRB,2,NIL,9999,NIL,NIL,10000,5,25,23,1014,89,NIL,,,,,,
"['08:50', '02/01']",02/01 08:50,30,5,NIL,9999,NIL,NIL,10000,5,24,23,1012,94,NIL,,,,,,
"['09:00', '02/01']",02/01 09:00,50,5,NIL,9999,NIL,NIL,1700,5,24,23,1012,94,NIL,,,,,,
"['10:00', '02/01']",02/01 10:00,20,4,NIL,9999,NIL,NIL,10000,5,25,24,1012,94,NIL,,,,,,
"['11:00', '02/01']",02/01 11:00,10,3,NIL,9000,NIL,NIL,1700,5,26,24,1012,89,NIL,,,,,,
"['12:00', '02/01']",02/01 12:00,40,7,NIL,9000,NIL,NIL,2000,5,26,25,1012,94,NIL,,,,,,
"['13:00', '02/01']",02/01 13:00,140,7,NIL,9000,NIL,NIL,10000,5,27,24,1012,84,NIL,,,,,,
"['14:00', '02/01']",02/01 14:00,150,9,165,7000,NIL,1,2000,5,26,24,1012,89,NIL,,,,,,
"['15:00', '02/01']",02/01 15:00,170,3,NIL,7000,1,1,2300,5,25,23,1012,89,NIL,,,,,,
"['15:37', '02/01']",02/01 15:37,170,7,NIL,9999,NIL,1,2300,5,26,23,1012,84,NIL,,,,,,
"['16:00', '02/01']",02/01 16:00,160,6,NIL,9999,NIL,1,10000,5,26,23,1012,84,NIL,,,,,,
"['17:00', '02/01']",02/01 17:00,160,10,NIL,9000,NIL,NIL,2300,5,25,24,1011,94,NIL,,,,,,
"['18:00', '02/01']",02/01 18:00,170,8,NIL,9000,NIL,NIL,900,5,25,24,1011,94,NIL,,,,,,
"['18:40', '02/01']",02/01 18:40,180,11,NIL,4000,1,NIL,800,8,24,23,1011,94,1,,,,,,
"['19:00', '02/01']",02/01 19:00,180,11,NIL,4000,1,NIL,800,8,24,23,1011,94,1,,,,,,
"['20:00', '02/01']",02/01 20:00,160,18,NIL,4000,1,NIL,700,8,23,23,1011,100,1,,,,,,
"['21:00', '02/01']",02/01 21:00,160,14,NIL,4000,1,NIL,700,8,23,22,1012,94,1,,,,,,
"['21:54', '02/01']",02/01 21:54,160,13,NIL,3500,1,NIL,700,8,23,22,1012,94,1,,,,,,
"['22:00', '02/01']",02/01 22:00,160,12,NIL,3500,1,NIL,700,8,23,22,1012,94,1,,,,,,
"['22:37', '02/01']",02/01 22:37,140,13,NIL,4000,1,NIL,700,8,23,22,1012,94,1,,,,,,
"['23:00', '02/01']",02/01 23:00,170,8,NIL,3500,1,NIL,700,8,23,22,1012,94,1,,,,,,
"['00:00', '03/01']",03/01 00:00,150,6,NIL,3500,1,NIL,700,8,23,22,1012,94,1,,,,,,
"['01:00', '03/01']",03/01 01:00,150,11,NIL,4000,1,,800,8,23,22,1012,94,1,,,,,,
"['02:00', '03/01']",03/01 02:00,170,8,NIL,4000,1,,900,8,23,23,1012,100,1,,,,,,
"['08:50', '03/01']",03/01 08:50,230,3,225,9000,NIL,,900,8,23,22,1011,94,NIL,,,,,,
"['09:00', '03/01']",03/01 09:00,270,3,NIL,9000,NIL,,900,8,23,22,1011,94,NIL,,,,,,
"['09:25', '03/01']",03/01 09:25,320,7,NIL,9000,NIL,,10000,8,22,22,1011,100,NIL,,,,,,
"['10:00', '03/01']",03/01 10:00,310,8,NIL,8000,NIL,,1000,8,22,22,1011,100,NIL,,,,,,
"['11:00', '03/01']",03/01 11:00,290,5,285,9999,NIL,,1400,5,23,21,1012,89,NIL,,,,,,
"['12:00', '03/01']",03/01 12:00,230,4,235,9999,NIL,,1300,5,24,22,1012,89,NIL,,,,,,
"['13:00', '03/01']",03/01 13:00,150,6,NIL,9999,NIL,,10000,5,24,23,1012,94,NIL,,,,,,
"['14:00', '03/01']",03/01 14:00,170,8,NIL,9999,NIL,,3500,5,25,23,1012,89,NIL,,,,,,
"['15:00', '03/01']",03/01 15:00,190,9,190,9999,NIL,,2000,5,26,22,1012,79,NIL,,,,,,
"['16:00', '03/01']",03/01 16:00,170,10,NIL,9999,NIL,,5000,5,26,23,1011,84,NIL,,,,,,
"['17:00', '03/01']",03/01 17:00,170,12,NIL,9999,NIL,,6000,5,27,22,1011,74,NIL,,,,,,
"['18:00', '03/01']",03/01 18:00,170,11,NIL,9999,NIL,,4000,5,26,22,1011,79,NIL,,,,,,
"['19:00', '03/01']",03/01 19:00,170,10,NIL,9999,NIL,,4000,5,26,22,1010,79,NIL,,,,,,
"['20:00', '03/01']",03/01 20:00,170,9,NIL,9999,NIL,,4000,5,25,23,1010,89,NIL,,,,,,
"['21:00', '03/01']",03/01 21:00,170,10,NIL,9999,NIL,,4000,5,25,22,1011,83,NIL,,,,,,
"['22:00', '03/01']",03/01 22:00,150,6,150,9999,NIL,,4000,5,24,22,1012,89,NIL,,,,,,
"['23:00', '03/01']",03/01 23:00,150,5,NIL,9999,NIL,,4000,5,24,23,1012,94,NIL,,,,,,
"['00:00', '04/01']",04/01 00:00,150,3,NIL,9999,NIL,,NIL,3,24,23,1012,94,NIL,,,,,,
"['01:00', '04/01']",04/01 01:00,140,2,NIL,9999,,,10000,5,24,22,1013,89,,,,,,,
"['02:00', '04/01']",04/01 02:00,40,2,NIL,9999,,,10000,5,24,23,1012,94,,,,,,,
"['08:50', '04/01']",04/01 08:50,200,3,NIL,9999,,,10000,5,24,22,1011,89,,,,,,,
"['09:00', '04/01']",04/01 09:00,230,3,225,9999,,,10000,5,24,22,1011,89,,,,,,,
"['10:00', '04/01']",04/01 10:00,310,5,325,9999,,,10000,5,24,22,1011,89,,,,,,,
"['11:00', '04/01']",04/01 11:00,310,7,NIL,9999,,,NIL,2,25,23,1012,89,,,,,,,
"['12:00', '04/01']",04/01 12:00,20,6,NIL,9999,,,NIL,2,26,23,1012,84,,,,,,,
"['13:00', '04/01']",04/01 13:00,40,4,NIL,9999,,,NIL,3,27,23,1011,79,,,,,,,
"['13:35', '04/01']",04/01 13:35,140,8,NIL,9999,,,NIL,3,27,24,1011,84,,,,,,,
"['14:00', '04/01']",04/01 14:00,140,10,NIL,9999,,,NIL,3,27,23,1011,79,,,,,,,
"['15:00', '04/01']",04/01 15:00,160,11,NIL,9999,,,NIL,2,27,23,1010,79,,,,,,,
"['16:00', '04/01']",04/01 16:00,160,13,NIL,9999,,,NIL,2,27,23,1010,79,,,,,,,
"['17:00', '04/01']",04/01 17:00,160,14,NIL,9999,,,NIL,2,27,23,1010,79,,,,,,,
"['18:00', '04/01']",04/01 18:00,160,15,NIL,9999,,,NIL,2,27,23,1010,79,,,,,,,
"['19:00', '04/01']",04/01 19:00,160,14,NIL,9999,,,NIL,2,27,23,1010,79,,,,,,,
"['20:00', '04/01']",04/01 20:00,160,12,NIL,9999,,,NIL,2,26,23,1010,84,,,,,,,
"['21:00', '04/01']",04/01 21:00,170,12,NIL,9999,,,NIL,3,25,23,1011,89,,,,,,,
"['22:00', '04/01']",04/01 22:00,160,12,NIL,9999,,,5000,5,25,23,1012,89,,,,,,,
"['23:00', '04/01']",04/01 23:00,170,8,NIL,9999,,,4000,5,25,23,1012,89,,,,,,,
"['00:00', '05/01']",05/01 00:00,140,8,NIL,9999,,,4000,5,25,23,1012,89,,,,,,,
"['01:00', '05/01']",05/01 01:00,130,4,,9999,,,4000,5,25,23,1013,89,,,,,,,
"['02:00', '05/01']",05/01 02:00,40,2,,9999,,,4000,5,25,23,1013,89,,,,,,,
"['08:50', '05/01']",05/01 08:50,30,5,,9999,,,NIL,3,24,23,1012,94,,,,,,,
"['09:00', '05/01']",05/01 09:00,30,4,,9999,,,NIL,3,24,23,1012,94,,,,,,,
"['10:00', '05/01']",05/01 10:00,360,3,,9999,,,NIL,2,24,23,1012,94,,,,,,,
"['11:00', '05/01']",05/01 11:00,360,5,,9999,,,NIL,NIL,25,23,1012,89,,,,,,,
"['12:00', '05/01']",05/01 12:00,330,5,,9999,,,NIL,NIL,26,23,1012,84,,,,,,,
"['13:00', '05/01']",05/01 13:00,350,3,,9999,,,NIL,NIL,28,23,1012,74,,,,,,,
"['14:00', '05/01']",05/01 14:00,140,9,,9999,,,NIL,NIL,28,24,1012,79,,,,,,,
"['15:00', '05/01']",05/01 15:00,160,13,,9999,,,NIL,2,27,25,1011,89,,,,,,,
"['16:00', '05/01']",05/01 16:00,160,13,,9999,,,NIL,2,27,24,1011,84,,,,,,,
"['17:00', '05/01']",05/01 17:00,160,13,,9999,,,NIL,2,28,25,1011,84,,,,,,,
"['18:00', '05/01']",05/01 18:00,170,14,,9999,,,NIL,2,28,24,1010,79,,,,,,,
"['19:00', '05/01']",05/01 19:00,170,12,,9999,,,NIL,2,27,23,1009,79,,,,,,,
"['20:00', '05/01']",05/01 20:00,170,12,,9999,,,NIL,3,27,24,1010,84,,,,,,,
"['21:00', '05/01']",05/01 21:00,180,10,,9999,,,NIL,3,27,24,1009,84,,,,,,,
"['22:00', '05/01']",05/01 22:00,190,10,,9999,,,NIL,NIL,27,24,1010,84,,,,,,,
"['23:00', '05/01']",05/01 23:00,180,7,,9999,,,NIL,NIL,27,24,1010,84,,,,,,,
"['00:00', '06/01']",06/01 00:00,160,6,,9999,,,NIL,NIL,26,25,1010,94,,,,,,,
"['01:00', '06/01']",06/01 01:00,170,5,,9999,,,,NIL,26,25,1011,94,,,,,,,
"['02:00', '06/01']",06/01 02:00,140,4,,9999,,,,NIL,25,25,1011,100,,,,,,,
"['08:50', '06/01']",06/01 08:50,350,5,,9999,,,,NIL,25,23,1010,89,,,,,,,
"['09:00', '06/01']",06/01 09:00,350,4,,9999,,,,NIL,25,23,1010,89,,,,,,,
"['10:00', '06/01']",06/01 10:00,360,5,,9999,,,,NIL,27,23,1011,79,,,,,,,
"['11:00', '06/01']",06/01 11:00,10,3,,9999,,,,NIL,28,24,1011,79,,,,,,,
"['12:00', '06/01']",06/01 12:00,340,6,,9999,,,,NIL,28,25,1011,84,,,,,,,
"['13:00', '06/01']",06/01 13:00,10,5,,9999,,,,NIL,30,26,1011,79,,,,,,,
"['14:00', '06/01']",06/01 14:00,360,5,,9999,,,,2,32,26,1010,71,,,,,,,
"['15:00', '06/01']",06/01 15:00,150,8,,9999,,,,2,30,26,1009,79,,,,,,,
"['16:00', '06/01']",06/01 16:00,150,13,,9999,,,,2,29,26,1009,84,,,,,,,
"['17:00', '06/01']",06/01 17:00,160,13,,9999,,,,2,30,25,1008,75,,,,,,,
"['18:00', '06/01']",06/01 18:00,160,14,,9999,,,,2,29,24,1008,74,,,,,,,
"['19:00', '06/01']",06/01 19:00,180,12,,9999,,,,3,30,24,1008,70,,,,,,,
"['20:00', '06/01']",06/01 20:00,170,8,,9999,,,,3,30,24,1008,70,,,,,,,
"['20:25', '06/01']",06/01 20:25,330,6,,9999,,,,3,30,24,1009,70,,,,,,,
"['21:00', '06/01']",06/01 21:00,310,13,,9999,,,,3,29,24,1009,74,,,,,,,
"['22:00', '06/01']",06/01 22:00,310,9,,9999,,,,3,29,23,1009,70,,,,,,,
"['23:00', '06/01']",06/01 23:00,310,9,,9999,,,,NIL,28,23,1009,74,,,,,,,
"['00:00', '07/01']",07/01 00:00,360,7,,9999,,,,NIL,27,25,1010,89,,,,,,,
"['01:00', '07/01']",07/01 01:00,350,10,NIL,9999,,,NIL,NIL,27,24,1010,84,,,,,,,
"['02:00', '07/01']",07/01 02:00,350,8,NIL,9999,,,NIL,NIL,27,25,1010,89,,,,,,,
"['08:50', '07/01']",07/01 08:50,350,6,NIL,9999,,,NIL,NIL,25,24,1009,94,,,,,,,
"['09:00', '07/01']",07/01 09:00,360,6,NIL,9999,,,NIL,NIL,25,24,1009,94,,,,,,,
"['10:00', '07/01']",07/01 10:00,10,5,NIL,9999,,,NIL,NIL,26,24,1009,89,,,,,,,
"['11:00', '07/01']",07/01 11:00,360,7,NIL,9999,,,NIL,NIL,27,24,1009,84,,,,,,,
"['12:00', '07/01']",07/01 12:00,340,6,NIL,9999,,,NIL,NIL,28,24,1009,79,,,,,,,
"['13:00', '07/01']",07/01 13:00,360,6,NIL,9999,,,NIL,NIL,30,24,1009,70,,,,,,,
"['14:00', '07/01']",07/01 14:00,340,5,NIL,9999,,,NIL,NIL,31,26,1009,75,,,,,,,
"['15:00', '07/01']",07/01 15:00,110,4,100,9999,,,NIL,2,32,25,1009,67,,,,,,,
"['16:00', '07/01']",07/01 16:00,150,12,NIL,9999,,,NIL,2,31,25,1008,71,,,,,,,
"['17:00', '07/01']",07/01 17:00,150,15,NIL,9999,,,NIL,2,31,25,1008,71,,,,,,,
"['18:00', '07/01']",07/01 18:00,160,14,NIL,9999,,,NIL,3,30,26,1007,79,,,,,,,
"['19:00', '07/01']",07/01 19:00,160,14,NIL,9999,,,NIL,2,30,25,1007,75,,,,,,,
"['21:00', '07/01']",07/01 21:00,160,8,NIL,9999,,,NIL,2,29,23,1008,70,,,,,,,
"['22:00', '07/01']",07/01 22:00,170,6,NIL,9999,,,NIL,3,29,23,1008,70,,,,,,,
"['23:00', '07/01']",07/01 23:00,180,4,NIL,9999,,,10000,5,29,24,1009,74,,,,,,,
"['00:00', '08/01']",08/01 00:00,VRB,2,NIL,9999,,,10000,5,30,24,1009,70,,,,,,,
"['01:00', '08/01']",08/01 01:00,0,0,NIL,9999,,,10000,5,29,23,1009,70,,NIL,,,,,
"['02:00', '08/01']",08/01 02:00,360,3,155,9999,,,10000,5,29,24,1009,74,,NIL,,,,,
"['08:50', '08/01']",08/01 08:50,260,7,NIL,9999,,,NIL,NIL,29,22,1008,66,,NIL,,,,,
"['09:00', '08/01']",08/01 09:00,260,8,NIL,9999,,,NIL,NIL,29,22,1008,66,,NIL,,,,,
"['10:00', '08/01']",08/01 10:00,310,7,NIL,9999,,,NIL,NIL,30,22,1008,62,,NIL,,,,,
"['11:00', '08/01']",08/01 11:00,20,7,NIL,9999,,,NIL,NIL,29,25,1009,79,,NIL,,,,,
"['12:00', '08/01']",08/01 12:00,20,6,NIL,9999,,,NIL,2,30,25,1009,75,,NIL,,,,,
"['13:00', '08/01']",08/01 13:00,70,4,70,9999,,,NIL,2,31,27,1010,79,,NIL,,,,,
"['13:20', '08/01']",08/01 13:20,170,10,190,9999,,,NIL,2,32,24,1009,63,,NIL,,,,,
"['14:00', '08/01']",08/01 14:00,170,15,NIL,9999,,,NIL,2,32,22,1009,56,,NIL,,,,,
"['15:00', '08/01']",08/01 15:00,170,14,NIL,9999,,,NIL,2,32,24,1009,63,,NIL,,,,,
"['16:00', '08/01']",08/01 16:00,190,16,NIL,9999,,,NIL,3,33,24,1009,59,,NIL,,,,,
"['17:00', '08/01']",08/01 17:00,200,17,NIL,9999,,,NIL,3,33,24,1008,59,,NIL,,,,,
"['17:45', '08/01']",08/01 17:45,190,15,NIL,9999,,,NIL,3,32,24,1008,63,,25,,,,,
"['18:00', '08/01']",08/01 18:00,190,15,NIL,9999,,,NIL,3,32,24,1008,63,,NIL,,,,,
"['19:00', '08/01']",08/01 19:00,190,13,NIL,9999,,,NIL,3,30,24,1008,70,,NIL,,,,,
"['20:00', '08/01']",08/01 20:00,180,14,NIL,9999,,,NIL,3,29,24,1008,74,,NIL,,,,,
"['21:00', '08/01']",08/01 21:00,180,10,NIL,9999,,,7000,5,29,24,1009,74,,NIL,,,,,
"['22:00', '08/01']",08/01 22:00,170,8,NIL,9999,,,7000,5,27,25,1010,89,,NIL,,,,,
"['23:00', '08/01']",08/01 23:00,150,5,NIL,9999,,,7000,5,27,25,1010,89,,NIL,,,,,
"['00:00', '09/01']",09/01 00:00,100,4,NIL,9999,,,8000,5,27,25,1011,89,,NIL,,,,,
"['01:00', '09/01']",09/01 01:00,330,7,320,9999,,,9000,5,26,25,1011,94,,,,,,,
"['02:00', '09/01']",09/01 02:00,310,6,305,9999,,,10000,5,26,25,1011,94,,,,,,,
"['08:50', '09/01']",09/01 08:50,30,4,NIL,9999,,,10000,5,28,25,1010,84,,,,,,,
"['09:00', '09/01']",09/01 09:00,30,5,NIL,9999,,,10000,5,26,25,1010,94,,,,,,,
"['10:00', '09/01']",09/01 10:00,50,3,NIL,9999,,,NIL,3,26,25,1011,94,,,,,,,
"['10:30', '09/01']",09/01 10:30,40,3,NIL,9999,,,1000,5,26,25,1011,94,,,,,,,
"['11:00', '09/01']",09/01 11:00,30,3,NIL,9999,,,NIL,3,27,25,1011,89,,,,,,,
"['12:00', '09/01']",09/01 12:00,20,4,NIL,9999,,,NIL,3,28,25,1011,84,,,,,,,
"['13:00', '09/01']",09/01 13:00,70,3,75,9999,,,NIL,3,29,25,1011,79,,,,,,,
"['14:00', '09/01']",09/01 14:00,150,8,NIL,9999,,,NIL,3,30,26,1010,79,,,,,,,
"['15:00', '09/01']",09/01 15:00,150,11,NIL,9999,,,NIL,3,30,26,1010,79,,,,,,,
"['16:00', '09/01']",09/01 16:00,170,11,NIL,9999,,,NIL,3,30,25,1009,75,,,,,,,
"['17:00', '09/01']",09/01 17:00,170,14,NIL,9999,,,NIL,3,30,25,1009,75,,,,,,,
"['18:00', '09/01']",09/01 18:00,160,12,NIL,9999,,,NIL,3,29,25,1009,79,,,,,,,
"['19:00', '09/01']",09/01 19:00,170,10,NIL,9999,,,6000,5,29,26,1009,84,,,,,,,
"['20:00', '09/01']",09/01 20:00,160,10,NIL,9999,,,6000,5,28,26,1009,89,,,,,,,
"['21:00', '09/01']",09/01 21:00,140,7,NIL,9999,,,4000,5,28,26,1010,89,,,,,,,
"['22:00', '09/01']",09/01 22:00,150,6,NIL,9999,,,5000,5,28,25,1010,84,,,,,,,
"['22:35', '09/01']",09/01 22:35,350,5,165,9999,,,5000,5,27,26,1010,94,,,,,,,
"['23:00', '09/01']",09/01 23:00,350,5,NIL,9999,,,NIL,3,27,25,1010,89,,,,,,,
"['00:00', '10/01']",10/01 00:00,30,5,NIL,9999,,,4000,5,27,25,1011,89,,,,,,,
"['01:00', '10/01']",10/01 01:00,20,3,,9999,,NIL,6000,5,27,25,1011,89,,,,,,,
"['02:00', '10/01']",10/01 02:00,30,3,,9999,,NIL,6000,5,27,25,1011,89,,,,,,,
"['08:50', '10/01']",10/01 08:50,330,8,,9999,,NIL,1000,5,26,25,1011,94,,,,,,,
"['09:00', '10/01']",10/01 09:00,330,6,,9999,,NIL,1000,5,26,25,1011,94,,,,,,,
"['10:00', '10/01']",10/01 10:00,350,3,,9999,,NIL,8000,5,27,25,1011,89,,,,,,,
"['11:00', '10/01']",10/01 11:00,360,4,,9999,,NIL,8000,5,27,25,1011,89,,,,,,,
"['12:00', '10/01']",10/01 12:00,10,5,,9999,,NIL,NIL,2,28,26,1011,89,,,,,,,
"['13:00', '10/01']",10/01 13:00,360,5,,9999,,NIL,NIL,2,29,26,1011,84,,,,,,,
"['14:00', '10/01']",10/01 14:00,140,5,,9999,,NIL,NIL,2,30,26,1011,79,,,,,,,
"['15:00', '10/01']",10/01 15:00,150,7,,9999,,NIL,NIL,2,30,26,1010,79,,,,,,,
"['16:00', '10/01']",10/01 16:00,160,10,,9999,,NIL,NIL,2,30,26,1010,79,,,,,,,
"['17:00', '10/01']",10/01 17:00,160,14,,9999,,NIL,NIL,2,30,26,1009,79,,,,,,,
"['18:00', '10/01']",10/01 18:00,160,13,,9999,,NIL,NIL,2,30,26,1008,79,,,,,,,
"['19:00', '10/01']",10/01 19:00,160,14,,9999,,NIL,NIL,2,30,26,1008,79,,,,,,,
"['20:00', '10/01']",10/01 20:00,170,14,,9999,,NIL,NIL,2,29,26,1008,84,,,,,,,
"['20:35', '10/01']",10/01 20:35,170,13,,9999,,1,NIL,3,29,25,1009,79,,,,,,,
"['21:00', '10/01']",10/01 21:00,180,13,,9999,,1,NIL,3,28,25,1009,84,,,,,,,
"['22:00', '10/01']",10/01 22:00,340,10,,9999,,1,3000,5,29,26,1010,84,,,,,,,
"['23:00', '10/01']",10/01 23:00,330,10,,9999,,1,2500,5,27,26,1011,94,,,,,,,
"['00:00', '11/01']",11/01 00:00,350,6,,9999,,NIL,5000,5,27,25,1011,89,,,,,,,
"['01:00', '11/01']",11/01 01:00,30,5,NIL,9999,NIL,,5000,5,27,26,1011,94,,,,,,,
"['02:00', '11/01']",11/01 02:00,110,6,110,9999,1,,5000,5,27,25,1012,89,,,,,,,
"['08:50', '11/01']",11/01 08:50,0,0,NIL,9999,NIL,,1300,5,26,24,1010,89,,,,,,,
"['09:00', '11/01']",11/01 09:00,0,0,NIL,9999,NIL,,1200,5,26,24,1010,89,,,,,,,
"['10:00', '11/01']",11/01 10:00,110,5,NIL,9999,NIL,,1200,5,26,24,1011,89,,,,,,,
"['11:00', '11/01']",11/01 11:00,120,7,NIL,9999,NIL,,2000,5,27,24,1012,84,,,,,,,
"['12:00', '11/01']",11/01 12:00,VRB,2,NIL,9999,NIL,,10000,5,28,24,1012,79,,,,,,,
"['13:00', '11/01']",11/01 13:00,330,3,NIL,9999,NIL,,10000,5,28,25,1011,84,,,,,,,
"['14:00', '11/01']",11/01 14:00,300,3,225,9999,NIL,,10000,5,29,25,1011,79,,,,,,,
"['15:00', '11/01']",11/01 15:00,160,9,NIL,9999,NIL,,NIL,3,29,25,1011,79,,,,,,,
"['16:00', '11/01']",11/01 16:00,160,12,NIL,9999,NIL,,NIL,3,29,25,1010,79,,,,,,,
"['17:00', '11/01']",11/01 17:00,160,12,NIL,9999,NIL,,NIL,3,29,25,1010,79,,,,,,,
"['18:00', '11/01']",11/01 18:00,170,11,NIL,9999,NIL,,NIL,2,29,24,1010,74,,,,,,,
"['19:00', '11/01']",11/01 19:00,170,12,NIL,9999,NIL,,NIL,2,30,24,1009,70,,,,,,,
"['20:00', '11/01']",11/01 20:00,170,11,NIL,9999,NIL,,NIL,2,30,24,1009,70,,,,,,,
"['21:00', '11/01']",11/01 21:00,180,10,NIL,9999,NIL,,NIL,2,30,24,1008,70,,,,,,,
"['22:00', '11/01']",11/01 22:00,170,7,NIL,9999,NIL,,NIL,2,28,24,1009,79,,,,,,,
"['23:00', '11/01']",11/01 23:00,160,2,NIL,9999,NIL,,NIL,NIL,28,24,1009,79,,,,,,,
"['00:00', '12/01']",12/01 00:00,70,9,NIL,9999,NIL,,NIL,3,29,23,1010,70,,,,,,,
"['01:00', '12/01']",12/01 01:00,70,8,NIL,9999,,,NIL,3,28,23,1010,74,,,,,,,
"['02:00', '12/01']",12/01 02:00,340,9,NIL,9999,,,5000,5,28,23,1011,74,,,,,,,
"['08:50', '12/01']",12/01 08:50,10,4,NIL,9999,,,NIL,NIL,26,23,1010,84,,,,,,,
"['09:00', '12/01']",12/01 09:00,10,3,NIL,9999,,,NIL,NIL,26,23,1010,84,,,,,,,
"['10:00', '12/01']",12/01 10:00,30,5,NIL,9999,,,NIL,2,27,23,1011,79,,,,,,,
"['11:00', '12/01']",12/01 11:00,360,4,175,9999,,,NIL,2,28,23,1011,74,,,,,,,
"['12:00', '12/01']",12/01 12:00,350,6,NIL,9999,,,NIL,2,28,24,1011,79,,,,,,,
"['13:00', '12/01']",12/01 13:00,340,4,160,9999,,,NIL,2,30,24,1011,70,,,,,,,
"['14:00', '12/01']",12/01 14:00,350,5,165,9999,,,NIL,2,31,24,1011,66,,,,,,,
"['15:00', '12/01']",12/01 15:00,140,10,NIL,9999,,,NIL,2,31,25,1010,71,,,,,,,
"['16:00', '12/01']",12/01 16:00,160,14,NIL,9999,,,NIL,2,29,24,1010,74,,,,,,,
"['17:00', '12/01']",12/01 17:00,160,11,NIL,9999,,,NIL,2,32,23,1009,59,,,,,,,
"['18:00', '12/01']",12/01 18:00,160,13,NIL,9999,,,NIL,2,29,24,1008,74,,,,,,,
"['19:00', '12/01']",12/01 19:00,160,11,NIL,9999,,,NIL,2,30,24,1007,70,,,,,,,
"['20:00', '12/01']",12/01 20:00,190,11,NIL,9999,,,NIL,2,31,23,1007,63,,,,,,,
"['21:00', '12/01']",12/01 21:00,180,10,NIL,9999,,,NIL,2,30,23,1008,66,,,,,,,
"['22:00', '12/01']",12/01 22:00,180,9,NIL,9999,,,NIL,3,29,23,1008,70,,,,,,,
"['23:00', '12/01']",12/01 23:00,190,4,NIL,9999,,,NIL,3,28,23,1009,74,,,,,,,
"['00:00', '13/01']",13/01 00:00,310,5,310,9999,,,NIL,3,29,25,1010,79,,,,,,,
"['01:00', '13/01']",13/01 01:00,330,7,,9999,,,NIL,3,28,25,1010,84,,,,,,,
"['02:00', '13/01']",13/01 02:00,50,6,,9999,,,NIL,3,28,24,1010,79,,,,,,,
"['08:50', '13/01']",13/01 08:50,40,4,,9999,,,4000,5,26,23,1011,84,,,,,,,
"['09:00', '13/01']",13/01 09:00,50,3,,9999,,,4000,5,26,23,1011,84,,,,,,,
"['10:00', '13/01']",13/01 10:00,60,3,,9999,,,1800,5,27,23,1011,79,,,,,,,
"['11:00', '13/01']",13/01 11:00,VRB,2,,9999,,,2000,5,27,23,1012,79,,,,,,,
"['12:00', '13/01']",13/01 12:00,120,5,,9999,,,NIL,3,29,23,1012,70,,,,,,,
"['13:00', '13/01']",13/01 13:00,150,5,,9999,,,NIL,3,29,24,1012,74,,,,,,,
"['14:00', '13/01']",13/01 14:00,150,8,,9999,,,NIL,3,29,25,1012,79,,,,,,,
