validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuva,nevoa_umida,trovoada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro,chuvisco,pancada
"['01:00', '03/01']",03/01 01:00,120,9,NIL,9999,,NIL,22,16,1015,69,NIL,,,,,,,,,
"['02:00', '03/01']",03/01 02:00,130,7,NIL,9999,,NIL,21,15,1015,69,NIL,,,,,,,,,
"['03:00', '03/01']",03/01 03:00,130,6,NIL,9999,,NIL,21,15,1015,69,NIL,,,,,,,,,
"['04:00', '03/01']",03/01 04:00,140,6,NIL,9999,,NIL,21,16,1014,73,NIL,,,,,,,,,
"['05:00', '03/01']",03/01 05:00,130,6,NIL,9999,,NIL,21,16,1013,73,NIL,,,,,,,,,
"['06:00', '03/01']",03/01 06:00,60,4,NIL,9999,,NIL,19,16,1013,83,NIL,,,,,,,,,
"['07:00', '03/01']",03/01 07:00,40,3,NIL,9999,,NIL,19,17,1013,88,NIL,,,,,,,,,
"['08:00', '03/01']",03/01 08:00,VRB,2,NIL,9999,,NIL,18,18,1013,100,NIL,,,,,,,,,
"['09:00', '03/01']",03/01 09:00,0,0,NIL,9999,,NIL,18,18,1014,100,NIL,,,,,,,,,
"['10:00', '03/01']",03/01 10:00,100,5,NIL,9999,,NIL,22,17,1014,73,NIL,,,,,,,,,
"['11:00', '03/01']",03/01 11:00,70,7,75,9999,,NIL,23,17,1015,69,NIL,,,,,,,,,
"['12:00', '03/01']",03/01 12:00,110,7,115,9999,,NIL,25,16,1015,57,NIL,,,,,,,,,
"['13:00', '03/01']",03/01 13:00,110,6,110,9999,,2,26,15,1014,51,NIL,,,,,,,,,
"['14:00', '03/01']",03/01 14:00,70,7,65,9999,,3,28,16,1014,48,NIL,,,,,,,,,
"['15:00', '03/01']",03/01 15:00,80,8,85,9999,,3,29,15,1013,43,NIL,,,,,,,,,
"['16:00', '03/01']",03/01 16:00,120,7,105,9999,,3,30,15,1013,40,NIL,,,,,,,,,
"['17:00', '03/01']",03/01 17:00,VRB,8,NIL,9999,,3,30,14,1012,38,NIL,,,,,,,,,
"['18:00', '03/01']",03/01 18:00,120,11,125,9999,,3,31,17,1011,43,NIL,,,,,,,,,
"['19:00', '03/01']",03/01 19:00,110,15,NIL,9999,,3,30,17,1011,46,NIL,,,,,,,,,
