validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vnt_vrb,nevoa_umida,chuvisco,pancada,nevoeiro
"['17:00', '02/06']",02/06 17:00,310,6,9999,,,,,3300,5,31,24,1010,66,,,,,,
"['18:00', '02/06']",02/06 18:00,340,5,9999,,,,,3000,5,29,24,1009,74,,,,,,
"['19:00', '02/06']",02/06 19:00,340,5,9999,,,,,NIL,3,30,25,1008,75,,,,,,
"['20:00', '02/06']",02/06 20:00,360,9,9999,,,,,NIL,3,29,25,1008,79,,,,,,
"['21:00', '02/06']",02/06 21:00,20,6,9999,,,,,NIL,3,29,24,1009,74,,,,,,
"['22:00', '02/06']",02/06 22:00,40,8,9999,,,,,NIL,3,28,25,1010,84,,,,,,
"['23:00', '02/06']",02/06 23:00,70,8,9999,,,,,NIL,3,27,24,1011,84,,,,,,
"['00:00', '03/06']",03/06 00:00,60,6,9999,,,,,NIL,3,26,23,1012,84,,,,,,
"['01:00', '03/06']",03/06 01:00,80,6,9999,,,NIL,NIL,NIL,3,26,23,1012,84,NIL,NIL,,,,
"['02:00', '03/06']",03/06 02:00,80,10,9999,,,NIL,NIL,10000,5,27,24,1013,84,NIL,NIL,,,,
"['03:00', '03/06']",03/06 03:00,100,7,9999,,,NIL,NIL,10000,5,25,24,1013,94,NIL,NIL,,,,
"['04:00', '03/06']",03/06 04:00,110,5,9999,,,NIL,NIL,NIL,NIL,25,23,1012,89,NIL,NIL,,,,
"['05:00', '03/06']",03/06 05:00,110,5,9999,,,NIL,NIL,10000,5,25,23,1012,89,NIL,NIL,,,,
"['06:00', '03/06']",03/06 06:00,100,4,9999,,,NIL,NIL,NIL,NIL,25,23,1011,89,NIL,NIL,,,,
"['07:00', '03/06']",03/06 07:00,110,3,9999,,,NIL,NIL,NIL,NIL,25,23,1011,89,NIL,NIL,,,,
"['08:00', '03/06']",03/06 08:00,120,3,9999,,,NIL,NIL,NIL,NIL,25,23,1011,89,NIL,NIL,,,,
"['09:00', '03/06']",03/06 09:00,120,4,9999,,,NIL,NIL,NIL,NIL,25,23,1012,89,NIL,NIL,,,,
"['10:00', '03/06']",03/06 10:00,110,5,9999,,,NIL,NIL,NIL,NIL,25,24,1012,94,NIL,NIL,,,,
"['11:00', '03/06']",03/06 11:00,100,5,9999,,,NIL,NIL,NIL,NIL,26,24,1013,89,NIL,NIL,,,,
"['12:00', '03/06']",03/06 12:00,70,9,9999,,,NIL,NIL,NIL,NIL,29,25,1013,79,NIL,NIL,,,,
"['13:00', '03/06']",03/06 13:00,80,8,9999,,,NIL,NIL,NIL,3,30,24,1014,70,NIL,85,,,,
"['14:00', '03/06']",03/06 14:00,50,8,9999,,,NIL,NIL,2700,5,31,24,1013,66,NIL,55,,,,
"['15:00', '03/06']",03/06 15:00,90,5,9999,,,NIL,NIL,3200,5,31,24,1013,66,NIL,90,,,,
"['16:00', '03/06']",03/06 16:00,110,8,9999,,,NIL,NIL,3500,5,32,24,1012,63,NIL,110,,,,
"['17:00', '03/06']",03/06 17:00,330,7,9999,,,NIL,NIL,3400,5,29,26,1010,84,NIL,NIL,,,,
"['18:00', '03/06']",03/06 18:00,10,8,9999,,,NIL,NIL,1900,5,27,25,1010,89,NIL,NIL,,,,
"['18:42', '03/06']",03/06 18:42,60,15,2500,,,1,1,2700,5,26,24,1010,89,NIL,NIL,,,,
"['19:00', '03/06']",03/06 19:00,80,15,5000,,,1,1,1100,5,24,24,1011,100,NIL,NIL,,,,
"['19:22', '03/06']",03/06 19:22,60,3,9999,,,1,1,2000,5,24,24,1010,100,NIL,NIL,,,,
"['20:00', '03/06']",03/06 20:00,100,3,9999,,,NIL,NIL,8000,5,25,24,1010,94,NIL,NIL,,,,
"['21:00', '03/06']",03/06 21:00,90,3,9999,,,NIL,NIL,9000,5,26,24,1011,89,NIL,NIL,,,,
"['21:28', '03/06']",03/06 21:28,150,11,1700,,,1,NIL,1300,5,24,23,1012,94,22,NIL,,,,
"['22:00', '03/06']",03/06 22:00,130,9,4500,,,1,NIL,800,5,24,23,1012,94,NIL,NIL,,,,
"['22:25', '03/06']",03/06 22:25,100,6,9999,,,1,NIL,2500,5,24,23,1012,94,NIL,NIL,,,,
"['23:00', '03/06']",03/06 23:00,120,5,9999,,,NIL,NIL,9000,5,24,24,1012,100,NIL,NIL,,,,
"['00:00', '04/06']",04/06 00:00,140,4,9999,,,NIL,NIL,NIL,3,25,24,1013,94,NIL,NIL,,,,
"['01:00', '04/06']",04/06 01:00,150,4,9999,NIL,NIL,NIL,,NIL,3,24,24,1013,100,,NIL,,,,
"['02:00', '04/06']",04/06 02:00,120,3,9999,NIL,NIL,NIL,,NIL,3,24,23,1013,94,,NIL,,,,
"['03:00', '04/06']",04/06 03:00,120,5,9999,NIL,NIL,NIL,,NIL,3,24,23,1013,94,,NIL,,,,
"['04:00', '04/06']",04/06 04:00,110,3,9999,NIL,NIL,NIL,,NIL,NIL,24,23,1013,94,,NIL,,,,
"['05:00', '04/06']",04/06 05:00,150,2,9999,NIL,NIL,NIL,,NIL,3,24,23,1012,94,,NIL,,,,
"['06:00', '04/06']",04/06 06:00,100,2,8000,NIL,NIL,NIL,,NIL,3,24,23,1011,94,,NIL,,,,
"['07:00', '04/06']",04/06 07:00,100,2,8000,NIL,NIL,NIL,,NIL,3,24,23,1011,94,,NIL,,,,
"['08:00', '04/06']",04/06 08:00,70,3,9000,NIL,NIL,NIL,,NIL,NIL,23,23,1011,100,,NIL,,,,
"['09:00', '04/06']",04/06 09:00,120,2,9000,NIL,NIL,NIL,,NIL,NIL,24,23,1012,94,,NIL,,,,
"['10:00', '04/06']",04/06 10:00,100,2,9000,NIL,NIL,NIL,,NIL,NIL,24,23,1012,94,,NIL,,,,
"['11:00', '04/06']",04/06 11:00,90,5,9999,NIL,NIL,NIL,,NIL,NIL,26,24,1013,89,,NIL,,,,
"['12:00', '04/06']",04/06 12:00,80,8,9999,NIL,NIL,NIL,,NIL,2,28,24,1014,79,,NIL,,,,
"['13:00', '04/06']",04/06 13:00,90,10,9999,NIL,NIL,NIL,,NIL,3,29,24,1014,74,,70,,,,
"['14:00', '04/06']",04/06 14:00,80,6,9999,NIL,NIL,NIL,,2300,5,30,24,1014,70,,80,,,,
"['15:00', '04/06']",04/06 15:00,100,8,9999,NIL,NIL,NIL,,NIL,3,31,24,1013,66,,120,,,,
"['16:00', '04/06']",04/06 16:00,80,9,9999,NIL,NIL,NIL,,3600,5,32,24,1012,63,,100,,,,
"['17:00', '04/06']",04/06 17:00,180,6,9999,NIL,NIL,NIL,,NIL,3,31,24,1011,66,,NIL,,,,
"['18:00', '04/06']",04/06 18:00,60,4,9999,NIL,NIL,NIL,,10000,5,30,24,1011,70,,230,,,,
