validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vnt_vrb,nevoa_umida,chuvisco,pancada,nevoeiro
"['01:00', '01/01']",01/01 01:00,70,4,9999,NIL,NIL,NIL,NIL,10000,5,25,23,1012,89,,,,,,
"['02:00', '01/01']",01/01 02:00,130,3,9999,NIL,NIL,NIL,NIL,10000,5,25,23,1013,89,,,,,,
"['03:00', '01/01']",01/01 03:00,160,4,9999,NIL,NIL,NIL,NIL,10000,5,25,23,1013,89,,,,,,
"['04:00', '01/01']",01/01 04:00,120,3,NIL,NIL,NIL,NIL,NIL,NIL,3,25,23,1013,89,,,,,,
"['05:00', '01/01']",01/01 05:00,220,3,9999,NIL,NIL,NIL,NIL,NIL,3,25,23,1012,89,,,,,,
"['06:00', '01/01']",01/01 06:00,140,2,9999,NIL,NIL,NIL,NIL,NIL,3,25,23,1011,89,,,,,,
"['07:00', '01/01']",01/01 07:00,150,2,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,23,1011,89,,,,,,
"['08:00', '01/01']",01/01 08:00,140,3,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,23,1011,94,,,,,,
"['09:00', '01/01']",01/01 09:00,140,4,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,23,1011,94,,,,,,
"['10:00', '01/01']",01/01 10:00,150,4,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,23,1011,94,,,,,,
"['11:00', '01/01']",01/01 11:00,130,3,9999,NIL,NIL,NIL,NIL,10000,5,25,23,1013,89,,,,,,
"['12:00', '01/01']",01/01 12:00,90,3,9999,NIL,NIL,NIL,NIL,10000,5,27,24,1013,84,,,,,,
"['13:00', '01/01']",01/01 13:00,50,5,9999,NIL,NIL,NIL,NIL,1800,5,29,24,1013,74,,,,,,
"['14:00', '01/01']",01/01 14:00,70,6,9999,NIL,NIL,NIL,NIL,2500,5,30,24,1013,70,,,,,,
"['15:00', '01/01']",01/01 15:00,120,6,9999,NIL,NIL,NIL,NIL,3000,5,30,23,1013,66,,,,,,
"['16:00', '01/01']",01/01 16:00,350,6,9999,NIL,NIL,NIL,NIL,2000,5,29,24,1012,74,,,,,,
"['16:18', '01/01']",01/01 16:18,320,7,9000,3000,90,1,NIL,1300,5,28,25,1011,84,,,,,,
"['16:38', '01/01']",01/01 16:38,330,5,9999,NIL,NIL,NIL,1,1700,5,27,25,1011,89,,,,,,
"['17:00', '01/01']",01/01 17:00,330,5,9999,NIL,NIL,NIL,1,2000,5,28,25,1011,84,,,,,,
"['18:00', '01/01']",01/01 18:00,40,5,9999,NIL,NIL,NIL,1,NIL,2,26,24,1010,89,,,,,,
"['19:00', '01/01']",01/01 19:00,40,9,9999,NIL,NIL,NIL,NIL,NIL,2,27,23,1009,79,,,,,,
"['20:00', '01/01']",01/01 20:00,50,5,9999,NIL,NIL,NIL,NIL,NIL,3,26,22,1010,79,,,,,,
"['21:00', '01/01']",01/01 21:00,110,4,9999,NIL,NIL,NIL,NIL,NIL,3,26,23,1011,84,,,,,,
"['22:00', '01/01']",01/01 22:00,130,5,9999,NIL,NIL,NIL,NIL,NIL,2,26,22,1011,79,,,,,,
"['23:00', '01/01']",01/01 23:00,150,2,9999,NIL,NIL,NIL,NIL,NIL,3,26,24,1011,89,,,,,,
"['00:00', '02/01']",02/01 00:00,240,3,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,24,1011,94,,,,,,
"['01:00', '02/01']",02/01 01:00,130,2,9999,NIL,NIL,NIL,NIL,NIL,3,25,24,1012,94,NIL,NIL,,,,
"['02:00', '02/01']",02/01 02:00,120,4,9999,NIL,NIL,NIL,NIL,NIL,3,25,24,1011,94,NIL,NIL,,,,
"['03:00', '02/01']",02/01 03:00,90,3,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1011,94,NIL,NIL,,,,
"['04:00', '02/01']",02/01 04:00,100,4,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1010,94,NIL,NIL,,,,
"['05:00', '02/01']",02/01 05:00,90,3,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1010,94,NIL,NIL,,,,
"['06:00', '02/01']",02/01 06:00,120,3,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1011,94,NIL,NIL,,,,
"['07:00', '02/01']",02/01 07:00,90,3,9999,NIL,NIL,NIL,NIL,NIL,3,25,24,1011,94,NIL,NIL,,,,
"['08:00', '02/01']",02/01 08:00,120,2,9999,NIL,NIL,NIL,NIL,NIL,3,24,22,1011,89,NIL,NIL,,,,
"['09:00', '02/01']",02/01 09:00,60,1,9000,NIL,NIL,NIL,NIL,10000,5,25,24,1010,94,NIL,NIL,,,,
"['10:00', '02/01']",02/01 10:00,70,2,9000,NIL,NIL,NIL,NIL,NIL,NIL,25,24,1011,94,NIL,NIL,,,,
"['12:00', '02/01']",02/01 12:00,110,5,9999,NIL,NIL,NIL,NIL,1800,5,28,25,1012,84,NIL,90,,,,
"['13:00', '02/01']",02/01 13:00,100,6,9999,NIL,NIL,NIL,NIL,1800,5,29,25,1012,79,NIL,100,,,,
"['14:00', '02/01']",02/01 14:00,80,8,9999,NIL,NIL,NIL,NIL,NIL,3,30,24,1012,70,NIL,NIL,,,,
"['15:00', '02/01']",02/01 15:00,50,9,9999,NIL,NIL,NIL,NIL,NIL,3,31,24,1011,66,NIL,80,,,,
"['16:00', '02/01']",02/01 16:00,70,8,9999,NIL,NIL,NIL,NIL,NIL,3,32,24,1010,63,NIL,60,,,,
"['17:00', '02/01']",02/01 17:00,360,10,9999,NIL,NIL,NIL,NIL,3500,5,29,25,1009,79,NIL,NIL,,,,
"['17:20', '02/01']",02/01 17:20,60,23,4000,NIL,NIL,1,1,2000,5,24,21,1009,83,NIL,NIL,,,,
"['18:00', '02/01']",02/01 18:00,30,7,8000,3000,315,1,1,2000,5,23,20,1009,83,NIL,NIL,,,,
"['18:30', '02/01']",02/01 18:30,40,5,9999,NIL,NIL,NIL,1,NIL,3,24,20,1008,78,NIL,NIL,,,,
"['19:00', '02/01']",02/01 19:00,50,6,9999,NIL,NIL,NIL,NIL,NIL,3,25,22,1007,83,NIL,NIL,,,,
"['20:00', '02/01']",02/01 20:00,30,4,9999,NIL,NIL,NIL,NIL,10000,5,26,23,1007,84,NIL,NIL,,,,
"['21:00', '02/01']",02/01 21:00,40,5,9999,NIL,NIL,NIL,NIL,3000,5,27,25,1008,89,NIL,NIL,,,,
"['22:00', '02/01']",02/01 22:00,40,5,9999,NIL,NIL,NIL,NIL,8000,5,27,25,1008,89,NIL,NIL,,,,
"['22:13', '02/01']",02/01 22:13,130,14,8000,NIL,NIL,1,NIL,1000,5,25,21,1009,79,25,NIL,,,,
"['23:00', '02/01']",02/01 23:00,160,5,9999,NIL,NIL,NIL,NIL,7000,5,23,22,1009,94,NIL,NIL,,,,
"['00:00', '03/01']",03/01 00:00,100,6,9999,NIL,NIL,NIL,NIL,NIL,NIL,23,22,1009,94,NIL,NIL,,,,
"['01:00', '03/01']",03/01 01:00,70,4,9999,,,NIL,NIL,NIL,NIL,24,23,1010,94,NIL,,,,,
"['02:00', '03/01']",03/01 02:00,80,6,9999,,,NIL,NIL,NIL,NIL,24,22,1010,89,NIL,,,,,
"['03:00', '03/01']",03/01 03:00,80,5,9999,,,NIL,NIL,NIL,NIL,24,22,1010,89,NIL,,,,,
"['04:00', '03/01']",03/01 04:00,70,6,9999,,,NIL,NIL,NIL,NIL,24,22,1010,89,NIL,,,,,
"['05:00', '03/01']",03/01 05:00,100,4,9999,,,NIL,NIL,NIL,NIL,25,24,1009,94,NIL,,,,,
"['06:00', '03/01']",03/01 06:00,100,3,9999,,,NIL,NIL,NIL,NIL,25,23,1009,89,NIL,,,,,
"['07:00', '03/01']",03/01 07:00,80,3,9999,,,NIL,NIL,NIL,NIL,25,23,1009,89,NIL,,,,,
"['08:00', '03/01']",03/01 08:00,70,2,9999,,,NIL,NIL,NIL,NIL,25,24,1009,94,NIL,,,,,
"['09:00', '03/01']",03/01 09:00,100,1,9999,,,NIL,NIL,NIL,NIL,24,24,1009,100,NIL,,,,,
"['10:00', '03/01']",03/01 10:00,100,3,9999,,,NIL,NIL,NIL,NIL,25,24,1009,94,NIL,,,,,
"['11:00', '03/01']",03/01 11:00,70,5,9999,,,NIL,NIL,NIL,NIL,27,24,1010,84,NIL,,,,,
"['12:00', '03/01']",03/01 12:00,60,10,9999,,,NIL,NIL,NIL,3,29,25,1010,79,NIL,,,,,
"['13:00', '03/01']",03/01 13:00,50,11,9999,,,NIL,NIL,NIL,3,29,24,1010,74,NIL,,,,,
"['14:00', '03/01']",03/01 14:00,70,12,9999,,,NIL,NIL,NIL,3,31,23,1010,63,NIL,,,,,
"['15:00', '03/01']",03/01 15:00,40,8,9999,,,NIL,NIL,3000,5,31,24,1010,66,NIL,,,,,
"['16:00', '03/01']",03/01 16:00,50,13,9999,,,NIL,NIL,3000,5,30,23,1009,66,NIL,,,,,
"['17:00', '03/01']",03/01 17:00,10,4,9999,,,NIL,NIL,NIL,3,28,25,1008,84,NIL,,,,,
"['17:40', '03/01']",03/01 17:40,360,5,9999,,,1,1,2200,5,27,25,1008,89,NIL,,,,,
"['18:00', '03/01']",03/01 18:00,190,11,9999,,,1,1,1500,5,25,23,1008,89,NIL,,,,,
"['18:42', '03/01']",03/01 18:42,120,11,800,,,1,1,1800,5,25,24,1007,94,21,,,,,
"['19:00', '03/01']",03/01 19:00,120,7,5000,,,1,1,1700,5,25,23,1008,89,NIL,,,,,
"['20:00', '03/01']",03/01 20:00,0,0,9999,,,1,NIL,1700,5,25,24,1007,94,NIL,,,,,
"['21:00', '03/01']",03/01 21:00,0,0,9999,,,NIL,NIL,NIL,3,25,24,1008,94,NIL,,,,,
"['22:00', '03/01']",03/01 22:00,90,3,9999,,,NIL,NIL,NIL,3,25,24,1008,94,NIL,,,,,
"['23:00', '03/01']",03/01 23:00,60,5,9999,,,NIL,NIL,NIL,3,26,24,1009,89,NIL,,,,,
"['00:00', '04/01']",04/01 00:00,60,5,9999,,,NIL,NIL,NIL,2,25,24,1010,94,NIL,,,,,
"['01:00', '04/01']",04/01 01:00,60,4,9999,,,NIL,,NIL,NIL,25,24,1010,94,,NIL,,,,
"['02:00', '04/01']",04/01 02:00,60,4,9999,,,NIL,,NIL,NIL,25,24,1010,94,,NIL,,,,
"['03:00', '04/01']",04/01 03:00,80,4,9999,,,NIL,,NIL,NIL,25,24,1009,94,,NIL,,,,
"['04:00', '04/01']",04/01 04:00,70,4,9999,,,NIL,,NIL,NIL,25,24,1009,94,,NIL,,,,
"['05:00', '04/01']",04/01 05:00,80,5,9000,,,NIL,,NIL,NIL,25,24,1009,94,,NIL,,,,
"['06:00', '04/01']",04/01 06:00,70,4,9000,,,NIL,,NIL,NIL,25,23,1008,89,,NIL,,,,
"['07:00', '04/01']",04/01 07:00,70,2,9000,,,NIL,,NIL,NIL,25,23,1008,89,,NIL,,,,
"['08:00', '04/01']",04/01 08:00,100,2,9000,,,NIL,,NIL,2,25,23,1009,89,,NIL,,,,
"['09:00', '04/01']",04/01 09:00,70,3,9000,,,NIL,,10000,5,24,23,1009,94,,NIL,,,,
"['10:00', '04/01']",04/01 10:00,110,2,9999,,,NIL,,NIL,3,24,23,1010,94,,NIL,,,,
"['11:00', '04/01']",04/01 11:00,90,5,9999,,,NIL,,10000,5,27,25,1011,89,,NIL,,,,
"['12:00', '04/01']",04/01 12:00,80,7,9999,,,NIL,,10000,5,28,25,1011,84,,NIL,,,,
"['13:00', '04/01']",04/01 13:00,90,8,9999,,,NIL,,NIL,3,29,24,1011,74,,NIL,,,,
"['14:00', '04/01']",04/01 14:00,80,8,9999,,,NIL,,NIL,3,31,23,1010,63,,NIL,,,,
"['15:00', '04/01']",04/01 15:00,70,8,9999,,,NIL,,3200,5,31,23,1010,63,,80,,,,
"['16:00', '04/01']",04/01 16:00,350,10,9999,,,NIL,,2200,5,29,24,1009,74,,NIL,,,,
"['17:00', '04/01']",04/01 17:00,350,8,9999,,,NIL,,2200,5,27,23,1009,79,,NIL,,,,
"['17:30', '04/01']",04/01 17:30,60,4,8000,,,1,,10000,5,27,25,1009,89,,NIL,,,,
"['18:00', '04/01']",04/01 18:00,10,6,9999,,,NIL,,NIL,3,27,24,1008,84,,NIL,,,,
"['19:00', '04/01']",04/01 19:00,360,7,9999,,,NIL,,NIL,3,28,24,1008,79,,NIL,,,,
"['20:00', '04/01']",04/01 20:00,30,6,9999,,,NIL,,NIL,3,28,25,1008,84,,NIL,,,,
"['21:00', '04/01']",04/01 21:00,60,6,9999,,,NIL,,10000,5,27,25,1008,89,,NIL,,,,
"['22:00', '04/01']",04/01 22:00,40,6,9999,,,NIL,,NIL,3,26,25,1008,94,,NIL,,,,
"['23:00', '04/01']",04/01 23:00,50,4,9999,,,NIL,,10000,5,26,24,1009,89,,NIL,,,,
"['00:00', '05/01']",05/01 00:00,70,5,9999,,,NIL,,10000,5,26,24,1010,89,,NIL,,,,
"['01:00', '05/01']",05/01 01:00,60,5,9999,,,NIL,,NIL,2,26,24,1010,89,,NIL,,,,
"['02:00', '05/01']",05/01 02:00,70,5,9999,,,NIL,,NIL,2,25,24,1010,94,,NIL,,,,
"['03:00', '05/01']",05/01 03:00,80,4,9999,,,NIL,,NIL,NIL,26,24,1010,89,,NIL,,,,
"['04:00', '05/01']",05/01 04:00,70,4,9999,,,NIL,,NIL,NIL,25,24,1010,94,,NIL,,,,
"['05:00', '05/01']",05/01 05:00,80,5,9999,,,NIL,,NIL,NIL,25,24,1010,94,,NIL,,,,
"['06:00', '05/01']",05/01 06:00,70,3,9999,,,NIL,,NIL,NIL,25,23,1010,89,,NIL,,,,
"['07:00', '05/01']",05/01 07:00,60,2,9999,,,NIL,,NIL,NIL,25,23,1009,89,,NIL,,,,
"['08:00', '05/01']",05/01 08:00,100,2,9999,,,NIL,,NIL,2,25,23,1009,89,,NIL,,,,
"['09:00', '05/01']",05/01 09:00,130,2,9999,,,NIL,,10000,5,25,24,1010,94,,NIL,,,,
"['10:00', '05/01']",05/01 10:00,110,2,9999,,,NIL,,NIL,3,25,24,1011,94,,NIL,,,,
"['11:00', '05/01']",05/01 11:00,80,4,9999,,,NIL,,NIL,3,27,24,1011,84,,NIL,,,,
"['12:00', '05/01']",05/01 12:00,110,10,9999,,,NIL,,NIL,3,28,24,1011,79,,NIL,,,,
"['13:00', '05/01']",05/01 13:00,80,10,9999,,,NIL,,2200,5,29,24,1012,74,,NIL,,,,
"['14:00', '05/01']",05/01 14:00,80,9,9999,,,NIL,,2800,5,29,23,1011,70,,NIL,,,,
"['15:00', '05/01']",05/01 15:00,120,9,9999,,,NIL,,3500,5,31,23,1011,63,,NIL,,,,
"['16:00', '05/01']",05/01 16:00,140,8,9999,,,NIL,,5000,5,31,23,1010,63,,NIL,,,,
"['17:00', '05/01']",05/01 17:00,110,8,9999,,,NIL,,NIL,3,30,24,1009,70,,NIL,,,,
"['18:00', '05/01']",05/01 18:00,10,5,9999,,,NIL,,NIL,3,29,24,1008,74,,NIL,,,,
"['19:00', '05/01']",05/01 19:00,320,4,9999,,,NIL,,7000,5,29,25,1008,79,,325,,,,
"['19:30', '05/01']",05/01 19:30,360,9,3000,,,1,,2300,5,29,25,1008,79,,NIL,,,,
"['19:40', '05/01']",05/01 19:40,360,7,7000,,,1,,2300,5,28,26,1008,89,,NIL,,,,
"['20:00', '05/01']",05/01 20:00,340,4,9999,,,NIL,,7000,5,28,26,1008,89,,NIL,,,,
"['21:00', '05/01']",05/01 21:00,360,7,9999,,,NIL,,8000,5,29,25,1008,79,,NIL,,,,
"['22:00', '05/01']",05/01 22:00,20,5,9999,,,NIL,,NIL,3,28,25,1008,84,,200,,,,
"['23:00', '05/01']",05/01 23:00,60,8,9999,,,NIL,,NIL,3,28,24,1009,79,,NIL,,,,
"['00:00', '06/01']",06/01 00:00,60,8,9999,,,NIL,,NIL,3,27,23,1009,79,,NIL,,,,
"['01:00', '06/01']",06/01 01:00,70,10,9999,,,,,NIL,NIL,26,23,1009,84,,,,,,
"['02:00', '06/01']",06/01 02:00,70,7,9999,,,,,NIL,NIL,26,23,1010,84,,,,,,
"['03:00', '06/01']",06/01 03:00,100,8,9999,,,,,NIL,NIL,26,23,1009,84,,,,,,
"['04:00', '06/01']",06/01 04:00,90,6,9999,,,,,NIL,NIL,26,23,1009,84,,,,,,
"['05:00', '06/01']",06/01 05:00,80,6,9999,,,,,NIL,NIL,25,23,1009,89,,,,,,
"['06:00', '06/01']",06/01 06:00,70,3,9999,,,,,NIL,NIL,25,23,1009,89,,,,,,
"['07:00', '06/01']",06/01 07:00,150,3,9999,,,,,NIL,NIL,25,23,1008,89,,,,,,
"['08:00', '06/01']",06/01 08:00,140,4,9999,,,,,NIL,NIL,24,23,1008,94,,,,,,
"['09:00', '06/01']",06/01 09:00,140,2,9999,,,,,NIL,2,24,23,1010,94,,,,,,
"['10:00', '06/01']",06/01 10:00,90,1,9999,,,,,NIL,2,24,23,1011,94,,,,,,
"['11:00', '06/01']",06/01 11:00,120,4,9999,,,,,NIL,2,27,24,1011,84,,,,,,
"['12:00', '06/01']",06/01 12:00,80,7,9999,,,,,NIL,3,28,24,1012,79,,,,,,
"['13:00', '06/01']",06/01 13:00,70,11,9999,,,,,2300,5,29,24,1011,74,,,,,,
"['14:00', '06/01']",06/01 14:00,70,11,9999,,,,,3000,5,31,23,1011,63,,,,,,
"['15:00', '06/01']",06/01 15:00,70,11,9999,,,,,3300,5,32,23,1011,59,,,,,,
"['16:00', '06/01']",06/01 16:00,80,9,9999,,,,,3500,5,32,23,1010,59,,,,,,
"['17:00', '06/01']",06/01 17:00,340,8,9999,,,,,3000,5,29,25,1008,79,,,,,,
"['18:00', '06/01']",06/01 18:00,300,4,9999,,,,,3000,5,28,25,1008,84,,,,,,
"['19:00', '06/01']",06/01 19:00,310,5,9999,,,,,4200,5,30,26,1008,79,,,,,,
"['20:00', '06/01']",06/01 20:00,260,5,9999,,,,,4800,5,29,26,1008,84,,,,,,
"['21:00', '06/01']",06/01 21:00,360,6,9999,,,,,4200,5,30,25,1008,75,,,,,,
"['22:00', '06/01']",06/01 22:00,50,4,9999,,,,,NIL,2,29,24,1008,74,,,,,,
"['23:00', '06/01']",06/01 23:00,70,5,9999,,,,,NIL,2,28,23,1009,74,,,,,,
"['00:00', '07/01']",07/01 00:00,60,7,9999,,,,,NIL,NIL,27,23,1010,79,,,,,,
"['01:00', '07/01']",07/01 01:00,60,8,9999,,,NIL,,NIL,NIL,26,23,1010,84,,,NIL,,,
"['02:00', '07/01']",07/01 02:00,70,6,9999,,,NIL,,NIL,NIL,26,23,1010,84,,,NIL,,,
"['03:00', '07/01']",07/01 03:00,70,7,9999,,,NIL,,NIL,NIL,26,23,1010,84,,,NIL,,,
"['04:00', '07/01']",07/01 04:00,80,5,9999,,,NIL,,NIL,NIL,26,23,1010,84,,,NIL,,,
"['05:00', '07/01']",07/01 05:00,100,6,9999,,,NIL,,NIL,NIL,26,23,1009,84,,,NIL,,,
"['06:00', '07/01']",07/01 06:00,90,5,9999,,,NIL,,NIL,NIL,25,23,1009,89,,,NIL,,,
"['07:00', '07/01']",07/01 07:00,80,4,9999,,,NIL,,NIL,NIL,25,23,1010,89,,,NIL,,,
"['08:00', '07/01']",07/01 08:00,90,5,9999,,,NIL,,NIL,NIL,25,23,1010,89,,,NIL,,,
"['09:00', '07/01']",07/01 09:00,70,2,7000,,,NIL,,NIL,NIL,24,23,1010,94,,,NIL,,,
"['10:00', '07/01']",07/01 10:00,130,2,5000,,,NIL,,NIL,NIL,24,24,1011,100,,,1,,,
"['11:00', '07/01']",07/01 11:00,120,3,9999,,,NIL,,NIL,NIL,27,24,1012,84,,,NIL,,,
"['12:00', '07/01']",07/01 12:00,100,7,9999,,,NIL,,NIL,2,28,24,1012,79,,,NIL,,,
"['13:00', '07/01']",07/01 13:00,90,5,9999,,,NIL,,NIL,3,30,24,1012,70,,,NIL,,,
"['14:00', '07/01']",07/01 14:00,80,9,9999,,,NIL,,3000,5,31,23,1012,63,,,NIL,,,
"['15:00', '07/01']",07/01 15:00,70,8,9999,,,NIL,,3500,5,31,23,1011,63,,,NIL,,,
"['16:00', '07/01']",07/01 16:00,70,6,9999,,,NIL,,NIL,3,31,23,1010,63,,,NIL,,,
"['17:00', '07/01']",07/01 17:00,330,7,9999,,,NIL,,4000,5,30,25,1009,75,,,NIL,,,
"['18:00', '07/01']",07/01 18:00,360,11,9999,,,NIL,,2500,5,30,25,1009,75,,,NIL,,,
"['18:35', '07/01']",07/01 18:35,20,14,2000,,,1,,2000,5,27,24,1009,84,,,NIL,,,
"['19:00', '07/01']",07/01 19:00,40,8,9999,,,1,,NIL,3,26,23,1008,84,,,NIL,,,
"['20:00', '07/01']",07/01 20:00,40,9,9999,,,NIL,,NIL,3,27,24,1008,84,,,NIL,,,
"['21:00', '07/01']",07/01 21:00,80,8,9999,,,NIL,,10000,5,26,24,1009,89,,,NIL,,,
"['22:00', '07/01']",07/01 22:00,130,6,9999,,,NIL,,NIL,3,26,24,1010,89,,,NIL,,,
"['23:00', '07/01']",07/01 23:00,140,3,9999,,,NIL,,NIL,3,25,24,1010,94,,,NIL,,,
"['00:00', '08/01']",08/01 00:00,70,4,9999,,,NIL,,NIL,3,25,24,1011,94,,,NIL,,,
"['01:00', '08/01']",08/01 01:00,100,1,9999,,,NIL,,NIL,NIL,25,24,1011,94,,,NIL,,,
"['02:00', '08/01']",08/01 02:00,130,3,9999,,,NIL,,NIL,NIL,25,24,1011,94,,,NIL,,,
"['03:00', '08/01']",08/01 03:00,140,3,9999,,,NIL,,NIL,NIL,25,23,1011,89,,,NIL,,,
"['04:00', '08/01']",08/01 04:00,130,3,9999,,,NIL,,NIL,NIL,25,23,1011,89,,,NIL,,,
"['05:00', '08/01']",08/01 05:00,140,3,9999,,,NIL,,NIL,NIL,24,23,1010,94,,,NIL,,,
"['06:00', '08/01']",08/01 06:00,120,4,9999,,,NIL,,NIL,NIL,25,23,1010,89,,,NIL,,,
"['07:00', '08/01']",08/01 07:00,100,5,9999,,,NIL,,NIL,NIL,25,23,1010,89,,,NIL,,,
"['08:00', '08/01']",08/01 08:00,60,3,9999,,,NIL,,NIL,NIL,25,24,1010,94,,,NIL,,,
"['09:00', '08/01']",08/01 09:00,80,3,5000,,,NIL,,NIL,NIL,25,23,1009,89,,,1,,,
"['10:00', '08/01']",08/01 10:00,0,0,5000,,,NIL,,NIL,NIL,25,24,1010,94,,,1,,,
"['11:00', '08/01']",08/01 11:00,90,4,8000,,,NIL,,NIL,NIL,27,25,1011,89,,,NIL,,,
"['12:00', '08/01']",08/01 12:00,80,8,9999,,,NIL,,NIL,3,28,24,1012,79,,,NIL,,,
"['13:00', '08/01']",08/01 13:00,70,9,9999,,,NIL,,2300,5,30,24,1012,70,,,NIL,,,
"['14:00', '08/01']",08/01 14:00,70,4,9999,,,NIL,,NIL,3,31,23,1012,63,,,NIL,,,
"['15:00', '08/01']",08/01 15:00,70,11,9999,,,NIL,,3600,5,31,23,1011,63,,,NIL,,,
"['16:00', '08/01']",08/01 16:00,60,11,9999,,,NIL,,3600,5,31,23,1010,63,,,NIL,,,
"['17:00', '08/01']",08/01 17:00,100,8,9999,,,NIL,,NIL,3,32,23,1008,59,,,NIL,,,
"['18:00', '08/01']",08/01 18:00,20,11,2000,,,1,,1700,5,26,24,1008,89,,,NIL,,,
"['18:24', '08/01']",08/01 18:24,50,6,9999,,,1,,2100,5,26,24,1007,89,,,NIL,,,
"['19:00', '08/01']",08/01 19:00,320,3,9000,,,1,,2300,5,26,24,1008,89,,,NIL,,,
"['20:00', '08/01']",08/01 20:00,60,6,9999,,,NIL,,NIL,3,25,23,1008,89,,,NIL,,,
"['21:00', '08/01']",08/01 21:00,100,3,9999,,,NIL,,NIL,3,25,23,1009,89,,,NIL,,,
"['22:00', '08/01']",08/01 22:00,290,2,9999,,,NIL,,10000,5,25,24,1009,94,,,NIL,,,
"['23:00', '08/01']",08/01 23:00,60,3,9999,,,NIL,,NIL,3,25,24,1010,94,,,NIL,,,
"['00:00', '09/01']",09/01 00:00,70,5,9999,,,NIL,,NIL,2,25,23,1010,89,,,NIL,,,
"['02:00', '09/01']",09/01 02:00,50,4,9999,,,,NIL,NIL,NIL,25,23,1011,89,,,,,,
"['03:00', '09/01']",09/01 03:00,60,4,9999,,,,NIL,NIL,NIL,25,23,1011,89,,,,,,
"['04:00', '09/01']",09/01 04:00,40,5,9999,,,,NIL,NIL,NIL,25,23,1011,89,,,,,,
"['05:00', '09/01']",09/01 05:00,50,4,9999,,,,NIL,NIL,NIL,24,23,1010,94,,,,,,
"['06:00', '09/01']",09/01 06:00,80,4,9999,,,,NIL,NIL,NIL,24,22,1009,89,,,,,,
"['07:00', '09/01']",09/01 07:00,70,4,9999,,,,NIL,NIL,NIL,24,23,1009,94,,,,,,
"['08:00', '09/01']",09/01 08:00,70,3,9999,,,,NIL,NIL,NIL,24,23,1009,94,,,,,,
"['09:00', '09/01']",09/01 09:00,100,2,9999,,,,NIL,NIL,NIL,24,23,1010,94,,,,,,
"['10:00', '09/01']",09/01 10:00,100,3,7000,,,,NIL,NIL,2,24,23,1010,94,,,,,,
"['11:00', '09/01']",09/01 11:00,90,4,8000,,,,NIL,NIL,NIL,26,24,1011,89,,,,,,
"['12:00', '09/01']",09/01 12:00,90,8,9999,,,,NIL,NIL,NIL,28,24,1012,79,,,,,,
"['13:00', '09/01']",09/01 13:00,80,10,9999,,,,NIL,2000,5,29,24,1012,74,,,,,,
"['14:00', '09/01']",09/01 14:00,60,12,9999,,,,NIL,NIL,3,29,24,1011,74,,,,,,
"['15:00', '09/01']",09/01 15:00,60,10,9999,,,,NIL,NIL,3,31,23,1011,63,,,,,,
"['16:00', '09/01']",09/01 16:00,330,8,9999,,,,NIL,4200,5,30,25,1010,75,,,,,,
"['16:35', '09/01']",09/01 16:35,350,12,9000,,,,1,3500,5,29,25,1009,79,,,,,,
"['17:00', '09/01']",09/01 17:00,20,12,9000,,,,1,7400,5,28,23,1009,74,,,,,,
"['18:00', '09/01']",09/01 18:00,340,4,9999,,,,NIL,NIL,3,27,25,1008,89,,,,,,
"['19:00', '09/01']",09/01 19:00,340,7,9999,,,,NIL,NIL,3,29,25,1007,79,,,,,,
"['20:00', '09/01']",09/01 20:00,20,8,9999,,,,NIL,NIL,3,30,25,1007,75,,,,,,
"['21:00', '09/01']",09/01 21:00,30,8,9999,,,,NIL,NIL,3,29,24,1008,74,,,,,,
"['22:00', '09/01']",09/01 22:00,40,7,9999,,,,NIL,NIL,3,28,24,1009,79,,,,,,
"['23:00', '09/01']",09/01 23:00,70,8,9999,,,,NIL,NIL,3,28,24,1010,79,,,,,,
"['00:00', '10/01']",10/01 00:00,60,8,9999,,,,NIL,NIL,NIL,27,23,1011,79,,,,,,
"['01:00', '10/01']",10/01 01:00,60,6,9999,,,NIL,NIL,NIL,NIL,26,23,1012,84,NIL,,,,,
"['02:00', '10/01']",10/01 02:00,60,5,9999,,,NIL,NIL,NIL,NIL,25,23,1012,89,NIL,,,,,
"['03:00', '10/01']",10/01 03:00,60,4,9999,,,NIL,NIL,NIL,NIL,25,23,1011,89,NIL,,,,,
"['04:00', '10/01']",10/01 04:00,40,5,9999,,,NIL,NIL,NIL,NIL,25,23,1011,89,NIL,,,,,
"['05:00', '10/01']",10/01 05:00,50,4,9999,,,NIL,NIL,NIL,NIL,24,23,1010,94,NIL,,,,,
"['06:00', '10/01']",10/01 06:00,80,4,9999,,,NIL,NIL,NIL,NIL,24,22,1009,89,NIL,,,,,
