validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuvisco,chuva,nevoa_umida,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoeiro,nevoa_seca
"['04:00', '19/01']",19/01 04:00,100,7,100,9999,,,,NIL,,700,8,17,17,1018,100,,,,,
"['05:00', '19/01']",19/01 05:00,110,7,NIL,9999,,,,NIL,,500,8,17,17,1017,100,,,,,
"['06:00', '19/01']",19/01 06:00,120,7,NIL,9999,,,,1,,500,8,16,16,1017,100,,,,,
"['07:00', '19/01']",19/01 07:00,100,4,NIL,9999,,,,1,,600,8,16,16,1017,100,,,,,
"['08:00', '19/01']",19/01 08:00,100,6,NIL,9999,,,,1,,700,8,17,17,1017,100,,,,,
"['09:00', '19/01']",19/01 09:00,100,7,NIL,9999,,,,1,,500,8,17,17,1017,100,,,,,
"['10:00', '19/01']",19/01 10:00,90,6,100,9000,,,,1,,400,8,17,17,1018,100,,,,,
"['11:00', '19/01']",19/01 11:00,120,6,NIL,8000,,,,1,,700,8,17,17,1019,100,,,,,
"['12:00', '19/01']",19/01 12:00,110,6,NIL,9000,,,,1,,400,8,17,17,1019,100,,,,,
"['13:00', '19/01']",19/01 13:00,100,7,NIL,9999,,,,1,,600,8,18,17,1020,94,,,,,
"['14:00', '19/01']",19/01 14:00,90,8,NIL,9999,,,,1,,600,8,18,18,1020,100,,,,,
"['15:00', '19/01']",19/01 15:00,110,7,NIL,9000,,,,1,,1000,8,19,19,1020,100,,,,,
"['16:00', '19/01']",19/01 16:00,120,7,NIL,9999,,,,1,,1000,8,19,18,1019,94,,,,,
"['17:00', '19/01']",19/01 17:00,120,7,NIL,9999,,,,1,,1000,8,19,19,1019,100,,,,,
"['18:00', '19/01']",19/01 18:00,100,9,NIL,9999,,,,NIL,,800,5,19,18,1019,94,,,,,
"['19:00', '19/01']",19/01 19:00,90,8,NIL,7000,,,,NIL,,1200,5,19,18,1018,94,,,,,
"['20:00', '19/01']",19/01 20:00,100,9,100,9999,,,,NIL,,700,8,19,18,1018,94,,,,,
"['21:00', '19/01']",19/01 21:00,110,8,NIL,9999,,,,NIL,,700,8,19,18,1018,94,,,,,
"['22:00', '19/01']",19/01 22:00,100,7,110,9999,,,,NIL,,600,5,18,18,1019,100,,,,,
"['23:00', '19/01']",19/01 23:00,90,5,NIL,9999,,,,NIL,,600,8,18,18,1019,100,,,,,
"['00:00', '20/01']",20/01 00:00,110,5,NIL,9999,,,,NIL,,400,5,18,18,1020,100,,,,,
"['01:00', '20/01']",20/01 01:00,110,6,NIL,9999,,,NIL,,,500,8,18,18,1020,100,,,,,
"['02:00', '20/01']",20/01 02:00,130,9,130,9999,,,NIL,,,600,8,18,18,1020,100,,,,,
