validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuvisco,chuva,nevoa_umida,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoeiro,nevoa_seca
"['18:00', '24/01']",24/01 18:00,40,6,215,9999,,,,NIL,NIL,8000,5,22,19,1018,83,,,,,
"['19:00', '24/01']",24/01 19:00,40,8,NIL,9999,,,,NIL,NIL,6000,5,21,17,1017,78,,,,,
"['20:00', '24/01']",24/01 20:00,50,4,NIL,9999,,,,NIL,NIL,6000,5,21,17,1016,78,,,,,
"['21:00', '24/01']",24/01 21:00,90,4,100,9999,,,,NIL,NIL,8000,5,22,18,1016,78,,,,,
"['22:00', '24/01']",24/01 22:00,80,5,NIL,9999,,,,NIL,NIL,8000,5,20,18,1017,88,,,,,
"['23:00', '24/01']",24/01 23:00,50,5,40,9999,,,,NIL,NIL,900,5,20,18,1017,88,,,,,
"['00:00', '25/01']",25/01 00:00,60,5,NIL,9999,,,,NIL,NIL,900,5,19,18,1017,94,,,,,
"['01:00', '25/01']",25/01 01:00,110,4,,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,18,18,1018,100,,,,,
"['02:00', '25/01']",25/01 02:00,VRB,1,,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,18,18,1018,100,,,,,
"['03:00', '25/01']",25/01 03:00,140,2,,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,18,18,1017,100,,,,,
"['04:00', '25/01']",25/01 04:00,20,3,,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,18,18,1017,100,,,,,
"['04:10', '25/01']",25/01 04:10,360,2,,9999,NIL,NIL,NIL,NIL,NIL,800,5,18,18,1017,100,,,,,
"['05:00', '25/01']",25/01 05:00,10,1,,6000,2500,135,NIL,NIL,NIL,800,5,18,18,1016,100,,,,,
"['06:00', '25/01']",25/01 06:00,0,0,,6000,NIL,NIL,NIL,NIL,NIL,1000,5,18,18,1016,100,,,,,
"['07:00', '25/01']",25/01 07:00,30,3,,9999,NIL,NIL,NIL,NIL,NIL,800,5,18,18,1015,100,,,,,
"['08:00', '25/01']",25/01 08:00,70,3,,9999,NIL,NIL,NIL,NIL,NIL,7000,5,18,18,1015,100,,,,,
"['09:00', '25/01']",25/01 09:00,50,5,,4000,NIL,NIL,NIL,NIL,1,7000,5,18,18,1015,100,,,,,
"['10:00', '25/01']",25/01 10:00,360,2,,4500,NIL,NIL,NIL,NIL,1,7000,5,19,19,1016,100,,,,,
"['10:37', '25/01']",25/01 10:37,10,2,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,20,19,1017,94,,,,,
"['11:00', '25/01']",25/01 11:00,30,3,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,20,18,1017,88,,,,,
"['12:00', '25/01']",25/01 12:00,10,4,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,18,1017,83,,,,,
"['13:00', '25/01']",25/01 13:00,30,3,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,22,18,1017,78,,,,,
"['14:00', '25/01']",25/01 14:00,260,4,,9999,NIL,NIL,NIL,NIL,NIL,5000,5,23,19,1017,78,,,,,
"['15:00', '25/01']",25/01 15:00,270,5,,9999,NIL,NIL,NIL,NIL,NIL,4000,5,23,18,1017,73,,,,,
"['16:00', '25/01']",25/01 16:00,310,7,,9999,NIL,NIL,NIL,NIL,NIL,2500,5,24,18,1016,69,,,,,
"['17:00', '25/01']",25/01 17:00,300,6,,9999,NIL,NIL,NIL,NIL,NIL,2500,8,24,18,1016,69,,,,,
"['18:00', '25/01']",25/01 18:00,310,5,,9999,NIL,NIL,NIL,NIL,NIL,2500,5,24,17,1015,65,,,,,
"['19:00', '25/01']",25/01 19:00,280,6,,9999,NIL,NIL,1,NIL,NIL,3000,5,24,18,1015,69,,,,,
"['20:00', '25/01']",25/01 20:00,300,5,,9000,NIL,NIL,NIL,1,NIL,10000,5,19,19,1015,100,,,,,
"['21:00', '25/01']",25/01 21:00,40,2,,9999,NIL,NIL,NIL,1,NIL,7000,5,19,18,1015,94,,,,,
"['22:00', '25/01']",25/01 22:00,120,4,,9999,NIL,NIL,NIL,NIL,NIL,7000,5,19,19,1016,100,,,,,
"['23:00', '25/01']",25/01 23:00,110,3,,9999,NIL,NIL,NIL,NIL,NIL,7000,5,19,19,1016,100,,,,,
"['00:00', '26/01']",26/01 00:00,20,3,,9999,NIL,NIL,NIL,NIL,NIL,500,5,19,19,1016,100,,,,,
"['01:00', '26/01']",26/01 01:00,340,6,NIL,9999,,,,1,,NIL,3,20,19,1017,94,,,,,
"['02:00', '26/01']",26/01 02:00,320,8,NIL,9999,,,,1,,NIL,3,19,18,1017,94,,,,,
"['03:00', '26/01']",26/01 03:00,10,5,NIL,9999,,,,1,,10000,5,19,18,1017,94,,,,,
"['04:00', '26/01']",26/01 04:00,30,4,NIL,9999,,,,NIL,,NIL,2,18,18,1016,100,,,,,
"['05:00', '26/01']",26/01 05:00,20,6,NIL,9999,,,,NIL,,NIL,2,18,18,1014,100,,,,,
"['06:00', '26/01']",26/01 06:00,20,6,NIL,9999,,,,NIL,,NIL,2,18,18,1014,100,,,,,
"['07:00', '26/01']",26/01 07:00,20,3,NIL,9999,,,,NIL,,NIL,2,18,18,1014,100,,,,,
"['08:00', '26/01']",26/01 08:00,10,4,NIL,9999,,,,NIL,,10000,5,18,18,1014,100,,,,,
"['09:00', '26/01']",26/01 09:00,60,5,NIL,9999,,,,NIL,,10000,5,18,18,1015,100,,,,,
"['10:00', '26/01']",26/01 10:00,50,2,NIL,9999,,,,NIL,,NIL,NIL,19,19,1015,100,,,,,
"['11:00', '26/01']",26/01 11:00,50,1,NIL,9999,,,,NIL,,500,8,19,19,1017,100,,,,,
"['11:35', '26/01']",26/01 11:35,360,3,NIL,9999,,,,NIL,,10000,8,20,19,1017,94,,,,,
"['12:00', '26/01']",26/01 12:00,10,4,NIL,9999,,,,NIL,,10000,8,20,19,1017,94,,,,,
"['13:00', '26/01']",26/01 13:00,340,6,NIL,9999,,,,NIL,,NIL,NIL,22,18,1017,78,,,,,
"['14:00', '26/01']",26/01 14:00,360,8,NIL,9999,,,,NIL,,NIL,NIL,24,17,1017,65,,,,,
"['15:00', '26/01']",26/01 15:00,320,5,NIL,9999,,,,NIL,,10000,5,25,19,1017,69,,,,,
"['16:00', '26/01']",26/01 16:00,310,8,NIL,9999,,,,NIL,,10000,5,27,18,1016,58,,,,,
"['17:00', '26/01']",26/01 17:00,300,8,NIL,9999,,,,NIL,,3500,5,28,18,1015,55,,,,,
"['18:00', '26/01']",26/01 18:00,360,6,NIL,9999,,,,NIL,,4000,5,28,17,1014,51,,,,,
"['19:00', '26/01']",26/01 19:00,350,9,170,9999,,,,NIL,,3000,5,25,18,1014,65,,,,,
"['20:00', '26/01']",26/01 20:00,340,4,NIL,9999,,,,NIL,,10000,5,25,18,1014,65,,,,,
"['21:00', '26/01']",26/01 21:00,VRB,2,NIL,9999,,,,NIL,,10000,5,25,18,1014,65,,,,,
"['22:00', '26/01']",26/01 22:00,80,4,65,9999,,,,NIL,,NIL,3,23,20,1014,83,,,,,
"['23:00', '26/01']",26/01 23:00,100,4,NIL,9999,,,,NIL,,NIL,2,21,20,1015,94,,,,,
"['00:00', '27/01']",27/01 00:00,80,4,NIL,9999,,,,NIL,,NIL,2,20,20,1016,100,,,,,
"['01:00', '27/01']",27/01 01:00,90,3,NIL,9999,,,,NIL,,NIL,NIL,20,19,1016,94,,NIL,,,
"['02:00', '27/01']",27/01 02:00,60,2,NIL,9999,,,,NIL,,NIL,NIL,20,20,1017,100,,NIL,,,
"['03:00', '27/01']",27/01 03:00,40,4,NIL,9999,,,,NIL,,NIL,NIL,20,20,1017,100,,NIL,,,
"['04:00', '27/01']",27/01 04:00,30,4,NIL,9999,,,,NIL,,NIL,NIL,20,19,1016,94,,NIL,,,
"['05:00', '27/01']",27/01 05:00,30,2,NIL,9999,,,,NIL,,NIL,NIL,20,19,1015,94,,NIL,,,
"['06:00', '27/01']",27/01 06:00,40,4,NIL,9999,,,,NIL,,NIL,NIL,19,19,1014,100,,NIL,,,
"['07:00', '27/01']",27/01 07:00,30,6,NIL,9999,,,,NIL,,NIL,NIL,19,18,1014,94,,NIL,,,
"['08:00', '27/01']",27/01 08:00,10,2,NIL,9999,,,,NIL,,NIL,NIL,19,18,1014,94,,NIL,,,
"['09:00', '27/01']",27/01 09:00,360,2,NIL,9999,,,,NIL,,NIL,NIL,19,18,1015,94,,NIL,,,
"['10:00', '27/01']",27/01 10:00,60,4,NIL,9999,,,,NIL,,NIL,NIL,18,18,1015,100,,NIL,,,
"['11:00', '27/01']",27/01 11:00,40,4,NIL,9999,,,,NIL,,NIL,NIL,21,19,1016,88,,NIL,,,
"['12:00', '27/01']",27/01 12:00,360,7,NIL,9999,,,,NIL,,NIL,NIL,25,20,1016,74,,NIL,,,
"['13:00', '27/01']",27/01 13:00,350,15,NIL,9999,,,,NIL,,NIL,3,27,19,1016,62,,NIL,,,
"['14:00', '27/01']",27/01 14:00,330,15,NIL,9999,,,,NIL,,3300,5,27,19,1015,62,,NIL,,,
"['15:00', '27/01']",27/01 15:00,340,15,NIL,9999,,,,NIL,,3500,5,29,19,1014,55,,NIL,,,
"['16:00', '27/01']",27/01 16:00,320,13,330,9999,,,,NIL,,4000,5,28,19,1014,58,,NIL,,,
"['17:00', '27/01']",27/01 17:00,320,17,NIL,9999,,,,NIL,,4000,5,29,19,1013,55,,NIL,,,
"['18:00', '27/01']",27/01 18:00,340,12,NIL,9999,,,,NIL,,3000,5,28,20,1013,62,,NIL,,,
"['18:47', '27/01']",27/01 18:47,290,8,305,9999,,,,1,,1300,5,24,19,1013,74,,NIL,,,
"['19:00', '27/01']",27/01 19:00,360,13,175,9999,,,,1,,1300,5,21,18,1013,83,,NIL,,,
"['20:00', '27/01']",27/01 20:00,290,12,NIL,6000,,,,1,,1300,8,20,19,1013,94,,1,,,
"['21:00', '27/01']",27/01 21:00,310,7,NIL,9999,,,,NIL,,10000,5,20,19,1013,94,,1,,,
"['22:00', '27/01']",27/01 22:00,310,8,NIL,9999,,,,NIL,,10000,5,20,19,1013,94,,NIL,,,
"['23:00', '27/01']",27/01 23:00,320,6,NIL,9999,,,,NIL,,10000,5,20,18,1014,88,,NIL,,,
"['00:00', '28/01']",28/01 00:00,10,5,NIL,9999,,,,NIL,,10000,5,20,19,1014,94,,NIL,,,
"['01:00', '28/01']",28/01 01:00,0,0,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,19,1015,94,NIL,NIL,,,
"['02:00', '28/01']",28/01 02:00,30,3,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,19,1015,94,NIL,NIL,,,
"['03:00', '28/01']",28/01 03:00,10,3,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,19,1015,94,NIL,NIL,,,
"['04:00', '28/01']",28/01 04:00,330,3,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,18,1014,88,NIL,NIL,,,
"['05:00', '28/01']",28/01 05:00,20,4,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,19,1014,94,NIL,NIL,,,
"['06:00', '28/01']",28/01 06:00,350,3,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,18,1013,88,NIL,NIL,,,
"['07:00', '28/01']",28/01 07:00,350,2,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,18,1013,88,NIL,NIL,,,
"['08:00', '28/01']",28/01 08:00,330,6,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,18,1013,88,NIL,NIL,,,
"['09:00', '28/01']",28/01 09:00,350,3,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,18,1014,88,NIL,NIL,,,
"['10:00', '28/01']",28/01 10:00,10,5,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,20,19,1015,94,NIL,NIL,,,
"['11:00', '28/01']",28/01 11:00,350,6,NIL,9999,NIL,NIL,,NIL,,NIL,NIL,21,19,1015,88,NIL,NIL,,,
"['12:00', '28/01']",28/01 12:00,360,9,NIL,9999,NIL,NIL,,NIL,,NIL,2,22,18,1015,78,NIL,NIL,,,
"['13:00', '28/01']",28/01 13:00,310,8,305,9999,NIL,NIL,,NIL,,NIL,2,25,19,1015,69,NIL,NIL,,,
"['14:00', '28/01']",28/01 14:00,310,10,NIL,9999,NIL,NIL,,NIL,,NIL,2,26,19,1014,65,NIL,NIL,,,
"['15:00', '28/01']",28/01 15:00,320,12,NIL,9999,NIL,NIL,,NIL,,NIL,3,25,19,1015,69,NIL,NIL,,,
"['16:00', '28/01']",28/01 16:00,310,6,300,9999,NIL,NIL,,NIL,,2700,5,26,20,1014,70,NIL,NIL,,,
"['17:00', '28/01']",28/01 17:00,300,7,280,9999,NIL,NIL,,NIL,,3000,5,27,19,1013,62,NIL,NIL,,,
"['17:29', '28/01']",28/01 17:29,270,9,NIL,3500,NIL,NIL,,1,,3500,5,24,19,1013,74,20,1,,,
"['18:00', '28/01']",28/01 18:00,340,10,NIL,4000,NIL,NIL,,1,,6000,5,21,19,1013,88,NIL,1,,,
"['18:34', '28/01']",28/01 18:34,330,5,NIL,9000,NIL,NIL,,1,,4000,5,21,19,1013,88,NIL,1,,,
"['19:00', '28/01']",28/01 19:00,320,5,NIL,9000,4000,135,,NIL,,8000,5,22,20,1012,88,NIL,1,,,
"['20:00', '28/01']",28/01 20:00,330,6,330,9999,NIL,NIL,,NIL,,9000,5,23,20,1013,83,NIL,NIL,,,
"['20:38', '28/01']",28/01 20:38,300,6,NIL,2000,NIL,NIL,,1,,3000,8,21,20,1013,94,NIL,1,,,
"['21:00', '28/01']",28/01 21:00,350,12,NIL,4000,NIL,NIL,,1,,1100,8,20,19,1013,94,NIL,1,,,
"['22:00', '28/01']",28/01 22:00,VRB,2,NIL,6000,NIL,NIL,,1,,7000,5,20,19,1014,94,NIL,1,,,
"['23:00', '28/01']",28/01 23:00,20,2,NIL,9999,NIL,NIL,,1,,10000,5,19,19,1014,100,NIL,1,,,
"['00:00', '29/01']",29/01 00:00,VRB,2,NIL,9999,NIL,NIL,,NIL,,10000,5,19,19,1015,100,NIL,NIL,,,
"['01:00', '29/01']",29/01 01:00,50,3,NIL,9999,,,,NIL,,NIL,NIL,20,20,1015,100,,NIL,,,
"['02:00', '29/01']",29/01 02:00,40,4,NIL,9999,,,,NIL,,NIL,NIL,20,20,1015,100,,NIL,,,
"['03:00', '29/01']",29/01 03:00,20,3,NIL,9999,,,,NIL,,NIL,NIL,20,20,1015,100,,NIL,,,
"['04:00', '29/01']",29/01 04:00,40,3,NIL,9999,,,,NIL,,NIL,NIL,20,20,1014,100,,NIL,,,
"['05:00', '29/01']",29/01 05:00,40,5,NIL,9999,,,,NIL,,NIL,NIL,19,19,1013,100,,NIL,,,
"['06:00', '29/01']",29/01 06:00,50,4,NIL,9999,,,,NIL,,NIL,NIL,19,20,1014,100,,NIL,,,
"['07:00', '29/01']",29/01 07:00,10,7,NIL,9999,,,,NIL,,4000,5,20,19,1014,94,,NIL,,,
"['08:00', '29/01']",29/01 08:00,330,9,NIL,9999,,,,NIL,,10000,5,20,19,1014,94,,NIL,,,
"['09:00', '29/01']",29/01 09:00,340,6,NIL,9999,,,,NIL,,8000,5,20,18,1014,88,,NIL,,,
"['10:00', '29/01']",29/01 10:00,340,3,NIL,9999,,,,NIL,,8000,5,20,18,1014,88,,NIL,,,
"['11:00', '29/01']",29/01 11:00,360,6,NIL,9999,,,,NIL,,NIL,NIL,20,19,1015,94,,NIL,,,
"['12:00', '29/01']",29/01 12:00,320,11,NIL,9999,,,,NIL,,NIL,NIL,22,18,1015,78,,NIL,,,
"['13:00', '29/01']",29/01 13:00,310,11,320,9999,,,,NIL,,NIL,2,25,19,1015,69,,NIL,,,
"['14:00', '29/01']",29/01 14:00,320,15,320,9999,,,,NIL,,NIL,3,25,19,1015,69,,NIL,,,
"['15:00', '29/01']",29/01 15:00,320,13,320,9999,,,,NIL,,3000,5,25,19,1015,69,,NIL,,,
"['16:00', '29/01']",29/01 16:00,320,14,330,9999,,,,NIL,,3000,5,26,20,1014,70,,NIL,,,
"['17:00', '29/01']",29/01 17:00,310,13,NIL,9999,,,,NIL,,3200,5,26,19,1014,65,,NIL,,,
"['18:00', '29/01']",29/01 18:00,280,5,285,9999,,,,1,,3000,5,24,21,1013,83,,NIL,,,
"['18:40', '29/01']",29/01 18:40,320,7,175,9999,,,,1,,900,5,23,20,1013,83,,NIL,,,
"['19:00', '29/01']",29/01 19:00,290,8,275,9999,,,,1,,900,5,24,20,1013,78,,NIL,,,
"['20:00', '29/01']",29/01 20:00,290,3,300,9999,,,,NIL,,900,5,25,19,1012,69,,NIL,,,
"['22:00', '29/01']",29/01 22:00,320,4,NIL,9999,,,,NIL,,900,5,21,20,1014,94,,1,,,
"['22:43', '29/01']",29/01 22:43,350,3,NIL,9999,,,,NIL,,900,5,21,20,1015,94,,1,,,
"['23:00', '29/01']",29/01 23:00,360,5,NIL,9999,,,,NIL,,900,5,21,21,1015,100,,1,,,
"['00:00', '30/01']",30/01 00:00,10,7,NIL,9000,,,,1,,900,5,21,20,1016,94,,NIL,,,
"['01:00', '30/01']",30/01 01:00,340,6,,9999,,,,1,,7000,5,20,20,1016,100,,,,,
"['02:00', '30/01']",30/01 02:00,350,5,,9999,,,,NIL,,7000,5,20,20,1017,100,,,,,
"['03:00', '30/01']",30/01 03:00,340,5,,9999,,,,NIL,,NIL,NIL,20,20,1016,100,,,,,
"['04:00', '30/01']",30/01 04:00,340,5,,9999,,,,NIL,,NIL,NIL,20,20,1016,100,,,,,
"['05:00', '30/01']",30/01 05:00,330,7,,9000,,,,NIL,,NIL,NIL,20,19,1016,94,,,,,
"['06:00', '30/01']",30/01 06:00,360,4,,9999,,,,NIL,,9000,5,20,19,1015,94,,,,,
"['07:00', '30/01']",30/01 07:00,360,4,,9999,,,,NIL,,NIL,NIL,20,19,1015,94,,,,,
"['08:00', '30/01']",30/01 08:00,350,3,,9999,,,,NIL,,NIL,NIL,20,19,1015,94,,,,,
"['09:00', '30/01']",30/01 09:00,280,3,,9999,,,,NIL,,4000,5,20,19,1016,94,,,,,
"['10:00', '30/01']",30/01 10:00,40,3,,9999,,,,NIL,,NIL,NIL,20,20,1016,100,,,,,
"['11:00', '30/01']",30/01 11:00,340,3,,9999,,,,NIL,,NIL,NIL,21,20,1017,94,,,,,
"['12:00', '30/01']",30/01 12:00,310,8,,9999,,,,NIL,,NIL,NIL,22,19,1017,83,,,,,
"['13:00', '30/01']",30/01 13:00,300,10,,9999,,,,NIL,,10000,5,23,20,1018,83,,,,,
"['14:00', '30/01']",30/01 14:00,280,10,,9999,,,,NIL,,1700,5,24,19,1017,74,,,,,
"['15:00', '30/01']",30/01 15:00,280,12,,9999,,,,NIL,,1900,5,24,19,1017,74,,,,,
"['16:00', '30/01']",30/01 16:00,310,12,,4500,,,,1,,2000,8,21,20,1017,94,,,,,
"['16:42', '30/01']",30/01 16:42,250,8,,9999,,,,NIL,,8000,5,21,18,1017,83,,,,,
"['17:00', '30/01']",30/01 17:00,250,8,,9999,,,,NIL,,8000,5,21,20,1016,94,,,,,
"['18:00', '30/01']",30/01 18:00,330,6,,9999,,,,1,,8000,5,21,20,1016,94,,,,,
"['19:00', '30/01']",30/01 19:00,280,6,,9999,,,,NIL,,10000,5,22,20,1016,88,,,,,
"['20:00', '30/01']",30/01 20:00,350,3,,9999,,,,NIL,,10000,5,23,20,1015,83,,,,,
"['21:00', '30/01']",30/01 21:00,330,8,,9999,,,,NIL,,10000,5,22,19,1015,83,,,,,
"['22:00', '30/01']",30/01 22:00,310,7,,9999,,,,NIL,,10000,5,21,19,1016,88,,,,,
"['23:00', '30/01']",30/01 23:00,290,5,,9999,,,,NIL,,NIL,3,21,19,1016,88,,,,,
"['00:00', '31/01']",31/01 00:00,290,5,,9999,,,,NIL,,NIL,NIL,21,19,1016,88,,,,,
"['01:00', '31/01']",31/01 01:00,340,2,NIL,9999,,,,,,NIL,NIL,20,20,1017,100,,,,,
"['02:00', '31/01']",31/01 02:00,340,4,NIL,9999,,,,,,NIL,NIL,21,19,1018,88,,,,,
"['03:00', '31/01']",31/01 03:00,330,6,NIL,9999,,,,,,8000,5,21,19,1018,88,,,,,
"['04:00', '31/01']",31/01 04:00,330,7,NIL,9999,,,,,,NIL,NIL,21,19,1017,88,,,,,
"['05:00', '31/01']",31/01 05:00,320,6,NIL,9999,,,,,,NIL,NIL,20,19,1016,94,,,,,
"['07:00', '31/01']",31/01 07:00,290,3,NIL,9999,,,,,,NIL,NIL,20,19,1015,94,,,,,
"['08:00', '31/01']",31/01 08:00,360,6,NIL,9999,,,,,,NIL,NIL,20,19,1015,94,,,,,
"['09:00', '31/01']",31/01 09:00,340,2,NIL,9999,,,,,,NIL,NIL,19,19,1016,100,,,,,
"['10:00', '31/01']",31/01 10:00,240,3,NIL,9999,,,,,,NIL,NIL,20,20,1017,100,,,,,
"['11:00', '31/01']",31/01 11:00,240,7,NIL,9999,,,,,,7000,8,21,20,1017,94,,,,,
"['12:00', '31/01']",31/01 12:00,270,7,NIL,9999,,,,,,1000,5,22,19,1017,83,,,,,
"['13:00', '31/01']",31/01 13:00,310,9,NIL,9999,,,,,,NIL,2,24,19,1017,74,,,,,
"['14:00', '31/01']",31/01 14:00,360,10,NIL,9999,,,,,,NIL,NIL,25,19,1016,69,,,,,
"['15:00', '31/01']",31/01 15:00,310,14,NIL,9999,,,,,,NIL,2,28,19,1015,58,,,,,
"['16:00', '31/01']",31/01 16:00,310,14,NIL,9999,,,,,,NIL,2,29,20,1015,58,,,,,
"['17:00', '31/01']",31/01 17:00,280,13,NIL,9999,,,,,,NIL,2,28,19,1015,58,,,,,
"['18:00', '31/01']",31/01 18:00,260,14,NIL,9999,,,,,,3000,5,27,18,1015,58,,,,,
"['19:00', '31/01']",31/01 19:00,250,12,250,9999,,,,,,10000,5,27,16,1014,51,,,,,
"['20:00', '31/01']",31/01 20:00,260,12,260,9999,,,,,,10000,5,26,18,1014,61,,,,,
"['21:00', '31/01']",31/01 21:00,280,9,280,9999,,,,,,10000,5,25,17,1014,61,,,,,
"['22:00', '31/01']",31/01 22:00,280,8,305,9999,,,,,,10000,5,24,17,1015,65,,,,,
"['23:00', '31/01']",31/01 23:00,310,5,NIL,9999,,,,,,10000,5,23,17,1015,69,,,,,
"['00:00', '01/02']",01/02 00:00,310,4,310,9999,,,,,,10000,5,23,17,1015,69,,,,,
"['01:00', '01/02']",01/02 01:00,20,4,NIL,9999,,,,NIL,,NIL,NIL,22,19,1016,83,,,,,
"['02:00', '01/02']",01/02 02:00,340,6,NIL,9999,,,,NIL,,10000,5,22,20,1016,88,,,,,
"['03:00', '01/02']",01/02 03:00,340,5,NIL,9999,,,,NIL,,NIL,NIL,21,19,1016,88,,,,,
"['04:00', '01/02']",01/02 04:00,320,5,NIL,9999,,,,NIL,,NIL,NIL,21,19,1015,88,,,,,
"['06:00', '01/02']",01/02 06:00,50,2,NIL,9999,,,,NIL,,NIL,NIL,20,19,1014,94,,,,,
"['07:00', '01/02']",01/02 07:00,260,4,NIL,9999,,,,1,,6000,5,21,19,1015,88,,,,,
"['08:00', '01/02']",01/02 08:00,300,3,NIL,9999,,,,1,,8000,5,20,20,1014,100,,,,,
"['09:00', '01/02']",01/02 09:00,360,2,NIL,9999,,,,1,,5000,5,20,19,1015,94,,,,,
"['09:15', '01/02']",01/02 09:15,260,2,NIL,9999,,,,1,,900,5,20,19,1015,94,,,,,
"['10:00', '01/02']",01/02 10:00,30,2,NIL,8000,,,,1,,1000,8,20,20,1016,100,,,,,
"['11:00', '01/02']",01/02 11:00,VRB,2,NIL,9999,,,,NIL,,5000,5,20,20,1016,100,,,,,
"['12:00', '01/02']",01/02 12:00,360,4,185,9999,,,,NIL,,3500,5,21,19,1016,88,,,,,
"['13:00', '01/02']",01/02 13:00,VRB,4,NIL,9999,,,,NIL,,4000,5,24,20,1016,78,,,,,
"['14:00', '01/02']",01/02 14:00,310,7,150,9999,,,,NIL,,3500,5,25,18,1016,65,,,,,
"['15:00', '01/02']",01/02 15:00,320,11,320,9999,,,,NIL,,5000,5,26,19,1016,65,,,,,
"['16:00', '01/02']",01/02 16:00,320,11,310,9999,,,,NIL,,3500,5,26,19,1015,65,,,,,
"['17:00', '01/02']",01/02 17:00,320,13,NIL,9999,,,,NIL,,3000,5,27,19,1014,62,,,,,
"['18:00', '01/02']",01/02 18:00,280,12,285,9999,,,,NIL,,3000,5,27,19,1014,62,,,,,
"['19:00', '01/02']",01/02 19:00,300,11,NIL,9999,,,,NIL,,3000,5,27,19,1014,62,,,,,
"['20:00', '01/02']",01/02 20:00,260,11,265,9999,,,,NIL,,NIL,3,28,19,1014,58,,,,,
"['21:00', '01/02']",01/02 21:00,260,8,NIL,9999,,,,NIL,,NIL,3,26,19,1014,65,,,,,
"['22:00', '01/02']",01/02 22:00,200,6,NIL,9999,,,,NIL,,NIL,3,25,20,1014,74,,,,,
"['23:00', '01/02']",01/02 23:00,210,4,NIL,9999,,,,NIL,,NIL,3,24,20,1014,78,,,,,
"['00:00', '02/02']",02/02 00:00,40,3,40,9999,,,,NIL,,NIL,2,23,20,1015,83,,,,,
"['01:00', '02/02']",02/02 01:00,90,4,NIL,9999,NIL,NIL,,NIL,NIL,4000,5,22,21,1016,94,,NIL,,,
"['02:00', '02/02']",02/02 02:00,10,3,NIL,9999,NIL,NIL,,NIL,NIL,NIL,2,22,21,1017,94,,NIL,,,
"['03:00', '02/02']",02/02 03:00,340,1,NIL,9999,NIL,NIL,,NIL,NIL,1200,5,22,21,1016,94,,NIL,,,
"['04:00', '02/02']",02/02 04:00,120,2,NIL,9999,NIL,NIL,,NIL,NIL,1300,5,21,21,1016,100,,NIL,,,
"['05:00', '02/02']",02/02 05:00,30,4,NIL,9999,NIL,NIL,,NIL,NIL,1300,5,21,21,1015,100,,NIL,,,
"['06:00', '02/02']",02/02 06:00,100,3,NIL,9999,NIL,NIL,,NIL,NIL,1300,5,20,20,1015,100,,NIL,,,
"['07:00', '02/02']",02/02 07:00,350,4,NIL,9999,NIL,NIL,,NIL,NIL,700,5,20,20,1015,100,,NIL,,,
"['08:00', '02/02']",02/02 08:00,100,3,NIL,9999,NIL,NIL,,NIL,NIL,400,5,21,21,1016,100,,NIL,,,
"['09:00', '02/02']",02/02 09:00,270,5,NIL,9999,NIL,NIL,,NIL,NIL,500,8,21,21,1016,100,,NIL,,,
"['10:00', '02/02']",02/02 10:00,300,5,NIL,4500,NIL,NIL,,NIL,1,600,8,21,20,1017,94,,NIL,,,
"['11:00', '02/02']",02/02 11:00,340,3,NIL,8000,NIL,NIL,,NIL,NIL,500,8,21,20,1017,94,,NIL,,,
"['12:00', '02/02']",02/02 12:00,340,1,NIL,9999,NIL,NIL,,NIL,NIL,900,8,22,20,1017,88,,NIL,,,
"['13:00', '02/02']",02/02 13:00,320,3,NIL,9999,NIL,NIL,,NIL,NIL,1000,5,24,21,1017,83,,NIL,,,
"['13:40', '02/02']",02/02 13:40,VRB,2,NIL,9999,NIL,NIL,,NIL,NIL,2000,5,25,20,1017,74,,NIL,,,
"['14:00', '02/02']",02/02 14:00,VRB,2,NIL,9999,NIL,NIL,,NIL,NIL,2000,5,26,20,1017,70,,NIL,,,
"['15:00', '02/02']",02/02 15:00,320,7,NIL,9999,NIL,NIL,,NIL,NIL,3000,5,27,20,1017,66,,NIL,,,
"['16:00', '02/02']",02/02 16:00,180,3,NIL,9999,NIL,NIL,,1,NIL,3500,5,25,22,1017,83,,NIL,,,
