"","week","Aeroporto","Sum_Ob","Sum_Ab","Sum_ObxAbxS"
"1",1,"SBAA",2.11781096515152,5.41722195087626,NA
"2",1,"SBAC",3.10387962720496,8.7523626164236,NA
"3",1,"SBAE",4.08812861736206,10.2304466482301,NA
"4",1,"SBAF",2.87332518190146,11.8772521665394,NA
"5",1,"SBAM",1.26074929130929,5.34473970867693,NA
"6",1,"SBAN",3.45008500967345,7.61437062527132,NA
"7",1,"SBAQ",3.76329478407218,10.2276640452591,NA
"8",1,"SBAR",2.85291727672776,9.07142596975293,NA
"9",1,"SBAT",1.71891097954394,3.4886376199623,NA
"10",1,"SBAU",3.73325122243068,11.264561093049,NA
"11",1,"SBAX",3.41496265957169,7.75439080072482,NA
"12",1,"SBBE",1.66664696747916,7.97720604053647,NA
"13",1,"SBBG",4.44993339700411,12.5718992935615,NA
"14",1,"SBBH",3.18606527996998,8.7276140487832,NA
"15",1,"SBBI",2.79437403074082,7.04575023063598,NA
"16",1,"SBBP",3.43828747779853,9.54412384898399,NA
"17",1,"SBBQ",2.80309771739093,6.49374954251487,NA
"18",1,"SBBR",3.21965387919885,8.25022479613347,NA
"19",1,"SBBT",3.80880998520582,10.7564603010911,NA
"20",1,"SBBU",3.93133066523991,9.92279553382956,NA
"21",1,"SBBV",2.74768047592944,9.34337208405784,NA
"22",1,"SBBW",2.93820237222626,6.18299983793542,NA
"23",1,"SBBZ",3.42846160015152,11.8635834147176,NA
"24",1,"SBCA",3.18468068401311,8.91141462696144,NA
"25",1,"SBCB",3.43997402173408,12.0531863849016,NA
"26",1,"SBCC",0.905818741792947,2.11971172388473,NA
"27",1,"SBCD",2.42869972525274,5.30248911907665,NA
"28",1,"SBCF",3.87183027597619,9.76643176756653,NA
"29",1,"SBCG",4.01682826172974,11.0570895573964,NA
"30",1,"SBCH",2.41673258186863,6.26098303568345,NA
"31",1,"SBCI",1.89362074014534,4.8873823782152,NA
"32",1,"SBCJ",0.893352807640486,2.57761334091664,NA
"33",1,"SBCM",3.37856711604333,10.5771501342556,NA
"34",1,"SBCN",3.93861634352433,9.47501339936276,NA
"35",1,"SBCO",3.50424885676179,9.94589333679203,NA
"36",1,"SBCP",2.90238657932616,10.943255464618,NA
"37",1,"SBCR",3.35368024654202,11.8348416339739,NA
"38",1,"SBCT",2.68770734035696,6.83341026616593,NA
"39",1,"SBCV",2.19145277757498,7.59010801923574,NA
"40",1,"SBCX",2.10275383353602,4.92723241517603,NA
"41",1,"SBCY",2.97304006299718,7.5084724814181,NA
"42",1,"SBCZ",1.78440583752513,6.35810456229019,NA
"43",1,"SBDB",4.03094587372799,10.5708022014378,NA
"44",1,"SBDN",3.8264793767746,9.82730647810777,NA
"45",1,"SBDO",3.97740063616653,12.4196188877416,NA
"46",1,"SBEG",1.02082883816689,4.1911614868777,NA
"47",1,"SBEK",0.579029913090802,1.64300378709058,NA
"48",1,"SBES",3.8227086447318,13.2302431614373,NA
"49",1,"SBFI",3.20474488695401,8.92814370705197,NA
"50",1,"SBFL",2.20303767578205,7.4500099355926,NA
"51",1,"SBFN",0,0,NA
"52",1,"SBFU",3.35738985720121,9.10315035309131,NA
"53",1,"SBFZ",2.75619563991358,8.64779703372585,NA
"54",1,"SBGL",2.7736758658559,11.3413360682316,NA
"55",1,"SBGM",1.8204503697456,4.67973118999838,NA
"56",1,"SBGO",4.01089176793412,9.86538759995394,NA
"57",1,"SBGP",3.78991941796019,10.4163183845287,NA
"58",1,"SBGR",2.87475777462466,8.54199394247695,NA
"59",1,"SBGU",2.86381073222256,7.24417819128871,NA
"60",1,"SBGV",2.88226179366047,7.32586240664101,NA
"61",1,"SBGW",3.43637509485768,9.55446299718194,NA
"62",1,"SBHT",1.16113768033297,3.89302388550295,NA
"63",1,"SBIC",1.37213594721675,6.32486600168436,NA
"64",1,"SBIH",1.08868730955058,3.35770866352175,NA
"65",1,"SBIL",1.7183744094167,5.26873662410109,NA
"66",1,"SBIP",2.40339121758405,6.56463689365857,NA
"67",1,"SBIT",3.62463758986016,10.3496600785216,NA
"68",1,"SBIZ",1.76092885922235,4.79144005537334,NA
"69",1,"SBJA",3.84831788894526,11.9097193300812,NA
"70",1,"SBJC",1.58538318095869,7.51136823710946,NA
"71",1,"SBJD",3.51719307120329,9.40549825450856,NA
"72",1,"SBJE",2.93826488221032,8.38790153227428,NA
"73",1,"SBJF",2.81368482210851,7.2486726124497,NA
"74",1,"SBJH",3.11852294024007,8.27448484265045,NA
"75",1,"SBJI",1.66098031301806,3.53189522081536,NA
"76",1,"SBJP",2.90613299109615,9.8873328157629,NA
"77",1,"SBJR",2.64739757592089,12.5603837865625,NA
"78",1,"SBJU",2.22546153306755,6.15257062788756,NA
"79",1,"SBJV",2.46524145068771,7.00516268649294,NA
"80",1,"SBKG",2.76353123959373,8.22346982947683,NA
"81",1,"SBKP",4.37301689067405,11.9052580167217,NA
"82",1,"SBLE",2.17743251378712,5.60708180256173,NA
"83",1,"SBLJ",2.72640377565537,5.86243142012288,NA
"84",1,"SBLN",3.77299309765397,10.3597424378606,NA
"85",1,"SBLO",3.4836167830706,9.8086335771638,NA
"86",1,"SBLP",3.18699148209656,14.4836794829711,NA
"87",1,"SBLS",3.60760292970861,9.29142655915538,NA
"88",1,"SBMA",1.82672666379525,5.4893204116448,NA
"89",1,"SBMC",1.8813665859109,4.26548517596439,NA
"90",1,"SBMD",0.419964937344967,1.87991985910698,NA
"91",1,"SBME",3.14094058775652,9.46380864762877,NA
"92",1,"SBMG",3.72594402236194,10.4568709904218,NA
