vnt_vel_max_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,vnt_rajada_mode,chuva_mode,trovoada_mode,teto_mode,vnt_vel_mean,vnt_vel_top3_mean,tt_top3_mean,po_top3_mean,qnh_top3_mean,ur_top3_mean,chuva_count,week,year,Aeroporto_
11.571428571428571,23.96938775510204,20.459183673469386,1014.1428571428571,81.39795918367346,190,,1,,2000,5.969387755102041,14.666666666666666,27.333333333333332,22.0,1017.0,96.0,13.0,10,2020,SBRJ
12.428571428571429,25.76595744680851,21.95744680851064,1015.1382978723404,79.8936170212766,160,,,,10000,6.138297872340425,13.666666666666666,29.666666666666668,24.0,1017.0,94.0,0.0,11,2020,SBRJ
12.285714285714286,26.53125,22.802083333333332,1011.0520833333334,80.85416666666667,160,,1,,10000,6.145833333333333,16.0,32.0,25.0,1016.6666666666666,96.0,7.0,12,2020,SBRJ
12.142857142857142,24.19148936170213,20.180851063829788,1016.6276595744681,78.73404255319149,160,,,,10000,5.776595744680851,13.0,27.0,23.0,1019.6666666666666,94.0,0.0,13,2020,SBRJ
12.571428571428571,26.02409638554217,21.10843373493976,1012.2530120481928,75.79518072289157,160,26,1,,10000,6.63855421686747,17.333333333333332,32.666666666666664,23.333333333333332,1017.0,94.0,1.0,14,2020,SBRJ
9.285714285714286,23.125,19.8375,1014.7375,82.1875,10,,1,,5000,5.4625,13.333333333333334,28.333333333333332,23.0,1019.0,94.0,8.0,15,2020,SBRJ
9.285714285714286,23.987951807228917,19.903614457831324,1016.8072289156627,78.55421686746988,20,,1,,2000,4.843373493975903,12.666666666666666,28.666666666666668,22.333333333333332,1022.0,90.66666666666667,7.0,16,2020,SBRJ
11.714285714285714,23.7375,19.5375,1018.05,77.75,160,,,,1000,5.8125,13.333333333333334,27.333333333333332,21.0,1021.0,94.0,0.0,17,2020,SBRJ
11.285714285714286,24.204819277108435,19.72289156626506,1017.9759036144578,77.3012048192771,360,,1,,5000,6.313253012048193,15.0,31.666666666666668,22.0,1023.0,94.0,1.0,18,2020,SBRJ
9.571428571428571,21.670731707317074,17.341463414634145,1017.9146341463414,77.46341463414635,20,,1,,1000,5.463414634146342,12.333333333333334,27.333333333333332,21.666666666666668,1024.3333333333333,94.0,10.0,19,2020,SBRJ
11.0,22.38372093023256,18.627906976744185,1016.4418604651163,80.20930232558139,10,,1,,1000,5.813953488372093,14.0,26.666666666666668,21.0,1020.0,94.0,12.0,20,2020,SBRJ
10.857142857142858,23.79746835443038,19.151898734177216,1018.253164556962,76.10126582278481,360,,1,,2300,6.265822784810126,13.333333333333334,31.666666666666668,21.0,1025.0,94.0,7.0,21,2020,SBRJ
10.285714285714286,21.175,15.9,1016.05,73.3625,340,,1,,4500,6.4625,11.666666666666666,26.333333333333332,19.0,1022.0,94.0,2.0,22,2020,SBRJ
11.142857142857142,22.858974358974358,18.935897435897434,1017.8846153846154,78.88461538461539,360,,,,10000,5.794871794871795,14.666666666666666,26.333333333333332,21.0,1023.0,89.0,0.0,23,2020,SBRJ
9.857142857142858,24.271604938271604,21.25925925925926,1015.5679012345679,83.8395061728395,360,,1,,10000,6.592592592592593,16.0,29.333333333333332,23.0,1023.0,94.0,2.0,24,2020,SBRJ
