vnt_vel_max_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,vnt_rajada_mode,chuva_mode,trovoada_mode,teto_mode,vnt_vel_mean,vnt_vel_top3_mean,tt_top3_mean,po_top3_mean,qnh_top3_mean,ur_top3_mean,week,year,Aeroporto_,Aeroporto,avistamento,colisao,quase_colisao,Unnamed: 0,Ob_mean,Ab_mean,ObxAbxS_Mean,Voos_como_Destino,Voos_como_Origem,Total_Voos
7.4,22.66176470588235,19.735294117647054,1012.0882352941176,85.1470588235294,0,,1.0,1.0,2000.0,3.4776119402985075,9.333333333333334,32.0,22.0,1015.6666666666666,100.0,1,2020.0,SBGR,SBGR,0.0,3.0,0.0,58.0,0.239390455200755,0.734932366030349,24.64038252834,2900.0,2938.0,5838.0
10.428571428571429,25.08333333333333,21.45833333333333,1014.53125,82.28125,0,,1.0,1.0,4000.0,5.125,13.333333333333334,32.333333333333336,23.33333333333333,1018.0,100.0,2,2020.0,SBGR,SBGR,0.0,6.0,0.0,217.0,0.233194002006214,0.717747939400822,24.4337072873481,2935.0,2943.0,5878.0
9.142857142857142,22.164948453608247,19.68041237113402,1018.5773195876288,87.02061855670104,140,31.0,1.0,1.0,1100.0,5.474226804123711,12.333333333333334,31.666666666666668,23.0,1022.6666666666666,100.0,3,2020.0,SBGR,SBGR,1.0,7.0,0.0,376.0,0.230603099544436,0.725077165571826,25.3268910521309,2946.0,2949.0,5895.0
8.0,20.67708333333333,17.375,1011.8541666666666,83.71875,0,,1.0,,1300.0,4.166666666666667,10.666666666666666,29.33333333333333,20.33333333333333,1017.6666666666666,100.0,4,2020.0,SBGR,SBGR,1.0,3.0,0.0,535.0,0.227906388080658,0.737036795158933,25.9122863798431,2944.0,2916.0,5860.0
10.571428571428571,24.451612903225808,19.193548387096776,1016.3333333333334,75.39784946236558,310,22.0,1.0,1.0,4000.0,6.064516129032258,16.0,32.0,22.666666666666668,1019.0,100.0,5,2020.0,SBGR,SBGR,,,,694.0,0.224711686485645,0.752528158370107,26.3930524488329,2899.0,2913.0,5812.0
9.428571428571429,23.416666666666668,20.416666666666668,1016.5,85.01041666666667,60,,1.0,1.0,500.0,5.104166666666667,14.0,30.0,23.0,1019.0,100.0,6,2020.0,SBGR,SBGR,0.0,3.0,0.0,853.0,0.225852008315774,0.779433095585322,27.7943990500344,2815.0,2808.0,5623.0
9.142857142857142,21.114285714285717,18.97142857142857,1017.2666666666668,89.3047619047619,0,19.0,1.0,1.0,700.0,4.228571428571429,12.0,32.0,22.33333333333333,1020.0,100.0,7,2020.0,SBGR,SBGR,0.0,1.0,0.0,1012.0,0.227217805463947,0.78719154388527,28.6474441226362,2854.0,2856.0,5710.0
9.142857142857142,22.62857142857143,20.01904761904762,1016.3714285714286,86.99047619047619,0,,1.0,,3000.0,4.123809523809523,11.666666666666666,31.33333333333333,23.0,1022.0,100.0,8,2020.0,SBGR,SBGR,2.0,2.0,0.0,1171.0,0.228307076374017,0.775036188748909,29.0879798290076,2564.0,2562.0,5126.0
9.666666666666666,20.80952380952381,18.761904761904763,1016.6785714285714,88.85714285714286,60,,1.0,1.0,1100.0,6.476190476190476,12.333333333333334,29.0,22.0,1021.0,100.0,9,2020.0,SBGR,SBGR,1.0,8.0,0.0,1330.0,0.227646178664973,0.781122294410098,28.9435122873972,2794.0,2793.0,5587.0
7.428571428571429,19.918367346938776,16.877551020408163,1017.8877551020408,84.26530612244898,0,,1.0,1.0,1300.0,3.887755102040817,8.333333333333334,26.0,20.0,1020.3333333333334,100.0,10,2020.0,SBGR,SBGR,0.0,5.0,0.0,1489.0,0.224263448671029,0.790619378055065,29.8639305958734,2811.0,2799.0,5610.0
8.857142857142858,22.96875,18.4375,1018.7708333333334,78.40625,60,,,,900.0,4.71875,11.0,32.0,21.0,1021.0,100.0,11,2020.0,SBGR,SBGR,1.0,11.0,0.0,1648.0,0.221008906217289,0.790686743222155,30.1149555308748,2793.0,2795.0,5588.0
9.714285714285714,23.032258064516128,19.365591397849464,1015.9139784946236,82.02150537634408,130,,1.0,,4000.0,4.913978494623656,11.666666666666666,31.0,22.33333333333333,1020.6666666666666,100.0,12,2020.0,SBGR,SBGR,0.0,12.0,0.0,1807.0,0.217758166210851,0.786627888758636,30.6140721125988,1730.0,1705.0,3435.0
10.428571428571429,20.47872340425532,15.882978723404255,1019.7659574468086,77.76595744680851,60,16.0,1.0,,10000.0,5.670212765957447,13.333333333333334,28.666666666666668,21.33333333333333,1023.0,100.0,13,2020.0,SBGR,SBGR,1.0,2.0,0.0,1966.0,0.220073362736035,0.782844515179798,30.2372068509223,558.0,571.0,1129.0
9.142857142857142,22.106382978723403,17.925531914893618,1016.2340425531914,79.75531914893617,70,25.0,1.0,,600.0,5.542553191489362,17.0,30.666666666666668,21.0,1020.6666666666666,100.0,14,2020.0,SBGR,SBGR,0.0,2.0,0.0,2125.0,0.223305804547602,0.804615646542066,30.9813098267691,361.0,358.0,719.0
8.142857142857142,19.21276595744681,14.085106382978724,1018.2765957446808,74.85106382978724,130,,,,1000.0,4.808510638297872,11.666666666666666,30.0,18.0,1022.0,100.0,15,2020.0,SBGR,SBGR,0.0,2.0,0.0,2284.0,0.228027337198093,0.819400344294094,31.1462065806093,288.0,308.0,596.0
