"semana_num","real_arr","count","median_angulo","max_angulo","min_angulo","median_pista","max_pista","min_pista","mean_transit_time","median_transit_time","max_transit_time","min_transit_time","mean_distancia_voada","median_distancia_voada","max_distancia_voada","min_distancia_voada","mean_first_speed","median_first_speed","max_first_speed","min_first_speed","mean_last_speed","median_last_speed","max_last_speed","min_last_speed","mean_mean_speed","median_mean_speed","max_mean_speed","min_mean_speed"
21,"SBMO",15,51,217,44,100,100,100,13.1348280533155,11.91046833992,22.4811252514521,11.0089535355568,46.3835208799968,44.1739907068051,77.9253447508591,42.2244664372401,282.565804171642,298.683015530583,377.602428069191,167,53.267313292127,42.8687465082437,141,28.9102112952775,202.154898243233,207.444340432603,241.245383836151,158.956513788385
21,"SBNF",10,197.5,209,64,235,235,55,13.5692518540223,13.3957472980022,19.88835760355,9.39618253310521,49.116989532439,43.8907494310074,78.1613013660258,40.978036686401,316.931695806534,329.503184421046,398.880163636884,167.43314861506,108.743725980194,122.924774046957,130,6.5877117080212,201.679994641263,205.116880998046,238.799890019342,159.176809533852
21,"SBPA",41,211,232,153,271,271,91,12.9431035119344,12.8827675819397,16.3941537896792,9.66057926416397,48.4160313172842,46.0197824056657,59.7802011828876,41.6553022724378,324.927077789492,321.409970563753,497.736908718886,219.492997826889,123.943055912455,129,145,0,208.263074376389,209.011415814062,340.203485849731,159.211071642951
21,"SBPS",2,68.5,86,51,74,74,74,13.0991930921872,13.0991930921872,14.2018416444461,11.9965445399284,40.250870202449,40.250870202449,41.3785668165872,39.1231735883107,246.678531026625,246.678531026625,320.932947572954,172.424114480295,34.2579976432526,34.2579976432526,39.2279406745665,29.2880546119388,167.344250676595,167.344250676595,191.736109748229,142.952391604961
21,"SBRF",70,55,210,29,161,341,161,13.2750810987041,13.0710685233275,23.9958042701085,9.84419136444728,52.4299696189166,54.8015886110072,94.6110600600962,39.4084800552725,346.592056228272,351.765683788298,455.906286332744,157,121.585714285714,123,157,75,217.257022597801,221.005840453324,258.080411495327,141.61366399361
21,"SBRJ",67,80,271,54,176,356,99,11.7665635191386,11.6819310108821,15.7645336588224,9.02362174987793,43.7025192945211,42.8864649380655,53.5706496832215,39.7135391665299,320.775436030892,319.027691871461,398.978677800247,209,109.597918864197,118.447901755944,139,40.0747963028709,215.26494939427,209.359773113212,284.414267598546,160.906745160112
21,"SBSG",12,36.5,43,15,99,99,99,12.5260081466701,12.2584313352903,17.3358241160711,11.062671649456,48.2175979206077,46.4295415210449,61.9525363170293,45.5747621698679,327.505668594933,325.228066424825,368.42004892329,307.044834076987,132.02519638668,132.5,157,89.3023566401641,217.068590368278,213.739795611667,249.081281080441,203.492960556835
21,"SBSP",42,172,274,32,327,327,147,15.2189349037314,15.4006402035554,21.1296175082525,10.1547286272049,57.1853168492154,52.1147926058334,80.3046285234671,39.6644599603341,319.632871113699,329.266344818917,395.799220285795,180.56967177852,80.5860946257873,100.221443065164,130,7.82740668785564,212.139235127788,214.193687974194,266.614047244807,167.245411708999
21,"SBSV",35,46,214,24,78,143,78,11.3953670306433,10.9681268334389,15.9289700269699,9.5601549744606,42.4563664948222,41.5623061533683,60.1985805906816,40.1026732489543,313.884082271815,315.739532291944,384.496552622546,194.886932945826,122.489776502028,132,151.150725500876,51.5260768736136,210.377600301779,210.464558595981,242.685500792895,177.58728473459
21,"SBVT",40,35.5,204,25,352,352,172,13.5778571692109,13.138974438111,19.2937334140142,10.2380245963732,53.0406196882732,52.6169565024582,71.3355435549219,39.8242210725829,343.847474880113,345.031506989033,436.426886184274,198.466267376919,115.272478633897,122,148,52,209.921387189816,208.854748360493,256.105877178804,160.123287671233
22,"SBBE",46,71,360,1,45,45,5,17.1342153423938,13.2251817425092,70.0632611751556,10.2028798540433,59.1334647332367,48.1488999410581,155.216083622952,39.6842050760537,316.115989460587,320.780064396961,435.197008666242,151.792436597589,129.926206991211,130.743305847751,184,87,207.882702446974,209.444002177471,259.256665185068,140.902723896605
22,"SBBR",89,31,359,1,86,266,86,13.2537146826808,12.3154405792554,33.3227626283964,9.1267461180687,50.4699229860144,48.6385479418793,76.3716779152242,39.9924865448734,340.817369294443,339.973597574777,466.841627898475,118.296840756389,112.222059805796,131,214,6.32064823986189,210.986421220509,213.193867987821,294.01631287889,110.790644246528
22,"SBCF",77,42,350,38,138,318,138,13.2929094327477,12.8139169891675,24.387290596962,9.75604114532471,53.5161639012593,53.257543240022,72.0182897068288,39.6211335667371,344.997776941303,356.515142661084,445.036839103085,166.230213687226,99.8280878077849,106,146,19.2340048311912,212.970287548218,214.469674975749,256.478202207931,156.070178832069
22,"SBCT",42,212,251,156,134,314,134,12.562276251827,12.5075078825156,16.3285019199053,10.1933788657188,50.1572972336632,49.401185546613,68.0684007449235,41.382892586847,335.84970198437,333.409504639768,387.344813415813,242.885653027729,99.7142857142857,109,153,48,213.641616030359,212.5929271387,238.06968060485,192.423883575389
22,"SBCY",34,301,334,97,152,332,152,13.7759824545944,13.8949799199899,26.8902958194415,9.96360071500142,54.4453164339842,54.6823303972202,106.921450615111,40.3380552454558,344.579919185091,356.664693433989,456.240172010964,159,105.411060690055,114.5,157,11.2853266610307,213.159893624223,219.390231602614,236.65299945189,150.91674194517
22,"SBEG",59,340,358,1,90,270,90,13.8088827754818,13.1569165945053,25.1770909349124,11.4298313895861,52.8668247698806,52.533326056306,99.0222462530372,40.2815679893647,340.445131869045,358.466116426652,452.34935544647,159.406399801123,109.561594072507,113,156,14.6193613509489,214.61205779338,219.77982426169,245.28936645489,142.088709354192
22,"SBFI",6,245.5,247,235,130,130,130,13.9589792841011,13.9201646308104,14.7004928429921,13.1189486463865,58.1384340927267,58.3830935641998,59.1532781812157,56.5527468430165,341.536723010279,337.878043215873,362.958468830367,326.902555345353,89.9596142970529,98,133,26.7576857823175,233.408258004062,230.715285393992,253.390188536025,221.844148102375
22,"SBFL",21,186,206,102,121,301,121,11.4330102782401,11.4331163326899,12.7776016990344,9.5679502526919,45.5174364551665,45.6101088844275,53.6931734880778,40.208782847087,344.520325743604,349.174552340733,415.520312690409,268.68137118836,129.989290890526,131,145,66.8325374188246,220.109872555736,217.720010509526,241.135533090475,203.007757750259
