vnt_vel_max_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,vnt_rajada_mode,chuva_mode,trovoada_mode,teto_mode,week,year,Aeroporto_
8.6,22.650793650793652,17.523809523809526,1015.8888888888889,74.6984126984127,60,,1,,2300,1,2020,SBGR
11.0,24.473684210526315,19.873684210526317,1014.7473684210527,77.25263157894737,80,24,1,1,2300,2,2020,SBGR
11.428571428571429,24.1340206185567,19.432989690721648,1015.3298969072165,76.76288659793815,130,,1,1,3000,3,2020,SBGR
9.714285714285714,23.93548387096774,18.666666666666668,1017.7096774193549,75.31182795698925,80,,,1,4500,4,2020,SBGR
13.571428571428571,25.085106382978722,18.372340425531913,1015.4893617021277,69.57446808510639,330,21,1,1,4500,5,2020,SBGR
8.714285714285714,22.44,17.64,1014.3,76.49,140,,1,1,4000,6,2020,SBGR
11.142857142857142,22.085106382978722,18.0531914893617,1014.7340425531914,80.17021276595744,80,,1,1,4000,7,2020,SBGR
9.428571428571429,22.928571428571427,17.846938775510203,1014.7448979591836,76.56122448979592,70,,1,,4000,8,2020,SBGR
13.166666666666666,22.050632911392405,18.49367088607595,1015.9113924050633,82.12658227848101,70,26,1,1,10000,9,2020,SBGR
11.285714285714286,23.094736842105263,18.378947368421052,1015.0631578947368,77.42105263157895,310,23,1,1,3000,10,2020,SBGR
8.142857142857142,23.043010752688172,17.806451612903224,1014.9569892473119,76.09677419354838,70,,1,,900,11,2020,SBGR
9.857142857142858,22.885416666666668,18.34375,1017.65625,78.92708333333333,70,,1,1,10000,12,2020,SBGR
6.857142857142857,24.263736263736263,18.24175824175824,1017.8241758241758,72.64835164835165,70,,,,4000,13,2020,SBGR
8.571428571428571,20.543478260869566,15.369565217391305,1017.0869565217391,74.77173913043478,0,,,,4000,14,2020,SBGR
10.857142857142858,20.70212765957447,14.882978723404255,1020.3085106382979,72.92553191489361,70,17,1,,1100,15,2020,SBGR
9.714285714285714,19.285714285714285,15.459183673469388,1018.7755102040817,80.06122448979592,70,,1,,1100,16,2020,SBGR
7.428571428571429,18.705263157894738,14.83157894736842,1017.7789473684211,81.10526315789474,0,,1,,1100,17,2020,SBGR
8.857142857142858,18.278350515463917,14.11340206185567,1021.4226804123712,79.31958762886597,70,,,,1100,18,2020,SBGR
10.0,18.5531914893617,13.595744680851064,1022.0212765957447,77.12765957446808,80,,,,1700,19,2020,SBGR
9.714285714285714,16.989795918367346,13.806122448979592,1020.1836734693877,83.96938775510205,70,,1,,200,20,2020,SBGR
10.857142857142858,17.591836734693878,11.744897959183673,1017.234693877551,73.5,300,23,1,,3000,21,2020,SBGR
10.571428571428571,18.903225806451612,12.881720430107526,1018.6881720430108,72.63440860215054,70,22,,1,900,22,2020,SBGR
9.571428571428571,18.824742268041238,14.556701030927835,1020.7731958762887,79.80412371134021,70,,,,200,23,2020,SBGR
8.714285714285714,16.9375,13.885416666666666,1020.9375,83.625,70,,1,,1500,24,2020,SBGR
9.285714285714286,15.92,12.59,1021.39,82.52,80,,1,,900,25,2020,SBGR
10.428571428571429,17.27659574468085,13.180851063829786,1021.0212765957447,79.7127659574468,70,,1,,1300,26,2020,SBGR
9.285714285714286,13.150537634408602,9.053763440860216,1025.4516129032259,79.64516129032258,80,,1,,1100,27,2020,SBGR
10.428571428571429,15.473684210526315,10.6,1023.1263157894737,76.74736842105263,70,,,,900,28,2020,SBGR
9.714285714285714,16.902173913043477,9.597826086956522,1020.75,68.02173913043478,80,,1,1,10000,29,2020,SBGR
10.285714285714286,14.021052631578947,7.326315789473684,1025.0526315789473,70.21052631578948,70,,,,200,30,2020,SBGR
11.571428571428571,12.26595744680851,6.882978723404255,1024.287234042553,74.20212765957447,70,22,1,,900,31,2020,SBGR
10.142857142857142,15.58695652173913,10.858695652173912,1026.6847826086957,77.3913043478261,70,,,,1500,32,2020,SBGR
9.857142857142858,16.145833333333332,12.614583333333334,1021.7916666666666,82.625,80,17,1,1,1300,33,2020,SBGR
8.714285714285714,20.231578947368423,10.221052631578948,1019.7473684210527,60.126315789473686,80,,,,200,34,2020,SBGR
11.142857142857142,19.263157894736842,12.694736842105263,1019.8631578947368,71.81052631578947,80,,1,,1700,35,2020,SBGR
10.571428571428571,19.5625,13.145833333333334,1020.4375,71.32291666666667,70,20,,,1100,36,2020,SBGR
9.714285714285714,21.989690721649485,16.04123711340206,1017.8453608247422,73.58762886597938,70,24,1,,10000,37,2020,SBGR
11.285714285714286,22.315217391304348,15.83695652173913,1019.2391304347826,71.53260869565217,70,,,,700,38,2020,SBGR
10.142857142857142,18.764705882352942,13.166666666666666,1019.7450980392157,73.38235294117646,80,29,1,1,3000,39,2020,SBGR
9.714285714285714,20.88659793814433,15.855670103092784,1015.5463917525773,75.89690721649484,60,19,1,1,700,40,2020,SBGR
11.0,18.071428571428573,15.326530612244898,1018.1632653061224,85.04081632653062,70,,1,,1500,41,2020,SBGR
10.428571428571429,20.31578947368421,16.178947368421053,1016.421052631579,79.4,70,,1,,900,42,2020,SBGR
10.0,17.851063829787233,13.819148936170214,1017.563829787234,79.92553191489361,160,22,1,1,1300,43,2020,SBGR
11.142857142857142,19.91919191919192,17.181818181818183,1020.030303030303,85.13131313131314,70,25,1,1,1300,44,2020,SBGR
8.285714285714286,20.819148936170212,15.127659574468085,1015.063829787234,72.86170212765957,120,,1,,900,45,2020,SBGR
11.0,18.389473684210525,13.863157894736842,1018.8736842105263,76.73684210526316,130,20,1,,1500,46,2020,SBGR
