"Aeroporto","Semana","Voos_como_Destino","Voos_como_Origem","Total_Voos"
"SBVT",1,266,268,534
"SBVT",2,282,281,563
"SBVT",3,286,285,571
"SBVT",4,285,286,571
"SBVT",5,271,273,544
"SBVT",6,254,254,508
"SBVT",7,254,253,507
"SBVT",8,217,218,435
"SBVT",9,247,244,491
"SBVT",10,251,250,501
"SBVT",11,241,241,482
"SBVT",12,125,128,253
"SBVT",13,42,42,84
"SBVT",14,25,26,51
"SBVT",15,21,19,40
"SBVT",16,24,24,48
"SBVT",17,27,27,54
"SBVT",18,24,25,49
"SBVT",19,29,32,61
"SBVT",20,32,33,65
"SBVT",21,39,38,77
"SBVT",22,38,38,76
"SBVT",23,42,48,90
"SBVT",24,48,47,95
"SBVT",25,55,60,115
"SBVT",26,64,62,126
"SBVT",27,70,71,141
"SBVT",28,68,71,139
"SBVT",29,80,77,157
"SBVT",30,74,72,146
"SBVT",31,77,78,155
"SBVT",32,89,89,178
"SBVT",33,99,97,196
"SBVT",34,105,104,209
"SBVT",35,106,105,211
"SBVT",36,121,119,240
"SBVT",37,127,129,256
"SBVT",38,130,129,259
"SBVT",39,126,127,253
"SBVT",40,126,125,251
"SBVT",41,127,127,254
"SBVT",42,137,137,274
"SBVT",43,127,127,254
"SBVT",44,136,129,265
"SBVT",45,170,165,335
"SBVT",46,175,176,351
"SBVT",47,167,169,336
"SBVT",48,181,179,360
"SBVT",49,194,191,385
"SBVT",50,201,199,400
"SBVT",51,204,206,410
"SBVT",52,189,184,373
"SBVT",53,55,56,111
"SBJV",1,46,46,92
"SBJV",2,53,53,106
"SBJV",3,56,55,111
"SBJV",4,56,57,113
"SBJV",5,56,56,112
"SBJV",6,42,42,84
"SBJV",7,57,57,114
"SBJV",8,41,42,83
"SBJV",9,51,50,101
"SBJV",10,58,58,116
"SBJV",11,53,54,107
"SBJV",12,23,25,48
"SBJV",13,1,1,2
"SBJV",27,2,2,4
"SBJV",28,3,3,6
"SBJV",29,2,2,4
"SBJV",30,2,2,4
"SBJV",31,4,4,8
"SBJV",32,7,7,14
"SBJV",33,10,10,20
"SBJV",34,12,13,25
"SBJV",35,11,11,22
"SBJV",36,16,16,32
"SBJV",37,16,16,32
"SBJV",38,17,17,34
"SBJV",39,17,17,34
"SBJV",40,20,19,39
"SBJV",41,18,19,37
"SBJV",42,23,23,46
"SBJV",43,22,21,43
"SBJV",44,19,19,38
"SBJV",45,20,20,40
"SBJV",46,20,22,42
"SBJV",47,20,20,40
"SBJV",48,22,23,45
"SBJV",49,22,22,44
"SBJV",50,22,22,44
"SBJV",51,22,21,43
"SBJV",52,22,22,44
"SBJV",53,6,6,12
"SBDO",1,20,20,40
"SBDO",2,20,20,40
"SBDO",3,19,19,38
"SBDO",4,22,22,44
"SBDO",5,21,21,42
"SBDO",6,21,21,42
"SBDO",7,22,22,44
"SBDO",8,20,20,40
"SBDO",9,22,23,45
"SBDO",10,27,28,55
"SBDO",11,25,26,51
"SBDO",12,12,13,25
"SBDO",28,2,1,3
"SBDO",29,6,6,12
"SBDO",30,5,6,11
"SBDO",31,6,6,12
"SBDO",32,10,8,18
"SBDO",33,10,11,21
"SBDO",34,9,9,18
"SBDO",35,8,9,17
"SBDO",36,8,8,16
"SBDO",37,8,8,16
"SBDO",38,8,8,16
"SBDO",39,7,7,14
"SBDO",40,8,9,17
"SBDO",41,9,9,18
"SBDO",42,9,10,19
"SBDO",43,10,10,20
"SBDO",44,8,9,17
"SBDO",45,11,12,23
"SBDO",46,9,9,18
"SBDO",47,9,9,18
"SBDO",48,10,10,20
"SBDO",49,11,11,22
"SBDO",50,10,10,20
"SBDO",51,11,11,22
"SBDO",52,10,10,20
"SBDO",53,2,2,4
"SBCR",1,4,4,8
"SBCR",2,5,5,10
"SBCR",3,5,5,10
"SBCR",4,5,5,10
"SBCR",5,5,5,10
"SBCR",6,5,5,10
"SBCR",7,5,5,10
"SBCR",8,4,4,8
"SBCR",9,5,5,10
"SBCR",10,5,5,10
"SBCR",11,5,5,10
"SBCR",12,2,2,4
"SBCR",44,1,0,1
"SBCR",45,0,1,1
"SBCR",47,0,1,1
"SBCR",50,1,1,2
"SBCR",51,3,3,6
"SBCR",52,2,2,4
"SBCR",53,1,1,2
"SBSN",1,52,51,103
"SBSN",2,64,64,128
"SBSN",3,66,66,132
"SBSN",4,62,63,125
"SBSN",5,54,56,110
"SBSN",6,48,48,96
"SBSN",7,46,46,92
"SBSN",8,35,35,70
"SBSN",9,47,48,95
"SBSN",10,47,47,94
"SBSN",11,46,46,92
"SBSN",12,28,28,56
"SBSN",13,4,4,8
"SBSN",14,1,1,2
"SBSN",15,1,1,2
"SBSN",16,1,1,2
"SBSN",17,1,1,2
"SBSN",18,3,3,6
"SBSN",19,4,4,8
