"icao","semana","avistamento","colisao","quase_colisao"
"SBVT",32,1,3,0
"SBVT",33,2,0,0
"SBVT",34,7,0,0
"SBVT",35,0,1,0
"SBVT",39,4,0,0
"SBVT",44,3,0,0
"SBVT",46,2,1,0
"SBVT",50,0,2,0
"SBZM",7,0,2,0
"SBZM",39,1,0,0
"SBZM",44,0,1,0
