"","Species","week","Sum_Ob","Sum_Ab","Sum_ObxAbxS"
"1","Athene cunicularia",1,22.1366315038018,21.1361216331056,18.2447055758899
"2","Athene cunicularia",2,23.1496379346037,21.8168052486358,18.9976208937751
"3","Athene cunicularia",3,23.3488737419188,21.8011073575111,19.1420962875373
"4","Athene cunicularia",4,24.3140155323714,23.2065378861906,20.909814115291
"5","Athene cunicularia",5,24.7692898193567,23.8842875710665,21.7534451014112
"6","Athene cunicularia",6,25.2631052247177,24.6693736032854,22.6426778914534
"7","Athene cunicularia",7,25.4808489484611,24.5403359420191,22.6319681348428
"8","Athene cunicularia",8,23.7692308744946,23.2058158506275,21.2709641465929
"9","Athene cunicularia",9,23.0078080036321,22.3402890669274,20.5648511418668
"10","Athene cunicularia",10,21.409081063456,19.9716946789943,17.5318802786279
"11","Athene cunicularia",11,20.0419533460045,18.1112923662852,15.0003044363613
"12","Athene cunicularia",12,20.7931194116224,18.7038305253833,15.079069557671
"13","Athene cunicularia",13,21.4160682139851,19.8778667440958,16.4437738859553
"14","Athene cunicularia",14,22.0034402917898,20.4056352413941,16.7320327517142
"15","Athene cunicularia",15,22.342571825604,21.0241912091335,16.8391749622403
"16","Athene cunicularia",16,22.6661365671161,20.519695258196,15.5805760364872
"17","Athene cunicularia",17,21.8336810935841,19.3859690244343,14.2649341677422
"18","Athene cunicularia",18,22.3306672853646,20.4652883634013,15.1383623916924
"19","Athene cunicularia",19,22.1394057110641,20.4655628691497,15.4233118882429
"20","Athene cunicularia",20,20.7341140844003,18.6677750974541,14.0584694330324
"21","Athene cunicularia",21,20.7047656756176,19.1741205042657,14.6957838176812
"22","Athene cunicularia",22,20.0886594757849,18.2139008954907,13.7305690784104
"23","Athene cunicularia",23,19.0230432555473,16.2146569137641,11.7017039206849
"24","Athene cunicularia",24,18.482560309976,15.1991095969006,10.6435163371629
"25","Athene cunicularia",25,18.1838614121137,14.7353584005759,10.0548704503826
"26","Athene cunicularia",26,18.8640622873466,15.4436977424782,10.738627037798
"27","Athene cunicularia",27,19.8415525003654,16.8848813679212,12.4814228524639
"28","Athene cunicularia",28,20.6468513246877,17.7185248691978,13.5219043191082
"29","Athene cunicularia",29,21.2906624177395,18.7173449010428,14.6582189859649
"30","Athene cunicularia",30,20.9934811408392,18.2148648709441,14.0383604309755
"31","Athene cunicularia",31,20.9735727796495,18.0644783575036,14.007863777153
"32","Athene cunicularia",32,20.487972969877,16.9625448830718,12.8872086550473
"33","Athene cunicularia",33,20.1228221658997,16.8135077866101,13.1065394877254
"34","Athene cunicularia",34,19.7746217967601,16.6121006371318,12.8243662986023
"35","Athene cunicularia",35,19.4458533748153,16.1959494359912,12.2655647491382
"36","Athene cunicularia",36,19.3598045960731,15.6201759809016,11.6322483198522
"37","Athene cunicularia",37,19.3848762167477,15.710235930018,11.7629388620068
"38","Athene cunicularia",38,19.5375449259933,15.6457874066194,11.7448092286909
"39","Athene cunicularia",39,19.749190975703,15.2046101761001,11.5416626069183
"40","Athene cunicularia",40,21.6706825981529,17.5055652569686,13.9721556255339
"41","Athene cunicularia",41,22.2963506910253,18.0133151641146,14.6495038438998
"42","Athene cunicularia",42,22.3275502252256,18.2108850442826,15.0527898841181
"43","Athene cunicularia",43,21.5502643951717,17.9428714169765,14.745507662492
"44","Athene cunicularia",44,20.9213027283222,17.7826904691709,14.7339295372828
"45","Athene cunicularia",45,21.5118550825434,18.6556519771486,15.6024150528378
"46","Athene cunicularia",46,21.7838039312423,19.5079125724051,16.9636491081931
"47","Athene cunicularia",47,22.0433788302497,20.5150206906576,18.5956592437248
"48","Athene cunicularia",48,21.9821389580876,20.3580146820149,18.1692930049196
"49","Athene cunicularia",49,21.4555397400928,19.4052542820545,16.6327646858614
"50","Athene cunicularia",50,21.0834319668499,19.5416313920778,16.6935990659053
"51","Athene cunicularia",51,20.4604591895175,19.4342982127797,16.8431944426889
"52","Athene cunicularia",52,21.3911363555739,20.9982464021559,18.7197138064783
"53","Bubulcus ibis",1,23.7259440434891,96.776716998591,344.805112700453
"54","Bubulcus ibis",2,22.2342817326696,101.28263864345,344.503119928876
"55","Bubulcus ibis",3,20.2433186023985,109.266929212988,354.184080569751
"56","Bubulcus ibis",4,18.6800626294187,107.867888710555,337.264769425362
"57","Bubulcus ibis",5,18.3009969289822,109.405298257382,341.532961648792
"58","Bubulcus ibis",6,18.7353441681311,109.269456057821,349.557424658833
"59","Bubulcus ibis",7,19.7953736680593,104.417498108397,349.011703601608
"60","Bubulcus ibis",8,20.59591601062,96.6080962466363,325.09529475483
"61","Bubulcus ibis",9,21.5244735794108,96.7277772398127,330.119022320838
"62","Bubulcus ibis",10,22.1559041930548,101.306017211804,349.16097122127
"63","Bubulcus ibis",11,21.638497449079,103.640720431572,349.815998895791
"64","Bubulcus ibis",12,21.3643424100702,110.738504561288,364.785830926135
"65","Bubulcus ibis",13,20.9286679239957,110.820263546469,352.388404833829
"66","Bubulcus ibis",14,20.9436547058353,117.315223262479,364.123962500732
"67","Bubulcus ibis",15,21.7155365525868,126.718886654772,393.578668230829
"68","Bubulcus ibis",16,22.9408944416494,132.064112685326,427.655326446407
"69","Bubulcus ibis",17,24.1415926693801,132.964534912417,450.660045624861
"70","Bubulcus ibis",18,25.2249775653314,129.358764494751,454.705378678743
"71","Bubulcus ibis",19,27.3693017003906,131.043397384625,495.66945191926
"72","Bubulcus ibis",20,28.1271782931725,131.198971299756,506.404434517225
